Distances,Read 1,Read 2,Read 3,Read 4,Read 5,Read Avg,Read Max,Read Min,Read Difference,Round Avg,+/-,Round Min,Round Max,n
Dist 0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100,0,100,100,0
Dist 1,64.89184629943288,57.76679436638913,69.74248927038624,75.96230254235685,72.98080723595154,68.26884794290334,75.96230254235685,57.76679436638913,18,68,9,59,77,1
Dist 2,50.423837154407074,47.07873178359885,54.171268503709605,59.65099274716188,54.23629288854117,53.11222461548372,59.65099274716188,47.07873178359885,13,53,6,47,59,2
Dist 3,29.124585709193138,29.899799759282534,30.967531522879423,34.23345257520695,33.294115211277294,31.50389695556787,34.23345257520695,29.124585709193138,5,32,2,30,34,3
Dist 4,78.79664722763918,76.35165515203116,83.69098712446352,93.03744248880832,86.4146522901091,83.65827685661024,93.03744248880832,76.35165515203116,17,84,8,76,92,4
Dist 5,23.998745074044063,26.021858473872104,26.303971399423308,29.44379722478411,25.578980607838698,26.269470555992456,29.44379722478411,23.998745074044063,5,26,2,24,28,5
Dist 6,37.479742988191155,38.85949087978809,40.857151855493065,43.451653717565726,42.13976620082116,40.55756112837184,43.451653717565726,37.479742988191155,6,41,3,38,44,6
Dist 7,5.300436084815784,7.348056897080302,7.811276705236606,11.383923067613368,9.359400998336106,8.240618750616433,11.383923067613368,5.300436084815784,6,8,3,5,11,7
Dist 8,18.739871494095578,19.18908463107643,19.958235233624755,22.620161250430925,20.00351919890947,20.102174361627434,22.620161250430925,18.739871494095578,4,20,2,18,22,8
Dist 9,25.142175930244953,22.024084882340063,30.214866610147467,34.767750139305626,28.894434254263324,28.208662363260288,34.767750139305626,22.024084882340063,13,28,6,22,34,9
Dist 10,47.51099743046336,44.22865471274121,52.74999379090924,58.6023307287987,54.4353258248852,51.50546049755955,58.6023307287987,44.22865471274121,15,52,8,44,60,10
Dist 11,5.300436084815784,3.991570878840234,7.197643704398464,4.484346989873465,9.810712491739396,6.156942029933468,9.810712491739396,3.991570878840234,6,6,3,3,9,11
Dist 12,17.143890335208567,21.037425698558565,17.200879336782613,22.221536879429912,21.031352346252795,19.727016919246488,22.221536879429912,17.143890335208567,5,20,2,18,22,12
