Distances,Read 1,Read 2,Read 3,Read 4,Read 5,Read 6,Read 7,Read 8,Read 9,Read 10,Read Avg,Read Max,Read Min,Read Difference,Round Avg,+/-,Round Min,Round Max,n
Dist 0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100,0,100,100,0
Dist 1,67.36038504047198,61.842735795704236,60.25855761816563,54.06275776129125,69.26383359467705,57.87692513193592,60.27168043442316,71.3388149501115,56.58183688035054,68.83206838959057,62.76895955967218,71.3388149501115,54.06275776129125,17,63,8,55,71,1
Dist 2,51.94511396344558,49.79809810254267,47.88591216500221,41.003001777567256,51.626213433310504,42.94068219808446,44.275262910110264,52.491863805366975,42.99204461988069,52.08429356217483,47.704248653748536,52.491863805366975,41.003001777567256,11,48,6,42,54,2
Dist 3,30.59613106987761,29.87967414342983,29.45306814329424,27.132396785827737,33.80980532653258,30.94365615051405,31.526795546273778,35.19847628458088,30.870703442948308,32.336319456399984,31.174702634967893,35.19847628458088,27.132396785827737,8,31,4,27,35,3
Dist 4,81.94245251554605,78.85363945655558,75.30916290050935,64.1604709199098,83.91796485068016,69.06538619977644,74.63853798735371,83.40859505483448,72.09464173408193,80.60351958902258,76.399437120827,83.91796485068016,64.1604709199098,20,76,10,66,86,4
Dist 5,25.604267214908894,21.739008501922754,14.384804609870296,11.631661469868943,20.79339701190988,23.016820403562708,18.58187796760228,30.760026844609666,17.123985257414283,25.918290324888456,20.955413960655815,30.760026844609666,11.631661469868943,19,21,10,11,31,5
Dist 6,40.18806370213646,35.264419619623574,32.929531257169714,29.98862233866529,39.915369658015344,33.255511379003444,37.119203964021196,38.05974547141863,34.66649484946699,34.60695218797118,35.59939144274918,40.18806370213646,29.98862233866529,10,36,5,31,41,6
Dist 7,8.937411308860458,8.897757144132601,2.9922202274087373,4.460538554757211,10.3252426866621,3.6604581476791767,9.51096012828213,10.266024218704837,11.179608668258682,5.645504333030098,7.587572541777604,11.179608668258682,2.9922202274087373,8,8,4,4,12,7
Dist 8,20.250971702213967,18.794157781620576,26.855998439729227,22.302692773786053,22.037937234780788,19.262605036558654,22.721675929822432,23.634162609935675,20.684019145048463,15.852326243662926,21.239654689715874,26.855998439729227,15.852326243662926,11,21,6,15,27,8
Dist 9,29.294950808637644,23.695961321690643,11.37218656591999,7.192402304935148,24.818794625579844,22.701197741114612,25.251161180908113,30.98760104593952,25.685977886121425,27.701496906990265,22.870173038783722,30.98760104593952,7.192402304935148,24,23,12,11,35,9
Dist 10,53.1500671845095,49.35587633814789,44.16834196186821,40.00832060668578,52.659862444070285,45.06059090593329,48.82528851662413,53.06871479380686,48.16023380067704,49.32832021688544,48.378561676920846,53.1500671845095,40.00832060668578,13,48,6,42,54,10
Dist 11,7.957222412454153,9.871175267629578,9.974067424695791,10.268930920593458,10.719261865254794,9.577645819346804,12.293561506900144,6.121474136448849,11.286593007001755,4.564997371144443,9.263492973146978,12.293561506900144,4.564997371144443,7,9,4,5,13,11
Dist 12,19.837891079985962,18.891118826425,27.223905972384163,25.25232176575337,25.056300464130032,16.401517179089854,16.935737313934563,19.50844754606639,17.57423760346569,18.32699884549031,20.50084765967253,27.223905972384163,16.401517179089854,11,21,6,15,27,12
Dist 13,24.910046316865298,21.739008501922754,9.40951638944405,7.192402304935148,19.377986302530317,23.195248038164188,20.84805507959165,28.5691565467895,20.3914440229536,27.877941346355563,20.351080484955208,28.5691565467895,7.192402304935148,22,20,11,9,31,13
Dist 14,45.78528821454086,41.95249488742569,40.68637154273118,34.83791980166164,46.53364894739214,39.214635362087236,41.44400726173482,46.0384100988695,39.48025236871105,43.799912411099385,41.97729408962535,46.53364894739214,34.83791980166164,12,42,6,36,48,14
Dist 15,4.41387283359611,4.935587633814789,8.04135023768058,6.6908078321358175,6.346268932134634,6.175393431774841,8.467868656967282,8.72444296969868,8.561992628707142,3.5011931578480735,6.585877831435797,8.72444296969868,3.5011931578480735,5,7,2,5,9,15
Dist 16,23.041092637048465,20.139374893383355,32.8084663941722,26.855998439729227,28.4855296654384,19.712170394870657,18.131159018624164,24.912594812728795,17.333247424733496,20.32502186745551,23.174465554818433,32.8084663941722,17.333247424733496,16,23,8,15,31,16
Dist 17,11.552210729095563,11.731757877424842,5.0857964428413975,5.642184569611392,10.938044864084556,10.452416386788832,9.96411404317313,13.209128466328,10.796818462832828,13.332146344987041,10.270461818716758,13.332146344987041,5.0857964428413975,8,10,4,6,14,17
Dist 18,27.652834042877814,25.9763873655001,25.894185090259665,22.74437313183998,30.493961092994994,23.195248038164188,26.278743836144947,27.589111100491213,24.732545873006966,26.6182800712385,26.11756696425183,30.493961092994994,22.74437313183998,7,26,4,22,30,18
Dist 19,3.5585780452664713,2.4677938169073945,9.195635804201963,9.195635804201963,6.346268932134634,5.919748116594213,6.7252644023031705,5.8274697620760785,8.561992628707142,1.5657811806610884,5.936416849305412,9.195635804201963,1.5657811806610884,7,6,4,2,10,19
Dist 20,22.95638245087447,18.987584741292633,21.874837621645035,21.874837621645035,26.924938782875447,12.92174828564249,18.93472994151869,15.380013422304833,16.443762332821752,16.607617360496015,19.29064525611164,26.924938782875447,12.92174828564249,14,19,7,12,26,20
Dist 21,68.45061541413226,63.79139616650889,55.51534031548273,42.269339917049855,68.53313666273908,45.68527918781726,65.37282352524076,64.29369452445818,62.09077947163471,56.2483870499581,59.22507922350218,68.53313666273908,42.269339917049855,27,59,14,45,73,21
Dist 22,21.713383339913143,22.07261891623441,16.44965340362123,15.770385299064332,22.959319884337162,17.525559900134077,20.927275333653267,23.360061838462183,18.764791458697314,22.060295444166602,20.160334481828368,23.360061838462183,15.770385299064332,7,20,4,16,24,22
Dist 23,24.7531310777427,24.38000445246057,22.413928839262148,17.842154219028846,25.056300464130032,21.962748886075058,23.130674871909715,25.539278695392163,24.117518088138567,25.271727658355463,23.44674672524953,25.539278695392163,17.842154219028846,8,23,4,19,27,23
Dist 24,21.555793197632802,20.61752752706038,26.180739573921183,21.040318282195283,24.092232935544903,25.401007113089957,20.63531425731383,31.549355561331573,20.21386638301444,27.67936226749336,23.89655170985977,31.549355561331573,20.21386638301444,12,24,6,18,30,24
Dist 25,48.2002188988345,45.03301128595777,28.78689345633715,20.34318577136559,47.00222656005482,28.079830834394574,43.48333482719137,41.13532693160527,41.88768510094892,40.408077039182146,38.435979070587216,48.2002188988345,20.34318577136559,28,38,14,24,52,25
Dist 26,72.86233251200848,66.6761172806234,47.51049417041514,38.48749527543336,72.2766988066347,40.836924591104086,68.75318915682445,62.773098202675804,66.79038023121166,59.68481829913,59.66515485260611,72.86233251200848,38.48749527543336,35,60,18,42,78,26
Dist 27,101.15379372537667,94.2942693446367,73.38229893044648,61.55704817159175,100.11285830124075,64.6246922348814,95.5839663266754,91.06014278286519,93.97753637425035,84.68256499545147,86.04291711874161,101.15379372537667,61.55704817159175,39,86,20,66,106,27
Dist 28,126.01201104443628,120.21981120093784,95.02622293597766,80.94372058756626,125.00700056910082,86.50913865085353,117.50803419266988,115.1392576233728,117.00648159724916,109.31911477411097,109.26907931762753,126.01201104443628,80.94372058756626,45,109,22,87,131,28
Dist 29,45.41143730883277,40.61001984984902,38.17606066029252,35.37631727701616,46.175889063118035,33.255511379003444,40.132282689933405,42.09209033389617,39.723023310663095,39.0033546364228,39.99559865090274,46.175889063118035,33.255511379003444,13,40,6,34,46,29
Dist 30,27.915782913010165,27.324618481712722,30.400460111965234,27.514690253608062,34.845038296870094,26.337303088472787,29.201635908954614,31.973350725449976,27.905990049019636,30.462392586797172,29.388126241586047,34.845038296870094,26.337303088472787,9,29,4,25,33,30
Dist 31,54.43577668036981,52.70921062249003,48.25840974826629,42.60923471632521,58.993601362070756,46.71154140234452,52.64137836841369,57.353100313818864,51.71004786262116,53.155907370052276,51.85782084467727,58.993601362070756,42.60923471632521,16,52,8,44,60,31
Dist 32,80.84137931198272,79.49973938175481,69.85408455971726,61.50045884487531,84.76067684996751,70.23443880782935,75.71706884872832,84.57969063810901,74.99509483221694,81.01310066398015,76.29957327391614,84.76067684996751,61.50045884487531,23,76,12,64,88,32
