Distances,Read 1,Read 2,Read 3,Read 4,Read 5,Read 6,Read 7,Read 8,Read 9,Read 10,Read Avg,Read Max,Read Min,Read Difference,Round Avg,+/-,Round Min,Round Max,n
Dist 0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100,0,100,100,0
Dist 1,45.475231838704566,42.01431789417687,45.93183681878816,42.24182586691235,39.57872072023767,41.74623973819642,47.752515059596156,41.26055444386273,39.59163524733804,42.12263885986675,42.77155164876797,47.752515059596156,39.57872072023767,8,43,4,39,47,1
Dist 2,38.858778916482954,38.177457151387664,39.83891393813206,36.68639253635286,36.920575940740775,38.4251907515357,39.83891393813206,37.97814330014782,35.411835101369824,37.626883521449,37.97630850957307,39.83891393813206,35.411835101369824,5,38,2,36,40,2
Dist 3,35.70799201674551,29.811585513366385,34.72867004805751,33.76461437099295,29.677816818432486,33.003300330033,36.028023216364275,31.550762484607827,31.146010579239405,35.346339178474466,33.07651145563138,36.028023216364275,29.677816818432486,6,33,3,30,36,3
Dist 4,73.30991825566767,67.98087437116365,73.72398163162734,69.5637766662374,65.38347886646909,70.95496368139536,74.86377507805382,68.92214414152649,65.25995214270176,71.65546345443205,70.16183282892747,74.86377507805382,65.25995214270176,10,70,5,65,75,4
Dist 5,54.57476275904428,49.76130437166571,53.35210222452664,50.00556565151393,53.64312877479182,48.417340120275874,53.63477932352225,44.69893398085129,49.33017389797071,49.098099604363156,50.65161907085256,54.57476275904428,44.69893398085129,10,51,5,46,56,5
Dist 6,32.21287561628547,29.0620122861087,31.744104024773012,28.96899845139982,31.662976576190136,27.59061871063686,30.678235109945785,26.85460266440898,31.39192884416317,28.353994730036053,29.852034701394796,32.21287561628547,26.85460266440898,5,30,2,28,32,6
Dist 7,29.28805817449939,24.757174241583147,27.846434010497497,25.9763873655001,27.528517780085163,25.086367988979926,27.846434010497497,25.592263337914144,26.30712774080449,26.036730743229686,26.626549539359104,29.28805817449939,24.757174241583147,4,27,2,25,29,7
Dist 8,115.93954726535523,103.3000326554322,112.85846414285392,104.69962455032709,112.62464528399408,100.94670844404365,112.0408722812339,96.97205672068412,106.88496424293582,103.20861669733006,106.94755322841903,115.93954726535523,96.97205672068412,19,107,10,97,117,8
Dist 9,58.72216566365927,55.35872453498672,56.13638431665132,56.45803139798549,56.55063009218589,53.0909945523153,57.19313682358117,53.45546831915561,53.83671381668297,55.40920259454953,55.621145211175325,58.72216566365927,53.0909945523153,6,56,3,53,59,9
Dist 10,37.626883521449,34.39376564882433,37.46015478646371,35.333430291539834,35.897736260126514,31.290346872008556,35.35010708312406,30.7538015086027,35.411835101369824,33.35135714973746,34.6869418223246,37.626883521449,30.7538015086027,7,35,4,31,39,10
Dist 11,33.35135714973746,30.07767428522171,32.06638745515454,30.304668839523192,30.618958008760945,28.602860286028594,33.16061027646576,28.290990173442836,29.28629979951329,30.993198509119246,30.675300478296755,33.35135714973746,28.290990173442836,5,31,2,29,33,11
Dist 12,129.42950600246684,119.57997069353947,125.42836213428208,121.90002226230285,122.8709630228696,112.74920110291708,125.38495380554333,112.25137550639984,118.39581470128172,119.59698981080885,120.75871590424117,129.42950600246684,112.25137550639984,17,121,8,113,129,12
Dist 13,18.902663153357366,11.399059057780116,6.956176111237086,11.362576030225142,8.96619685901416,12.543183994489963,9.069744007078004,16.632661238206325,10.876658690450293,8.918426712719633,11.562734585455809,18.902663153357366,6.956176111237086,12,12,6,6,18,13
Dist 14,36.77161535087314,31.878166627298427,33.087569195977395,33.62001150364821,33.35405382228546,30.68498499665864,34.1136436851536,30.945415832897048,31.146010579239405,31.926702853234094,32.752817444726546,36.77161535087314,30.68498499665864,6,33,3,30,36,14
Dist 15,20.988568540940573,15.539934507991804,16.824745425405144,16.59121110073161,17.191897684942802,11.48548570837244,13.912352222474173,12.156507434488363,17.538085160536323,12.947676892388964,15.517646467827216,20.988568540940573,11.48548570837244,10,16,5,11,21,15
Dist 16,38.90598538732074,44.56291363484967,44.33709716398234,42.457530210068086,41.61717779494322,35.96871886528452,40.82866518537305,27.269623146644456,39.216350614139536,40.26609452035685,39.54301565229624,44.56291363484967,27.269623146644456,18,40,9,31,49,16
Dist 17,11.281016622992885,16.754590290546453,6.413277491030907,12.338969084536972,4.48309842950708,14.343679659411766,4.918759299383612,15.56792547926101,6.342127360066675,12.612560012158603,10.505600372889594,16.754590290546453,4.48309842950708,13,11,6,5,17,17
Dist 18,29.682318285395436,24.50835210493651,26.602258298389405,25.66980101448628,26.54464633192063,21.61373234806215,28.681048857028813,18.98907165007391,25.669836243650092,22.80478775231007,25.07658528862533,29.682318285395436,18.98907165007391,11,25,6,19,31,18
Dist 19,20.8716396726916,12.378587120791574,14.340524428514406,14.347202295552366,17.191897684942802,10.378417086970959,14.95982238092328,10.024512838200378,17.705917550684912,10.494284270470287,14.269280532974255,20.8716396726916,10.024512838200378,11,14,6,8,20,19
Dist 20,39.88441676398218,43.673788581302084,41.402398206596374,42.24182586691235,40.92971670048648,31.978969975244514,41.402398206596374,17.700141998586176,37.20389683812719,38.20777884772243,37.46253319855562,43.673788581302084,17.700141998586176,26,37,13,24,50,20
Dist 21,89.59494128901144,91.81541113338326,82.80479641319275,80.57261780573437,100.95611648529788,81.43786808942461,79.65505085129743,78.14280138667368,90.2435001639832,75.39185491764928,85.0614958535648,100.95611648529788,75.39185491764928,26,85,13,72,98,21
Dist 22,58.78464714861249,64.98463503467312,56.36219962744812,76.46975919355484,58.11776890243674,55.59638621999241,54.60709013333221,50.087171061350524,69.75492166553823,62.340720369935276,60.7105299356874,76.46975919355484,50.087171061350524,26,61,13,48,74,22
Dist 23,176.56544489718516,168.32329758701178,177.10948953457046,168.98532376348982,170.87743120428348,152.96277092116722,172.73531362487125,146.86751523661167,163.76145254801912,164.79330967208327,166.2981348989293,177.10948953457046,146.86751523661167,30,166,15,151,181,23
Dist 24,15.643955335985563,23.951846382621717,15.862522109388426,23.618733648639992,13.839210678871211,22.67934887578471,18.730077393231856,19.841565283129995,13.92891937662138,22.26173871404658,19.035791779832145,23.951846382621717,13.839210678871211,10,19,5,14,24,24
Dist 25,27.654867256637168,29.791018704769066,30.815938684826,25.40749240309312,17.532364354242794,34.43889074257101,33.069283718374194,28.705836212773914,17.436610334872093,28.202541557482217,27.305484396964157,34.43889074257101,17.436610334872093,17,27,8,19,35,25
Dist 26,35.98109727276679,19.335971209668934,39.732494210709284,35.539658289602954,20.225155200324316,25.134564705821475,42.112163922297945,25.290210611314578,28.069366762157802,38.35162792778697,30.977231011245106,42.112163922297945,19.335971209668934,23,31,12,19,43,26
Dist 27,60.447239346523226,41.677436281485186,64.92948589153295,61.32852439885136,44.26037281080269,43.58990705425511,66.33034000578355,45.368372393226196,50.7370188805334,62.3505339426635,54.10192310056573,66.33034000578355,41.677436281485186,24,54,12,42,66,27
