,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,20.06202357581816,14.404209806818171,10.913470373185028,25.16629289523365,5.750303075197298,13.75193080202757,2.7821021035453763,8.635620149161511,6.5193764304665045,16.45973026701821,3.9983861775744516,7.2821943145049,4.885044453778631,14.14676984749756,2.696697466534666,7.41222007874389,1.5422604676460194,8.712043056106843,2.3859933942074703,6.77312007352057,23.27799255476468,6.0283820114839575,8.667170014710544,6.615855086979327,100,19.558097364108654,14.13105561423696,10.828923114679958,24.553799176904608,5.629689056356196,13.524941373255524,2.528564696714952,8.500213025152316,6.030337405577939,16.446673932139557,4.11653889330163,7.5905226673939294,3.946124830706601,13.694548179937627,2.528564696714952,7.8690029256103715,1.4640445340396808,8.59558556038409,2.495748479275842,7.123628145930413,22.53705341672764,6.07875032426995,8.679364143840937,6.586462229282608,100,19.63522866764397,14.442032866064284,11.111855889244957,25.324223127830876,5.634646312661154,13.661679272231284,2.7229162987173385,9.103755295615612,5.659021248277611,16.297571311714734,3.986599013658685,7.7514499375048915,4.05958629144281,13.834546986330125,2.490588388968697,7.858436410189075,1.092195259668985,8.75539706683096,2.2708935088448743,7.200337193827064,23.676678808886034,6.144135074819386,8.814933408292093,6.418769519477698,100,20.04311855209876,14.532175180046703,11.286620500081671,25.602354000989347,6.039668890414205,13.92516538811557,2.7509937965089892,9.195276495981222,6.134469435352405,16.547747919792666,3.804436441297735,7.859613830435156,4.623797833309477,14.054320875305487,2.4605636538697295,7.85118399627534,1.3823572744695245,8.889797186864845,2.0950944569851613,7.239348766559343,24.340077370007375,6.238450899134025,8.669996016186532,6.5173011322992185,100,20.251379991063114,14.716269864147247,11.772527076812276,26.16336637450126,5.961952092748368,14.021404516237634,2.7734667176118095,9.258826577301607,6.466644984863994,16.728751673801884,4.131861690860724,7.767139355037231,4.46005434422997,14.15145261842586,2.8552572128318197,7.924832830625171,1.9830227782161647,8.916882414791763,2.674885448578705,7.423668753362731,24.615679967911017,6.4503094220077095,8.735407346733597,6.837203981716563,100,20.295672720270186,14.725613350077444,11.538144556468229,25.94774015784923,5.6867233165254945,13.835113150457959,3.1592538666520147,9.714680756070944,6.616078997166174,16.79377128713818,3.9644157274969944,7.977464133255462,4.574277026825282,14.053631012805871,2.5807387472948453,8.282636977929911,2.171834331590052,8.843393644581122,2.525311984677651,7.43389419396984,25.09911426687105,6.302062991101596,8.533954873222749,6.684170797833267,A
Read 2,100,31.910807453805955,25.122983548405948,18.37035498439409,42.97316407041871,10.955577894786133,22.32141833817326,4.853784336337552,14.38537853281196,11.00631521236333,25.490955705335605,5.931243515527651,11.28481936141953,9.854044873307108,22.07401243795572,3.9897861474624965,10.381113813643223,4.241200850915517,14.451620073631371,2.8212048403548824,9.97446536865624,38.170807658239646,10.705719649695771,12.82329929778822,10.838715055223528,100,32.92354196338304,25.46865648250731,19.13642006163163,44.216409986151696,12.10293473129914,23.43907046949745,4.858939727975269,14.881023146610419,11.169931543089135,26.287749925671573,5.134840332455884,12.067285361574688,10.032002966992877,22.926150975937684,3.3468627789856567,10.801288414843029,4.4128630548111785,14.996381641569547,1.8565054402422594,10.501980688840147,38.906968371821094,10.583709397635403,13.799468752206119,11.239143485143329,100,33.16378139798954,26.209333140562492,19.01770734312473,44.5904696071866,12.540833259807192,23.637993460705374,4.723821145639239,14.063982573173265,12.562167270000428,26.591379039309725,5.884902939489658,11.439062337908474,11.601766281684963,23.48266559335855,3.5851281790766314,10.993418819720882,5.684309636248822,15.233865453202595,2.1125570390400545,10.688787088620517,38.59682758698422,11.154621245938895,13.546746275039212,11.058181788323814,100,32.5841827443072,25.51597718565205,19.52863711459849,44.403092818200975,11.974100296281252,23.057319236163917,4.858939727975269,14.676964199147898,11.741571359318318,26.00433353541587,5.016001483496439,12.10293473129914,11.748907549574414,23.07226241286936,3.2422473643184246,10.801288414843029,5.316222539277551,14.996381641569547,2.0756361824899328,9.98033565542057,38.818281298720436,11.338370446052275,13.387451115942627,10.864919530327036,100,35.801864117129476,28.135150671252017,19.376315122537104,46.8930659574011,14.581751485145018,24.630801674208623,5.31964690217248,14.28632626537638,13.13413215653456,28.00049065097798,5.153077357893646,11.960093076698183,12.797782736416865,24.904703044344373,3.1130878805430466,11.006427753808225,5.019703377208496,15.873695850418198,1.8678527283258277,10.891359405523449,40.2564514945712,11.623121231349906,14.588396166048158,11.960093076698183,100,32.89119898399279,25.681664473160417,19.119449270361827,44.11215041637112,12.10645273408625,23.231626493977853,5.136332894632083,14.628282496311385,12.346207746298901,26.53040917691768,5.647982106442757,10.868077674862887,12.26212362779952,23.022865668348334,3.5234952970013165,9.559724635180913,5.317767824460468,14.586967918154887,1.8570450772359357,9.983236674837064,38.49283107767556,10.40608262282341,13.803479892529412,10.828340511922017,A
Read 3,100,51.443036740447575,40.75773511628696,29.657512886666446,69.4148387983335,22.55926395535784,35.50743935716499,8.372370157097041,19.598236158745713,19.401263962002282,39.683403687048674,7.46278599300726,16.915900540550776,19.02644570205546,35.93752243192993,4.899559039686428,16.658500734933856,10.416605401993776,23.53828936690703,3.098753219175286,15.49376609587643,59.65401765889043,16.658500734933856,19.986357721088815,17.11342400448111,100,46.83073448798177,37.11520550184506,29.130474572391023,65.13772136069544,18.639328984156567,33.34304533084495,7.685192219231427,20.161516917785587,18.499005816662823,38.94237169762569,7.962724832541966,17.00679179020937,17.90249087819063,33.26480577367148,5.967496959396876,14.911463187325253,8.0170785340565,20.52443200889584,3.3602528196309307,14.735683411781823,56.04986003263706,15.843429636533084,20.1183906290055,15.17131462823831,100,48.955145847017874,37.29492780091809,28.67951473594534,65.02620473532744,19.71823372186564,35.17617965179681,7.639778023593811,20.27947935092646,19.443082089153027,39.265326172843096,8.989702435805116,15.279556047187622,18.39902192641675,34.7524321442097,5.525397417649295,14.245519168362463,8.736420408692208,21.794750307969295,3.416612598752951,14.087054626474467,56.98995528761449,15.771171209223196,20.257328083418884,16.358074956535646,100,49.96682274991009,39.22361232809332,28.20828901195692,66.43790393500943,19.51094308278723,34.47397151666664,7.0149449694358434,20.05073429050377,17.715143872470833,39.02188616557446,7.945857825433918,16.633914532310722,17.688918626600326,34.39307823776209,4.817883985353633,14.48573557368752,8.176220248832694,22.162266332626707,2.154623219791665,15.23548689616679,56.65471033374099,16.38080555020235,20.598919181375937,15.68589381007873,100,51.67786877298986,39.82400567649171,29.283347340811133,68.32862401895794,20.59743951382815,36.68524721594928,7.073189768796114,20.62171464248105,20.00600180054016,41.12194616603874,7.073189768796114,16.12935430288796,18.793932407778268,35.703847749474335,3.1632266281568264,15.004501350405121,8.54656771563222,23.028637457679977,2.8292759075184453,13.156893506017711,60.159547679323374,16.12935430288796,21.383973518487494,19.42231453330759,100,52.188218327298316,38.699446714168,29.759579056876216,67.47507753902758,19.909986953113652,36.50090696808375,6.952869038215805,21.04320015637433,18.78561767408338,40.74404986253816,8.904016851659211,15.85498082261268,17.589521946900998,34.9169732636474,5.295147302983779,13.765978367748279,7.090562980263498,22.636901540258282,3.1094175616208255,14.316833607237987,59.85931663805082,16.365110105303085,21.020214676924237,16.974116520778825,A
Read 4,100,105.0926167471755,82.80373713991587,54.7229818737865,135.17224707112888,43.64611909033868,62.14381818956344,8.609522625016007,31.042075281762536,35.49797116908602,72.34048600918281,12.175703661855648,29.322977441516496,35.49797116908602,68.87618100012806,14.661488720758248,35.80981878019576,16.335420637081402,41.64731429561218,11.225444120930193,27.36149093689325,102.19615779539046,31.042075281762536,38.50295568671645,41.558229029332274,100,110.16962230584411,84.48281292080863,52.85082664011235,134.3996711489216,43.12270748961118,63.403956725074046,6.211299937499416,29.528182813151805,38.68996743662255,75.86944602082035,7.8567420131838634,29.917582261858353,37.06017795590649,73.80739030881347,8.784104611578833,37.06017795590649,16.89656258416172,42.49182927993988,6.211299937499416,27.777777777777775,100.65372739996354,34.359213546813834,39.28371006591931,40.06168083848877,100,113.30602802442043,85.22992563298953,49.081830594391356,131.7285097021829,44.901776483720774,63.50070127792323,5.445140212360467,27.22570106180234,37.03095700717518,76.86138967325404,11.550886706014932,29.322977441516496,38.98127161251389,72.34048600918281,8.609522625016007,33.67633236279058,13.882438098537392,44.901776483720774,5.445140212360467,30.07176971736254,98.65325854611181,33.67633236279058,38.50295568671645,41.558229029332274,100,108.53263185549244,88.77797749730904,50.385009439127856,136.11845345875818,47.840253685365255,66.25639793812016,2.794857462269424,28.774818728303522,40.01626904213625,77.85571982774799,13.974287311347117,26.514345948868467,36.4404829804508,73.36168109785739,11.52349252548256,37.28804936871529,14.2510327378222,46.09397010193024,8.384572386808273,30.743432084963665,99.52204480025073,31.86627795134538,42.01592056560343,42.66164763128492,100,114.12268188302424,86.77264665190042,54.5077693995515,138.95344549941137,46.444566607987745,67.63634574111097,6.379651861625648,32.529969332357716,39.73862561250819,80.54547340081656,12.104538337002237,29.78689446194166,38.06466209451165,75.80787592346033,9.022190185929757,38.06466209451165,14.547844546627058,47.0539871682472,9.022190185929757,34.236804564907274,109.23931366092236,33.39429361118296,43.17473880291457,39.63607414964281,100,102.49186213387792,79.09964278671288,49.48321870075539,125.83584294827509,37.867931803799834,62.904481781263065,5.201560468140442,24.53571165684422,31.425347135486533,73.4231168452177,14.005630187605991,28.011260375211982,32.897556932830994,69.1044486636485,8.224389233207749,31.639857114685146,9.377246490153418,43.59702110335556,8.224389233207749,31.209362808842656,92.61115118213189,32.16987484227043,36.780586797739794,37.237506016323415,A
Read 5,100,101.12617478613711,80.07680010608927,59.595611679856496,137.94777186081393,41.060821625231455,64.92285946681405,3.7174721189591073,31.543796930254903,27.063605536358804,71.7963119547508,10.514598976751637,35.26703710224958,33.66314177746251,72.18025218939628,3.7174721189591073,37.91092575161922,18.587360594795538,44.76429211446949,5.257299488375819,29.73977695167286,100.02694458790863,34.273399469490286,41.060821625231455,40.03840005304463,100,147.97158150496506,123.73622409166799,72.87870900572618,193.16996684309703,72.87870900572618,84.09939834150707,20.822488287350335,40.65720809946202,52.05622071837584,103.7212849826719,16.461622385051424,54.34828999953436,57.49797510248444,107.31664824616502,22.08558400374432,64.38998894769901,31.2337324310255,64.38998894769901,18.769137300697494,47.13891274407817,140.06896457130355,46.85059864653825,57.49797510248444,60.70746376725975,100,148.51964502625898,126.97504619663154,74.97686350223397,196.99881319001895,64.10256410256409,81.36509728487081,21.367521367521366,45.327357768368415,53.41880341880341,106.43621177976107,16.89250886842083,55.77086810315464,58.76068376068375,104.9512964978018,19.260423480042675,60.90680689632146,32.051282051282044,71.26957299212783,16.89250886842083,54.476704205051114,143.7352996482234,48.37278385757167,64.32475736534344,57.533812042035294,100,168.12695313640845,146.90808805939076,86.74702625227565,227.9244612433347,74.16563658838072,96.73965292026286,18.54140914709518,53.166410797544046,61.804697156983934,123.14498668214632,12.360939431396787,60.87056737822066,61.804697156983934,123.14498668214632,17.481008187553712,72.34054332954032,31.51433568351536,76.44818836126689,19.544361311300243,64.52599820093049,170.49584949485444,55.966533610243616,68.26551926568146,66.56569600907916,100,171.76422232811566,142.86207917510637,89.2286640026586,229.7433057799447,76.55177736040875,94.5077479168373,25.429116338207248,53.94330180698391,63.57279084551813,126.66788839905452,20.103481628533885,66.3719422054072,63.57279084551813,123.43603203399618,22.92149571178633,77.33963802032066,38.66981901016033,83.61695129031091,14.215308184995486,58.61121714744366,175.37335313583884,57.21551176096631,70.21844257588852,74.13797704825558,100,180.39085555352045,145.4357572908575,99.69029428629251,238.0812078384117,92.83819628647215,103.79625890251015,27.341549241496427,47.818982433209406,66.3129973474801,123.88290246863001,20.970011009074135,61.13756271414382,72.94429708222812,130.28436806623674,28.13422206312523,74.14018493036438,39.78779840848806,90.19542777676023,23.909491216604703,67.62625349592552,178.4300271495187,53.46324766776226,73.24509958346991,80.1262995596457,A
Read 6,100,103.32782969116623,87.81176998207475,68.36662858070238,152.95000943115036,40.16664028853055,67.84407343976677,17.562353996414952,45.95217307382661,34.442609897055405,79.29284265026646,6.888521979411082,39.270617380898926,38.96736483195324,73.2259930753673,10.891709583535265,43.83828543594739,24.836919208927345,48.952146230496304,10.891709583535265,37.09582613669707,124.7564391121841,30.806406820929173,44.108062046456006,40.16664028853055,100,105.03693582117482,84.86611660282253,67.22063624338216,149.6982721081205,45.43502385299394,71.19764725727252,21.41827564654971,47.16885920400432,36.4740091277007,82.67565374344859,6.773053459641259,43.368702768857354,34.866426672799406,76.77787136916378,10.709137823274855,52.68199233716474,21.41827564654971,52.68199233716474,4.7892720306513406,39.493348904383716,122.38440937912488,36.4740091277007,43.368702768857354,40.91955816722954,100,111.32848832213861,94.83016087446397,67.72418306663114,157.6875590559296,51.014597061527354,69.04299750627128,22.701197741114616,43.66662572102855,36.95487253441887,82.63360708680054,0.0,45.96642202100212,45.96642202100212,81.37674894356039,10.15228426395939,45.68527918781725,30.45685279187817,56.06782242227036,10.15228426395939,35.89374523789581,121.08487758250315,35.89374523789581,45.68527918781725,46.79971805732429,100,105.03693582117482,84.86611660282253,62.99303849600528,144.39476467127713,43.368702768857354,65.14114228321571,19.157088122605362,45.18190197345116,28.73563218390804,73.26177462058598,9.578544061302681,43.368702768857354,38.314176245210724,67.22063624338216,15.145007950997984,43.103448275862064,33.524904214559385,47.892720306513404,15.145007950997984,29.132004455451238,114.24195825552262,29.132004455451238,47.892720306513404,44.154906404659414,100,103.20805740922967,89.28783981651895,66.55122646461624,151.7601458503256,42.613577120646674,69.95797057561649,14.881306636086492,44.395205327325186,33.27561323230812,81.23612471356267,6.655122646461623,42.613577120646674,42.613577120646674,80.55173067587617,10.522672835293129,47.05882352941176,19.40285000290664,47.05882352941176,9.411764705882351,37.9400364625814,118.77110083881374,29.762613272172985,47.29353233468653,43.386091563731235,100,114.8599847612666,96.31302518279327,66.76622557343099,158.66497064048508,48.156512591396634,75.46227790517008,18.302290738395882,45.40239548222923,38.65874673027365,87.62779950067039,7.178749047579163,45.96642202100212,36.95487253441887,81.37674894356039,11.350598870557308,55.837563451776646,25.380710659898472,55.837563451776646,7.178749047579163,41.85894036160061,128.11603516877116,36.95487253441887,45.96642202100212,48.156512591396634,A
Read 7,100,19.817393360562228,14.030074535590163,10.863612601014523,24.767214471267238,5.535417093939331,13.895149677795441,3.083703447630293,9.311252859186753,7.106095041107868,16.69902937321287,3.9382493980886277,7.4082652297041465,5.299915108824132,13.81817960286265,2.8414559544649634,7.213294613170377,1.9967717082571055,8.631275236471824,2.7268913400392463,6.540760930123809,23.9620924728533,5.98365551723744,8.472761419655486,6.709271794149929,100,20.198481272791554,14.540904223902947,11.150801755345515,25.544312567497784,6.062686484398554,14.247623279379077,2.798118244744465,9.293979311627657,7.098145524703743,16.984818821353773,3.5661732433757893,7.731689902198484,5.446772147925363,14.32981537998924,2.407911287857391,7.58664308763255,1.7516575379367358,8.916323123892678,2.3500951968758748,6.77477657523276,24.49471375876999,5.842280236245551,8.728034446642617,6.912373077223742,100,20.152585135630854,14.29329902809991,10.733586866150985,24.916262090206498,5.536235690552293,13.92344055438921,2.9577515248333293,9.353231571309395,6.695702662598586,16.57396857108556,3.798623327079979,7.482585257047518,4.8207453705628245,13.847837603459002,2.770905009444472,7.329721534832025,1.8147934922056699,8.484280884919668,2.722190238308505,6.613733470080982,24.148519446107304,5.6265915498214,8.751793400286944,6.817563483797259,100,20.214187883975104,14.582634440904542,11.15444075118338,25.646381093431103,5.5418214101635135,14.252034814752294,2.8248695257473377,9.816442199385197,6.543013058594998,16.78362418143377,3.456626171835526,8.11049668628733,4.888407612263592,14.160185640216937,2.5647642483916084,7.642260926237758,1.497663346773614,8.855426215135967,2.647519771095406,6.76981808504023,24.936466628629816,5.898135088195029,8.812702150692434,6.978458502645925,100,20.79098674410952,14.825150197885485,10.77160385378458,25.503134274290606,5.760105916812223,14.154202861966219,2.7269497640548037,9.335806502461846,6.914531472425069,17.186402284667036,3.7442659946085843,7.7129786804728315,5.251643321176226,14.406908075314327,2.582781093284773,7.555408189798456,1.6334941904799403,8.917633429963225,2.666117953402932,6.70740954801891,24.376677168300862,5.893359414703562,9.021266526664498,6.881238796848082,100,20.053762906288306,14.449263211831733,11.146689710092483,25.44183270355118,5.842820275501454,14.168668283493918,2.982978304554594,8.903955943583721,7.29190846833505,16.978131942706455,3.930955823254665,7.3718302906286395,5.39476529864483,14.35130097578969,2.7084231453815897,7.402677976665357,1.7678255745433116,8.883213571998429,2.572812197491599,6.6815206072177755,23.96003363454563,6.011256854184786,8.84035544412345,7.146100669201474,A
Read 8,100,25.040113911432996,18.977136764409472,14.1128958049765,33.00014612382652,7.99286837317303,17.42544512442563,4.334741488691709,11.685881247659589,9.337318925171369,20.460714515381287,5.376585100627064,9.290763945447909,7.99286837317303,17.513147932992034,3.9142130361633374,8.89658323114285,3.6386414557747373,11.341918694915247,3.079239336090239,8.821532774456774,31.6315061626915,8.49772634450085,10.364405040877303,7.754221306882637,100,25.70776354703353,18.772926759747804,14.334783934494773,32.8947455450382,7.751878056816965,17.766375590468982,4.490985657992541,11.791824674275613,9.938236525453341,21.183936980919217,5.391383803687138,9.041215448034771,7.929670512981493,17.46328780772892,4.190328446121402,8.580016052320394,3.6533684056700277,11.227464144981353,4.0536112273109355,8.096239533632744,31.872600536563894,7.624568095132997,10.76073945850968,8.611071912739874,100,26.22312294931731,18.934501408531304,14.66826394520474,33.30269098415949,7.873210082262426,18.110183863812672,4.505193825674524,12.107344609543741,9.988854869346456,21.392103713057125,5.318024744732259,8.97310546618257,8.037931413948751,17.94621093236514,3.9035645724828782,8.672592554129269,3.4651694476282433,11.380748620285011,3.4298096505245783,8.512993284565693,32.123276991629005,7.9502491979284615,10.641778576596623,8.484305778269144,100,25.148352993542307,18.613350082147438,14.493278037308531,32.91768698195725,7.344557510623304,17.287878608157875,4.373525785142438,12.030831883198408,9.12874096664371,20.389617413969276,5.296235740029295,9.051757939623913,7.6859842853608065,17.282818000563044,3.960690525683827,8.483056300531416,3.1486126081635595,11.17385684738882,3.686147675072144,8.096138427549004,31.943063543357468,8.099739111928724,10.168318411701183,8.298884461453554,100,25.534067499717686,18.685393581497394,14.747468340038063,33.16480511825681,7.065416006821782,17.77200265546292,4.25490295933073,12.290898531494156,9.40443857503656,21.2731197007607,5.321069476876978,9.337930513698039,7.235591377715921,17.504460905529108,3.7189274022350465,9.027656140162703,3.419580666979705,10.987913055212262,3.5972281788849805,8.400993860185975,31.871522866356518,7.845653399003347,10.744829855621852,8.411585577601203,100,25.62101236543873,19.089106972418687,14.978726656811487,33.65756563244157,7.880982936347429,17.84028483748082,4.189139465168177,11.813238428963725,9.557095611838493,20.974272642437363,5.04528232987159,8.840895655117809,7.967901224198969,17.789855211949043,3.735673997815458,8.621382224521442,3.19091672019904,11.056368662613755,3.19091672019904,8.43882413527161,31.84152314880319,7.661327839503941,10.793214591517557,8.652587812174781,A
Read 9,100,29.735051088363413,23.047677865210918,18.390348471347004,40.86905520351992,10.666897163190256,21.807369735540245,4.7736747586887205,13.414409764668886,11.434850427636041,25.200737483152142,6.923389176044789,11.212793358755958,10.37562127120111,21.70262151543468,5.04575701144018,10.711005816536211,4.903594401131013,13.5019911721914,3.6549234716721064,10.029027267134603,36.8084599926773,10.6373897839435,12.741453859257243,9.718652663731428,100,30.88763839243625,24.090548285077233,18.5261121612996,42.06985992690429,11.542244948974455,22.44810861371159,5.727675514229014,14.491149483423548,11.54945659913071,25.172284045364023,6.580092020647662,12.008927949040736,10.388020454077008,22.340282706665565,4.913933719156211,11.426239542950416,5.305039787798407,13.928625313916351,3.4626734846923357,10.078832103838781,38.43108277066556,11.138415885701841,12.709578863413537,9.60506206565176,100,31.249807142836815,23.821265408945393,18.74333753819606,42.043349549897925,11.389384603553713,22.901908671580305,5.383099298297055,14.313972027050673,11.829857381523805,25.467438195435594,7.018702778580572,12.086438353746294,10.83721130292448,22.602230615038188,5.254911878682902,11.589669169413485,4.70738377894859,14.091943491908687,4.087153683420034,10.321621733206722,38.60672879752598,11.078326960074927,12.447721755238295,10.452903597020903,100,30.36229206172131,23.144725800074863,18.268358196053917,40.97318702672843,10.498818507202376,22.424364971517008,5.3518649220290975,13.802920722119023,11.14560872032557,25.121694912513426,7.005595570048129,11.743175553214689,9.398992750499405,21.501212697272088,5.137088721916522,11.260514940525653,4.031399422809134,13.662310053292476,4.678047169838583,10.313257757778045,37.288691602903,10.22708394559105,12.493410487703027,10.620724694030027,100,31.150336792705243,23.35696747679666,18.514778895295546,41.40833841222941,10.958424830786626,22.816640669982654,5.0445827393364535,13.703342264609661,11.890195544138054,25.15688501352551,6.969007948872375,11.041587578043137,9.821855284496165,21.456682606795933,5.222776702636908,10.634914200983115,4.098644217422876,13.10779663946835,4.411359635559531,9.415494600828056,38.135953434130386,10.031300062193186,13.513900102594532,10.485285589055826,100,30.53992813132062,23.28013514646813,18.717581511851517,41.47279932305595,11.426567348697784,22.195404356802882,5.663197566017671,13.771827119009044,11.914802340407842,25.02915174188318,7.217779139766912,11.412310864857123,11.15987466586453,22.088792274323747,5.428350567734712,10.923972216495224,5.103740574835989,13.813139742272183,4.28911628983806,9.825529100940864,37.729727977924334,11.013027811455922,12.534074053428874,9.891583821926453,A
Read 10,100,39.693470834051254,30.616906909043568,24.280726023336346,54.09925591754524,15.471738118269759,28.758619958718754,6.871709826407445,16.69272562835378,16.88764312509876,33.13947573621233,8.888888888888888,13.74341965281489,14.996042529546193,28.56286984506724,6.303962022080606,13.063229521054904,7.364327941380517,17.10768684197853,4.8349181619592985,11.684107685904314,49.12143604967333,14.079494209896753,16.636615467482304,14.096087608949267,100,39.55926302331055,30.269541431270024,24.372907113833847,53.655835439928424,15.629096992630132,29.328619035133944,6.539937253898482,15.870487292460137,16.95625792947586,32.772271677939365,8.961808906659313,14.493172509050487,14.344858711350346,28.797185404943363,7.86002636908271,13.85616382341223,6.928081911706115,17.28930953258576,6.355676587131454,12.427792897642318,48.12769798898955,14.211724891829796,17.453452228280934,13.543969877559974,100,38.663749685398635,29.53056479938146,23.88227978285655,52.583009239066165,15.700608689123346,28.61261333806261,6.20051412824863,15.483037774189704,15.943600230183195,31.972195370246048,8.743022395588136,14.187250729523832,14.392988472010687,28.094153707990344,7.149200223777421,13.517890404359257,6.858591046597327,16.867222010874237,5.706692699064207,12.124390596085778,47.484385252818214,14.139347664018183,17.027357456684594,13.213318114458602,100,38.883415223009294,30.042925011177292,24.017965376482525,53.12772914888193,14.833758673967743,28.775174009039773,6.2357419393255915,16.372970492945832,15.199327057317706,32.780847659256374,8.555367359265146,14.347787240849799,13.391268091459812,28.25376878485685,6.2357419393255915,13.527223537368958,5.778832428351391,17.598392737582266,4.330824644864964,12.63546952470031,48.292377484947835,13.611506119376468,17.12409726232285,13.288388707736559,100,40.75155143604019,31.92492076401944,24.569682286812014,55.63650589628346,16.152518549683457,29.783772573210936,6.378983226522442,16.21168548240501,17.088616944895133,33.79692725889383,9.410828553750394,13.21869035808676,14.196557481964431,29.043232355656755,6.527351506300838,13.164254888563235,5.911578042840606,18.002645583972445,5.40389516080167,12.08347692283469,49.821451677560894,13.924176155468144,17.517455062854996,14.263840121835122,100,38.52919578584986,29.356820752958683,24.40099965353301,52.89841664732895,13.270999024723679,27.86476697756864,6.980214286896135,17.12408701593327,14.663175903898715,32.04320910963899,9.312287408694337,14.949976449152837,12.436367746030806,27.272953205015895,6.16403320003536,14.724019218790694,6.054279025297464,17.396017692395116,5.221802283818048,13.135577124014507,48.27245304856508,13.454978804237554,15.50767333655573,13.135577124014507,A
