,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,19.63388209645973,17.54286614561704,15.07403418085114,31.349107524243855,21.584229178832764,13.364066214963051,12.257139131568652,47.03269995272247,24.7035911913109,15.494537256500662,13.623635818603704,53.77339505262093,23.223509569323962,15.049198639982796,13.424996923962706,51.66674339851075,17.08524120918941,11.201842010647816,10.33334867970215,38.6154463292759,44.89986232726732,13.978451723309314,8.92039711904398,20.554503059317284,100,18.640873764848795,16.983888305334922,14.584752316241806,30.589196784271127,21.254630847901506,13.29771015849597,11.983681795002552,46.403494495554455,24.152452938062634,15.120933200594328,13.31969187823455,52.53721687135345,22.902102573060294,14.713450327642539,13.125484626449516,50.720836903055414,16.760406353436814,11.151926429693544,10.102811196409458,38.003653001298744,45.2709864981252,13.26099298719617,8.657790334701502,20.095931152716,100,19.4369197514461,17.132590380815618,14.69917380505854,30.287222350706703,21.126428654637767,13.23935109393175,11.914095264375446,46.123601148452664,24.05621668626749,15.006205426618134,13.266006719349587,52.25659773158167,22.51572744938037,14.666365549424993,12.795281627415822,49.959941080459906,16.603314262414916,10.941777659751077,10.041873767630872,37.578379097018626,45.50887735564363,13.02660781174555,8.496657009600188,19.769478937864456,100,18.678074565491436,16.91397496112447,14.57617260171088,30.29385682078726,20.90332123119038,13.070414217983366,12.01221365508187,45.810549300083366,23.94612913131585,14.837945359470316,13.319487244001367,52.04945147439118,22.473490365177767,14.685278813880297,12.63201117030058,49.77159786173523,16.391452516172137,10.802158299100734,10.119970184225725,37.29241570033369,44.695581812174964,13.210947540476468,8.70322614638015,19.719836364329502,100,18.676747735788645,16.325282524894078,14.276045431439575,29.27778913817676,20.274316326950217,12.827775156280303,11.541105981730674,44.49976911071296,23.308373391777398,14.806810167646924,12.827775156280303,50.87503524973151,22.1599335481357,14.17005996096013,12.640740277216139,48.933969971834394,16.199216680552638,10.787684233615948,9.689332902931373,36.65033289158801,43.77572529386977,12.965699619334137,8.162641262447039,19.353757484763808,100,18.819580391848525,16.755923937197245,14.439966948696997,30.010778768452717,20.90582018486508,12.948278980403003,11.649522865286901,45.382476996548064,23.770229423747153,14.699293595917945,12.948278980403003,51.35295415813772,22.314480974694813,14.303173177596737,12.55073877920155,49.14989080082511,16.480505846949352,10.88902349063765,9.82109939579078,37.18676341568965,44.18695344819811,13.087499102683442,8.309854809389124,19.482031094934772,B
Read 2,100,28.841786893207157,25.845208673420476,21.31928394010118,45.304837538228945,30.86054330736106,18.65767403564437,17.230139115613653,66.53490096825213,35.03209562310127,21.57956490975672,18.560612883325675,75.08694259786454,32.82522290342622,20.574582316350998,18.212319291771585,71.58049634330033,24.286097536294665,16.137682338485646,14.176867480633792,54.56177281441153,64.07071568767307,19.255355434282457,12.9289560718378,27.661933263374614,100,28.354716056598313,25.83781984118162,20.4775679610731,44.67194643449472,30.246880920051126,18.523459812069365,16.625040724905496,65.17114336442546,34.0183525489575,21.5363687546614,18.443826704715008,73.81962962659446,32.37787784894059,20.53339785074777,18.058511185412573,70.88332935123157,24.237483672195697,15.399384635786395,14.297969688304258,53.90619007354042,63.43917471598305,18.88198343633878,12.78849286531192,27.606561935709852,100,29.2182780084525,26.407541048018746,20.28498467368395,44.514243574012106,29.695750610802783,18.62032667555013,16.595502577691626,64.60910626398419,34.0183525489575,20.873077027045646,19.088726643727345,73.81962962659446,32.37787784894059,20.41357540471804,18.058511185412573,70.74244710810969,24.054607772162523,15.399384635786395,14.148489421621939,53.57752784045922,62.66361504002842,19.0372513321055,13.461369512084435,27.606561935709852,100,28.81941736049729,26.05421482307378,20.843371858459022,44.52146180592998,29.89129672113797,18.305696875263266,16.96527555508239,64.85969787238888,33.61843069680224,21.185400795785128,18.305696875263266,72.95180150460659,31.99724151860772,20.29200595830695,17.84621421335776,70.05002055650732,23.60324763219477,15.374973728294178,14.12988187418753,53.107307172438226,62.94001995061769,18.340564900907648,12.63815055389018,27.28201748973531,100,28.45346476171335,24.87431141703322,20.08403137593329,42.987476621074414,29.28540323913632,18.267495477384827,16.958033139732557,64.27058328973376,33.39144978142287,21.141189863498383,18.824951233252836,73.23088609668459,31.765657846201293,20.799874692144137,17.92470229223994,70.45006549298311,23.553990995850093,15.342888334726956,13.95298012053354,52.8371728308195,63.07149312980464,19.08508101036507,12.175427605709478,28.019723290184373,100,28.386304641086568,25.43704970959883,20.08403137593329,43.520680708088946,28.74267863788135,18.267495477384827,16.958033139732557,63.71631263540687,33.548273791230805,21.141189863498383,18.267495477384827,72.79956142250448,31.22529167663037,20.799874692144137,17.808971690746695,69.76490060266771,23.553990995850093,15.342888334726956,13.95298012053354,52.8371728308195,62.56254765419988,18.621064883495972,12.611776522841458,27.65978530228817,B
Read 3,100,42.9409047945467,36.79253943038389,25.344239078117866,58.84898002697868,40.71720978846666,24.18678180097123,22.94559592817353,87.64163071478487,45.84017328375791,28.63862043239314,24.403491990651116,98.66309789933051,42.420057438891476,27.809540578004203,24.403491990651116,94.4957476164048,32.539986925887135,20.52316491185536,18.132022297717917,71.16012635326567,81.84286614614147,24.307414877495116,18.42010423572353,36.02125647451967,100,41.8421176251294,36.57140933435339,25.804338538074134,59.31902083217147,39.30983891105569,23.958726856314044,21.669075770016807,84.72721835838087,42.697651012903194,28.590301219599983,23.958726856314044,95.11342985608977,42.02008261250954,26.506625687030926,22.90534482634946,91.2509874790387,31.85699935137363,20.329653874435095,17.961057124440384,70.13812428609509,80.30284762692267,24.66701903615416,18.340557986310603,34.16954616758164,100,43.32927376604838,37.889390067696965,26.066024060206875,60.86140556942898,40.814186957045585,25.098485198973137,22.4983295318241,88.22952523706019,45.73324016263091,28.601535503798953,24.875603265099446,99.03489717857857,42.21529861165931,28.88142170596767,24.296728966338364,95.368014996764,32.43381852734064,21.107649305829653,17.589707754858043,71.09376041237272,82.80251002749313,25.611001075139253,16.724103213230514,37.79127322608305,100,41.75842558487809,37.84036344798076,25.368237292226894,60.20718267987455,40.814186957045585,25.098485198973137,23.467597185147383,89.0532699797063,45.73324016263091,28.601535503798953,24.875603265099446,99.03489717857857,43.6281489623486,27.811769941039046,25.098485198973137,96.43267519309973,32.43381852734064,21.107649305829653,19.713032758559734,73.18671355389263,83.63531484798087,24.066423020117853,17.834263590923793,36.219425066413855,100,42.923390112740684,37.48589674166839,25.727611924021936,59.244787549991685,39.38190078290861,24.863377061226533,22.15092709085495,86.07284192094615,44.260713308404675,28.333612810629138,24.64258295679733,97.04297977849379,41.1464727850881,28.61087720023621,24.06913121869248,93.7519935525848,32.129997216471786,19.867485538152902,18.83183545364234,70.81474025310709,81.46973585310214,24.76548936989666,16.567441457320815,35.88014237623915,100,42.59470401396517,37.889390067696965,26.791844651890745,61.21622646433464,39.42606551711947,25.098485198973137,22.4983295318241,86.88674686735624,45.05163362179683,28.36255152738227,25.098485198973137,98.25705847925929,42.58017401046754,28.88142170596767,24.014943981447214,95.368014996764,32.43381852734064,21.107649305829653,19.713032758559734,73.18671355389263,82.42800557500368,24.999671881459818,17.834263590923793,35.407343337055394,B
Read 4,100,58.034084745347194,49.50495049504951,32.42457419254837,74.67125495478896,50.591508970245336,31.40217536647114,29.126158683888722,110.89276297456998,54.82170620292448,37.40838291010758,31.917468800914346,124.04034634350597,53.04032093367906,36.12655361959307,31.40217536647114,120.42184539864355,39.252719208088934,26.52016046683953,24.752475247524757,90.51686461542052,104.56610980766172,30.701666977526845,24.752475247524757,44.450180997443844,100,57.471102624549765,51.403716884143925,32.18430327421848,78.21289222954718,52.531950397732004,34.527973895952904,30.243294861167172,117.04832040819046,56.924397188169124,38.387678606064846,35.03369938052462,130.09635331247216,55.07468674252321,38.84318446893733,31.260158760067018,125.04063504026807,42.5873057108304,28.307277705172705,25.008127008053616,95.82143784936841,107.50949880840272,32.90493668859874,23.807027636995443,44.735897583965055,100,57.53687132179864,48.216007714561236,32.84356097575006,76.29716661466723,50.62451204785608,31.807950824437114,31.395989577820067,113.67530976502508,54.89006546097476,38.427885911612876,33.6822549596393,126.90980811079733,53.7257021299291,36.593376973983176,32.32990282399269,122.60146634763986,39.759938530546385,27.613926833705605,24.395584649322114,91.68651358923597,104.87618996584396,32.09897199053662,21.3025284805926,46.36765778272442,100,57.53687132179864,48.25456510394139,34.12113020820469,76.29716661466723,50.62451204785608,31.807950824437114,29.50252370449056,111.81124814376659,54.89006546097476,37.89176992167502,34.17559333976731,126.90980811079733,53.7257021299291,38.427885911612876,32.32990282399269,124.42346087783461,41.54418366159694,26.86285106496455,25.072324011571844,93.47441323859313,108.07271534134541,33.73742658541157,21.215043394406944,47.75089065820617,100,59.74938469928418,50.110138206276,35.43321853185285,80.43695424804005,52.57121869980648,35.489775979710295,30.307922993033355,118.04656141230824,59.547641687636705,39.34885380410274,33.03108852888172,131.78997697866694,55.79166143474511,38.00053266775541,31.667110556462838,125.42734477749791,43.14171686068098,26.036451031444017,26.036451031444017,95.21221168840144,109.9902280612536,31.667110556462838,22.121692403739754,48.15067206157143,100,61.01757559302072,48.8671718874875,33.145630368119406,76.5963732465921,53.13074417474782,34.10986171205659,29.87706746245772,117.00832656836062,58.0705810442129,37.922827810444524,34.60946317708857,130.39212289433215,56.235078315968615,37.05794133009819,32.74034104343791,126.00305559601021,43.89102549657076,27.20388335387523,25.390624999999996,96.47725808772238,108.90313952695817,32.50647847088523,21.57297073669387,46.956309688169156,B
Read 5,100,71.85057983287588,62.80435073294228,51.23238403303012,110.69643452969257,77.01351262816712,49.504950495049506,41.88880426504189,167.94422750342684,85.1511034843789,53.44885318971135,49.504950495049506,187.5645141816413,81.4073051273113,53.854286457467445,45.855272577274555,180.95360808098584,62.80435073294228,38.83487824518495,35.10869938039942,136.71990153096908,165.5088637631434,51.23238403303012,31.40217536647114,71.85057983287588,100,77.10760369884457,67.47922751968527,45.855272577274555,109.11309049424526,77.01351262816712,49.504950495049506,41.88880426504189,167.94422750342684,85.1511034843789,57.121096725057114,49.65119882104074,191.3533058096133,81.4073051273113,53.44885318971135,49.65119882104074,184.21000186516105,62.80435073294228,38.27066116192265,34.48356869054614,135.22681572402666,165.5088637631434,54.12288805617629,35.10869938039942,77.10760369884457,100,73.93940532729474,66.50513783919641,48.76713052119458,109.11309049424526,72.7531347088454,49.65119882104074,42.06154233506192,163.9241679362596,84.5529448254932,57.24789176836598,45.6968773800457,187.21627651609833,80.78142968620116,53.854286457467445,49.65119882104074,184.21000186516105,58.25231736777744,42.57555174218945,35.10869938039942,135.92207385814737,167.59848503172418,51.23238403303012,30.701666977526845,71.85057983287588,100,72.37828595712301,60.52265138521337,46.70797086736828,103.40552516407614,73.76055501740105,44.03669724770643,44.18933790382494,161.50958594249826,81.48111306853036,55.045871559633035,47.84735710240477,184.07245804013877,78.44975532635578,51.89774540818698,47.84735710240477,178.01002327537475,59.73879117834755,37.42399643003879,33.23077114912814,130.31398829038312,160.21196295738036,46.99540724721357,30.261325692606686,74.30626323418932,100,70.8342545229942,66.50513783919641,48.468857811720696,110.69643452969257,80.78142968620116,45.6968773800457,45.855272577274555,171.53245437250888,88.90036199488767,57.121096725057114,49.65119882104074,195.14284806274117,84.5529448254932,53.854286457467445,45.855272577274555,184.21000186516105,58.25231736777744,42.57555174218945,34.48356869054614,135.22681572402666,169.8332301673858,51.79539416883261,36.12655361959307,73.93940532729474,100,72.65291591880326,64.54776516842591,49.01009650118543,110.33152700727301,77.3960386686245,50.057758952637656,46.84453238581609,173.27685791297648,89.31392764530767,57.75895263765884,50.057758952637656,196.71990411158723,81.6834941686424,57.887163567088585,46.20716211012707,185.46930425556096,58.902805316820775,38.69801933431225,34.868637420629256,132.32838103534527,170.4731892274059,49.3116999417239,36.529969120158405,75.9456408290952,B
Read 6,100,18.383185244705484,16.50577936594005,15.374081966253605,30.62615915366131,22.519750387430783,13.246714423467225,12.378952652486893,48.030954851058716,24.821977876397952,15.989045244903751,14.093262534384596,54.85251826493659,23.420333715842542,15.215836961165042,13.246714423467225,51.85055872922249,16.82798442372691,11.167976955665107,9.723423189496266,37.7098370738751,49.442435695925255,14.087894694717631,10.526475734443299,21.6026367664866,100,18.868050341521542,17.057211565348695,15.032358431536952,30.76526059094946,22.89694770531208,13.747272024251274,12.586295436415076,49.114054220262545,25.789379341577828,15.977903503340588,14.583529791852019,56.2938751078908,23.536838556589633,15.72137217926357,13.494691026244228,52.71903601457578,17.33232729412419,11.355036353809602,9.929691239060848,38.616803314427756,50.33663898917663,14.500186972165059,10.800966341830973,21.580203994826615,100,19.263573706215777,16.97780938537745,15.474842761208,30.873335552838782,23.009726308578443,13.76931838401658,12.624774840744847,49.264207977590374,25.868223824460955,16.32825240829987,14.373127619352042,56.53281454785396,23.93312650266944,15.796850576757887,13.535947619570477,53.23236667874168,17.437277135017588,11.344766732761162,9.638930960895062,38.41058102607305,50.646101742124316,14.249444137526199,10.735511294423828,22.566111222629996,100,18.72249523218535,16.829359608522292,15.209885895413475,30.56319900838276,21.985491133375902,13.351701426887264,11.982401897449163,47.21363614621854,25.02692119636569,15.540128715306656,13.909109473939345,54.425531561877605,23.10177341202987,15.03588485868127,12.822120162609982,50.93171211096154,16.829359608522292,10.742945634058731,9.320578692416928,36.886554978360905,48.82517894728024,14.501360180327554,10.367238096738236,21.478990387493624,100,18.80733964052012,16.187366695928567,14.729445347394481,29.396727952601506,22.191240318106125,13.279525761343406,11.905259188847321,47.24230548959494,24.948057347259965,15.710218129984424,13.838082192630019,54.42716991139643,23.3026472130294,15.208496858764981,13.029208589907265,51.502469066922124,17.03317625127804,10.904373712803705,9.296061608655908,37.224565232684654,49.36609373250727,14.236850645899983,10.19696863501989,21.850647075042616,100,18.79793861679774,16.60297025935418,14.614922846493712,29.480372604957026,21.668495343162014,13.136045681021328,11.78886298163308,46.47034841267742,24.39728398304064,15.277389153402298,13.969844170471484,53.57257653667672,22.768060429110978,14.793026300039191,12.660436930433102,50.20133612083496,16.55753297139324,10.569426328957684,8.940250860246238,36.06666713944752,49.225703297007655,14.474332184508397,9.82354529284668,21.637016073451793,B
Read 7,100,24.55640651311242,21.072438999345536,17.101935483087892,35.81812721337721,25.86995085571807,15.897604958095979,14.108715709233024,55.726197032412806,30.09963508486745,18.367903957430443,16.261392661589163,64.6476048599909,28.390667317014557,18.008456050514255,15.897604958095979,62.257511941007756,20.4256870915345,13.50435156671758,12.553607325415035,46.450124991500516,58.54906555018087,17.172210829552824,12.078659238094517,24.50380436806492,100,24.934827740989046,21.68681942436701,17.54871065576237,37.03996005213875,26.459433479572674,16.78443033495902,14.520064331678434,57.65988805733448,30.891795272570008,18.479348434998172,16.735503956213318,66.04588931427558,28.2964456914139,18.479348434998172,16.36110978975224,63.09252167292668,20.51227486849477,14.317860352811767,12.562058370666918,47.38517220742306,60.3241058719013,17.000177368513512,12.554803355120583,25.340770220534157,100,25.03850463630715,21.85699992967031,17.621676703754527,37.39350763009883,26.569449556023386,16.85421857030949,14.580437525564706,57.89963297317149,31.020240732788597,18.982030798992273,16.80508875983768,66.74442117702642,29.255236882423695,18.610564830119092,16.37873305717588,64.2018518408008,21.108615461005844,13.883265241289081,13.036912277204811,48.00317473616898,60.41547044078707,17.406610231254625,12.482506561413725,25.44613499019389,100,25.087406278851436,22.050148951181487,18.13072792899776,38.04619270974155,27.329967867067992,16.584178102901735,15.197171354176733,59.003837567606354,31.409340106563583,19.22013005684421,17.015881756868627,67.58162333501949,28.77050940829262,18.844004640705215,16.584178102901735,64.14954048220402,20.950552753727727,14.05740862908129,13.200439518876344,48.17903837374534,61.334744103956595,17.284989367829755,12.76513990438606,25.76531611051359,100,25.327545185605068,22.127200131685534,17.158173696917668,37.32286938614821,26.789933383432142,16.994081558834335,14.701431777408436,58.38010708523652,31.701812371339837,19.095580269157214,16.944544049714878,67.66370109808528,29.07382989815817,19.139551217084783,16.565473394767515,64.7346242639081,21.19142615227776,14.071677915114064,13.080992307059304,48.32234035310951,61.24101258763096,17.82039860663725,12.171092051976249,25.892839695293528,100,24.776623115638778,21.77699137705095,17.279475648974557,37.19149893005935,26.648859432242368,16.429137894240476,15.008908568744138,57.95514177600608,31.106009784434374,18.938421736357775,17.231558354187307,67.16839991124881,28.834549374327473,19.035195088666057,16.85421857030949,64.69223236230371,21.526648428119028,13.883265241289081,13.459915528404636,48.845533101589425,60.25863981583523,17.67373494628,12.070922748792254,25.679739038536006,B
Read 8,100,27.034702543261254,24.1658721279653,20.142311192122058,42.745617950926174,29.041497745159635,17.625309904986555,16.334709425123677,62.805999330663944,32.4693815632919,20.317974208309177,18.163168554939745,70.86991987853595,30.88477062181696,19.957684829007672,17.1829053154625,67.99738288009326,22.051370907003495,15.17884815082864,13.340934558262148,50.550941926888925,62.332699448308034,17.85069598047097,12.40939731278992,27.111272762475295,100,29.483067889315667,25.766520292097823,20.999176276503427,44.652591824276996,30.96308002550881,19.221524914779405,17.220911725278235,67.23016729110199,35.40993208350457,21.659688535186543,19.72791707845064,76.70494003929284,32.532866643716915,21.182870382878043,18.63539284048378,72.28915415114301,24.21626796807498,15.979717528589035,15.130621702055745,55.27896034276568,68.51708512128378,19.941006072891927,14.268030006138055,28.368945763126696,100,28.441028544587418,26.584774079471412,21.593257659089364,45.831638039806535,31.948429272333183,19.241090373549092,17.37142975161268,68.32322922960566,35.58371911329881,22.351717795252004,19.306172768914156,77.16201339683374,33.25118313457572,21.849003341588435,18.798274027906594,73.84890139906504,24.102995856318724,16.698186878569633,14.67630588138322,55.465684012933295,69.9099415342104,20.115298870224432,14.810005839143898,29.577632488112133,100,29.88289507302385,26.613342591071433,22.461547111606887,46.72284221373963,32.46837450438195,19.700080020277458,17.7258620996297,69.71724013752797,36.44821964612413,22.807763839455678,19.785137129751554,78.95407694942482,34.077765866784006,21.69246292555248,19.18181853159143,74.8787457063608,24.753573108558108,16.300139357515377,14.97574914127216,56.0041460461157,71.04278161034213,20.16808065878947,15.11217700287475,30.543677458766037,100,29.423566472308607,27.127187918356167,22.478154542424065,47.32594733841555,32.46837450438195,20.306377689181016,17.7258620996297,70.32213283400445,37.04231627561523,22.807763839455678,19.700080020277458,79.4440991987244,33.92961289431598,21.69246292555248,19.785137129751554,75.35565357177656,24.753573108558108,16.300139357515377,14.97574914127216,56.0041460461157,71.08216595132001,20.03814229304426,15.11217700287475,30.181110145474957,100,28.58538772413602,26.441150634950112,21.83782729136392,46.2184628425817,30.96308002550881,19.6653311878705,17.210682492581608,67.57504683081207,35.85473582669014,21.496463235934524,19.80809408697761,77.07825801806159,33.540346945863014,21.074517394142084,18.63539284048378,73.20902367774377,23.894150907059228,16.41461921179743,14.681681752941229,54.985091142554175,69.05727339009547,19.593559666728996,14.836795252225523,29.32135151818547,B
Read 9,100,32.37565547594448,29.77961761371272,25.618645424633307,53.199232259245136,35.3264624384158,21.738141485486313,20.004801152276546,76.72669296866844,40.3680827578761,24.21820589008811,21.738141485486313,86.17217579558937,37.26696334222619,24.21820589008811,21.186208361804795,82.547867323734,27.592125549438535,17.476458084213455,16.320779430560243,61.3387785764161,75.89601153159559,21.7675770324645,15.536919131749702,33.12833727212043,100,32.831504949282575,31.597308980604787,25.675863977572035,54.66601698301866,36.05758900021277,22.39584123199691,19.802822999941164,78.1227221136497,40.597105530899036,25.768342305173594,22.39584123199691,88.63762608880867,38.19038688178227,24.13401676554732,21.686638809506857,83.9150844524191,28.42694088964001,17.796399954594317,16.81457382883029,62.984552167894684,78.54352111756901,23.57848251619966,16.99548897616513,33.63925105210745,100,33.314492731217605,31.85148388089826,26.787781040961576,56.71649936391285,38.31344748828804,23.17535865416503,20.47432178809077,81.68818924774999,42.84210724958103,25.81939251052987,23.285009493185775,91.86944897777515,38.69148769987567,25.104826769428698,22.58693447342386,86.33575052089917,29.180398185441174,18.631914065723898,17.399827720842122,65.17681434879391,80.55781279322146,23.20674033225634,16.760691609271877,34.64245095418351,100,34.51617185487785,31.97690635384971,26.00196323857391,55.784960669755385,38.31344748828804,22.32767843081795,20.47432178809077,80.84188869122767,42.84210724958103,25.81939251052987,23.285009493185775,91.86944897777515,39.519654741172054,25.104826769428698,21.48042708072713,85.99790633511545,28.358249681956426,18.41582762747219,17.25281386807429,63.94243201311553,80.14116289053035,23.901937768506908,18.631914065723898,34.12386964681795,100,35.40666058924569,32.18834661054755,25.503207221841986,54.93907961090017,37.72586111891592,23.328600613492704,20.627586345151247,81.48963371391916,42.28792529753587,25.99011756190907,23.328600613492704,91.48276979595381,38.94732664817026,25.27082691208615,22.58986077795776,86.73250322026621,28.545762367702295,19.3740045902593,16.673669247700815,64.56542288255694,81.8147626583179,23.875377886574224,16.871517994322456,35.55215379044131,100,33.007223653580425,31.2254659935773,27.261014311796373,56.7133938048225,38.0581725080071,22.480008293802243,20.707607154248816,80.95190216254124,42.451973283603905,26.090941293830273,23.52990355854514,91.98724256271905,39.09841541533989,25.36886029234855,21.978532386175797,86.4006443473573,28.656500238956315,19.44916236668703,16.738351585299654,64.81589219546342,80.26505585520242,24.15332021745155,17.176602452733857,34.87918676576536,B
Read 10,100,23.26476255190536,20.062052858032732,17.538640040142326,36.02750215162116,25.88129175385829,16.430786050356264,14.108984922864794,56.25284378892128,28.952478999402683,18.74018228753809,16.050547588188838,63.68979618220134,27.51403893057649,18.061077594697167,16.08220104423953,61.61647939442834,20.18480185236522,13.232107156903092,11.914690560408468,45.311304618797635,57.972669919813576,15.959763219835576,11.100266660487184,25.37671262802964,100,22.14749267112833,19.73111999241323,17.24933203918023,35.433211795967196,24.972186373818527,15.763512065403491,13.891435340518033,54.46466291034739,28.418075516603768,18.03016368960193,15.763512065403491,62.148137686071195,26.935240228966112,17.391337639264002,15.816917679934754,60.126264098179455,19.483821639328607,12.883587221593743,11.71815221420693,44.06753234600662,56.604466666394025,15.98485836794469,10.557192652267167,25.07609133716824,100,22.36954531289458,19.3881112102059,16.999736489808036,35.25438949220429,25.779627187707412,16.304467828631307,14.755358944077278,56.69821001646978,29.723941055080537,18.64890403879336,17.07915432591046,65.40320041973212,27.859575705434185,18.71329405872838,15.973732928028213,62.52477993174259,20.533099065297183,13.387627671978027,11.735814456102645,45.64407761312858,59.60196768204063,16.781639465184693,11.035906371520964,26.069620867767824,100,21.902572567119343,19.5632007479657,16.781805500757013,35.226737485946536,26.20581933105001,16.343228458414384,14.828536958333398,57.218162854322166,29.77166399073754,18.67673521225831,17.121046514172086,65.49433358100434,27.892619264363727,18.77371588269455,16.380225061407685,63.021507193010365,20.466733739929825,13.430853887522032,12.159417729781206,46.05015091484212,59.90945565977674,17.090082188196373,10.582331369124283,26.153794933434384,100,22.29860624727673,19.625039548378783,17.66904417197545,36.07382212179238,26.332066978087553,16.40881642273455,14.87540960198706,57.43085747957092,29.822397150505836,19.1577564232329,16.394889004956102,65.33876395337904,27.929033888909878,18.44495968483352,16.07596481876759,62.445121653516125,20.594380178667336,13.089178404876819,12.154077270163851,45.810046722588694,60.481510294039026,16.852934932050097,10.870937191948581,25.900555716753356,100,22.315335911820256,19.623233908948198,17.760923860258654,36.21749448998219,26.481915867876513,16.880544087603273,14.96006165819931,58.13248496478972,30.035729770247226,19.2467815309878,16.89422547098186,66.13117170509847,28.528699914264127,18.159710049072643,16.55810291187519,63.235547769035364,20.648267563525756,13.623669511546142,11.878136538792429,46.132549364104435,60.93827759224246,16.68782702156146,11.299984339786475,26.38577129351901,B
