,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,20.655737506351738,15.371672916100085,13.659053505336226,28.99679826155783,18.071305368027872,11.047426059739642,9.106645973878885,37.28497910645979,20.128374298302504,13.23311984656544,11.130872129474026,43.27586026526729,19.42011794877768,12.351397822990249,10.809425423115936,41.6695221258577,17.554634628130884,11.318033617856099,9.863385177107302,38.572090493068615,50.9850146888456,6.266153345166684,8.274998322635474,10.57789331101511,100,20.22866307774559,15.539801197836544,13.64163843275474,29.167414809215,18.11419584832957,11.25077293640972,9.371816538861783,37.723072760856425,20.28751735581261,13.076396508601283,11.384650103973728,43.40842908272707,19.392356558780552,12.427764328846475,10.665970769852803,41.608092686847705,17.347914877448442,11.24414768923411,9.952798806118713,38.37070405760328,51.90132243686669,5.353903690752156,9.141040723224659,11.083953781622034,100,19.87274813249334,15.156381829571844,13.347606732904719,28.500864475118565,17.26137043203871,10.854101200252106,9.235732173756224,36.524179972910055,19.43513822453655,12.7889098759442,11.084584060330828,42.27931441561253,18.741950807409047,11.938462396683533,10.306966884310947,40.249405336952165,17.063115543740704,11.001135565644221,9.70722965229717,37.63237322385583,49.773931618248774,6.3972256992509555,8.923447643213754,10.105553617677407,100,19.876294611287403,15.957148203607828,13.593464740121586,29.531629341200954,17.767906718489733,10.903220618441825,9.338721173405284,37.17087914594199,19.90605327241016,12.877902511337458,11.43323724707052,43.02588129209135,18.34971910337355,11.890068907783832,10.131699924892432,39.584093916011966,15.240900356955262,10.288715000022629,8.93930562909411,34.20970971848831,51.29521508042472,7.023381810479466,10.672305409647054,12.883646873757405,100,20.133603938835503,15.573324109383272,13.230911393789748,28.77400794506587,17.593031986381696,10.62872239798582,9.062015465891854,36.32625984026298,19.305897589085895,12.842092048993065,11.337551085769189,42.21376371315041,18.54468400838752,11.911302528787543,10.24530633156085,39.84641237744196,16.83072188044735,10.836616760394268,9.594987737382212,37.027195138590685,51.39149763988562,5.962773426134075,9.273649717620218,10.446903403265209,100,20.080011605073494,15.5069710768906,13.406487913834571,28.907133045531193,17.604449389721633,11.01885710622434,9.33188159333687,36.9195340131913,19.582015850485252,13.056563611418818,11.132261710670203,42.53885972292588,18.786080832535383,12.003033674810208,10.324207332427543,40.35090124679661,17.112127947269062,11.096808557858758,9.602426939848165,37.62521815186875,50.61555941767357,5.808625473080207,8.902379652950232,10.608920416101128,C
Read 2,100,28.650006136256305,21.119330119402225,18.16815310650057,39.28393886063834,26.07129313613956,16.434334303526466,13.77933433233659,55.11733732934636,28.441410693970422,18.877804087732155,15.93452437805424,61.44778317443612,27.317082924201575,18.050277554664177,14.877090279176352,58.78656047754075,24.489175868580755,16.509361743712553,14.330884013870852,55.072475084270295,74.89721488683706,6.703704789406026,11.386435484892221,15.70728244764969,100,28.895182361259415,21.230198700745344,18.392106001502462,39.62011637443354,26.39850397720232,16.57497329766192,13.897252812304478,55.54376508953321,28.78819948811895,19.03935339842222,15.44723853459245,61.2241166269814,27.25475510587413,17.382663826263656,14.75866428305506,58.092133836321395,24.37739405073761,15.978175615115367,14.453522453345105,54.51160669105564,76.01622824639847,6.502591436982094,12.908160826122296,15.565158097336816,100,29.170851249959583,21.069393180691815,18.192929217508123,39.262315751797615,26.112622136155338,16.79303972814215,13.325454273721148,54.94225547989055,28.75388274578692,19.063316344222425,15.720013372358515,61.59546017050715,27.55038619810745,17.194418767329836,14.804195443581316,58.494830591378886,24.754095012394586,16.470325136922344,14.56816589496771,55.609815931482444,74.73209044080829,6.687853789714814,12.768372268987038,14.781518592724659,100,28.925993928799315,21.355774980981387,18.040219518566325,39.39596901216079,26.167983921788895,16.519498198179164,13.63136398944772,55.14303248239755,28.512525418166963,18.675083471737285,15.763410376526714,61.07843379908767,27.31913090481502,17.69562697689398,14.47629452795604,58.36852526548509,24.226197145302674,16.332074811036808,14.176990816254136,54.48107546906287,74.5736456592651,6.167852960359158,12.192262602579131,15.187934106168013,100,29.170851249959583,22.003953701185736,18.192929217508123,40.19672751347772,26.389494804319874,16.65933505514852,13.746752911896936,55.609815931482444,29.036378384581003,18.833167267322306,15.720013372358515,61.675284669349566,27.49350582379387,17.599351239883088,15.228641055617718,59.311121139177686,24.754095012394586,16.83958556205888,14.56816589496771,55.96459029234479,75.21531566589059,5.694502307193934,11.832021189063465,15.199242107243158,100,29.09654813828516,21.481693465539053,18.226112345624202,39.70398209720558,26.322276279818304,16.889163952800146,13.711737597876064,55.782166087377654,28.680641723698603,18.78519599220743,15.856355013180762,61.438566073846424,27.48021068609341,17.799964400106795,14.990800549123303,59.08101249755159,25.035574546633203,16.42837242195094,14.260581563991483,55.46816828712867,75.49527933487755,5.738455217262469,11.792452830188678,15.211807072261411,C
Read 3,100,33.39937166574901,24.080497755690182,22.502224461593396,46.57979214179059,32.27999010571362,19.64289191616789,15.754364386927206,65.73096239494527,35.41562933476448,21.406959180502557,16.625040724905503,69.91220035507887,32.7475324097327,20.307063618955635,17.16490168121219,67.85379567811368,28.408882043929818,18.58736059479554,15.684032051843117,62.25850235080543,82.61156546183406,4.5225000225265575,13.174754755887994,19.387962543353606,100,38.112432890396214,27.39781601624218,23.62269674667286,50.97363814319353,36.31210548239213,21.865394095003346,17.987547446198676,73.73216800740946,39.10816653174237,24.985291097245184,19.685043491280826,80.34806340264436,37.10023841806003,23.41228141523207,19.056216445198107,77.20237022327422,32.7516348994389,20.59231083012991,18.405918427474905,71.16824383354087,99.48306649499501,5.307357586858231,14.06903018636864,22.702402637217848,100,39.136868860929226,27.117186543179923,24.455414503998174,51.57124426541765,35.8390825194875,22.895676622490168,19.299936590393347,75.84116388785766,40.15936713738011,25.29449729144898,21.088795441160865,82.7506487878779,38.77624766308109,24.041587429439545,19.83329775215362,80.30374057792916,33.631976308795736,21.689308192653353,18.900656849501825,73.66653450799916,100.38542367819886,5.6666565006153204,15.647566702421805,22.417338953851456,100,40.11448189519985,29.7440256051091,25.06629454303643,54.80989369593821,37.47305677858971,23.467595443439507,18.932434684625136,77.60532441297823,41.0394030149772,26.29777034305511,22.078823179669957,86.60364046006649,38.36274878171627,25.06629454303643,20.982017924136034,82.84586655409248,33.12460060036998,22.958949398475532,20.390856195403178,76.20157968191386,102.85609330517036,6.994005974712011,16.03843254345944,22.040591422536508,100,39.50007010305183,28.70511453409457,25.975086093729363,54.67894442686821,37.47305677858971,23.467595443439507,19.45965662633584,77.73562587495451,41.162521500624436,26.29777034305511,21.829119889805703,85.84559644082502,38.36274878171627,25.06629454303643,22.36347811899334,83.81243014699506,33.79257873629186,22.41997541690459,20.637528748502373,76.31217709814392,101.93773532923136,7.572973873850053,14.048175719329926,22.040591422536508,100,39.78814106240834,29.184643432754935,24.70107522887997,53.882264784087596,36.92706925448537,22.678668029215693,19.176126787707776,76.03964357502265,40.562777974687734,26.738980457364995,21.300637639710082,84.8365005991527,37.20326659021623,25.500457563086645,21.757131728816844,82.07900339093743,33.275613232308125,22.624434389140273,20.3368371531622,75.89949808601541,100.4524886877828,7.73213008626021,14.731964340361726,21.738302532967083,C
Read 4,100,46.98900298541918,33.80660126806691,30.357386931269424,63.98698256723966,42.09812121915088,26.625189653276255,21.884703454428983,89.43419367853757,46.63812715573492,29.402603254435114,25.395408173343814,98.89944876514805,42.77042989425535,28.868505457067922,24.705186361677764,95.22994376594298,38.1328073635766,26.29848783694938,22.622814640480286,86.87461753666763,118.37241220172942,10.01416581967641,16.264716471864542,25.018142788218867,100,48.25063348310237,33.376856833577285,30.229548415486065,63.56769247068074,43.58832020035975,25.688171904851195,23.144996596324027,90.82140275103018,45.502450557027636,30.443403369636346,24.544256470142876,97.4949695845781,43.4178862330891,29.890399455548188,25.0303285375769,96.39556477499751,37.55783314944512,26.15299212021585,23.81600501638652,86.98506654847263,118.44792375765824,9.627049437529577,15.93560232909411,25.903740763023066,100,49.00454963127585,33.89837022160194,30.70188510947803,64.56093766553512,44.269387703490374,26.089549590864497,22.888475328051502,91.35529125640998,46.213426346981194,30.91908154728691,26.23571067617571,100.14155452710122,44.00948689944565,29.688759061924618,25.42142742097654,97.42209598345427,40.09955752212389,26.561632622094223,24.18813009476756,90.48256719570179,118.92396813741436,11.402393876155033,15.765700015198252,25.042547395291525,100,47.679589738845856,35.25317694685277,30.70188510947803,65.92365841294367,42.596575776408635,27.27196200679759,22.296066781799084,90.14383856751448,47.09454194116814,30.325929479343614,26.23571067617571,100.4846366096469,45.01886226797484,29.688759061924618,25.42142742097654,98.21372155464468,39.15874518392227,26.561632622094223,23.01343608558246,88.19258141096223,121.7128378576625,9.971104190995542,16.184596115486205,29.16900319376242,100,49.302086501477454,35.05190355199103,31.74664471143054,66.7578926504361,44.89653551074515,28.200004179748383,23.667351097007217,94.46403579730585,49.79718263445238,31.357895624051054,27.128490078653527,104.71737731541639,45.59685078382035,30.69904282754345,26.28649744187909,100.39170535625942,42.510920066681464,26.595760991904882,23.796564165131883,92.27453703324309,124.39233628824708,10.409079052445694,18.085660052435685,27.20374262287739,100,47.29710004559477,35.25317694685277,29.332416254972927,64.56093766553512,43.41902231224441,27.27196200679759,22.888475328051502,91.35529125640998,48.15839260859512,30.325929479343614,25.831777782452164,100.4846366096469,45.01886226797484,29.688759061924618,24.92776047748886,97.42209598345427,40.09955752212389,26.561632622094223,23.01343608558246,89.2378473465849,121.6892721719679,8.74523689205857,17.49047378411714,27.792797624781215,C
Read 5,100,65.98046978094483,48.664789956679265,46.091974654454944,94.75493835321319,59.83522854977373,38.06335471590382,33.79849162012588,130.8477725652208,67.28714058581137,42.55612429822406,35.408835748215196,143.05442314983003,61.61318305583928,42.55612429822406,33.06931666967978,136.22051095871143,55.98628512957622,35.89725655512125,33.79849162012588,125.38372679039011,163.65284769519658,16.05374117260021,21.763555690776776,37.787862399779236,100,71.77636154684639,50.97895746360457,47.726504013359325,98.68160518426734,63.04536494880497,39.87338983095371,33.747734630173355,135.01924741028233,68.67427342203054,44.57980507768067,37.0926399364079,147.67343501325564,64.5430883601258,42.201651983615555,38.40874755169976,144.3227330510167,60.63509040492482,37.195532339158724,33.747734630173355,131.34612684788172,174.2652420162502,16.81714827287315,21.055496560309397,41.83783785021166,100,68.24450690677507,51.535287426950084,44.907091299585396,96.35447832591987,62.542256820715224,39.20736663048799,37.52129795513226,138.61897408442607,66.32173947680721,45.91259855749859,38.323983419171874,149.5264025695741,64.40064844098622,45.91259855749859,34.56541816866667,144.00422770911103,58.519181891300484,37.52129795513226,33.21819194149599,128.978424579983,176.57327454681666,14.066260727152509,22.74816896892502,41.745506070128435,100,69.96219952971143,52.14674466794619,48.81978648651602,100.94212837994766,64.11642561512802,42.420814479638004,34.52080208069486,140.2099010886939,70.01933485938885,45.601005363679576,39.28858594301415,153.2899347609463,70.01933485938885,43.16837534636241,37.94232993495118,149.9135552115223,59.99209116401705,40.19420362995445,34.52080208069486,134.35490407488354,181.0175679389735,17.202382721431615,20.58854606696979,42.796227235355076,100,66.75292432192651,49.75469216024224,43.50921612681354,93.16069347885629,59.4244887899224,40.4749055585537,32.93727904947033,131.7767452463549,62.99307895266462,44.90911218859482,36.20185608472407,142.47575588174942,64.98432044680138,41.18817464240083,36.20185608472407,141.4757337174132,57.24016037667682,36.70121561990136,34.5554465053041,128.19183508062284,175.4120125541825,13.758822216926024,19.644117348301453,41.27646665077808,100,71.61795854205336,48.177239162959935,44.907091299585396,93.06001541204414,62.906230350297264,41.37931034482759,33.673256870989526,136.60047893119943,66.43638388299198,48.256153612512826,37.0107803172379,149.5264025695741,66.32173947680721,42.10851730337585,35.96801327008358,143.4747986090576,58.519181891300484,39.20736663048799,33.673256870989526,131.05625953345879,179.33156373125522,14.855627054164149,26.17057373932452,38.71908647618813,C
Read 6,100,21.358381840842156,15.93920386748648,13.792759913703785,29.731019407374458,18.92748158913086,11.576881072259612,9.723434379715076,39.33308108131348,20.541173029979895,13.481243880292773,11.549257837781742,44.14065258833056,20.172445281673117,12.758174613040783,11.077774295873187,43.20523454185191,18.429865258823853,12.039434210857634,10.585311053391598,40.8249695503482,51.028942964310026,4.828756015302112,8.375099975119875,10.609423410496833,100,21.376473057206173,15.82297105747044,14.051713532474913,29.874097892681156,19.07218558809667,11.537513844432025,9.690369804368435,39.37294414433338,21.17217993872327,13.435400859541145,10.996916852868047,44.02371283716728,20.457370785135467,13.003435263617439,10.701584778966247,43.28098057177491,18.198883494396412,11.803903792302247,10.834162804839579,40.648699970838734,50.87974159217418,4.282115869017632,8.12318161037637,10.90421200096391,100,21.36643170295802,15.746815175513298,14.049088808986316,29.79260083225888,18.842495210033224,11.54202790857449,9.763532585054872,39.18344235761644,21.135788126172006,13.37073634121587,11.179736849983836,43.97145945719894,20.35890956005911,12.727867517082226,10.874868125681271,43.07266942493392,18.65311859248535,12.100188896166822,10.638270918441265,41.16140986174112,50.38541873619217,4.519140774420922,7.80728542183768,10.353893727094848,100,21.50158302391966,15.97797261184987,14.072506602142257,30.04894186170012,19.116767964364573,11.60503938848087,9.868171017330283,39.78692846021658,21.088603254893524,13.733137634971904,11.479906518238813,44.833868729304164,20.502093616908372,12.789206176111849,11.104718640356294,43.72923089793706,18.83258854711103,12.068717589819409,11.104718640356294,41.80803181406429,50.64860458252716,4.56757363432566,8.170724110870355,10.213405138587941,100,21.325978297509298,15.54168577782201,14.08368725858376,29.622881898359303,18.818560815046546,11.510260331305007,9.446120585622205,38.92464688089682,20.772468772108926,13.403664223847402,10.921904715334337,43.694122952515215,20.40904709679545,12.54710532524494,10.901649476546144,42.985995259587874,18.344474041312758,11.938456571563254,10.458185679592306,40.538663778611415,50.009432966198915,5.032161731542641,7.576425306167429,10.85230078991264,100,21.00073620724348,15.604538067306652,14.08368725858376,29.68782925984553,18.54135472251768,11.66015756960364,9.446120585622205,38.7384443334033,21.048792874676508,13.278227686206872,11.294268007360019,43.88663918322607,20.305128333935528,12.97271900200061,11.022622606152337,43.178743747787706,17.857805703814513,12.103929817351656,10.808570723026872,40.519966569324765,50.53512536337835,4.551130893168526,7.55555931968282,11.834861375399926,C
Read 7,100,28.778214442120653,20.627098760412977,20.027443907367253,40.6533079848892,24.608079053649526,15.058813032905794,12.769544365714895,51.54878878490419,27.540867092578615,17.436849187318092,14.804670094411213,58.15469711740782,26.894446370247373,16.626640920160863,14.585561409692643,57.227830002594665,24.425151694315833,16.02798289571111,14.104585814169138,54.36305413751503,65.25329003354945,6.866401814346995,9.69870919631531,13.436529566585364,100,27.32127947662636,20.81697261356524,19.074784561373793,39.87855735369158,24.519419380149074,15.011012029240845,13.057598034223565,52.01816636397065,27.65807895685283,17.337847714460267,14.93874677493901,58.281994527288695,26.81039021741201,17.156586587422417,14.48929649146151,57.28945416441833,24.2828921207139,16.011011884380647,14.422755168549177,54.53021849996762,67.85104180630826,5.48270885028391,10.402708628676159,15.209947449265224,100,28.430270515120192,20.661146475687413,19.153117104318948,39.814261938560364,24.470774210820736,14.597956855371233,12.840776401198209,50.920628235337745,26.723116459768043,17.339557406359717,14.967194264366652,57.213424477996746,26.518076731284935,16.934790313858272,13.862789693117112,56.17646744290037,23.328866056817226,15.208373045068411,13.928257777204669,52.27816208128341,64.6345958209348,5.898858732821299,10.663684379320856,15.737517287424295,100,28.064512940287255,20.885846483543613,18.598690196783707,39.47840002384626,24.40432276020818,15.01417085981408,12.73168877851616,51.39152277916956,27.459221603445023,17.385157275220276,14.56588525554922,57.671937585596645,26.510311323762288,16.979325719197384,14.119559204583915,56.69036050120777,24.02667022358442,15.611387316930774,14.34445825762647,53.81030992142825,66.70987092418018,5.7576716930249106,10.143063706415045,14.352425188680916,100,27.850290336282068,20.928699297269134,18.90447968293813,39.8000124414905,24.60313358433327,15.136484423338233,12.570166122347839,51.47045810878752,27.289814132982713,17.526786177582878,14.684546841868224,57.83120259720962,27.101841979986688,17.117648498013693,14.445238914217107,57.52300367385412,23.580766080761645,15.372589750881632,14.177335425261742,52.86023668223984,66.77308101585072,5.8643167320300975,9.748733871369815,15.936635579480877,100,28.966656664293183,21.704000998701368,19.639203548188952,41.310888529081836,25.361960840860522,15.354834687635778,12.919163631905043,52.562119498426526,27.804144695999025,17.95360366815239,15.347046285061335,59.04126590108025,27.19107828744811,16.690511653668473,14.448202154224116,56.976084747694905,24.29289456894713,15.965601679525195,13.595539143724055,53.60492815073017,67.780423656295,5.888310307477895,11.25756912784483,16.136919315403425,C
Read 8,100,44.17162690616923,34.21117046963917,30.868215062111954,65.05945212686746,40.868516233907535,27.368936375711336,21.57331179400403,87.78819579567278,44.83682979240272,30.07745979342008,24.19095063141082,95.79127731498967,42.32501477791934,29.429561614607962,24.502010112439688,93.78662850358172,38.16816702016098,24.4175687006393,22.14029836201972,84.29957782521385,115.02042482837686,5.867167331612298,15.655555109277557,28.38156916791322,100,44.285953469926376,34.29971702850176,31.14871128205582,65.38679167807177,40.97429357004235,27.43977362280141,22.103875562418747,88.74363372068757,47.48337898967192,30.155307336414815,25.396509582262237,99.27069698695993,44.09803485645015,30.155307336414815,24.928964824020106,96.64976187548645,38.266955217154326,25.450950179745806,23.203626968607082,86.36448071639035,115.34812660558768,6.859943405700353,15.69607536956039,27.160932660271044,100,44.28199075313462,33.32714291508299,31.260314703428925,64.57035934648103,39.845173041894355,26.55260425703689,20.929845526924222,84.98694037267323,43.588774405912226,29.180340660237473,24.575402032016058,93.52492895510416,41.89064092207218,28.551767313261507,24.122973702660623,92.206087118928,37.84328355782027,23.689266901963588,21.47992061032924,82.50305524587176,110.48085230429507,5.692167577413479,16.57584218870792,27.346111451421482,100,45.259484249573184,33.78483824190294,30.358791547526614,64.1416883166313,40.39238315060589,26.917262065067757,22.19894294480248,87.62561695431377,44.09687980275315,30.46827185792057,24.097649183867404,96.03760517653342,41.62651770772403,29.423078555065125,24.859387453592635,94.10432836420632,36.731287854217086,25.624470064829225,22.407949035138607,84.53105632881704,114.39836377653793,5.7703404500865565,15.397188764138878,25.415713266641944,100,44.5286692349455,34.53165681662089,30.868215062111954,65.39720625718269,40.13760003869296,27.014467104485654,22.046813222313936,87.44244788810764,45.703689495776686,30.509270124383946,25.628173747760567,98.6382336712861,43.984193414671005,29.916800713405216,24.86460936448849,96.66414140633172,39.827652542776676,24.4175687006393,22.78395662866416,86.69124415519305,115.14605505964106,7.871630993310689,15.655555109277557,28.26002013328396,100,41.61051673934207,32.64197489608991,29.670998573992943,62.24483120674808,41.09519634106142,25.934454765429006,21.682970834455784,86.88530975057687,44.949433569879865,30.005770340450095,24.912906110701563,96.39750521759532,43.2583146312552,28.94388044774254,24.454264397480777,94.44339324900066,37.53827113050339,24.69813567112833,21.774913172663833,83.6361035521913,110.81457711859485,7.741724099826164,15.397188764138878,28.94388044774254,C
Read 9,100,55.68434119489011,40.930476454476185,41.279251273772786,82.1855515249826,54.6822751916871,35.403472342715844,30.893214981731926,119.20303033901818,62.96842414937884,37.2086142700875,33.92644123505406,130.86551839973453,57.31553231534627,38.0252868408337,34.584107449170325,128.08150036265323,50.108959332685465,33.68410640982238,29.88225675011819,112.93913319816802,151.84509598787852,10.898937071715247,17.292053724585163,32.6341135328822,100,52.91371526448334,39.67336715497207,37.7679203247376,77.4403004761501,52.5549740754962,32.3736957344743,28.71974919321805,111.82479946940136,57.767914432668725,35.76108988689017,32.60660302322547,123.09875380118062,56.40925889904689,36.545991495926735,32.60660302322547,123.09875380118062,48.15957363602391,32.3736957344743,29.691378180264046,109.36154675643336,142.00904297563883,11.342057760835052,16.619342044966995,33.57844096796746,100,54.67733105006997,38.226120949267376,40.96885558046166,79.11776326468356,53.47227363701793,34.76322671807611,29.341858227808824,116.08173184825306,60.440804156381354,38.38077884703491,31.4216778633583,126.81284684852,57.631160572337045,38.38077884703491,32.10551355604831,125.76524111523642,49.20277584713811,34.76322671807611,27.608195527523456,110.89671246664312,141.09697933227343,11.241761227131123,16.979339716449783,32.04394971501808,100,54.059898683368225,38.586025117145475,40.96885558046166,79.54092248088037,53.47227363701793,33.07495424700564,30.334534027173586,115.77513246128385,59.01924644243839,36.535723988176144,33.312906626073556,125.76524111523642,57.768051882943695,37.33762763922086,31.4216778633583,124.74049941554226,50.6659331636803,31.4216778633583,29.341858227808824,110.89671246664312,143.0980606311184,10.701837852016105,16.979339716449783,32.35059736903757,100,54.059898683368225,40.53274653094424,38.586025117145475,79.11776326468356,53.69338666973886,34.76322671807611,28.660979932146176,115.53610376588739,59.01924644243839,37.33762763922086,31.4216778633583,125.13562393824458,54.82159866507839,37.33762763922086,32.10551355604831,122.39136796631813,50.6659331636803,31.4216778633583,29.341858227808824,110.89671246664312,147.0722504934689,8.887392597375953,18.853006718014978,29.875390259087656,100,52.803379394222674,38.226120949267376,40.96885558046166,79.11776326468356,53.47227363701793,34.19048198347626,29.341858227808824,115.77513246128385,60.440804156381354,36.535723988176144,33.312906626073556,127.46516463294576,57.768051882943695,36.535723988176144,33.958679432899565,126.45419928404638,50.6659331636803,33.78378378378378,28.660979932146176,112.50540425054183,143.0980606311184,11.587742239358708,15.13468423263893,32.35059736903757,C
Read 10,100,27.850332053282497,21.6137417910302,19.67642597908646,41.269514934356536,24.8162249823429,15.887057200521093,13.780807092640861,53.46620565033892,27.441847463546157,18.835829367542228,15.551798983891475,60.391016528174504,26.22128110414157,16.96972426516959,14.362642392405078,56.44083223972967,23.322655194300417,16.05792236296898,13.719208937823774,52.89284391888304,70.97619186522479,4.8504728362251415,13.456019452729569,13.622835981004414,100,27.441770041550303,21.432664083412746,19.57874460686133,40.97604998949893,25.041493653828063,15.925635005997595,13.513901007984915,53.239295811166336,27.305615542186,18.365678727548154,15.311157220779798,59.486544593266146,26.42819402549357,16.88548000484174,14.114209129524555,56.16063816644803,24.131966085687353,15.978204639172672,13.651101490042647,53.523808605957576,69.7276028603292,5.180228793438377,13.38921857912439,13.015163765751208,100,26.27854948530406,21.64865057866442,20.19488520051644,41.69939271012256,24.760636554790345,16.135292814640234,13.508961871483994,53.28365432555959,27.94372436137734,18.395504587835106,15.512725551931595,60.358477580844855,26.711741575581648,17.630899554536715,14.300019877774506,57.38705201839302,24.449658606322053,16.882661883851277,13.830815518581087,54.88760489044143,70.28585846740813,4.4603039831987275,13.12106368089573,13.565484971370559,100,26.00444732447488,21.422841239150976,19.857294519722075,41.17127544847081,24.008099109904634,16.205708917419656,13.748002747689757,52.695888353947375,27.71315402481216,18.001847516195998,15.605069359290153,59.4727504380807,26.767619296370878,17.446997940485936,13.984414128027279,56.78846818214838,23.583004069812215,16.361011184969318,13.686551223407832,53.377549771290546,70.88655855511449,3.6979025082525565,12.991413996800377,13.85657701240608,100,25.869019657808895,20.503346962993813,19.451182817926956,39.927906925208966,24.100146612689358,16.112048326832717,13.302551457190877,52.47072607612406,27.13993234193553,18.032507426933964,15.282292525172677,58.74629945325699,25.886375593782006,17.300327751416567,14.032081852453565,56.13472854200248,23.69418871593047,16.617043855306797,13.649168980718535,53.74936753008928,72.79570500296076,3.62141471848325,12.722698274745593,13.166807584460704,100,26.197698449872743,21.615964822962916,18.94985625157241,40.50577651487687,24.526839725564074,16.316759933680917,13.634699896354546,53.137392810833795,27.218678563742444,18.261619424116972,15.624565157059966,59.40902357143309,26.215274901665403,17.153488605990546,13.869162914884761,55.98083743048746,23.682215262280508,15.968644235513827,13.334098439291814,52.705685683818295,73.76183695648348,3.667426597981514,12.905778751232273,12.99115418330391,C
