,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,13.368852255511554,12.34802110526988,16.699356969668656,28.818753152194834,27.939635558527304,15.76208556726557,14.768381385580321,58.44403103612285,12.09192832762914,19.468200630031166,9.74748666144797,17.103110549014566,9.74748666144797,18.388968516688003,8.339260915606303,17.09294223031016,7.370934929386442,13.202000871090078,8.020444325108613,14.563893074538983,79.81330573193917,78.23197962398143,8.595913398657459,8.706444001670784,100,13.639054524575213,12.621533052966123,16.52252305543325,28.92544983953452,27.97122176281941,15.529558522994357,14.611995083276772,58.08358286830262,12.255514315986,19.838784289287403,9.353103583361376,16.919486581096844,10.214201516926252,18.368799873315243,8.010227664962649,16.349073826373456,8.459743290548422,12.838787097237681,7.935513715714961,13.110971443549724,78.59764802561624,77.68614126431324,8.302362585039502,8.88654971512708,100,13.107979016454518,12.800317342781122,16.657701290585713,29.269510971881424,28.20155405150201,15.84290417737773,15.20390426099018,59.224908501188,11.904053330158916,20.239078788071307,9.527891550254223,17.856079995238375,9.861342494959162,19.085969578982155,8.171852995503826,17.4674490694949,7.445982979106482,13.484329217557514,7.726179980803029,14.25072304483409,81.12461686523348,79.83041355004143,8.676495290228706,9.065856920259398,100,14.412924884009145,13.65954527390346,16.501758764813303,30.030035350856004,28.7899581532783,15.989704522678721,15.050970608742162,59.79342155583944,10.730600607045403,21.769948770367268,10.122067645227444,21.163497385317246,8.975246753720112,19.96360253377037,8.551568618193794,19.556891723723286,6.25320478718801,14.818096052481307,8.501961936328936,17.302573577609785,84.06399696234085,84.76938852149715,7.370889585290679,8.09417100434993,100,13.477970599504804,13.391894334661778,16.708715910716656,29.969312727525335,28.536268448840897,15.859485020885732,15.214417477220806,59.527225680527856,10.975487864938808,21.11177243463112,9.938726969597445,20.19966905907235,7.981225053352648,19.604077116501966,8.148514418655008,19.73147310970193,5.421491073967958,14.065763212627441,8.329809620338832,17.076674062614558,85.01689697077481,83.2726401176076,8.329809620338832,8.954276287123806,100,14.370634658842878,14.282108346221587,18.077293594873662,32.212555717594476,30.206091896766242,16.630891498606847,15.943042698620586,62.72360657208953,10.806742612870393,22.44115065724619,10.40819934563207,22.109022283380114,7.1963405790567805,20.980757867701634,8.22438923320775,22.003603717838388,2.907760698959415,15.283041968196569,7.5825122169639805,19.91869139407073,87.29882639621472,88.1518001492604,8.753518867253748,8.582821054905128,D
Read 2,100,29.171122819385285,24.453383433688778,29.234127477706064,52.578055145466124,54.20629637807324,30.481965436544606,27.465607257387976,112.14974856891207,19.278487667601933,34.54238078912163,19.182812200268557,34.64874710951168,15.346249760214846,33.50134125565505,15.465677629577112,33.99202982288384,10.550546710147707,23.178680171867583,12.468827930174562,26.33709997649334,148.23300139652434,152.26489348434262,16.07812642839076,14.672030060213268,100,29.312774592748113,25.68911823803516,28.07799320503774,52.78145841999041,53.19104433296862,30.13234935262517,26.769812053323093,110.04924974865668,19.965367939384873,34.83624569095858,19.85413939739199,34.874366708045,16.967300119830536,33.79072578073645,15.088206627653083,32.45353345800785,12.379243706320853,22.744557126766257,13.109071319702698,26.167414163685354,144.59239930824947,151.4943328048027,14.397231567791394,12.556860295648315,100,29.312774592748113,25.68911823803516,28.686589466594203,53.506523872195366,54.107415912676935,30.829815254887905,26.769812053323093,111.68319008739356,18.917412933874616,33.89542231598891,19.764705882352942,34.93780930497993,13.310245292923248,31.749887611168,14.242584423926171,33.633069901563545,8.677218312746247,22.37150931577358,11.905045308869195,27.439773622801415,145.08777918150125,151.81850391664346,15.52228000232531,15.776992578108432,100,30.014529353603717,25.68911823803516,28.80984068708511,53.3905114491589,54.107415912676935,29.91105615448603,26.620490585846497,110.56720701200689,19.034116156382762,34.83624569095858,19.85413939739199,35.814207229064365,15.321242913976192,32.67116227333606,15.088206627653083,33.633069901563545,10.522672835293129,21.891206305153897,11.016188151265531,24.8477718257771,144.59239930824947,152.10122289751789,14.610987949421197,14.11764705882353,100,29.591201111815856,25.781653501809043,28.98858560232589,53.94615144752206,52.44083196045204,29.489187310143272,26.245032242239862,108.09958897066493,16.932622799382628,34.3449114286383,18.58122334091193,36.295086231062335,12.204645483869262,33.11973331646052,14.041705437896962,35.81749849794707,8.554833865911558,22.423765377367676,11.737135233064413,27.541657380821803,140.85173575538334,149.67723894537784,14.990715803473611,14.194171421340217,100,29.39928036733706,25.21216342870161,27.55668555362331,51.80149600151471,53.102835218196226,30.257416135524107,27.18259554694654,110.51277484897496,19.419726622601736,33.304556396305095,19.419726622601736,33.304556396305095,15.730081623800482,32.06457594256379,14.894250412522723,31.850987713960222,10.202624253821597,22.322272258626587,12.563708210544473,26.14256733435231,144.09754295215222,149.27724859469126,15.484070399261237,14.339714295455408,D
Read 3,100,36.62702214884597,34.12423384086805,33.41174966368561,66.31752720708724,58.54868991678466,34.011239378832585,29.658099786947766,122.18900203008205,29.134295227524976,33.32522793969011,23.58490566037736,27.78160987028411,23.62567475849945,31.29998383096137,19.472348567727803,28.091643633902034,20.994375624891173,19.32351314814667,15.51101538221275,17.65804947469181,152.03960258376787,155.30856791516683,18.035516093229745,18.088796906777606,100,39.04223769625364,37.300188036752274,36.468108910895175,72.51421109070611,67.12967171538574,39.2056634323725,34.18768323433863,140.51420205654114,30.38541500079961,40.01278107531362,27.23394589145434,36.78234447465216,25.5877178954102,36.08032679570918,20.85143900592563,31.864479202256955,17.664098860046792,25.286083961045733,14.744193918587694,24.41122264908643,178.83537073267806,186.11657157813727,17.87996143850783,21.336421020512287,100,37.032555221107636,36.12384884111514,35.574404672068525,71.14880934413705,65.54714757321645,38.817878163668546,34.84011189577046,139.09518413419306,29.854538820713078,40.82727704772537,26.675035305193788,37.658873372038286,25.105915581358857,36.9326919690564,20.45881815535117,32.76418173202746,18.894703560006743,23.90011958532531,16.38209086601373,24.51043362908098,177.65041041228972,183.59371320607258,19.089165323389988,19.408939081834273,100,38.7133166061417,36.8170939811973,36.468108910895175,72.40832510904698,67.12967171538574,39.2056634323725,34.18768323433863,140.51420205654114,25.5877178954102,43.179273948504715,28.830571529377806,46.405303465686565,22.44629593414073,39.2056634323725,20.85143900592563,37.641459446473114,12.7938589477051,28.830571529377806,16.69647610572613,33.621935137739705,183.85608848485992,195.71494324458575,17.59155605309451,19.323598230600627,100,39.01373283395755,35.92654317484812,37.77689899160488,72.86278108569758,65.18913412673352,38.257336679560744,33.360733967590434,136.80420064883342,28.089887640449433,42.163720618309284,26.575197200259677,40.57428214731585,24.96878901373283,36.730968464231644,20.525821532406216,33.06744709802917,17.23683055116614,23.76957898209709,16.29261315373057,25.594911777242086,175.1851278991727,184.07206713690468,17.166042446941322,18.98490177995699,100,38.68991384001951,37.74053912531587,37.38280082292257,74.22446834538867,68.4806510629686,40.55513730115732,35.04517758431467,144.03857466550033,31.14754098360656,39.344262295081975,27.91702682938755,36.102812369746296,26.229508196721312,36.98529236943764,21.374434115418527,32.66370302487095,16.393442622950822,24.969747888078395,18.691400411461284,28.67681259759984,187.69596943376902,189.7819793276118,18.32842604508025,21.994111254096296,D
Read 4,100,54.769121231097834,52.330207191059344,49.261430329396624,101.09767644277503,91.65546243162231,53.5242058478542,45.0629163897243,190.1693974358107,49.43218103316808,49.34687953555878,37.73584905660377,37.847328912642375,37.847328912642375,44.40365323883412,29.17235303663538,35.905128815248126,37.73584905660377,30.305679271148183,21.132394453644462,18.586717670342082,232.40196111753954,238.83892517531743,26.7621029239271,29.17235303663538,100,52.330207191059344,54.769121231097834,47.608764780425915,100.76374431181296,92.25108030229725,53.5242058478542,44.40365323883412,190.1693974358107,43.54136429608128,52.24963715529752,37.847328912642375,46.534744678901006,37.847328912642375,44.40365323883412,32.062005855405694,38.7276170221374,40.74214469555354,27.53797672135018,23.402780111171403,16.925840043092307,236.32084106876772,244.28046327975898,23.222060957910013,31.263656354917295,100,50.639765104831305,52.999894000317994,45.72702414634749,97.83188071498874,83.80019039424886,54.5406961768191,42.96926556398414,181.2831775310399,45.03151556708258,47.752808988764045,33.70786516853933,36.62473261349803,36.62473261349803,42.96926556398414,28.22998769977778,34.74527212599152,33.70786516853933,26.64840724860994,20.449746880001452,17.98630403773272,224.89459439604602,228.4970351864634,26.64840724860994,28.22998769977778,100,51.1786298552835,52.74358214546502,47.62674252808574,99.6453268924892,89.50882703790728,53.94701262312983,47.62674252808574,191.06778077537385,46.90233920971738,49.7366881217086,35.10825043885313,38.14629845057138,38.14629845057138,44.75441351895364,26.973506311564915,34.24429464809721,35.10825043885313,27.755509012595486,23.5876470108208,18.73354077657358,235.51330365708728,240.72559895522775,24.125837481671503,32.315275064912996,100,52.999894000317994,50.639765104831305,43.877807168014904,93.54396519857703,85.93853112796828,51.795193580297116,42.96926556398414,180.69462961882462,45.29358285560983,47.83535496046742,36.51685393258426,39.42603608881516,36.946478758331196,42.96926556398414,28.64617704265609,34.74527212599152,33.82470387301207,30.253734871542154,19.862550033329985,17.98630403773272,226.11923367975402,230.148593750105,25.897596790148558,30.89887640449438,100,49.137235068921065,49.137235068921065,45.72702414634749,93.88075824195732,88.69468204408395,51.795193580297116,42.96926556398414,183.44653783433364,42.22836061340704,47.752808988764045,33.70786516853933,39.42603608881516,36.51685393258426,42.50771334388077,28.22998769977778,34.74527212599152,30.89887640449438,26.64840724860994,23.16351475066101,21.938903584007452,226.11923367975402,230.148593750105,25.897596790148558,25.280898876404493,D
Read 5,100,68.23400780672792,76.72150958650938,62.89905930680598,138.92078215845729,109.82652148820186,70.3232861654045,54.2502996914895,234.16497919568206,41.96465493770889,68.93746978201473,44.47635136609733,73.83740853817736,35.4179889534773,65.52880188667159,32.94795644646056,64.60189802537282,21.96530429764037,46.59544685906257,28.639252921637038,52.89945783039788,301.0529061045571,319.97048084287485,35.756924800002544,37.40556535296615,100,68.23400780672792,69.80682909406629,66.07870357108894,135.49228118009552,109.82652148820186,65.52880188667159,54.2502996914895,229.32450942885563,46.59544685906257,68.93746978201473,40.502019898012385,63.850687622789785,39.59851546315595,66.80486497414265,32.94795644646056,60.753029847018574,21.96530429764037,41.96465493770889,28.639252921637038,48.37356484182762,294.40883242918875,309.1182510326044,37.40556535296615,41.96465493770889,100,61.54206329146202,73.67387033398822,62.89905930680598,135.49228118009552,109.82652148820186,64.60189802537282,59.75208772395108,234.16497919568206,41.96465493770889,73.83740853817736,40.502019898012385,73.67387033398822,35.4179889534773,66.80486497414265,32.94795644646056,65.52880188667159,27.784156431691457,46.59544685906257,31.44952965340299,51.27851919897127,303.4075680055108,319.97048084287485,35.756924800002544,41.96465493770889,100,63.13603701175877,73.50823224382732,60.26469870525033,133.10245292923247,104.48754499376244,57.24952969692441,56.666327429610796,218.30425420693086,35.83893226288898,66.0502063417327,37.9400364625814,70.74492413351958,33.934600239661066,64.00692004110796,35.83893226288898,67.37798147424165,16.967300119830533,50.68390406714827,27.43977362280141,61.17647058823529,284.30696408457817,300.66132414048536,31.568018505879387,37.9400364625814,100,68.23400780672792,73.01605475107323,59.1433918408266,131.9747430505344,104.99783067992117,64.60189802537282,59.1433918408266,228.53418711457454,37.40556535296615,73.83740853817736,35.756924800002544,73.67387033398822,31.44952965340299,66.80486497414265,31.063631239375045,69.46039107922864,20.83811732376859,48.37356484182762,26.44972891519894,56.00075761783585,300.9326853053122,317.09258136677744,40.502019898012385,41.96465493770889,100,68.87676742414381,73.70386091878288,63.491564079651454,136.76860906429076,105.17205471292232,65.21044342075314,60.31494824291741,230.68696329463248,42.359959074454785,74.53295180155136,40.883546114205856,74.36787307882996,35.75162395105592,67.43416216527241,33.25832390926807,66.14607865208892,31.745782039825727,51.76155929058281,31.745782039825727,51.76155929058281,303.88880358397535,321.4971311229247,36.09375254972989,40.883546114205856,D
Read 6,100,15.801872307400581,14.182614439441155,15.272694080667687,28.863643171464407,27.6501058360501,16.21326439321248,14.240195131187683,58.09937051705915,11.738251886674654,19.05294160492622,9.8344071655222,17.265454449698474,8.6945710630063,18.00998421740243,7.177331806584093,16.752277366547553,5.369862388451284,12.611995196199455,5.755151483232825,14.300269087815188,76.31242529709749,78.13103642222032,9.870003366552407,8.907097028862296,100,15.139038048720794,13.299666086681585,14.427712108681904,27.260161488018877,24.930115036157037,14.808151658115277,13.503378984261962,53.2303328602086,9.896727880644885,17.974736660786142,8.630579571396126,16.7558446362681,7.274340910853619,16.50453325923026,6.364965558277735,15.92247181063658,4.85033276878944,11.379482293494199,5.257154619201523,13.299666086681585,70.97277460191425,72.07732891254247,8.488826837818992,8.019236271409545,100,15.72335662516831,13.866409369685128,14.759649251482715,28.210430395713594,25.99768297971811,15.285577928978316,13.93616165947525,55.21449454669707,12.107691151155379,18.241938279143067,9.74072406152614,15.929848687281728,9.414503293892368,17.036652185900696,6.890338558777071,14.863907618108483,6.705435640766918,11.63578020855595,5.772963639626407,11.952457921355965,72.60559865315643,73.946035412583,9.009051169282346,8.51305452484045,100,15.193730977431294,13.545127952323677,14.962962122674087,28.07525886397117,25.193162313915266,15.114874262257578,13.256621682530426,53.56265768737045,11.248616504810261,17.31499521940313,9.373847087341883,15.443822021062864,8.550264070099479,16.446761321707267,6.816533728654157,14.944158518484455,5.592974814998273,11.511145290501585,5.618055545355434,12.62932403299791,71.05598686670413,71.58035603604264,9.014502744120689,9.04952576603442,100,15.449166229972585,13.985261181981715,15.212093062633238,28.776069041375088,26.011784916341142,15.339639448258309,13.961127840131399,55.30785657782547,11.276939460194896,18.145976916700302,9.915559965110777,16.805962746423027,8.230657748903864,16.725508207380376,7.106901169311344,16.03936717798002,4.995425018038505,11.783872570506917,6.121182528058554,14.345001375936386,73.29895634789843,74.98935777205872,8.450779655315156,8.815352963648847,100,14.906666464219095,13.82816594878311,14.718718229067559,28.21364480057033,25.719596778831825,15.167330600754527,13.804303694681282,54.68658819293447,11.717342439796107,17.624924180375913,9.53520906959455,15.447322315203978,9.569722305948675,16.188395240823578,7.622210226189591,14.525817149815929,7.578833401001488,11.41969040992231,6.685120603723624,11.866455659376353,71.95005755114624,72.89088560384323,8.395215817713261,8.837367826398435,D
Read 7,100,20.146904461667123,18.074646476719977,19.767621758404786,37.1195142745027,37.19332527257543,20.74250768231255,18.788862354331894,76.71712658278703,15.46449390530627,24.643676870983946,14.083372877767493,23.335835321712775,11.280710645737313,23.255780762202278,10.681300530227533,23.06632114336996,7.041686438883747,16.131130598831387,8.379101512950639,18.736240573328963,99.15282416933374,103.80663561188821,10.925011747332993,11.942057036846657,100,19.11053784686427,16.257343772342335,17.23994480705669,32.963187180193685,34.368243698933455,19.61440358213054,16.89349397597376,70.86133726395356,14.213372336143948,22.918374249305764,13.3480988931169,22.11750269847929,9.33353875322026,21.62183469369309,10.123644174021202,22.853784996641508,6.718200199965175,15.308270499060303,8.744823797377228,18.92919476610685,94.15533348052958,97.25368151525068,10.402108336390658,10.133373771820933,100,20.419607851342747,17.13134104369798,18.151371120170893,34.542995463951335,34.476735539245,19.3033629019115,16.950484088779284,70.69201286227384,13.851979458672139,23.53210523848883,12.556967662827724,22.300008472398083,8.026397930972978,22.28662980397717,9.31089495131593,24.136927856460105,4.547417741543552,14.95630949009937,7.203912610988812,18.675101749194617,94.69390104091212,97.51595348536982,10.738958868092658,11.772388105274311,100,19.44637642424921,17.026227554862032,17.29549878549455,33.586782421584836,33.57835799544464,19.231816056183906,16.508796845955192,69.28279394399296,14.390724855190562,22.144617013779143,12.352525539240766,20.226059275940273,9.564281918503102,20.645990313566777,9.068276304100193,20.79617804883676,5.712215077723402,14.179473392959707,6.866754234709415,16.508796845955192,92.22641469397617,93.10974385391012,10.857291757144099,12.824479336605057,100,20.632282672144022,17.63566446994437,18.100118113588735,35.094421698665734,33.97482361783713,19.620180661993434,16.942942068210858,70.51725324273927,14.005485535131678,22.99696394488618,12.283623402875838,21.293582336717215,9.130459498666134,21.298010657933172,9.068276304100193,21.753634650166237,5.712215077723402,14.566585452313406,7.280054987509864,17.22446974294445,91.80930018559812,95.32380643015901,10.359472285135556,12.043276838236817,100,20.199646411795918,16.779636651713687,17.490768218147743,33.6197355596933,33.5840210194975,18.600834290304956,16.757616121686073,68.88333924238988,13.810130778144798,22.752893558842825,12.527288907414817,21.488419627980903,9.06416152181884,21.2247480517827,9.275569606377735,21.727661891067815,6.459543839802737,14.797555414190317,7.202790621853741,16.446233153443593,91.31232594710161,94.65993441143351,10.249525580609774,11.735917401063604,D
Read 8,100,26.54168980074578,23.635918057213644,22.58439868692736,44.96586869105468,44.310252065992785,26.990753564077885,22.45676941662555,93.72759637598752,29.648083068618337,25.619959729153976,18.430635124675717,16.484861202908085,21.014157238124245,25.54846677809917,15.605460236335503,23.53621137294832,15.318166775404535,18.851159994802718,12.353074163691938,23.458368740819708,113.96540362854871,111.7309569080411,18.975500250714504,16.389480298929563,100,27.364403038129993,23.35644143274793,22.651355589337303,44.82279604155345,45.877874970019114,26.724679184391537,22.900605150584465,95.49203303785309,30.156024491779235,25.129422780345678,18.904353135562417,17.165614014601104,19.174124721184263,26.306682088232822,15.353391924868456,26.017361783756073,15.580603015012569,19.174124721184263,11.879040015737877,23.460376666976202,118.79040015737877,112.0666393754165,22.651355589337303,15.90684386234113,100,26.443564958593868,23.789488782232368,24.19772715676708,47.04992245235166,45.29383721749411,26.811422020339702,22.97493582531342,95.06927508714982,27.294187075833584,28.273484651426383,18.676584392405083,21.136837978599004,19.193879951693255,27.413549979436482,15.403225890986358,26.268064052471022,13.298728516760068,20.49637649668015,11.236018155597387,24.654433412611986,118.85819984914585,118.63594271451534,17.735047624920785,16.379170338724197,100,26.443564958593868,23.789488782232368,23.327512984422984,45.94987165062684,44.48159761487558,26.719932540977926,22.915645569502903,94.10273632552486,27.334032625625415,27.562026692637073,18.807242230719922,20.13476551188578,19.179699026261435,27.05388141176195,14.493126810555106,24.654433412611986,13.996507790653792,19.862661578395194,11.663756492211492,23.617306865715733,118.65887506791118,117.0497336500232,17.735047624920785,17.284412088905256,100,25.372188968795275,23.755659372194067,22.772236519120433,45.711609280787364,43.72996861753959,26.358375292459566,22.586716226553683,92.66032590601667,25.39290942056944,27.453032461741536,17.645260802953718,20.47370253606948,17.465508127916888,26.39825182856088,13.54814830101487,24.954167139147515,12.665348608726505,19.459580629485444,10.383509364911417,23.678044408317515,117.04991218775092,116.34684921635899,16.930332192223876,15.418298372230984,100,25.808285164555773,23.151895583468896,23.16364483344288,45.455740640318375,44.48159761487558,26.811422020339702,22.97493582531342,94.25296797861198,25.82936175864798,28.646337915236945,17.842116586674276,21.23956926658007,17.76570460134597,27.542276043957617,14.323168957618472,26.19545722125215,13.298728516760068,19.794051143403276,11.236018155597387,23.52496122617583,120.47932155358818,119.94289455282372,18.26411685326047,14.75361463558572,D
Read 9,100,29.01704588152303,26.7523944524009,25.98605663150357,51.93970158959407,49.18367877870213,29.719461810793995,24.927652242991602,103.81453935570526,32.168376111136176,27.3746263354309,20.270436808932395,17.81656068906919,24.138275716582683,27.604347506866077,15.840224354589894,24.015878745278766,17.721791077104026,20.518149912826114,13.360451255791006,24.2253235133861,125.41944663998598,123.31732423500173,19.5084342314822,20.208034084735953,100,31.225735416685254,26.483291207304134,26.566233130405806,51.799015730876256,50.15034298170227,30.382992008821095,25.60477310310728,106.13234989666753,32.018852093576,28.699922215344007,19.72213512347902,18.501953961834914,27.269121676826703,28.77647589151588,16.19388039552727,21.267887521115636,18.69123719059219,20.976247443712847,12.51563233032489,22.139631747103085,129.05081137145967,126.50259894381085,18.994799935569027,20.659207828841687,100,32.55416523636819,28.005517972178687,28.429226119801733,55.15927101106533,52.28387835549597,31.675569174966544,26.694071518740696,110.64751588249156,34.35534096870474,30.12796440244374,21.53810811300268,19.802891668769277,28.63037881330943,29.421240012696966,17.079950314496802,24.292894568947133,18.88822290056525,21.86863547677056,12.713936430317847,25.50299229419129,133.61002529438093,132.38745239329265,17.631057581730996,21.53810811300268,100,31.031807859975043,27.38418487764436,26.38063349743468,53.04648847034011,49.22841226444965,31.134781669885637,25.978918824148657,106.29965176697142,34.47978651108338,29.459542508844528,20.286127412830087,18.369869668450363,25.02869336961346,27.880615352612132,16.030462478952103,24.38089085585151,17.865106332857806,20.532572012607716,12.431863823276274,22.811246900404637,128.24369983161682,126.44115371973739,19.7145721794858,21.806931722274797,100,31.325120692663663,26.639357898410857,26.38063349743468,52.00182126545864,49.36754135656615,30.972811974183127,25.156252152559826,105.49653147573194,34.439979162989594,30.391600998509524,21.383455842973987,19.899256045409594,25.02869336961346,29.660633870652813,16.945629861977,26.38063349743468,18.144463958124007,21.82788985466831,12.431863823276274,24.937180473185993,127.04724352669427,127.58596217009021,20.973235344229995,19.363542824248434,100,31.29277389867363,28.238878087265533,25.66938471616791,52.50591924018899,51.4604143677713,31.93177833679817,26.64393430209126,109.9913933549663,34.45305623823126,30.21365594497717,21.666067118845156,20.408642650730496,27.618924755450614,29.877493549878025,16.930832190694456,24.282892120713903,18.031361623038677,21.532462142114703,13.66063973831318,26.931208744107458,132.83642960641046,131.59232248222887,19.61553550411926,20.123856932800305,D
Read 10,100,20.971329214534958,19.231978104956504,18.2883939038687,36.807520662490795,35.17311435891991,20.654363934860715,17.819460726846422,73.63594832567799,17.577176847823036,23.201532242631615,13.799708295017266,19.453663317881865,12.970050819169359,20.997527012650043,10.826163076778613,19.088518112119687,7.985644251313671,14.31590857910785,9.020109759283162,16.59254960183271,97.9273502754833,97.15521385744742,12.22828118209172,12.380191120697852,100,20.27972504180176,17.944057743124656,18.602121188800716,36.02525422765214,32.444573853001124,18.30679346505169,16.2436040013033,66.97021985778888,15.530264716604526,21.793081647901058,11.83100757316908,18.169235612363508,13.414180355723222,20.104065510743432,9.603091702188092,17.074477560645388,11.238514276532834,13.153686037054946,7.892211622232967,11.896634620918505,86.36273921563537,88.3806334945185,9.503481268496206,10.918351772727164,100,20.004302877480566,16.837587829216474,18.541151366642058,34.7236994774917,32.01445790765003,17.647967477110267,15.613242729723002,65.24008888191025,14.004634962970636,21.594776574660703,11.962399259078659,19.61335697147074,12.37060022294546,20.004302877480566,10.25767273920893,18.663327450425342,11.488593467914004,13.314443410132903,9.082530617585205,13.13623058721658,85.28562477057993,87.94840314079889,8.308081704955109,10.15043236242654,100,20.324485042261006,16.96246107363465,18.254586125380904,34.681109972365334,32.821375973069635,18.098727681554024,15.995436826213517,66.9051125604881,14.04445130930245,20.92542269582387,13.152534911077453,20.003979506004146,10.59514269893892,19.781458907709922,10.116402508033921,19.781458907709922,8.846537362351624,13.425673160987854,7.983869539663486,14.281980011342005,87.67930295139305,90.24284362171358,9.456008859349561,10.24682992794944,100,20.632735920759142,17.812291180384264,18.391171166307803,35.52468938547116,32.873636385363426,18.78820156641655,16.244437643919273,67.87620064034152,14.738677909611157,21.53596286980481,12.6421284055162,19.469377589739818,10.883712942567309,20.068575066882666,9.449709123235285,18.909058348217805,8.122218821959637,13.620538854679888,7.848357016371498,14.501846532732577,89.76665396222015,91.17967521773338,10.325196689389816,10.706455670424294,100,20.638903362532364,17.213805082198625,18.793817648531373,35.306220187196836,32.453668118541295,18.793817648531373,16.67574019110653,67.89783270261835,15.331217927249329,21.647949194015844,12.645907331933426,18.953233428279226,11.810843527149483,20.638903362532364,9.996327534989858,19.12085846548647,8.551107863396014,13.5036196949713,8.023014018300426,14.5061813574712,90.00544935411095,90.73186479809202,9.959777768973098,9.996327534989858,D
