,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,18.474402219207857,11.47714314585555,13.428578823283779,21.636144258054266,16.110347838800127,5.7266863584302845,6.773224743578345,4.099545032471952,26.265464981655725,15.07324100313459,13.877707436519787,55.16032570842827,23.278501554825038,15.719337887039964,14.024221018906312,52.99408505986858,17.785422258040782,11.29764591837441,10.770732645250247,39.556404163054836,16.113167043973306,58.943664171589944,7.413571569262066,21.72204803993882,100,19.131889594148014,11.591753541121331,13.719695393204077,21.621592266480206,16.65432935023706,6.15877317238406,7.0355728637038,4.142890942622931,27.1615163776559,15.71694297613456,14.16852506045124,56.97614175199205,24.068513924578593,16.060115551401488,14.632757739134965,54.727379608923805,18.48658128940523,11.846636731952541,10.913373866274156,41.02408692093585,16.0866636529026,61.12407846670939,7.850926146444516,22.19295774678481,100,18.72593232504559,11.47714314585555,13.469107825368818,21.271987447819505,16.110347838800127,6.630899993971909,7.836518174694073,2.3540447513131153,26.566378623690767,15.097329298171312,14.178833547940293,55.75984085840014,23.557807016298913,15.719337887039964,14.280978649083288,53.539832454352144,18.086784240975945,11.893073516757404,11.057891571429344,40.750964569668014,14.580006778525314,61.65841259919329,7.413571569262066,21.169244303638404,100,18.73816067154452,11.407555518789898,13.736181822180713,21.88298250028258,16.19233930917027,5.452893062708269,6.525495070747657,4.624155565729701,26.399139568657187,15.461739055043736,13.645689947961475,55.43857383218445,23.3577176930642,15.497310587614253,14.053212365638533,52.8816448931337,17.875938796645777,11.610886335496394,10.736167916794516,39.97984919262928,16.836950295777342,58.49145537060124,7.858904435669704,21.420987009589442,100,18.959192295595734,11.418885014173295,13.518714119142569,21.32173702350372,16.06349279765909,6.469457501193539,7.493489037071682,3.7182035183538713,26.79998322282427,15.398339542969264,14.168525627868839,56.31289042065423,23.744396989088752,15.72088472713765,14.580247703458332,54.023173479331135,17.847801335507896,11.838252184307072,10.90564984255122,40.30554040073347,14.974336167149511,62.02309250314298,7.8453695934898375,22.158028159392796,100,18.53465883527241,10.68086209424457,13.320606273777711,20.652723296692038,16.24352895054977,6.141622404614986,7.3951809419574985,4.753401513103504,26.483237001576665,15.196326646052787,13.393104601536606,54.967585535503474,23.454527151932496,15.838203177023654,14.324730681248454,53.617158171710955,17.927628708002604,11.33842795262199,10.903047812576295,40.04251026177936,16.026329134755095,59.807184206639285,7.3951809419574985,22.00816414952588,F
Read 2,100,31.22498463589552,21.952746864959593,18.355596179475437,35.44890585588656,23.7818031801928,8.54179840898607,9.568251992377256,14.88876519724695,38.10873231815034,23.26818210631401,20.462650514423114,81.68293638309757,34.51902352218191,22.865239390890203,20.733391950024608,78.11453547279959,25.552750445144607,18.190284360387665,17.69821390108006,61.372808979757465,14.445170155032441,88.14113987138897,13.582970103736637,29.321444089721954,100,30.527692390722574,19.23026682133477,18.008601161072132,32.91328814829323,26.140056502215366,10.418909192120822,12.537947444476112,12.099165353906004,38.178423230410445,22.97616479009891,20.14541076483709,81.16366860703239,34.09633770706185,23.064215137502796,21.191481078989188,78.33971496596477,25.156597065760153,18.56284118918031,17.616650669002265,61.2211513126508,14.780346003721636,90.16548104648248,13.372388486692131,29.037996849374416,100,29.088630447742492,19.46635472673199,17.97811580134374,33.551030316888856,23.934630872584524,8.679975963143486,9.559872513371404,13.764791432254992,37.32503133971739,22.858039351837736,20.030713761100355,80.00313773143206,33.921041051961105,22.395018803830435,21.082531086127986,77.39739234704543,25.686564814944703,17.97811580134374,17.334252501498526,60.906400117413156,17.41123697723883,86.83313773673756,11.831505072223642,28.718452517335336,100,29.037996849374416,20.14541076483709,18.008601161072132,33.617395399646156,23.728415476058643,10.222514236058938,10.418909192120822,12.82212964734416,37.51791908556694,22.238981913799854,20.14541076483709,79.75007128866014,33.321319697466876,22.400428548025015,21.191481078989188,76.90349804365755,25.156597065760153,17.908273911578974,17.616650669002265,60.566519047938144,14.901747188707729,88.45321867042469,12.537947444476112,29.037996849374416,100,29.23895424267378,20.14541076483709,17.41090170613805,32.94748378156665,23.142200871901565,10.222514236058938,10.266482242133124,13.439586841946838,37.51791908556694,22.238981913799854,20.178921313252225,79.83192560128857,33.88431023185057,22.510751451340166,21.329192727611684,77.67858414083376,25.057925775294592,17.908273911578974,17.616650669002265,60.42132449154781,15.667942993192957,89.11023120161956,12.537947444476112,29.415579866860575,100,29.358466221914668,19.99593205226239,16.475955405840455,32.24247162456076,21.77579902916396,8.316312058299484,10.206557985706786,10.601259366599011,35.992677694072306,22.507880037637985,19.734820538860795,78.1246589218301,32.54271839780297,21.405418272320453,20.114475398788105,74.03970170436445,25.19890584712268,17.068711355354594,17.068711355354594,59.18985765444196,15.135916414492225,86.26795948177134,12.697704086671903,27.74615101381879,F
Read 3,100,41.63694037732394,29.142516424035033,23.767461780776557,46.58288700147561,31.363859112692577,10.629132038888917,14.02634420254137,15.031862685651094,51.9408068832614,32.10048848569435,29.34235316347333,113.12705724583083,47.780161252264314,33.6122667935584,28.05268840508274,109.43361219211533,36.39470986854236,25.468649812832744,24.09305862056116,85.86511327437279,25.468649812832744,123.89304129056327,17.65402741196583,41.425881590107,100,43.78609583142701,29.996570920587704,23.38575003031131,46.52818486051328,32.821892425789,11.582039575202627,13.00874175856546,18.675477661255563,54.8914614984709,34.50772058458357,28.874804255483085,117.87797686775426,50.46449668223042,33.32111335941158,30.304587142262584,114.06986083094566,37.46129811925096,26.215037481532335,26.01748351713092,89.63354397245507,26.489137932173207,126.88301949002467,16.814681670334185,43.43116350475786,100,42.539429599799504,27.80859573645677,22.719917091555768,43.825034104975806,30.063725371302187,10.064344104574987,14.23313192907965,15.031862685651094,51.9408068832614,32.10048848569435,27.94833830356007,111.73235204257047,47.780161252264314,33.756836350168385,29.441762888665725,110.97139640968163,36.39470986854236,25.468649812832744,23.890080626132157,85.69480213822054,25.468649812832744,122.54139728821129,15.604103122817794,44.13506852991457,100,43.60223126814601,27.80859573645677,22.719917091555768,42.699395787238956,33.17477829450025,13.240520558974373,14.02634420254137,15.91312526307241,52.10929435476476,32.10048848569435,27.94833830356007,111.79335321424028,49.16654557936786,33.6122667935584,29.606704027350215,112.35821109604318,36.39470986854236,26.846314112590854,24.09305862056116,87.24912551619141,25.734946147363257,123.89304129056327,15.604103122817794,43.355825727869004,100,43.60892819814733,30.522749624062417,23.795966373482976,47.344349483121306,33.397630927630054,9.805882082296987,13.236931937052208,18.3159831693344,54.57726853557803,33.65257837515374,29.381305718815636,117.0880537611506,50.043101209249194,33.90560884298552,30.83616884918723,114.77490713318869,38.258302377729564,26.473863874104417,23.795966373482976,88.4826542927733,29.814468724413295,125.51699305194009,16.343136803828312,45.40922253182009,100,41.71117356900953,30.26223950359482,24.23673628745664,46.25574047615437,31.93470404884019,12.202233283801101,16.28356791058466,14.352864354642803,51.90740315734433,32.87879015487386,28.59894943516251,113.05065653906486,48.892438642169935,33.12600258424222,30.127139545457,112.1358382887952,35.81815539555685,26.06153611952965,23.553873896701862,85.23635139318353,23.248815475720804,127.49108201354933,17.374357413019766,43.599935796840185,F
Read 4,100,57.791783735488075,41.15405596262857,31.771357667188187,65.27816868289669,43.08418885280283,16.46162238505143,21.463329649233003,18.404653336453606,71.47074553745956,41.96906688338652,39.128829719867014,152.39230784283652,63.8086968877213,44.931484907943954,39.81535278703372,148.54277015492215,47.49684432820056,37.26658267380623,32.92324477010286,117.44418711794354,26.543568524689146,168.60109048101663,23.569456372039085,57.32096706284549,100,55.0567888638631,37.16517186829627,32.59601202601325,62.69968101992227,39.13118960624632,15.811388300841898,18.200274723201296,17.67766952966369,66.19101147436865,40.31128874149275,37.583240945932275,143.89666431158162,63.737743919909825,40.697051490249265,38.24264635194589,142.67533073380278,46.097722286464446,32.882366094914765,30.923292192132454,109.829413182444,23.717082451262847,161.94134740701648,22.638462845343543,56.67892024377317,100,57.211036617300984,37.516670390520574,33.59547748107523,64.87852776095939,39.24644733761354,19.62322366880677,21.247645584218812,18.219705776515006,67.78122359168206,44.10523774445681,36.165083348668375,147.9727288364981,65.23570678264448,44.47997037266701,36.8920924073083,146.57523992092646,49.56295815942113,34.37687210545305,31.871468376328213,115.72023485125285,22.01495425229974,169.86394974336002,23.332607931299705,56.744951160899866,100,58.75678562737118,38.30473781839346,32.795470397727016,60.15262834284335,43.803143519711405,20.773660778919215,21.247645584218812,18.219705776515006,70.7525391277814,41.54732155783843,36.073177016232925,147.9727288364981,65.23570678264448,44.999353765970056,36.8920924073083,147.05007032600125,49.56295815942113,34.37687210545305,31.871468376328213,115.72023485125285,27.75142904990726,169.86394974336002,20.773660778919215,58.416820658359356,100,57.211036617300984,39.24644733761354,32.99729058197809,62.05408182835503,42.6512377151426,18.758335195260287,21.247645584218812,18.036588508116463,70.7525391277814,44.10523774445681,36.073177016232925,150.53049903610955,65.69208340109229,44.999353765970056,39.41525004065538,150.08880061026227,49.56295815942113,34.37687210545305,31.871468376328213,115.72023485125285,26.901073199975645,169.86394974336002,20.773660778919215,60.37296837856212,100,55.74158117182153,38.30473781839346,31.452088677489566,62.05408182835503,40.33103798633993,18.758335195260287,23.755589944068245,18.758335195260287,68.22057353709727,44.10523774445681,36.073177016232925,147.9727288364981,62.69273414375902,47.51117988813649,39.41525004065538,149.57923497758298,47.019550607819255,34.37687210545305,34.37687210545305,115.72023485125285,24.444300387799892,172.4050188953373,20.613244009275956,60.37296837856212,F
Read 5,100,74.97294140820753,47.78606140398734,38.64016956116047,67.18868206991365,50.46770569485455,29.635657216535936,31.918579655758208,32.733653293825036,91.5353297059579,55.916446203379444,50.46770569485455,197.29425475171533,87.51304701517644,55.916446203379444,47.78606140398734,191.14424561594936,65.06359889463548,45.13968824085921,43.75652350758822,153.76308740858457,30.511776568652632,243.98624606584886,33.789848064956196,74.14839066619501,100,74.7613407387542,48.808879499106936,40.3851932022971,73.27586801636853,51.547921998254694,34.513089675935575,31.164853978084412,39.46722798498667,93.49456193425324,57.1132879457463,51.547921998254694,201.51716260170923,88.25140465791226,58.2254730682168,52.07844632104641,198.30881544350123,66.45622729563367,44.693092931980104,44.693092931980104,155.82426989042207,27.074295035688184,249.20855441486103,38.52739726027397,78.93445596997334,100,74.7613407387542,48.808879499106936,33.43428799617574,64.78059054118818,51.547921998254694,35.30056186316491,31.164853978084412,42.8082191780822,93.49456193425324,61.292042222929595,47.28322353247971,201.51716260170923,89.38618586396021,57.1132879457463,52.95084279474735,199.36868188690102,63.63899292516484,44.693092931980104,44.693092931980104,152.97575672265103,35.30056186316491,249.61266673139127,34.24657534246576,78.93445596997334,100,73.76719101030235,50.336311817458565,34.99085102778792,66.10812182219134,46.65446803705056,30.02107170837327,30.02107170837327,41.23711340206186,90.06321512511983,55.01717139845911,49.65606011873111,194.12127498457434,86.10562069204578,55.01717139845911,47.01754330305724,188.07017321222895,60.04214341674654,48.26680375554485,39.12096074435109,147.361388743964,31.405249921088288,240.45162452970314,33.24642370432392,72.95590108434693,100,77.65339793940855,53.54199456999688,34.72765529527192,68.01715669532395,59.82047152989646,36.66612383830735,33.862930661911555,41.94744834173679,97.11129243148758,59.32265035182897,53.54199456999688,209.3126242052436,92.84398851854648,60.47785908730745,54.09304162114914,207.08103196434007,66.10079478576482,46.42199425927324,46.42199425927324,158.89344940156195,35.84818918763251,259.2686480589285,35.571365051133846,81.98794537388075,100,74.7613407387542,45.50576118465176,39.46722798498667,64.35486463344567,48.43197131414709,35.30056186316491,31.164853978084412,45.50576118465176,93.49456193425324,57.1132879457463,51.369863013698634,200.65139803523914,84.10480609755352,62.329707956168825,47.861044038950986,194.15309024740696,62.329707956168825,44.693092931980104,44.693092931980104,151.71271529682664,32.60176843263659,254.33991057385185,34.513089675935575,78.93445596997334,F
Read 6,100,25.368508137942726,14.431700086573754,14.310618823845127,20.676648960516285,19.168312146386764,10.270126841267478,9.851031367091982,5.095813952798491,30.871142003774175,19.02813979284505,18.325803660583464,68.08500677980824,29.380480024752277,19.786803180024087,18.662350630895766,67.80329217128684,21.05830524444175,13.97941914502089,14.707314412791701,49.736524258502556,15.287441858395475,77.99302275820463,11.072875974405704,27.67493601006467,100,25.163721912793505,14.877853842269454,14.359179924405646,21.492868630265047,19.174024919852624,8.333714725255241,8.48524922286418,6.234337342152923,30.121762195736252,18.205833006104314,17.50644320171239,65.71870206528853,27.99028420220992,18.950072380661833,17.880954965720484,64.80585051989281,20.14629073576192,14.036057010200624,14.036057010200624,48.218346397426835,16.80448691099107,72.91164780789164,9.802256250844954,25.862986023174898,100,23.891357584199877,15.140874293722582,13.470894942848346,21.99690352875931,18.147061733027858,7.9682768028618405,7.943995557573533,6.195110892385455,29.924511346036915,18.66140319397093,17.95800610543234,66.42643880312077,28.462056427630866,19.75106823013388,18.306048081617586,66.48845258800971,20.609444127559634,14.426521616538151,14.069474813502715,49.102711419884486,16.02118376856251,73.91915547290954,11.177040374948815,27.14656472144618,100,25.50437039936742,14.851159913644835,15.523156604110017,23.03687141414609,19.03798332859536,11.301028590643151,10.97652930018693,5.8568386680110125,30.984615840608242,19.577576145476453,19.21584301069214,69.67642605068238,30.203939791621675,20.010816258300988,19.23427547824977,69.44718476599796,21.167415077550693,14.385733349303718,15.134785017312437,50.68676637866143,12.982146492652136,82.84531826765068,10.276227599831472,28.793627958283043,100,24.921471333478074,14.544911262323556,13.349181988558966,20.332868234750052,19.189490174491898,10.735867073716038,10.327217133877602,7.710061625945664,30.617033100692097,19.073498054783396,18.003429233729758,67.52717618848199,29.484745844567666,19.450536315352966,18.706836944193704,67.59883786424373,20.696715651345844,14.783368322389887,14.742372922283833,50.219283463763205,13.82431922031008,79.19759939852446,11.462886612943949,27.256717289221125,100,24.106760201767333,14.34473171160917,14.041506321751976,21.471734147432077,19.697886169863256,10.735867073716038,10.584472414303807,7.560337438788434,30.944730980972547,19.069972128502272,18.35117500835676,68.24730417751572,29.81586713243046,19.450536315352966,18.340178597696912,67.57794439203438,21.019113805056616,15.107327214350871,14.783368322389887,50.9068591811322,12.45263814460147,79.71470247436422,11.939871348173467,26.25388929015027,F
Read 7,100,29.894988339132716,20.528143512430745,18.728763637565663,31.9714668876218,22.637853432589548,12.001928948082345,11.561070203829878,10.427236169630074,36.58298468252219,20.67102279657561,20.015713018353473,77.07479971770243,33.582518708674286,21.970289163933703,20.145042684033996,75.65326502134607,25.737233998621907,17.426259732800805,16.850442583589917,60.00964474041172,8.321840428228167,88.22720872774536,12.579474124062578,27.093949472099183,100,30.023960276297,20.885996155159027,18.01282507431969,32.63802676315602,22.73551688632037,11.040447782205193,10.321050290510598,11.244192181573458,35.948008570995924,21.406264731723702,19.53817771386625,76.82079133996466,33.519652295933426,22.151958884216437,20.30948558293196,75.97964575218695,25.746729993253318,17.501439507075055,16.923138187195033,60.15542665373463,9.620483775249516,86.47739364737473,12.53661334176256,27.21083726309636,100,30.936598751787724,20.608558613165236,18.474664388566097,32.21646809532868,23.58476961855221,10.585676564779355,11.323519027924236,9.698145229724817,37.088273829017716,21.352788160757108,20.64418276873125,78.94881808495239,34.59215195388599,22.719923401613915,20.830210058721764,78.12548622746458,26.035557758412573,17.950167165669594,17.357038505608383,61.34244560589042,11.532487326003425,87.60682087936603,12.786412358909557,28.255211591239338,100,30.435812820042493,21.326248929638403,18.579397322923707,32.330217875467525,22.91368013314538,9.63815196637726,10.218259441780072,11.039786818820378,36.584373271865054,22.155174453381584,20.761214710059615,79.39637919936266,34.788254979287466,22.848722723549297,20.948296589380774,78.56837987081443,26.062247273918864,17.45543561508851,16.85988014134633,60.372079121539784,14.03336108896231,86.9893273178724,12.858898573440408,29.417686100612382,100,31.424019240338367,21.239285896514353,19.377571339835068,33.07903246808189,24.246341250215988,11.226233737951766,10.632724016178374,11.567732115677323,37.13850837138509,22.12819707200761,20.12818904696078,79.29970172088552,34.633699003538254,23.422081049219297,20.420712123285753,78.47271061069777,26.62883132861984,18.626555300795566,16.981827313219306,62.210783306065004,11.0263441560273,88.1813335521986,12.915192350439225,28.53708772056735,100,29.634403375805242,20.656400381145108,18.28185059276412,32.52818345239023,23.0750768494138,10.94547000413547,10.628625927704745,9.615654715619842,35.998479098185356,21.725972020483244,19.802751942441432,77.3729150508498,33.53028996970654,22.394619364916593,20.11817398182392,76.02670694968502,25.644863635355023,17.06029588930889,16.58987126432261,59.28701436253151,10.196737044145872,86.78167635414164,12.233732038370404,28.797034271012002,F
Read 8,100,41.265785564451406,28.432005904057256,24.261347419830738,45.473690330192895,30.41924467747135,14.339769460008522,14.910947101197033,15.91165270107493,47.58664972636969,27.79197522306147,25.043330727099555,100.28231500370781,44.54570389839813,30.015196224631502,25.85138703319664,100.35917933410647,33.572367974063816,23.370964888434763,22.587981912675744,79.46128062067817,11.165239544038208,112.07174324255993,15.91165270107493,37.752694264475025,100,39.03638196615843,27.493830747608975,22.811501914804666,43.90481121355139,25.988313069786667,12.256456794013319,12.108486096456108,16.443762332821752,44.71843467303473,27.949021670646708,24.14242002361899,96.60078645060385,42.570681514903754,29.25162039931229,24.732545873006966,96.55101147038275,32.4645755206333,22.59978966025905,20.479655439891918,75.51409822098016,12.831286900591566,107.77322063785881,14.293361993428306,38.18038756252576,100,39.783363977707026,27.866524897743236,23.120724496316463,44.49996532111287,28.824715046828548,13.425606637327302,13.51725006732938,16.666666666666668,45.555555555555564,28.13108644704926,24.670670345749468,98.28781118307852,43.659739343085555,28.56657807151654,26.152449546532935,98.36314676735037,32.90465087769078,22.906142364542564,22.13873205019031,77.88088403944471,12.668615834434867,108.89455767556993,15.595187608464668,37.0018351229927,100,40.97315336155176,28.23038316970836,24.08930049418358,45.15121819030072,28.207933557275247,14.238080414985948,13.923139213026765,14.805207606895433,47.24919374564465,28.69776853665457,24.86573844481598,100.67843212515936,43.95683068385104,28.69776853665457,26.49392682561868,99.13758741927413,34.437322243985484,22.114906240869534,22.114906240869534,78.6323691876316,11.479107414661827,112.3929393639497,17.033707733477662,38.337204785966684,100,40.445054940447335,27.844364635870374,24.670670345749468,44.45833116387235,28.32788618662659,13.005222123021808,12.272623352430292,15.595187608464668,46.64020413736747,28.32788618662659,24.545246704860585,99.38079899999066,43.39027597725919,29.64814236472519,26.410809608899363,99.44289260117533,32.90465087769078,22.906142364542564,21.081851067789195,76.80342070571315,13.51725006732938,108.74139670808306,14.48711645600589,39.40921744659601,100,40.15504627292068,26.658678375277596,22.95493882701027,43.079148791542494,28.124762899022528,15.365017404505371,14.509593423018096,15.794617830420686,44.99962063843605,28.124762899022528,24.493770889326544,97.58304474878175,42.838362579034964,29.435552265033277,24.888062157040213,97.15811656181262,32.66871019296381,22.74189534262361,21.673339993809705,77.06232408857353,10.465342504694028,111.39023109863729,16.693597297762334,37.57172943392477,F
Read 9,100,45.88997088423386,32.16652851940756,25.968664342476576,51.51372763057943,32.12866325787799,12.866611407763022,14.385308873916191,15.680879421315165,52.9815161377739,32.16652851940756,26.935054613250223,112.03821545337019,50.36671053696044,34.07759349015689,29.14891822791294,113.59197830052298,39.00764549851771,26.662517538828308,24.670601187146037,90.29574845517419,18.26291139135532,122.19296717048248,17.234141078463505,44.18724374631392,100,46.558306695750325,30.57338596775046,26.911508627513058,52.26396713382674,34.71855659246684,13.525413559153916,16.14380089787172,16.14380089787172,55.292857991366084,34.17291933658841,27.327333388684604,116.75851774314245,54.14795433429498,34.57389531081455,30.035880894428164,118.72724394491055,41.097847034184475,26.536416992623412,25.029900745356805,92.64445077346544,18.528890154693087,125.5493434155349,17.48513695929596,45.90786765869874,100,45.48543510625655,30.463525523650183,27.053596790188525,51.05961651475155,33.953755645066735,15.771789401771684,17.290967967056837,17.290967967056837,54.39376862068969,31.88296957638154,28.22191090456953,114.41343481708432,49.92271076884929,33.77718785623501,30.384909842852615,114.07846338329742,38.66377977111043,25.9249220758432,26.42747833379997,90.9708702125131,15.922719055037119,127.27843819090556,18.558614290133008,43.79771809002876,100,42.342226767785704,31.772398430752062,25.69140093698051,51.4050214649991,32.44810420671586,14.337060572019253,15.411877024611714,16.623847665105032,51.693007031848495,32.623595503888325,27.577886641823575,111.80251919710855,50.66663023799369,32.623595503888325,30.111619835531627,113.34441589844342,37.781471966147805,26.77957555791046,23.895100953365418,88.44415830980526,16.276756255507042,122.86822804399485,16.623847665105032,44.93295676989121,100,45.33776635937736,29.768347594970848,26.436233466126495,49.89443560289914,33.79277584252365,14.337060572019253,16.896387921261827,16.623847665105032,51.693007031848495,32.623595503888325,26.088373132283618,110.33224874380524,50.66663023799369,34.09555439830279,28.674121144038505,113.34441589844342,37.781471966147805,25.333315118996843,23.895100953365418,86.99917161628687,16.896387921261827,121.36265082613785,16.692399905073692,44.93295676989121,100,43.59137101966438,31.155399921547996,26.436233466126495,51.4050214649991,31.11872492364214,13.517110337009461,13.933118418154585,18.19796672025434,51.693007031848495,31.155399921547996,27.577886641823575,110.33224874380524,50.66663023799369,33.00639212307928,29.69152592472193,113.34441589844342,37.781471966147805,25.333315118996843,23.895100953365418,86.99917161628687,18.260610508681538,119.85721661718817,16.692399905073692,44.93295676989121,F
Read 10,100,42.80996314353571,28.941852186897798,21.285340757451877,43.85003288752467,33.39519011560583,12.831286900591566,13.336466850028982,16.29694008695298,50.78375278184815,30.57734198855811,25.42734817966061,106.6579377237912,46.53581512122588,32.97875237117151,27.119747592310855,106.62976531047221,36.15966345641447,26.057584573568768,23.942479355230823,86.15164527247752,16.480263514988938,111.26270793437847,16.443762332821752,39.541084842954255,100,36.50634297709227,24.910731156258432,18.814938512447114,36.50634297709227,26.95048473164808,11.435579160483407,11.28896310746827,15.754929726779292,43.1659526891867,25.958679662914832,23.886560789088986,92.89860129669101,41.181031934575074,27.22722257949493,24.352768210507136,92.75952138192508,30.787857613275527,20.811817561360556,19.93276413967469,71.49676634729903,17.555338196286705,99.51327103433191,14.716177326455325,35.78040665129626,100,35.85514521333812,23.682045201905538,19.183340407881587,35.85514521333812,26.13370336520841,12.485109606654824,12.676708160389882,16.23410745453105,43.07283534146276,25.668377668118243,23.37469489136841,91.96075891306558,40.446447374250546,27.61369989377799,23.918365120341225,91.97823198160881,31.116089920598395,21.306676808900527,20.440577717804555,72.83317700169192,13.051469862460593,103.31711576927594,13.564670088222982,35.0047045352575,100,36.57620251542339,24.05236261204507,20.322309158756966,36.849775530825504,26.906294406245316,13.915538451290809,13.564670088222982,15.654579774626193,43.07283534146276,25.495630429056817,22.570237203324083,91.07842090986404,40.446447374250546,26.545523296810416,23.918365120341225,90.90622896219233,30.065453265056334,21.09824721394733,20.440577717804555,71.55886665925792,10.830984200066847,104.076468820142,14.453671115630245,35.0047045352575,100,35.747569838965944,24.759332481778266,20.685330644033705,38.1094911785196,25.203998529480778,12.338053799651163,12.987863809212945,13.876141637135662,42.70174998526785,25.800911925486016,22.750247104471065,91.11846156638376,40.046698212344175,27.06174508377412,24.204760638835868,91.31241242550898,30.60073982843432,20.465374043320892,20.942301125934677,71.9425981817792,11.82729028520074,103.40278277636403,12.828497481613708,34.73183911298376,100,37.915268097199714,24.549051874415365,21.771742266976364,38.142307659865814,28.699953933247542,14.691867962127763,14.061276668297303,16.956223370093532,44.852326281907345,25.51483036191411,24.230449378192343,94.41282881160036,41.73111238224423,26.608104559145797,24.794023534893768,93.1283659570103,31.34571230892585,21.87066027864676,20.568615146978868,73.69403478497809,11.75349436970221,107.24057272814355,15.126203861828385,35.12554947302695,F
