,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,21.544185330461726,19.422927567180317,14.167224002844911,33.40645859731523,31.76832384208286,17.03217399426161,14.617871506441759,63.321351870316725,34.097800899841715,20.489369567933743,15.558221858119458,70.0433842450289,19.82189803957439,9.86611156168338,8.565774171817237,10.288488098349037,14.674955891416008,7.546846125625882,7.050450100560878,8.25550190027564,45.8244702333955,12.306804369562977,70.5781293427147,15.910856336279748,100,21.357451959000166,20.049118263078398,14.926139228515492,34.80166521647902,32.79219097239779,17.571363114486466,14.848490306660537,65.103918539468,35.426413124588265,20.870931145150788,15.602554567556803,71.80970813187706,19.145547752729954,10.046811232463554,8.713617333523537,9.880693209055499,14.57886864518771,7.973651406728293,7.117100147282532,9.792554435894019,47.32622349657773,12.709149593700046,73.61343251844323,15.075010244087,100,21.38468766652257,19.425873337676858,14.116381641449458,33.33037291168156,31.87841019996387,17.446112042553434,14.123507528648094,63.339218578907285,34.64624639269626,20.191597765883547,15.266944262732492,70.02374170902539,18.768606245713286,9.431094581746205,8.750407860726341,9.016576010336344,13.74806470547457,7.616152362439282,7.240271124873934,7.955386618952179,46.248992511855825,12.237998264582577,71.61077486407788,16.250220425874712,100,22.121572820675286,19.870035425732574,15.197289879209299,34.957058427565165,33.45923819075264,17.787893814365617,15.059837945951568,66.19739460684121,36.71866227951703,20.969845863413727,16.05603912186764,73.55540168723378,20.281592803781358,10.638493852094868,9.419300145999152,10.385285673809609,15.306362737248623,8.268756118343822,7.666754860876798,11.030036668045373,47.32260986756455,13.056013069871533,75.36175963694959,14.641634772957014,100,21.93953025823227,20.216221248329184,14.470721026313992,34.46001858189052,33.249787345416806,17.74427778581994,14.795780318699265,65.69652286422367,35.19950992754084,20.936014628201853,15.583986817510363,71.66225183412438,18.973501128153227,9.466787441412784,8.372985727410539,9.372102841414662,13.801564288715548,7.240961360735347,7.388751316874688,5.618453442571642,48.32337545811996,13.54260753204752,73.10240216303438,18.56455387117747,100,21.02580556989577,18.74092620715885,14.137008408216355,32.776600905477636,31.557547509229803,17.068807444998146,14.355233124355475,62.87123674869823,34.027236108491174,19.66335664954427,15.12963403435395,68.63891710793995,17.96368538391561,10.22249235393522,8.689118500844936,8.92640769395933,12.621777171325338,7.855371800968996,7.17397587385719,7.041657584689295,45.794027496173186,12.621777171325338,71.84456061705636,17.290825316885293,H
Read 2,100,28.1094173842171,27.11149882970106,18.658603629345336,45.0143609506054,41.81810296129119,23.669476089547338,19.47153310338182,84.88966084979003,44.58190554241198,28.39892484881297,20.90047059159023,93.80843615836558,22.088854739192445,10.566314648728182,10.235172599669346,11.979363428157026,19.353253903555608,10.305038070112154,8.588460056724205,17.442216432122265,69.12829690648206,18.658603629345336,96.15332898197914,17.442216432122265,100,29.108124269928936,27.712032548120472,18.78416866141467,45.402011213411555,42.154709130963795,23.558411042310464,19.380166199622746,85.0230282558493,44.33745655537466,27.732544788196318,20.80239863829707,92.81850498909073,21.862002772741818,10.256683407097869,10.145194406761462,10.353251487121469,18.16080448536462,9.312279618520305,9.08040224268231,15.389644544803044,69.13372297478062,17.821024812912874,94.86514325053254,17.757092679264918,100,28.6495126051791,28.049904887277624,19.367866729374565,46.7467858337404,41.72198994470367,24.14743064423864,19.426780528500984,85.22753070234631,44.52117039490897,28.348774613664265,20.872974707110625,93.61266986196765,22.321463485831526,10.542029463528795,10.15554011438345,11.951830549467047,19.667934676331278,10.04238293230848,9.10224296644738,17.5085139282262,68.46010207984598,18.20448593289476,95.54589665497242,17.011951961985726,100,28.734149459010343,28.509562997690065,19.783799800440157,47.498565531111,42.7902240838643,24.14743064423864,19.891810429128647,86.78872591626029,45.58648150135314,28.33365392206654,21.386764684101294,95.21491649717026,22.689598884805307,11.476247022066325,10.169596231995534,11.867872847920529,19.667934676331278,9.826701753621377,9.10224296644738,16.98674283186777,69.645440505999,18.61571945830135,97.13390264250494,17.451309762482772,100,28.58829821498382,27.253805544421493,19.197385647668685,45.70583610463475,41.67424791176561,23.477297831920207,19.435871632060874,84.52526148710639,45.01283074129632,27.60943384940368,20.848500150443293,93.29834157660949,23.046271339071996,10.719031901079646,9.904371468214702,13.271784262344571,19.540160727874497,10.013213983170921,9.384568650348745,17.560778545999998,67.36203692267402,18.463454295646223,94.53042759243033,17.30428957688148,100,28.226053742739076,26.93185630516453,18.579519811132645,45.040150423829715,40.911228273576675,22.811122439942476,18.851961325518275,82.48964605652874,44.11362880117686,27.284536402133398,20.757187367931802,91.96393114749189,21.875464804276163,10.397000899759659,10.615398152804161,12.66340439685378,18.579519811132645,10.16137934738607,9.102628819651576,17.27102385911343,65.00185019194143,18.953117272530633,94.1298901034903,16.43910183903025,H
Read 3,100,31.185203014001555,29.0350525171148,20.51953636277318,48.34467632996117,47.29273236174114,26.130656057679527,20.360026165166474,93.69987375228064,52.43925376780667,27.17909051313333,20.360026165166474,99.97655950258513,27.637913450972594,11.781252403951067,10.660516376013183,19.897237841992375,23.896184544233076,10.790792285975241,9.651578033008393,22.386668284418878,88.25786306074185,17.184146139141834,99.64991409431758,24.568906594648883,100,31.963019497297424,29.196589328248027,19.729119739118453,47.73919841271696,47.12519521093402,25.97933862712749,20.283676067047104,93.34849922570962,51.287059050363794,28.03342257137163,21.175688024562724,100.46121451237674,26.66427812281163,10.963225241337865,10.576923076923075,18.89123336960433,21.088184807174333,10.400628679223045,10.576923076923075,21.69329648592015,87.18243301961087,19.085993501230007,99.2762269164639,24.514516892273004,100,32.19564469681374,28.812583002569337,19.011046107919935,46.695227442769486,47.888133320563156,25.930440323112503,20.204025581581252,93.93889347946923,52.0374588917005,27.84109156929151,21.15766883859259,101.02012790790627,26.559572117349003,10.920174553195459,10.578834419296294,19.74478318943425,23.026176190348252,9.86077017621588,10.578834419296294,22.215139363553682,88.53478516147204,18.298030049365767,99.69016615948091,24.38065714272168,100,31.62862346807409,29.49588778880378,20.442588101412788,48.316709716927356,48.07692307692307,25.018484290880163,20.283676067047104,93.31382756162766,51.287059050363794,27.950849718747374,21.24107887920627,100.46121451237674,27.534271275531445,9.615384615384615,10.750326814902834,20.374634711939507,21.757131728816848,9.615384615384615,10.576923076923075,21.349618568437037,87.89534524635721,19.085993501230007,98.18056364129855,25.165869862119997,100,31.674334715034817,28.69773780669434,17.995843300348806,45.91721763995832,49.01480247034605,26.48614074327281,20.679367816615027,96.1140158952549,53.16242275446034,28.580295533993237,20.679367816615027,102.42100097330832,28.964389182813758,9.037883008815692,9.037883008815692,23.710198259872215,22.88524170165425,9.037883008815692,9.851853368415735,22.546809136359183,89.29307878091072,18.830872181451372,95.10387480156773,27.113649026447074,100,33.66813552384549,31.07927625524867,20.470829068577277,50.82787724845501,50.153531218014315,27.711333409786864,20.572928600042758,98.3452376619391,55.50766371732343,30.77440404989336,21.591630613847478,107.86592468935699,29.84110488661873,10.235414534288639,10.286464300021379,20.598374408902874,24.650142433556386,9.656070759525692,11.443541338279374,23.563693824403963,87.72651929259413,20.265086871262362,103.65599919076487,24.77731512161761,H
Read 4,100,49.56374573042162,46.887783743756025,30.512388157045713,75.87203541035764,70.84585659081151,40.846495471104426,30.132393404075135,141.75675413670396,79.89606726461311,43.41723575817236,32.27414422149615,155.52400408995132,46.094698483434705,18.467851582315642,17.174753112924,33.32798346127098,38.2234731961461,18.467851582315642,15.027908973808502,34.349506225848,125.69584515504035,27.324864880544986,154.24443921585276,34.94809058844935,100,51.97778297496658,46.617565993258395,30.185988524505774,74.46217093922054,72.57203842049093,38.4797361308857,32.08814595170312,143.07330650901937,79.69329648919734,42.902350570420026,32.08814595170312,154.62770780170618,44.874698061107026,15.391894452354277,17.208661148983033,31.73120330270759,37.76265957941118,17.208661148983033,15.092994262252887,36.34874357721752,127.39059390716564,27.16738967205519,151.2465633985646,34.74668216883609,100,51.61363366325163,48.95557857875216,30.360960978383318,76.80783091454838,70.84585659081151,40.7900386431945,32.27414422149615,143.85457765350753,79.89606726461311,41.01539968772605,32.487646952386335,153.39047383337268,45.134813313930096,18.467851582315642,17.30841079497327,33.32798346127098,36.5594383124225,18.467851582315642,15.180480489191659,36.5594383124225,126.35413456043075,26.205572382425295,152.1232609536872,33.39705707622165,100,55.42009859756906,50.377659583929564,32.18510610771723,80.46276526929307,77.4117039221436,41.028121022576116,34.213237092337074,152.49763830451482,87.2269817785016,46.02582707363834,34.213237092337074,167.3934961168256,49.96472098338678,19.57743574656947,18.206645425580337,37.53396108891816,41.840637940032394,19.57743574656947,16.092553053858616,38.755999922454265,133.57788430431668,28.9665954969455,163.51174280096544,37.04783931747771,100,52.529787067424145,50.39449392703371,29.73176584988665,78.10208639589962,75.13812154696132,39.84034558523744,33.22275442734344,148.13225215353717,82.8360875756522,44.41933976186028,35.63428839026982,162.83259244012064,47.44952608526826,17.26022027824675,17.67955801104972,34.9422945874959,40.629339913481175,15.936138234094978,17.81714419513491,39.84034558523744,131.3012223426559,26.61125873766253,156.95275937736753,35.97529413502697,100,54.11464738615965,49.190985824841455,29.896942326830466,77.52339352227737,75.55555555555556,40.0,33.628324334270125,148.9552091099457,82.96957645597544,44.94166314701486,31.190375216929333,159.0403318674035,47.71313456351975,17.356110390903677,15.713484026367725,37.973349979189024,39.31512447323141,16.02467233539551,15.713484026367725,37.77777777777778,130.10916594048396,26.75909906398288,152.73635802168516,37.71236166328253,H
Read 5,100,72.02352712308975,67.94335744967862,41.39161645970033,107.09511414682999,97.68285070488187,58.536585365853654,49.7465318399296,205.4000319163639,113.14549760725075,59.34402468583629,44.172610429938615,216.62052010901968,56.88733555946635,31.234752377721215,24.39024390243902,48.78048780487804,48.78048780487804,24.39024390243902,24.39024390243902,55.618313419470134,209.75609756097558,31.234752377721215,231.1289315216026,51.854369818217805,100,69.84302957695782,61.70297873499276,44.973387596550666,102.90255175477553,102.43902439024389,58.73948575020631,43.90243902439025,204.93611256195126,118.68804937167258,58.73948575020631,44.172610429938615,221.4548187866569,51.854369818217805,28.443667779733175,24.39024390243902,49.7465318399296,46.01942015637367,26.26909662016831,19.51219512195122,52.53819324033662,215.13245923121895,41.96256227825671,240.80965945751183,51.854369818217805,100,66.98381865694216,59.63990779581957,44.452962667757404,101.36835121325282,101.25361620057858,58.0597617106668,43.661451967875685,202.73670242650564,116.61896453662315,58.0597617106668,43.3944069431051,217.82752166010636,54.97470709253316,28.114522154509643,24.585436420408794,53.256321201481484,45.48689070422663,25.965114788498084,24.10800385728061,53.90713542670659,212.1504339440694,41.47697814388922,232.2390468426672,58.0597617106668,100,69.84302957695782,69.84302957695782,41.96256227825671,108.31026005450984,102.43902439024389,58.73948575020631,44.172610429938615,205.1102052841818,113.14549760725075,59.34402468583629,44.172610429938615,216.62052010901968,51.854369818217805,28.443667779733175,24.39024390243902,49.7465318399296,46.01942015637367,28.443667779733175,24.39024390243902,58.941687676071076,210.26597133904687,31.234752377721215,236.62307971970543,51.854369818217805,100,71.19008225763451,62.68081002892959,47.73141242339279,108.35200122586417,101.25361620057858,58.0597617106668,48.45648804783456,207.55297251717337,116.1195234213336,58.65730501734058,38.87298817887439,213.5158131676425,48.21600771456122,30.873308762935622,24.10800385728061,49.17087284081759,48.21600771456122,25.965114788498084,19.28640308582449,50.33898991760149,212.64298043587215,32.344281256023955,233.2379290732463,51.25431925137246,100,64.55596649372588,57.478238275339145,42.84174933686287,97.69421952429667,97.58364312267659,55.76208178438663,42.07892722182815,195.2225979330856,108.4815755569587,55.95536514308689,37.46402299395237,201.7499381607102,52.98212941910493,29.754294783609897,23.23420074349443,51.32602703153933,47.842147495292764,27.095501370098987,19.159412758446383,54.38986947360423,213.80515000608443,35.38928023170961,219.6338717118304,52.57299488375819,H
Read 6,100,23.529562838535774,22.24891561595466,16.566625208608126,38.618625305945294,36.059392529556625,18.928986384993514,16.132281720191358,71.02054808415343,38.96385554114193,22.17884931221657,16.648629040115264,77.71312274456112,22.17884931221657,9.609841226501581,8.913109911378223,11.775112581946514,18.30190853502185,7.972127861107533,7.91088141336919,12.7431964991309,49.34367462476466,14.499990674836264,75.67696406283584,13.208009045421148,100,23.33903806586788,22.050744591624735,15.510488758625511,37.313343839611825,35.220788337646624,18.987188083965947,15.724155935472254,69.84760794306702,38.57634472130576,21.939489592678047,16.205882949691865,76.65680190625943,21.713806126443437,9.439881622008851,8.323496291047107,11.851919095971924,18.202724826607533,7.892336237236116,7.630276541243695,11.892072522446242,48.494602449694554,13.496794467993618,74.19318659131446,13.792592327331327,100,23.532316979847288,22.22778798568615,16.216572292924923,38.21571943233355,36.26135800901976,19.027510388602053,16.457579625276644,71.67581757434387,39.31334234546646,21.94745866619929,16.951796843749953,78.17022828910413,23.409205908182827,9.509582311432492,8.823719268187892,12.067254567625502,19.067519215792498,7.783602243576685,7.876870927920863,12.263016038099328,49.92594313834723,13.703519101176878,74.64450415123567,13.570799876857276,100,23.90960699505417,22.42020201924376,16.174757395760036,38.41327066656747,37.19461953175785,19.740230533179528,16.631917785087097,73.4690519434156,40.71576763485477,22.845140607412073,16.954314448839373,80.44478731764083,23.905387280282643,9.647860600486657,9.080467531126347,13.68596971157548,19.302690939759746,7.56088160638654,7.56088160638654,13.223598323632741,50.14047367403442,16.020171381203838,76.51997163904889,14.508921919812618,100,22.840952648834705,21.637174709403837,15.48046408668727,36.8941338297442,35.753916323394776,19.105712657354697,15.860105408277354,70.62979978732093,39.16166477279647,21.882341938376005,16.345997385874835,77.34632656465732,22.459827048189744,9.256338066472368,8.395460403925837,13.3060144457227,18.360103757085515,7.547779824364058,7.413797704825556,12.87627605967925,49.52153107221982,14.478973523699182,74.02013484146481,13.965192847039777,100,22.86420931438016,21.312394745001374,15.685325699889418,36.78667049803215,36.04378836325899,19.375926927819844,16.125300714992342,71.4578802831471,39.455262822960414,22.169251744740237,16.61609664794969,78.18832207491579,22.842944893391703,9.469810481220962,8.658445387142649,12.864226822953572,18.470235391291062,7.421346436101947,7.399486752576624,12.681602349070792,49.8242367505535,14.493716019332323,74.86542532698353,13.926006737014056,H
Read 7,100,27.12176648352829,24.6154891610771,16.588404760188727,40.54052361040115,38.11020839053532,21.13583218069548,16.972372387729738,76.1517028998461,40.962145857103366,25.005033185520528,19.345238033776656,85.24064096189016,18.681612826238286,9.96652023920795,9.048833780607762,7.840801010581116,13.107886674273074,8.370722498136534,7.789272734908242,8.370722498136534,61.0805894844626,18.450252657787416,88.23516251775337,20.120712786474197,100,26.412288097558186,24.51911440670822,17.161448323063873,41.126523294651356,38.6002879742174,21.441343552558354,17.337632065672157,77.25245024793848,41.01216126808128,25.366472561395323,19.104107064795,85.38440811993196,17.99447334415105,9.875581723025459,9.59174117786841,7.90186406221966,13.635870455792741,8.310847989930036,8.40998685939553,9.875581723025459,62.05927839430408,17.979113142167744,89.51057222563152,19.248182311275215,100,28.994414924959823,28.034254336500496,18.967962505185472,46.3611989067181,42.94195786158217,23.04647049290233,19.271199598580754,85.1853777176933,44.839006163685994,28.518375769355536,21.371362524134767,94.49957891797227,22.394346943188264,10.663050072676468,10.842777057061747,9.238831212315382,17.81198050678231,10.231416786220173,9.098308480068898,12.395192774030393,65.93694292722847,20.78301183155568,96.5880426765258,19.41274844096149,100,29.220168199849063,26.80631283586685,19.012377320449264,45.24703389340056,42.104197774105344,22.66823769593274,18.954925584849445,83.60863021067556,44.661298289538045,27.494943298034503,20.373213789097534,92.34999896591874,21.475252943699168,11.494507246831528,10.06350138289603,9.55523209145009,16.48411640084113,9.357516252227427,9.001069273527465,10.06350138289603,65.1496259484637,20.901691667800666,95.0307405370473,21.065046627345325,100,28.66569627435027,27.28446892899394,18.963143632313308,45.777658442717225,42.16705921183713,22.118580725866863,18.83122450980574,83.05707291013138,44.103119828298944,27.404125731011675,20.924042440539594,92.27573548518778,22.118580725866863,10.737626471849584,10.06350138289603,9.748938928532423,18.00213854705493,10.06350138289603,9.001069273527465,11.508054107451326,63.3945290747383,20.76708187756869,93.94739080679436,19.987176275503135,100,28.230780024942614,26.64915518388679,18.345995819024587,44.40500778181276,41.004394151450846,22.371023032444857,18.70639802374355,81.96806986073676,44.0860489725486,27.084064683300692,20.64969679813939,91.6886126988389,22.371023032444857,10.59684005160387,9.977286401649865,10.291726361981821,18.045768349668574,9.11907522986274,9.429948638510186,12.318576341448821,63.528511745817,20.49479422403953,92.65665950475382,19.96217599382265,H
Read 8,100,29.532238908440426,24.370541592432918,15.50053869493343,38.8784296825926,40.99838861339509,23.365997957193503,18.592050940654328,82.83922160917479,44.182626639586644,26.236074907443054,19.80200116774599,90.15878815667644,19.030195798764947,11.062602192733431,9.187928475510637,15.108882837254894,16.49956538261185,7.612078319505978,7.378829958944484,12.200633614836434,77.06641924395494,16.99175246331374,97.25900964887173,21.92107204646381,100,29.532238908440426,24.857594734707718,16.116692700532024,40.18621521190049,42.40582373312602,22.660569004002262,19.290895560048316,84.21172131800182,43.48176808331903,25.600071066894955,19.09570441176945,88.119011483537,19.290895560048316,11.062602192733431,9.187928475510637,14.293411842643783,14.570307532750235,7.378829958944484,7.901858709095307,8.272457354385205,77.7472226734292,14.70680051359447,95.2768887084887,25.482728641345606,100,30.31852926086292,25.12097562752817,15.690164686980479,39.75516952196253,42.21524822415776,22.993502189137498,19.526890919954475,84.61215877506092,44.63722274948204,25.91324978720108,18.655608542574473,89.1970162741855,21.474218085282068,10.317788740775475,8.614676333375517,17.229352666751033,18.23944596363137,7.998526175060059,6.595753653808047,14.308198597796538,78.7763469221106,13.191507307616094,91.97679108404316,21.793598814891716,100,31.442391001718505,27.14883230100218,17.344752724223685,43.86140433153795,42.4980006969591,23.14750980192754,18.945547624005624,84.46034234130023,45.73705814708658,25.371141453091155,18.134214349318217,89.24109367546293,24.209919069458564,11.249909507967812,8.672376362111843,20.48464192052991,19.919793569952223,7.790172003163102,7.344644600061627,15.909774601638112,74.9874850090042,12.822825937893308,90.0453704463106,23.19228258999585,100,27.677226642508675,23.609176124678818,15.50681974561612,38.47519791564468,39.913120190954416,21.316693759565716,18.146857341873787,79.29566147115594,42.14327236683859,23.505976370804717,18.000114846992734,83.62579394763964,20.653180728687012,9.816383924096403,7.978192939299249,15.97023090148835,17.400774321258428,8.033406005980035,6.12960870772747,13.977658428049093,75.2014928378577,12.701930173886577,86.79022753924797,19.326430229038806,100,28.546621267348918,24.724356832609423,15.657032427477422,39.74680215960722,40.09355162044771,21.424950941371737,18.239016457007928,79.61988940383614,43.28535847832047,24.86841839749869,18.153127573947376,86.28397690498112,21.320489319804636,10.774818240292081,8.018710324089543,16.719005684192187,17.980119007114883,8.37284603150128,6.814593402730083,14.716148042462574,71.61249065573568,13.77582901977167,88.76343700283084,20.024489226557563,H
Read 9,100,32.90102233354913,24.585436420408794,15.71649567310185,39.650154781577925,47.149487019305546,24.10800385728061,19.324035127629454,90.43715275748644,54.1357559616336,28.97978611420276,18.439077315306598,101.46147787617628,28.140350843608367,17.258704271065994,12.292718210204397,31.294009126680734,21.08589161588223,14.564905946955845,11.113240666939351,29.648924484688624,104.87674413768663,17.384528811301777,114.38606371728405,27.32831255726768,100,32.562370341846076,26.105977923476726,17.18789503392417,42.24029313477562,45.006153261406205,24.186721489902048,19.387132110148023,88.35605010331518,53.675997148801905,27.283865455746717,19.944881488052538,100.89806208061994,29.12466943715636,15.721368968436328,12.153677132810365,29.917322232078803,21.80161612930215,13.520788351068992,11.149527702615659,28.74559033499749,102.80067982756518,18.459714019196696,112.53975207770557,24.813501667291323,100,32.495929509457945,25.29888559341059,16.09641480323721,40.444988143514934,45.11033976933945,23.668639053254434,18.971857446013487,87.60594330566508,51.990254760920216,26.699441828824796,19.264876445088408,97.94642223222988,26.830258103561263,16.94416693878858,11.893343930320578,29.938723409878147,20.360533176432252,13.801069573598342,10.716432116138954,27.0382477131263,102.98578162054137,18.485798049483204,112.30139462705189,24.625623723887347,100,32.04717324993427,24.531475516929504,16.274148307858734,40.32210125811417,45.02841143442645,25.50193600391635,19.445923752888643,89.8359847709147,53.289380486387174,27.366604009409212,19.746264672610028,100.39389469460728,27.66073326295822,16.274148307858734,12.370255976692828,32.99725984651975,21.21889335824345,13.561790256548942,10.00268225525876,28.832761581767862,104.38174390182391,18.032591881754612,114.8003742851125,25.58833467943836,100,33.591468057528054,24.45694095571691,17.05836982199459,41.042625280531404,47.11254243775946,25.460882891927266,20.382987338692182,92.85110250608912,57.102381622086774,28.685350725183678,19.449534063290983,105.23169330735443,30.56787102395756,17.663628721487356,11.513522108248468,32.19069014919813,22.63762722792735,14.21530818499549,11.722243429488733,28.572415835021282,109.46341131611386,18.901549583367466,115.28255605898963,28.000909784545765,100,34.70398999098839,27.446958861949025,17.29366879686643,43.91587041111391,47.19824842535432,25.429116338207255,20.3432930705658,92.89461898338376,57.102381622086774,28.685350725183678,19.738302220292468,105.5001908653986,31.479767077278957,17.663628721487356,12.7779728176998,33.66357862650662,23.650445311809637,15.363059089122157,11.722243429488733,30.222159755892477,106.80985654172854,18.901549583367466,116.54472237030886,27.03152145641361,H
Read 10,100,23.43830367539997,19.760774440414664,13.246564271241773,32.56844495701837,33.937848739144975,18.247405412884223,14.575625763423007,66.71825751311219,36.69363036587531,19.928990986457517,14.073690555418056,70.64888125612642,17.45626472731928,11.496085058918284,8.033633099816953,16.80163887976081,14.000516625171608,9.2979457380298,7.459041076304332,12.447026320072258,60.40937755694065,11.855309513752658,77.20793515702256,19.99759356794997,100,22.448848863218824,17.83862005091358,11.768137534459052,29.192514605012427,31.854678662345677,17.400937127640574,13.847078956756857,63.04329830158094,34.934577471623356,19.006328334387554,13.296800709162707,67.15945404666626,15.343245035586891,11.353858331537895,7.429723956235707,15.05483253466791,11.353858331537895,8.800197303506147,7.263984357047285,9.836856810164965,60.48833590070177,10.728928161571723,74.89467844869756,21.275491630984103,100,23.710764342561745,18.922291736285622,12.473195821024856,30.96404065808961,32.74114002123032,18.528779542759484,14.468546021986974,65.63172337737855,36.40327583320688,20.11908422537543,13.510864314306083,69.95837500853854,17.212097597653532,11.370473063880995,8.040138608769231,16.14783078813951,13.547999146543496,8.153895418714713,7.366181044360777,8.671476551161026,60.5788190713596,10.230807006056635,76.10620246224572,22.518933527905713,100,23.287896754475863,18.084921259132894,12.254901960784316,29.962615720412174,33.50669387975471,18.49547618083623,14.442540465411513,66.35777632686708,36.63284268210027,20.869346036674514,14.297385620915035,71.71532142801568,16.263095782184955,11.510623205559945,8.529662180482477,15.158476564770814,13.305961989299291,9.179822326080162,7.772180388251818,8.58815197778948,62.17744310601454,11.611658826431288,79.22098779149269,21.445105798050147,100,23.469302020386728,18.2899258472465,12.150488861174544,29.970015753179197,32.32956160724002,17.61269446631415,14.883918439381679,64.7880278667229,35.521896607447424,19.679481837269257,13.958255052829658,69.0760352846859,16.69554840850861,11.946042705817579,8.062088266357062,16.2664586510689,12.60624939273821,9.584066398382546,7.972892166633446,12.051996378577618,59.82990241101709,9.03789838449642,76.64454491670914,19.99591182616616,100,22.03283230548568,17.348294411815083,11.78000392571309,28.682526031639615,32.277254101952245,17.820128289738655,14.659607022454923,64.68667738674716,35.822374559229644,19.82938499299295,13.713548178921469,69.27233768139607,16.81012058579011,11.365306984717758,7.75839311969965,15.268417078004031,13.21206740141104,8.928303803968317,7.674060255088309,11.184951094149191,63.00366777644217,10.972024772101353,75.81283518313704,19.664617824787484,H
