,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,22.236218248421412,18.614495442227376,17.065495580692286,32.28036537007404,14.646216956810257,13.933164119721352,9.962087820281292,9.222123857473033,14.431410049455668,20.152445678221856,2.1460875478040613,5.798953270679792,12.264197343246963,18.527864569386143,10.489607664935749,17.86209856079677,19.211617779536766,12.807745186357845,13.665699295423934,45.6361256041231,21.460875478040617,9.908109576668352,16.721909953876455,65.06012607621962,100,21.588081388546595,17.66146738900653,16.296852146860196,30.38633637471832,14.13494445419084,13.54572713903759,9.38945095185559,8.820588356168134,13.867332210738649,19.11623959203055,2.6244313249686506,5.148168399676371,12.065535809860235,18.190168086250907,10.096388895850598,17.410090505658232,17.594262765140265,11.788342554859952,12.916895370716748,42.247312599672846,21.02954053137254,10.080003076727722,17.058399848852527,60.80077320594483,100,21.65648906673635,17.77992485790155,16.24310185568517,30.498320576240022,14.584140767230734,14.00374691210701,9.206644470254199,8.681854114597723,13.868631043506058,18.83529050625771,2.1538978733980203,5.553155931223583,11.822802475357438,18.25999722424926,9.756383991132184,17.535738720488933,17.510821139560328,11.732435781225792,12.855636381831236,42.04695271607007,21.576955217304583,9.62118506773853,16.26828367307138,60.743783803827704,100,21.971985938689418,18.14207673054234,16.003459833535953,30.762400093548795,14.944418360659213,14.10391489001949,9.272499056582603,8.418138268234502,14.096061930117797,19.161668773178665,2.3995385946318986,5.592877328943395,11.43539094609211,18.23339648570294,9.826170831915812,17.70343934680158,17.462565002615975,11.536612397300011,13.026456974744853,41.954333387212785,21.60225542498669,9.48500911564535,16.641133844787692,60.717281191553006,100,21.006221175785765,17.525662720037253,15.645630628866346,30.025111825918927,13.866730424708898,14.318288135138571,8.566989171094198,9.07206245415876,13.28470245421389,18.263562518271364,1.5447792590672123,6.646341825981259,11.330721566049549,17.271157167530223,8.889008205236053,16.126324835934692,17.484766169467555,11.11573368902445,12.37967074792457,40.94166978051452,21.335608192332472,9.13323293727205,14.11499635760226,57.801264714788196,100,21.984879601183536,18.284118969565533,16.344515457866436,31.0650473052735,15.281757919662704,14.222716403507613,9.681910434501443,8.724534967778022,14.214797295764772,19.22521950310086,1.9129808395535766,6.228214378173775,11.674850729759207,18.023612779530612,9.754326630012796,17.34713653001233,17.668704891333697,11.6844914008733,13.136182736425587,42.43528461526109,22.179919317692338,9.6089485022264,15.669205819052374,60.75425874226482,I
Read 2,100,35.39548423342821,29.752881020244654,24.47437379971909,50.143778736623645,23.154981572201724,22.070676740116387,14.970759822051857,13.875198207836712,22.42173967904807,31.32301460989943,4.590027185308528,7.454988474477449,17.13195564555436,29.210754137060356,15.44841564365513,28.84157693829653,28.069264759390112,18.712843172926743,19.70562044873652,66.33535316240649,36.82394014076694,15.670202507232402,26.77101291527581,98.6018094559686,100,36.13758476373201,30.026142076996496,24.14626025336562,49.566529364100326,24.22274527308543,21.08744702069183,16.05787820989488,13.059370204722274,22.774338819839496,31.310839185533123,5.440223775925528,6.550896912760177,19.098982383197594,28.690411568811523,16.377242281900443,27.201118879627636,28.489844726307087,18.88470858981817,20.218685163426386,67.52509978460714,37.61728871982538,16.377242281900443,27.016887433261736,98.24462747153616,100,34.69528246607043,29.539241376729258,23.754707086260424,48.76276383886869,23.097485717590697,21.248541053811284,15.79748537870283,13.956323348121833,21.91219892723858,30.28142874313067,4.824232735937381,6.247191544345711,18.922197583582932,28.225170931236853,15.706563844431173,26.068718179502117,27.867714270452417,19.016573219328276,19.33400481259396,66.08426817556563,37.00729079958408,16.668726995194017,25.562481286852357,95.92639745022379,100,35.7765821728438,29.382763043146202,24.022898721041088,48.65394992604204,22.975131320300914,21.460337333872918,14.880066662698649,13.375516370599508,22.28634632087263,30.933364585884846,5.6151307255857414,5.646588286712183,19.167004568900207,28.84738007512085,15.623361405162418,26.518266067431057,27.720090523647446,18.4800603490983,20.008018944076674,66.07821948447867,36.50198942077725,16.580427685476007,26.24971974430087,96.09343824422446,100,35.88976541721705,29.579030506170533,24.679510909392885,49.39309777853587,23.114905431620155,22.046907640112444,15.286779992662346,14.261836602287637,22.89549373468149,31.477406570218296,4.656825917735055,6.971844350612314,18.7174120888027,29.41424353872005,16.24719365976082,28.45148617862747,28.477757177925934,18.985171451950624,20.32624451338469,67.70507783131421,38.05886344526216,16.464365926178623,26.456289168134933,99.89650483976712,100,35.91375413892654,29.961936506529142,24.18782804554554,49.72484196079604,22.925680425297923,21.140970165222686,15.484670176525242,13.849910049549646,22.681738524125805,30.20423744871257,5.539964019819857,6.699692676613174,18.95971243730439,29.216417256291745,16.457516575517403,28.207612354873213,28.417639509332826,18.633148289242893,20.820980258868516,67.77122015033723,38.30695842939914,17.442090852064073,28.51871027122041,99.42846469658575,I
Read 3,100,52.20787280715205,42.10365753177833,32.48050772022217,68.70046231777474,34.419390658344035,27.742008297907667,22.395300323417153,17.545586617735843,32.66633968536092,37.68161173565071,3.719656923653591,7.439313847307182,26.98354093724776,38.3413459682095,21.76873403109791,35.89517113086845,37.12676016173884,23.708254046975206,25.90441294528171,86.69673710599426,56.18098201813211,26.62869112482455,37.61270290919277,127.23184242449054,100,52.88573889146795,43.702846792655905,33.01553063495243,71.25003557776472,34.37990961487674,28.02554564888109,22.700649781116578,16.723939063798717,32.665532792265594,37.26757651996197,6.189807550172429,6.189807550172429,27.681660899653977,37.26757651996197,22.910651013490448,33.93121293323534,37.803460993073124,26.004559485198527,25.446057177647383,89.23847927925188,56.47669415391879,27.577659301275123,39.17223999469871,127.43339109447936,100,52.83523591083055,42.88957729923104,31.27102535512453,68.57867732335961,33.63058517560432,27.969655368071177,22.11195408326502,17.181622712134637,32.88160401225266,38.920262922831846,5.7628914522131005,6.7916327085031245,29.069457428732267,37.83859896002206,21.902357371090872,31.971209714587943,38.89655273913707,24.972529626256772,24.972529626256772,88.82250868933342,55.840273814437566,27.06446460903461,37.74095079991797,125.06197373779047,100,55.65503030126405,45.472166496124494,35.77049649449135,73.86412647955535,37.448139442845616,28.971894021056784,23.29205980268952,15.410401508469034,34.636481433424535,39.75516952196252,7.154099298898268,5.899421413102963,32.62771283729111,39.079983642145265,23.684282954996206,31.994104700240232,40.97244545221449,27.633721442020267,26.88266451288587,95.44758952730243,59.288451438262015,28.508883738977357,38.52600377117259,130.32247860049452,100,54.671550077386755,46.8689064362833,34.93076438899328,75.07374229414741,34.636481433424535,28.971894021056784,22.35012069224969,16.68608354512892,34.93076438899328,40.49498268159938,7.154099298898268,4.524649678306452,29.77343260364117,37.77472823706992,23.684282954996206,32.62771283729111,40.39374506651339,27.14789806983871,26.88266451288587,94.32565301959943,60.179541693555855,28.508883738977357,39.75516952196252,131.7364788464177,100,54.63409097735523,45.472166496124494,35.33864368358411,74.89627888569123,35.425435407468726,30.183178007910985,23.29205980268952,18.6006581771355,33.525181038374534,39.288969001991646,6.398820940048046,7.154099298898268,28.400963286992713,37.201316354271,23.684282954996206,34.81334972269692,40.39374506651339,25.794471851938685,26.88266451288587,93.0032908856775,60.73826091512698,28.111149956200457,38.52600377117259,131.5265153158552,I
Read 4,100,78.39195878827854,65.08986801244102,53.112757340857286,109.96066610330082,50.58451862633844,45.10488431730609,36.92277931020524,33.02473778233669,51.202682321379214,62.54277174814756,3.238341968911917,18.88261623978401,44.04621278735572,57.38356588947329,37.90382095440294,55.14697657359587,66.7601299484725,40.962145857103366,40.962145857103366,148.57603299163813,93.23950808865266,39.12903488858347,52.21669526100097,207.35505950235907,100,81.4409334319621,69.16401019583274,55.8340536587751,115.31478947586213,53.37318228229412,43.988222508192585,46.59891935590785,40.555137301157316,54.56825238391225,63.321993166649065,6.557377049180328,20.7362469519238,44.11024277729085,61.25095636809641,38.37606528104795,62.29508196721311,67.59189550192886,41.4724939038476,41.4724939038476,150.42714422235358,97.48241801520331,39.61654417571991,51.840617379809494,219.69659760984857,100,75.83312780477075,65.70708517065593,48.420049363770694,104.61335749594869,48.78411501147153,46.55703700921632,34.687399731381916,33.91360574357936,47.02970940167132,58.589279011279615,4.2064650873679215,18.81188376066853,41.32196308581143,58.43808061983493,33.91360574357936,53.62211890933952,61.31923892947146,40.456485748766944,40.456485748766944,142.18225345291043,86.71849932845481,37.269375628023994,45.402550631986166,202.28242874383466,100,73.05730793161307,62.044185616849965,48.23888078487273,102.73087762689987,45.942645152392075,42.11123842140104,33.53457132644524,30.70678384973691,46.50408323777028,60.63390625908325,5.882352941176472,19.730011566174614,40.00432502569248,54.9457108596159,34.42558797270478,53.02281287447043,57.784949130554416,40.00432502569248,40.00432502569248,137.7651579838867,81.93169574814188,32.88335261029103,50.00000000000001,197.14660029257522,100,78.98087343958167,63.91017883065748,51.76095579046011,105.69647146960037,53.96045389022937,45.52566315827139,38.812577474510974,35.12038479232833,50.27468458137327,61.40924615525585,12.718600953895068,29.31492673225083,43.24791894669457,58.62985346450166,41.33545310015898,60.49697167071684,65.55016892873863,42.42182532313619,43.24791894669457,151.15884672819982,86.84578876787066,31.476931435967135,45.52566315827139,219.4189061886946,100,78.98087343958167,67.07479526145941,54.1474924194798,111.83151284622558,51.76095579046011,45.52566315827139,38.812577474510974,35.54957038950381,50.27468458137327,62.6318461163504,7.109914077900761,23.148203145566033,43.24791894669457,58.62985346450166,38.41986001142948,57.321959864292346,68.63921508719523,43.24791894669457,43.24791894669457,155.05482149744492,88.57480621420741,34.39317591857541,46.94697316449411,216.23959473347284,I
Read 5,100,118.42035716142041,79.74989904106327,82.32313538621936,142.2217733111351,72.20216606498197,61.6895577279244,42.10073570285415,36.10108303249098,72.20216606498197,75.38127443256715,43.91886303464418,59.53943141686153,56.391694410878365,64.98194945848375,52.56397031971494,75.38127443256715,94.9671222957827,68.49698902891798,59.53943141686153,222.42486354872727,76.75195532660398,45.664659352611984,51.05464124090596,297.43436713423796,100,115.38461538461539,86.00261451922267,81.77035240565115,145.951276623156,70.91957274840684,58.582870045106986,49.25480182640652,39.22322702763681,83.20502943378438,78.44645405527362,41.42434467026541,48.650425541051995,72.56908563120464,62.01736729460423,54.39282932204212,66.17173282340481,108.78565864408424,63.4323942402717,70.91957274840684,242.88697544379914,65.27139518645053,44.85347611419461,34.40104580768907,297.22583209787166,100,122.54901960784314,90.23987759139919,86.84759650927002,157.78764637114352,86.84759650927002,75.32307563147783,58.91423652718937,57.770161861646045,88.37135479078407,99.391544612716,57.770161861646045,85.29662180482475,63.80922937832234,89.86928104575163,65.86811885864829,111.12312507136802,109.00052339972495,69.80395216762687,69.80395216762687,248.0755955994931,92.43225897863367,49.695772306358,57.18954248366013,360.95951036559677,100,124.06368734384814,90.77155824508321,86.24625000749907,159.03022724378698,80.40957498286421,71.76121770427486,54.54691793440225,52.95007564296521,75.64296520423599,93.5651806115959,40.734983412515156,68.49761829150845,64.185184373968,83.55038590913207,55.068909903786064,93.5651806115959,102.88555604187174,62.37678707439728,71.76121770427486,236.92072259252382,101.76720156636695,57.607966005022,52.95007564296521,333.60177112254075,100,116.73151750972764,101.46618529498286,93.7089072279556,174.88097318478,77.82101167315176,66.49030151998078,56.11752957920606,47.33667338753478,77.82101167315176,81.24752147012101,39.68108570889327,56.65455166755267,60.780153119896134,78.2091488024972,56.65455166755267,87.00653608948599,103.82617948736447,71.74742768321312,64.17285020416593,239.73419145135196,99.65952120518052,56.11752957920606,62.74130543422996,336.07506430644645,100,119.60202950712477,90.77155824508321,86.24625000749907,159.03022724378698,74.88271510296268,64.62937780119161,50.742843664896895,53.48765364497334,69.73936805819126,78.97357419750794,47.84081180284992,68.49761829150845,59.07904444710025,68.49761829150845,55.068909903786064,86.24625000749907,108.30424404898905,62.37678707439728,62.37678707439728,233.0245355635304,96.87026077810664,64.62937780119161,53.48765364497334,319.1380198143568,I
Read 6,100,22.26033997564266,21.79046734102989,21.040337705273025,41.77120030053897,16.881568617288575,20.922546225760357,16.041763584309503,20.16694169260729,18.031865660987993,26.846457094699044,5.802870248480349,11.823305263709576,7.559889978647752,27.67095018720631,15.33281654074136,35.842472758762156,28.822059609022325,18.53871469119754,20.140116295109188,67.20181720388176,30.816374444132457,15.843141306985043,28.234593704860565,105.06063985956497,100,22.224183790263268,22.72271522622051,21.595055017664524,42.97576573441406,14.671306926145622,19.974690791373305,14.22006292863704,19.624892328558882,14.578449620321697,25.061671780541424,5.7681588452603645,12.183280700778699,4.297576573441406,24.58296002381768,12.90325869694251,33.29704303678218,26.658121117934588,18.091004877113175,19.113063797007573,63.43262243744676,32.57965227786018,13.674804919869892,24.693198065670625,97.72575623655749,100,23.292833635972432,22.668551523726407,21.717914960443593,42.95450703016434,16.29255696900421,21.039678799789705,16.475177911248455,21.20313150178128,17.239751721309403,27.65659933111967,6.118727467512754,15.520868624825845,7.725756168794712,26.59602052061257,14.498613751672018,34.087894343435885,27.94634961296873,19.001030726835996,20.937330901943305,67.61986956650111,34.20472638288413,14.371057485874216,24.12446095054694,102.73597288926167,100,22.729259839919504,22.69173214260034,21.426405462709678,42.82794324574694,14.326746171747043,20.563785272232682,15.262847571941801,21.45952714805979,15.617042441563838,27.05476177566519,4.722407600400132,13.212639462524484,6.407115667282253,26.165989458726543,13.191120491463463,33.2432473843138,27.303011760863583,17.909176301988804,19.90388712397527,64.82603058537639,33.78575333511473,14.909765533375408,24.497795198432144,98.39405887312871,100,23.117293901861757,22.421753268082586,21.85213274266343,43.03973367531598,14.55892617439437,20.446764512915554,15.483332973799369,21.397444822137274,17.034442415327863,26.465759562864108,5.269845218417452,12.066959707398246,6.766466174573026,26.372004765969212,14.335528864781093,34.15030259499466,28.06783460096836,18.74217221611441,19.97136608889558,66.50215785943656,34.25344611437481,15.599242262066948,25.597887112218412,101.9581353501803,100,23.145357771174904,22.811785225194896,20.79267395556589,42.153034918652956,14.432313073237468,20.296357213928083,14.986867581239892,20.910709708532757,15.773291464326338,26.446465722503632,5.369518493634485,12.466356751242948,6.3753984624039,25.963433610607126,13.875867241702606,33.80415596722285,26.795155714076504,18.06352083824083,19.68783761246081,64.24294905622892,33.22716134758925,15.010310216530657,25.067729183676583,99.07718959398449,I
Read 7,100,35.922988368414366,32.32269299013098,29.964071819949805,58.829004967222474,22.82758264798428,24.804945014466213,15.311536494979391,17.31947976949303,23.69678065633426,35.52176171512173,7.469633332553874,8.849765240647478,13.891742032587537,34.61678587222707,16.839954633955525,38.46227389487189,36.22805724024372,22.363167501019937,24.670443799909375,83.06746954968872,42.23645172253113,17.886527867210415,34.349585416492246,126.65480568303869,100,36.70190208866137,31.757680922134455,28.21376918162133,56.14784624027356,23.73419978352898,24.90745725547409,16.434557780542864,17.535245844146733,23.578223067926785,35.1335618611719,5.10634066723751,9.919432996935507,14.796256652682182,34.204069131617054,17.535245844146733,37.70689501498383,35.63410477907144,21.228513643012633,24.669292831688256,81.43606802945916,41.40694997024743,17.744421183521805,31.32091402366011,124.15746585844225,100,35.667227080244764,31.493970327414303,28.505842079188564,56.47692629705689,22.29558855725456,23.977559153020056,15.112716656122052,16.906809622072178,22.880120220489527,35.03821855767424,7.106116600129696,8.95245469504894,13.424368992183512,32.93212742554572,16.178688162271595,36.17664651761043,33.909389346804105,21.372608859389576,23.46983344618386,78.62820646642142,40.180975069821514,17.219045250032014,32.47171369963671,119.88779576510032,100,35.98705551954436,30.65370334665903,28.23809478448204,55.29402288473155,22.01788674119684,25.031709520554646,14.425493028544784,17.378543187495858,22.80870717054093,34.604423938119155,5.428144931469671,10.877472887692631,13.738944722022381,33.92590582168544,14.819059348515102,35.80750387286949,33.80355192585466,20.636322873857445,23.602289497796296,77.86420372209096,40.35899676472535,16.128191510387726,29.560348637253316,118.78912606874474,100,35.98831853778591,31.89388382191324,27.26783364049768,55.41696124135205,23.101131132913636,24.4142741898449,15.587190166730336,16.784538488461603,23.707032862931133,35.05685468265923,4.861511042877605,10.404087968663841,14.306395356950715,34.18993952329008,15.872666044159773,36.85140813546208,35.05685468265923,20.91014964007638,23.707032862931133,79.5685459425469,40.00051758759397,16.742242230162834,30.321178509728355,121.03502831029432,100,36.09751693897635,30.623547770739282,27.35057170547126,54.23403280058413,24.01775707505413,24.86415609588297,16.6079505948449,17.40490926711808,24.488353775001315,35.16998827667057,5.516860906144403,10.548968030327806,14.661258965222606,34.48038066340252,17.24019033170126,38.91856026349207,34.48727605006547,21.555064627388155,24.64322237805067,80.48344246884893,39.78862626508973,17.24019033170126,31.58673881966426,124.84945417544945,I
Read 8,100,44.52477696459203,39.046192116905026,31.77299393036948,65.55897426973155,28.289581298934973,27.41373827602655,18.80713661269624,18.198657717992962,27.939180747493136,39.42877264054168,9.137912758675515,8.332356903373329,18.606521418344194,37.07411702635536,20.524622336707758,40.46222118211046,37.42673205416826,25.48033017815944,26.080805923743235,88.90192875307062,52.911663245825885,22.798532150212743,38.74467260751646,135.63748466497574,100,45.66652951014541,40.221839300508435,33.36791875243622,69.36194335568132,27.23116577094849,29.318231485596304,17.969174175294295,19.90921416493955,28.411759033103856,42.00913630345971,7.0784044871788225,11.016467773462649,18.154110513965662,40.73073560328962,20.731120295862087,44.76776075888241,41.636424305051946,26.568910651079822,28.411759033103856,96.45579725251824,54.31903630361403,21.024436894767625,39.05614756425398,146.6708874116282,100,44.07850284732601,40.15257484528954,32.50590229133559,68.58710562414268,27.23116577094849,28.974422745058526,18.78705689011803,20.488010803996623,26.96408639692021,40.11095876067999,7.0784044871788225,9.728336453828097,18.45822062312536,39.72043943171618,19.712505742607796,41.80988235973189,40.593825180270855,26.463936275159764,27.394228101186396,94.19569022463571,51.445063810272906,22.032935546925298,37.78097243846821,141.39495620977107,100,45.64253247202511,39.77459706665716,33.06767239319313,68.73254870580557,27.70177737347346,30.379930652822893,20.619764611741672,23.221669872030844,27.99142295063395,42.247034465767335,6.788917260988361,12.001223580398182,16.10133104336625,41.14162279247917,21.089397492903068,47.66767563584052,41.295371536434814,27.17687612960962,28.902773760919402,97.26175431579469,53.30489058795678,22.413710839224017,39.58584996690805,150.28292333943605,100,44.50820938976831,40.36397845103774,35.195185986091,71.05570218724165,27.374033544737447,30.388125219353363,18.47005028842343,21.528669459088075,28.282873775282646,42.24369217820053,8.260057598550878,9.999505918972762,16.94197326660879,41.15762681347132,21.6104759709016,47.438021103316785,40.65437052926532,27.45984577260773,28.469424616934244,96.3585220930207,51.56123350978184,21.308983410399676,42.52124898896455,149.77283080534218,100,45.65972610102242,39.38991123185519,34.08391657092425,68.5447707819313,27.314750001193772,31.4157961042672,18.84472249657584,22.897235026231936,27.60034887892738,43.58861194321338,9.043187706728968,11.83355195543919,15.043046574462206,42.1779399770772,19.77301195202096,48.37593091459119,41.93821497916797,25.75259326967916,28.792274573953094,96.32249612577014,52.56015672284138,22.100564159421147,41.495122319882846,150.38950137685242,I
Read 9,100,36.464084163405055,31.562408272140797,27.23073112660325,54.51580959958393,25.812697908647714,25.489449225302746,18.162880900732564,18.03197554849928,24.44571367441679,35.80022579533017,4.144347242677008,9.235031553024472,21.341272316241415,32.47798652610311,18.50210140091012,30.259509391007384,34.7679144161198,23.20272961625571,23.2918977226744,81.24874416019182,35.24165966401512,17.900112897665085,27.328429897744652,115.64549594922143,100,35.42566943246536,31.6891080344899,28.15143766970132,55.4577743065168,24.766427928934814,24.766427928934814,17.38808475827886,17.38808475827886,23.72539923098006,34.3442482010069,3.756737282540916,9.606133360646355,18.78368641270458,32.52595602246241,17.71283471623268,31.987465329834837,33.35808273092691,22.851340778414237,22.298306859826948,78.44297740635771,37.28455294741028,16.832917790902325,28.19960098578743,113.74961859854136,100,34.40917281185805,30.509733533188097,26.722395777740154,53.053575868783966,24.05300677077588,23.71071563880103,17.7292020562581,17.32296360475899,22.734169705880213,33.852903473657705,3.702991658382559,10.192933077427885,18.514958291912794,31.35371553365708,17.459426695964133,30.810752992877887,33.532015629964256,21.895153858651174,21.895153858651174,77.32073582690582,35.49556836557716,16.89136288977924,27.404447732916783,111.39790498907954,100,35.2330688295126,31.240261061273063,27.362238984197052,54.3238949816445,24.62893391088518,24.62893391088518,17.73774604681226,17.73774604681226,23.945928298787358,35.63877741321166,4.988253965273178,8.954189900946085,19.333729922665082,32.66788018514098,18.81188376066853,32.395926399155215,34.33490892508981,22.3576686174493,23.242860809172793,79.91245819398073,36.73137726123875,17.970026730509478,29.91104307126527,115.49839802951418,100,35.03975243505817,31.555416197566444,26.554305460343915,53.636227797990664,25.515947467166985,23.493397136958393,18.535218064132785,16.476171407204617,24.166967636930007,34.29241173372117,5.034299386491085,7.653312590758402,19.81295126820876,31.501826434244443,18.985531918459316,31.09695963242126,33.904261157452964,23.312907417649633,22.626361623536713,79.83593947454366,36.03814545153612,18.82166784838192,29.764400773061077,114.36961091278178,100,34.80430908654554,33.08977361831176,28.285601495847647,56.63905609897347,24.754004440163914,24.78978475916227,17.274352413132625,17.52902490735857,24.754004440163914,36.84143890021296,5.854234073229232,9.35162200061222,19.27886263968707,32.267033379683845,18.480767591930675,31.852332008764183,35.43525427508989,23.112147556880483,22.411222595300565,80.94728334153437,36.80934704839075,17.274352413132625,30.06781030918279,116.4394424763294,I
Read 10,100,59.24093284804254,53.75334700473362,46.56308913023057,95.73926490701716,39.505820623683185,35.868246450139615,30.32413855048963,26.69952762374204,41.33212527726044,48.81850204972155,4.1076196344218525,9.184916728280097,35.09551754084013,43.90543915882511,31.417249005500828,41.12750953892131,51.509288165883966,34.914766892585746,30.87553168694374,117.22919032926953,78.61022472378161,33.996601678469595,42.7370138564075,165.85070637274526,100,62.4202774371606,56.4310963445371,45.90608836960923,96.04995031885804,39.72637903199701,37.79322483569136,30.06371778716686,28.13243886604631,43.55033931507922,53.447691128450415,6.120811782614564,7.802534679645075,41.79443392302092,48.82282697545327,33.5948381221814,41.34380691309846,54.27369056041746,38.9526076606795,32.74777310197264,125.81209135467329,79.83495670069992,36.97902508252556,45.03062550678384,174.21479820453348,100,55.8811442429558,53.44951450804307,46.57265426768542,94.24872429707855,40.51578250475763,35.87561461908993,31.356486282813773,26.705012325390296,40.51578250475763,49.64275256201548,2.9051223549159713,8.469814350077362,37.766590613907624,44.86509792079201,29.910065280528006,37.48621115631605,51.519869367232744,34.92193919474116,31.086166701769834,117.37916702680074,76.44944151983728,35.87561461908993,40.51578250475763,161.070630927795,100,63.2244467860906,54.9563954073985,47.779911691273476,97.4468115633036,40.53821720057184,37.69977622760446,29.278069524657113,26.406668253196347,42.41224825605501,52.05095483763315,2.1074815595363536,10.746089596612821,36.01266067573247,48.05797366065912,30.174543863596103,42.62117685175275,52.85536861531907,35.82718651211801,31.89198303566186,120.4218725155882,78.43116571518816,32.9873041991539,41.56603355809487,169.43942037716985,100,60.27544634805094,54.8350340622031,49.37987150204416,98.66975688699367,38.74557705131766,39.5959836207712,28.27483217070334,29.278069524657113,41.51257239956207,52.05095483763315,4.214963119072707,10.746089596612821,33.32220927469314,47.54695120201676,30.174543863596103,44.706435059212694,52.85536861531907,33.71970495258166,31.89198303566186,118.31965308845686,80.25050691110546,32.9873041991539,44.45737220174707,169.43942037716985,100,58.30978449998708,54.27015529825305,45.832914767003615,95.48445158755013,38.205119148149464,37.22901939645851,28.912474483766495,27.921764547343887,39.26735122604205,52.19536401242227,7.5037487522663655,9.307254849114628,35.56297084419367,46.95323276869293,31.835709762285855,43.90223331889487,54.27015529825305,35.37981269510925,31.493748075799278,120.99431303849016,77.45179632020142,35.56297084419367,44.538885658756904,169.6117923896706,I
