,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,39.02465232975748,33.98143890790943,27.116040990673294,58.95943252959241,25.26238017206362,21.721478832869636,15.649645568993419,13.737869451800796,25.078178502732122,30.415450933491876,11.90880021905251,3.9772265931569453,16.398525340601562,31.421044883578507,19.259091300450958,33.88499186692603,31.83495134749233,23.737309719332636,22.0331372085322,76.98324277378663,49.223287157907336,22.0331372085322,42.33007350341831,113.75865436299381,100,36.393800703374396,31.57168240852019,25.43736784647969,54.92262735869594,20.24901592473278,20.795769334352887,14.096087608949267,15.181950981999671,20.795769334352887,28.82357457553229,11.025309741262975,2.162241135157866,15.726495726495724,28.365768906244842,16.41025641025641,29.025620891338285,30.15531907172642,21.730254471207797,19.194077056571896,70.63946151597459,48.56145204667269,20.569721649902664,34.932074596772104,102.41128216027634,100,16.789189802153324,22.76792664041698,27.071755114013126,49.74953901406291,38.97929206987491,31.747153777394193,5.863039399624766,75.67637335958045,56.6018686029417,34.48743238708429,10.01876611786765,83.0650128912985,62.67696067022873,25.82400978605211,14.168674922132473,78.43335604217,49.69423100473052,23.275601830768306,10.08715439381171,67.07481072267866,50.43577196905856,26.73957375936065,18.354216513248744,27.674539683878862,100,143.09745337247082,135.72398208685976,96.72513726347897,223.94885288658227,201.39258530975178,44.00795714136762,54.17421736156989,134.17847765591543,219.05586993254494,51.784022819351186,64.41279323802371,122.57375312710491,222.73150396400834,24.714479088802992,51.27809560058934,160.56294847251885,177.4017467248908,84.65099573837786,47.742510056047756,307.5353863593564,172.4839007568227,63.480913480420334,71.431508342262,183.592031210067,100,72.00439511580325,67.17745203744177,48.26371087634618,110.04002521687623,103.10769498944649,27.781225543535772,30.36045044341613,66.20305379366305,104.46589121755588,31.2368807047151,27.455440948738122,60.075355730339375,109.42962338204669,24.204245996357024,27.455440948738122,64.99912293303848,89.97702641364837,43.005956803579046,35.688431742432016,167.86473684099184,75.4619008151942,35.43541879564951,33.282246312047,113.51917045489988,100,49.46047925005475,42.42009687364645,31.8993575202481,72.01418125415466,76.02720347572685,22.840159681019614,21.76698726389153,56.96858024454882,77.5537336583204,24.19713014385282,20.368686362563963,49.60915838076248,80.9457321409609,16.87518968726769,17.89884159251441,55.67181265854691,68.37701805543749,31.687014504930403,28.311394502948456,128.07751842781676,36.172895451616455,24.897191507028836,27.719911374245076,78.35676804824695,J
Read 2,100,31.194688425883236,28.136774494063715,22.867500576817797,48.453138721047345,21.071826842245514,19.12426735844158,11.556637309262463,10.620891631258763,19.36449785893099,28.5895417818258,8.55263236667114,2.757246965367943,11.467395531184911,26.528035698108933,13.606210978472083,28.46710206809769,25.485141737673896,18.131544354290373,19.5703124472353,62.92227170804191,35.46096226935849,13.838300641379579,28.52838761173031,95.29847260608601,100,30.06497354712727,28.153364573364478,23.312948613745284,49.19565707375532,21.374948599325435,19.375915605310077,11.974218779430414,11.338896952104502,20.130933437202604,28.606398822970757,8.326179132205109,2.2677793904209005,12.00852893221492,26.543677228591314,13.160938070162292,27.401682632426013,26.34140710401235,18.601321348339876,18.946479113031046,63.65960108680244,35.62651829944754,14.198544849871674,28.89261304178699,94.01853432906861,100,19.6513139132771,37.61542787439592,33.9243573027946,71.37656978462691,19.478577067257714,26.859433474850718,11.009746571025525,55.45244392310769,21.024984578594115,30.393317910107463,8.19396899760603,55.19179644517544,22.23332907522212,24.43481871947546,11.17226084251409,49.29653478616409,23.58081233839068,13.375081456112827,9.493277588595658,42.96691415937507,85.88399867947393,15.714170518520005,12.540472371799293,74.65966416539858,100,55.411572748974876,50.86617180649485,42.942521379673316,93.43311945659315,117.81575985448295,36.708648697086055,26.257686869981516,116.43670485648536,125.25461787031297,26.84908695132707,28.233817734169488,94.19832413673332,117.81575985448295,14.92791441327345,24.58083801179134,88.18763056044978,90.47294478748529,13.507840304741665,14.675308792955851,79.86665949495263,63.604762744017805,26.709465167960804,23.268066027198778,46.87236858685777,100,161.06916756528892,146.69863125047928,118.52942465762936,253.9296277358414,217.02867629185116,23.043100368140184,48.01142892351549,147.69594304118127,232.2267899886352,29.992501874531367,52.960810048530604,159.05926095173527,239.99207966324028,32.58786505974831,33.34582370438974,240.77169865118313,196.75337769575756,101.77092262685495,76.13869638454295,374.614566177557,161.30170257698128,44.218460417281015,105.0035068112972,256.47535180935375,100,145.5312600628077,137.59963955772915,110.51600172920246,239.3609379487943,208.45357941410248,25.44314459725862,49.34305439944544,134.22761984499718,220.9542346164533,36.61335217993862,51.39040343126829,141.2970047213542,222.49157323330996,31.115366203925323,35.98204015886287,213.14156879744553,187.25902339941265,96.276617334221,72.36101703126364,355.8902696690447,159.43228801705018,50.88628919451724,96.00847831561313,234.7572969887837,J
Read 3,100,63.138962613372286,55.213421108515604,44.79724593274365,97.06005421130975,39.15712234993793,31.569481306686143,27.02892771577374,20.03393742207815,39.04178447833984,39.15712234993793,11.435898932118292,12.917312657248287,31.569481306686143,40.848129245426506,23.7424928594159,35.02319495109501,49.02695426041704,32.13579518033883,33.57695540633233,114.3589893211829,82.84735274211576,38.283619403949764,48.47191425149001,159.77833345488787,100,61.8259820409645,59.47607649026201,47.21212638962721,101.80641452067975,42.7993728344646,38.24428450703443,29.082628722597725,24.647112518355762,44.35426832832509,50.465272502934496,11.641082592162782,6.485084306095978,34.179395375793106,43.23389537397318,26.386847418360784,35.4544303217828,51.970667013278444,35.18984132317273,32.13590304219304,119.0699468562076,89.28610647671152,39.149957363326486,52.99459866896351,162.41507787515636,100,51.406746387386725,53.765083462187995,48.425373756599605,99.89920141294607,26.60854552164295,33.57695540633233,21.235931195582925,30.405226297040457,30.405226297040457,48.14518602146797,9.496997143766361,16.585792473787755,25.834625314496574,41.88380319243156,21.656485511118213,38.283619403949764,53.470708481691105,36.35005896925821,32.13579518033883,121.21234396118355,79.93854416954218,27.93150655758315,36.10108303249097,165.65387554263233,100,161.5408999100707,125.7396449704142,96.15384615384616,200.9331021776054,288.8405945231751,78.62533885158766,68.19189687346811,274.46709046271417,312.0565548776478,52.30079742504051,73.96449704142013,224.589148678831,301.89839692246375,44.99084711759038,66.155857322479,208.81056528835953,215.64171208747416,14.792899408284025,43.12834241749483,165.3896433061975,197.3618944397387,89.98169423518075,84.33250185644512,80.00483599402344,100,124.32935432634444,120.6896551724138,85.55790190206554,193.62997797600173,163.84980869610527,46.42383454426297,46.42383454426297,117.64951779272569,172.62917581466195,43.103448275862064,43.31842940138315,107.75862068965517,175.03396986419787,33.6648692927011,39.03183249197163,112.06896551724138,144.57336061421054,77.70584645396528,65.22735323457567,286.0783363111227,125.2969125323158,54.00846588854167,58.627028054894154,207.12092718506833,100,89.09170319989656,84.53281686990691,58.00018463042407,133.2874750811789,126.2561854420409,37.80422497013056,35.86423682490705,87.03186172683479,124.81120838672882,37.070092465182185,34.136704711495355,74.14018493036437,127.59868305632527,29.656073972145748,35.710641957125354,70.88049842981414,108.25482571163465,52.425027522685326,44.48411095821862,204.71285199513432,67.13679287571811,47.12423873856729,42.20133309468785,150.99864107076525,J
Read 4,100,85.0918354882812,84.10236189775954,59.64503572920995,139.95478994307734,61.54448328944971,45.28588717571667,42.17540922823827,25.877649814695243,68.00580396760523,58.22471208306429,6.469412453673811,13.723696248856358,55.085062117073626,47.09803358182525,39.35189966625172,33.30333892626037,68.00580396760523,52.158070681570806,42.17540922823827,162.12301140594096,110.17012423414725,50.32021957913998,55.65199021315844,211.22408747694774,100,78.70379933250344,84.10236189775954,68.77079770527405,148.9370594336661,61.54448328944971,52.158070681570806,35.72849805995724,26.67407088218344,65.0167905011523,61.54448328944971,4.574565416285452,6.469412453673811,48.628297405007544,45.74565416285453,32.987660342762936,30.687117715001687,75.72253136892428,51.145196191669484,43.39813806269505,169.25892040256176,123.85165938408859,45.9738134543499,50.52772651961235,212.21250694864045,100,75.7198148773962,80.15898789381924,71.28154531739173,148.40657419545255,54.27548072802892,47.26609965644576,38.24955654532071,32.0635951575277,56.941967429371715,66.10079478576482,6.288188360929727,9.942498788349445,49.712493941747226,47.26609965644576,25.92686480589285,25.92686480589285,70.30408315180924,49.11232110799139,40.993972686940374,159.63826652748992,130.1670179484611,45.34477113021597,53.72630490704567,192.02154630226045,100,84.77140707056786,80.07680010608927,73.60219283726146,150.54614670123857,93.15958428358115,29.739776951672862,56.622848370735376,22.304832713754646,106.45220121395056,52.0446096654275,59.942436790323775,16.6250407249055,59.479553903345725,59.942436790323775,52.57299488375817,54.12721107271759,53.61414536005931,26.807072680029655,23.51135806816639,52.0446096654275,137.09359787796114,84.77140707056786,86.70560438431671,137.09359787796114,100,157.1036759944111,111.08907464498232,79.67889469642401,179.16556955740225,208.9411634603544,56.65712780827171,59.72185651913408,161.35957073093581,217.14459682740613,47.77748521530727,33.78378378378378,166.58009225773665,215.33021594564124,16.89189189189189,11.944371303826818,208.9411634603544,186.9589832869819,96.2986000928326,76.48129339643089,358.53015670255274,84.45945945945947,53.41685236770912,83.61059912678772,197.17259341095865,100,160.94153914018005,139.0651894042891,109.49204780841556,234.05043972304583,242.85790431706582,74.83629560336762,67.45652526593055,183.78749021878855,254.4709169080532,56.90142685031074,75.4186880102764,169.4178697499984,255.50047303550343,46.77268475210476,50.375723172446236,190.7958658032847,200.85042613268362,92.13150422634332,80.47076957009003,372.54083726360847,104.58690259587415,80.47076957009003,92.13150422634332,213.31626288103604,J
Read 5,100,70.73170731707317,57.97494792197421,45.56473583480343,98.04756703532577,44.84091783134205,33.884009730365385,29.369742875103164,20.11271036886664,41.535088697381475,47.357287412067315,10.05635518443332,10.907648670730683,36.258704261752456,48.043208789249285,26.269096620168316,41.74937260639925,50.2817759221666,35.51273116722204,33.971678724839315,119.61170570965102,78.65617315413219,33.17431831398889,48.10508030077079,166.997490425597,100,69.64935461968805,57.10973574993395,43.24364191976024,96.61036549740139,43.11626714552118,31.55165114229293,26.739573759360642,15.732185582784634,43.62353479769763,45.050123621713276,11.958300923059998,9.669572292724343,31.89838299422008,46.195393066585844,27.450046694933448,43.24364191976024,48.96954272472115,34.14685689155965,31.89838299422008,115.01125549004902,73.64126861213687,33.57837960430664,52.07224041082204,164.767055068014,100,61.96221124737921,55.83756345177665,47.686025959532834,101.04583369235728,45.75572684598972,32.994923857868024,31.801939304928098,20.46258311750901,46.59279124539548,39.4014586199493,10.464735090400154,12.69035532994924,35.3512392821932,38.15557456439825,26.49823987033135,30.562422788812935,58.43078392498142,35.89374523789582,30.876967158874216,125.0112726499975,89.73436309473955,35.260010125507115,37.73113895258505,164.583683623081,100,48.430989544444564,3.179650238473767,35.12038479232833,34.97615262321144,53.96045389022937,47.80062441454024,18.540387582973924,106.60130120343534,78.20905485690838,42.42182532313619,10.054936916274656,109.8245853047411,96.70528665021016,31.3159230581752,12.718600953895068,116.74123847812919,73.95677805795233,29.31492673225083,7.109914077900761,98.77408309703698,48.535254443477726,38.68211466008406,38.812577474510974,38.28805907406135,100,198.86971581875133,189.78978253660588,150.04199736093088,322.1821595641713,276.4437620385234,62.88812596176715,69.76811162245833,195.63083001535807,281.2442492561614,49.33350483882027,52.32608371684375,204.15370246961623,289.8737000945717,28.124424925616136,17.442027905614584,306.9995109852485,223.3669432648417,125.0485143672496,93.60374414976597,440.21688173237004,200.54539987804117,93.9281948423736,124.80499219968799,287.66129351927884,100,186.20932937126244,160.96475224377866,117.85042467769138,273.77218608792367,245.45533357741454,62.667025177421586,65.28706665783118,164.4963920277469,259.4002050379421,55.794171268502076,73.56502292549932,148.5876162877778,274.0344619131257,21.884274464833076,19.573890136651837,274.20917309562566,210.930804901428,117.64705882352943,86.71255422935411,412.73764847746565,171.20161767270562,73.56502292549932,153.18992125383153,214.97888674060994,J
Read 6,100,40.11618648480329,35.41629447153533,28.37869406256458,60.12220331785907,27.733639477047657,23.37548093796412,20.09276585815501,16.433935928243123,28.341878443956336,33.08949109803427,4.492879031482149,7.0793270267299935,20.09276585815501,31.14993275920986,17.678641832485475,31.04921419310595,34.45999737704552,22.5262806607709,22.089441506547182,78.86736057464691,51.403042885864714,22.089441506547182,30.369221964293843,117.10052434188387,100,37.6611789738342,35.656466940566524,30.296780192151378,62.95503460861433,27.445881857834756,27.445881857834756,19.43554916203109,19.43554916203109,26.63047503987838,35.728531477367696,5.750710615087328,6.240985760206188,16.489827742538658,34.51491151169721,19.034379178032165,37.87521994749168,34.38692005166151,24.39819883541827,24.018732492279295,82.19918405738957,52.18767682888786,21.585389304782122,33.96761724159271,127.29451936206517,100,28.798332871118124,6.697487951776527,21.987535488763218,20.21611095379052,41.7064668015284,28.58989828928984,13.394975903553053,63.02601478469101,48.006450799406174,25.039808714026467,11.027716670514438,54.40148852166644,47.463515670945334,20.06764301342031,9.040919666670744,52.24231410523615,33.18843877514908,10.279183447471047,9.204816750492098,32.25937384465558,23.81561589831582,22.984952941735894,20.21611095379052,13.01757668770497,100,1189.2854997854806,803.9900496896713,644.980619863884,1381.0141201305655,1264.9110640673518,215.40659228538016,200.0,1218.5236969382254,2043.1348462595415,89.44271909999159,362.2154055254967,1609.9689437998488,2011.5665537088255,590.5929224093361,344.0930106817051,2883.6088500349697,1815.9295140505867,1205.985074534507,880.0000000000001,3896.6652409464173,1120.0,800.0,1649.2422502470642,2856.0112044598145,100,149.23959551978882,128.87653476705273,94.71457482413463,221.0246001796915,207.53216962129414,145.0348170470098,122.34084101448246,474.67700906903724,250.73360538334433,69.84302957695782,10.90764867073068,291.78724739001325,246.86011568546326,34.493013716416954,15.42574468374819,252.01153859686804,201.65879618140863,37.150112711531264,13.79720548656678,235.413239258803,223.3805491093719,364.55052471284637,75.72768144517084,69.33009952952143,100,273.5896039499064,239.10385868552402,203.27657188469166,430.88643283541757,339.86276566941063,20.805258369671023,51.93306405077899,309.9376572878426,408.1062829795019,36.49483739374932,85.78227782641953,290.41499208682325,429.3769226147867,51.61149399884108,36.49483739374932,448.93842048955395,350.99610676850654,164.02389386672698,97.92592468826969,612.5264632298025,215.44321641770878,56.8312625608546,204.90803121251815,294.2873629544142,J
Read 7,100,30.99034814585444,26.705500528479238,21.91114850997503,46.08671114446404,21.198476518157804,18.422458759094518,12.025099796874027,9.925648171370977,19.211608686451058,26.56323423394133,10.260485199814116,2.4371672733230016,13.061974737202945,25.685126038491514,14.036986259296548,26.497612542187632,25.800493869911705,18.125438445420702,18.377933113909265,62.06160568420101,35.70434996979729,15.891609219840191,31.082738656214296,91.86625830715066,100,25.955883475258894,28.309608003290933,25.981661496782806,52.89286349984223,21.01313376894898,21.114831320158515,13.303969088933961,13.661452814948602,21.216041397153944,25.440100498384172,5.900002199736807,8.181830944808226,12.29998895110449,25.779909354889835,14.4148908431401,27.736286226664728,31.717656756992408,19.561250371473015,20.18111254851229,71.11889180476203,35.88831230923613,15.006468305304011,21.423277148237467,105.35072435541981,100,818.91696770796,873.2124598286489,673.145600891813,1542.9274124209473,2319.078480776362,328.82366094914755,175.0,2457.7682966463703,2359.157688667716,246.22144504490257,285.04385627478445,2136.87856463581,2098.8091861815356,250.0,325.0,1751.6064055603356,1515.9567935795533,158.11388300841895,250.0,1325.943060617612,728.0109889280518,355.31676008879737,176.7766952966369,223.60679774997897,100,1633.8164988872009,1520.7947473407207,1343.0596952827111,2784.311866325733,2955.9377571287796,310.11592938826783,796.5550239460965,1994.8446409877674,3705.1249418951425,476.9995985337028,850.6672841352208,2433.676438964366,3589.1979470065494,412.38337598603766,574.0772128164457,3137.2554768763807,2804.2487802649694,1488.4461515137489,1074.8188237311795,5360.983887818489,2232.603563425565,609.7429388618103,1198.6301369863015,4132.498927071619,100,106.0884988486032,94.80844995378266,78.28645863513368,170.30693361519556,135.87559109530028,20.70787186885466,34.123309531521855,93.10574368308241,138.7225314488072,30.445068315002192,30.063467775602692,86.28386138917325,137.42050445351938,27.723097570784134,29.059208136578274,119.73156355865969,126.93929353437376,81.1010300100476,67.00278512784857,275.032970522135,99.1119771132746,15.5176239471804,45.40501271340354,223.57715958553095,100,102.73910298047647,93.55851065586924,73.11504189906026,164.22956412584173,133.47406535895593,16.41834516543092,32.37221586797473,87.45105831118076,143.98627770186604,21.5268306245266,30.443535824114,97.52123721630284,148.9492061314279,26.62209979251368,17.917908355355035,164.4875550723337,121.8238774799861,74.85490138394212,61.30844049359046,257.95237021306565,101.31416343771588,36.712535867958564,71.75610208175534,168.37294288127848,J
Read 8,100,33.36047107770927,30.260299532039518,25.88789939480117,52.445492044784906,21.36071769050307,22.951493334296337,14.767193973060301,16.510224780344014,20.58249757993279,31.41450308841918,6.066959423091926,7.168842109956651,16.677633115008724,30.197119564688165,17.18017647273217,31.869928775462476,31.44764658603732,22.5854659949756,22.55469559104848,76.32421854421767,39.59999438164158,17.95114462195382,27.11306321821412,109.63052786147406,100,23.384499861056806,23.904575670579526,25.472612588331984,48.19184572203268,8.97003559405979,22.13035665420234,12.899162343750966,26.19542500331654,6.969975005881374,27.357706826771903,5.857475100691344,24.345076079319508,3.8963344786563123,26.500803739058963,15.979722283447211,38.58748379989332,30.30636984791713,20.946195513277733,18.864054186272526,69.99968488501294,35.14485060414806,12.863805962010968,19.103962776459902,108.40075895717449,100,32.95418173392729,17.599109733885072,9.139845537125664,26.295008513191704,62.6083268177489,25.09459655501491,17.70830898062953,69.84660152250022,82.53157112890281,20.437315924861064,23.12218348755372,73.16269266642128,81.764983200349,15.124888407353286,19.30550545961501,68.26468299432989,58.86296331820505,9.685980892549063,10.451813238060183,54.79218217251818,41.68410908253085,35.597593171086224,26.538260765717318,19.56997676185474,100,138.50436820330796,117.82777373152427,98.05703273250916,215.63848593055968,229.23892681365055,93.15103415464348,47.54724256128644,368.04456688024015,264.5368806332519,24.692979320975645,64.60956542030318,177.64165390505357,236.1526067528482,45.53160412654979,80.1608105868447,110.6425229291788,160.3216211736894,22.297426919695305,41.09160142419215,116.42620403521109,36.88084097639294,276.4154785266399,89.03180308574966,145.2484618851991,100,111.55011068560871,118.49335608982544,90.86279031497588,209.11735167988897,199.74691345020054,129.4199448330631,110.4319074505362,436.82628584369684,229.34966722348304,53.478385663928066,27.875431584226575,217.83797174901977,227.69676019925697,25.657850446473898,45.756860306123905,183.88044637525005,186.7630802043613,13.545025051306373,40.635075153919125,158.23383152158075,238.93687971048857,384.8677566971084,50.037931050354196,83.75524825218109,100,230.50641203993234,296.24752991282145,237.9360144982987,533.8369812300094,401.3499505332947,286.2901162103961,190.8600774735974,877.7422667714507,457.7931127844241,134.95845503937053,7.616146230007617,584.1142266203813,474.04010113009707,76.16146230007618,70.21739876079884,491.52179132559195,436.5188082530724,32.31257187448047,99.00990099009903,377.5949811497499,371.32130215533607,577.3219697866634,142.28135333030775,181.67342638045034,J
Read 9,100,59.45307855230051,58.82475889636284,49.23991232239595,104.0080044139108,37.07898822001132,38.12889226929769,25.951712454293734,27.599673437210548,40.66371177610604,52.61446386092112,13.799836718605274,2.1551724137931028,32.038941265772635,51.227863465537546,28.753586345099855,47.70677504564364,56.034482758620676,37.20404418455186,36.701263719668965,129.3821639638244,84.68483924305386,38.85292322698263,53.87931034482757,186.35699968541,100,62.58900908289775,55.79853443571644,47.124720284505564,97.51515533200651,37.28515492719521,38.86003986214071,26.82386103552761,28.35326458814269,37.522642391496,53.19042977502196,14.902145019737565,5.960858007895026,31.116592329259003,52.05095483763315,28.117310988675094,49.60422464042073,52.729171773221495,36.074273484981425,35.88911773640969,124.34141201264487,82.81088600374498,37.99316412501569,51.01672681521687,184.32935389395044,100,61.53892465695933,54.07947331295556,50.86599495129071,100.44678750667214,36.728190340496845,44.36388964052012,26.60171290614804,33.91066330086047,35.890753638546315,51.56762802600825,3.325214113268505,18.81025158711498,29.74161918804025,54.28354752229108,28.313177942140364,54.13056399351676,57.64237325243952,35.813652037921045,41.063365145951046,134.04366624725347,73.60675213965919,32.74956096210703,40.04088023965766,200.89357501334428,100,74.73625193898681,38.40472673559823,14.771048744460856,28.026094477120054,121.8051883491185,50.48155831797655,33.0290690915774,118.05755511189413,130.8218010368362,40.18159677617561,35.93951273440602,101.65229266815513,119.08800219052507,27.23646811607943,30.84285527004594,90.42970673568075,87.68580253858688,19.81744145494644,21.506971607918814,73.85524372230428,52.84651054652384,33.68317356275149,38.518182600901916,46.71015746186676,100,251.52387617114155,191.12084387202967,129.92102137092763,298.6488388724116,348.8083036448828,80.92734430399427,91.8680352300653,223.22231236164538,374.20862898063103,87.34713075377688,96.17666319408073,206.89693199694608,367.9311943671011,34.86146825899165,66.24698231962653,272.0286829457164,271.0340592024756,147.9046836483155,107.13561882009283,522.9220238848748,176.9980215985046,110.24164227607835,125.15650132890563,385.84574796627425,100,140.7657322219497,125.37146228658342,86.44358561383959,202.28283091544438,219.68614221708023,51.014597061527354,65.00633743586647,128.41736691039105,215.48208402833626,59.41472035898287,61.12484557762587,104.52416386788832,218.98126507739076,47.888229096734015,61.12484557762587,111.79043424134638,176.79263723114715,100.1171721995737,84.48384252331593,360.5490529356297,91.93284404200423,71.78749047579161,70.52002025101423,290.7614922156281,J
Read 10,100,30.29928377200303,32.68713931928543,29.47230171921907,60.79693811620465,19.390879285247053,24.058180725800128,18.315245763542894,24.886824464188035,24.605126071820212,34.320126831183835,4.110858186764224,9.921571350324175,16.89957751056223,33.66137764374144,20.31654157697469,36.54388767467168,37.50806121872865,23.8465210631708,23.399415014624633,84.20739546676187,47.60881398044845,22.702956381635328,25.738043384105726,128.00719978813288,100,25.840797008136285,24.523632414970713,25.654340805902887,48.663134995581416,13.16301700810681,24.868243674068452,16.56858849703964,28.22224927435268,13.229163238753246,29.669698847705117,4.431660125850149,20.09236483549653,8.887906485481741,29.135333383365197,14.84587768662498,36.35882382458086,29.581308287293535,18.894562523716843,21.518791669290255,69.44505530035225,38.30531549005543,21.56943610664532,21.150572231726393,108.9002767574124,100,35.16913254904787,21.357850265240984,19.387009980658803,38.54322017297426,79.15653057954805,29.418921274018636,20.962544346054713,78.14975182173409,86.81061699255288,24.312735100266845,22.748610443064756,65.85895797938058,82.00088232254373,19.03871198365186,18.713745006515317,63.803178654528324,59.234570334270394,7.467597224485664,12.7168598360886,46.76647972433104,57.456840252341095,25.4337196721772,26.924804697395636,13.062960055816859,100,462.96406291132064,464.3269273930121,337.2528368139336,800.1417826493876,855.5563781922866,477.21243306211863,363.2324215833342,1666.28538518094,893.8437390696721,517.609557904601,397.4562798092209,1798.822312867606,869.185178558769,483.5264332510508,338.0014566847265,1690.0072834236325,742.2968222530207,427.1869266309825,293.1492673225083,1461.4289595270457,165.9826154039833,101.79847754265258,292.2857919054091,455.534142508566,100,154.7334541929089,133.55486183809825,106.32014176018902,228.85982003614146,231.81346075830368,14.766686355581808,50.811135658846,167.11818488830608,247.3056280621184,30.118248751286387,49.15332834345317,179.86284676414783,238.98320524682703,33.41319698459764,38.8450869402419,220.7113336270925,203.09428525639925,117.24414200401186,92.26520585831844,412.59083562101404,92.31246076838622,60.88460758443091,91.74379543419414,300.38503579140445,100,155.77420083620373,138.22793450056488,107.80044430173032,234.64330896709887,232.5204161888514,28.280542986425335,56.56108597285067,148.03452860070587,252.83817688543718,50.03338804568477,62.02407296227745,144.23076923076923,248.30574422229458,27.853104643088525,44.7154646517022,211.66999322583965,189.98547998946194,110.14899374519484,90.01035329660378,389.9947375982308,130.21339856585223,68.40150804551936,102.20198529181364,281.7854911104332,J
