,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,24.655403131335124,22.6928626742695,23.245687834662853,45.92110266084579,32.64808489313822,18.406761914887838,19.172407667734564,70.21954803914215,5.211291382657257,25.67049808429119,4.800752523425927,32.20442695660207,11.268537294906317,22.432614817324822,5.759883669874677,33.76215992346392,10.373169632705661,16.255328303139024,6.237096013831306,31.25835717145002,111.55480179699336,101.3676098002369,12.736222328425029,14.305099388961281,100,24.87290486874888,22.543108031885406,24.806949704704667,47.34321296603237,34.02797685934867,19.37146442603765,19.754305182572267,73.14460901586915,4.066847108937827,27.653319044378478,5.925106651919734,33.1900008494233,9.389211821776517,23.46887466821449,6.13215938389162,33.96601805451993,8.056595850201903,17.14986044090094,7.283571225543441,30.914196244466993,116.60406498009255,106.44104079421214,13.412803639081725,14.700421919677988,100,24.785864598166505,22.349769464626505,24.507814194119156,46.84227461658118,33.642555414247504,19.527798639136478,19.125932885608343,72.28050323653063,4.567687770036928,26.926829268292686,6.170297873499276,32.00951672883493,9.787267281158599,23.18587438441046,6.541679849459595,34.3281570673159,7.9594450943887365,16.94305822134042,6.6456141915810365,30.089297992119,114.67727263504523,104.39297922105885,13.205014100049663,14.849793241319373,100,25.34947147109016,22.207007284588546,24.4398179243984,46.63260029660093,33.85035616378292,19.469353283029985,19.481507703077472,72.78480030796077,4.6327032096653555,27.41319906103542,6.515401210366951,33.77568273785401,10.328526595955985,23.996723967010613,6.551631709558115,35.337482551155745,8.882802913835418,17.640808255809414,6.466778133754302,31.412987285534843,116.7546369922634,106.26743306477705,13.588075617913695,15.116432360418262,100,25.36062555513362,21.819503092476708,24.371672150746264,46.17485936258973,33.148487345791146,19.065666777939537,19.065666777939537,71.25759741828296,4.684351738423828,26.841982416556444,5.2911656845621415,33.075362232941686,10.33636524981438,23.112815338851547,6.415787171271548,34.66376629572156,9.465124920716127,16.94781055846259,6.8823644335774254,31.66346494223081,114.48458360555897,103.68305925048439,13.042133831977134,14.477393655900096,100,24.2027312779047,22.013023889420538,24.02813484735025,46.00181204712974,33.16462829090282,18.83776108673997,18.48547435355506,70.46558135267664,4.382424665023399,26.908230192854116,6.304039461450869,31.90453314286372,9.454106066225041,23.218262383117125,7.180513392116465,33.86986870132637,8.297279911182265,17.12470262516467,7.610020322567294,30.981269987141694,113.29615880164712,102.60217095749188,12.643182690854845,13.922258735653484,L
Read 2,100,37.29844870526455,27.444491450209703,25.869323127128286,52.44473132160723,39.55995053132569,21.362275770330367,21.11707653429466,81.98086684447662,4.0342101016620955,33.168960450370285,7.438715876466749,40.34210101662095,9.715664497976679,29.146993493930037,4.344977252811444,43.035776514747745,10.488946264321447,22.155123798202325,5.41246081369967,37.79260425570557,123.1590892566867,121.48801177807785,16.07621336547626,14.545551377537477,100,37.43781751854182,27.786308468166155,25.06410289980486,51.87059273985938,39.73236163383938,21.362275770330367,21.22469975466501,82.28206412123261,4.344977252811444,31.55979863741802,8.911861398408313,41.963542436488126,11.410469278466156,27.53920956249155,5.10291699236466,43.934011263714645,11.994568942487096,21.22469975466501,5.873898571309116,38.94632366031038,122.11334739700457,122.25986375347841,15.851930534442875,16.15699886598418,100,37.65440637711816,29.178660909960847,25.647662759262,53.87496070368378,40.32072472613864,22.67095478491741,20.788768679019437,83.74728208706863,3.404149294598465,32.241783668703164,8.29745345204829,41.289629293427964,10.733157199471599,29.08506432266931,4.446140032310522,44.03776536689097,11.01524443867762,21.859647118351596,6.2877915339034915,39.04964858119375,124.80090557803118,123.05173630813057,17.23960784166207,15.686922060766182,100,38.07995981327922,29.361581977838853,24.63410918309993,52.760289406468374,41.04226425949934,22.535133718089426,20.66422373740529,84.19484829168319,2.9590080225391784,32.919443775349336,8.247743636537455,42.68331103470117,11.489536315141565,28.011568593969656,5.190443430723644,44.50634998098071,11.949298135872823,21.588750821445885,5.505296620844784,38.81570321012874,123.74609322918843,124.35689383345186,16.123826593671318,15.679091649193927,100,38.07995981327922,28.26290579847774,25.45434947767062,52.54923461167705,40.238492153077594,21.728686573448872,21.479281622162333,83.38702204927722,3.4818553033395854,32.10111976300032,7.386130488305294,41.854739433729996,12.310217480508824,28.011568593969656,4.785352396262043,44.58950416809561,11.750366075729463,21.588750821445885,4.785352396262043,37.83153244683171,123.74609322918843,122.54833695956225,16.35195637683322,16.49548727307491,100,37.01567811376148,27.950938004581708,24.36219628245051,51.18371893653944,39.63676794764963,22.448367317489378,20.436130690713696,82.46659067205934,4.058112166220274,31.69486923101475,6.692810040772113,40.58112166220274,13.011297412451423,26.893988354485664,3.6296858655949844,43.2907567668033,13.385620081544227,20.692393123905468,4.370720564186757,38.38725295149896,122.54423698233865,120.41862370021464,16.17146241796224,15.420826231637044,L
Read 3,100,62.44303146779944,44.05601037401857,39.02620330793532,80.68497805646687,60.533348726639396,31.152303687493422,32.455397131709674,124.06758394703226,14.15308140840719,48.63873751459728,17.63024155455331,52.332755399846576,7.662340876449842,46.45976584278014,9.4759701051715,48.31815647649135,9.4759701051715,33.91244674018706,11.753494369702208,37.02817105588417,168.74555353505866,178.13427937293082,24.159078238245677,21.75190468448174,100,61.34975114537861,46.85987379024135,40.05295492785033,85.05054023833002,62.05562002248935,31.935710829186913,32.8875528703221,126.6585645920721,9.525623928367308,48.2339070343767,10.25941094900839,49.8618873244519,0.0,47.62811964183654,5.7153743570203845,53.34349399885693,0.0,34.765264985510875,7.855030721313889,42.599885263855775,174.11840009140724,178.36079007274597,25.417534890696007,23.565092163941667,100,60.54885641383563,45.71257073324217,38.6135449180501,82.37566279712235,60.97720131446932,33.67576011680096,31.092393938675464,125.33744697261857,8.623478509447702,50.72482236006904,14.685254735564804,56.744847549410565,2.7269833443368587,46.318596797008524,9.641342074816814,57.84805244890087,1.9282684149633624,34.92242629439806,8.623478509447702,41.221670509895766,176.23360626297654,184.07642564262346,21.558696273619258,25.067489394523715,100,61.329369016045234,46.301834340350375,39.111297645509346,83.43753657536651,61.76323555016364,34.10986171205659,31.794571476757234,127.44795391465195,9.959022487485905,51.37869702330431,15.7465971646456,57.8402066209408,7.042092334890603,48.828124999999986,10.517900013934575,54.72236611766366,7.042092334890603,35.210461674453015,13.101960805662829,41.20121701118942,175.47716754075157,185.42347870503917,21.57297073669387,26.56537208737391,100,60.91723077219442,45.99447636785844,39.54913980620921,83.45243364053466,61.93577126108691,33.148219525885324,32.190667581767265,127.12757097445464,8.153264041166027,50.06521218577086,15.819655922483685,58.19236294072438,5.93237097093138,47.45896776745104,12.028401285936758,59.45539402164487,1.9774569903104606,33.67487910999881,13.265184758748997,45.866772808950756,179.55701474632207,185.92302588163986,26.009385876934754,25.013072257610276,100,61.69806449328805,46.5840310419107,40.106117353296185,84.07006553901604,63.334221112925675,33.03108852888172,32.60328579230864,128.7570852028474,14.161962371050421,52.68554551558543,16.022431403965548,54.9951140306268,8.956811446023591,50.110138206276,13.435217169035386,54.07570598838373,8.25777213222043,36.10606124037641,13.435217169035386,40.50420271611593,183.22098680816194,186.4759959784394,24.365161347078782,27.895830717372554,L
Read 4,100,94.03508660611448,66.49284740864783,57.7319587628866,120.08428683349308,94.03508660611448,50.16711365194408,46.10449438143897,190.09370015036882,18.44179775257559,70.58656811803583,25.08355682597204,78.45895913583689,4.123711340206186,66.10812182219134,16.494845360824744,78.45895913583689,9.220898876287794,46.10449438143897,18.44179775257559,57.436652689419056,264.9785373429665,271.2888116024499,37.341794384071825,35.233005135330025,100,92.06099516343464,65.09695396284658,56.51998385143319,117.56334096536968,88.17250572402726,49.936685009499314,44.59168759461955,182.16413682161448,14.556121418909928,69.10473463311945,28.546902752787542,84.8760437691911,4.037141703673798,64.72030497327977,16.645561669833107,85.16359753624944,5.709380550557509,49.1139485692226,12.766563020461765,66.58224667933243,263.18943904734147,269.4017056229773,32.54847698142329,41.17092865234384,100,86.39534362324714,66.147859922179,50.73309264749142,112.30248785729034,88.72960506608077,48.12963765312443,42.97805843263526,179.36856920803282,14.029382394801514,66.60405746546182,19.840542854446632,77.82101167315173,11.005553014576615,54.61349746154941,15.564202334630348,78.69162807843067,8.700653608948597,43.503268044742995,16.043212551041478,65.22589344062338,257.30997069829476,255.98263351593033,35.87371384160656,35.23496162699384,100,85.69150017721883,64.40834769356749,54.61349746154941,117.0553226186095,86.13207634699866,47.33667338753477,43.503268044742995,176.47533806145628,8.700653608948597,66.26220375846849,17.401307217897195,77.91822721595636,11.005553014576615,62.37828615518053,7.782101167315174,78.69162807843067,14.029382394801514,44.36480253304038,11.673151750972762,68.94959201038658,253.66546323745706,257.30997069829476,31.37065271711497,35.01945525291829,100,83.80028746402299,64.68797564687976,49.467275494672755,110.80836969985569,83.10627727489177,47.0674158175532,45.82037510955973,175.40990215549635,15.68913860585107,65.1341049034387,20.49149469990298,79.90867579908677,10.762660292032686,57.20432411861837,12.033020015861414,76.48307169802808,8.508630051369064,42.543150256845315,15.220700152207002,62.75655442340428,251.6311357285455,253.92238387675607,34.4573254875853,38.24153584901404,100,88.72960506608077,64.40834769356749,50.583657587548636,112.30248785729034,88.72960506608077,43.503268044742995,46.8544536139778,178.56488569001968,11.673151750972762,62.74130543422994,17.401307217897195,77.91822721595636,17.401307217897195,58.49531664736539,7.782101167315174,82.54164760932461,22.68852877371712,43.503268044742995,7.782101167315174,72.69082370532843,257.30997069829476,255.98263351593033,32.086425102082956,35.01945525291829,L
Read 5,100,104.67684433167291,73.37312780194316,67.76361608774506,137.03765517035364,105.12966624799891,56.55529330962798,50.95883589272604,211.90962727926544,22.509848058525606,84.59930432398936,28.137310073157007,90.21507902015419,12.58338760551373,78.98519328991671,17.795597412315026,84.59930432398936,11.254924029262803,51.8826362256212,23.202620290476425,64.16293894761608,301.00346922490337,309.6638490083873,39.79216551415574,46.40524058095285,100,108.46522890932808,81.72025876146941,64.70588235294117,141.42135623730948,108.46522890932808,59.11691541835817,59.11691541835817,226.2986360196628,24.253562503633294,89.01615264953854,29.41176470588235,95.7577682123512,8.31890330807703,76.69649888473704,24.253562503633294,94.30129142283174,8.31890330807703,54.23261445466404,24.253562503633294,71.56191212115552,322.24343352476086,329.25416398015363,35.78095606057776,48.50712500726659,100,114.46815530915862,80.23633729480184,67.6923076923077,142.07257083834088,113.47131639745092,68.80209161537815,55.38461538461539,236.74318845133962,25.372957696108685,80.94120884902098,37.4323848018352,93.12459046413267,0.0,67.6923076923077,36.92307692307693,104.61538461538463,6.153846153846154,56.73565819872546,24.615384615384617,74.8647696036704,337.11620737974994,338.62932903871024,46.8662960360856,52.578484586569424,100,101.97304590357878,71.7638263811092,63.00114547537228,130.60428695293675,106.9962296235361,57.55942509233041,57.55942509233041,221.3021659377051,12.806803994844158,75.33188108800631,34.83827336940561,98.03690016393865,8.099734034210165,68.72852233676976,28.636884306987398,103.25175473837311,8.099734034210165,51.86360331121086,22.909507445589917,80.99734034210165,317.0815701183599,320.57965565077956,41.69593292829621,47.22915951452074,100,109.56611578316837,77.10747129933334,67.6923076923077,140.3292830891247,114.96333349088867,61.845388437667026,61.53846153846155,236.74318845133962,18.461538461538463,74.8647696036704,36.92307692307693,93.12459046413267,6.153846153846154,73.84615384615385,25.372957696108685,99.22778767136677,6.153846153846154,55.725447003922575,25.372957696108685,74.8647696036704,340.69195164717314,336.6665690237522,38.9203404328416,56.73565819872546,100,102.03347133568845,75.07467996489915,65.9077291791492,136.6297693348278,106.17163059718004,66.17951478242817,54.256351936113944,225.62217356216576,13.397651153384002,78.12105937930077,30.55134519827912,96.0528432707094,0.0,72.14855948946852,29.95805871779509,102.03347133568845,13.397651153384002,55.23993084058051,23.96644697423607,68.3148846674139,326.089031136915,327.7909974017959,43.61959190701329,51.19235317745675,L
Read 6,100,120.81366485722359,92.91375284713307,86.97683450276308,170.85632336108333,133.41637380878257,84.90566037735849,66.70818690439128,283.1760569774271,9.433962264150944,94.81014736906499,57.384552172624716,153.5737792084878,42.189961839618675,77.79444576637096,47.16981132075472,164.7570678921979,34.01463467418858,59.665616229592075,38.89722288318548,131.39988940739735,476.7652365469161,429.63386931078117,71.84691609305575,56.60377358490567,100,125.01351570528901,90.52259009003772,75.79238282385406,157.3275989763207,129.9828641887036,82.72058823529412,64.9914320943518,275.88843786403737,9.191176470588236,82.72058823529412,46.865988176404265,138.1736799482804,46.865988176404265,74.10163371597932,36.76470588235294,157.3275989763207,41.10419076286378,58.13010404721286,27.573529411764703,125.01351570528901,460.3852862635365,411.04190762863783,69.99791457595504,55.147058823529406,100,125.01351570528901,90.52259009003772,75.79238282385406,157.3275989763207,129.00430926119668,73.52941176470588,74.10163371597932,275.7352941176471,9.191176470588236,91.91176470588236,46.865988176404265,147.34576784817463,45.95588235294118,75.79238282385406,37.89619141192703,158.66430608117707,41.10419076286378,66.91277471765181,27.573529411764703,133.82554943530363,460.3852862635365,420.088047133325,61.65628614429567,64.33823529411765,100,119.34993918793755,91.78805034292736,76.8519221923143,159.52695963302605,131.79995921464075,83.87698042870458,65.237651444548,280.2105569128222,13.179995921464077,93.66146897596359,55.91798695246972,159.52695963302605,47.521151105244975,85.9230611117697,37.27865796831315,170.0679179020938,41.6788066635562,67.84818163355564,29.47136682356366,138.54677304117902,462.8036912557368,435.1395164931502,70.97645019444465,55.91798695246972,100,120.81366485722359,92.91375284713307,77.79444576637096,161.4834223455065,133.41637380878257,84.90566037735849,66.0377358490566,283.6471014787341,9.433962264150944,94.81014736906499,56.60377358490567,152.11807072261414,48.10395767540363,86.97683450276308,38.89722288318548,173.95366900552617,50.80344157674061,59.665616229592075,38.89722288318548,149.16404057398017,468.479585582458,432.9356190786326,68.02926934837716,57.384552172624716,100,134.66802483896478,97.51344358213964,81.64565595282495,169.47765117449197,140.02114478941533,89.1089108910891,70.01057239470767,297.1946736594779,9.900990099009901,89.65727859541997,70.01057239470767,158.72494595922177,49.504950495049506,81.64565595282495,50.485341718740436,180.67611476133322,50.485341718740436,62.61935960729465,40.822827976412476,153.70469996297052,495.9397935195325,452.5304903772847,71.39705495968295,69.3069306930693,L
Read 7,100,20.275042036663756,15.818931101279624,16.796216386337193,32.50394872384052,22.789224952496294,13.272858420920356,12.146295379909128,48.17786871363663,2.011847566242107,18.670660820952026,6.766660199060382,26.093011441078847,6.237538631455327,16.382975153745235,5.7346478851869005,26.33907268577884,5.690364227213783,12.442590027387045,5.36545073636986,22.37247765686528,68.46935337769179,73.66838030453722,7.8565159011080015,9.896981420666696,100,19.813319828368453,15.693257161581682,15.37779058220072,30.986136572275512,22.233529737437422,12.650361755958983,12.428425584801808,47.29115590682168,3.2008089799493886,18.42604928952711,5.863484759031873,25.30948263404706,6.661783043989361,16.714608179468886,5.548404278929379,25.86865771598101,5.859283049600108,12.111290913615564,5.649572578169406,21.546104841479423,68.07690821526316,71.73998764376435,8.142365985105481,9.767713207273019,100,19.912311300054103,16.361533599583623,16.65535504536242,32.951078874724885,22.394652089883994,13.161545694724476,12.492511901628623,47.99667431953629,1.6986601922344444,18.512735870098584,6.421992259842068,25.212966943433226,5.287625280425434,16.79811784249697,6.001527433230899,26.074333782505573,4.80453656344248,12.226854684985275,5.9390315188001725,21.700800908159504,68.72103282919825,72.87874125419748,7.758632792490558,9.813980461257081,100,20.53748569553772,16.2327856949643,17.462669543263022,33.524197943730485,23.691561417235388,13.4575153808358,12.993603493738961,50.115028959224304,2.7153926251524476,19.95263049692103,6.124755263864557,26.44806539393205,5.855204483992095,17.84979381665361,5.762552997737721,26.510058293022723,4.981071929841988,13.012229358431886,5.435738087859869,21.663598246010913,71.07430563399718,75.86268789021075,8.32911405684549,10.69428657614301,100,21.399940617141098,17.174503150634674,18.03250876850468,35.136233009160705,24.915384998698165,14.025002265860039,13.531925357277856,52.403357675738384,3.2218459464202693,20.284955324800773,6.709704897102054,25.357344070704446,5.134096021605724,18.341930308387585,6.52463467090379,25.924789366800155,4.272351126045431,13.308134009615896,6.3387610472864955,21.08146318399171,75.12864003718441,77.93316637070531,8.790279991886644,11.132026632809573,100,20.295165509242842,16.375686348941827,16.6636217162095,32.91115461294732,23.590128436235755,13.524975530215134,12.598979795855719,49.66685141359776,2.8075529444607823,19.364467048585794,6.155457580995143,26.838107794873718,6.465574550646793,17.424308129198767,5.46298648349731,26.841145899269417,5.382791504133921,12.555758468488001,5.2859799714407245,21.828300002141372,72.3004800869734,75.89423373710773,8.143739424841678,10.502313480583082,L
Read 8,100,33.96226589527875,25.040583348777503,22.277461843631627,46.31022623802328,32.4364740551784,16.422709702940615,16.966009477563915,65.73511102277023,1.8500425087277714,26.352555150190625,4.680278476569356,32.80892738035442,10.366843237974228,23.084794543905524,4.218746007680324,35.34017038679917,11.115661381852219,17.32532954421207,4.569267931847338,31.79167652066583,90.30216486534331,96.06335705871274,11.523849297134621,13.455800620136898,100,37.421367824713755,28.59593937660852,26.36415343806945,53.72689227353713,38.0578543157168,21.458866199318894,20.02991953977967,79.43419755945581,5.004289390906491,31.45553331426937,9.29368029739777,40.05983907955934,13.123791643327008,27.623218596456475,8.726448109618032,43.982237389968624,11.983882337889769,21.871687933626472,7.599475130636724,39.02586235046091,110.3470763542546,117.08849981526451,14.081867031449963,17.886754365451534,100,36.90807621570524,27.462184379061135,25.786112263509246,52.08078402750631,37.74008925475792,21.000493936929104,20.241187293919808,78.8650575856935,3.6121947695419734,31.07327433551014,9.826232125946715,43.346337234503686,16.23479631140314,27.79278147908011,8.237071413806806,47.948399092747046,15.443980874463188,21.97212299630913,8.237071413806806,43.72994061673618,111.78911217387487,117.61785419121333,15.844323218798806,18.060973847709867,100,37.25722717831185,28.018571624938552,24.54699822485897,51.25504532589708,37.14172168249976,20.66753196409333,19.196587273373627,76.94746825600961,2.5634918417802983,30.58060884124646,10.759151049002174,43.37589489561221,15.065495983232914,27.35212806494326,9.049358024427912,47.97434883138951,13.67606403247163,22.325372866132362,7.690475525340896,42.331960601789405,109.3830977025273,116.75962329454507,14.308291359756923,18.499270289737204,100,37.46231771968517,28.02730309395576,25.516969255897553,52.12879746678336,37.346176398653064,20.78130090613188,20.02991953977967,78.04190213763009,4.168538672322921,31.463656111903614,7.4637593000504365,42.1850686071831,16.504713155011718,26.920460943326752,7.360330383891194,46.203684964416716,15.873322355715269,21.871687933626472,6.591038359517363,42.07589067647172,110.01077530266711,116.39021573597192,14.081867031449963,17.886754365451534,100,36.45281322271079,27.175547338787837,25.666747313434715,51.828907521852614,35.92320425050361,21.494561593327006,19.30225907921075,76.65765477129078,3.8498461589465998,31.463656111903614,8.36767222670834,42.89986613862596,15.61361857866854,26.79677554188063,8.151096833708449,46.91172352451507,13.880817728730053,21.871687933626472,6.591038359517363,40.440765295198595,109.02377680623985,116.39021573597192,15.678947812025527,19.315493403068768,L
Read 9,100,55.33275460520499,41.53986569639422,36.18537754990078,75.61073832170129,52.973250690638515,28.25393178826027,28.124424925616136,109.00360417824288,9.489489126830295,44.12522815516677,10.920436817472698,45.90932595807226,4.933350483882027,40.56162246489859,8.401193146855698,46.8278658964232,4.412522815516677,28.25393178826027,9.866700967764054,34.462904889819846,142.8202834965469,153.94899410357436,20.813828493176807,23.191994925613894,100,65.32388015698074,46.4775650554327,41.57079795704652,85.70039545905684,62.07159391219661,34.08123875851493,31.9909672563041,127.47865678916031,11.901684833151595,51.67305313415876,13.306488166852608,53.88716997845824,9.595445076388378,47.04554008280015,10.972811243592963,58.45775147538225,7.7589492390245764,33.92502141008646,10.645190533482085,43.32278672646345,170.5308356674323,179.7509060784276,23.276847717073732,26.210741959322768,100,65.6744557112472,47.62471668040288,42.46570679819752,87.19952992360209,61.73471112064065,33.00663858199709,32.78056305437716,126.81205590017261,12.195440262893863,52.94843894232927,17.354415734670262,59.4019352130712,9.832278275342816,48.24526032856461,14.685254735564804,59.807413880720475,5.4539666886737175,32.8372278556236,12.195440262893863,40.539521869704274,174.73984973712595,187.3201362890049,19.66455655068563,31.152129620909196,100,64.05637150997332,47.468231950814236,39.54071100550807,83.87851465479693,59.771482347454224,32.19342254772182,32.02818575498666,123.6876663340785,9.40379913485048,51.093013756652724,15.163170487678297,59.057056490906845,9.590031058101909,47.169216490443695,14.323440108828116,62.06507429001318,5.9474847849696815,34.06200917110182,11.894969569939363,47.056595836738026,170.43461740393747,181.4226592417782,23.789939139878726,29.73742392484841,100,63.587423771188746,46.44808072958029,41.900143732011486,84.85199056688646,60.46517725293267,32.56705245171935,32.39989795648098,125.12315865644888,6.859876855905611,50.04926346257955,17.123287671232877,61.94376178120132,10.245747349951492,47.60272451749165,15.339150967082475,64.68797564687975,6.859876855905611,36.199196328844074,12.762945077053596,51.40508404150036,174.1777049491754,185.95785684647512,21.692835332936415,29.536101020281624,100,62.49316097587671,46.30983289586776,40.53343492545784,84.18399814278504,56.13599464505818,33.23077114912814,31.407784896557235,120.66923337583401,8.205754045870789,49.846156723692204,14.793133483116605,57.352292139771684,9.174311926605505,45.908242213566254,13.231380827390787,62.4122985383301,6.615690413695393,33.07845206847696,10.698994302468442,47.84735710240477,165.59569493384944,176.99528058505226,23.209377322336735,30.757898374752685,L
Read 10,100,80.23307759059063,57.358533031646886,47.86867584915316,100.37465699594868,69.25896389813795,41.91002940465272,38.93223293641474,149.5667935069357,6.67682286503371,59.79392175127138,18.162921858161297,80.84196100735075,20.03046859510113,51.545764412159045,14.929829799940277,81.11721533118018,13.35364573006742,39.837754745077135,14.929829799940277,63.832661470385034,213.7626315807159,224.5041354038147,24.62290609505918,36.325843716322595,100,75.64307704221041,55.51841824363742,49.13294797687861,98.77460977245701,69.60459294099594,37.68325089712514,37.68325089712514,144.6242312508301,6.462624212427139,57.87567744075372,17.580238526873465,80.97644928394162,24.693652443114253,49.892128617433734,14.45086705202312,84.26231061915175,20.436612173021608,38.559722728688826,14.45086705202312,70.85347209324429,212.22612428538523,216.62808903402902,27.4185924292056,31.923008720194396,100,76.01028403319113,57.358533031646886,50.849168008140936,103.13476284962998,71.91158303250101,38.81755747984472,38.93223293641474,149.32815467363375,9.442453449293458,59.71931919976111,18.884906898586916,80.67635763574972,22.740439253102142,51.545764412159045,14.929829799940277,84.0855648870034,18.162921858161297,39.837754745077135,14.929829799940277,70.28129170462717,216.66264477362478,223.1497687851105,31.17439984744864,32.98107201310021,100,74.32363247508236,56.08575974393736,49.7208361048946,100.84622504625133,67.4066941933734,40.87591240875912,37.95620437956204,146.10214310302837,6.528665627736612,58.46710772117017,20.43795620437956,84.87265316057595,24.945996336693515,50.401975187246904,17.02467706524175,88.02810763025596,20.64545346530066,38.9537636908798,14.5985401459854,71.57752217302927,214.39485840217012,225.19638187764855,24.945996336693515,35.51978119882171,100,76.416071990087,56.08575974393736,49.7208361048946,100.84622504625133,67.4066941933734,40.87591240875912,37.95620437956204,146.10214310302837,6.528665627736612,58.3941605839416,17.51824817518248,81.80394584596729,26.918377977497475,47.52940320029111,13.057331255473224,85.12338532620876,23.53943868116364,38.9537636908798,12.387272079180391,71.57752217302927,214.39485840217012,221.68641486397914,27.698782424832515,32.24922924726207,100,76.81304804681868,59.895694753407376,48.3742291547417,102.6394167271874,69.6644319892287,42.24502112251056,39.22751961375981,150.99572725644904,6.747338495774864,63.36753168376584,24.327874919428332,84.54390902910019,15.08750754375377,55.0642353376423,22.980606837247763,87.97453070074381,9.54217761064689,40.25849144274693,17.594906140148765,65.13890508425739,217.4695563877761,232.05351755860448,28.62653283194067,38.16871044258756,L
