,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,10.785497753138733,8.807729715295217,6.235394666441384,15.02493090902794,4.636121321074121,7.0733676937848715,2.2996508866786045,4.539613352465886,3.7537417929429773,8.501072099670038,1.3552093416467144,4.376735964986112,3.964393182755891,7.887242157222166,0.9410268401227968,4.419621491948731,2.568503412114658,5.260668291221364,0.5906770830577477,4.108312385107578,13.861935443844914,4.378556528634966,4.059524784060831,3.174205028723689,100,10.360948554699855,8.108212299405544,6.141307000276563,14.243181679643818,3.7983230754072927,7.1955329627154825,1.7867447523539344,4.955345747201,3.318606474617344,8.500316921163742,1.2861270153119375,4.323376747927675,3.6308894110308683,7.588912308692232,0.6154625075412631,3.8963493344604565,1.7867447523539344,4.897594640807855,0.05751734867872811,3.6004665803338,13.459858419181144,3.59379883101637,4.323376747927675,3.072201836376265,100,9.996346930362801,8.177065733878756,6.065337345802555,14.222391766769363,3.895254827124534,7.138795530855015,1.875103193958596,4.938478728458608,3.304713100800066,8.210952733083897,1.11415885479016,4.283726866517375,3.9196753473610544,7.478029430346121,0.6315714794077107,3.8731225182899562,2.374736564529663,4.917545485257399,0.2931996986289895,3.548806597992215,13.317464692039504,3.6266799805397674,4.173952848744288,3.1084699632193717,100,10.146619722374636,8.460929641331038,6.333236136810047,14.783915905126507,4.345034896622135,6.971062360476632,2.1728418418297824,4.668647956636162,3.5019388336773054,8.064690870965684,0.7755205089631422,4.349142246629338,4.352813958762096,7.50518962803382,0.872460572583535,4.032054112617492,3.17188125183107,4.9477433553045875,0.9508036416214557,3.745701839514941,13.533124531750644,3.90777889522033,4.195388554799354,3.1887240020693723,100,10.703159268488921,8.743793708731632,6.423480578378734,15.160965750278983,4.508915478221356,7.268082816968996,2.156991157287451,4.791123928837196,3.690504351399879,8.607776831187714,1.0109321200687256,4.328935504349249,4.239832217214467,7.96870033049727,0.6965228191690734,4.18531731539875,2.7494542163642843,5.152447767150962,0.6064937086975816,3.689157206127253,13.99943831491583,3.9330569455998194,4.348869311253384,3.3588074029298474,100,10.472297320550538,8.616655544792179,6.2436229649760815,14.852442042188828,4.233276655535179,7.303489490666585,1.9621935433259754,4.871415871624697,3.3146326085512974,8.305492378900748,1.0258350094192856,4.397708340865324,4.092502696497407,7.787648122422709,0.648795026661045,4.008362831084957,2.610758003368229,5.113150754365011,0.514327266886653,3.6355154243909524,13.786640468341748,3.870883724439233,4.327779570421845,3.1884414994171957,A
Read 2,100,13.542660408809905,11.178837160042956,8.317566848650193,19.494434493092037,7.514119219940291,9.342065226926039,3.051772853729278,4.503049944951103,5.900845290823076,10.452280941682133,1.3710724672871153,5.0162868326532255,6.590652649578197,9.935564434792376,1.8170435906748341,4.620194818945187,4.525245607854048,6.426446890064873,1.1923957815506205,3.6615541299191787,16.39535105679324,5.080552358677677,6.106671723390754,5.275887317140092,100,15.89033883426286,13.202132739191986,9.35196056624321,22.54113789744093,7.273098227543189,10.29390015926079,3.1485723002878547,5.833514929850967,5.759740743661458,11.730170192783564,1.1383687176276394,6.270334955396624,6.9440491775286,11.202959484658914,1.6417787127162566,5.8534737923307825,5.025611031850217,7.489047391837224,1.597776634710934,5.312658382185911,19.29526581311046,5.465355516720498,6.763481485577072,5.692981843041715,100,16.774431594091972,13.605923321406609,9.451310606159927,23.006014926140825,7.386334045584597,10.742487540037866,3.3013068621647466,6.251778251330076,6.220607482498178,12.661138120667804,2.377010725584115,6.845451654466056,6.670955477429811,12.10116321289405,2.3468339474623536,6.766431902788388,4.349750278799417,8.037490600657462,1.5814903680900008,6.5375228884664764,19.924606392784824,6.156740259091097,6.5691626275003445,5.4748939740499285,100,16.026316273564497,13.211957763267703,9.486906252284308,22.685024615358895,7.616848313196909,10.80765764046116,3.445183537425767,6.312798497413692,5.939572223729326,12.163652075278604,1.8562096232381147,6.431083681333329,6.910560014860441,11.770412248983753,1.7795597412315025,6.307779974879936,4.891685720225264,7.866378730447521,1.2121924157871706,5.730071834038428,20.005291077842518,6.115060307127125,6.383635751260433,5.294601456990018,100,15.958450420272642,13.130597160795688,9.495562871221491,22.60826473686238,7.054926071872466,10.781679292550685,3.190258369139293,6.560947978939059,5.541742669737787,12.191937962811059,1.5690599507918435,6.650282032306522,6.530898417526722,11.629914728479076,1.5322320301834471,6.318558804258314,4.246544812934867,7.837207642724863,1.020106696947968,5.987532704398297,19.9686485699704,5.6606898923728375,6.581226179850409,4.956685329337944,100,15.967264262366802,13.026655554065169,9.492111483961812,22.49459446913369,6.952736931150197,10.525353949439813,3.276474719059656,6.506253241506679,5.606325570534666,11.861257286813611,2.10567422140097,6.424706943192066,6.665401010808169,11.298996912540812,2.016292134805942,5.968531242053078,4.336200194245118,7.5921163746839095,1.1981679229863222,5.599523150754834,20.259095945391962,6.137490257016222,6.361114093562878,5.073389285359288,A
Read 3,100,19.220417709193928,16.158109927643995,12.026533398097316,28.160590975205498,10.818346268101566,12.341084721897706,4.752814544426294,5.960176874535935,9.319667589839982,14.201471781760837,3.3525136192142853,7.496448348056989,9.361092922455308,13.251104643942424,3.460686920952901,7.006042113487285,6.415746824743594,8.661827249479568,2.311557134124027,6.8086490895007765,22.88244294963799,7.8728799087823225,8.25446797074463,6.9133830285716344,100,21.39777888198586,17.652658502070047,13.173429548127308,30.791257288521535,10.362512459818985,14.324020074903396,4.577392259629689,7.944776031725808,8.700056214381348,15.873060567504822,3.212338097090655,8.471267948331198,9.82807797751763,15.12099115113078,3.582376088274674,8.271032430637701,6.6529841639386795,10.281316204067565,2.1100735718062134,8.421655410694665,26.299100400015064,8.091762767337418,8.952283988560158,7.3274028304680945,100,23.195791120588847,18.808835029935093,13.718250902452587,32.52063275335162,10.659303991491251,14.875088033685628,4.714145480698026,8.180856805498998,8.826638333046782,16.917552099223105,3.294642404582087,9.887175834117876,9.563567471292616,16.219777991788735,3.860192156654624,9.749801845846896,6.6330033596747935,10.835601564413778,2.5343403112169898,8.65023476399007,28.54819339939238,8.884661231161285,9.64382259133278,8.37866858675885,100,23.89172553624321,18.9181694602537,14.040041394672542,32.912149445920775,9.868579051950487,15.987846999736767,4.307382269311324,9.71715208656144,7.575284345854954,17.46016770081116,3.2906909909240927,9.487297774608527,9.314887123968903,17.078751464547214,2.741893139929761,9.285221803011629,6.1254320401768005,11.148454592951715,1.4856354884818606,8.246615262813553,29.52291721707183,9.067246107430767,9.285221803011629,8.14563249167257,100,24.398314596057446,19.668181257012424,14.40903732637134,34.05862908835533,11.006495219520202,15.850293814279853,5.216374928202812,9.53679137014224,8.672972108815612,18.072115487642773,2.8505956338322322,9.55631399317406,10.450598885463283,17.508499158368764,2.902428890849051,9.867200545852642,7.457474557677903,11.483817526177795,2.2515252563099852,8.690146327830469,30.59970124477138,9.426717543553346,9.426717543553346,8.503705939875731,100,24.233917338698376,19.881600113625794,14.435905717513888,34.312476672639214,11.130188601731758,15.943694036238231,4.785708183551755,9.068954021986698,8.959367648603761,17.953412146770308,2.7586125912101194,9.47151125298182,10.35363514877983,17.320721265507597,2.8754993001338045,9.65514406923542,7.388281910705292,11.634826426967415,1.9127536820670514,8.798666937508436,30.350766341217323,9.028521569075219,9.529276646726105,8.155601293919787,A
Read 4,100,29.627468853581295,23.939635088747572,18.255952224810272,42.15942550646091,17.109814812622734,18.255952224810272,8.915813708563533,10.010450865908501,13.505670261242068,20.45485888317022,5.410598515157489,11.873009066764867,15.31819142178994,19.005347501068464,6.79439143134644,10.706130282995757,11.555825617506688,12.456133202113307,5.241475355757253,9.419367551501544,37.68045846553469,12.82138858834176,12.82138858834176,11.428457816914815,100,37.59057430757048,31.00708601388963,23.252943817255407,54.12303509313105,20.80018563337206,25.548391634574767,8.658789221945344,12.894466621694512,16.171863012200717,27.923756198205123,3.9845929074246245,12.617877540177977,17.881407913184034,27.300843128030895,4.252307236972273,13.866790422248041,13.446976179649745,18.701192509401942,4.83471237168317,13.181985151599951,45.47501212848981,15.403657198490105,15.503543006944815,14.62525936083493,100,43.81813416381152,35.783405819781656,25.89872470586333,61.66884726397254,23.25684075690864,28.386647790182973,10.506369710237951,14.858250535524396,20.1450443190975,31.43659823228229,5.096337889070717,13.698630136986301,21.50147310898684,30.789642505306684,6.931768950074639,15.83149291248066,17.837182611747505,20.385351556282867,6.644811644831041,13.722309722744885,53.89844160577162,18.018275402899192,18.018275402899192,16.99840701831506,100,43.76732917266423,37.49283373999281,24.459523433801486,61.7906522483527,22.594005149560285,29.574979981049893,9.201439000860503,15.721050059311407,18.75471725422868,33.17626012565668,3.1560675398453526,14.991320814265425,21.434555321455143,32.50328219038344,4.990180937617768,16.26599978545708,14.548752496911609,22.218917216867165,4.734101309768029,15.156519419519132,51.967409815607105,16.867254478800653,17.642953901686838,17.35837146914944,100,44.81596523749216,36.846228269835784,25.971917863809757,62.684370147389416,25.002713741984195,29.621439154118434,11.620664770129336,15.945850746196331,19.29204500284833,33.31608757693985,4.370720564186757,16.252726559938957,21.656787702501962,32.50545311987791,5.444528798392476,16.732025101930287,17.19797102541765,21.853602820933787,6.692810040772113,14.965578211659587,54.09328042513313,18.947516483935967,18.020942546201216,17.874129977717104,100,45.47898089155912,36.40830255173325,26.248767063346925,62.57414742343916,23.662982191787837,29.79877321535828,11.419519781244666,17.392148426331417,17.906312755465734,33.61482331720915,4.180552196107883,17.236858277960682,19.297535944805805,32.23678486732394,5.249753412669385,17.906312755465734,14.318479295378356,22.302976975871847,5.185336820805738,16.902130136991314,53.19710813317484,19.016829556027222,19.140145166727482,18.055846147040455,A
Read 5,100,48.55569826154676,40.34652582105675,29.13796501593317,69.09117744183973,20.099262511880518,31.09507673174427,15.65366613964259,25.423779530871823,16.757071905352788,34.545588720919866,7.36923033425348,24.195875292471683,19.867276443356047,34.08238668422339,14.001064634131017,28.7720105880999,17.86646874929224,24.195875292471683,11.736723474721568,23.61409198835677,63.34025966540231,19.699899607116695,21.158679147025246,19.867276443356047,100,46.516613571359386,39.42216570592597,28.511709622578824,67.78919746337196,19.711082852962985,29.54134285175223,15.65473547263979,25.171363291540207,15.228939730137894,32.801224579050945,10.933741526350316,27.356212558925872,17.66400002340204,30.78969569282467,13.524291358903323,28.110562283364178,17.63012846774229,22.139139220770375,10.988274241330515,22.434161960073464,63.5663321834622,21.894800343867033,17.28776328541646,17.528121082310737,100,50.142247906548086,39.7182422972792,31.54893994887038,71.26667220769329,23.265832374090703,28.024287716020552,16.26388168751065,21.05062631634744,20.69131848046398,33.9431150251019,13.05504424042381,25.794864589414438,22.672218401386736,32.29639581022731,15.358414803790177,26.240314168897985,22.672218401386736,23.499079632762857,14.205423938108876,21.720078512071787,66.32168062196604,23.614839346282913,19.257849722642042,19.884850964416636,100,47.54194402955367,37.32468244586608,29.670107113821114,66.99288423267035,18.726583551380884,27.3972602739726,17.012794187682218,26.3925360631064,16.291582188842195,31.799710966678152,15.956405236779217,31.85631091232577,19.756445345008157,30.09212102519667,16.58383117854417,29.118532067038736,17.67070191407901,21.586537647772282,13.332082258187876,26.3925360631064,65.21238595862722,23.42746117965145,17.67070191407901,16.43835616438356,100,45.87758055212398,38.63466639400067,28.653295128939828,67.26116164719915,20.90992501764412,26.540874099167496,16.8581204989843,23.78998583306469,17.424937514703434,28.843403853432665,15.349777691408551,26.655028923182332,20.58798952200728,28.09686749830717,15.58533791462525,24.76548936989666,18.473721197090818,19.714066365437862,13.270437049583748,20.320794483784187,64.11808775749991,24.46947686926881,17.770019282121552,18.767232054139743,100,48.00489432159273,37.63106084791348,29.002267252267693,66.6300324295341,18.34264436521582,29.06179985118266,14.401468296477818,24.781872865210804,14.95103937009888,31.129240017174748,11.051556613339416,26.835551738943746,19.792924983454025,30.53126374694695,14.118662986223597,25.806816831625817,18.34264436521582,23.54198389809071,10.787758288021562,22.821266236012555,65.79473130408739,20.423247735552213,16.663991730635487,16.10133104336625,A
Read 6,100,11.187844551921204,8.90964886304676,6.224956992826579,15.12831163141313,4.195032055872764,6.664486964459974,2.5784554285456593,5.038910145411768,3.1826359959990946,8.28615838025104,1.6454269471571132,5.445157575140968,3.2269880718813293,7.848725345082811,1.111424700006277,5.634386124437151,2.7118363333058286,5.46795081676133,0.6784269102366387,4.9405639492979425,13.762941548637533,5.0106222488328145,3.734521114576345,3.1674468732774437,100,10.977538744123443,8.569621305654975,6.0372270903388054,14.600151757909382,3.8546303356610867,6.678690976568592,2.3435543151916,4.999660025680208,3.058812180968201,8.369070504158703,1.6820495858662172,5.079476841517439,3.099069984852468,7.784102100566742,1.0382569005072741,5.230265339760387,2.16770796649739,5.25375855591866,0.25607477884066115,4.584469477194198,13.421228794796088,4.7403787222223235,3.791670312185616,3.168479796804187,100,11.102752526466551,8.798157779007985,5.984625130787019,14.771427108358756,4.052418864199427,6.684196555697344,2.4157993276025205,4.965628359332708,3.2112365883422247,8.26575702251651,1.867801583112468,5.238875584506402,3.2610805437668895,7.787076392340198,1.3335611025449798,5.488231984825152,2.6319404095430867,5.353810778927036,0.6664765710646366,4.691324997847365,13.535005465690903,4.974761156989878,3.7637054321025243,3.1810572689555583,100,11.523829363018459,9.201220368918305,5.8374276719811675,15.024999071370226,3.9430385099277476,6.99487918428043,2.269495892665489,5.079460302953057,3.4590076303880406,8.677286871666325,2.044561184946639,5.079135394243672,3.233883498823752,7.931774436697227,1.4310948126266276,5.356207255069713,2.10657981190513,5.343250909150919,0.70127870091128,4.912143611021721,13.869447121000421,4.808925818235829,3.852216311709358,3.1946056632007633,100,11.024757142208292,8.664755846667775,6.064807019364606,14.727917668460616,3.9140907038073043,6.6465647573364945,2.524093866571664,5.185593955094639,3.121202546536129,8.374350774152271,1.5983541965266501,5.340035087930314,3.253912033828126,7.857110993150713,1.1327778335419219,5.390994766337818,2.372004061919,5.3501415850766625,0.4926205443387206,4.687613749717202,13.628077521915484,5.006861292695321,3.7563353616505024,3.2300716513349603,100,11.068061979697395,8.805997298849604,5.978012779142846,14.783026245519304,3.899402296327825,6.67584173214972,2.57432915064173,5.307385349378221,3.1486107431258885,8.301015676428806,1.6592169735502256,5.464647086840729,3.2009386668477746,7.774526708803333,1.2697209967290954,5.56746175283749,2.4518881250761413,5.269472205315783,0.5620420906977888,4.910613806441653,13.689668429786332,4.9616776054800935,3.6911034891315717,3.1649430314361227,A
Read 7,100,12.641163604539681,10.180649312127452,7.654202070934672,17.783971964034308,8.752394909955184,8.713434955950326,3.4400908183976058,3.4076873570055644,6.3850532158899815,10.15154713206711,2.0942921431569577,5.205802040118875,5.989365078427243,9.507433333820376,2.0801174141607595,5.06902956011262,4.663988050141473,6.282876429470874,1.4796390084011535,4.1370578522844585,13.510844464312829,6.132751895836481,5.500112475599257,4.571083376077028,100,15.681855941759267,12.805282159561743,9.453728011783882,22.245190296649234,7.895037059877269,10.04945072391967,4.07954616640011,6.080214604753303,6.408061954464359,11.649119722179481,2.2868158391415707,7.054862450580932,6.930507517167091,11.286838320300474,2.506045288918253,6.663985729079073,4.877759197567343,7.681031169090951,1.8422153784029944,5.924272796862892,19.538872158486708,6.060318561207216,6.434393990067233,5.614453601092291,100,16.027811459083253,13.43644504238896,9.127999503838064,22.559549816369948,7.125055281176993,10.301804981381697,3.4704944067480112,6.357889284976043,5.696703376227355,11.833813823023664,2.0557976219111875,7.017365629424856,6.502954853675124,11.538410525832807,2.15230926317161,6.949212195478458,4.393623612910494,7.929325457001194,1.3565701097045337,6.53216426038381,19.751958942324666,5.97507152872241,6.121952647639732,5.201778349851943,100,16.461016306901797,13.573436532616105,9.546658453828314,23.11115747089339,6.968192015527498,10.777974724272683,3.317185954116698,6.81658973848539,5.801393736894603,12.493611221534442,1.7187513147165148,6.951510590311479,6.838318234307624,11.90406618523268,1.7036742574819692,6.308453212334062,4.526062546464029,8.12223711910097,1.2698438170820545,6.036768591478588,20.372347789556493,6.02072044100111,7.020755050497172,5.526957833197314,100,16.072093818952013,13.107487645710313,9.244055618503209,22.347017749991377,6.6324276593409675,10.425492301027901,3.606784339228777,7.057941804845191,5.198117273726953,12.054300681574944,2.2531403143130735,7.555582780198147,5.914225087999408,11.63152999415563,2.030953233517709,7.242540713319632,3.830338534332225,7.8867957520135805,0.9625419642108408,6.539931402557309,20.30390737804387,6.308792880076606,6.186911606036603,5.305655084466451,100,16.27247335957482,13.614237672370828,9.437359438525483,23.049364258855128,7.520688353384908,10.50812108691206,3.535983701001908,6.190831859212727,6.139543448911896,12.166986145705398,2.0045969624514157,6.890798324079675,6.9346345735210635,11.72022660287996,2.2956577633406408,6.906077274820684,4.93699869551694,7.929163365512583,1.7255651769806253,6.168445652618496,20.48577125550184,6.431939819846834,6.487010548981204,5.510774157393878,A
Read 8,100,22.1686555222697,18.37419213446131,13.865274937900548,32.23916636959268,11.258405251439624,13.566517513489261,6.718961014089849,8.839377958228184,9.52394834607598,15.294366191642546,4.50336210057585,10.28141215081363,10.234016518090712,14.554435389626118,5.329753173318404,10.100813227954566,8.062753216907817,9.592976530874317,4.290109525919016,7.83558769129978,28.40484590004963,8.995149909540656,9.578485621497562,9.283918805538825,100,24.16623353707237,19.966579594674954,14.157636561162972,34.11371675483275,11.48535182221844,14.836406861915954,5.168618586126016,7.8416225363966,9.450512405944117,16.596538817144157,2.667088271156913,8.733328404278362,11.121754537448682,16.11327509801192,3.8238601374010246,8.805431410382809,8.358767920898796,10.8191630052819,2.8253797079339025,8.49941886861455,29.121651195003796,8.719742715361722,10.218038709803906,8.452795264758453,100,24.1221996472782,20.2293234395021,14.873271484791042,35.09857472859539,12.482168326621032,13.975548515526121,5.833777040916358,7.010011847415044,10.845331311601436,16.134143881990262,4.002548039254892,9.291259037481401,12.657168248286494,15.367351814335862,5.382333600008472,8.566117576028413,9.78301123417537,10.32783907858764,4.359891080244766,8.154064765959783,29.553372467088828,8.973125991758586,10.675621489324906,9.237500096160302,100,24.88616215262048,20.56139764866645,14.29199507506729,34.84370619314324,12.176683271945274,15.517898478049151,5.46248292293599,8.519694837765066,10.268462320701888,17.66254485124303,3.486174279491703,10.45852283847511,12.010346262523688,16.59330057717738,4.531564182420464,9.43024085863312,8.440624033533048,11.081126318870117,3.197753689003578,8.824151387700512,30.343461604435635,9.268875014378343,10.1494155600348,9.268875014378343,100,24.349117646260368,20.185453211094885,14.472294662580376,34.65566619358603,11.71080491744215,15.31412950742435,5.2527030864248445,8.295476172835594,9.735646929486702,17.386274521042758,2.5479352523926497,9.417886995679432,11.469246888786117,16.893886740180875,3.714221971970516,9.195540332480043,8.649855543920337,11.373327699223523,2.8628861728352577,8.319896232059156,30.143538578392516,8.830902461257976,10.318351342453754,8.849261945652385,100,24.743906484234888,20.404348004981234,14.306495394008884,34.70746722380867,11.833727978362768,15.338473905043196,5.501980118715671,8.692469056490774,10.050523009899804,17.888029585816533,2.8336639274582036,10.205125024295329,11.134532561285635,17.03972386327335,4.086768235153289,9.783324738811034,7.48108743691929,11.40879690518413,2.6125090556228074,8.673974420523644,29.945808588547255,8.784358175120433,10.801427346299757,9.351090960612073,A
Read 9,100,30.336934170635097,25.020339286747053,18.842061409015002,43.83294606656973,13.91715688943897,18.991978508663177,5.519110174531257,9.570360719507333,11.019172499927864,21.54184618205152,3.2083600696672465,11.00009166743056,14.32624402611402,21.326226279460705,4.099492121183958,11.019172499927864,10.631050971439363,14.34822242414385,4.348168017465,11.189435893055002,37.128138511465096,11.458428820240169,12.676979270271637,10.551713661400072,100,31.261410713924747,25.5593345258041,18.029244225258825,43.57915011444335,13.58775507260902,20.566272499423224,5.996047280020831,11.496895838123708,11.122912506275304,23.03514331822156,4.529251690869673,11.496895838123708,12.950221053418003,22.193476223524772,3.7076375020917682,11.82337101143476,8.640282468639198,15.127049163852405,1.896116636292325,11.706527534015043,37.93627219800477,11.579377615096963,12.719537076053651,10.61705806448857,100,30.243611032342855,25.497201702697836,18.486779712340105,43.980097368609734,13.963878087550219,18.53818751045884,5.853263767007522,9.480583181461625,11.198708357678475,20.694412508622673,3.7076375020917682,10.577144171073812,13.61884837430292,20.421801159967366,4.734711492750978,11.496895838123708,10.931123774665176,14.196688011435395,4.36276522442177,11.992094560041663,36.677800655949255,11.965612169471315,12.382535771750986,10.127714667990453,100,30.05989041738659,24.531024499099654,17.481044553986447,42.010498555883274,12.812911277271603,18.39826837432474,5.057200255720121,9.270406906518623,10.2803725855418,20.38622597318848,4.113977875327466,9.983403671484247,12.21173273228857,20.177606459899117,3.7304099163237754,10.97060766753991,8.375198575814382,13.387119722838793,1.7346053772766694,10.586778504539202,35.02925936991221,11.308243547619512,12.095685759740983,9.97398091934085,100,29.948866683156822,24.48619831102344,17.81985057375688,42.30594683914768,13.017258527354091,18.691693925100385,5.92722885147313,10.719468729047879,10.247337518383125,21.147237642083002,3.6330122703477494,11.049375455092479,12.28859430873324,20.570301400878936,3.738338785020076,11.70616816951839,8.920810966303897,13.791942763678321,2.2028372543836463,11.119419741055568,36.79991112478912,11.049375455092479,12.28859430873324,10.573618821041501,100,30.453131682862615,25.558866020492648,18.382550561274098,43.941412780978176,13.38876581645051,18.950259340463543,4.450576349637278,9.011730264505134,11.126440874093197,21.81236504489358,3.209356246796911,9.346210334238286,13.469888246403096,20.70833615048617,2.849759329490787,9.851770715732188,9.441098151050973,13.73923987754963,2.3967087129531817,9.628068740390734,36.10457201007089,11.580054146831358,12.744511160511243,11.135338469176915,A
Read 10,100,11.339019499965682,9.530268348497014,6.642558973351602,16.12742902197583,4.735454797524839,7.7219022683777805,2.291547279999455,5.051646719432035,3.7069540659899567,8.819872091829549,1.2381969932885464,4.65609497110336,4.47674377646485,8.25147995320098,0.9065465541965302,4.376878192823909,3.1040633140689065,5.524063166084608,0.8055803305006444,3.9612146292576775,14.646675246818033,4.365208225755793,4.563575461173132,3.748008541771728,100,11.96951011972205,10.012663082648896,7.0371579823949775,17.028395688829743,5.178944888840387,7.89330809223271,2.5170924889522888,5.110599211213064,4.118212416904705,9.139434013523772,0.7456908670520617,5.161864098162459,5.261652845295967,8.629153423628575,1.3915384684697099,4.832967558095051,4.064246612396881,5.806877082458479,1.5099089256441618,4.268369037928577,15.343846702223523,4.592831916022614,4.886476262692325,3.9158690920500283,100,12.12349729825187,10.284529012651884,7.169169216863219,17.423210258432874,5.797576932092577,8.035165666209766,2.694558361533152,4.862352775336741,4.521614563418131,9.212640688436275,0.77710370314588,4.846893298197685,5.554031703363435,8.741755323619454,1.4616104453435013,4.654004724986525,4.087354198711532,5.866706804984832,1.550834800350556,4.348458650720139,15.387342976727492,4.739842870003209,5.0824344584786525,4.021490777341219,100,12.09913385952153,10.095291261643423,6.865367839310093,16.940027542014622,4.9745986407865,8.078899535591054,2.4303532900960496,5.431070095626721,4.068965117000608,9.609474376074733,0.7735029037185781,5.234734834392005,4.903599002586317,8.979891598702812,0.9543352757132804,4.925917408658132,3.4059511070030393,5.956474612068918,1.0216226662824646,4.2405708961506585,15.208727312987445,4.330158023782161,5.124679702199569,4.019652467812823,100,11.87379118591246,9.920749997843778,7.136846634669712,17.041287106520826,5.319491406704027,8.085842299346606,2.5567635317125372,5.209676605005224,4.223555582197202,9.28160672827973,0.7762140122729954,4.9883801614645416,5.135614368212304,8.702381792599269,1.1197206232523031,4.669233507194448,3.6018163516475967,5.70367948849914,1.1197206232523031,4.037210121330675,15.268444434532906,4.547560896856533,5.059091689618835,4.191273155400344,100,11.813692968887803,10.016795331723179,7.060793953802882,17.047898681337607,5.500603803302994,8.016597401195158,2.5404673313156714,5.015143905726418,4.277911463179461,9.137517506157446,0.471752940216416,4.820197852924277,5.28214229190638,8.614448357292453,1.1361315294878644,4.440881442015279,3.627852545348157,5.783692823008342,1.1102203605038197,3.892813897830287,14.965799743317817,4.333574361915863,5.168125796782106,4.188947063568271,A
