,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,8.413333435371026,6.540804325963562,5.697219008888345,12.214527834061892,8.956380242923306,5.975456222614058,4.856625770418041,19.240097206717994,9.894843932850769,6.517171846797045,5.435136064218224,21.242555803028583,8.83850565832061,5.949034438724972,5.205560594135368,19.676007923671833,7.371002338314989,5.422415769294153,4.960163952815573,17.730705482930244,21.437573056135623,1.8726268310598397,5.71593783143535,6.10814722273219,100,9.948866907879928,7.8306330724200635,7.493462543410984,15.296108737549362,10.814946679877528,7.72310257096808,6.5363170477824015,24.356392637787682,12.012566047981126,8.471832477232182,7.42112312379017,26.863346392913094,10.743948744243799,7.813690086863454,7.213990599405098,25.112346350362735,9.208544600475378,6.7421204162814155,6.190470552274954,22.089723810471394,26.355182330760243,1.0113918893622247,6.530888805313278,8.018135081594654,100,11.60845876887766,9.39938018042141,9.617505950091468,18.977714005370533,11.048323585188765,8.560417814281173,7.558524741735613,26.735269314883706,14.102002115994155,10.654175473183626,9.825089492974874,34.12655744333736,13.225087307378674,9.656187276848188,8.950008461659031,31.56155390924025,11.135751362623926,8.206029427604276,7.496344249803761,26.788367173880907,31.783314460071374,4.642538388927488,7.2453809081180935,8.947189610609957,100,11.640178268405586,9.486026776969176,9.367622810907825,18.82780945032722,11.173188703327725,8.581311123628073,7.733013110884872,27.03594473985381,14.17350988379035,10.81459962786283,9.944408189974018,34.46103406314321,13.287623555909915,9.64627454783018,9.032512601016197,31.696444215170267,10.81855836131048,8.014357714910433,7.51737450034858,26.287093304906225,32.093830997467066,4.885764678779617,7.184171263896462,9.458300371767002,100,11.669647275608591,9.43319116781814,9.327848094157549,18.722415149899717,11.506460612174793,9.00748382472781,7.915080675839104,27.93973806178017,13.835633534091437,10.764906570517898,9.77369954818707,33.90599547351266,12.880544544494613,9.520616733391789,8.911321775573217,31.01037724747675,10.561233706086313,7.765520725082732,7.230651562035222,25.499906052135934,30.831715480659074,3.251980234136555,7.796650852805383,10.08692281830669,100,11.571766210962991,9.4784607547349,9.358056987874285,18.80736927544015,11.024907056416831,8.67752354362365,7.776867734072126,26.992631647158422,13.823899526503713,10.530544560094448,9.784067684094605,33.62526682953865,12.928548160255069,9.364885628536808,8.78922927903171,30.74881467233453,10.464617966537336,7.653300309728083,7.142730952169985,25.15676976890147,31.552106433180008,3.902703397070613,7.088828674150062,9.77724753733443,C
Read 2,100,10.466907072129409,8.138582594175197,7.322684890328056,15.448227287646723,10.789599067117498,7.4127523509232685,5.972961325436504,23.667863517261257,12.170771765100767,8.024492901260986,6.697213387783221,26.269177235921234,11.266806660494023,7.265034514285574,6.337312814696027,24.299940642694907,9.432595103981974,6.232775523638192,5.584890355146635,21.199636812618127,24.639952912894984,0.7969446500454871,5.824449303081279,7.079997151666192,100,11.383541916721983,9.176808948105112,8.378223570185458,17.55235345216004,12.019124280276626,7.997113758616385,6.56957977772416,25.97366913969682,13.445053647523746,9.013630567710146,7.722504022831386,29.149239538103615,12.749456020688054,8.211192443065817,7.264390149661222,27.53027751095211,10.323698509426505,7.2524956975561725,6.641775129797512,24.108949946574736,28.30894261346186,1.381157788896348,6.621937788108474,8.639139209438724,100,13.301146175747034,10.761642160371713,9.657218010608824,20.418850655145288,14.438059209490545,10.135871846670758,8.148008451887284,31.950168726810222,16.288087182446787,11.204702728797162,9.100882532718119,35.52584213327728,15.418384821806642,10.418020827090816,8.904764476636696,33.98318069654539,12.839884055149877,8.736328029298098,7.76554504192119,29.229145446228205,34.63544751167731,1.6296016903774573,6.986104229132332,10.38559057462138,100,13.259608928753272,10.997226427457239,10.30552567382199,21.299556537701008,14.62759975396247,10.540662977352687,8.598283416912688,32.88564399526838,16.67973737128093,11.224553678207007,9.385147787865275,36.06305355290624,15.4523479343265,10.603757935367181,9.099699634443992,34.32201796007263,12.81113035350957,8.920857148008313,7.860573194056845,29.435516120707106,36.280825217375806,1.2304413263367766,7.22461328987692,10.880060023281413,100,13.414190233989878,10.747512966177146,9.79511921654303,20.538874463487055,14.38424392428987,10.250214240406056,8.410864996864289,32.193343696490054,15.90167844238872,10.983155340297614,9.241310094427547,35.126216329884954,14.590673587070127,9.998745566782903,8.944753631789327,32.77487496028103,11.88088368438797,8.470342508155705,7.952417596337127,28.117955070633315,35.337917606641255,1.8281300552683026,8.277644080926247,10.766181116911554,100,13.449288615284418,10.789418299265625,9.724587912343498,20.508938281157263,14.20285103568823,9.972544075075122,8.283590491732248,31.5555189667527,15.632091192250513,10.725182007710607,9.124501607000104,34.52570329713729,14.20615715472441,9.57511435558094,8.497080938303396,31.590579130688116,12.030078660921783,8.197292256668195,7.326938306900715,27.440086870886837,33.983980979471866,1.5454261628780648,8.343307357984065,9.532982524526764,C
Read 3,100,15.931900855185827,12.236911579676143,11.097653709717578,23.333411934272004,15.999632434877146,11.248210156045582,8.526031319109045,35.21775615237283,18.293690521579645,12.103629423493562,10.306124127226942,39.77144961608137,17.73085204458959,11.29883601719756,10.076218831674327,38.43714867240906,15.536715193604609,10.172644175416263,8.987411808010101,34.567791199545205,40.45551352169364,2.5589835107340635,7.696489760884092,11.373031797651853,100,18.274915944579696,14.159347380775044,12.161142470827428,26.32031155011193,18.97766336472711,13.300286792424393,10.094133318531414,41.619177871371534,21.088291168162012,14.56423929222075,11.88703128983603,46.44049625786213,20.50415232981058,13.601331404330969,11.551551831794434,44.980376367306164,17.623036132578452,11.815517752033832,10.336122698330954,39.597022004762195,46.89452016066868,3.022325762652515,9.025337677372429,13.66350134875223,100,18.28214957624336,14.736598886368302,13.289199349580054,28.025676498481012,19.260471323873933,13.924440159071578,10.474415732993341,42.708752843861916,21.552154541741036,14.984111858250284,12.32291581039827,47.35896503513289,20.908661090643218,14.433981883260671,11.994476059095591,46.40177991840643,17.881125499833942,12.318651087719799,10.776077270870518,40.710111254434736,48.380340032539976,3.209169054441261,8.592167249967366,14.848490306660537,100,18.78161013422384,14.702992813208763,13.06282692200333,27.765807893219176,19.565393610862678,14.123551920159366,10.59251416015246,43.39123968502846,22.09990732113153,15.232143287583035,12.474356626183644,48.490244441351834,21.362821249897507,14.311029051351179,12.092028449109968,46.85227597946441,18.388234391386554,12.587799034238454,10.732976150888492,41.45550909842973,48.261456192308806,3.4467584193187077,9.113696589151523,13.928085857033947,100,18.27905390617487,14.667110958872804,12.94875625735015,27.6120494464487,19.294599721219754,13.339407393073575,10.462324127585047,42.31423870901337,21.129496077330995,14.613920898057888,11.723729487810118,46.29167055361297,20.396971993163113,13.891688573447906,11.839399810270685,45.30977218469874,17.649135192375574,12.012842737435566,10.508741055254637,39.96589086956233,48.134861613799615,2.206141899046947,8.487197344542599,14.508633116358439,100,18.06917147731251,14.612470491112216,12.951899367415487,27.5631586643112,18.988968747415683,13.709843605718886,10.665353817414722,42.52708788117043,21.057299358889242,14.707136573869969,12.216705020779317,46.56298485338658,20.169079775386457,14.015441894388788,11.747319243732964,45.069191437526484,17.571859612612005,12.327804332558134,10.940314015703194,40.628041366516854,47.92606654309489,2.6845389281277314,9.580640089190553,13.575998777740827,C
Read 4,100,22.270558443763623,16.834446127000373,15.198030456728404,32.027034566558704,22.61577537316029,15.450821691085567,11.829790195191539,49.03415335881934,24.56578839720796,17.133811979047536,14.09029381811112,54.139402436129366,24.634682971099014,15.82626271256276,13.856377823833462,53.25338209278636,21.13544072716668,14.26957771435223,12.457822476579212,47.301248971257806,58.83806246627777,2.8051416959390933,10.718431370341575,16.877537783145893,100,23.452461612416737,18.60877547305976,16.223455920041165,34.83221599461435,23.9179825927696,17.05705952714999,12.829927090898423,52.73752961023929,27.044646605677958,18.21859486381008,15.506038617301195,59.01993057956744,26.27349844186481,17.919392758327856,15.358534302581724,58.32277975175368,23.020812491954025,14.935870453548075,13.729839109234533,51.2531314166054,61.12302926661028,3.4774986637344925,10.156089331499892,20.005175929656183,100,23.020884765964773,17.98927457946255,16.031320282210107,34.02026964243805,23.410320392743152,16.192235778431737,12.07142779015267,50.66400462678376,25.456349572590064,17.781127205449934,14.989830294325953,56.37763081366097,25.013779961556967,17.322841962034207,14.187840625957133,55.184677873310214,21.844398615497045,14.698737918502369,12.98413404905368,49.056058512575056,59.81723727813273,3.1366728412188247,10.441437420803174,18.24611996819953,100,23.18233695772137,18.115438618703102,15.44374006375346,33.55906154365119,24.08932873152196,16.60486018153046,12.825328043308346,52.37420140608589,26.4400911028783,18.230434878910785,15.561151575543136,58.31242573578708,25.99784913242112,17.947197488213167,15.108350305824324,57.63917170647626,22.506562268813912,15.321029628424077,13.36584763398788,50.68392628476467,60.59048276673655,3.616383124695639,10.241848924859625,18.81637361433349,100,22.81127884910156,17.825481639692175,15.653560011875902,33.47735487198324,22.979482770759613,16.3390816267587,12.604518945342637,50.949952554023156,25.448699863338266,17.9386372617067,14.971528240127656,56.66132696496577,25.291758499837407,17.350445790429553,14.542480613865742,55.92970364939313,22.146320657183875,14.81814983879024,13.600845629742174,50.168891014805894,60.030901040042885,2.8219278375209207,10.42805917524429,18.09803054719542,100,23.35795943019313,18.46015852093115,15.439204790259959,33.89882205598765,24.374238750508813,16.51861096835768,13.133062051243167,53.042777676201275,25.47706144844084,18.445553962853108,15.281299681740437,57.67366854505829,25.050369162796883,16.51861096835768,14.16473194447892,54.783575054506294,21.89288238932302,14.544903278877431,13.071355858428058,49.09140746707275,62.075646183954525,3.2832655128107917,13.235266410190109,16.025901147451044,C
Read 5,100,28.81610782761264,21.27292588972575,19.11202223721573,40.36909028124408,28.072340862953375,18.05360601173757,14.141751136950315,58.98431704905188,30.14483235535751,20.32733804365398,16.36319148020204,64.29354183817836,30.0129549500102,19.13794857367129,16.463888993590928,64.04627788164213,25.673677412483304,17.074963956669343,15.534129921354905,57.82118363375898,73.05408872054822,4.024607600758926,12.005181980004082,21.280693984156553,100,29.892660533613036,21.485395737762033,18.914694239477765,40.39841386894161,28.352721945842173,18.591034891797364,14.551958755172949,60.371837121526475,30.92393462794111,20.257550133572277,16.52662385547611,64.93569323450647,29.500925139958277,19.82004316343535,16.393466364895307,63.941453880568034,26.259611066941552,17.660886505714593,15.330560109684786,58.752721016790645,75.56958822366849,2.322745485163463,11.843724553958038,20.904709366471167,100,28.3796040853968,21.517006342317277,18.771896582413934,40.279377028599704,28.1386713133557,18.45068072104901,13.938896521954616,59.501657441864026,30.5494658384015,20.104614502665292,16.782180473214655,64.6615450727364,29.745246428224853,19.67041051852929,16.26970287401234,63.82663390484525,25.90157336819298,16.712770862148457,15.214821095486498,57.14409984435473,74.39883751663363,2.8815122176118027,13.141717670575588,22.4831825762231,100,30.280446564178586,21.39616584824582,18.666472750604395,40.053166200588095,27.339508176221358,18.34706085224312,13.585409273501089,57.9477031981567,30.19899627794934,19.484240687679087,15.589077946974724,62.38000689762662,29.722183334991275,18.919855609420267,15.652149322346895,62.487837586402215,25.454707523796927,17.466762927367537,14.61037109911973,57.099913843351985,73.00463749822445,2.292263610315187,13.230253731364126,22.35691599212741,100,30.285035629453677,22.384889340820383,19.18704800641747,41.571937347237856,28.829539415530537,19.011651536320805,13.850242030511403,60.47101956342501,31.790400984142927,19.96168208310167,16.72224209065169,65.38811028962363,30.470763920825412,19.766409711512157,16.46725014710457,64.75135189327305,26.376760468542525,17.635679815816502,15.139606631807554,58.62040769577691,75.64910477102234,2.3752969121140137,12.81890329270956,23.166756773314916,100,29.662305143521106,22.306314616554506,19.30397230422214,41.60708650132668,29.170882102362764,19.12750698241381,14.755752222760742,62.102462619012826,32.15664151224252,21.1227978607524,16.82414606324378,67.28067050563887,30.836391206987543,19.886864592057872,16.56760021969416,65.6453603699485,26.85172070049495,17.743150203032013,15.682166027490362,59.74728155992724,75.9904212510197,2.154111169473048,14.201056666274,22.7028318795555,C
Read 6,100,35.990710037625085,28.846434138218427,26.36738477921033,55.193888057713195,37.66769254172904,26.176774679141978,20.530061259130488,82.22181618856203,41.424388995997205,29.19156825994968,23.129890190338322,89.63290762953433,39.537886001064145,27.376802601446556,23.111841112138716,87.42208563800155,34.535096238691395,23.39895573701023,20.530061259130488,77.56252613481135,95.92980248199078,3.6543029417138686,16.46972079053531,26.509442953676064,100,37.04184481714257,28.822129264641912,25.11041714256635,53.9325379933387,37.11834376681365,25.013402933831117,19.392023072144415,79.58961507130118,39.54966265122217,27.791409867542544,23.145408952435076,87.41257539746744,38.961262168495495,26.58412506343788,21.922570511137774,85.18687246801304,32.62094154121972,22.506301764494058,19.329231683096765,73.42989220167556,92.7259632697155,2.5462973755367213,15.540760264342877,25.982840636769556,100,37.19015270881715,28.57927798370547,26.055722897676514,54.61341796260986,37.201882768313645,25.955056495936113,20.122054393776754,81.2758028366416,41.61918619326568,29.31780443993501,23.816064986421228,91.65079933796196,40.34156540250198,28.410847876217744,22.74786672001106,89.39020545479354,35.31257948890388,23.92573278816571,19.70576656677159,77.98834736942288,96.22125572587083,7.531301025967818,15.962641280369041,28.02428771602055,100,36.830673340258755,28.409876204535507,26.120156173272886,54.512681800592354,37.60942062846327,25.93168423410328,20.342486758464457,82.00318574404538,41.423575785175764,29.638974079658542,23.362577914539578,91.50708506380022,41.423575785175764,27.45196308196928,23.324372528526713,90.36945409326329,34.95468037269194,23.45781914887944,20.42998172894885,78.15533605137625,98.21512890735669,6.677748429375272,16.137508254448072,29.27566342430824,100,37.639624831766184,27.577063949299866,26.030925938858793,53.59043461133571,36.8132885038637,26.161899977971718,19.911868393915707,80.99324385197022,41.18445074865125,29.01156373909265,22.661583790222338,89.8937954577081,39.920175414474365,27.700728533502858,22.5102526564724,87.93814748770772,35.68175090704156,23.67581526135274,20.294415233962056,78.48025615378488,94.28729894620076,5.622816167774283,15.795902653572805,26.823106172207257,100,37.4354565992504,28.322003862736715,24.754825811963336,53.06930105603313,37.19762494096516,24.754825811963336,19.803860649570666,79.99057362933237,39.788700943977936,28.00688831796969,22.74398616687134,87.22405086092185,38.493006188210565,25.544624417486073,22.217607747714574,84.58714224702744,32.73787591204349,22.255619080463735,20.18433244469996,74.21324288171577,94.73538664935847,2.055776388250243,19.19703320568272,25.643698962915057,C
Read 7,100,9.064689567848001,7.713858812753541,6.383216971529905,14.094016904555794,11.496276626250618,7.5560881681028045,5.786547054268263,23.977756897598752,13.638152659321909,7.97051014272417,5.709322825388483,26.215544178785162,12.270288374744442,7.9139817450672165,6.149900273380455,25.70217180731168,9.308129745161278,6.478061544627605,5.522278674504713,21.22683918484085,24.39107133299339,0.17462978485610506,3.4422695915927446,7.592324315768077,100,9.04506620919853,7.774662248721374,6.336754931099585,14.108964785281277,11.425954361007031,7.6236835611198925,5.8657792505116575,24.03107639799388,13.61671085048503,8.026087695015587,5.7313495710418225,26.20132997230692,12.115915881498553,7.951408866596345,6.1605778811064935,25.593531737328508,9.302768431961184,6.3647485476601915,5.368196787381577,20.95489443590124,24.968205522700917,0.21082013012506878,3.351259729491501,7.74381903517886,100,8.947964287513571,7.961667696271648,6.6870129281447825,14.646264784776696,11.504339499036492,7.983068868854806,6.233924186542322,25.09045167600631,13.427605992373504,8.578857612660435,6.433711593472308,27.544302743876433,12.058279585692627,8.399860968350955,6.67424331828439,26.55867787257808,9.654940255234125,6.630428261997791,5.75448658825303,21.977141755730663,26.004155891532616,0.42157693731349233,3.823588942836114,7.75632826241001,100,9.523694028107007,8.051255496634141,6.7082613850555255,14.7501813658234,11.355611975052577,7.923420263722191,6.4176772927689205,25.08741070937333,12.989780329807116,8.51616598658823,6.742641088840251,27.468887982279558,11.678280162338439,7.946498575182263,6.630046047043637,25.708870971844604,9.293472351983583,6.423151283957952,5.566933434926068,21.23090456092053,26.336667765517387,0.49037514435244506,5.153158464807526,8.173472297569448,100,10.039694103700356,8.416010963814612,7.30481689531282,15.710378048199066,11.477453481403723,8.238497384547824,6.78327972829331,25.98548429651709,12.551300504715742,8.581646896930192,6.904451757803467,27.33113599368038,11.088460470932963,7.897239142851173,6.885508642705681,25.262973188642107,8.928559616989272,6.356643499854365,5.771328799592183,20.983736979890416,27.6936716205774,2.057547191339235,5.865044417721244,8.56205600293356,100,10.206222701404412,8.676316656837033,7.542658747622448,16.20481003028291,11.723230184329307,8.35990681933113,7.04147352778133,26.613179747033527,13.042551455683316,8.9209284019248,7.309210375162177,28.536387910456703,11.572526491538568,8.177147336127645,7.1816023617204,26.331217001867955,9.48233191594074,6.604259526168482,5.957461719712814,21.98106744597961,28.407951743255783,1.2530074928849448,6.161505002105754,8.690128657537914,C
Read 8,100,15.274399734524206,12.636285063651517,11.000731987677566,23.634461657100356,16.252933200816482,11.46105837349091,9.340728707864141,36.3883946212783,17.896686233116476,12.374164951788723,10.321376205793653,39.671905792869886,16.699103360532636,10.977702966583571,9.458678348611501,36.49157553147085,14.381209876417186,9.504434114240272,8.229617177090693,32.044740438993166,40.369299273488295,0.9052445771576082,8.861393316771668,10.309693829434424,100,15.837432974056115,12.791800994274471,11.33038682839616,24.106313311496564,16.26926768792246,11.626765756743838,9.779640122847795,36.639394782490484,18.044152396285853,12.397327992491155,10.744170371901173,40.086197641211164,15.866587610466961,10.711860603357433,9.603463699379372,35.49287756431466,12.827879476750054,9.089767083503931,8.494012486026516,30.27779566990778,41.342095856545555,1.826969979969135,11.576972098569698,12.314207189360882,100,16.252100813012916,13.191700157193859,11.791477040600371,24.977164881328658,16.613852520833138,12.415901877048423,10.282684804774824,38.337026747830286,18.9356641502993,13.125092047204452,11.450446321748046,42.425347957303686,17.37986557033342,11.982751755953142,10.5966019372615,39.13355587939457,14.764693525177885,9.786472064398312,9.02197749320045,33.40803375951795,41.46568737600623,1.3711069918780088,8.78949039143273,11.490312599756813,100,15.851407771277438,12.690944546763035,11.200086608812855,23.888921796593767,16.36809316387619,11.4412948343375,9.45603539250004,36.401988242267066,18.060127533570697,12.39011193389902,10.424722033676757,39.96751960747125,16.249862719151487,10.90974481827317,9.49143244019746,35.97140357775109,14.336694964939873,9.571848449114714,8.545919670826937,32.38195704015178,40.2586240859,0.7891630962179101,9.935309517096579,9.760181403387902,100,14.857135379033476,12.152103923872717,11.485443351297578,23.636847413783638,16.02533141210399,11.556939877506778,9.334016292806501,35.94449850833323,18.102468460929867,12.254820253657218,10.27405486031756,38.96634705008115,16.411770021298416,11.061870191198876,9.531449550066373,35.87934306755899,13.794653102378444,10.043728850224825,8.699839770236103,32.31366795623484,39.71256114828372,0.7725945269403712,9.445896265635259,10.128947025710332,100,15.654698847757642,12.342345490881309,11.15777847073954,23.497102368448257,15.70018915727011,11.080812611447131,9.365902462911246,35.18684065005859,17.042625784107248,12.066727190553614,10.338311150044841,38.35811125952315,15.172733787835016,10.135112664309595,9.315000442192614,33.85747401744005,12.654281370799712,8.863845540599346,8.338719839026771,29.71934516750547,40.11721555169042,0.48756940703820334,10.832383403897929,10.444688121397483,C
Read 9,100,16.682720019048837,13.031609466870929,12.221588426744706,25.252598038295215,17.363184280795853,10.944499972390183,8.451216960952273,36.17330058499137,19.677787155176137,12.020547776878235,9.886742053522795,40.18405820545211,18.692057142731397,11.444251518381936,9.633554411056357,38.83409934709739,15.252252742045114,10.369633531554731,9.00374439973535,34.45898109463445,40.47002088528852,1.667345955759754,8.410507586658394,11.77535187081456,100,18.86554638825523,14.40708647761486,12.80772624723507,27.21284825131862,19.230845253576373,12.42041238670805,9.577625704696384,40.543236481307886,21.09442769597677,13.93061765396706,11.23636276798014,44.83793932789753,20.40954551506267,12.959411048786263,10.996640330659725,43.559050612541206,17.210916418939405,11.93410053803736,10.528950260523175,39.51354910002467,47.75872684974381,1.0882962925558075,9.782566978435149,11.864426294744998,100,21.01639186600636,16.423804782839987,14.783380211870496,31.20397550308045,21.407269511527996,14.963480241067886,11.874065712995645,47.23233782275441,23.976209951119174,16.30167369575841,13.099893529229094,51.84567859030805,23.18645909469756,15.303443092735245,12.674276106439244,50.10403676102404,19.492330534315176,13.031554281759202,11.324208467833664,43.52076728201506,53.44483272546396,1.4580660212294414,9.983228023226227,15.846702635242652,100,21.396707907341067,16.920533032121657,14.863191773753785,31.77723440732144,21.660195985406702,15.009719086005997,12.43148684505076,48.370920734398716,23.53590426518026,16.35134122373116,13.777787759717985,52.665211406074775,21.239569614967856,15.125328386490514,12.715671819106129,48.50094412852532,18.195028101170923,12.9764441066964,11.853985303994223,42.793415814682135,55.06006850414582,2.9888218064438994,13.181348001195492,14.510414363008373,100,21.681802347064767,17.387601178481034,14.859638748767535,32.22864578839787,22.120068754343812,15.180643991968612,12.567824565118682,49.13597033668671,23.37991112414816,16.248821041442092,14.047282942142068,52.54737762227029,20.441799290607868,14.233556880194294,12.453634126680637,46.532036999932586,16.270786338447362,11.775569530411781,11.120417179183887,38.920026318219826,55.97419770070831,3.0764447920238456,15.529536198154885,17.346471372377927,100,21.6244776846654,17.363621843064795,15.081136514447726,32.44372759733331,21.718931082095303,15.814353295431415,12.158800971675436,48.6211724769122,24.832180084156086,16.591991964137137,14.214721201602437,53.966872961024706,23.789984963154968,15.98600470531459,13.904120856145394,52.61825603663407,21.434322259081696,14.304042590793719,12.91001662486137,48.41491127034844,54.73434587249495,2.1750324398045415,10.32589899778228,14.590561166010524,C
Read 10,100,30.026199849346064,22.797181638500998,20.49118973564658,43.28756682495934,29.840932854534046,19.606028785485247,16.23756485234852,64.88435845091432,32.200742278935124,21.24292081075569,18.63650681968796,70.34676582667555,31.41366005022225,20.49118973564658,17.185698629220607,68.09667734279144,26.553651013444615,18.71286887930045,16.737298747262447,61.55342009834111,75.28417711202408,1.7801608084712786,15.240921381086332,21.198120224907374,100,30.350016803269163,23.800516203447053,20.70965695269379,44.51001439646036,29.646152557297963,20.812947653065407,16.56772556215503,66.20366131660207,32.6540388364202,22.953752099584243,18.779761888882035,72.84475066048336,31.77327211014205,22.171463602089354,18.523280294769783,71.70815768772248,28.53473256375467,19.51210540087654,17.13547833449316,64.98396610559884,77.44798308968132,2.0709656952693787,13.260650638271331,20.06231958250773,100,29.36072018760908,22.36773119389446,20.027433828870628,42.394538148971954,28.97595573120524,19.509075887169416,15.357225823117844,62.9355579724347,32.96719561197382,21.94191987871025,17.900364828010282,70.73297666310383,31.71491193625242,21.041312662632425,17.346610763412478,68.79318443307865,27.848184830282783,18.55182338138435,16.65782452120029,62.575293813973374,74.85544258487815,3.3257011890978725,14.30438168480517,22.360458317358873,100,29.174355740966277,22.419994836897114,19.795125187387903,42.20161902211723,30.042183691014042,19.738254199226972,15.259747257394453,64.12350438048875,33.104181051879245,22.355435447226995,17.577854824903167,71.07922740771048,32.65974391436419,21.386185620984076,17.23650476140045,70.02304079092042,28.336639274582026,18.83907071532407,16.552090525939622,63.33730154014625,73.85161012202825,3.2059247659350407,12.583509952493348,21.602854692599504,100,29.045518270130856,22.10924992438661,19.100215157475063,41.20942023322144,28.845890349441547,19.034691070168673,15.048244584850234,62.045501903466494,31.520904604490195,21.76755389722288,18.057893501820278,69.30985747690157,31.421657177377963,20.617969871677992,17.75261853715821,68.62372767987004,27.612182031041467,18.577958015530836,15.984295138965061,61.66931973010104,73.42599059752683,3.749066077515995,13.047132990475328,21.91057484369604,100,30.137101040604353,22.030694023644518,19.699898521839437,41.72942388374002,29.26639276944618,19.509075887169416,15.357225823117844,62.9148792933904,33.085393286427134,21.94191987871025,17.318458279460415,69.58540939475257,32.16811418970757,21.226024144103565,17.60719676088876,69.30434970936716,28.64285525463918,18.959413835161875,16.65782452120029,63.7674093851534,74.36493931674725,3.071445164623569,12.192755561758936,22.24376889294473,C
