,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,6.577729506,6.29503854,6.096009706,12.19234885,9.323016782,5.38233532,4.812020774,19.51073313,6.706682778,5.969004247,4.48721305,3.828902169,6.344136723,5.897074691,4.223458434,4.217510401,4.760621149,3.891592075,3.206622388,3.603551143,21.97093072,24.06185667,2.907728732,3.354164763,100,6.605984245,6.365206512,5.989554828,12.16059424,8.990433584,5.423550687,4.724231967,19.13562763,6.673078508,5.28837096,4.259931756,2.899105434,5.954288865,5.391963889,4.001480581,3.75136278,4.524859748,3.470491258,2.939993765,2.981623487,21.4382288,22.88083171,3.15034385,3.264421534,100,6.179879917,6.363053423,6.111307698,12.29813525,9.007830329,5.408138382,4.743546842,19.15553894,6.830647894,5.005199809,4.272546072,2.476864761,6.42641939,5.30793348,4.199607926,3.354194139,4.95250239,3.589938898,3.200890635,2.742384482,21.57440795,22.44927975,3.442724673,3.628950441,100,6.63247133,6.428623128,5.72191811,11.96081258,8.573678513,5.453195353,4.785074189,18.81045239,6.82294565,5.076465535,4.372559806,2.735256892,6.275001104,5.192623752,4.209907239,3.502701496,4.974028218,3.429448178,3.113528233,2.568938902,21.35035807,22.15289454,3.534395676,3.81510508,100,6.62209308,6.488100739,5.975075029,12.25404436,8.765223424,5.392847617,4.709894479,18.86618431,6.916495931,4.913840242,4.161607143,2.24430048,6.504760746,5.308632377,4.143563236,3.355613646,4.93581676,3.555582116,3.183087698,2.842137865,21.30776936,21.87663812,3.613645755,3.72426704,100,6.524995034,6.482927042,6.012949954,12.28816086,8.777826691,5.326214761,4.698354375,18.79918517,7.017801978,4.993240721,4.243898212,2.339267326,6.596755772,5.412171973,4.282647231,3.502568955,5.168809084,3.617704043,3.231494303,2.890122033,21.04236876,21.8945783,3.759617341,3.597957697,D
Read 2,100,10.46851403,9.35014284,8.426865405,17.39091243,14.31911643,8.621575613,7.20029315,30.1372459,10.53491525,7.815889086,6.35872796,5.508912603,8.489549938,8.402209374,5.88521985,8.224746245,6.148616056,6.337848363,4.465432249,9.211044105,33.99110746,34.63587639,6.625916206,4.783223879,100,11.34062037,10.22686944,9.170111142,19.0136437,14.30613577,8.798130267,7.476345456,30.57977441,11.09595572,7.502924522,6.421614632,4.204138575,8.310859796,8.610317259,6.127425004,8.238688338,6.222187139,6.336506273,4.673018472,8.449071687,33.25505058,34.58145312,7.724764822,5.077623221,100,10.98954879,9.924132244,9.134264614,18.62043539,14.93075752,8.857167956,7.510753997,31.29437555,11.37220172,8.280339163,6.647232478,4.694464676,9.297607875,9.137600113,6.187580052,7.931471938,7.472518662,6.404413978,4.842720411,7.751938563,34.48882477,36.0522751,6.494188823,4.998777346,100,11.10965474,10.20933028,9.343457899,19.1156626,14.71900155,8.671712104,7.352953174,30.74120548,11.59700315,7.963042931,6.801697451,3.337409487,9.477810987,8.357042802,6.107723055,5.899124352,6.807006439,5.753418953,4.662053283,5.972156183,33.74973949,35.70652999,5.775352734,5.205109723,100,11.37385617,10.34541759,9.471422043,19.37170554,14.80474463,8.655666692,7.340293831,30.79496205,11.56639878,8.211632592,6.664069295,3.533094974,9.444772314,8.387344915,6.097886675,6.132235709,7.019322931,5.807534551,4.654545129,6.097886675,33.42356972,36.00414737,5.681121055,5.167775635,100,11.06320689,10.27688485,9.343047438,19.20963022,14.61223701,8.49684052,7.188096933,30.28619326,11.71350385,7.844440629,6.556531476,3.095464484,9.170742694,8.427471676,5.957629667,6.331090115,6.882150654,5.861305967,4.626565853,6.336706934,33.17961465,34.82184703,6.253821349,5.165488561,D
Read 3,100,14.59926884,13.29485698,12.1708124,25.00476086,18.92466155,10.21527928,8.866606758,38.00257598,15.07033363,8.98891056,7.698370512,2.207158491,12.84239533,8.536489193,7.117872258,4.842584751,9.254105293,5.09611554,4.673112079,6.480440468,39.93045279,41.85060226,6.57054029,5.607734494,100,15.79801312,14.55325327,13.79066423,27.81938797,21.39631904,11.65243175,10.52064931,43.55684798,14.56583443,13.27460939,8.987802268,7.777779519,11.55574577,12.19960866,7.682997248,9.141882886,9.263796628,7.754192567,5.961219036,7.562849153,47.62873751,53.90982718,6.127892601,6.264618518,100,14.73135984,14.30960868,13.65690418,27.52250465,21.74295942,12.05690227,11.14374511,44.93687134,15.01906852,12.62030499,9.353403574,7.080056799,12.17788409,12.28998252,8.23202924,9.063244964,9.143762549,8.884070117,7.01968572,8.151207922,49.75894757,54.30506584,7.238585181,8.174381267,100,15.73770782,15.29595658,13.76957591,28.56790154,21.78903076,12.72318268,11.07812272,45.58480828,17.5564362,10.38518826,9.007887539,2.70834992,14.17686018,10.5997361,8.734166051,7.026607297,10.63071213,7.253330108,6.687239939,7.260301114,49.20321815,50.22132888,8.760190771,8.046847268,100,15.92107313,15.27419534,13.75438327,28.44572793,21.54480366,12.36045211,10.75804437,44.66213842,17.35252681,9.382863609,8.69903579,2.109826083,14.23502992,8.862385787,7.821863847,5.206138068,10.95395117,5.346743147,4.997710454,8.095307338,47.13204347,47.96420456,8.086137646,6.041622465,100,15.25967671,15.15517951,13.91138658,28.70480401,21.17859673,12.38551788,11.00102068,44.56255242,16.49212382,11.40005844,8.958306031,4.286532081,13.37819764,10.65242091,7.783682844,6.792240787,11.00102068,5.883308278,5.197621692,7.783682844,47.84347368,51.16831961,7.796432538,6.255590697,D
Read 4,100,19.96183388,20.62873232,17.93902552,38.37639588,29.20261781,18.29428824,16.09815524,63.57606842,21.67580701,14.95200163,12.45894628,5.722653341,15.30238896,14.72234974,10.74581364,10.31436616,14.09165919,11.31221719,9.542165071,8.022576103,72.26215038,73.02307244,13.84774666,12.5497782,100,19.48119525,20.10978188,18.51314113,38.44468126,29.13870277,17.98673572,15.82752278,62.93467854,21.73227668,15.02687947,13.01014358,6.43080651,15.7754108,14.34149345,9.875857792,8.608723017,13.37083425,10.96462815,9.214466881,7.86447205,72.20716802,72.93964012,11.89326156,12.49354653,100,18.65836958,20.5076931,17.81071014,38.21382987,29.30127386,17.81071014,15.69166994,62.76667975,21.53787654,15.7088412,11.9909578,6.485101976,14.80774054,15.43180831,9.526965005,10.24507883,13.80262896,11.41505174,9.924283458,8.143705576,72.80619865,72.91473582,12.32358984,12.71833135,100,19.51219947,20.52539501,18.3412172,38.74195084,31.63371298,19.13328574,16.45907473,67.20763291,22.08575016,16.48310259,13.09069303,7.575349807,16.07589947,16.62058869,11.25365715,11.81968884,14.04595499,12.6603643,9.846950009,8.7736134,78.77560008,78.43575009,13.84016832,13.35260767,100,19.85763886,20.48848691,17.91938677,38.16408256,29.71050987,18.05780205,15.89005798,63.6312854,21.4773455,16.03448976,12.2151279,6.871376423,14.90792781,14.80862328,9.506525068,9.603040487,12.9480897,11.00794985,8.967409499,7.918870051,75.44959248,74.47527832,12.48395263,12.98365167,100,19.60280984,20.37853899,18.15635084,38.35303037,31.40737867,18.55485517,16.3413126,66.28535915,22.52018158,15.61493643,12.21563173,5.31825571,15.10699706,14.52776628,9.776496609,9.285308737,12.49194914,11.17313898,9.358546109,8.575429661,77.65381831,75.4135152,14.08463803,15.04229871,D
Read 5,100,23.59621159,23.32975629,20.60071286,43.29913894,37.17063171,21.90708535,18.23322787,77.30472277,23.07616445,18.35384591,14.60472356,10.00146907,20.0488481,18.03040479,13.68164242,12.9781289,17.62818903,13.02056431,10.74593399,11.14904567,91.09551875,91.19033954,12.9781289,13.06286187,100,26.39678652,23.29093485,19.46258111,41.98832993,36.16580923,21.06899547,18.60260591,75.8089141,23.99837944,20.61157593,15.10187526,12.14445914,18.00315602,18.60260591,11.95037416,14.44442461,15.77754026,13.41131157,10.47456918,12.65220603,90.55764073,91.53158737,12.14445914,14.21852047,100,25.24518896,23.32975629,20.19505859,42.81657516,37.17063171,21.90708535,18.20294848,77.25475587,24.32525303,20.84031568,15.20914033,11.77470457,19.44356524,19.75318069,12.66259128,14.31221798,17.02324906,14.1051587,10.74593399,11.96063246,90.32522683,93.40765191,12.61895212,14.1051587,100,24.19744635,23.14402573,20.24047384,42.80943695,37.25422214,21.95635066,18.8513492,78.03441972,23.77391019,20.28605029,15.3038088,11.94121601,19.48729051,18.8513492,13.27437529,14.24101928,16.42163263,13.34376612,10.77009977,11.69111047,92.25632267,94.0743267,12.30684783,14.44704835,100,24.80116101,23.50320548,20.69105586,43.75691328,36.12151298,21.96096525,18.89153663,76.94056501,24.37111588,21.6290424,15.27583896,12.90633457,19.49080278,19.46223085,13.14839392,15.12942179,16.54656804,14.73186335,11.37869515,14.20624167,90.72134185,93.4190258,12.84871672,14.20624167,100,23.57878334,22.27411308,19.48625879,41.31492663,36.15450876,21.62124954,17.95547043,75.65010921,23.37278452,20.48987643,15.07023978,12.33871686,17.96544293,19.12442579,12.49737432,15.32948106,16.17100322,13.95966458,10.78989489,12.85067665,90.84829285,92.18890233,12.33871686,13.38321749,D
Read 6,100,7.167731076,6.920999341,6.858388184,13.62606204,11.43202713,6.682107835,5.80060274,23.91146205,6.762587457,6.983821272,4.760775963,4.986480062,5.744869831,6.515686014,4.102521859,5.012365352,4.538105732,4.130030961,2.997817589,3.452569741,29.68899058,30.07550691,3.508855526,3.583865538,100,7.529681184,7.262875593,6.830604696,13.88184231,11.42727807,6.393933125,5.614980192,23.43233808,6.88914186,7.458235626,4.800182647,5.399713044,5.852757419,7.135381582,4.207032937,5.66515732,4.596691717,4.81132367,3.293308009,4.398135949,28.29404069,29.89249255,3.872871002,3.595320302,100,7.293175437,7.026748469,6.518183939,13.35888663,11.71837725,6.7100664,5.720843726,24.14695813,7.32096517,7.135115323,4.91095334,4.746790568,6.207013925,7.077139919,4.473620079,5.553198953,4.890634539,5.036961108,3.643775594,4.673835201,29.90782951,30.03928454,3.844546393,3.865312818,100,7.492411834,7.029043515,6.778383005,13.55765654,11.95938414,6.802385748,5.864164405,24.62419586,7.751137892,7.182245363,5.141225773,4.713667861,6.493346462,7.270791216,4.740909802,5.842506955,4.988670782,5.241230335,3.840494022,5.194568709,30.56590466,30.22317411,4.353258425,3.857223724,100,7.425253426,6.98709329,6.629777454,13.36826372,12.14382896,6.991792865,5.98704795,25.11846493,7.305116966,7.25463803,5.193046204,5.19186008,6.126024261,7.407537318,4.757728012,6.317730357,4.857227279,5.275412169,3.874437933,5.444703234,31.20337801,31.37482409,4.038916708,3.627036017,100,7.476719158,6.913657878,6.788608006,13.43607161,12.27134538,7.095787161,6.018245756,25.38250856,7.045618893,7.456716009,5.503313159,5.945769639,5.398659796,7.566901389,4.752933505,7.11243128,4.309792327,5.344594602,3.916404327,5.888273818,31.59771877,32.23686432,4.115279119,3.658431923,D
Read 7,100,7.6916307,6.801429241,6.660010383,13.19528178,12.95253283,7.395764409,6.491452942,26.83541405,7.580535287,7.495122796,5.261362902,5.628159367,6.192471822,7.923812205,4.97474809,7.587526406,5.077227409,5.759853368,4.04608729,6.898734354,33.12131993,32.98137286,5.130652551,4.022304977,100,8.46537484,6.659178188,7.106564653,13.22991171,13.12145754,7.045888498,5.999357876,26.16111081,6.756689647,7.650725568,5.165325588,6.364004736,4.671560073,7.700980767,4.563318299,8.414103993,3.735524368,5.62062035,3.612265881,7.656423128,33.78344823,33.18933477,5.088778628,3.230908825,100,10.04495208,7.980675341,8.101891252,15.45366473,16.70159542,9.267908218,7.671390397,33.63057543,9.952044259,8.652433811,6.575822637,6.736999404,7.456908671,9.082531327,6.040718754,9.417055745,5.247958706,6.963331429,4.810921554,9.872849014,42.69472387,39.83331215,6.954871084,5.176417958,100,10.65108306,8.934625102,8.483200551,16.9459076,16.69353479,9.808531723,8.291483404,34.78727095,10.74978001,9.169469969,6.851667254,6.356440694,8.521666044,9.773737247,6.275532338,9.015854088,5.98203585,7.494724,4.959526939,9.717105796,42.72570326,41.07783749,7.146632361,5.865868755,100,10.36766406,9.077851051,8.851299732,17.48480383,16.50997478,9.51685667,8.143563796,34.16666795,10.20665777,9.391021041,6.543239199,6.466447444,8.487390747,9.844780434,6.347448079,9.080022872,6.618147072,7.131539344,5.133825539,8.870585248,41.5993076,41.29435962,6.375344542,5.025133456,100,10.677958,9.220973987,8.953683619,17.68886587,16.25424827,9.32338982,7.85036846,33.41801842,9.891560916,9.741520562,6.130596206,6.729377049,7.742653814,9.912437469,5.433428465,9.001893619,5.788047811,7.07017586,4.224036777,8.846258752,40.57512596,40.81672513,6.621963315,5.18397047,D
Read 8,100,10.60653709,8.995158808,8.644679132,17.12969464,16.43945349,9.545911059,8.163687538,34.13906497,10.12480457,9.195592179,6.425113435,6.67222586,7.960505521,9.818784269,5.967820234,9.346629982,5.500137286,7.778368745,4.995417232,10.64941958,41.55295267,40.60411425,7.006379244,5.907751176,100,9.192320759,8.750352116,9.050206,17.24835614,15.23383622,8.236378354,7.328443606,30.78903242,9.018555678,8.940716551,5.664710178,5.949214169,7.781771179,9.0747466,5.714964875,7.901697251,5.881540126,6.813524784,4.590280944,8.318517717,37.38572748,37.75426364,5.196685939,4.466803318,100,11.08842172,10.75549651,10.77542674,21.04019648,17.66068384,9.824895405,8.587213674,36.06955357,12.2183175,9.845562498,6.92771709,5.657122744,9.797271465,9.751057662,6.524787228,8.427931587,6.79606201,7.605284519,5.31331646,10.22368245,41.55217303,42.2079372,6.483117059,5.773695229,100,12.91380165,11.34091425,10.61450275,21.45263878,18.71298873,11.0372111,9.410814676,39.15361073,14.82285589,9.343168032,7.54572399,5.443518983,11.42979113,10.81745373,7.228834629,9.283166159,7.243444675,8.73325074,5.716877265,12.05112157,44.51439425,42.47081478,10.15195653,8.53205722,100,12.85833144,12.13883507,11.34558657,23.17220136,20.1159877,12.1550251,10.41558078,42.68187952,15.32704344,10.96250892,8.238038314,5.825172756,11.73748926,11.08092075,7.355211534,9.232702228,7.773543904,9.080407839,6.431945901,11.64574093,48.89729902,48.28728679,8.959502111,10.06998484,100,13.0619136,11.6520476,11.26119385,22.45705567,19.89738882,12.22778201,10.29390286,42.40450406,14.59977013,11.56767687,7.935360866,6.348288693,10.74127299,11.81306101,7.122204345,10.455756,7.866731823,9.374330187,6.092395951,12.35019098,49.31039173,48.90004053,9.172505254,8.828522376,D
Read 9,100,14.87977324,13.13052235,12.53483422,24.97028019,20.88502156,11.57406572,10.38058938,42.82876895,14.64582449,12.17137417,7.942813529,7.172006424,12.17893873,12.82716235,7.752099514,11.08634451,8.808744958,9.892215083,6.469877009,12.63910242,47.63851834,49.96452904,8.347060231,8.193941241,100,16.94008703,14.75911871,14.22991206,28.39090131,22.895206,12.58541949,11.15599465,46.60693019,17.7124423,12.46612372,8.508181641,5.515136213,14.87565167,13.45261637,8.765772267,10.57534508,12.44746384,10.15241501,7.477898221,11.53933263,50.2518905,51.93451015,9.295273063,7.938831976,100,16.5464617,15.54536181,15.043257,30.09760943,24.5408572,14.64336463,12.44976562,51.6321921,19.46210577,12.33300438,9.265281843,4.392164823,15.40873352,12.16033683,8.553235165,8.391219111,11.63652722,9.017730092,7.165475288,9.136255083,55.92237314,56.17455577,10.29693733,10.80329702,100,16.2974191,15.36535408,14.07951253,29.04734943,24.47923107,14.52243565,12.48344928,51.474076,18.43998635,12.48344928,9.137652653,6.02908407,14.05648796,12.64386732,8.119950608,10.30739286,11.39840946,10.5694286,7.588407493,12.57536731,56.09072919,56.38447198,10.47708754,10.4357848,100,17.20829309,15.81322891,14.75598959,30.00181293,24.26066213,13.94337613,12.52661984,50.72894395,17.60526893,13.74842699,9.662191455,7.143791461,13.58515698,13.34190085,8.424499487,10.44957052,10.86494606,9.481714403,6.840098078,10.44957052,55.80446972,59.07881052,9.30160482,8.522190419,100,16.69033506,15.11796822,14.52584638,29.09337473,24.23921927,14.08432137,12.60963699,50.92688234,19.43110219,12.11960963,9.230019711,5.742444472,15.25579181,12.68802158,8.777308803,10.60032911,11.43361686,10.78917574,8.202030325,14.20891786,56.71731286,54.53689671,10.35499901,11.59942253,D
Read 10,100,19.35459867,19.25540725,16.8913798,35.74173256,27.30148711,15.36262597,12.84211665,55.48356634,19.05547548,13.30892137,10.40150583,5.891298127,14.63245415,14.11624283,9.054350189,10.54435111,13.17334309,10.36693009,7.73565342,9.906469981,57.05536049,62.68648213,11.49987555,8.820001926,100,18.80238657,18.93225166,17.22860907,35.81211933,28.68290798,16.61635421,13.89014869,59.17511791,19.83514803,13.18160146,9.793266476,4.233380168,14.63618875,14.91102626,9.53979329,11.68980307,13.4341052,11.55124344,9.173171691,11.62374149,64.1609407,65.37797468,13.70240107,10.63623604,100,19.78447783,18.54285886,17.47864063,35.48480293,29.33010365,16.59054982,14.58344965,60.48104116,20.34447467,15.50128266,11.1206976,7.231043676,15.02494599,15.75503376,9.649851157,12.26981228,12.73963909,12.17970228,8.569608621,12.34142658,66.77809438,69.52694114,12.73963909,11.27156032,100,19.06889733,18.87635831,17.42128087,35.94560291,29.42628741,17.23683055,14.45615427,61.10601799,20.69199533,14.90712638,10.92384519,5.585916457,15.23534971,14.31330862,9.107847636,9.946589251,13.46962898,11.17183291,8.421907438,10.30730713,67.36170357,69.46197649,11.89119121,12.2505606,100,20.0312761,19.26382578,17.11590157,36.02901136,28.68806177,17.02888575,14.28175549,59.9849581,19.65696666,15.2086488,10.901627,7.272292258,14.28175549,14.87782545,9.448950219,11.56292156,11.79191254,11.03705613,8.048029685,11.11752176,66.18306731,68.99102204,12.58418016,10.70914935,100,19.06889733,18.63288692,17.24565863,35.43383491,29.0828996,17.2765214,14.84573782,61.18069845,20.32087491,15.33989018,10.56256739,6.712176394,15.6833265,15.54686239,9.49245089,11.59961669,13.34474983,12.75576055,9.49245089,13.0389942,68.84348748,69.92606246,12.4171586,12.68996252,D
