,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,7.754618090818519,6.756607811633764,6.070638289696639,12.771795065759905,9.801815909247292,6.331389088363022,5.7964769874494335,21.912691027522786,3.0225144973266413,4.940981277083321,1.091255787400435,5.21968291493397,1.6002657662435085,6.488029494532824,2.029476309642632,9.54521953381171,1.3088393399710185,5.171529635278579,2.2148100295390334,8.315356224271941,19.738536134525926,26.47661194912046,7.808390788695779,3.320159090745526,100,7.505649627671645,6.518661891853841,5.7467271226444145,12.226695994995724,9.415364640417323,6.109529912987504,5.601870702025612,21.097015775773656,3.3795133000566495,3.553230239404017,0.5737463699067086,4.012224364659793,3.1262083160551803,5.773211482298131,1.5291883806630715,9.729477753552404,2.965409355275517,4.772629159185597,1.5890528710030465,9.162104340988956,19.106701723533245,23.347421447581777,9.281707612823112,2.3812623906235215,100,7.678723654462191,6.5358343310485605,5.7492852081961106,12.211407845621967,9.534252315832239,6.201915098982205,5.759031037033348,21.468045184755297,3.5521520290121154,3.7017155179456123,0.5947514861469944,4.044747399427461,2.647617801094966,5.9816874301224665,1.7233781484648012,9.567562314362718,2.388055067955739,4.898505744848155,1.8721485011444656,8.855997660200202,19.450394147688264,23.99318478567254,9.299713133524447,2.468441492639977,100,7.962303547810144,6.799733027445618,6.074990281323194,12.824813954601353,9.91524032487173,6.287493407751598,5.815693098946269,21.99470661678962,3.45836912473569,5.428051600926956,1.3158554648809302,5.736721859716435,2.2126672901140174,6.740468816110042,1.718794815426092,9.794067004412328,2.338605282614213,5.438600905430716,1.8711395149273942,9.260636567115805,20.062819613122034,27.260371150316914,7.203922770924838,3.110812988151955,100,7.867255437456583,6.950255925735385,6.034528918445336,12.948410583461923,10.631685307198868,6.708930973122554,6.12402778249007,23.444640810761456,3.223656013600025,5.141654584339442,1.8588062269160293,5.275847031156232,1.493086293227155,6.85667650594188,2.646315990331328,10.280991687147582,1.6537849051154856,5.503777337595416,2.556238905934677,9.125132677606821,22.111710206410688,28.604251582392553,7.8206752592608355,3.3556492067015946,100,7.438901039107138,6.614343066746797,6.085117896550311,12.65884144985728,9.866540716203401,6.344441370833089,5.885991964884653,22.068311113610367,3.6015476786721243,4.6785634697448675,1.0665307727956832,4.913757544036697,3.2330467697474496,6.28546034961772,1.312999669318602,9.98945144946465,3.3331691898682716,5.0745186322321745,1.4845977866204119,9.604195540551489,20.92904838104311,26.02447948381422,8.197661213906393,3.033022647690614,K
Read 2,100,14.190150054254238,11.990857208422561,10.359679218906539,22.212601005207684,14.913581666562463,9.33732129016516,8.597296567363914,32.80790636733729,6.942056388771132,1.8905778521688295,2.2429833245256336,10.233928041372838,1.8066719918824745,9.058707392137507,5.1795141097445585,13.615826256943194,2.4636436252942833,7.928017265374142,4.606127870635142,13.73418408980206,23.010718678388592,24.828943291542462,24.871821563311883,4.610518144423485,100,13.780462632359056,11.515669382644107,9.642255551869978,21.030113036162764,13.742142945457543,8.886718610072654,8.070790791806422,30.65063447047998,6.166883480673208,1.8783186300902246,1.6043275324417448,8.115006133004606,2.8369071435200093,8.76079068155835,4.132240218406806,14.388861554141526,3.897703430091565,7.304837699818083,3.2668227322792873,13.800947268935769,21.519645500699735,24.965024266472955,22.92122858387986,3.9201872787351446,100,13.72243558385823,11.59708062866864,10.071455637441545,21.554073456080303,14.735583810459028,9.286683402138841,8.445011462525045,32.42610470849031,6.802248615700785,2.110262921906545,2.1228993397652265,9.526236939019345,1.9659088280870551,8.976209436512724,4.317634133402981,14.130071368601829,3.0354568421506323,7.409195124380206,3.77566152076104,13.741425887561995,23.781736525065647,25.332922914760758,24.22244993794116,3.979149925777749,100,13.420022439272126,11.656473513329656,10.039528464790605,21.593707134974515,14.786250915661553,9.372085729715776,8.531136548930082,32.64545356950811,6.85668877241838,2.296840176275378,1.638367059395716,8.831156428452111,1.8480005005108302,8.797990479702214,4.345428033745811,13.827728032649189,2.6613324374033582,7.355960821931696,3.873312111127839,13.403674374343115,24.58172332926351,26.116617260956918,23.04377874359153,4.636868519779771,100,14.051635090116735,11.97245939019191,10.257586383355086,22.09646314123647,14.827495411647082,9.471331138945873,8.740291464073946,33.00205084676639,6.672881403364252,2.2164838758667806,2.509396461852052,10.172558944881747,1.9212980548078566,9.27587569310083,4.436028137152789,14.18859617679876,2.56555400111198,7.502908754941574,3.7296855996230476,13.01628865187644,23.62596987114013,25.08585103380064,24.686668034315904,4.637937846550415,100,13.988265114588263,11.998285809708603,10.189757184931226,22.046899705954367,15.055324707961647,9.38119021960864,8.519862838324176,32.9204496861592,6.775412399484124,2.0108586366378445,2.1159607551363617,9.697993159659635,1.693594949583794,8.996722002250465,5.080784848751382,14.545306463678969,2.6449509439204526,7.594280133556272,4.362164846544464,14.052632081354346,23.371849765023203,25.635292452776092,24.579835226127724,4.200395288573521,K
Read 3,100,22.354145385678073,18.538649340154073,15.490518790169835,33.7935121128358,23.01268427827892,14.842735370536195,13.043165958933681,50.83739959866862,11.873450073777727,3.7547145917431903,1.8918918918918917,12.326220811882571,4.273348189416729,13.701396600688192,8.130599435941255,19.610897225591064,5.571764358942785,11.469781175093482,7.421367685268097,19.206311356151208,34.94438866955148,43.438747249436624,32.59531172175118,5.571764358942785,100,21.280437210222548,18.22672834098131,15.346931269066163,33.32995598880204,22.3286645717044,14.596683848202636,12.89789267825391,49.7965285905506,11.879306444444987,3.040062458603221,2.1986965074617575,11.315342047152617,3.3408783058636633,13.828878794709974,9.022223338588791,20.749314980235933,4.147806742062137,11.390486262255076,7.91404990249611,18.853667009373353,34.511996662086595,43.00950817529228,33.43537182771484,5.699922230751086,100,20.663427838692716,17.514829395910866,14.407170613249486,31.72417067006548,21.28275802716821,13.711340717545685,12.599621770208486,47.52295808290904,10.2992029771807,3.441528713566385,1.3043639398323916,10.187408038340264,3.590419740002609,13.509409522675632,6.27118114812814,21.281220644421442,4.61162293495343,10.713389742848626,5.679833037750568,19.535335201101798,33.864223613204054,41.50775954125978,32.32693782753326,5.025806483267293,100,21.613136434827563,18.13004764430457,15.200880393483194,33.15316269354251,22.469984967484557,14.519258128281122,13.092688022487714,50.05506301376933,11.450488341027926,2.9652141327407366,2.2660134585114786,13.755525771001128,4.34987918495073,13.505240213737185,8.81621542956884,20.172175435413248,4.890356428745729,11.255321667642455,7.960923495453458,19.143437138436372,34.32893342558169,40.5469586725609,35.12496089355428,5.870824458607253,100,21.649281310672936,17.946795653150538,15.111227546503711,32.81806246678972,22.297028729416173,14.59143421537438,12.93106889579916,49.76426979650968,11.956206391951378,3.2895678881968142,1.8377526909950115,12.161968833710128,4.007439622597465,14.198810483580948,8.302120399496925,20.199930755233755,4.644737729838312,11.578407493410316,7.572698924576507,18.578950919353247,34.614963977630886,41.8693636965146,33.94440485096888,5.7338749456134295,100,20.80651367065181,17.503981348740286,14.809674045535877,32.05718181808392,21.440247051920096,13.84986773805059,12.445770991749354,47.661806362290704,9.726637670715851,3.875868840598434,1.0653744413885067,8.954664453716159,3.6266941028961,13.564925710867097,6.081807858163778,20.685829885145534,4.658214613916939,10.901539035026994,5.450769517513497,19.005375104967097,34.2560934739186,43.33738269549997,30.64524653986827,5.719734275904667,K
Read 4,100,31.217305385459223,25.10780281765703,21.536872869972886,46.558100283745674,31.745476754453527,19.62603526661073,17.341918150781996,68.69112343313756,14.687567523927367,3.6073370254352386,2.2172002718959245,19.74355748621835,12.132194205935123,16.451988105805935,9.915621055380607,31.286702963624126,12.553901408828516,11.806032695257127,5.483996035268643,24.718960926137246,41.88241014975426,53.57296957725123,52.732418464750545,8.868801087583698,100,35.79896456607331,29.691872890120838,24.240532340280982,53.87419811423338,36.29261195136477,23.946798580302364,20.438993551654306,80.60523105024795,18.518562516452832,1.907790143084261,2.292878394571695,20.527837699928742,10.810810810810812,18.832550581826197,8.649583789338916,29.31492673225084,10.885369010253541,14.29075043195182,5.758591502790091,25.24570205568103,49.88708084567298,65.65804514665975,54.88927345510992,7.631160572337044,100,33.312519510927174,28.530324299691486,23.306060802240285,51.825276459894674,35.011994163246335,22.166393139281777,19.441212861919396,76.55540244490378,16.656259755463587,5.333335671234413,2.7915954775278276,9.770584171347396,9.987515605493133,19.09745136177073,8.827800014813327,30.169902555791694,11.253281134406958,15.097860951869944,5.755021508921901,26.957331937189995,50.93418761254768,73.06304563495397,44.33278627856355,6.894732220466455,100,35.1877130800004,28.78994706545487,23.97110812364216,52.705084014073336,35.80309428702704,22.27764228929072,20.163310765355327,78.17779696177715,19.32612522051363,6.178706274652512,1.4028029971767815,13.469830962097799,9.59664902181829,20.693127355672075,8.251534779150505,29.45886294071241,10.346563677836038,15.833663066654909,5.951589071835094,26.356275454956094,50.39168288086124,71.02672933234143,46.753553033592745,6.9008782936010045,100,37.435314624247,31.360490999883645,25.6913372683776,57.01499220208021,38.46473835244395,24.598352215265432,21.735546938865134,84.76488177471046,19.834116020168715,2.0219720967850647,3.0141780380127923,22.60633528509594,8.864963562691857,20.92629870763635,10.199330019829857,31.68473215216866,9.65007822556875,16.077186010482666,7.53544509503198,27.16943367358142,50.94317579213293,68.85269415176727,59.192348190218155,9.459910256533126,100,35.01386126080806,29.56905645769012,24.6198107919366,54.13138139074285,36.27182460061229,22.99815502264787,20.067540595872988,79.24209971809823,18.326627130577183,1.288659793814433,2.881530898839936,20.868730335955732,8.401034027323002,19.38351669650944,9.043601061609666,31.141871065965397,9.68640230565265,15.369665517882172,5.9404281296990264,26.44108831015876,50.37736883863886,64.85045175302132,56.42579048693668,9.020618556701033,K
Read 5,100,34.43780704651573,27.55743306658569,23.628881778112905,51.09890441020928,35.98451410034614,23.96496808822828,21.888525404057347,81.65253008344604,12.70747056952438,13.29337250107158,4.450182853545806,21.12710496929692,23.238832179602632,19.612676779755834,7.456802011972012,45.05466747823462,21.55540065496329,16.23413792785676,4.450182853545806,39.51555741899728,65.57271340988598,96.8794767089451,37.28401005986006,11.345784604643045,100,35.09907596124749,26.822676187634936,21.784929914143323,48.392488399095356,35.89991837716726,24.76528106805031,22.70510197719686,83.17358804763951,12.855744937077404,8.21417599656648,0.8707009142359599,15.769064237069948,21.81970237029459,19.56656948562841,7.179983675433453,43.22922625095833,19.874117911211712,15.502389042024255,4.3535045711797995,37.561435977575954,66.13315925732084,87.45236067559229,46.106059363948546,11.319111885067478,100,32.994215408806745,26.496019810098083,21.83370283000367,48.01449861851126,36.04385599549304,23.20939277660373,20.209103933527388,79.3328827711571,14.485756903274371,19.589859075151047,7.505472778383115,27.487353115984224,22.343755904496682,20.434330220501675,6.553872346988884,42.46565722540906,21.882025359411426,15.404514349824469,4.892969618901821,37.61170568266337,64.3241349223355,104.33687030205289,25.243952263978052,11.657668867542002,100,34.21975283689927,26.88714277991528,21.487508186072656,48.2458391906137,34.21975283689927,21.724248803313085,19.837165991352407,75.69776541766281,9.121612864140111,20.245520971395266,5.023340102649451,28.440292935374618,17.518542766204003,20.396546428653842,3.6932330952180856,39.155238553570726,18.18706379184511,16.72182404105755,1.6516640515319185,35.74049881638848,60.74217705321099,102.91139512517366,22.945650325294913,10.767532257333636,100,35.05253204484049,27.52389562000166,23.08490172353493,50.33585314851788,37.29353296150927,22.429990514948678,21.384611534762026,81.03413622453425,12.987334764433678,20.267503963173112,8.90203488140395,27.205075261841433,19.887284770959415,20.76363516692688,6.493667382216839,41.675816541098015,20.21362481434123,16.81708980501025,4.591716240735423,37.458872163180075,63.223481964244975,107.23538121515853,24.859105963699268,11.439638356922528,100,35.24224471562321,27.38952963227329,23.969416932367018,51.058681876556676,36.57722358872778,23.35074696544817,20.549939514867507,80.33553469804761,12.456343381436426,18.46781858578399,5.410689811221456,24.468046276114453,21.129419172261905,20.567739379196354,5.477905926454658,40.64324927784996,22.308845599119344,16.45597062338211,4.277525879031569,37.14311463100764,62.311088149987675,102.24986981312706,27.971225467143157,12.338271111177995,K
Read 6,100,10.605300254911338,8.303143492321365,6.453012821051845,14.741669888391357,12.68803345641825,8.820310958950035,7.682828202565498,29.184418626277864,3.8012534619182197,4.02044795740746,2.4540686211613836,8.623742668912435,5.3214545165269,5.816511031177605,2.997742236534237,13.56522595002447,6.829843810804388,5.7870855134942945,2.592270415639556,14.875108023946611,27.521258997506326,29.42327999733815,15.812562396062361,4.353579472106416,100,9.71629938789343,7.832337139639674,6.3383959599790956,14.155817320572906,12.476604417748725,8.684643483758625,7.47567372017143,28.626467898364265,3.538890809554314,4.342114663897275,2.92823485036802,9.647201524485723,6.0241858639005175,5.955129869485419,3.065062719917332,14.530950544291807,7.3181301407439765,5.697711354418704,2.4287046458210177,15.136396503604383,28.576292426636968,28.15877393170208,17.07439654930545,4.352043292707688,100,10.259035599828168,7.879169183176825,6.384468204082003,14.255456254290184,12.362418333042644,8.615363342592271,7.426322714242462,28.39032237383868,3.784114748197913,4.381663514249815,2.9078972321044625,10.012518817391795,6.488383818441745,5.797292736539242,2.971555545901421,14.603462158801328,7.739381762091379,5.5928324056973056,2.212083362014457,15.148588576246926,26.97765077059227,28.223823143994107,16.804914213496467,4.433556547235789,100,10.243810777942782,8.34811661663041,6.293761223491371,14.641832590716712,11.856755389007699,8.17081671993707,7.232531772066823,27.221210580071812,5.043386703353511,3.476293938523078,0.6891599085675997,8.225129844416433,7.412697151093367,5.738977730576086,2.621727901168565,14.172297933104637,8.079483526787177,5.45856896635015,1.9559950584840278,14.773021367466992,25.750291912166798,28.984912033939185,14.962689905431844,3.6367290440183737,100,9.956648132653598,8.130210468045238,6.717768038785541,14.83214021802821,12.099710137060196,8.311343709980417,7.225704689173363,27.609038934949535,5.572921480342824,2.8486364414267915,1.1864741941862764,9.203994910999475,7.005446652318618,5.808205576645702,2.927705046204746,14.269733020066363,7.89795430737061,5.370534371134809,2.0336104618837165,14.740532641785709,25.283007551953173,24.147656749019177,18.724084871369218,3.826264306093834,100,9.894741080124616,8.14606923859944,6.777358295794746,14.902134754707284,12.142798968360408,8.304773811962702,7.243786557877766,27.67245789374243,4.882270722801439,3.6032943642634394,2.378399754788616,10.533148770654195,7.227868072267768,5.8739961924936015,3.128991867082841,15.005264945485797,7.878518988069741,5.37392233553374,2.2766759946496182,15.028062998393171,25.479892233830785,24.168985928850624,19.51547988280393,3.4877855764931547,K
Read 7,100,9.672360100904232,7.782947420642992,6.167773273371251,13.946377413797395,11.833478921166009,8.131424326484998,7.162301793414058,27.116338604453937,4.589173073700284,3.2933558973054247,1.9968903275501606,9.612236314978695,6.891219268942503,5.2948740639928475,2.74247558626057,13.801342820186179,7.845752130044428,5.0402276244799005,2.033421837766056,14.473084362205878,26.3744248462578,25.00318197423128,17.940581375130815,3.713604834541002,100,9.92554063483325,7.865214821260832,6.265481739543553,14.126515862315,11.76613524173455,8.19238282527216,7.179852674688081,27.108125002189748,5.261375615160506,3.5837648802192166,2.0429830556927078,10.61981423847001,7.533897809938425,5.544205504394266,2.9001211952631665,14.197186224044872,8.105208788589138,5.1705823783217255,1.9929176691937627,14.472055656922386,25.746079955993594,25.11641480683219,18.667170457426796,3.913090628072671,100,9.626531112053977,7.499529186843197,5.879711051020048,13.37183657810065,11.757555548254246,8.142562556000215,7.076189387798671,26.955855104117166,4.710216852246355,3.6426699186734344,2.267612873397637,10.39090416594985,7.730109592851987,5.454815878649843,2.947045725949017,14.619874239331038,8.339264729864835,4.887282845149933,2.0604226813626254,14.336395160169277,27.430435617195386,24.788017046266464,18.984766313479145,4.229732219755511,100,9.752419627910777,7.595920140705135,5.947234926829751,13.533350308121003,11.5014315478595,7.8850152261813955,7.072396636960514,26.43081302763363,5.737410689762809,3.298932380909999,1.7308580515426268,10.581689591114179,8.780534546019108,5.494079965780334,2.921501554815764,15.108100244896756,8.85541727663281,4.825795331678622,1.8136544694257881,14.443561268479922,26.14660998000052,24.868191863863238,18.84577930063991,3.6508304104867477,100,10.016516597173696,7.860084907723618,6.108887439890386,13.948958478297413,11.245597252997442,7.619888125304151,6.780852649840269,25.60706507573687,5.53281695037408,3.236383182016264,0.9471427903026912,9.203079649055345,8.449565191288565,5.597849027390538,2.747333437668793,14.421516583499129,8.556521365134921,4.8211656559029565,1.864659827449298,13.52081438014935,23.775567531266432,26.05838945779021,16.563563852164496,3.8380546497469963,100,11.077311478130971,8.425703528996985,6.817567979189464,15.231519625353961,12.31038005039439,8.179666180470843,7.1143795402398835,27.554173627440267,6.684033366380066,3.2801973057486626,0.5751634961792599,8.99032245198408,9.845213195750755,6.286144963681835,3.0502650632948813,15.868937014155094,8.746457408386313,4.850678096086645,1.952593242475413,13.50471151106052,23.76267641701541,29.092273383727626,16.19087795754574,3.768308646720321,K
Read 8,100,18.32523169981325,17.396324845047634,13.918163659985277,30.93382049839249,23.637200887113128,14.753984429029614,13.71805184941476,52.093221625617126,10.224414802780732,15.954590061109977,10.794491488360096,19.173250436703043,7.4366209550461395,17.45142895785285,9.700127487389834,26.05766703296527,5.087733426829394,13.534854439415533,9.17518172897669,20.905739333347498,49.36009502997214,75.03456776609326,12.483904029217017,5.095276401211196,100,19.71621333865108,18.27398085926029,14.279888139794505,32.38669884673794,25.86437442706313,15.696832745325475,14.00143173168291,55.55665859591716,12.283478638410921,16.857471739918417,13.467701090198666,21.147245312579617,7.72332864287032,17.582381601189546,11.120074509999446,25.775144705656523,5.567566083438404,13.532860259412383,9.586671198401802,19.624643240248837,50.705595446763155,81.00553977919205,10.134673304588611,6.321551902469406,100,19.335332344810194,18.30793308263675,14.490458907362328,32.727031533018426,26.612794024375116,15.818894784068183,14.708190854621675,57.13096631015507,13.969226248528402,18.614043043254185,13.047572816747481,20.5227428756212,8.663346350764122,18.873139997266712,10.88154602775417,25.25777790984459,6.06070129093131,14.343468203306893,9.988848729071174,20.328210116764712,55.7226196421306,82.22853502001237,10.404505631005614,6.644483337294712,100,19.25240154880586,18.232973047738554,15.086970579952522,32.98009933479454,26.255206119747776,15.79091166214055,14.36074703728451,56.40290002714464,14.299585145045084,18.88469232496544,12.39883450255902,22.25308836872063,9.643257430814336,18.177608423244422,10.466972307219901,25.400044500919712,7.697317780804075,14.566776718743021,9.643257430814336,20.6175443738293,53.03357783743182,83.1981435028731,9.492107017515188,6.404555525129949,100,20.713203123141042,19.05408035048402,15.138703663596997,33.984970097398836,26.668186637719366,15.726832087688232,14.290560262863014,56.67541880081219,13.602203170719456,17.940592556205587,12.781865673727586,20.123351687948485,8.612927466536634,18.354179695136267,10.898591873380632,24.576823557805703,6.266825239467187,14.451491649790261,9.78017450945161,20.02989067377717,50.27714363250767,81.50032392545288,10.061675843974243,6.890341973229308,100,20.174124064658475,18.7474429877633,14.194464158978,32.63739166205335,25.368013401862434,15.678298108143737,13.732731437839973,54.77297766238394,13.57038285617274,15.988789598669952,12.12775549370835,17.319573078971917,8.276723768410646,16.94322022583594,10.561291831221164,23.410110010604182,5.9684303879712255,13.123547856722466,9.141940206163019,17.88727778796124,48.70749248003293,76.38679373782092,11.670577596079186,6.645677734972109,K
Read 9,100,26.12871900380623,23.901788315238754,19.517285646983414,43.29589838803169,29.05004928122803,18.788965752839694,16.232451796693322,64.05471572990737,10.80289575597704,17.92475178223192,10.266303937288672,17.41914600253748,1.2078004632104322,20.07457387230875,9.237897195654597,29.615750080108807,1.5396495326090995,15.989106863821894,8.476143667810746,25.80922920191575,49.64118677192113,85.15849818624913,18.65260027999108,8.97762235956471,100,24.933341510059837,23.434809688650034,18.84050067061422,42.12864022962377,28.173061271185166,18.13612017058471,15.8219950267427,62.116593449730395,12.369290954732763,9.27496260188365,6.836173429524073,4.940491676581033,3.8578758535550324,16.767342164346072,8.1107195099065,28.64456584367358,5.1902411354013,13.502565487442613,6.825279122315547,25.488270759861006,45.62254238078802,67.3572308513635,29.625371960569403,7.092618460263969,100,26.35649542852441,23.820921471231042,18.63685664582185,42.41264377861877,28.945707346517338,18.3615920142175,16.37954815985029,63.626730451937206,11.545941670210025,2.0995613112146683,3.215022515979305,15.60489383304573,11.306483683574406,17.11918468564088,6.908669011138581,34.71672676437092,13.232923504602235,13.533903822924698,4.99288411823685,31.73383094097178,46.05522642081859,51.42410527579384,50.73819169557468,8.398245244858673,100,26.398189602930376,24.567111120294662,19.241602973986247,43.72788545197124,29.65634318870063,18.82032595202819,16.83722103201749,65.27172044039553,14.421129303943543,3.2283897602605003,2.8314851286851703,20.165263784109513,7.21889896180673,16.841982016428215,9.676887817718793,32.98649794036595,9.775802359134826,14.202657150497094,7.6502515414819205,31.430760346278625,46.09671703410294,48.78871545023798,54.89577163868695,7.897762753099756,100,25.810617938475904,22.969176726701928,18.686377623500174,41.579149939036476,27.74936624536665,17.57628557917435,16.405132209457612,61.708180110950536,12.519988708564487,1.5619508766449293,2.3429263149673942,15.022362498864728,5.549873249073332,16.76825378076761,8.731570844233627,30.672555565083343,6.718204746021028,13.050704804614316,6.908432977841435,26.512937165477688,44.02824792703568,50.20767124197096,47.64590274565861,8.904490023813016,100,26.543568524689146,23.43470930749134,19.82039590079619,43.12975550638588,28.07599910776936,18.424245497661218,16.822929994474034,63.28860161015608,13.66759954020423,2.0418129634376263,1.6017298682577181,15.942040793972993,6.456779520521001,17.19529936618259,9.148808440152054,31.87905215632105,7.887604854679936,13.946321841403112,7.383609864487957,28.610612546183873,43.86883427301237,51.100266405005065,49.259704115635216,8.485011852968043,K
Read 10,100,31.45896391577624,26.99384357460826,21.819985586633273,48.71190849376985,32.795803944803055,20.741887632382543,18.821235464415714,72.23161901716473,15.195318029669137,6.553561845738849,5.585910001389209,26.555112997044688,13.008731023074155,19.35964290659856,11.05621786785499,40.43065888083096,15.799339364320268,15.482499047780236,7.663805295773111,37.471423437906644,51.499545592244786,50.998147256029014,63.94801479289313,10.353230833465654,100,31.45896391577624,26.99384357460826,22.417449257800673,49.258955768986006,32.08288953619807,20.67985236701123,18.216657229170448,70.86689304416083,14.566271166520822,4.996189791720886,3.8795057482174187,21.51503290465278,11.654276923157436,20.14028493013592,11.654276923157436,40.666038641744535,13.829399830976467,15.799339364320268,8.240818242190516,36.15009728003951,49.44862139410048,53.936667115313114,60.496750882116295,9.862963099727178,100,32.85365050070459,27.814216507000367,23.529411764705888,51.12814306452599,34.18678551533383,21.770738020507082,19.1202497658161,75.01279459969794,16.968730129254478,4.021974766509863,1.907790143084261,17.998056213780487,9.538950715421304,21.377089111569617,12.06592429952959,41.82176927811099,13.609497334837963,16.932943663840188,8.834622568807507,38.838617448909304,52.16952445658171,61.763836280767094,58.21799791496762,9.872289155014325,100,33.11291310562993,30.565857752458022,24.19140289270752,54.57368709085861,37.49866645564901,23.5053345718284,19.982946255143457,80.92828067170353,20.659734178086904,3.0797713346185382,4.8695460449455785,13.24659738425132,6.3491112576908515,21.25934720808915,14.47820125447878,41.88941898146284,11.72741985119923,18.18108777969022,11.72741985119923,41.62251425180517,57.81445316938325,72.38445475364458,57.16274628316818,9.931964122206429,100,36.12354906197684,32.65481219744518,26.877706435717485,59.28328365269618,40.56466390086941,25.384500522622066,20.172101069294154,85.94045418262907,27.87539898849406,5.685958717234515,10.15489809521834,12.77978405899932,3.806943044342828,24.41060582988176,18.180970078969573,39.42176730608955,4.353405924178961,20.744279512393316,14.725312022783351,35.68887084580295,60.640524282578234,79.10116507547069,56.91837704209621,12.692250261311033,100,32.891552601199706,31.486392553618703,25.42395843492364,56.63187469825118,37.73910169340108,23.25218586102168,18.911313090732175,79.78691733686311,24.313662505243613,13.074012892392448,14.006242596147631,3.0768298550433566,2.6148025784784896,25.62999064047036,17.837948910361654,41.235387557703966,1.4504315033722535,20.918420627827917,14.395121648617891,36.13001292938183,59.68397863096638,86.7656320628764,45.1093524986119,10.707682254139822,K
