,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,7.886787527051745,8.359373409719481,6.8770315896549965,15.216895242765707,11.435074793310037,7.1937954841792315,6.176829058299524,24.791302810214518,13.045420822928907,8.021366240904454,6.580459568114419,27.646826907095644,4.253954900039717,7.038507263719333,4.747569931667745,7.530347675917666,3.855089356916331,4.795917104730088,4.170707775681982,5.6243778734895065,33.30545344264348,14.897439307327437,37.49455356647376,2.2177760487595957,100,7.907255003036171,8.319968875664543,7.047955987581018,15.32730733982971,11.671234709117174,7.244066380439922,6.278197611896765,25.17165785120807,13.327817836589649,8.1354471375113,6.5264958392148475,27.985807343523764,4.3060918191707245,7.014058349816024,4.827458000542205,7.578827265794958,3.6650422021353055,4.832885716061059,4.061713487226055,6.06188241982611,33.617121537587785,15.030704294551738,37.814994882069705,2.2403850759920116,100,8.095684952263806,8.436778543341553,6.963264293390639,15.365812872632743,11.598471323801993,7.0977232161662105,6.220689699717741,24.900243408705055,13.18658576282288,8.060926931483614,6.542257608978101,27.788632452756836,4.679882713500362,6.949809997576295,4.8685739085122695,7.151911363352102,4.218111919405663,4.638198107178528,3.9847765437708853,5.2572516231607205,32.845705409693565,14.611487900939306,37.24763963242748,2.0771961213146772,100,7.964594418868016,8.205214840767324,6.870317480766844,15.035280773106763,11.133195484310118,6.929398309709446,6.129943621464042,24.1804870691835,12.849045732462535,7.8485885545681295,6.355233208795863,27.046750488442793,4.48954277796237,6.62462938216403,4.59721140832597,6.778726848960471,4.132308947817089,4.4464583902006725,3.826704797445116,5.151062177635162,32.18125397984907,14.164121932059748,36.17382024730506,2.0468827918842356,100,7.932677144033204,8.255323979236438,6.893047983460825,15.11702745900987,11.096645385195977,6.924223710531328,5.968896917961072,23.977327030974905,12.837035131953511,7.73854634378649,6.3254759792487,26.896846669021873,4.415996174793049,6.5553905578531,4.575685797752772,6.830269652064375,4.172532137159778,4.425638653356716,3.8087869446574003,5.154003164864881,31.75615262961549,14.266910100897382,35.94045244916977,2.3136840324440557,100,7.93748365048036,8.183101740115019,6.645302889123664,14.801634579017525,11.092970632979542,6.74387768898617,6.021861438285691,23.84553739884707,12.656711550907813,7.696762600692069,6.297997155743472,26.646842863104666,4.338411776776149,6.6672254624496405,4.529006900690422,6.909772139230704,3.8483813003460345,4.546285921525512,3.7752462485595917,5.468382791759964,31.682707069926483,14.291530929956576,35.87255080022725,2.0072871460952304,V
Read 2,100,10.379792752359787,10.509835758706874,8.71438361485147,19.151911731508434,14.028407989610745,8.315224621934453,7.155174420268105,29.483826579617116,16.1142865024487,9.540590455526146,7.773536805604729,33.42495057700198,4.359307120346246,8.050847638313044,5.056434542991431,9.413480663057058,3.5823083997967777,6.164991252143262,4.736354020864301,9.447370345812534,38.6528277202298,18.36859698568916,44.9109721761315,3.705435932207282,100,10.775562633460636,11.045846716118877,8.739328186462364,19.723801660568142,15.095578321763462,9.205771132851407,8.114547332135361,32.41158119012032,17.037660495768858,10.662318994475317,8.695761546167224,36.39550249744398,4.522091118781767,8.797927904671006,5.801739967783604,10.465641481336757,4.151171918890639,6.142167211208991,4.9377418413824525,8.477205265712596,42.44764990642591,20.01464486209421,49.10944389682366,3.9752251586288323,100,10.857727468714648,10.778801768634215,8.627141376108352,19.29714063696033,15.35514544280715,9.511130791377425,8.148803097473287,33.00663954259255,17.52929815337822,10.974707604880704,8.759259227164733,37.26269749874969,5.408993681311927,8.749765028040345,6.18701818511623,10.161773440824412,4.931077402731931,5.913511897723647,5.068602790078997,8.313126675040795,43.45334746508352,19.948670969097442,49.35687597847057,3.7609860449876713,100,10.728881305287933,11.075020584989122,8.62138943464764,19.609196718638934,15.020490925170998,9.134198342896658,8.042385432601868,32.189086343463124,17.03762944675982,10.554263416921343,8.757102927825727,36.34891607347184,5.260515052246479,8.618902136590975,5.975466392290858,9.914597849844785,4.438131846027255,6.017182531341488,4.949724192268108,8.349336583017282,42.29350387196115,19.25761183578353,48.33895740715956,3.9580462823095686,100,10.946951826351958,11.148864718968568,8.814670433083263,19.894900894011823,15.06353477407841,9.22576925512074,8.002431258366691,32.2845844900406,17.27115988068362,10.49569746804494,8.695547789422513,36.46159992236108,4.947719235291371,8.945168580811693,5.677102067721335,10.45144080510518,4.587694625588753,6.4879799595337735,5.320151190376552,9.061809399230247,42.148420757477986,19.764877017593108,48.92310710938169,4.045767454739941,100,10.946951826351958,11.063436543694781,8.678873665183877,19.647635900869574,15.296366871922167,9.22576925512074,8.002431258366691,32.51794744393005,17.27115988068362,10.735848487675087,8.455694237555507,36.46159992236108,5.537606908495736,8.676369782745311,6.203795478942747,9.849220134105897,5.1808307457228215,5.826939359190356,5.0088224645399615,7.589960054605991,42.398216237744414,19.647635900869574,48.41176911495948,4.086733787394003,V
Read 3,100,15.166834014568362,14.991778129163455,12.035342432267496,26.84325068972183,19.385668131818843,11.595610536317974,9.842437746030997,40.80074040015327,22.312772410997166,13.925328108157087,10.644177430249934,46.87934206946877,6.832055050162176,11.023201865053332,7.470692727527342,12.366738965462279,7.067191984783768,7.7945807891674095,6.613921119032,9.622876198835822,51.710692820233106,26.04225155716935,62.17158638563625,5.90787451729139,100,14.867076231989298,14.744549098337442,12.027899299646482,26.595034465119596,18.860888562357157,11.759663493618664,9.880714265155158,40.496920468575276,21.647752997096948,13.479736832796315,10.416966790440163,45.544065197528916,6.9553121899715755,10.800251447620774,7.730555967467612,11.759663493618664,6.333957857895289,7.399800249956477,6.67692481795124,8.952912194405725,52.43237461090744,26.025196464287536,60.78921724075027,6.14344427237842,100,14.947298161243612,15.616866215512754,12.228669951088827,27.736930024523414,19.374986885085878,11.870644717325748,10.338108557881444,41.576727000394364,22.07281975558237,13.952620983030467,10.621510250791754,46.64283854903398,7.335310756401264,10.909473730290253,7.804961921495601,11.414446703729928,5.84515100369316,8.013277003599732,6.617490299665051,9.892325680557796,53.617401937344006,26.60230774496644,61.929664835526125,5.373654513509189,100,15.009366086894367,15.477320566263572,12.119399777148066,27.48908465945225,18.892195658361175,11.956668403046741,9.85591971295518,40.69982743502091,21.668248792769,13.621605374311159,10.730942259276073,46.01969584819734,6.632613265090676,10.970352767346577,7.409023513564837,11.883428989135309,5.381321891289487,8.40031880682142,6.7377224471973705,10.952870122345619,52.338471589310174,26.694477207675057,61.473697049378615,5.737520646521872,100,14.6325043883516,15.464191229698871,12.215356434633472,27.518061539154193,19.35413281722797,12.173724365988132,10.233050940779027,41.75652514952193,22.061604403916462,14.083675274084039,11.137839459342414,47.279068603435334,7.193025494231917,10.854806364743027,7.748493051471099,11.494792929016205,5.499118514225492,8.269390534165833,6.677416725667397,10.713576319689006,54.34353291701378,26.657552043882013,62.490485223476554,5.972463085074545,100,14.57712175193926,15.56759449529859,11.9112163359309,27.33914660693187,18.85215053599774,12.026407569480025,10.109218641165636,40.984022982306016,21.79562068970403,13.701055549917388,11.001100110011002,46.49521555929178,6.693864498244847,11.177874934376373,7.7024203729080165,12.274620206299703,4.437295457673153,8.449314999708417,6.977493955195056,12.342876266532585,53.179939815282495,26.724723211888637,62.26242070226035,5.155880336415395,V
Read 4,100,16.603896011530882,17.054649150001236,13.867778492474425,30.753415302384628,21.218720344798147,12.682588904914022,10.683581241782237,44.56632675532089,24.738538066486406,14.399531121812913,10.946611061201834,50.07888985920716,9.934095629169569,10.946611061201834,8.22011153358996,9.64712961051696,9.7737140435629,7.349424691965464,7.463229004732705,8.546864993425789,59.09865133302702,28.69154797566915,63.514766547986014,4.5287839209782295,100,18.169451489112074,18.960203033875754,14.853935412103356,33.64310125849456,21.94849954872632,13.626687837791371,11.528570161695585,47.09395934027349,25.80069020547967,15.41683740034325,11.54371940628847,52.75771904432812,8.577621643292385,13.126964031555477,9.16850182935991,13.71298413165414,8.618274106307162,9.06787764945932,7.599964605623836,9.28216528310478,61.1508194449101,30.857754206777887,71.2553688812601,6.609914503827454,100,18.234349467871507,18.654905784995016,14.41184297075508,32.92204812824445,21.88183925235805,13.544566428432676,11.624670128214952,47.03705175450436,25.391367338038076,15.210316362333932,11.679237804706114,52.27737700374772,9.030754065669425,12.73485382363024,9.35807755422227,13.137882280015694,9.626015580035833,8.725185071347616,7.736398460088176,8.91263815112183,62.06968382734042,30.332721719474286,70.03065057973906,5.8305384756153105,100,17.856163175381525,18.579771301259356,14.619176253467101,32.96836649305204,21.88183925235805,13.80801362804411,11.355364681904204,47.03705175450436,25.413060094953316,15.210316362333932,11.414934216865719,52.03600361511742,10.194870519733056,11.591806223551828,8.754285269106365,10.404756666301141,8.969527908428802,8.60287477227786,7.736398460088176,10.368026679146805,61.58703874442488,29.79127422785138,66.92954672037084,6.464872124377497,100,17.751876737369162,18.82755274958702,14.610000180733428,33.28141776108005,22.035821378854443,13.725197946021906,11.623471279374629,47.37857316614387,25.457886119388032,15.413162466124545,11.860709433949065,52.72996029154128,10.031569940695721,12.562870714332618,9.189160890093788,11.879044132533208,9.482877691551765,8.717603459530972,7.839571743773892,9.217537162135727,62.45856438530214,30.57253599121449,69.6165185007781,6.160744996849234,100,18.097310269374955,19.040611107041748,14.730691166945212,33.63186176625882,21.6488904965507,13.647884230145817,11.290527448962212,46.58253559607053,25.29237149743559,15.034329441477428,11.18328798741142,51.50626576376187,9.721602772938763,12.49210436030146,8.82106285954109,11.576599475985832,8.235686576275896,8.999772128606697,7.700985623239949,9.623716864812511,62.28111648542865,31.111176274738572,68.18200524640508,6.84283631491307,V
Read 5,100,21.914687831128532,20.848048630693086,17.039118470459012,37.65676910692541,25.254611175072412,15.71300670881032,13.062099315247067,54.007954964336484,28.974964636397175,17.521091585065708,12.77895816981783,59.26475616181253,11.159704575838193,14.399911296819617,10.266018410935244,14.099481858516976,11.110773596629492,10.113241758118996,9.760755081359621,12.288349972300209,68.70812691760898,35.02440879253841,78.92680844379555,8.124387564400868,100,21.75901260107176,21.205069355437022,17.85376206414258,38.891488993853436,25.657331870444793,15.858218870658737,13.186971007565703,54.68842946722159,29.64794911918485,17.746798972272824,13.29481718245659,60.67267267186891,11.796130567584822,14.53757226918515,10.35650268870743,13.986894934140162,10.725283423888676,10.725283423888676,8.986667335334376,13.264947863251711,68.6984219166133,33.52815855250981,79.37209498158319,8.202055479774547,100,21.204576173557825,21.025083511037185,17.047496306807858,37.76870814682617,25.159560030002144,15.988136410099498,13.659974580695515,54.776975473871396,29.53805156167751,17.43567996955336,13.349480051881176,60.3214828690068,10.510623933418257,15.449487218723219,10.85037234336476,15.988136410099498,10.541267216904291,10.670519461536824,9.314817481019396,12.240272000424216,71.17557856759268,34.01211408415671,81.84662486267447,8.278996075695073,100,21.344059922790063,21.139875632864896,16.996869396795642,37.885730639511586,25.351358493683744,15.490135905348259,13.029711395817733,53.861100108803534,29.44470263581248,17.146584470081837,13.083099920178416,59.66811605241569,10.742556725406315,15.207555955889212,11.02717705141837,15.84605017254203,10.706447188866061,10.08816563127857,8.879497931894267,11.701880311176406,69.34104390914749,33.28924819551401,80.98219790175744,7.51927470660532,100,21.60166797523401,21.04735281995285,16.639393407054705,37.46180448373306,25.84525504482507,16.032353553075566,13.186971007565703,55.04700803639603,29.693403006632753,17.746798972272824,13.29481718245659,60.726258326765326,11.216990910439133,15.266893365255367,10.754829715196177,15.078664194979247,11.406350179865646,9.626007547177512,8.211722018756543,10.053319628857967,70.94359779300031,33.89292553066345,81.26847573460259,7.268786134592575,100,21.262884709596154,21.252037220729505,16.71751076677345,37.84333585418908,24.90865347856278,15.960111693430791,12.460496829696691,53.307019333038404,28.889138631309386,17.411176876043537,12.991994923176549,59.28192313920561,9.801999607920015,15.41627386891786,10.978239560870419,16.58363927273601,9.539717749928593,11.041072605629267,9.228466807245498,12.17974872927588,69.43801831709285,34.3959415008215,81.9925402771658,7.703149462610664,V
Read 6,100,24.302306127729093,23.480580885223418,18.313477397988926,41.32797590250186,33.57403178315796,21.032806670690114,17.547033119983944,72.12405409216608,37.1855004304885,23.45966897884667,17.741748563403295,78.38510626853709,12.348148464090434,17.208110006282258,13.206036358099979,19.699319709097995,15.613023754669005,10.547471064286563,11.002965371050989,14.482311979375543,93.12463756992892,45.420449676479386,102.74990969023392,9.72428783892003,100,25.172696929080416,23.084287358529433,18.737248456028134,41.46316641191034,34.43806757802582,20.354832540566086,17.60443231010384,72.35998356609743,38.48902757442116,22.955523672883793,18.373383751600713,79.80346745850747,14.754617081414569,17.120727564047403,13.211896049608423,17.454124907598914,17.369005395031916,10.15311679366091,10.550804195609892,13.785265020905957,92.51531721727007,44.825766623078366,101.99236300833239,10.03894156931759,100,24.731784919313455,22.610492007356413,18.700438363669946,40.76463403620035,33.68858492148488,20.018299830202885,16.950081235184435,70.61102021782887,37.64340463877585,22.81084205432137,17.682073335922492,78.1360137512544,13.418393815563334,17.70044432616159,13.161617217507777,19.121498011799126,15.65421608545235,10.951127479789378,11.543501927664664,14.252323128669975,91.55805969765672,43.8082194936164,101.26814669462948,9.402213387190379,100,25.330728549919375,23.009021120145018,18.76355047117804,41.28837074160527,33.3540321178658,20.288465680091747,17.00728606259982,70.63888019236053,37.19869691771903,24.031519892003207,17.741748563403295,78.97149001451695,12.790687435646891,17.064905491564232,13.267833777306027,18.93713002773921,13.91777263539233,10.640129983833813,10.747222416231514,13.929522551065002,91.76014561966859,44.326698927032076,102.28232180536597,9.433944916182725,100,25.006227922537267,23.262306325868728,18.700438363669946,41.538615203116976,33.46110390702739,20.220224446688555,17.488012827293733,71.14065328000227,37.060425205279074,23.380761250111032,17.682073335922492,78.12145418086573,12.1871947588119,17.007506858418903,13.161617217507777,19.163943120656306,13.870959535484225,10.150215959617388,10.481030905222187,13.161617217507777,92.50625107068755,44.35015184716202,102.50581518610386,9.741752175266553,100,25.708667431622096,23.689063295330232,19.40293174695896,42.72480578919965,34.074962184799276,20.810970483523853,17.261037732735563,72.12403531833634,38.32079844576894,23.229316718423867,17.426218890918587,78.97421434610042,14.513788098693757,17.62812940573466,13.403072720598194,19.32460606919389,16.193121255130745,11.523618717723778,11.435538811954837,16.624465675792575,93.74963443368837,46.09813069632585,101.83509205611495,8.312232837896287,V
Read 7,100,7.405030419595238,7.596284370940051,6.127032360366164,13.681714096993739,11.186972307817818,6.95271823798384,5.99506922971984,24.124047533162518,12.718088100428613,7.759028544393627,6.199024515057888,26.673271121659504,3.15407664406245,6.604308123134006,4.275606548577333,8.084532797966435,3.866542922749586,4.201438462159712,3.793817998108788,5.625939162025749,32.96431112750606,16.502905445761563,36.33567479020229,2.635117309472376,100,7.371146805533497,7.290144192552553,5.975120771528839,13.20585535962324,11.019239244530807,7.025493183425303,5.888472665404642,23.92661687554643,12.507769196533046,7.857961709445646,6.1801365189999755,26.543549320741498,3.1921814003665787,6.317226493119695,4.382250865135642,7.7093875856032845,3.7152994325589543,3.929228607086453,3.668895915557383,5.1126260093249165,33.423310370386424,16.408394610185166,36.044289782551054,2.523930263597829,100,7.546792698005844,7.510723214698288,6.161826248794976,13.624907304897881,11.141240075107055,6.97463606690095,5.898329555570753,24.00265685617168,12.662498577608677,7.815581143267161,6.29418085525038,26.76554119458447,3.4761165467656654,6.389840273692474,4.279240136772865,7.526093059998062,3.9957594669529546,4.038429414429155,3.7995910913921405,5.094133748076437,32.92742392218022,16.204428416294807,35.94362179503153,2.7336186868015813,100,7.532103305278214,7.556459190452168,5.73935741036627,13.268681453781866,11.083955632834396,6.63419181960581,5.725570800470557,23.427680203957316,12.577632759942952,7.680681860834556,6.252424010993945,26.51009917520687,3.5202413879808905,6.465874212031074,4.284274380535262,7.6950738357190716,4.223428974664528,4.4025462144564065,3.976204325086364,5.725570800470557,31.684292747681145,15.8774642070886,35.791304422878625,2.4804399870441114,100,7.719643427066399,7.641225151297361,6.045071684233504,13.653884351762974,11.403302584131255,6.798317232539575,5.954446245158373,24.138477534143206,12.961168988487483,7.890056588520614,6.560045792327082,27.409585565926303,3.7510105092966857,6.768412692324944,4.544141547768128,8.111191383081984,4.3407790964073945,4.581267129746118,4.1677460916974685,6.219338544308518,32.801759114485385,16.044278930839678,36.950640595833526,2.4652053099493507,100,7.8132399552520795,7.500857305258644,6.111766581225074,13.563198783003442,11.239384228015382,6.819179096059732,5.789588185549649,23.836021036639465,12.906058634414322,7.817375859706489,6.270998016057308,26.994181958091687,3.945597740375029,6.625645064276677,4.557166132667584,7.704665022216621,4.73116597680625,4.3619195057996745,3.980770097279112,5.335238033763655,31.898136331277104,15.857223939857757,36.34394395898182,2.9267203827133925,V
Read 8,100,9.703067249919936,8.456404620639017,7.289684107848948,15.527747362421756,13.830498972321916,7.751176765102129,6.640778339092707,28.196738831114352,15.569599286297548,9.173536092743568,7.658675252453356,32.39285343889186,5.167451176734753,8.289866421339239,5.5395564532438915,10.002301356581997,5.370766277870221,5.272608645754736,4.797857968885822,8.229840739076142,37.428141748823926,18.158384639470878,43.38119230019826,3.1630054130191128,100,10.36704195458251,9.471092203397822,7.79280023416512,17.085511186130674,14.634376015070991,8.729925486723525,7.442052842420178,30.793343089612332,16.531025670030818,10.320779955585474,8.521222356307641,35.36275179703919,4.845838485484834,8.791699965618403,5.871707333927553,11.101543211953707,5.3370336766825,5.617845916396762,5.134659111194192,8.290115958348766,41.17838820491804,20.584351490621973,47.53808273595304,4.229409778760517,100,10.474172746928044,9.664200854729994,7.843539319002246,17.369791980202045,14.53134530417951,8.758176072222724,7.486016262376604,30.75898913905162,16.620111877477136,10.210355087195028,8.37599639690692,35.18762095512009,4.944641592287003,9.060431243107368,5.906678515223878,11.142590932316013,5.881520046180823,5.885552628105517,5.314660407025519,8.524106522223716,41.317474113441925,20.448865674587672,47.75611573174551,3.4442591573833545,100,10.571513730724785,9.413975105756467,7.552122692858724,16.79199993571116,14.895950057841308,8.670439809828334,7.484304409016085,31.030436452787303,16.586312775521804,10.080612244731247,8.45721098457983,35.1053437839804,5.019679234974458,9.205089272124944,6.14830856262086,11.811157601347617,6.101847126825315,5.557767343325934,5.173235847385371,8.722252932247658,41.50790369108955,20.283479703161568,47.97745791332231,4.683627668969351,100,10.436509260283527,9.533044692915912,7.801415883566497,17.14442315970738,14.803544933381676,8.835344074607404,7.4768943530782765,31.09028722989754,16.749419320839557,10.633092738903194,8.487951228330669,35.8560570481834,4.685323784638556,8.791111786379938,5.782736318151801,11.485671533876687,5.479875317236446,5.761631370670929,4.997342850123297,9.272632383218129,41.66731839717518,21.23551631728743,48.42966007490354,3.6305786193237517,100,10.857688536609489,9.93673066438629,7.948464978262417,17.724919028177286,14.669787729865558,8.811279306527315,7.512736537230995,30.982884667140045,16.717571189763035,10.271312788275486,8.312566255896837,35.295028138623245,5.697910397960424,8.888367424327873,6.252473609902118,10.862175648501255,6.42543882642703,5.895462681901367,5.3902784503812455,8.913004153694736,41.03451559798362,20.415620658071877,47.40549715975458,3.35144787600335,V
Read 9,100,12.805661315425668,11.994882936868773,9.411015906405046,21.191557387425828,18.270331271813397,10.834504848921277,9.276147021882258,38.3652501238259,20.529690657370445,12.927024522338797,10.162588257147705,43.591704455175,5.501926624050667,10.849665077673796,7.548581052660716,14.599011599986722,6.280799086699419,7.259992783429213,6.4465364938099405,12.195330543737727,51.15949791652034,25.651936530251746,59.629931374168514,3.810408961972041,100,13.021642565789747,11.747367797556656,9.585035633428149,21.061092435333656,18.09201885055752,11.134719137122584,9.424027780893145,38.63161765615348,20.335618846474112,13.08549248816445,10.447175910816103,43.851612413513045,5.035804543245605,11.14453162559845,7.539222224714515,15.280969564593088,5.863206602736911,7.13894926080346,6.350940674887523,11.917117889817703,51.30129332190502,25.35477104818403,60.70059889197766,4.584141842481626,100,12.624462897188176,11.715415636184542,9.318207222427327,20.767748676757837,17.903516866272806,10.984370195560354,9.296777817543239,38.16124114943658,19.895973368310965,12.73666390943829,10.306110669640065,42.920051108830044,5.203129803344308,10.689895217998652,7.32573749456669,15.336974308379162,4.970483408335863,7.7267870651047,6.393338590014076,14.303378712511483,50.87613758676868,24.710763871440633,59.41014250161602,2.8897188804274796,100,12.752763547619237,11.783951036052986,9.082061347656547,20.642408166006238,17.97988198814904,10.816664635556565,9.128681153990328,37.90997411821806,19.8743187186626,12.73090075881626,10.293856278675419,42.882630537534034,4.734808565575996,10.677184491365534,7.161269158869143,14.954162549466306,5.176482582034305,7.374812797779439,6.131390762849371,12.311364290124057,50.91213997487633,25.088643516873578,59.32698128142318,3.833795581307561,100,12.618904914096571,11.81570416084206,9.571095398915592,21.12198355886724,18.370256542676987,11.07124174317475,9.503270724770008,38.93033041653307,20.412877845581722,13.289301784849712,10.485134757490767,44.17668299994807,4.822789877475739,10.660864602593053,7.294338499844248,15.00261571308133,4.837037441388741,7.3992444904860335,6.1408751777953166,12.843758325620934,51.48769182270963,25.813651443443906,60.58950907508667,3.653767054707708,100,12.658273233141708,11.52906403208845,9.68643443238739,20.965417529567272,17.958796412683586,10.991398401723984,9.321809950894584,38.260856637536165,20.36422588077382,12.936557336998334,10.309782847758903,43.591704455175,5.260104135214905,10.945192238978741,7.186035071035921,14.649588939295448,5.78114111575126,7.14014188159919,6.230438023343609,12.263652257832238,51.0989531596783,25.70154780006703,59.789135056655006,3.700996354562862,V
Read 10,100,14.201365868297435,14.821284434158642,13.669751829554356,28.379433617887397,23.34896903223292,14.032686452038208,11.621957232338874,48.99894956835789,26.51037514542501,16.23549622147691,12.66767178234119,55.39649829863603,9.773159816881847,9.519446285336015,6.963112170506086,6.691842925393595,5.693108281770139,8.645510166129114,7.5641382489855165,12.294036729301084,69.81374702922953,33.482929152154284,66.48109134468012,9.803569030680478,100,13.881796659195457,14.639802392260856,12.815768982450399,27.306557863601828,22.836699134202927,13.751009656258873,11.84215224144565,48.406305820349154,25.95679255044162,16.276362645708105,12.489328882513824,54.718185317741245,10.443453303065981,10.717926587607451,8.383294380652371,8.641068667663323,7.406452462713775,8.073492826984404,7.956742080767109,9.920548821139436,69.25260204972014,32.398716875661265,67.50993787340123,6.4767547932029075,100,14.192957161958653,14.649062260412535,13.438542708268908,27.937958618269363,23.468184199010977,14.287704256486917,12.21023794035808,49.94723411469363,26.53861411276549,16.41466487553566,12.793029122386177,55.738109992020476,10.129607023194204,9.666135459301524,7.291067165849303,6.773021381473365,6.324924371775238,8.711726880469817,7.886666035006352,12.510422668286328,69.98071152224944,33.12493418595699,66.63063246577505,9.149848031899712,100,14.660171690941857,15.060545949733383,13.733014294790019,28.628601311951332,23.296340333791967,14.183083707077547,11.885451150306674,49.35102264253141,26.103463621653457,16.060241332883777,12.728111431942745,54.87938951617151,10.3132654376692,9.59535597057027,7.237678921035553,6.4663845321564795,6.278610628792533,8.667132300617046,7.828916566037887,12.281557678292693,69.13783081616907,32.07180974804403,65.80366465400488,9.88205125524651,100,14.41173368254915,14.661995590493518,13.669751829554356,28.202911629367456,23.46624092239939,13.919097914443503,11.855800186838238,49.22790528240783,26.294921539009387,15.997450275278007,12.696358260580713,54.97639275960154,10.547861043367046,8.744406151946917,7.0198776112114505,5.201313825460801,7.80938555150917,7.737055170254268,7.48943972972637,10.003935157027273,68.84583706230698,32.333197432906545,64.62341967816228,8.24608792854349,100,14.943039818589265,15.44759674438788,13.997047654707416,29.25064203475567,23.518839197940377,13.997047654707416,12.165830226396837,49.67849703241459,26.48407943696569,16.234850139603132,12.409519122082887,55.11449225620134,11.078639789481638,9.238830766460127,7.296612530888328,5.411616713201044,9.167321713247809,7.814856577167246,7.4704188084251495,9.751713813780157,68.19206475531924,31.91054978266048,64.95763940178814,6.674847659761263,V
