,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,11.460786714455727,9.124773032997847,6.43973421727943,15.221270320392563,4.945900285184195,5.133980264746987,4.036873295420045,4.2173358639578185,4.398311048557353,7.816876579315497,1.5394088669950738,5.3848333739963286,3.123110569330882,7.2705292288953824,3.98502515569958,8.898295249477503,8.661099796658602,5.496305190645076,5.587067033145819,19.720773124386263,18.94242837429464,1.390868077132468,3.701381931732801,30.071712923829505,100,11.52184626433485,9.234161951384692,6.643995630071292,15.504915271652079,4.847314449812979,5.290438723745755,4.126673649162048,4.568577988557936,4.017743485819447,7.839150026346723,1.4925345868088102,5.747314001017737,2.868405213244723,7.426084578073244,4.071856136928208,9.358683474379308,8.613238099020707,5.574091822974893,5.61581985511322,19.773177802689766,19.24589112935548,1.4787842492514982,3.727358599525921,30.64853985749131,100,11.38665644489144,9.087714984907477,6.481188881676065,15.213822436129467,4.781998100783912,5.069246284552697,4.083502680175276,4.363721577279308,4.086900408690041,7.699979908567133,1.4461377770678951,5.38850240445259,3.0117075712088,7.18318140322368,4.059638956623301,9.017386969463645,8.460187649488295,5.398796292600786,5.428879098354039,19.253843112077423,18.830431341693302,1.4607809719380207,3.551952067535903,29.677754612440186,100,11.592128945353045,9.35715021666037,6.7833646705154695,15.720562244971202,5.034919068838018,5.368838814885902,4.270608737850191,4.592552791721714,3.9243956351612828,7.721931135122464,1.4703343046181603,5.480434818811939,2.8545815455093275,7.32389511053687,4.2052878660981925,9.21519492653592,8.570254605540764,5.640727491781374,5.6593923744502534,19.83308241931136,19.29734134985948,1.6759550803336452,3.6745941814362766,30.787564687274795,100,11.484522958413487,9.218534700994024,6.396714156365977,15.196193787274007,4.771277286644792,5.106162934636873,4.139666575902182,4.468894303014563,3.9777985521070196,7.614730981254082,1.5647340797524885,5.512977320029929,2.9361436962291405,7.224906564556343,4.123950947086579,8.996677005203678,8.367100562757836,5.441848147198889,5.507084978310365,19.283267239408804,18.973707720828067,1.5069104905116721,3.5246839377566634,29.933785768080686,100,11.490358246289823,9.241869717779943,6.589044945612463,15.429551570872473,5.04985782537596,5.325052056453816,4.19888974572487,4.464283232295443,3.9604034220825883,7.755299776352552,1.5477956901413474,5.604646298454121,2.785048153205708,7.288864007771553,3.9888164055855895,8.979984256499648,8.412134386085508,5.471137531998177,5.511039370509608,19.360200947361037,18.951557772427616,1.6119451957683777,3.6180504175817534,30.119101866694315,Y
Read 2,100,16.85659161547916,13.140983297282467,8.843416259861469,21.505582040707548,7.4240113569267745,7.632204305965543,6.025641624462094,6.287388445149447,6.751274176540522,11.55797782371735,2.4825868847252224,8.290983557518931,4.5581405133000965,10.29574618469176,5.506515814314458,12.681060257723992,12.20309291916978,7.5232546142635215,7.909457061273809,27.62350931791133,26.087393838955425,2.739594011861164,5.160507505260659,41.985825977904824,100,17.500855346064643,13.589030120189378,9.166718002596616,22.20129333155424,7.614980789390737,7.469772051627693,6.742504399003526,6.651977279146458,6.616602010707582,11.659085497541767,3.0671075242068384,9.056714475633374,4.869645390257654,10.482543077991034,6.1054532669203985,13.193240112856698,12.62123948747549,7.742330435031252,7.8818995010093165,28.227319602879906,26.62407475836779,3.5448105471317524,4.635072097011804,43.15168370294801,100,17.194698495792736,13.56604625924121,9.394092055793468,22.360256172953942,7.370237821250646,7.4941269429477755,6.528061168710222,6.6835042812362815,6.430594187087033,12.173347350892522,1.96382631920033,8.44274035962215,4.698841780014296,10.890386414312184,5.85371793986327,13.236903225942209,12.47493522420381,7.612202212570179,7.86082659791655,27.928482656129876,26.327726837459196,3.229882406747418,5.558010132591624,43.22292057232191,100,17.491742333595468,13.977877079841448,9.210924034094262,22.610193680149173,7.507131775186426,7.830481843994972,6.325819652399764,6.697401314576889,6.226043357222957,12.236599206847592,1.443591922511982,7.913211701537408,4.821217988606094,11.151958729666502,5.82360771044046,13.115894764265805,12.541878871069184,7.759790778565358,8.326563973008525,28.604437905874242,26.883126352374216,3.1430495907327125,5.953765019954177,43.689758385568155,100,17.693375128176076,14.062625385994401,9.425090530144209,22.89015674114316,7.698131443820583,7.911623895234425,6.981702668948088,7.225411910964575,6.310980823881798,12.09713671217131,1.9095406248112905,8.438395902620067,4.856710297881649,10.792472952267376,6.2584708980990795,13.314877485062533,12.526015019381624,7.8201490094085475,7.955947064980005,28.286558017152647,27.79029116906552,3.3866232412623174,5.712544818900717,43.715961948037894,100,18.360880294063477,14.472893784810356,9.708322246865816,23.594992214027396,7.994385406584783,7.7906544945612115,6.616333122795288,6.426949470150019,6.929438950660738,12.492573490510084,1.8382127099153078,8.023482446928739,5.209325681723494,11.34691769390909,6.137614652617956,13.368452349006795,13.087907124295196,8.261738590106953,8.642229207909283,29.97820436989819,28.017542496631545,3.1966608510186307,5.797886034043581,45.5947545355429,Y
Read 3,100,27.64498988161503,22.827513496656067,16.08724969353797,36.49141584235093,15.86843623773803,14.555104738175926,8.660317957186173,9.110013504816472,11.776302153467139,20.950786312327857,3.7618017341042416,11.133168714122759,10.208774387163379,21.532727244137675,10.422615042232223,21.769178153072858,20.29076857763098,13.262371534404162,17.80643291887995,51.06832799659999,46.511234925300954,7.666087856656911,13.421469532155811,76.71840693249162,100,29.046511570860595,23.59616098837935,16.893327729593796,37.95296600757087,14.966810597970442,14.658352303551682,9.15753856852246,9.68541809522332,11.516255783487324,21.887537500234732,4.34077563556768,10.304377040803889,10.464023599018399,22.250308706974042,11.06136803001662,22.87220073095168,19.640320375182153,13.486029519555668,17.335135110624964,50.247306091718094,46.17461319969612,7.725339233445826,14.491900817563948,77.82180391180394,100,28.373696557483353,22.788048738470145,16.552072154114402,36.806477608311255,15.575842696432082,13.587278172456518,10.980251042205648,10.602562045383365,11.09629855209801,20.232773853031027,4.736695458344943,11.474650477555867,8.811027194673667,19.72765180474664,11.433984134122706,22.644511310425038,18.934485380921714,13.630063871423806,15.78133436445394,48.02211904624692,45.956919143135714,8.312306430858902,12.883397070712613,74.59979898732232,100,28.583853473683412,23.650705708619626,16.681048564950437,38.05968654403582,14.3894836832713,14.802380511873995,9.71831528516135,11.76970811897044,11.477132252931513,21.849346194221376,4.118326588896511,11.976369022011415,9.580016852389607,21.659382687081457,10.998306865403782,23.274589378306903,19.954623556725807,13.304520464487116,16.402599523926746,49.465192952992034,48.993002469978705,7.139183158121206,14.062682393499907,76.54234007655634,100,29.301263007604817,24.517841819255793,16.767285663222612,38.67283588378434,16.431150262898143,14.423764512046152,10.657453489407905,10.624936393052025,12.126781251816649,22.129299183501974,4.450807632476928,11.713122206905808,10.70604395482429,22.121479642910312,12.069579134519524,23.73804561644832,19.740969640646863,13.55815361366601,17.074029733764696,50.05360448358647,47.862620590884795,8.488746876271652,14.148251142124344,78.11191066818998,100,29.007563458617785,23.66780157943874,17.103550397220925,38.464300202367426,14.188755821429934,13.70264400483545,10.497252930256874,11.756397680613372,10.387083807936612,21.5678994478735,4.666424135330287,12.732826323355487,9.403021050226014,21.499211695571162,11.763385138989934,24.026163987731415,19.399655227964605,13.384110683593237,15.85703504192556,48.447434572619734,48.04976283610806,7.369906912531139,13.42089713139702,76.32162955062608,Y
Read 4,100,50.91610047995057,44.064548014902385,26.768428028325562,68.0881232901904,31.614711739634146,27.23992386997753,21.093248450772837,18.674182768018937,24.098484073834147,37.234556133185286,11.43942010827203,22.971405018919533,19.03062825733349,36.51521168392331,21.541208536359452,39.4932107043697,37.99615474542142,26.409282536766327,30.579745942300825,94.76952528348879,87.4401519823219,15.162116381261518,24.05441487985717,140.4239428012538,100,53.36689874111325,45.21006092384506,26.336144552154558,67.66785176520439,31.87754408393556,26.075899585179528,18.13072788843022,16.454586543208585,24.512052324148698,39.17265249196935,9.415933810381848,20.71176183662475,22.84138522741652,38.10478815776473,18.18706379184511,34.81251781048475,36.195568586689454,25.279094665148186,32.302596772000896,93.49060499188971,82.92932668681604,15.182737064043467,25.116700513247256,134.51939311243018,100,54.61116728834897,45.690234350063776,26.88714277991528,68.24491185441926,30.060739488316617,26.245352352912224,17.420945668287214,16.84373445732194,23.372651247972428,39.17265249196935,8.62193947387113,21.47163266991494,21.614092539932948,38.52309452371163,18.722907009256975,36.195568586689454,34.73406696641026,24.006015118917556,32.75337685201411,91.16003590555967,81.78656142135567,16.267004379876298,22.312752640360554,135.7985286388271,100,52.448646770241076,46.61002845665524,26.42451196509976,68.87801155515665,29.931156423319173,25.98459636974616,18.9301254600935,18.947516483935967,21.427447094300927,38.762937866275635,8.156704505414245,21.853602820933787,20.045595382239213,38.28415360789142,18.40075326475876,38.89865097417989,34.13641886991817,23.70437767471834,31.517714209800502,89.14555778099817,80.93873941365796,15.39945293483506,25.002713741984195,134.26158463044422,100,51.8981941454447,46.23673059635422,27.28475004344543,70.2434648113896,32.93505822940171,27.2443181861478,19.99469145253425,18.505814954927477,24.2622746645262,40.13613342724261,9.233030102245184,22.63245397761523,21.294028887053955,38.52928427645817,18.80129635616057,36.81253416816783,37.21953424105,25.57468305216682,32.58736015216153,95.10623745123814,86.70254511261827,15.454570404903508,23.066650745089945,139.0382874668274,100,53.60824742268041,46.654468037050556,26.927550873920833,69.09154982639421,35.57881172803792,28.004827787793225,20.486172945771905,18.01264302502396,24.521350511040836,38.61344300443587,11.00343427969182,21.913946813338427,22.915371528989365,37.76743304529587,19.32432909502677,36.17602012282278,35.087913214321894,25.13773303773719,32.71015590111659,92.64319287512934,82.24710996417977,17.002497425227467,22.811244018044256,134.54173073422055,Y
Read 5,100,50.241617434958144,35.47570965990307,26.310463468933413,60.92691043711948,25.480020870297857,27.24734267928812,21.346916727108873,25.359166335036768,23.120136933405917,30.727031877532838,20.339760415140436,34.82017918252429,18.102149180326165,29.882256750118195,19.881484218162818,40.0963625908904,40.0324639644859,24.808036171081287,22.101122918277227,86.89149458291057,66.17196002538682,16.597064831872824,16.000190549323918,125.18653790076594,100,50.03814934949692,36.121682406684414,26.73521850899743,62.123629684290854,25.891369279206522,26.695640073516028,20.795628191420754,24.528247695375967,21.61829927159757,31.223087816326938,19.779315230510374,36.81750907962603,17.691157361527253,29.890882989714413,20.48828673025324,43.65035532502031,37.429870896043795,22.992986915164934,21.198486507031674,81.55220589778243,69.45252356100063,17.45045012696878,16.062210130399286,123.50038199963305,100,49.611645270043326,36.27506669091279,27.400222620337317,63.10417045800599,24.693091603809957,27.400222620337317,21.248008772893826,27.65819947168812,22.113717163678636,31.241060473954114,21.248008772893826,39.488911732297865,18.572813169405496,29.74380149120347,18.817024266991748,43.45216480685534,37.634048533983496,20.543994817053928,21.743586971114933,79.88469000361947,71.45103888383642,17.152887153431106,15.10878323932313,117.676203436916,100,48.94422514146825,35.9738663102765,27.66109334387736,62.957079369041296,21.226873037070227,25.511526384306908,19.535184412714333,28.03422121072204,20.22417343442979,29.8140959280357,19.655698723060247,39.46727671153067,17.194874150018595,29.173546544472025,18.156809886548164,43.301913519186435,34.89420365636357,20.617361682958915,18.871112682425505,74.33695471269489,69.84928995560678,17.304396748726656,14.578676256195937,111.07467405835064,100,50.72392551174123,35.268213940394034,28.66690062602278,62.96736344918527,22.968884470167968,26.876841386233547,20.245518978889788,27.9863899868046,20.74059254832192,30.584662471170383,22.25092872116693,39.39888641339232,18.158497559750145,29.74380149120347,20.06935822438686,42.73409233601215,32.79375623710658,20.543994817053928,18.242113493427514,70.50765511684125,71.82633556006071,20.765036390097006,12.899122154377213,100.48823854169403,100,47.844090820238286,34.338038916444106,26.243450004192297,59.757554779386055,21.32838589755618,26.243450004192297,19.290107226398973,27.512791113803807,17.742345705587823,28.694408539662955,19.454481165939658,40.072398965280435,14.899369851023758,26.995367604129925,19.663800198481788,43.18668989954892,32.890003146826906,21.75077117701522,19.916647289031953,74.55178569122141,68.90092067286609,17.996911736086613,13.556534150659953,111.6027026194487,Y
Read 6,100,13.752175945874157,10.405565166857397,7.35881845833382,17.52629752786941,7.40310527464638,6.771188789711509,4.697905688940891,4.104268629675935,5.897696240974157,8.903739762648165,3.4691331310200186,6.8948003368471715,4.474723092739521,8.782594801258803,4.443689125130495,9.366817385760427,7.879895403651095,4.396184767084318,5.679652611157554,17.89169254804374,20.59932722565028,4.600914833510881,5.3262844346754274,26.1559196764612,100,13.698818416057934,10.555697577504175,6.60142167747071,16.838819231075135,6.567123441982556,6.645526527575713,3.8245372104134434,3.938759448925543,5.085731408661448,9.058972919012719,1.2777316391659561,5.29763552608897,3.7357480585126157,8.656668652850989,3.9707163903961114,9.243039428862392,8.085185469160448,5.302717192030582,6.746702632645278,20.110717754139134,20.05593903013301,2.8235408273579243,5.755014795504998,29.62263970221164,100,13.16261971429499,9.978330925363759,6.55532565988799,16.269476819500397,6.66570090302566,6.067486536663948,4.786869872126068,4.191188367995635,5.989285227782142,9.398877265028409,2.3817600736390814,6.350709969963567,4.262916920229611,8.389841008829146,3.9529201346847795,8.790843357159796,10.061107666647509,6.220940727762645,7.081481798867394,23.353146109314626,19.68208416649454,2.902258050406295,4.868314697496212,32.60021490678965,100,13.228717955945182,10.100032732654395,6.503622331030334,16.262189871929202,6.382092800455709,5.802325868497075,4.778552932757687,4.197881073533815,5.571170696795797,8.747810541990015,2.517972155548152,6.266417571521929,3.7496216262530413,7.984747145314426,4.364748902413198,9.502931470714278,9.373545973051638,6.168055841453697,6.648187460969488,22.187096736893725,19.845453001094132,3.0138899325285062,5.042371328710236,32.03261831887885,100,13.354672392169075,10.067121823038953,6.528115483424037,16.262198688134998,6.405993900585199,5.86445411718428,5.008960982239428,4.512080378834566,5.602532764373548,9.015102734885485,2.8240890752904795,6.8144508788441716,3.5705875056415035,8.107860396843527,4.3945797145302095,10.01442618872229,9.223295694605346,5.814151698494398,6.360893582486446,21.39563152255585,19.68727589392309,3.4951537451964523,4.999631852336954,31.52186514431595,100,13.381115930721986,9.98226546282024,6.503150945934082,16.132946818974403,6.627630239897159,6.172966454068146,4.757854052976729,4.375159509164426,5.08981295646696,8.926276566274367,2.4853613399614347,6.906973262199259,3.380192829653573,8.126925262514693,4.055155381304411,9.833309904728067,9.154688913645092,5.58591851045785,6.361603628003653,21.093222558698937,19.540439190972574,3.7289730395529705,4.902412678434175,31.017413585769056,Y
Read 7,100,22.740005889096345,17.562073959373983,12.03562964851511,29.16582246412512,12.85253851158621,11.12277722261283,9.403255678667941,7.672137374165457,10.162406764711521,16.09732277093579,5.9471410731006165,12.433795054453991,7.158995533370839,15.383758697320737,8.464993405803737,17.694509608358985,18.69474774994513,11.288467416666368,11.894282146201233,41.877417728302404,34.443990287395366,5.720259195128294,8.54281418516498,62.434529768814585,100,22.8033002042618,17.4169974087083,11.815769456369887,28.864738770167513,12.594677879989463,11.236215604749768,7.863198798831305,6.496477131003166,10.073597692458394,17.455205079450444,3.757137953436312,11.228200612928262,7.031522596599011,16.10425603679688,7.090172758323777,16.901795209712496,19.101246040057873,10.927513937330755,12.548847651566838,42.5769970365686,32.17103591261177,6.22472606290936,9.664938480935797,62.06012184102095,100,23.075515326231255,17.54464028963611,11.96527555589091,29.126882522032602,12.892903516872888,11.385379168672863,7.7726131543295285,6.265621246969219,10.61309580214157,17.95241550707508,3.5758480553611682,11.360113386256577,7.322914464649544,16.662639734925246,7.075961225279815,17.37492411209919,18.758608152782518,10.729218121647426,12.825868902256142,42.311702574709706,32.501362666119185,6.600615850381122,10.18480344360421,62.1800387809381,100,22.055872380939604,16.81844909086055,11.276078630744236,27.795924800245363,12.037412832070533,10.959687452067433,7.906327411585308,6.828792371913992,9.356962341900203,15.89103403599516,4.258710735863794,11.412625426126247,6.707201775803712,14.781017088150191,7.151952444003299,16.07276714399352,15.992251836637138,9.762065296010869,11.375805841258623,37.12310236938739,31.67272431249169,5.865277805954985,8.906373913153839,54.91109845865153,100,21.878527427590274,16.774401422980272,11.421939374148362,27.912297545466323,12.669256814639914,10.82446233402937,8.438199361631874,6.644447399301035,9.76544128422509,15.652635271667341,5.348123321390193,12.063824373524145,6.9851534521993495,14.685444149851731,7.268449483126884,16.268267826848888,16.639454775578482,9.861452144928355,11.123430998125642,37.605018894229005,32.0976522295624,6.62669841442141,8.479967957828242,55.140468090797675,100,21.962512099466046,16.948339726992742,11.273535168225902,27.898677042058416,12.103400823292386,11.561951278295533,7.062930324699065,6.522956200931165,9.035586936456044,15.941141152628694,3.6338476729380305,10.984966811184433,6.412047779767322,15.134301126957089,6.7995053840713355,16.39288950924108,15.634462746785157,9.321543127888848,11.38720140512274,36.31199831549228,31.674003086392485,6.067170190647132,9.066206973968105,54.02706451807363,Y
Read 8,100,39.051891738271394,30.05538338386641,21.5606846802274,50.76295220547726,15.364295829417635,21.112152785979173,18.3467234667992,24.502735246921162,12.664165103189497,24.552068158165856,18.430471580101784,30.48780487804878,6.379676598844018,25.38905929216578,20.488114134935795,40.49285145046277,27.14378291975664,18.884448535832455,16.281946489408803,62.27685013621629,68.35167441631096,12.672848110793899,19.339144585448693,101.01103190095606,100,37.88219536444595,28.87403857616085,20.091899991755668,48.45625475573483,11.707261456498236,21.292456051325544,17.22226300701411,27.401307497963742,9.729185081044305,24.223707396552175,19.877580262774334,34.584135113209086,5.173927478133625,24.050694544284852,20.214104926504284,40.391112451347674,25.414466597706475,17.1724515852464,14.98832406932449,57.54002884860772,68.31778918054094,14.074604401634087,15.720568051703484,95.7129038075423,100,39.43502188347693,30.132377634546007,21.92482012203697,51.24261793663771,13.989621467926186,21.107202691539317,17.84412435211296,25.47822313192239,12.669876751330639,25.47822313192239,19.334610202193016,32.41410486993754,6.5146278965766955,24.370994532588572,20.61706723280713,40.50507868385829,27.13741860957615,17.401149181973715,16.11520776313208,60.60859271568976,68.38711549499325,13.263433175832075,17.255211716740067,98.22667043436807,100,40.01433034881949,30.431460068636266,22.22327908348607,52.157181256909354,13.046168350976712,22.51183578589222,17.66233987013,27.488765065018526,12.26219743214634,26.078590628454677,21.95815926552156,36.1705993999544,5.96810033527292,25.98676431998888,21.2274906821419,43.44842627103876,26.850887826227908,17.669105754258695,15.91827174116238,60.409551398611015,72.02990998172552,15.227508436314906,17.286138492801733,101.07883798236635,100,39.868212783101484,30.066456225532953,22.65354524584263,52.18798566276892,15.215548770091502,21.706063279790303,17.407856465100657,24.214233859678316,12.53817639866778,25.61234052798441,20.804773655476964,34.02641373151451,6.264456437933692,25.043921472988206,21.048891352969886,41.14374365099568,26.855965291235105,16.948251151762697,15.06216230540457,58.78951426368542,69.67476527216748,16.04744198664872,17.050699704080696,97.512814476841,100,38.076685012367065,29.36570566550893,22.207120152064213,50.92512271799924,12.511720749551396,22.37457024749408,18.09873730362944,28.126248641089216,10.089514119189738,25.279776011259575,20.80278499750682,36.37826050125649,5.746989761519416,25.185640513433967,20.649981779873876,41.36837500892183,25.568951354512464,16.612841090675843,14.866587023151283,57.00550675139478,71.6994693540135,15.470588316090934,16.157229727907758,95.67734913642883,Y
Read 9,100,34.121301972116406,26.651153970377724,19.11080079071796,44.343166480679145,16.36739999037212,18.223167795453428,13.513376833021905,15.680448153759528,10.860746327134722,25.4228968882894,7.332376744681952,24.299676434071085,9.735593518585032,23.779115265447402,13.564726138357843,30.34310789836697,26.09315983799673,16.466212272167787,16.95847008502242,59.41464409142333,56.53665984063461,10.41414704317332,10.601605712003678,92.59049907429558,100,33.69885780495689,26.285741172489143,18.876668923771206,43.70891960294706,15.853316651328928,17.211557364304635,12.252423605589435,13.598211860557306,10.143595387259861,24.401378006403576,7.900014020610366,22.68176882216635,9.365450479553283,22.92678433799234,13.504859188036317,27.99109312908104,24.097055309765686,15.346473475129402,15.800028041220733,55.14928895887738,54.09159661823408,10.081044356736227,10.390034437491748,86.38912987505863,100,35.42804948795814,27.857845698304956,20.064750720802284,46.16944869406041,15.465714713193542,19.28231325724751,11.391989790957833,15.602919404235145,9.69626689628268,26.77856147198911,6.760642361890994,22.70067407599514,10.02056561485912,25.122214217996607,13.918292516497244,29.023597355099415,23.96432381574798,15.203172272921611,17.143330530739732,56.14756962131864,57.71578599150528,9.348081518467346,14.112608886077181,89.14048368457743,100,34.583371437554824,26.69432927433871,19.13570567291546,44.17526655768518,14.176154711362633,17.28205157239739,12.36926134339257,15.435973190857354,9.064315565558333,25.04185524826619,7.330639077378089,23.27711047590305,8.663482545992288,23.92630370818737,14.058181886033926,29.511273383631632,23.61804643728696,15.027773167241858,15.945454328908749,54.36955884022791,54.94848253787232,9.805688726584425,11.705143347037575,86.637388582524,100,35.51546174912165,27.237746339625225,19.283027517200495,45.00343836022383,17.18981483267125,18.470105581076,14.244697445337382,15.636759363678513,12.097514252079286,24.698226904188623,10.197651456142523,24.184543117532176,12.680981377935309,24.026713218929423,15.317190094425415,28.18956883391727,25.241668183202396,16.2180118735945,16.342647803775137,57.70860802027082,57.820576283237855,10.89509853585009,10.778069379045476,89.38618586396021,100,35.10009651178167,28.229006287809966,19.96721760014026,46.452684169066806,17.60546489453942,19.96092177226812,13.638977697403302,16.16898019212544,10.718254362713436,26.32119277694998,8.626046896006644,24.21716655950528,10.152146769273795,24.008663612560294,13.767390541735754,27.81183905411614,23.992952848343737,15.347433306607137,16.553095030553198,55.64401129073039,58.26573826445804,11.747680635607901,13.074359298476105,86.89488976884394,Y
Read 10,100,16.29565300330642,12.765678109168801,8.404483642162639,20.4048523118865,5.933805161207704,7.795930544704097,4.068956662010257,7.400524459992993,3.661624314361282,11.246305932148521,2.0719212650667633,7.51433461134768,4.394509022961393,11.606924653942762,5.63394322325153,12.885321119284072,9.873250815222114,6.601087108457636,8.332829725056737,24.696889689730373,24.420037074542872,3.38676415450804,6.003359409316584,39.825642191752934,100,17.735243626970085,14.747327783197063,8.617677070848677,22.29650981852336,7.059084563185358,8.238456895612783,4.714951604532882,7.209806995658921,5.101398067125393,12.475487283184842,2.476049944589902,7.2144663335926245,5.466031092323249,12.615664025188494,6.294054747065837,13.572617014414073,10.71856318332029,7.348810198829702,9.398173969683997,27.37056410922787,26.399667375361705,3.8032303704021544,7.141120778814241,43.41813940685551,100,18.498763468216346,14.808615799158739,9.02816954673793,22.730914167852053,6.866881961202867,8.490001944169162,3.240005193796618,6.710997274734958,5.301397630885047,12.979747300548258,3.6197595828289977,6.303522524996192,5.865176537247826,13.273587595035075,6.270843995690713,13.741664999488881,10.25827408995797,7.28489171149883,9.573339991146362,26.996772768125535,25.965019216292863,3.523157352072299,8.273554510891517,43.59461384807561,100,20.039338614254255,16.344255699222593,9.899846739226666,24.794712995598584,8.837712819293774,8.956415966194456,4.110687614687808,7.149524586521951,6.654434583351526,14.189978798107513,4.1842501466309825,6.342400096522873,7.211624480545837,14.37402438072929,6.782288537932371,14.342641438113976,11.249656875859937,8.4998400152936,11.020340442265812,30.639256469028,28.79568541603354,4.073984311913311,8.916497422833816,48.14372020244523,100,18.669316234323084,15.224569990584742,8.888913148768568,22.99826269595677,7.413038744850679,8.271465033143112,3.8992060101886046,6.8903288676664465,5.889535190679849,13.473842565799494,3.6328407451634543,6.592134982695278,6.339417064436316,13.33087144764948,6.596888641133615,13.749058842130642,10.491466254204042,7.637979677805591,9.920150556454885,27.889490088568277,25.981856947749865,3.734954516595075,8.14688118812569,44.54417006968197,100,19.612245253040314,15.683620062677047,9.619091285128471,24.00003134980124,8.622324400090353,8.454884686266908,4.943630817630883,7.514306307773556,6.427936946141027,13.416072785558056,3.613965095784826,6.740242406739649,6.8589787430083815,13.95018294985981,7.006370068931461,14.521162191906255,10.665147417201318,8.040904668494543,10.304191452186378,28.792794766428823,27.970360588386335,3.9433623124610246,8.468798929324086,46.13473143735267,Y
