,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,43.246953780805626,35.16182430936402,26.90815857400469,61.41246436904817,21.361455203681263,28.021258237581993,14.922643592248916,21.601142427334555,18.46909656353203,31.969288159119575,11.145161644163501,25.331172729798542,20.120234583208106,30.998281727014287,13.708790606205422,24.985818696185213,17.594634736832177,21.660649819494584,10.551902477309188,16.99929410382438,55.03432935785799,17.150066848320854,19.519494682064078,19.403749093377975,100,43.56648879139149,36.00167960744209,27.01878937111984,62.467084702269915,23.487089955327644,25.739522687586426,16.803698532212934,19.159164117203645,20.072010991614643,30.207924851786384,13.736884113897798,24.421475468152963,23.1176568915919,30.28761425874632,15.503354101468387,23.251329006011453,20.813172122795773,19.105169183769853,12.558295394540709,14.516892684262158,55.27868044275814,18.556580726139334,20.344648418475124,21.640505909386384,100,45.2795779774398,36.4011820737947,27.373315356797743,63.52749944897804,21.92505363256914,27.13324933489098,14.960793674124435,20.054848088953648,19.673476499800326,32.033625005176404,10.788381742738588,23.60408739141559,21.271378619047795,31.25007532574727,13.686657678398872,24.123554943981134,20.20878948030858,20.763478843480172,12.475764629355112,15.591945417473806,56.119469087789916,16.926205854249908,21.01076996045172,20.072010991614643,100,40.40455088220341,33.71131215816768,25.68076704237668,58.99203339238543,20.49773449731465,24.796737933773343,15.014527194972612,19.572107387610295,16.7132295981274,29.17747852730938,11.239968833917024,24.037231126441757,19.512797834921283,28.53481244517557,13.723931468727123,22.95190839171945,17.39290447441514,18.28625479516491,10.76593759419226,14.302903644987774,51.95052959294404,18.522419397984837,18.662683727361852,18.15904452173655,100,41.32156395837323,34.354677774219596,25.589484100032028,59.65557308600294,22.228935270588675,26.078721976682093,14.637674370917924,18.440441154390555,18.391419070798598,30.690520473006178,10.77769122532956,23.1441953299865,20.88892477554113,29.97622821778379,12.533354865324677,21.846590908190418,17.72484043257698,19.39487975174554,10.971400794205547,14.98309380591774,52.46234309603324,17.347307816134908,19.018852865991096,18.763982346699496,100,40.75620735254078,33.53770043242128,25.71633875545236,58.94664865886109,21.845206152462826,25.17535616266989,14.70500442210512,18.207838958151026,18.065526267610668,29.23395799094029,11.560388914324255,23.170340110236832,20.685398793922545,28.387859457726922,13.226483790194623,21.25972258045774,17.28674978872058,18.93365646773705,10.843548215144164,15.613093099127768,51.06333787045614,17.680426431276512,18.73571171895332,17.954058756633895,A
Read 2,100,52.75979565102388,43.218658559968134,31.518772620548365,73.77817811984352,28.19711005330587,11.571097968629466,9.271152675402389,9.091113154879757,27.694342026919532,31.518772620548365,12.197008203272226,16.713808176909232,30.096939857854526,29.682171202404717,14.658979494717636,15.902953043009743,24.8305578758395,19.45583176963429,14.374312017869563,13.666939846663215,39.60638159102432,35.11571170930229,25.259556061183464,27.484646858359405,100,50.6062018218848,44.20630985062257,30.232212781184515,73.51761529554263,30.030325963462627,21.288292639822505,13.339072421250425,3.8997134790583057,27.71267117307218,33.86244966764332,9.391753737654346,16.031569860648663,29.648083068618345,29.622424835280093,15.598853916233223,16.220183053355417,24.29117721493675,19.884715127139106,13.787569228633554,14.849666517193606,51.63255990987378,23.721031029314766,24.939879659830666,25.423021492278092,100,52.59711595871693,46.22997811897706,32.13802794398578,77.7570680110482,32.310615449328864,27.2116893292864,17.51221982787067,11.958695298758526,28.80035209579192,34.613715410931505,12.415048281603559,18.908357494012353,30.696572953197833,30.27962220966674,15.944927065011369,16.817930245967897,25.98705171825073,20.325873561826672,14.372563029108003,13.399906482711016,63.442478417555115,22.725017493155107,24.47559288913097,27.530984076442145,100,49.890208838481136,42.675593191996704,34.230981895889435,76.07108594370946,31.309679803647327,14.111081993801216,16.604465179453886,1.750264309867692,31.309679803647327,28.892617648338504,18.398599934800135,16.136639616838245,30.940594059405946,24.752475247524757,20.411413988206245,15.308560491154681,25.514267485257804,17.50264309867692,16.278399056888496,14.002114478941536,49.038645436037015,28.572763318354447,22.820654597259626,25.842342843838,100,50.302669136541326,44.20365824255552,34.11787130723837,77.88322027688447,32.47847343633121,14.166674971488783,14.166674971488783,4.568615402260503,31.29520789464893,29.580885782890903,17.648743382139024,16.472377090724784,31.29520789464893,25.37377647554585,18.836883866343776,14.447230424469563,24.959092249863414,16.521040053732,15.415008946523617,12.543708738737537,46.72855781699385,30.856045772645516,24.89468158184047,26.45794857808046,100,49.645014586700206,45.47531122480644,30.629056136395267,75.04506372741749,27.186311461703642,24.67466495810687,13.085717186537584,9.976060066822308,25.43406247475035,35.826501076605,6.0488749092668765,15.773535942905031,27.186311461703642,31.547071885810062,10.820556387610887,15.912105538308621,22.20851651425819,20.60172558181273,11.914901768444356,14.108279445548757,55.662797340079074,24.316176194340404,23.112718575541734,27.293767657097696,A
Read 3,100,42.93600665517092,36.89913239031081,28.251506831757656,65.00374986642124,25.84255830548959,26.11915439335617,15.321530777700202,15.78358995359935,23.205304602838087,34.18999451169338,15.477083301528868,26.11915439335617,24.956046953762645,32.538704265063934,16.291422256355943,23.57399095299979,21.016944551276314,21.73414576270019,11.45722387501921,16.291422256355943,58.40420473835668,23.675384930399023,19.964837563010114,19.699110999900256,100,42.93600665517092,36.376084917897494,28.988044038686066,65.00374986642124,25.84255830548959,25.91660590225866,15.321530777700202,15.692266583674037,23.205304602838087,35.143545557980104,12.76272984573737,24.782672085301805,24.076691222100315,32.538704265063934,14.117272026092358,22.53497344013574,21.016944551276314,20.764686213387257,11.160683487657966,16.05444348752616,56.409669280438166,23.675384930399023,20.92556609870002,19.28124080226332,100,42.85211005087134,36.62485864126147,28.483395008100125,64.78528082734985,25.39266862064843,26.602513582647553,14.201041704562279,15.5088155204358,21.953856324927052,33.828037693698136,11.740459378410794,23.579206832992718,24.521590427973383,31.870811822219665,13.871506301679291,21.159949985572762,21.506857531016543,20.56127568186203,10.966388622671328,15.657228619890072,56.03351606667119,23.103610944434575,19.451522954849175,18.94557622736579,100,43.36798151330463,36.857166244016724,29.450017552174327,66.1917260187175,25.303071308936413,24.993067919392228,15.03607720802351,14.840371548245711,22.532501896373788,34.26763071611013,16.429730480842288,28.07791244487244,23.40230916313859,32.81494597945639,15.068447702343281,24.69890622546259,20.32700916285686,22.89716387905864,11.255433614009256,18.625826519361503,57.05960914755547,26.3408964740895,20.35096557560543,19.44493149416802,100,44.31962185854256,38.175411119812054,28.988044038686066,66.86386592771363,24.956046953762645,27.302908537551588,13.598711814261746,15.934632533378721,21.016944551276314,36.09845128149132,10.405389401658818,24.956046953762645,24.076691222100315,34.60781035564543,11.948468691986784,22.53497344013574,18.82868447696881,21.73414576270019,9.286249980917322,16.291422256355943,58.40420473835668,22.59866166917618,20.764686213387257,19.28124080226332,100,42.519025876590256,37.181809514729714,27.30064079183212,64.21704307006927,25.169947149287992,25.43934419701847,15.372786249020022,15.519897603298414,21.761296997832638,34.22885512635378,14.300695967203737,26.36918044797279,24.306509264909838,32.63846461745389,15.07425712731614,22.960424404218315,19.631290191604542,21.168465355300334,10.870201402413366,17.187297528191387,56.88410292754809,23.05917937353003,19.445207411927868,17.912378899853117,A
Read 4,100,61.94984402218,49.54380956000346,31.3342564342471,79.88699250107312,28.27366181596928,37.079665290117106,13.930011366892424,22.820405855337217,23.676466594784586,46.87771982794924,5.151320025756599,28.361513902827088,21.85519993364731,41.71058529478852,9.106333305686382,32.29861224464765,18.303503417323753,28.332260141661294,6.439150032195749,22.4909841552775,73.05527162231981,23.323593401512984,25.885062771721543,27.075075391665983,100,61.02237172587448,49.232655685067854,34.09803748589506,82.7505437125013,30.272446181732956,36.94532699518333,17.292314072155566,23.9094912166047,25.4766216343482,45.36506996415668,7.502459216833395,29.207845551121,22.585393058257825,42.7705981342098,10.358421320831104,33.262430249295626,18.849695495426914,27.851458885941643,8.492207211449399,24.382992454708532,77.10579232757894,22.701913486238315,26.55833474071722,27.34154924149642,100,62.317506971770705,49.395390615538766,31.972470592894712,80.28683506118333,29.52983581372435,39.069825879943515,14.982594285139788,24.548675022693043,25.10508958547017,49.09735004538609,5.2562417871222085,28.939179429100182,22.30034526738126,45.15858154386224,7.662223252096321,32.95646834161486,17.8731544135814,28.909329829172144,6.57030223390276,24.15870737299637,74.54325678676918,23.798646880781646,26.31403994021128,27.090050102612754,100,60.775612778166945,47.725360069376876,33.14064418037686,79.89787786626442,31.43997562055848,37.897776516607955,16.948400897446113,23.433974232834967,24.834230046201476,46.067971263926545,7.000084241693101,28.71535426280322,21.160562324320423,42.10096123931273,9.191560914942771,32.523062532683745,19.324150197996236,28.597426231639144,8.323312410545753,22.212410620869697,75.57229613284093,23.541882589724207,24.731960991083376,27.328475291341004,100,60.775612778166945,48.25350628693769,31.86702371540689,79.42061807040231,29.67038141300747,38.64830039599247,12.998830105290521,21.790009897621484,23.898058378851204,48.56763731254232,5.359554953357155,28.6269537833683,21.160562324320423,43.38572538224004,7.57955530332159,32.60090004935513,17.680320432517146,28.597426231639144,5.813253548680072,22.701480822270867,71.90597522911389,23.541882589724207,26.1273251556503,27.328475291341004,100,62.832818517231594,49.715503582098926,32.42335847673922,81.29273567321417,31.353708745218082,38.08009535481542,16.144102123705466,22.600195067630022,25.405862600580008,46.872226284008335,6.612881893929374,29.21666715298839,22.52266415279249,44.14315373172499,9.3520272607664,33.09085042506759,18.79734215520684,27.89977927486971,7.711879241959133,23.843084747149778,75.89560500147374,23.843084747149778,26.484571345722507,27.805576037070015,A
Read 5,100,56.76645648280727,46.10024150163048,32.90974109429961,78.94714890386742,34.22102322957919,32.13642331488539,16.055978529169625,13.503422284690329,31.344032096288863,45.2050059611834,17.73086211601172,31.344032096288863,29.589828789383013,45.3092051143246,18.63850143846352,33.45452373151036,26.831663188355936,31.444173029048276,14.295078047882871,21.89599949419882,71.85922708579287,30.736335687390323,25.355752778531446,23.11821579060403,100,54.651662595218816,45.164637329658255,33.548248237817745,78.4553276423183,34.61859952516771,32.3947171692001,17.309299762583855,15.411558530840994,30.417532060138804,44.19174645145327,16.762551765603924,30.34088129052061,29.72055928700863,43.82134411928476,17.620403219201286,30.823117061681987,27.66459420779282,29.928761897493928,13.47701697781207,20.12894894269064,71.49846367009008,30.135526096306563,23.966339473799334,22.9741950094515,100,51.98765523305524,44.66346456250914,33.548248237817745,78.02874812784039,35.10840469375871,31.520335511272158,17.309299762583855,13.930151865809803,29.72055928700863,43.7504357490143,19.462371482448674,33.105732009933774,29.060313455496143,43.519185638108596,18.522388172587224,32.03329213103025,27.999258726942728,29.9028158484924,14.530156727748071,20.12894894269064,69.73985531600563,33.246110301834875,22.9741950094515,22.9741950094515,100,56.412815463103776,47.44438765178114,33.246110301834875,80.38071824714335,35.10840469375871,33.548248237817745,15.955953743914398,13.930151865809803,29.405491455783576,45.35328861998828,16.762551765603924,32.70472152605703,28.683938283631544,45.0269399441631,17.620403219201286,33.246110301834875,25.228578035530262,29.928761897493928,14.530156727748071,21.759592819054298,70.56965989786342,30.823117061681987,23.966339473799334,22.9741950094515,100,54.890099990099095,46.86629603608559,34.32941706087718,80.96927607826966,34.68062228579784,32.70235139836658,16.7402713953667,14.40578450550108,29.358425703080776,44.376015698018335,15.66513484474813,29.971189321565344,28.70622471308456,43.93001427095324,17.40570538305348,31.378581622109447,24.92117751546657,30.76923076923077,13.312804709405501,21.809286334362277,71.44824750129227,29.94590784146816,23.513813137898833,22.893631061831723,100,53.18531553048934,45.456446853670215,30.691083042097265,75.88499498776562,33.63734703021456,30.598079546320392,17.21643201845047,13.972424389064852,28.475254725740868,42.658632888159566,16.882100541638952,30.199619531272575,27.842673486189806,41.69571253807563,17.746291927084286,30.691083042097265,25.182073665666692,28.649874656798374,13.921336743094903,20.010808898460322,68.50264646247378,29.04506401001895,22.962139264260884,22.011566091185117,A
Read 6,100,55.21607175765142,45.137043190524764,31.184996962755964,76.06553849363392,31.71262169956536,33.82613294973867,16.115805243241724,18.374845094028053,26.670994968377794,40.78781224348263,6.006006006006005,21.65496261539933,23.074321576334587,38.73757476659963,8.661985046159733,28.042324396225226,22.66421893587172,25.339367098773558,8.057902621620862,17.072276761023293,67.36372320869647,21.754679010540336,25.678748740458794,28.47632334205332,100,55.00762266695926,43.20716498796478,30.58613333116676,73.50837648353676,31.103625783327253,34.64995563113276,14.761974653795559,18.289555485697488,23.562676720075405,38.59175154137418,6.869641723427547,22.384542884071635,21.723714555355535,36.82492838851976,7.903162031691058,27.729977134636712,21.239109775353377,23.59211168060885,7.903162031691058,16.02435262574864,67.60681779172278,21.336911258570733,23.826282299901848,30.036637097035726,100,54.098363820459944,44.73714913204239,31.68862426229554,76.05269822950929,32.144286886542695,33.14140953355001,15.7895820466032,16.850442583589917,26.131108992791006,39.96216746227997,6.86236541702401,21.183947275509002,23.537719195010002,36.78592352144941,11.102719938868544,27.29766624630623,21.891344283556872,22.39178250022413,7.8947910233016,15.833381248762752,67.65814923763591,22.484374690529364,25.15894824812516,29.06693900253847,100,54.379769531464014,43.76495277907276,30.571639292817814,74.18423451802552,31.360149121444813,34.25446347508209,15.62591179245136,18.415313651108658,25.196025684584136,40.680757504246394,5.8234334963894705,22.12904728627999,20.996688070486776,37.56001746237386,9.390004365593464,28.049370088032365,20.373696348166664,24.569092836861152,7.81295589622568,16.79735045638942,67.71228443395589,19.936224980926728,25.860241452567575,28.17001309678039,100,56.001527033707504,46.4999238412472,32.12660558284165,78.36228288077001,33.3199158961422,36.03568810434607,16.602410425688326,19.210709932260883,27.476306535298246,42.01937098465448,7.000190879213438,23.544484086672988,23.018283922457957,38.54080312435945,9.976807014352861,28.889042271819704,23.348548773806712,24.780329655365406,9.424295391491038,16.831420008334913,72.09262053522833,22.411545942673964,26.250715797050393,30.437752447095267,100,58.03702959569884,46.027178412679895,30.62224399804017,76.42566139052667,32.981166138746346,36.02508860816448,14.800399281717995,17.83466410896746,26.49841701712878,43.976783613464576,5.477873536256221,23.27290543851053,23.11117376789956,41.93347077075867,7.142273266591499,28.411106087073,20.38622853637094,25.751832486071333,8.216810304384332,18.085280573534295,69.4848339229928,22.082014180940643,25.983835663395915,29.60079856343599,A
Read 7,100,46.35911824131989,39.00685525512063,31.467225664330154,70.05810652602416,26.370228134426128,28.305178773979875,19.072018844893044,21.169306409668117,23.586249076301716,36.55267033196731,18.757796046756706,31.74927993580688,25.10000966685856,34.23532156150802,19.503427627560313,30.52769297863061,24.88598388685854,22.47658976023583,16.67799666460789,21.64133584962844,68.65268858016208,26.257293019608145,17.748387043283586,19.411790029181045,100,46.35911824131989,39.98499960944668,31.467225664330154,71.0772176755631,25.846641062210416,28.618414191902936,18.145788243669035,20.68650889774343,22.999371031104435,36.55267033196731,19.655207563584764,33.1055962727627,25.429358459857397,34.23532156150802,20.484402778081044,30.547155966249232,24.50087773031425,22.23732888614385,15.418813370836187,22.370567519279536,70.19371392420355,26.370228134426128,17.748387043283586,20.044457382087042,100,45.96819810912281,40.17492794824226,30.957450947624547,70.76747177968925,26.147862967454753,28.72503839045713,19.846010541281967,22.57363569494173,21.89022349331523,36.58145797986731,20.990797663727133,35.560830710050865,23.387359624631284,34.135466819128524,20.79500979640145,32.59419120363532,24.294275734318088,22.933192903347486,15.478725473812274,21.621621621621617,70.47786384002862,27.22092608003064,17.59872496875644,19.87543384956782,100,45.16021313341713,39.75086769913564,30.154217688608334,69.74439401638621,26.147862967454753,28.377091347906354,18.37837837837838,20.990797663727133,23.387359624631284,37.60546406686721,19.4894663538594,33.86045354241259,24.888355531289378,35.19744993751288,19.846010541281967,31.425820224321367,24.888355531289378,22.933192903347486,15.478725473812274,22.28705743577114,68.14241949975968,27.370786813345216,18.880269401700517,19.12627677076122,100,45.59894896671854,39.568974916257744,31.50500969252661,70.78481753901748,25.459892565638253,28.652777531725118,19.09491942422869,22.50357835180472,22.714389309774933,37.97080478315924,19.678808402270437,35.236354964674106,23.61457008272453,35.354513133286,20.038816450917828,32.82020822699031,23.61457008272453,23.335398238655113,15.62910278711533,23.360915357529414,70.34578533224769,27.485380006580446,17.7696982819558,19.312090397286468,100,46.00065758001415,39.91756185528436,31.782556303626947,71.40840364221332,27.0859462091154,28.905197111346084,18.720405241713472,20.572119471720526,23.229845952790434,38.30531247863912,18.3276257869103,33.43734489745398,24.746399134725507,35.85248451954566,19.698869970265743,32.01066370168183,24.746399134725507,23.35998616407492,15.766788969580835,22.02400616672173,69.41056936160963,27.727515278084294,19.009664686303346,20.30513039817837,A
Read 8,100,57.586161507138584,47.81426410744444,32.79051779739335,80.59158584029636,32.69519632305409,34.55169690428315,14.243290757016089,16.76003480949249,24.543263840585254,42.93026927530188,1.2492192379762648,19.987507807620236,24.543263840585254,39.99452990276607,7.598703972889717,24.029211819701864,20.60265147091898,25.108995930345756,6.369793271196482,12.861499239209243,69.1033938085663,21.27343705924597,25.263895585454947,29.69360230856892,100,54.90813295594398,45.952206250933095,32.175660585096686,78.1225048015951,29.463611190594424,33.49313801390005,14.17377078072127,18.44459458915938,22.976103125466548,42.81344037215715,1.712537614886286,21.79704528941632,21.458034810691874,38.750302736740124,6.174642181633306,24.698568726533225,18.002020764493224,24.33973267406367,6.054734802615645,15.78881667523044,67.78058594892967,20.62168365939259,23.13510919658852,28.34754156144254,100,57.586161507138584,48.252861750975555,32.79051779739335,81.00683491254702,31.848966355982416,33.982437248558256,14.243290757016089,16.76003480949249,25.294761688090677,43.12973516959917,2.7933391349154153,21.2367270455965,23.702268533429454,39.99452990276607,7.598703972889717,25.479173084785927,19.75189044452454,23.768016977439654,7.495315427857589,14.568274565509808,69.92280809072594,21.2367270455965,23.866300030659335,29.69360230856892,100,55.319479522938245,45.93221939038675,32.64483501436564,78.55503587689014,29.41953839465081,33.472520535176656,13.682652407285946,17.839996096626074,21.634173019704726,42.42810399535267,2.6833889085560902,22.83247040734483,22.062614077583383,38.420282235886525,7.589769975203119,25.65409615556456,19.387368800436228,24.12066631734283,7.589769975203119,15.036558365704629,68.22354687892424,21.634173019704726,22.926884884846753,28.52481537022612,100,52.37798152016783,45.72001655541727,32.99325775314844,78.64884335657236,30.004407220989645,33.82977727345386,13.06286187297636,16.89313314394678,23.42414544066461,41.8742910894653,3.4304755909596003,21.865077474008427,22.298091341237402,37.618101684101454,8.829726973050963,25.927905793125475,19.59429280946454,24.378109450869356,6.53143093648818,14.1442132076296,65.38184097971404,21.865077474008427,22.13255014056357,30.418280664607533,100,53.837010333753966,45.51167469442244,32.34594651304505,77.83580427611481,29.150179957505973,33.1660539381245,12.80657504669323,17.024757506868436,21.860613924911096,41.052738410539995,2.378121284185493,20.24897308671391,20.31867715890019,38.06851508580766,6.063043416876081,25.419213230002317,17.024757506868436,22.623421629536793,6.063043416876081,14.898887141666664,65.77558471314782,21.534804133501584,21.6983205599223,29.36763147497852,A
Read 9,100,55.06449514190491,45.05163362179683,29.264537630361342,73.96048565399782,31.347208373802136,32.71874773579429,16.98112973909639,18.347338416365158,25.947054821872513,40.20316164110057,18.245877702588416,32.10784222863903,25.947054821872513,39.33178224421779,19.46029111640438,33.44820642646103,25.947054821872513,26.791844651890745,15.494925216580398,21.3988030500293,72.98351081035366,27.272556840874984,21.16620045660301,22.825992355860706,100,50.309440392788844,42.99948339629769,28.11255530871464,70.88635264588878,29.444520330987565,28.883989188225613,16.20762106867036,15.459991270504391,24.235957125745013,38.371864513893925,17.67181670959146,31.67643637752452,24.696758015742212,37.40478860439272,18.993994287532722,31.924604753393304,24.235957125745013,23.45585265913625,15.202613148520228,20.03393742207815,67.98815287144667,26.54491399447865,20.202057326863923,22.52410642981145,100,53.2643724429903,42.80901986928846,29.12709106893644,71.82920587866873,30.270548245523525,28.652777531725118,15.74304672181635,13.80756537569427,26.960133250144022,38.39210871099002,17.903306917210706,29.12709106893644,26.84941354928249,37.51302320148365,17.601261321468286,28.46502523830433,25.877676216853395,24.11387625190975,14.847146063459716,18.1675766587635,68.20434167367453,27.004294022165663,20.997035325479036,23.207391797259366,100,52.332256524109646,43.77775014105335,29.424625413086115,72.87543135841965,30.19503386970718,30.853364871170097,15.45457040490351,15.93020654449047,24.99336431566781,39.00616100128868,15.45457040490351,29.638484110457206,26.853759293059728,39.10906041769108,17.278734994210346,30.080730492109296,25.40349247991791,25.807103683652585,14.575086271683933,19.671624250627755,70.12108079289706,24.17598408203703,21.53852469164357,22.091221740343233,100,51.29887678198423,41.89415232374112,28.052279361073026,69.89390302184465,29.623639200179497,25.96528392604808,14.299275135340038,10.354139825269243,25.96528392604808,37.258295093922094,17.497179328315006,29.07762129087327,25.4276421834479,36.29662847273353,16.95176145563193,28.462965455594787,25.4276421834479,24.27122872290831,13.29805576185189,18.087311326834786,64.20702895122989,26.947026110126775,21.261299848777,22.301517489062686,100,50.354239547162344,42.3122931517759,28.332266010036808,70.59150621615909,29.444520330987565,28.883989188225613,14.441994594112806,13.430782162532932,25.681432623588496,38.371864513893925,16.788477703166166,29.36784176245345,24.235957125745013,36.489361387639796,18.050541516245485,30.86524071724067,25.171521747992557,23.57570961050596,14.166133005018404,18.90475028112641,66.49593676725918,26.54491399447865,20.202057326863923,21.786243925125493,A
Read 10,100,50.72919816431267,40.8706016209389,32.123030339543675,72.93980291698053,29.74562365655979,30.57730072242681,14.32611624666176,15.101052454597921,25.31397670289311,37.7526311364948,6.226323432830006,18.18407513713444,20.539651961208058,35.237586759209826,7.700056114178301,24.090793748379024,18.64842412874851,21.779047575409656,5.75030945769835,13.590947209138127,61.720645025599254,22.525385061109443,23.32122762182761,26.78042969350658,100,51.04803315986814,42.58351010732505,32.112882433102904,74.55369029460837,27.987082884822392,30.824157294459326,14.44177380516549,17.35685198772562,25.106359073607322,39.28587210095729,7.220886902582745,20.452099031216363,19.405550459978414,36.59849300322929,8.407157885798338,26.190581400638195,16.14639397201292,22.707236931893426,6.0891864903039625,15.89324333717266,63.72770770986302,23.77903340621585,23.50950448637412,27.59097011405015,100,49.52840957858013,39.71867951841227,29.67788110984434,69.26196038683356,26.73521850899743,29.445390361493786,14.722695180746893,17.601277911181175,22.245046429597878,36.514716513243606,6.89789607454948,20.56555269922879,18.537538691331562,33.948738342867195,7.415015476532625,25.208536086645267,16.58047865973995,21.982065117153674,4.598597383032986,15.286446012666843,61.507851634912825,21.691540472729034,21.198486507031674,24.849451873716344,100,50.84533752680599,41.11847093826522,28.274546323117022,69.35952861741137,27.986512873581248,29.998689719700266,13.944920346116557,15.899655483607063,22.81935183463273,36.90942917485647,5.597302574716251,18.709073900841908,18.18195165215248,33.26057582371895,7.495169473992285,24.464405562706204,16.759708446728094,21.199540644809417,5.299885161202354,16.169160363895692,62.820967617759386,20.891540632202247,21.703162891405366,25.118066674139016,100,48.851304967484644,40.102827763496144,29.265294541404025,69.3229975966403,26.35682389301038,29.445390361493786,13.79579214909896,16.739147142518977,22.57531969161969,36.514716513243606,6.58418944723172,20.56555269922879,18.87666812409853,33.933161953727506,8.845578680763627,25.01907467474846,17.480719794344473,20.795628191420754,5.537444531757844,13.834060716785304,61.3529414505966,21.61829927159757,22.197463388095528,25.29228560668143,100,51.04803315986814,42.58351010732505,31.067534315741256,73.5286603140498,28.418468853485656,32.112882433102904,14.954191592518628,18.5819983871174,24.546295481143982,39.28587210095729,7.611483112879952,20.480406448267438,18.51953771160953,35.52206673842842,7.762220183991366,25.12942417638052,16.814315771596675,22.834449338639857,5.382131324004307,16.14639397201292,64.38792864903415,22.834449338639857,23.236849456321746,25.586360223906812,A
