,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,32.796456631412525,29.590080225391787,24.359166318680067,51.0474240134066,35.08831896008527,22.294752084047804,19.696347968814116,76.85537804476425,38.63308098790257,24.838319163597138,21.588750821445885,85.002920812304,36.23100542411837,23.34257308712005,20.119246076538797,79.67372933503323,26.081655448618307,16.91877564882093,15.331589406868613,58.3203545488383,85.01084390695814,19.36877098269339,16.35195637683322,32.827246614690196,100,33.567813864238694,31.361872662905455,23.77315698964285,52.248035413973916,36.901944790405366,22.819114165822974,20.15959680806384,79.59921203179931,40.54605085643737,25.422504746613285,22.09650808562101,87.97796537774828,37.083141628969535,24.718923090402626,21.415453648016737,83.19226862569175,27.706715669837287,18.345510010786693,15.488524917753697,61.52554414860979,87.01025896734859,19.824315365318686,16.503051410658127,34.10993784837792,100,33.69935870534767,30.825882930307912,24.07097050381977,51.850457292297165,35.29979908591802,22.429124351397167,19.832252558560622,77.41991219330143,39.04964858119375,24.892360356144874,21.71886796229509,85.51524026568066,36.449372613348935,23.48326065608965,21.049453077909448,80.96202557550373,26.238851687699313,17.02074647299232,15.423994131662322,58.67185602523073,85.94857379462829,19.98632502792306,15.423994131662322,34.181376394459136,100,33.18867403486104,31.306497508464027,24.212905468172497,52.6628647537171,36.32410552051996,22.484820813355842,19.94919383683135,78.59930949310417,40.08809363390805,25.13536409006155,21.84693370644615,86.98427687252664,37.29841636556037,23.781780688109546,21.17357160365744,82.2526333351765,27.204284285622787,17.12110964877361,14.716423176371855,59.017815810779396,87.8796427419559,19.600404818878744,16.54751170598063,35.04849737730951,100,33.12771955516363,30.302986287792343,23.662656825116873,50.9709227111682,34.7010118114308,22.048661159331427,20.29056083110137,76.8131065340855,38.20664652524899,24.564152179890524,22.152981193013847,84.86404268197037,36.45079388505092,23.084916245966873,20.692393123905468,80.22344805227867,26.586055278239105,16.732025101930287,15.162358325029953,58.46498973606689,84.77084520604834,19.15497722783207,16.17146241796224,33.11777576999134,100,33.12771955516363,30.161357318500194,23.96692323712913,51.23517280119026,34.7010118114308,21.973843633927252,19.49583986602437,76.00704337922672,38.20664652524899,24.564152179890524,21.350452784621226,84.06465303935754,35.83108522789403,22.956149052399887,20.692393123905468,79.42711463591428,26.771240163088454,16.55391449912437,15.162358325029953,58.46498973606689,86.72215133294071,19.15497722783207,16.732025101930287,33.11777576999134,B
Read 2,100,34.166914184691365,34.71759917361773,31.307459509037397,64.15929203539822,45.475231838704566,27.67698230795753,24.336283185840706,97.44564400683733,50.085094790583064,31.150725310461777,26.640695970779415,107.86958135435925,47.77173203913536,29.51695589408481,24.956889762563,102.02210000149405,37.87000612527365,22.80478775231007,18.243830201848052,78.75764385543168,114.81000659583293,22.69721739898583,19.031693068678376,40.50848102566494,100,33.20427216770715,34.166914184691365,31.307459509037397,63.401459650031406,45.569313991252166,27.67698230795753,25.44247787610619,98.60656946047145,50.085094790583064,32.25084012635674,26.640695970779415,108.97000315066151,47.68199571294758,29.51695589408481,23.879461443498784,100.75484545783804,37.75674372981418,22.80478775231007,18.243830201848052,78.56318984320666,116.8175113490627,22.69721739898583,19.695236520757586,39.60733139373486,100,34.60967569027803,33.2628841195767,32.174380170480276,63.19459577249944,43.7998501683194,26.17217727056943,23.970363913706684,93.86056462968737,48.384404687675996,31.67235095608767,26.352988935384225,106.3649148996799,45.96867097347785,29.918348698509437,23.520410922775003,99.23990008050292,36.10381679185201,22.461895977433315,19.02838221461427,77.38191721318239,114.02462804054153,23.164405780637715,19.642358223272982,39.8993973057323,100,34.48352174049459,33.95535631516255,30.061208033574314,61.65770356808786,44.05363326325523,26.817934910046468,23.471916982950358,94.20575241589364,48.47224147837983,32.54969239056212,26.88756185953398,107.88004158466492,47.22180636944646,30.656537273073525,24.100740364991516,101.86606894548764,37.11235935825535,23.016108214902648,19.272832981614453,79.29119528665713,113.83909847141119,25.311564248642696,19.529815434337273,40.63922010316243,100,33.511959405612664,33.95535631516255,30.061208033574314,61.65770356808786,45.991581833305744,28.000304128579774,24.561795243943283,98.47527998749555,50.549208094995066,32.54969239056212,26.88756185953398,109.97977319213798,47.10287620794682,29.790474632413382,24.100740364991516,100.76498130665468,38.22092836580035,21.67744539348844,19.497877857064836,79.29119528665713,115.8738930028279,24.48555565419371,19.877742340923138,39.755484681846276,100,33.99780500578464,33.46536799794802,29.9023191356758,61.392367121384744,45.812092912349485,27.20673269784644,24.943612578485936,97.82681110743766,50.296983375636,31.89518142559456,28.518922441984753,110.70274046721862,48.05346797054349,29.987999308808973,25.55332239818434,103.53512182151036,37.80341888838744,23.101232364221467,18.986357021452267,79.7439864722253,115.02202045297251,24.080067533660998,19.81295241197859,41.476573617851514,B
Read 3,100,33.8285624432646,33.89456945713866,26.693635048209345,57.51477430312235,39.992976517694025,24.60214037681106,20.887596477283022,85.18234212976708,43.06088327055863,27.485706985152483,23.713948948533382,94.1842251508241,39.17993448392712,27.680183752466807,22.86949058707985,89.72643576007833,29.690466089462145,18.187768590839013,17.254432290936705,65.13233774317143,97.68363508615059,20.823293821430823,17.940304426068717,38.813116020752254,100,33.63564806605151,32.80629030279982,25.731510854341742,55.77455294478508,38.325835442262935,24.143290027387376,21.422281489496513,83.59362070747115,41.49703957501697,26.97307572376103,24.196724154041565,92.53467646985986,38.594477763914675,26.129957948090787,22.44295559515231,87.13390229984952,28.22103799897105,18.76565687682721,16.805020206249267,63.77596836759611,94.21290320755915,19.857970269121918,18.788583772215446,37.86249561678233,100,34.6768548050156,33.080286846701775,26.22054580911885,56.83456477741573,39.054229251254505,24.60214037681106,21.767897944820984,85.22955927250354,43.06088327055863,27.566905705584816,23.713948948533382,94.29332529459907,39.17993448392712,26.74382682248667,22.86949058707985,88.78990781821845,29.554651301225007,18.35900892487481,17.12440457287711,64.98804946081536,97.28009567019352,20.102393745716054,18.839692554057557,38.5820835157019,100,34.6768548050156,33.42978352810834,26.22054580911885,56.83456477741573,38.11581764513308,24.60214037681106,21.767897944820984,84.28549431946503,43.21631952354932,27.485706985152483,23.65732980937368,94.1842251508241,39.327977199480756,26.626565507429504,23.808014962205316,89.72643576007833,28.617144384307025,19.28524778212097,16.184987489243277,64.05272146157319,96.00344722653793,21.436807959067007,17.940304426068717,39.59983281273057,100,34.03010266473461,33.262407588261894,25.343788222599358,55.77455294478508,37.40492599192052,24.1254523522316,21.361908570513755,82.6666440513775,41.34113280123496,27.898851959493193,22.346839711964915,91.50544178953335,38.449196167951484,26.129957948090787,22.44295559515231,87.01029753041357,28.22103799897105,18.76565687682721,15.88312403138507,62.85808501230379,95.86175416824055,19.727467407877235,18.48831664208154,38.08921917374741,100,34.83164748958543,33.22795267268667,26.33759069970946,57.088266415229235,39.22856193002826,24.69370310570804,21.865066831078618,85.56258432561654,43.253101098815456,27.608399380280428,24.711960929352617,95.44947878355863,39.35482829347641,27.689960560572228,22.97157683055907,90.00176837672814,28.88575615109801,19.20766304127332,17.200845546846647,65.27814712675308,97.69125934560768,21.532498905412922,18.342870088164084,38.98637240340733,B
Read 4,100,34.595678422615066,31.09236093691054,26.98870252522674,55.14482265856658,37.84341111411813,23.509859121717422,21.309341213894832,82.60537831262594,41.999491901683896,27.53512610420865,22.505172624340684,92.0296733250855,40.85879661614915,25.07463384725924,20.89552820604937,86.67163319048024,31.827120348890304,19.680202553159948,16.99073040162195,68.38486841043179,96.5672928396627,21.501321138857115,16.86936648803288,34.669838590081234,100,35.82708654202689,31.377961043069078,27.515814727073153,55.62032299596108,39.75484977094418,23.857386340012802,20.770643011513666,84.33910262577535,44.86575043110966,27.18393394226703,23.969026567620542,96.01523062359504,41.54128602302733,25.564362667878434,21.57756847971592,88.3644035400721,32.30029886966577,20.302658576406426,17.322573746243883,69.72048276710963,98.01306769766973,22.663751368669324,17.778909304624626,35.34696988010141,100,35.34233881282919,30.20838366855534,27.349069342017966,54.44682941946824,39.51393603465765,22.80567308049971,21.59387432377633,83.82800904987963,44.747372454379544,27.902789045205676,23.82377466052424,96.45049970064485,41.54426543992745,26.18641903036557,21.44680876933145,89.03382470324294,33.266505219189895,20.179624799084323,17.21759923401829,70.52031180678664,99.28550512403098,23.286327133842715,17.671169406414595,35.13276782351494,100,34.66932097548665,30.59390720541859,27.666559632737496,54.81700960699423,38.76147921747374,23.370102780338943,21.18266603690543,83.23174379068365,42.90109593157434,27.37144122358917,23.370102780338943,93.61605911783671,40.61590805188185,24.925575570484593,21.750159339972694,87.14637205508802,32.49272644150548,18.822712032513255,17.853949769943927,68.96429202477623,97.39482900630385,22.097443022127262,17.334660487743324,34.46374080904196,100,33.89609526788723,28.560097039206333,26.775616191570155,52.60163277845817,39.0170062102867,23.41459712092332,21.322308358649735,83.66371591740504,43.18391248690419,27.551881759038793,24.425141133452932,95.10243169221775,41.021802061169744,24.863388787284507,20.90824353761491,86.72437454941966,31.700810564072583,19.925844527777382,16.72659483009193,68.22324567481597,100.01563348537535,22.24311582095467,18.70090153609105,35.32266687072616,100,35.72522200673676,29.723833374627002,27.17878321056313,53.517308273627975,39.267906627888834,23.67543840919302,21.45942231461533,84.31918517122949,44.31620566722958,27.860251227837463,23.56516562338511,95.71399167962305,42.29529316137728,25.02327380245231,22.034330044833016,89.28826264623473,33.05937478963284,20.053978467274167,17.826119420815534,70.86477475843537,98.77812605826202,22.386151066103203,17.561141710814795,34.91401730425043,B
Read 5,100,40.41212997141084,35.751466375898424,26.57013783085556,58.796362179513416,42.72231831803565,26.47024974105191,23.132410222398185,92.07762660361199,46.39347305960727,29.922891011623896,25.31936931752791,101.4408228768342,43.9750792370648,28.795018996885275,24.27784913077338,97.00904828121311,33.55364193143803,20.7477918947174,18.557389223842904,72.83354739232013,104.12129108697016,21.9875396185324,19.050460763317815,39.90087656429904,100,40.31616725406409,36.645569345308644,27.234626355114305,60.266791433029624,43.790754260400114,27.132240179308724,23.710925141254904,94.38038192270669,48.72449316518434,30.693905464805212,27.132240179308724,106.40530644123801,45.213561157807725,30.693905464805212,24.80098624705514,100.61076824452235,34.2914754128787,21.36459865079018,18.91143039032842,74.55243746289943,106.7252445741045,22.537422643084586,20.601921902292062,41.89048225684725,100,38.94331756402033,36.12004793756523,26.941419980940562,59.45720498602597,42.72231831803565,26.47024974105191,23.132410222398185,92.07762660361199,47.53568058018963,28.795018996885275,26.47024974105191,102.66085615651372,43.9750792370648,28.863934178811043,24.27784913077338,97.11139652309352,32.40908698429905,21.9875396185324,18.450016735966624,72.83354739232013,102.01371874342843,21.9875396185324,19.050460763317815,40.54301980390963,100,40.78814926636603,36.79927078706303,26.68267071019606,59.76159718534493,44.859677111688505,27.724204435872707,24.22824402391728,96.4621457268204,49.9478046169254,31.36357722096838,26.518804243008674,107.6119292221101,46.20001903745611,31.4329913462037,25.427944924938505,103.03175335756075,33.944377628564894,21.830725983937842,19.324035127629454,75.08395131339167,108.57973023036205,22.161012910860933,19.473836091373563,43.46132202825444,100,37.722211475684695,33.86427307392982,25.77087735578467,55.95813256310024,42.57043851667566,26.376146788990827,23.050173442937826,91.7502864172918,46.228542134739385,30.984532307583255,25.255407735717018,102.2251591654429,43.953596093433035,28.69265138347891,24.109857845904404,96.66417666461706,32.43609088011686,21.81914861289042,17.24001878253774,71.43308028622678,102.86000457106033,22.7052636160818,18.982735501429875,40.72312134074473,100,39.08010848482168,36.520631476626065,27.141773761145533,60.06132035948647,43.75216098266728,27.03973665647778,23.630086106562164,94.0806443627677,47.551724467803155,30.566658829061836,25.864095932283092,103.69657686903336,43.89408582787319,30.656959347296727,23.54218715553819,98.03039133051007,33.10634338191564,22.368090277969017,17.673755441303676,73.12636510737825,107.90947419871749,22.460584498639548,19.46031666734875,41.415271464398145,B
Read 6,100,36.848625567102694,33.32060389205155,29.11529721706201,58.80746636040079,42.87114159725624,26.94757471827535,23.401486005074467,93.12385011635575,50.35473981159839,30.62224399804017,26.94757471827535,107.85291709299369,47.7864017715119,29.499251785380437,23.561224965300514,100.70947962319678,37.97158255756981,23.561224965300514,18.737210363520767,79.95631514143845,116.2032457190732,25.13263661034198,23.529363929812032,40.77245707274188,100,38.06126498777967,33.15561685140827,30.35787673788927,60.24266883609561,42.950055221499575,25.770033132899744,23.44456151005375,92.06855065359035,50.37274696717093,30.703143951888098,26.997177567799735,108.05144375349133,47.85863296109953,28.46340288315917,24.817460321704118,100.89485723938873,38.04147748189962,22.393284563620888,19.787109457107746,80.00002951531046,115.65144585429785,25.1788986730681,22.82620596114649,41.523927636982776,100,36.77205465466648,33.25136415776909,31.163791184407685,60.00702950071424,42.799514484810175,25.698320549601082,22.13759965319012,90.48652009936072,50.25010338856978,30.558611416697232,26.891578046693564,107.62880028690878,47.67143381004768,28.352068218416342,23.512265079661834,99.28116150114329,39.134117084909235,22.13759965319012,19.898326116733543,81.00741486752668,115.6069064041132,25.987399615535146,23.480470250945544,39.36252826819367,100,36.848625567102694,33.09469888806049,30.302099159365454,60.13198289384407,42.88863645274766,25.751832486071333,23.401486005074467,91.89938991623073,50.35473981159839,29.397354238118563,26.94757471827535,106.62874665762057,46.56192505817788,29.626130873218575,23.401486005074467,99.48789591387224,39.19647231749143,23.561224965300514,18.53594555416653,81.07437894842191,116.59638058708732,25.13263661034198,22.78426658223698,40.439916754579066,100,36.51190917248153,34.0675529335891,30.981382283914794,61.14742950899789,43.85007238575229,26.29931120851597,23.926077864173827,93.93446007563772,51.590056165425125,31.3337407719394,27.55165936130245,110.38438446797902,47.6550972835077,29.047998759532135,25.17188633968915,101.81829241917521,37.59131125811806,22.68098970103298,20.38675090306789,80.501734151475,118.44459627953039,26.62528694485824,24.31620267870708,42.37676722777366,100,35.711366332957496,31.610700393346246,29.11529721706201,57.098785011301636,42.94107825320456,24.528398327413992,23.305117087751647,90.64184223419892,49.23995894718711,30.62224399804017,26.975398757404747,106.74125393941371,46.610234175503294,28.411106087073,24.619979473593556,99.58587272992574,39.21560654968671,22.183697055701657,19.93976065176348,81.17609762753987,116.59638058708732,26.04151350498444,23.78305712756932,40.439916754579066,B
Read 7,100,36.33119475650169,33.892062812538434,25.19564544622022,55.67976843072409,40.56346773701533,24.853413656418653,22.856411830703074,88.0009567510188,45.946411404396315,28.98898236134899,23.819688428807734,98.6407108553758,41.849453525414766,28.01238773032775,22.973205702198157,92.78551359108272,31.314528609253095,19.90210456458494,16.683409722293945,67.89458754898259,100.95769447183076,21.229471835161092,18.508581293324696,40.470992686203715,100,36.121638300223665,31.724158145103033,24.614971519025413,52.96905895713697,38.62321474687719,25.270393207318303,21.251183707296715,84.9626547626922,43.886168697245346,28.320884920897402,24.2806270079133,96.36737798617276,40.88496596817282,27.366797474337176,22.443751451707794,90.64712310298336,29.59118804873031,19.44342874928873,16.298913875060244,65.32873196020024,97.70986332634851,21.490237163114628,18.082021449508055,39.53827396261588,100,36.567457154807194,31.50552650508938,25.65742523463188,54.01977276099706,38.75248108426531,24.36189076970449,21.39454676443102,84.23346771945685,44.03304938355459,27.45839020422086,24.36189076970449,95.77065735924363,40.88365998122997,27.551881759038793,23.52416532402272,91.95713016267273,30.57771487156457,19.50850310514335,17.507785498612645,67.55660236665675,98.46089167823325,20.90824353761491,17.712220280499977,39.67060287141571,100,36.567457154807194,32.35914023031199,24.69735428374426,53.90540472989173,38.87174015565274,24.34077079107505,21.322308358649735,84.27619639165204,44.18462659389851,27.402142162487415,24.36189076970449,95.77065735924363,39.87749138202332,27.551881759038793,22.51886745555225,89.94405195870591,30.57771487156457,18.507391065816083,17.360286783594006,66.4203421096671,97.54251552571675,21.562161891956695,18.14253937119505,39.384356671293304,100,37.17829733413064,33.46046760071757,25.467290235571188,56.260972842663406,39.52107217310127,24.747370591874617,21.678486328757103,85.68398601997208,43.905277079900536,28.89033971153207,23.738635663479766,96.34405961475008,40.54362394583935,26.987528002273457,23.91712415909095,91.44652013949685,30.18618512745813,19.699910470759747,16.626640025363066,66.50656010145227,97.76277272547962,21.92234648945071,18.008093624018336,40.8961270675437,100,36.33119475650169,33.01201476160127,26.520446183085973,56.45306928382304,39.53434697267004,25.866528711846872,20.796431704337074,85.90180329927706,46.09760871173402,27.95500483415685,23.819688428807734,97.70291583674518,41.849453525414766,28.01238773032775,22.973205702198157,92.78551359108272,30.2892522882658,19.76717348633502,17.71054606169032,67.76043178492682,99.5105228229247,21.330086009403317,18.069580130960144,40.1789712135491,B
Read 8,100,34.51756889754325,27.62753525313968,26.69460947504665,50.491982456244926,40.23195453036201,23.936951685019466,22.580701018178093,86.59303552286384,45.40122909701966,28.128377272326514,25.158785471072882,98.66313707421868,41.931309118454806,27.98091425241046,22.511892221273925,92.34412931680575,34.786192162080894,20.592348958930728,17.378223828572217,72.6840979770391,103.7771871353297,20.339672531272246,18.192356168003986,36.73831357304676,100,34.05895520203825,26.816090836685255,24.802701714979932,47.67373001693379,40.532869764041976,23.91929821706712,21.734839585652082,86.0167699254728,44.75477390951139,29.339797260812205,24.115988311352094,98.15766280325813,42.24493468870555,27.22403740898858,22.377386954755696,91.76233169080902,34.05895520203825,21.710676332394566,17.508204396142485,73.22773928362967,105.61233672176387,20.49180327868853,18.808975154391213,35.5667109789135,100,33.80610218365638,27.533786983994474,26.69460947504665,50.02897946201096,40.94543300965605,23.936951685019466,21.453293104575398,86.1619834434054,44.15395778723159,28.366369736563314,24.931660067387902,97.42894223124165,42.189501703837166,27.021926686843123,22.511892221273925,91.66966529706065,34.09550414774781,20.592348958930728,18.333933059412125,73.00355885220425,102.95672214801077,19.746250217581206,17.78994781301322,35.24402207091113,100,33.80610218365638,26.61700870192698,25.261349228870582,48.218324381693066,40.94543300965605,23.936951685019466,21.573480560964533,86.37179134582142,45.138494907296135,28.366369736563314,23.936951685019466,97.42894223124165,42.189501703837166,26.69460947504665,21.54949669522739,90.39720272007683,34.786192162080894,19.64121622681579,17.76085548314144,72.04092646567615,104.29413771721728,20.339672531272246,18.66933769011067,35.30266441108468,100,33.11058801199981,26.61700870192698,25.261349228870582,48.218324381693066,41.2098028869212,23.741721814153873,21.573480560964533,86.37179134582142,44.15395778723159,28.366369736563314,24.931660067387902,97.42894223124165,43.17092500110062,26.06733574285833,22.21125767094636,91.37019198704851,34.09550414774781,20.592348958930728,18.333933059412125,73.00355885220425,104.29413771721728,20.339672531272246,18.66933769011067,34.547519071418755,100,32.706799330901134,27.445639143199955,25.75414474583347,49.516630476601826,40.48430797224211,23.47434395159125,21.330521302761614,85.19163229753697,43.922231609535544,27.811597156237962,24.650881190811983,96.3317032639315,41.45908120279196,25.773766954200692,21.30680754189752,88.41809124979629,32.45854679048561,20.36043914662301,17.18251130280046,69.95486025510742,104.44455625603682,20.110608345902456,18.70394694594095,34.84710598524576,B
Read 9,100,32.99444520782628,31.824348293562966,24.910721174192922,53.355800977254,37.67744989064487,23.64858833454056,20.30181795141042,81.41925854744926,41.369986164013916,26.2582056892779,22.75711159737418,90.25933287700141,37.890347171839586,24.52328354682171,21.89933654826574,84.24933917432396,28.22672296997304,18.463915194511152,15.77921783572862,62.445720723805586,94.4727927567742,19.19624700171668,18.04422593268123,35.725744651130945,100,31.81378483411388,31.134891966742703,23.509812266324786,52.00422146342778,35.48619468584461,22.802356462328124,19.575345606790787,77.66202765011286,39.050503169075114,25.31859228626888,21.959003850548886,86.23201805684734,36.53449374953728,24.53277382690292,21.166235469633648,82.2150654263317,26.284769182880304,17.80320964615494,15.284640287175991,59.37136412173705,89.5465632860227,18.586138531137852,16.62394767794093,36.05369122000815,100,32.24290053287006,30.529646701642584,24.379644451969458,52.25833742323275,35.60338025678008,22.87765636935867,19.639989000411855,77.91848989214117,40.021345632841566,24.555461473327686,22.01524132091448,86.47119008382144,36.56701588770395,23.76912590621202,21.236132436891538,81.5688032433009,27.214493954256046,17.86200093965198,15.264823350821292,60.33282820431349,91.39302770924176,18.570459101999415,15.908801209192157,35.46213647988471,100,32.7250477220003,30.517842737306122,24.261935739933147,52.317742369283,36.25820403872291,23.219759515480057,19.933677388695774,79.06497078033689,40.71968972321119,24.92265383293228,22.360969115259007,87.86517181847397,37.203267139761714,24.98185261902481,20.69713746784513,82.86434520447678,27.71487709968563,17.273763528911807,15.493087295737324,60.45817235119133,91.97206080824546,18.84815417623007,16.928253354754393,35.99242281088333,100,33.210243789743195,32.17489402703073,23.82086217294203,53.68467956222709,36.79578424861153,23.56402596564852,20.229222928210714,80.23722309436596,41.32341789807129,26.1788435719582,21.821029135176705,89.23185461314262,37.754859274225296,25.42714065430534,21.00400240501011,84.17881396834925,28.03097624278423,17.63801536382059,16.66228255236595,62.31404387893337,92.10102063453051,18.542030023957178,17.179239144943494,35.800411218862365,100,31.708027604201444,30.299114171612125,24.433141746205386,52.52120613144162,35.92747998537083,23.037542662116046,19.790808028572016,78.49829351535837,39.48032526027057,25.611486381917466,22.18430034129693,87.1811588699304,36.089225226205805,23.951653323580548,20.54879620954317,80.57155986025104,26.669794553050828,17.255758034263387,15.452875662350541,59.37242408571606,91.2371020210123,19.919142542540534,17.171170475680984,34.097681233256125,B
Read 10,100,33.044838772134476,28.31287534759018,26.32692694422454,50.73439434711291,38.203834459880675,22.933386404475385,20.85725045454715,81.93928951987606,44.21728252916334,27.965464947065364,23.082099129778037,95.2520731985473,42.09940450077866,25.668884686073106,22.546478645424916,90.19133424545154,33.162961896872496,19.70027570216658,18.470972604577227,71.22277422761323,100.49101006345195,23.166649226537437,17.295684876938797,35.82691503261506,100,32.265915716203295,27.74502676732168,26.178192202511955,50.84639768782841,37.625206547713596,23.334162540049018,20.438933349219056,81.2547073839066,43.330452039526975,26.60503869343277,23.434524992632152,93.34167893906668,40.29964992362256,25.85343293116236,21.85934342152597,87.97789202326817,31.545045239995556,19.03583248172512,18.100515155769212,68.62783089609448,98.08869769221876,22.09428204823443,17.786609583069296,35.26843275496812,100,33.67487910999882,27.346878951827822,26.10318129808995,50.20170960959503,39.17661213399041,22.826569864771994,20.85725045454715,82.78202764063468,44.21728252916334,27.965464947065364,23.914151913086464,96.06961483508988,40.96964475993803,26.38256686598049,21.594156286179114,88.80961666160024,32.190667581767265,19.425432770801365,18.470972604577227,70.03241473982513,99.33154426853804,23.93458263181769,17.82455643397266,35.20762075294613,100,32.521144151067794,27.964494264211623,25.781989809461102,50.413708981016825,38.69455616437295,23.518739411703702,20.600608505594714,82.73161770960155,43.67320268554277,27.621358640099512,23.760791133977417,95.04316453590967,41.581384484460486,25.107344008168827,22.269051271467536,88.87255306604261,31.629169415432905,19.457869965987573,18.243693058856838,69.17068776158118,98.65214847597483,22.269051271467536,18.42574439854805,35.54741156875253,100,33.685696181872466,27.788104926300544,26.646346856372602,50.330140630334554,38.450485698513255,22.403486425259963,21.370903003925513,82.08941672025853,43.397728820956615,27.44713367051131,23.470910475396067,94.28899412344481,40.36222094727885,24.948976481673835,21.89328320752737,87.16355777927461,30.471263402440723,20.00536451051752,17.19557995795182,67.57376170229476,98.38945642415585,22.128586610366575,18.309521847756628,35.32319208772692,100,33.89952140177692,27.964494264211623,26.815488706535117,50.64961906207007,38.69455616437295,23.518739411703702,20.600608505594714,82.73161770960155,43.50911994129973,27.776294244781038,23.619895746968403,94.88750824629871,41.432037960149266,26.29475003483644,22.269051271467536,89.82782637419922,32.754902014157075,20.13235168758623,17.60523083722651,70.34640024785938,99.9200501323785,22.881590847382775,17.082866879429588,36.33022507370757,B
