,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,20.36053318,18.02549848,24.36835536,42.33974869,58.89877935,34.07379893,31.06367988,123.9669684,30.1717131,40.66944444,21.43286423,33.32574637,16.94416694,36.7626617,18.71170213,39.07118111,11.89334393,30.1717131,20.66775053,38.92753658,179.546558,163.8145135,20.36053318,18.40988069,100,18.86575385,19.2393694,24.56897779,43.80756413,60.05120884,34.35432538,32.4578702,126.8137955,32.56734057,38.64487469,21.60931903,28.68587348,18.52305775,35.81513189,18.86575385,35.87470798,15.55709917,29.25104563,21.51026891,35.47564431,183.225227,162.4997522,21.2438776,20.24885187,100,23.00966406,21.12006414,25.54487265,46.59101871,57.90257493,32.74332598,31.29652671,121.89151,29.33168151,37.26216001,22.12998627,30.97770828,14.95628164,35.68353065,17.52363807,38.03560804,6.902899218,29.33168151,19.04388559,41.4812618,174.2402918,159.1247621,20.48377107,18.72850966,100,21.40022462,18.00791054,22.69107561,40.67572372,58.32393859,31.29652671,31.6539726,121.1945458,29.57883141,37.10196847,21.21386207,29.57883141,15.43535189,35.73912694,16.47241264,36.88729761,9.275492117,29.33168151,19.55821445,39.31893118,176.5682521,156.5545145,21.40022462,18.72850966,100,22.07924476,18.92576413,24.60007693,43.52435572,57.23097354,32.36354212,30.6184035,120.106854,27.02948448,37.95387598,20.96780636,32.81980825,14.24831031,35.32459533,17.32038459,38.72955735,7.191898249,28.99146869,19.33136229,40.6358162,175.0640107,158.7317279,19.56407839,18.5112811,100,19.69623311,16.94416694,19.58928445,36.53337051,59.99428097,33.68106384,31.86488052,125.3823675,28.4516338,40.51418407,22.76376812,36.74360875,15.43006486,38.03587853,19.11892831,42.66924586,7.484680852,31.33302318,20.1183432,43.41760078,184.7101866,167.8388573,18.71170213,17.59298077,D
Read 2,100,35.35494874,29.57324854,28.7192168,56.02730391,46.97472853,30.11426745,24.79707496,101.660265,32.99260562,28.05564696,22.16097109,18.7396989,31.66069844,30.11426745,20.87924835,22.52231509,26.06681946,22.31224227,16.40428677,24.90535965,125.3291803,118.9565313,16.60807454,15.47577319,100,35.35494874,28.22300211,28.81276499,55.00942212,46.58644155,30.44752291,25.75525265,102.4513048,33.21614909,28.05564696,21.00773724,18.15621835,31.85136346,30.11426745,19.71929011,22.28207019,27.15392625,22.31224227,17.55335338,24.90535965,125.1734151,118.0481928,18.00739438,15.77713781,100,35.35494874,30.71152371,27.93549375,56.55316897,47.68543044,29.34488027,25.75525265,102.4513048,32.08285973,29.02214593,22.16097109,20.55451241,30.71152371,30.11426745,20.91144459,23.48736426,25.67677024,22.31224227,17.43799603,23.48736426,124.1643055,121.7072055,16.40428677,15.25686862,100,36.99157573,28.43672584,27.93549375,54.46865506,45.88804186,30.44752291,24.79707496,100.8896978,31.85136346,26.90503075,22.16097109,18.7396989,30.51373724,30.11426745,19.71929011,22.52231509,26.06681946,21.79363673,17.43799603,23.48736426,125.3291803,117.8942206,16.88924693,16.88924693,100,37.1612254,29.03120167,28.68587348,54.96381246,47.20210105,30.583476,25.50716899,103.0077071,33.00159095,27.67548862,22.79557711,19.75056122,32.7634655,30.97662567,21.4771507,23.86350078,25.08506866,21.34416397,16.87404322,26.19555948,129.9465675,121.2702632,17.3728908,16.2289351,100,35.47564431,28.8590541,28.73546016,55.00265158,49.05096001,30.18520616,25.50716899,104.5714288,34.437107,28.66104796,22.79557711,19.27633268,32.7634655,30.67643511,20.28397566,22.19433867,26.81327414,22.95118012,16.74700972,24.56897779,129.7985802,122.3629944,17.0836667,16.2289351,D
Read 3,100,23.30327,22.71933716,24.50504825,47.09116214,49.69545437,26.48597707,26.1868897,102.3129015,29.84212553,32.12999474,20.21563342,22.65807142,20.23854066,29.90416744,16.8119457,26.43344285,21.17828263,20.78074042,16.8119457,17.6718904,143.1631244,134.8327599,14.31080934,14.01638408,100,21.90136448,22.49310367,23.75536512,46.22361221,50.56620879,27.77693399,25.8915067,104.1842251,32.61052526,32.11446162,20.73761693,20.90118376,21.90136448,29.60807066,17.47883719,24.83661139,21.90136448,21.29318716,17.78235981,17.64504224,147.3420459,135.5664415,16.05723081,14.56384204,100,22.45056083,22.78347,23.30243464,46.04075222,46.49068813,26.78635194,25.34195203,98.51829612,30.13234935,31.56801851,18.82352941,20.83382929,21.83042542,28.25097604,15.52228,21.72874613,22.76402188,20.31720767,16.67768955,14.73174197,139.4720644,130.1752877,14.11764706,13.89630406,100,21.66750952,21.46212565,22.66653097,44.10493935,47.36839353,27.68083044,24.70476188,99.7158593,28.48516885,30.48307716,19.8541394,22.627417,19.19630876,28.25097604,15.77699258,24.54287964,19.03411616,20.31720767,17.58262748,19.05737104,142.2048817,131.8251962,14.70164645,14.36643532,100,22.03373442,22.36046266,22.86979199,45.18594055,46.48893232,26.01169008,25.12741642,97.5632435,29.6880818,29.91711572,18.49712211,19.57289867,20.65460907,27.72645671,16.36804466,23.16633328,21.4251127,19.93998997,18.14786875,16.9820583,138.9396726,127.7583994,15.67574612,14.60501413,100,23.96815385,22.46649362,22.79908933,44.72972949,44.80053243,26.18024064,23.96815385,94.86311761,29.59011953,29.7103779,19.66416418,20.5508214,20.95175769,27.7237164,16.62946563,23.29758292,19.90446838,18.58697972,15.21097338,14.35331627,133.7307746,125.0406244,15.10642936,12.10741544,D
Read 4,100,26.54677628,24.09554253,26.83744308,50.36896655,48.41862373,28.45120765,26.17890478,102.651594,28.79005891,35.70688758,19.85927814,26.76507231,27.38593263,31.83989083,17.09494698,21.63554422,25.24858234,22.34123573,15.96050585,16.16178122,132.6120513,130.9241571,17.05708438,15.17132598,100,26.12414877,23.62539871,26.31380025,49.38618484,47.66988143,26.78205407,26.78205407,100.7412822,26.02880484,33.90992602,19.47179083,27.333372,24.75594081,31.21864199,16.87227779,23.44051292,23.83494071,22.985314,14.49436949,16.72427249,130.4493255,129.7661774,16.76139634,14.66489736,100,25.31597337,25.14231937,27.06061003,52.04611031,48.74249477,28.05982592,26.85164466,103.4226552,29.622292,34.02753709,19.53932557,23.91760833,28.32622265,31.34689131,16.93079654,20.16978785,26.33386059,22.81951002,15.66345939,15.90139897,130.3075408,129.4932763,17.90109644,15.21757721,100,25.7305174,25.98057689,26.17890478,51.9113587,48.41862373,28.51929999,26.17890478,102.7460268,30.10735114,35.90551149,19.85927814,25.65502427,27.50372213,32.99662981,15.96050585,21.63554422,26.37574143,22.07924476,17.05708438,14.82647807,133.4867463,131.6137029,17.05708438,16.55699315,100,26.54677628,25.55401985,26.17890478,51.37301341,48.61850882,28.51929999,26.17890478,102.8529459,28.79005891,34.58473124,19.85927814,25.65502427,27.38593263,31.86019042,17.20803497,21.63554422,25.24858234,22.07924476,15.91994542,14.82647807,133.4867463,131.9718228,18.22972429,15.17132598,100,25.07916825,24.85863391,26.10713213,50.4987266,48.38258347,26.5717083,26.54867257,101.1548362,27.8532706,34.92843673,19.31885973,26.59472407,25.65799448,31.05236471,16.62975263,22.12389381,24.43663942,22.56203325,15.48672566,14.84115914,131.3067542,129.7835584,16.59292035,16.10643781,D
Read 5,100,22.54126118,22.54126118,21.99519799,44.4617351,43.63355046,27.40995558,24.86796657,95.79327665,32.7384307,30.1847805,19.59347255,17.9992618,23.46631559,27.95899348,16.51448756,20.58781177,19.92316713,19.76999388,16.27609431,16.08823532,133.63242,122.6554242,14.73568341,17.10862978,100,22.34137562,21.08389472,20.27941844,41.36082242,44.43382032,26.01169008,23.98070383,94.34884347,31.74365468,28.09330561,20.50951719,17.83965261,21.95615061,26.85099179,16.6522782,21.32532123,17.9350525,20.50951719,16.6522782,19.04260865,132.3346461,121.2163383,13.85553298,16.6522782,100,23.3530428,22.05352456,21.5615625,43.53579589,45.48416593,26.91045664,24.54756994,96.87948959,32.36997498,29.69046609,20.88759648,19.14566635,23.00590972,28.38186653,16.75495948,21.82941827,18.18776859,21.14285153,16.75495948,19.74339355,136.8711851,124.9039789,14.95025369,16.26763477,100,22.97157683,21.23723029,20.03516299,41.23524237,45.36025809,27.41166244,24.6571469,97.33975098,32.51447007,28.74488736,21.92686177,18.92379034,22.35464393,27.68996056,18.02038746,23.10860492,18.26895627,22.35464393,15.92084207,20.12500722,135.4995208,124.0843224,14.11916492,16.61397634,100,23.25315781,21.17975728,20.37162327,41.5488785,46.37653892,27.0209145,24.08973738,97.42529274,30.39498813,28.89934398,21.52252669,21.42228149,18.23038202,27.89885196,16.44246557,26.04745077,14.19417142,22.34683971,14.67141904,22.5768304,134.4913867,125.3766972,15.8016019,16.59881583,100,22.45056083,21.89120631,20.66305732,42.51993223,47.36839353,26.50377005,24.19757201,97.92306845,31.28615556,29.4183522,20.897509,19.40285,20.1200549,27.35894937,16.96730012,23.82868499,17.17485891,21.04534567,15.52228,19.40285,133.8722213,124.6232801,14.11764706,17.68310045,D
Read 6,100,27.4085048,25.18891688,26.82826591,51.37551147,44.48108827,27.50094522,25.18891688,96.7516757,31.38017431,30.3774578,18.24762748,17.24659221,27.20403023,30.3774578,16.1209068,19.38073961,23.37010278,21.34974317,14.24900315,16.40183435,122.2511326,116.9850968,18.93027126,14.03364058,100,27.05639112,23.80305292,26.66438405,49.72845591,44.20937323,26.34277276,25.0550691,95.32273694,30.30792299,31.18848689,18.27387101,19.13175764,25.11503345,30.108745,16.05369471,21.24294356,22.39202862,20.90988686,15.1539615,17.71660927,122.8259412,117.910563,18.41055108,13.94791536,100,26.62151065,25.08989225,26.44706858,50.87195215,44.30087154,27.84894567,25.37524544,97.06682445,31.70081056,30.57771487,19.50850311,18.36792117,26.44706858,29.48162648,17.24137931,20.68567754,21.68109364,20.53596017,15.34761253,18.64581776,122.9692499,118.2748863,18.14253937,14.12615444,100,27.74544277,24.9856748,26.7784038,50.72536059,44.85588348,29.20817961,24.66710238,98.28290092,33.11668822,29.85097937,19.75291031,16.46253804,26.7784038,30.06219176,18.51279152,22.1678303,22.96229182,22.1202087,15.5398911,19.61899073,124.0813922,118.4195466,19.37560306,13.96741683,100,27.97011236,24.46694864,28.54372187,52.14110688,45.40609079,28.75117814,26.0083077,99.68917943,33.52290124,31.34056847,18.96911392,16.76145062,27.10687071,31.46101029,16.66446938,21.42986292,22.05114702,21.42986292,15.73050515,19.11099409,126.9255884,120.2635767,18.5951599,14.47857409,100,27.66527139,24.80734042,29.52977598,53.29551804,47.05209588,28.94083098,26.43325507,102.1093705,34.13603444,31.77658818,19.23301812,16.89631065,27.4839899,30.72803486,17.94834145,21.49670959,24.60501166,22.33307346,16.12253219,19.43411564,130.0993293,122.9121394,19.80216508,13.70151771,D
Read 7,100,23.94198895,25.59126278,30.80601816,56.32447321,60.0678538,34.01955598,32.7553532,126.7965247,32.10458925,44.35607423,24.94464215,39.13771256,21.92333049,41.43589476,20.37835379,40.09997731,12.62153305,32.10458925,18.44969463,37.70243739,186.4240993,171.9527376,17.81136234,18.22695374,100,22.95623689,23.78640817,30.72170557,54.37504086,56.6524453,32.61888507,30.29086232,119.4833236,31.58557667,42.5298228,23.91760833,37.99043823,21.10982576,39.55620839,20.53877797,39.41354879,11.89320409,30.43515442,18.34998822,36.80215754,180.1853678,162.7871346,17.47650409,17.47650409,100,25.05622324,24.28914844,32.73517373,56.72199971,58.97822232,32.17211891,32.07053318,123.1427244,31.20415922,42.2866572,25.77519518,39.65852841,19.65571865,39.44402262,19.98498307,40.39225301,10.53301092,30.35606136,18.73782642,38.40451574,186.5335061,168.0045832,17.13698161,17.84588067,100,24.13882958,26.66220873,31.61685023,58.07828928,58.93039316,32.04398689,31.94280575,122.7947214,32.12470235,43.25575286,24.32585153,38.63888677,21.47014368,40.23138263,20.35564841,39.97307253,11.37915339,29.86892296,19.57743575,37.82605858,184.4756959,167.7103466,17.99202128,17.70180836,100,23.82167708,26.31190233,33.16074803,59.17714599,55.75380837,33.85696447,30.40311369,119.9261029,32.15681317,41.54969118,23.15050885,35.68837413,19.64385815,38.77075014,20.61489023,39.87710478,14.07070644,29.47648456,17.75562976,32.73976359,181.006432,163.0156349,19.05734166,18.10726052,100,22.67729149,24.28914844,31.74327428,55.78227175,57.84982932,32.31380241,32.17211891,122.3078488,31.82540449,42.33293114,24.66243933,37.42337337,20.59608863,39.44402262,20.43704309,40.24657821,13.32332205,29.66012792,18.0639647,33.96793956,186.9354168,166.6159628,19.45548539,17.43897809,D
Read 8,100,27.73392461,25.18780189,28.51250195,52.90871138,47.44858149,29.15506303,25.97785456,102.2172596,28.05595485,35.3678484,20.57485201,27.87527061,25.62972687,32.91771658,16.9876227,24.73798353,21.61288339,23.14329731,14.87301987,19.71079288,137.845277,135.1428517,15.93016465,15.42886487,100,27.93223549,24.98335093,28.71638004,52.71756258,46.38487473,29.36353574,27.20928236,102.5990622,29.51828535,35.6207455,21.76742589,27.93223549,27.02025379,33.10152064,17.10909236,23.86411929,22.81489683,23.308783,13.91505316,18.17437179,138.2513331,136.0464118,17.07577375,15.28049206,100,27.53261588,23.28628616,26.82000586,49.07176011,46.69122874,27.95146277,26.82000586,101.1312027,26.82000586,35.11112827,20.2349927,28.57790387,24.40019673,32.62794534,15.77950768,24.55842106,21.45600469,23.9885425,14.76506296,20.42550793,138.384673,133.6163971,16.86431679,15.31687332,100,28.26641877,24.28654824,27.61288607,50.88738322,47.66467814,28.94343886,26.82000586,103.1249816,26.82000586,33.92492215,20.42550793,27.53261588,25.59546615,32.62794534,17.88344204,25.78929239,20.66787577,22.97530998,14.87706251,21.68685896,136.9376834,134.5531408,15.81453438,14.0349927,100,29.01980691,25.00497438,27.53261588,51.36358349,46.69122874,28.61660111,26.82000586,101.7965109,26.48785675,33.92492215,22.31559377,29.75412502,24.28654824,31.62906875,17.88344204,25.59546615,21.27471956,24.28654824,14.87706251,21.03934357,138.6123945,135.9685382,15.77950768,14.0349927,100,28.96366856,25.58636022,28.92363583,53.44323611,48.77292038,29.61639718,27.44359265,105.5227206,25.33606522,36.10443451,20.90041748,31.67694073,25.33606522,34.44564047,17.35685199,27.1037208,21.95487412,24.54629548,16.18223507,21.79597065,144.2290694,142.4954208,16.2892852,13.0952907,D
Read 9,100,19.63623619,18.12915814,22.82666091,40.87281658,54.50526011,31.27271769,29.15000554,114.8893479,28.45420106,40.30003558,24.76375089,38.8724028,12.04550456,36.91562025,18.43608227,44.77571761,8.008122401,27.76983153,15.94099187,37.0997392,178.1537277,161.6074022,16.65419934,15.63635885,100,18.44340182,18.96181853,24.55101175,43.41675389,53.85012423,30.52211568,29.26529545,113.5932273,29.34800489,41.35808385,24.45208181,39.02614534,12.96377987,37.93428826,18.70440633,45.83388327,9.166776654,27.87966278,15.90274698,37.24647075,179.4806575,161.4102726,17.45302278,14.52179274,100,19.06804803,18.96181853,23.37078652,42.20892362,54.72083148,31.39640305,29.26529545,115.3437418,29.7716767,42.25675244,23.88373979,39.02614534,11.71991444,37.93428826,18.20085998,46.71563671,8.139672034,29.38927231,15.25443843,39.56077498,180.8551835,162.5773975,18.20085998,14.06964121,100,20.09371856,19.24728386,24.92062096,44.07038203,54.66082409,31.86906788,29.705877,116.1915925,28.18146936,42.92202002,23.6875091,41.42174986,11.86131387,38.50537928,18.47486928,49.04992721,9.169594545,29.48082924,14.8529385,40.3940577,183.3578422,165.8728008,17.71577358,14.42644918,100,20.5938912,19.08372235,25.7187363,44.58108246,52.84779746,30.17401443,28.72057268,111.6846216,26.82940424,40.61702341,22.90182602,39.06420223,9.209868127,37.22820721,17.128165,48.61413456,7.53705341,27.68587655,15.02239447,40.7890897,175.4427263,158.2461609,19.36705928,13.11403383,100,20.12637625,19.70350606,26.42228145,46.03078353,55.21376143,31.38961435,29.87761879,116.4048488,28.72804596,43.1408985,24.08810636,40.63795508,8.705912619,38.52086237,18.35367532,50.76375768,7.840693535,28.80123855,14.93880939,42.10358721,186.2626789,165.8191337,18.89626529,14.82563497,D
Read 10,100,26.60809465,23.27820742,24.32325712,46.67075741,40.13132678,25.60429351,23.58151933,89.00081824,30.52617293,29.75994987,18.30017704,17.6074851,26.06845747,28.71167995,15.79929747,19.0843136,22.40313727,20.67079378,14.38674602,16.99128782,118.4600537,112.6956297,18.85014138,13.32906279,100,26.24231415,23.45610226,25.05458265,47.57655036,40.91020149,26.970924,24.03919293,91.59900753,33.01852475,29.39480888,19.59653925,16.10593257,27.51310735,29.26892047,16.41814709,19.2159877,22.83794067,21.0719756,14.18603292,16.41814709,124.7190141,113.9509691,18.45635349,15.64068082,100,27.13493697,22.12776708,24.25880328,45.54155225,41.87431932,26.11126049,24.1059904,91.63422438,32.23858099,28.67442117,19.60407349,16.11212477,26.58461493,29.67195125,17.0319542,20.79325995,21.49238733,21.08007709,14.67160469,19.46218448,124.5112449,113.0630318,19.72153453,13.66077509,100,26.77482655,24.7415537,23.38370835,47.13583092,42.70761869,26.54050852,24.58569984,93.38059566,32.7189869,29.03066934,18.856371,15.21828713,27.34305594,29.86284916,17.37089025,20.18553111,22.11648696,21.58878105,14.96356977,18.41809061,125.7876837,114.3632043,20.11399326,14.57314846,100,25.70635348,21.04534567,22.78347,42.77955079,41.16504043,25.56814627,23.52941176,90.00914986,30.24971046,29.55354065,17.98115122,17.35443663,27.55252926,30.07349705,16.67768955,20.36076014,21.97198594,21.46212565,14.36643532,18.53902645,120.1060662,112.3474591,17.35443663,13.37663097,100,26.24231415,22.34762365,22.51224926,43.81919389,41.26966102,27.05635634,24.03919293,91.88578183,30.98484915,30.33753536,18.48134518,17.94921377,27.32794514,31.41387918,17.94921377,22.91864036,21.48412738,22.51224926,14.18603292,19.33571464,122.3577168,115.3639628,18.35604648,14.41199078,D
