,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,40.995961721886495,30.745594818161074,24.65916455302815,50.52552856067126,31.33460262501165,4.798214390338252,4.798214390338252,29.093448155475382,49.75575078885592,31.76386375877151,28.02652060698777,109.4470617437587,48.84927699712639,30.613165222776452,28.314965810767923,107.73221748896187,35.84992854823545,24.87787539442796,22.863822535073307,83.56254193420801,31.420924007913417,100.87668070647892,17.494817151603524,38.893925211377635,100,41.41931390538758,30.350016803269167,24.151402689981204,48.46645171678113,31.3762212148137,5.137433607121861,4.736479753725055,28.534732563754673,49.11558489702918,30.219291069421956,27.78492044215468,107.08191348758369,47.09936817920735,31.207530631145605,26.818190763765084,105.00994722138027,35.388677313611396,24.798429804621367,22.569652733358417,82.7509636459598,31.037923230571618,99.57878429761901,19.529006318207923,35.388677313611396,100,42.8212740553918,31.377303595303815,24.04804837448526,50.38765661661859,31.55660393250932,6.0558426527230225,3.7556741807225413,30.649614965710075,51.013614239701965,32.41649421367264,28.6023624199342,111.87875392950772,48.44674122178418,32.41649421367264,27.725932375127684,108.5643219194911,36.586512590853594,25.637806585419124,23.333589910200118,85.55191669098339,33.2541567695962,101.78500646587092,19.002375296912113,37.29291797650257,100,40.177725715804144,31.688968954036962,22.952340097511527,48.2397034273645,32.19797950158098,5.702554744525547,6.937457265394866,25.117148204317107,48.988895061392626,30.00215884572515,27.467140918778046,106.3125064905812,46.76094890510949,31.129890656834352,26.62549619053091,104.46109069379919,35.134401917767704,24.381339332153225,22.724519668306655,82.15637985151461,29.653284671532845,100.88849231839718,18.248175182481752,35.81277022834759,100,41.12170706505462,31.129890656834352,23.512235547545966,49.37240150983887,31.150776194679885,5.100520021669228,4.562043795620438,27.60884679952145,48.988895061392626,30.00215884572515,27.58527970448865,106.50198476212364,47.87429713005327,30.00215884572515,26.62549619053091,104.46109069379919,35.134401917767704,23.512235547545966,23.814567766675523,82.43298813682779,30.793795620437955,98.64595605003974,18.248175182481752,34.911559911072004,100,41.64415887576794,29.514743218250484,23.386990911661563,47.85943486971738,32.607055240224305,5.7750057750057735,4.620004620004618,27.959617548880114,50.51727357040664,30.383336655037887,26.665272304493403,107.48339223037043,47.35504735504735,31.525396313135083,26.96377345790887,105.78827017824338,36.70651093109425,23.810958798900785,22.69217221574093,83.20017770132593,32.34003234003234,100.11934826874258,17.363474680495386,36.97807944925414,F
Read 2,100,32.38524147493404,25.66027514764224,23.824967356288127,47.059819874831035,25.075054415472835,5.68429355228317,8.86537050790126,12.572305436009449,39.790054865982185,23.529909937415518,21.493318381459677,84.6218590611851,37.56611763805584,22.73717420913268,20.643605302658184,80.90780608135076,28.096993511583793,17.975314514224227,17.975314514224227,63.98371280674214,11.291511049055764,86.18631754167895,13.606410408897334,28.78781758854194,100,32.99261890929828,25.40301611600597,25.13400377464601,47.83832645240332,25.545331045313667,8.568164508758567,11.503280629850126,7.675416744381711,41.475668146976325,23.971207753263844,21.896420411271894,87.15518061813268,38.18768301624444,24.271798903240597,21.917106689301864,84.21461354224166,28.62394588418299,18.31243722550585,18.484851331823684,65.30179223016953,4.76009139375476,94.11508445759912,14.56307934194436,30.3752020821474,100,33.418945903883234,25.731271097639986,24.5854364204088,47.49705055361524,25.146393076962966,9.643201542912246,12.53616200578592,8.678881388621022,42.01161217124776,24.185026430056805,22.179363548698166,88.18126510823012,39.72484074068656,24.41463626069848,22.26305955759922,86.36454747370259,28.945672169341627,19.668349136327038,17.781185067102964,66.14561481057865,4.917087284081759,99.5634291158365,13.637546406683654,31.58792546607367,100,32.4094705904114,24.95401489596247,23.0975199387047,45.9101756612123,25.525753416171664,8.468516915867779,12.157486205929112,7.1222043447712595,40.602811832212495,23.54751391006111,21.50939867202843,85.51760209224226,37.51271134411593,23.67715122261697,20.659049877840197,81.79582757194379,27.136665348446474,17.988762799655238,18.15812946689198,63.10289126657567,5.036158989184049,92.45158955789968,14.518072286785769,29.051200910893233,100,32.15388121431714,26.17949206992774,24.84506341392652,49.25551095601585,24.988885532312512,6.692917947813985,9.322155988448749,10.708668716502377,40.1575076868839,23.832803240916558,21.790562107375933,85.71117026159409,38.1555028315123,23.029862869089328,20.9093440931136,82.06401738672487,27.59560764242925,18.20670521691561,18.20670521691561,63.986535849145554,6.625650733554188,86.87912802028309,13.781561550933304,29.15839432228937,100,31.646553957720222,25.40301611600597,24.08436907972871,47.63897944857884,25.633876652391965,6.731785807183431,9.939362632245384,10.77085729149349,41.33338413193529,24.103177648842657,21.896420411271894,87.15518061813268,39.13709975455915,23.33901498882571,21.979048706426497,84.3167929378695,28.62394588418299,18.484851331823684,18.31243722550585,65.30179223016953,8.620892172636536,88.45576796882419,13.630827364124478,30.10546134966088,F
Read 3,100,39.78464394628679,29.53498038056015,25.00367268415804,50.93996361431171,30.68310646615772,4.851425106124925,6.184377821216234,27.92204835226523,50.09551589584811,32.76957207060351,27.92204835226523,110.69597777178544,47.688546394996976,32.83683776999608,28.13199152151171,108.6234514617703,36.70769181424271,26.792870872497907,24.737511284864937,88.16389009283809,33.10453381190099,104.4606573687543,18.23322786946381,36.38568829593694,100,37.84121105834558,28.64512972765657,23.737907451906732,48.2194481169982,32.78252713602179,3.4085648647218485,7.230657989877079,24.814726779915645,50.97200767065944,32.56027015210001,27.717522294528802,111.10562132191957,48.57952367015274,31.4254153058696,29.32158366015049,109.26696835429657,36.33360672856431,25.56423648541386,24.5795107909992,86.40728739572596,34.96895186441771,105.51421614773453,15.7127076529348,38.807525158121514,100,39.914750264510964,29.634370587220324,25.08990374953012,49.869093629223286,35.10816067903933,5.575534166562248,8.727091385114075,23.523204418542832,53.97047954597521,32.43887752464204,28.701818808680557,115.03044512593783,50.257185814103906,33.75386203885022,28.91762499624286,112.89596232561297,37.7328162334411,26.299742064242597,25.428348154059513,89.39130667120484,32.43887752464204,111.58035574249816,18.74242161622355,39.42498017913451,100,39.07202976222143,29.008699838918023,26.288331985035413,51.27154390432025,34.73334017758777,5.177740648180723,7.3224310471076395,26.40140060139607,51.618955290594585,33.041216428315565,26.848913839394676,111.38495688654757,47.985363073804,32.9735320627442,28.307086904425685,109.17000090455842,36.93616292511974,25.744475359688785,24.89147919742633,87.50398716252552,31.824273396156453,105.97165411809819,18.346712690228102,37.59561093665941,100,39.78464394628679,29.95534029163971,23.89049800314398,49.7418960689142,31.83603334968269,3.835388308269715,5.000734536831609,28.2884264152592,51.29966278364246,32.74711946634324,27.92204835226523,111.81982361786402,48.89179956518223,32.76957207060351,28.31441486944513,109.82880701197597,36.56716417630403,25.728566932197005,24.52850020152418,86.80187912714563,35.25637805639451,104.4606573687543,17.023249057147606,38.08445959516697,100,37.74115016372015,28.136297862306797,23.212990283447077,48.09194476861192,35.00052831384865,5.099327748941449,9.69021363978191,23.70562851360099,50.83722591960722,32.45192307692308,26.442307692307697,109.53997490446586,48.45106819890956,32.474173283909366,29.07064091934573,109.90862009283012,36.23753228769552,26.551348599007845,24.514516892273008,87.2119227580372,33.65384615384616,105.8374998209198,16.82692307692308,38.00814495394687,F
Read 4,100,30.75984752718429,22.644511588747154,22.155723573871818,42.717890486193326,23.93727019990767,6.754291538700427,10.28783036991977,9.834396925195339,42.717890486193326,26.228923904376696,22.94471706841974,91.7241743581024,41.47157005653341,25.290289989251555,23.004288048127417,89.69739851805124,29.74956825369651,20.419866583658372,19.317746122988524,69.43464264165154,17.844628610439777,95.82528382068548,14.35982078362108,30.75984752718429,100,30.19502564263077,21.361942766186758,21.513065013467283,39.445834135077924,22.706222284406284,11.70437277332734,12.169627324103827,12.507215701366171,42.474004338356956,25.472777169277897,24.358262268947783,92.26572119502393,40.96530470664569,26.61019181439163,23.269937699534005,90.78921257139564,30.07215625954932,20.56721024286314,20.56721024286314,71.17541557891737,12.507215701366171,106.94828158735176,16.383862195426595,30.210349178579143,100,30.04561325190759,22.054054569561544,22.709372626320526,40.35499710640377,24.162922856759184,12.794694978566053,13.231002440404126,15.226143815660047,42.7351802266319,25.956544871841118,24.62838307621043,93.28890137170026,40.635405786391864,26.90528538120492,23.52798953783623,91.00921105993432,30.54536666947,20.99905947949698,19.840542854446632,71.35066467273248,12.30458233528552,110.13288575462279,15.685326358557486,30.761455838213806,100,30.295379531295183,21.599651351466182,21.410177064590663,39.65862475653714,25.070129891752565,13.275077147724975,14.69541762067121,16.274238490711646,45.32804112411308,27.17584178004897,25.41315767463498,97.78095554931662,43.152116121178736,26.931094194845247,24.5569742846113,94.61478922291454,30.696217855764125,21.787477941989202,20.411534533868274,72.85055483495596,11.147921898654888,116.34832966630314,15.273259941886916,33.91259107067307,100,30.602289134014665,21.999012494971286,21.017738467845465,39.890661129886844,25.37649554119825,12.053428178536054,13.476142384559044,14.729088226809182,43.74069167669497,26.437459752553917,24.947346303406665,95.01732944625769,42.5576767956297,26.437459752553917,23.96390889219821,92.88054410191592,30.13357044634014,21.388123595484895,21.017738467845465,72.49004150932466,14.42605744432878,109.2068782718594,14.993308184307498,31.111301829203573,100,29.74007930209776,22.593389975213277,21.999012494971286,41.102682082020294,24.610606060386846,13.031751152249981,12.255342194444646,16.00663273694988,44.706288210357584,26.437459752553917,24.947346303406665,95.98867607080444,42.18699862487618,26.437459752553917,25.08469018363651,93.66986663864851,31.111301829203573,21.18057894226885,21.18057894226885,73.46527261237146,12.255342194444646,111.25071909337719,14.894774971141294,31.90576080076215,F
Read 5,100,40.53413779126458,32.17205263912057,27.22927395883816,55.883068220086535,33.92203671988339,6.209229802231836,2.7229273958838163,37.828116334654325,53.05168268580605,33.081046534841995,28.245040196646865,114.34998357105192,51.85014334155813,33.081046534841995,29.62865333803322,114.52491494935688,38.45020312675826,26.287181131177427,26.287181131177427,91.00445392856005,37.828116334654325,100.71887229299668,20.844182621314772,38.23750235778759,100,38.16453371975644,29.868472104435416,26.142866312869256,52.831986474673876,33.40969044613752,6.03434261963643,6.03434261963643,31.06367987788565,51.76077568906281,32.301406068535336,27.321648238142473,111.29924278865307,50.59777118682118,32.301406068535336,28.794142155257838,111.67610360557234,37.36722699135371,25.546784786891006,24.710784636474674,87.54997272512037,35.52267696994942,103.33875264244367,20.257092033874184,38.10944896592808,100,40.03684622827337,31.77735100703128,25.96467782646488,53.79042524656698,33.505865473139565,6.013952369497233,4.95923216937414,32.719438317862505,52.60747589278094,33.87088727526755,27.768574406098615,114.13841527526922,51.21402178504635,32.67519294492693,29.26515530574077,113.1198702867595,37.978478238746554,26.89521262328349,25.115002427015998,89.88796916782958,34.963776410268544,103.85871130585952,20.482783697289392,37.7683869812547,100,41.9055817455519,31.850513863898946,26.246234900468938,54.906518784525225,33.77978266960738,6.260306339585984,2.7453259392262614,37.481491767891335,53.488080812257735,33.3531680962704,29.568065264069478,116.34482740805042,52.088897324975875,33.3531680962704,29.872375839401936,115.29061572565726,38.76649086273037,27.453259392262613,25.636111746864454,91.75304796333151,40.589994486965104,101.86602093402843,20.907779454789935,37.8217846550015,100,39.53281942302432,31.377303595303815,24.798827812139074,51.74114230591916,33.08405766552047,6.395682668805825,6.0558426527230225,29.500575649344942,51.74114230591916,32.26384253493141,27.547300486325895,111.52518587713521,50.56928469369066,32.26384253493141,28.896734110680377,111.69579591022789,36.12091763835048,26.794570481421566,24.48400015212388,87.34667937385699,33.33888087320238,104.8633731812072,20.329266946108895,38.24523085060479,100,38.73691836865643,29.163188842410488,26.021971110203534,52.04394222040707,30.921285361541774,5.93392239449876,3.68006244637307,31.95515004712203,49.55119016884387,32.66768031564808,26.99269988302851,109.12486634298462,49.37321874920615,31.614285365311584,28.314965810767923,109.27988654549964,36.74538206411484,26.021971110203534,24.2995612915409,86.96946068443326,37.25779260696409,98.50613640781792,19.817742774265565,36.8006244637307,F
Read 6,100,30.653620160464868,22.212623724894332,22.054805571826837,39.95431889810663,22.153573668123908,12.2913245845864,13.379890723555139,5.448978501864593,40.71212206483874,24.36857267620839,22.447270627911998,87.40873683934292,37.67058101251542,25.506670524168175,21.51362383556927,84.6218590611851,28.096993511583793,19.059973885030498,18.89893319891289,65.95290155534582,7.534116202503083,102.20626903620906,15.212429302027573,31.106096583671132,100,29.918345189388138,21.574425531474063,22.054805571826837,38.86858114771596,21.330178881437863,13.215714067592701,13.379890723555139,7.116879829795261,40.71212206483874,24.36857267620839,22.447270627911998,87.40873683934292,38.59803089068944,24.5826491691728,21.574425531474063,84.73014703335697,28.05033365069365,19.977159449053314,17.975314514224227,65.84025774715835,6.5414447247920755,103.21802651329094,14.294980413772878,31.62120234686222,100,31.232174501576306,21.30969862814948,21.51362383556927,38.86858114771596,20.895878679560692,12.184286338104195,13.015968860091691,6.738718391671786,40.572457426581465,24.36857267620839,22.447270627911998,87.31377349255641,38.49608433612929,24.5826491691728,21.574425531474063,84.6218590611851,28.096993511583793,19.059973885030498,17.975314514224227,65.02614805014412,6.5414447247920755,103.30682350465358,14.294980413772878,31.896174499347747,100,30.903601925820176,21.852146484837093,21.584011833395888,38.4362337988584,22.0764861139434,13.552125947256366,14.071054185819692,8.465945963084863,40.1575076868839,24.682261827553805,22.79525712975352,87.59288443925622,38.99163260586082,25.060487070276814,21.852146484837093,85.82085219157152,28.45867747917256,19.14221336124627,19.305327074653228,66.8018929998822,5.757465717272332,105.40867691398343,14.478995305989923,32.02825237234005,100,30.30248400343044,21.32729123439297,21.80216853802484,38.42334289715551,21.08584242127173,13.06432852076762,14.070712435776272,7.892844106528894,39.33426116590072,24.089431520379296,22.190137920488336,85.48903686842881,38.155891783950814,24.301055774532845,21.32729123439297,83.75956613431435,27.775143424245552,18.841642544453702,18.682446573816797,65.19741335277187,5.542725173210161,102.87692116362447,14.131231908340279,30.498982021652058,100,31.78336996187897,22.086720542658828,20.631484214062926,38.64827047590675,21.209277477259484,12.221656233010505,12.638422699066574,7.257247422325455,40.48136203455113,24.319368757298648,22.37798658017524,87.13157187188878,39.20279336504179,24.601751151967527,22.37798658017524,86.09484768554917,27.937737183372807,18.951940210343,18.791812317558712,65.57907447907039,6.504367217989222,102.55302703952445,14.982824286003622,32.21508237011655,F
Read 7,100,35.76478647559558,28.823250439376466,24.26487377596664,52.589587945841465,32.08678732030586,8.941196618898894,3.2868492466150916,44.15891442936909,47.69896645082118,30.30325275358747,26.17124688081109,104.07433282368966,45.4608205563435,29.398473388901262,26.315328762440835,101.15809217833024,34.04706237222575,23.4497748106818,22.700685654133206,80.16813303512592,44.74221650562496,80.24221625867906,18.709073900841908,33.47103666584476,100,35.473506255845884,29.967921347935327,24.265159373071793,53.81601293252861,30.46038495400857,9.725753744388252,5.256721148033799,45.220025153528475,46.10449438143897,30.179961171761747,25.958099612400353,102.20753946972461,44.077439848313304,29.159042523156604,26.101008043653948,99.31747096186672,33.76977186424577,23.258792108615417,22.515803781279956,79.5152173124687,45.37253831889771,77.31958762886599,18.556701030927837,32.37179065589192,100,36.910970146287795,30.003816142657904,24.661781843964416,54.343262698616684,31.52055523154091,7.408914304133984,2.3429044190064854,40.769229795355656,47.05681385768152,30.547736247093983,26.382393780415278,103.87815725653063,45.827593731410396,29.635657216535936,25.686610796586887,101.1201455695288,34.32175053260519,23.638965156493036,22.883832426489477,80.8149211998058,40.9170666172813,82.61520845692144,17.812238055322716,33.5452862396943,100,35.10436754557285,28.291011270887672,24.822536340739518,52.58732490863037,30.14341298244064,8.776091886393212,3.2261555398575594,41.977230384494966,45.45331444592014,29.865907301172104,24.569668595781057,99.8441716356608,44.62135835264036,28.855612372436138,25.829399920775682,99.29014536295807,34.41568617309324,23.016760197262762,21.302400548685064,78.687778813604,41.840637940032394,79.05726899024432,17.373379275582945,32.85297324648973,100,36.61555961710536,28.823250439376466,24.26487377596664,52.589587945841465,29.763685819096466,8.117918798364677,2.324153391019426,39.98624688009842,46.48306782038853,30.30325275358747,25.13956267009214,101.86581634758646,45.4608205563435,28.369907626974705,26.49942580601177,100.31084807354569,34.04706237222575,23.4497748106818,21.703162891405366,79.15781213869565,40.53632678515746,82.23694187653044,16.662737284982228,34.094625229927715,100,37.51574557830712,29.580038167420582,25.233852847427276,54.13072654270532,31.918579655758208,8.183413323456259,2.963565721653594,42.65115766355327,46.85808838012971,30.673263135591885,26.382393780415278,103.87815725653063,44.79790093552378,29.635657216535936,26.5276380996902,100.94084957356529,34.32175053260519,23.638965156493036,22.883832426489477,80.8149211998058,40.98408888434188,81.89448042610701,18.86001676445935,32.90091883509552,F
Read 8,100,29.310125645038248,23.63057875853136,21.982594233778684,44.667900647155044,27.022600643327046,10.56791609034774,14.094788091953827,12.4783363510801,45.78387986398865,26.943005181347154,23.924137576404554,96.3953397828609,42.499682185305446,27.121766483528297,24.87046632124353,94.39157478176895,31.088082901554408,21.982594233778684,20.75127916528579,73.6917997826364,9.553932080096256,112.09446701221526,13.62999630877296,33.94474477545948,100,29.310125645038248,23.63057875853136,24.036090165270885,46.73563640944946,27.022600643327046,10.414378881990562,12.817944950106718,12.435233160621765,45.642933773150766,26.96292607514547,23.924137576404554,96.37862817480972,42.499682185305446,28.055930301929298,24.892045905625523,95.42685540494374,31.088082901554408,21.860127574848693,20.828757763981123,73.6917997826364,8.853889891520758,110.34201562578086,13.511300321663523,34.834686661081065,100,28.22364412698086,22.484580770736454,22.01586808289269,43.95271491170011,25.46727594016472,9.188304222934908,13.555382209224083,10.96272672912099,42.90062437717936,25.911899541558704,23.008563644837945,91.68825991628464,41.86954661670322,26.083819669727728,22.943720217702488,90.74091799952194,30.894957145704605,20.031643653818797,20.031643653818797,70.87162327112229,8.034938955848665,105.87091950638322,13.108377952925958,32.13975582339466,100,29.893825378826925,23.256394542167772,23.049870915367382,45.367861219802876,26.880537697980206,10.308215647871354,14.357682998849725,9.334486277844983,45.4614515435521,26.80136068446552,23.79836384004782,95.87194741644302,43.30677566766314,26.979182204519944,23.708895990104114,93.89534034059068,31.955468508401196,21.74520473119162,19.693818342998455,73.3043879911804,7.289009186543115,111.0276656283862,13.558340828745392,33.76629080333821,100,28.031936234394312,22.19320157284987,22.56234459015803,43.800959378624746,25.966735777219057,10.362807669124651,14.153427778868123,10.212250402520972,43.800959378624746,26.439613517442716,22.56234459015803,92.47586052192628,42.690684966161975,25.48508526366112,24.387765470988718,92.52051328190254,30.484706838735896,21.435853175214902,19.33370347570414,71.19627702714504,8.129255156996239,107.46789996926452,13.24906494299898,33.285924914458285,100,30.61383858348108,23.506348316650612,23.049870915367382,45.40298019904183,26.341474774107077,9.334486277844983,14.020689113220744,10.308215647871354,45.4614515435521,26.80136068446552,22.701490099520914,94.85799047790817,42.3139382574452,26.880537697980206,24.761183691298452,93.94625205702049,31.955468508401196,20.847075988203983,20.71925702735984,73.3695893176961,9.503705244091215,108.015148107863,13.440268848990103,33.76629080333821,F
Read 9,100,36.73126674192133,24.635086332158572,21.85478265127284,40.32571140660434,30.767612612586372,7.017147809094375,9.923745600797915,16.49402945447521,47.90199299883036,30.14108001155248,26.72050278218639,104.51781960351214,45.489847997337186,31.38163901859748,27.199934920961415,104.01013332082962,35.0330709061288,24.23203114150844,23.167217372485414,82.34317237447897,34.55544547297778,108.44274887219275,17.890286804168536,36.22506982650507,100,35.55660904468719,23.943762093346045,22.03816916938041,39.556208390386416,30.021051387332157,5.704877504579084,9.020203343363784,16.78227791452227,48.057130442860895,30.39399800225134,25.829931484929954,104.11626873243986,45.87155963302752,30.53780278352245,28.52438752289542,104.88289680248796,34.46614858077727,24.15197263920665,22.2923012364861,80.86511971175948,38.10558596090044,107.13235112576925,17.114632513737252,37.39264928858448,100,37.03948390522902,25.757136793961372,21.02069168500329,40.66409005456757,30.53780278352245,6.805507418100492,9.020203343363784,16.63243314759287,48.3039452784133,30.39399800225134,25.757136793961372,104.11626873243986,45.87155963302752,31.644966712309134,27.428173354511664,104.88289680248796,34.229265027474504,24.15197263920665,22.654348547008937,80.86511971175948,35.87205088807653,107.27830409817068,17.114632513737252,37.39264928858448,100,36.73985667565229,25.33212014965718,22.47314957626036,41.466701301508834,33.164727561320326,7.986309184255562,12.287883187985177,14.521302979301602,50.12180864002007,30.993902355290643,26.339752152002728,107.29932704667638,47.040566179323,31.14054549676253,27.969539468639503,106.06087618201573,35.14642738334138,24.62867443801814,23.8227187881587,83.56664039808324,34.30301512463869,112.64342313471748,17.264969709551117,37.993898015622854,100,35.40294377095368,24.140930128632483,22.84089873808978,41.16928954516562,31.785680323982795,5.751855063274434,10.089421218273166,17.620416640511348,48.70171042283791,30.644281347334744,27.09624850414961,106.08895674722152,46.24929498025945,31.905551322574066,27.65403422928655,105.7465687107318,35.84940458447988,23.55399099585009,23.55399099585009,82.90840304574378,38.41937138392872,109.27942433149109,17.070215398106665,37.70056394149668,100,36.56292816859343,24.88875707867457,22.661890938325133,41.67227399050813,33.44326243384407,6.902899217671422,11.330945469162566,16.351438568283356,50.79093431809507,30.11102698642982,27.63555487681618,108.20048338289445,47.16981132075471,31.402080220791948,29.12790819413751,107.63629655960938,36.56292816859343,24.83551903465589,22.923215422424384,84.2684771156465,38.12250696222018,111.45445199018273,18.72850965957168,37.7386550088742,F
Read 10,100,30.03195387159802,20.481139480836195,21.034506504919065,38.26670696926767,24.37015923553714,12.026939221847892,12.847881447453297,7.024972886139571,39.931483851883335,23.0790443744983,22.138179134766162,85.04330280687103,37.83063675751291,23.353913663263835,21.29581474147255,82.34928187682185,26.75029978784245,18.813834567264216,18.813834567264216,64.07362784544694,14.408725534372573,99.33527173853707,15.462646078996595,31.48426928489256,100,28.88058513055904,21.508556203158754,21.34804234647874,40.03529885927838,23.696091133495248,10.242359993682548,12.915790316379931,6.750843740059827,40.14254603470579,23.201031163198817,21.34804234647874,84.51155333875703,38.06449508860124,23.477353303360832,21.408376076808594,82.86241395406195,26.89169139465875,18.913277127569675,17.09856167895565,62.57040210622157,13.909495548961422,97.29579178498692,14.39556258926189,32.44223977102355,100,29.57722982411668,21.086043030555093,22.088705317403623,41.37325908982329,24.26767775722818,9.544041425565895,11.1155744641212,9.544041425565895,41.11084676526754,24.764301634198098,21.842355175688507,87.62195634901684,38.034158394113554,24.043663629956626,21.86299037648877,83.8347294129283,27.5403608736942,19.369494828462617,19.20583895171575,65.8634031696095,15.015563438596294,97.96777758259294,16.828153035773358,31.611238323064075,100,29.907593427625535,20.86412639651806,20.630049238958982,39.25314522496791,24.01227652542875,12.251836882545856,14.312672628949274,7.339080695270301,41.61170799752778,23.51061079345387,21.632896886339672,86.57749425305363,37.633874073483916,23.790619998444207,20.75805490920365,82.09644976576844,27.250516820146593,19.165643727091844,18.24514925666942,64.33844303185,10.164117483924045,101.95776749309499,15.180881809249684,31.27855098119383,100,29.39319638375823,21.91292112374719,21.124874610295603,41.158282306645184,24.141582124101344,11.37609313064931,13.52651966299136,6.33746238308868,41.01708709700975,23.637214932823436,21.72886159659896,86.22468934609077,38.78011478842474,23.918731981430632,20.805588611757425,83.39912146604959,28.341993386868207,19.26885031116782,18.34339899758866,65.6232592794039,9.726622712316487,99.40819225670971,16.740713412063627,30.142760762482407,100,29.091821426225394,22.13880596495791,21.449083758942663,42.26704175906181,23.08559057449236,11.493361247296264,12.408132098883268,6.402790810823107,42.38542199327006,24.889576807111386,21.952849098024245,89.09368314638401,40.13323669300112,23.223298769870073,21.97358868611499,85.21032402659402,29.604013399390713,19.302995529404107,18.53248815400172,67.2479333924159,7.269039902513992,101.2370117189865,16.91328161369605,31.265322810268586,F
