,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,55.86867215,43.78622022,30.52999251,72.23337366,75.98197038,41.23067764,31.01505365,148.1508355,60.65118784,16.28990424,21.89311011,24.87212867,46.36188023,15.66712822,19.3174501,11.873206,35.92099338,14.16613007,16.79124895,8.639026314,89.0187748,123.8059514,29.73186447,24.05864996,100,55.82582351,45.61445984,34.86656833,79.16573498,80.46131152,44.33492089,32.43499161,157.0427637,63.72323653,18.67827314,21.45634974,29.01073844,47.01233242,16.58752431,18.82213873,13.2075336,35.78292628,14.99308018,17.48478585,4.835123073,90.0983078,134.8644022,28.41574373,25.44410079,100,53.00339352,42.93303004,30.46274038,72.19372779,75.64393389,40.41653736,30.35823668,146.273524,58.85600671,17.55752966,18.90835749,27.98891127,43.02545863,14.37256303,17.64780033,13.6350105,33.37502154,15.17911834,16.43565462,3.986231766,89.34851958,125.2590482,28.32749912,23.17506153,100,54.21011057,46.03056032,33.12945973,78.22653149,76.45259939,42.12608373,30.81902809,149.2186403,59.98268245,18.24391063,19.15557643,29.85569448,42.52884625,15.76110713,17.88438946,12.61403534,32.26042024,15.50143356,15.34352011,1.802005049,84.22325622,127.8090422,27.94560678,23.80420705,100,52.90059298,45.07212174,32.21898711,75.46171556,77.14065312,41.32208455,31.09639142,149.3379645,60.02888933,16.71380818,19.28516328,29.59852001,43.78859955,14.65897949,17.99948573,13.23686056,33.05466735,14.37431202,15.48160784,4.635576338,89.53708072,125.2331773,28.89200958,24.39401641,100,54.59582504,45.97651972,34.84676788,80,80.01074908,41.98769992,31.58451037,153.4650397,61.47169388,17.595289,19.67213115,31.7474582,44.89768595,17.49726435,18.36065574,12.98294418,33.71792822,14.66274084,17.09954729,4.14724939,86.2787368,131.7559657,28.76290125,23.23940347,G
Read 2,100,58.81112012,51.32176347,33.30101024,80.83227341,70.21228311,39.5541265,30.065762,139.6755386,66.93420219,16.67748408,19.83003425,34.36407495,61.08102784,14.6900338,19.7391398,34.91781171,54.7246206,12.48412816,17.55307078,34.8490758,83.27952204,103.5042356,24.1878047,24.1878047,100,60.26097846,50.47380082,33.37293475,79.81735232,70.15249526,38.46308567,29.88578575,138.3950536,67.22908763,17.68914313,18.7421907,35.74910263,61.36496778,16.16645468,19.7391398,35.61470703,55.10666608,13.18470883,16.4604143,37.19541827,84.48720781,102.4155144,24.31140185,24.08847038,100,59.48360922,52.38284151,33.3402635,80.96779475,69.37029304,40.29449347,30.68737197,140.1423358,68.50063889,17.02229125,20.3937054,36.48821573,62.34387877,16.50069631,20.14724673,35.56958083,54.80643646,13.45730284,16.76352257,37.2168659,89.46829486,104.4193887,25.80106478,23.4955253,100,61.27107407,52.02126815,35.08253644,82.90187007,70.82693782,39.44787888,31.7622361,141.9384643,67.97415362,17.57717669,20.24453271,36.21452105,63.24594201,18.10726052,20.21336328,36.56107938,55.47036063,14.29300625,16.88186005,38.246797,88.96970294,106.0414016,24.80709942,23.58225716,100,62.79104578,54.82265272,34.03635799,84.18738535,73.16015764,40.07796479,32.26956218,145.4369513,70.05171219,18.88527708,19.52908473,37.78778132,65.35084309,17.41510271,20.5678909,39.53844484,57.83818303,14.52130298,17.15150756,40.4658251,88.03441745,107.6324145,25.20333375,25.09982886,100,61.2803149,53.7072552,34.9235091,83.69115772,72.0215133,41.21481316,31.32807808,144.4040373,68.79549769,17.85793023,20.5678909,35.71586045,63.64552507,16.845206,20.5678909,36.31222011,55.95071231,14.52130298,17.15150756,37.99389802,89.17295165,107.6324145,25.20333375,25.12574506,G
Read 3,100,37.74111537,33.57723187,22.25758773,54.89350914,52.70811038,28.35453588,21.52519382,102.4857112,37.99270514,12.07992716,12.97041216,15.69413652,30.00297373,9.568251992,12.2896969,8.208872165,25.29685093,8.888407397,10.92863831,8.888407397,60.37654871,86.97077338,16.38941343,14.23451702,100,35.66995999,32.06484675,22.75657205,53.70743852,50.74413341,25.62981634,18.69110439,94.97133859,36.52521155,9.979417004,11.36076748,17.86287768,27.79943896,8.229238078,11.37828602,8.301531455,23.58185015,8.229238078,9.55108934,9.634143854,56.95791049,78.22488095,15.52432956,11.60362049,100,36.03844191,32.39608671,22.99165461,54.26225328,50.57360046,26.01208781,19.64407831,96.04349207,37.64436205,10.89657409,12.11580156,18.23791563,27.48662423,8.38728889,11.4958273,8.06600602,22.27298711,8.314248699,10.20278026,6.565253246,56.92466243,79.81118335,15.41008286,13.73591329,100,35.80728048,30.79618283,21.48436829,50.97303829,49.13663015,26.74413524,19.21620318,94.96799508,36.46234602,11.58161479,12.57771773,14.82372178,27.66499032,8.189438358,11.9504413,7.641181497,21.9386335,8.189438358,10.67772125,6.186079896,60.63698705,80.89105287,15.10057821,14.35042982,100,35.02789067,30.64412668,20.50152433,49.90616194,49.51720029,25.49509757,19.12132318,93.96018106,35.66883268,11.67596356,12.51561525,14.64421814,26.94032758,9.457966219,11.89143599,6.155536126,21.6956937,8.75,10.625,4.759858191,60.94631347,80.49165329,15.8113883,14.04512816,100,33.41534916,29.66296875,19.65804998,48.58240499,47.68694231,25.35401931,18.77832588,91.64053014,33.47645283,11.56578236,12.2066348,13.36891935,25.05919511,9.163850276,10.98918402,5.208170524,19.96749693,9.143553795,9.753124048,4.310312595,58.34068206,79.83508814,14.84400568,14.26967377,G
Read 4,100,57.86287887,49.82624743,31.72866521,79.80873621,72.50784038,39.62969426,31.1191743,143.1756272,70.09876796,15.47279609,21.9091733,32.82275711,61.61981549,15.23893685,20.90259647,29.8628973,54.94476818,12.47456701,18.59956236,31.95422728,82.36993534,110.5032823,22.1266394,24.09487478,100,56.39440317,49.56979867,31.70413467,78.82878899,70.66769685,39.96942805,31.81154594,142.2056024,69.4422698,14.9665908,22.39283429,32.14931421,61.01394541,14.22655584,20.37211897,28.71169123,55.63317322,12.43538472,19.2234553,29.87614785,83.05025583,109.7901021,22.62017854,24.73323418,100,54.25295276,47.91934563,30.61383858,76.59357999,68.22917532,38.48707288,30.52694134,137.0643863,65.015347,14.46827012,21.67178233,28.88140548,57.03154806,14.357683,19.61271785,26.74182408,52.00287911,12.58278076,18.58340004,28.51111573,79.29289605,107.1459558,21.86702756,22.77159265,100,56.714929,49.51590941,32.61534869,80.11377028,72.24094281,40.0389377,31.55804605,143.7877366,70.98029273,13.98220355,22.6220087,34.38331269,63.35251684,14.93660941,20.48790689,30.87652557,56.99810087,11.59962877,19.30294906,32.42083959,82.20383012,109.3623488,22.92499552,24.7579547,100,63.03789895,53.47914752,36.52066487,87.57740314,78.99235363,43.78085062,33.5783796,156.2167212,80.15870619,14.26539055,24.87476951,41.10822735,72.85283568,16.33253785,22.40264209,37.46844585,64.62122764,12.46499274,19.93433396,40.02356512,85.09288254,115.9044446,24.87476951,25.82400979,100,62.14880951,54.15046672,36.11676151,88.4223037,78.91814181,44.47487644,34.48886449,157.6074923,77.67203252,12.92524842,24.52393461,40.46242775,70.67168423,15.51029811,22.08667419,37.35374433,62.82255801,12.28918591,18.53320178,42.33487497,84.79593443,115.935948,24.52393461,23.15027098,G
Read 5,100,44.72571984,39.54389348,27.99445268,66.43542284,64.4788175,30.89424513,21.48663255,116.6748472,52.3873794,10.18227631,14.91993219,27.90717436,41.39744875,7.964107011,14.14351447,19.66369123,35.69354122,7.367419861,11.0442293,21.4440144,60.45643806,86.59689981,20.25946391,15.3431337,100,44.42012986,39.85494316,28.10843326,67.0258259,63.98577079,31.55481239,22.10036851,117.2862477,51.38184824,10.44018307,15.42811732,28.18170057,39.33413563,7.675775253,13.25044251,18.48571474,33.32559617,6.558185251,11.61555569,17.52028279,61.40620203,88.71084439,17.52028279,15.82401606,100,42.90691447,39.93349664,27.32232977,66.55146327,64.2869905,31.83020277,21.69245346,117.5758549,50.84475634,10.36697447,14.56171736,28.29376706,38.99132793,8.384146341,13.80394076,16.83744057,33.95833752,7.7728956,12.21891733,15.69455814,62.57431632,88.08878664,19.87561709,16.02423479,100,42.48611591,38.14528229,26.13340498,63.23068943,61.11066862,30.58683699,22.05648182,113.5426895,46.99424619,11.96180675,14.17282876,22.23045113,36.38041494,8.193887995,14.17282876,14.11446409,30.41543027,8.458274667,11.22607266,14.68767795,63.81546934,89.90963264,18.91327713,14.92923724,100,42.50666274,38.36927382,26.69413952,64.15053586,61.19851828,29.977502,20.69252504,111.6672305,48.19489143,9.196677796,12.3814064,28.64289022,37.1086234,7.270612186,12.3814064,17.46460979,31.80009849,6.503033234,11.00243271,17.7498264,58.32825686,82.13539501,19.35949826,13.00606647,100,42.48994348,38.05732719,26.52222476,63.69211453,62.00306368,30.07590361,21.45370365,113.3065159,46.92339933,9.921562848,13.15030737,26.09751816,35.08181386,8.057014383,11.69393795,15.33576194,29.36876817,6.232404804,10.31594983,16.53772565,61.27795767,86.26317901,18.41043032,12.73925829,G
Read 6,100,55.32571972,50.84444257,34.35406346,83.81395063,73.41800776,39.08386813,31.3478962,143.6879679,70.86906667,15.90502614,19.94845967,35.02718663,59.18327086,15.31285727,18.97354908,26.55930562,53.02694834,14.22588785,19.75240126,26.04138643,74.26131476,112.4006157,25.64608404,23.09074751,100,54.19125123,49.92800339,34.88192324,83.52888951,70.69411616,38.14326676,30.59347051,139.2784086,67.26156168,15.43244084,20.30710734,31.75283501,56.80446089,14.94433452,18.39138735,24.54283555,52.70009893,14.21334526,19.27703542,24.84306488,73.05993824,111.9532475,24.67463538,22.22448283,100,55.98131238,48.97293978,35.63304768,82.97392324,72.33660334,39.08386813,31.57981968,142.7129718,68.92021136,14.82866086,20.80787444,33.49364144,58.20524163,15.31285727,18.84491337,25.14805442,53.84629735,14.56384204,19.75240126,24.89530374,78.04316609,114.7139806,24.36198271,23.09074751,100,54.19125123,49.62080851,33.52729066,81.79686479,70.80545071,38.14326676,29.88866903,138.6348558,65.70036785,15.43244084,19.34900967,31.35636788,54.90477178,14.72570133,17.43431871,23.28337817,51.75078959,13.78303914,19.25298421,24.06623027,71.93508545,111.9532475,24.35331275,20.7360986,100,54.69416878,50.80578631,35.06759108,84.3962558,71.07040344,38.34629392,30.75631198,140.019753,65.70887524,14.64506528,20.52956879,30.55773426,55.16306978,14.38698224,18.48928015,24.19432885,52.02624622,13.95742292,19.37964231,25.54994442,71.6544367,113.3121445,24.4829394,22.34277825,100,55.13215658,50.53679148,34.14352686,83.08950954,70.69411616,38.14326676,30.59347051,139.2784086,64.41123203,14.47179089,19.46837545,30.59347051,53.9083558,14.72570133,17.35440545,22.4732721,51.75078959,14.21334526,19.27703542,24.06623027,71.84485236,112.7122053,26.48597707,21.30914865,G
Read 7,100,43.66866561,38.35242019,25.64312341,63.22737426,60.74041199,30.81725551,21.90211275,113.3392576,50.0576872,6.648105967,12.5668033,30.9742649,45.51795022,0,9.656373569,36.00381715,35.61245969,4.465723904,7.230642245,31.90854388,62.02244111,78.09066016,22.21972829,15.71172055,100,45.34038062,39.00241268,25.51591383,63.98609485,62.33128704,32.06918261,21.54825995,115.7451318,53.09286755,3.733014783,11.96895591,37.39728173,48.52919218,4.020579967,7.613886089,44.89561409,36.95496094,6.422521478,6.88333915,39.11658025,64.0905478,74.99551443,22.27330729,15.8378404,100,44.20116505,39.00241268,25.3954776,63.57095104,62.41618578,31.33954287,21.54825995,115.1318891,51.65068107,5.226220696,12.77978406,33.67171057,46.29540391,1.669454963,9.082816978,38.93804632,36.33126791,6.019305471,6.88333915,37.07543383,63.81599417,77.82239116,22.59630573,13.45957621,100,42.1002083,37.84748274,24.45867204,61.46323103,60.1397304,30.05049791,21.64104591,111.6419162,49.00190307,7.229606231,12.96867591,28.91842492,44.60110783,2.274856241,11.59953636,31.0082182,34.89513801,3.668095471,7.406395325,29.94699417,64.77950228,78.76392025,20.8618085,14.169999,100,45.93714509,40.34685432,25.71860817,64.95172084,63.90375722,31.75203005,22.56646579,118.0151474,55.34873867,3.857049556,12.8815328,38.76286831,49.17374573,2.39204059,8.457140611,43.22252535,37.55579905,5.454691793,7.56429652,37.2498404,65.21108037,76.25321165,21.39506146,16.04629609,100,43.35716369,38.1376135,24.53770212,61.66885101,62.5876182,30.94769384,21.5738921,114.8533335,53.52612792,2.342774974,12.61622934,38.77982613,48.16098078,4.50641764,8.182961192,44.45720311,36.67022869,3.98960202,7.408504964,34.53507785,67.45402069,73.22811553,21.93968424,18.52126241,G
Read 8,100,64.46225308,58.57516041,37.04618424,91.49732553,82.96654499,46.10559324,35.3613758,164.1962968,72.86795995,16.2422159,22.26198614,34.92747746,63.95162942,16.56755725,21.02912616,33.59217216,59.74793976,14.86983771,19.75796493,40.2045458,95.90757144,126.2774437,24.973757,22.26198614,100,60.52834809,55.10975487,35.80630224,87.28679777,74.71865221,42.7923317,33.72822686,151.1243347,67.63148879,16.08672647,20.66218496,31.13599474,59.5657832,14.89971347,19.51792134,31.17815589,55.13358611,12.96700114,18.33810888,37.42080852,85.34642609,116.4551133,23.03696417,20.66218496,100,60.16774152,52.12272501,35.0551091,85.09003608,76.28990661,41.74912466,34.13345527,151.9778493,66.86101896,16.17758051,20.74688797,30.05625821,57.64176925,13.49089432,19.59428308,29.09043214,55.7674984,12.25235801,17.44207694,39.94403746,88.15732216,118.2473751,23.16707151,19.00924678,100,59.08716283,53.21990033,34.26940698,84.63605233,75.14064552,41.74912466,33.00558106,149.6878342,65.7389084,15.0281291,21.89949285,29.0218495,57.88326201,13.49089432,20.7788801,29.52108915,53.96357727,13.87920076,17.28907331,36.00852778,87.26368479,117.1128243,22.02048545,20.7788801,100,59.92880808,53.22075582,34.99133517,85.39522153,76.72357779,42.77458361,32.55105728,151.8137272,68.29995588,16.5183816,22.36083324,29.63323129,58.85606567,14.22036716,20.04164572,31.0706809,55.82460269,13.31494469,17.69247544,38.3166308,89.10200415,118.2170084,22.3917825,21.31431126,100,60.16774152,52.49099833,34.26940698,84.21117777,76.28990661,42.89486876,33.00558106,151.9778493,65.70858835,15.0281291,21.89949285,28.9071835,56.51291227,14.98386353,19.59428308,27.90161004,54.36826379,13.04023571,17.32745087,38.52184179,89.51815509,119.3822718,22.02048545,18.76304817,G
Read 9,100,39.65364675,31.28791067,22.39873532,52.47142135,56.45929272,31.46341295,23.465933,111.1711905,29.28805817,16.44476631,16.59292035,11.54901162,14.42301417,13.68287265,12.21831971,11.54901162,11.0619469,12.36763262,10.19861113,13.45743923,84.94682153,107.3179897,21.73327733,20.39722225,100,38.80880009,32.75815671,24.04599389,54.72267713,58.47016553,30.66818891,24.01972846,112.9199508,30.66818891,16.70344803,16.85393258,10.35903872,15.77041444,13.89810885,12.35955056,10.35903872,11.94398406,12.56217965,9.058716571,13.15134821,85.34149821,107.9178242,20.99049628,20.71807743,100,37.8957344,31.63150643,22.57638282,52.49417556,56.45920291,29.61341882,24.08983759,110.0143184,28.72562069,16.84298003,15.22802305,11.3272285,14.27031186,13.42011162,10.90362984,10.00276061,10.74047406,12.13012899,8.946741078,13.42011162,83.47785206,105.81478,20.26857078,20.00552123,100,38.78011776,32.00804979,21.86748305,52.21934807,56.94999625,29.70277216,24.4485893,110.9707437,28.94861643,15.91976796,16.40061229,10.37265797,13.30147065,12.46638339,12.02711568,10.98827424,10.82385189,10.98827424,10.08041161,13.83021063,85.20605213,107.1339303,20.42591482,20.16082322,100,38.20777885,33.35135715,23.01842041,54.57476276,57.56465412,30.19323908,23.64774151,111.1711905,30.19323908,17.17275962,15.52618235,10.19861113,14.75847795,13.99237903,11.0619469,10.01701896,11.75901085,12.36763262,9.121915101,13.99237903,82.92772042,106.2465305,20.66542223,20.39722225,100,39.54542948,32.63971718,22.29902999,53.24987819,58.02034488,31.71248222,23.65169298,113.1607115,30.61552061,17.30870186,15.60932099,10.27934492,14.66489736,12.712403,12.2644665,10.09631524,11.85209701,12.46553672,9.194125601,14.10314488,85.78608122,108.1675356,20.82901292,20.55868984,G
Read 10,100,43.58177087,36.47204403,27.60185368,61.95629716,58.72223681,33.79921517,26.90069232,119.1149217,45.97853484,10.89544272,14.45556316,25.26406804,35.2130283,13.12914317,14.45556316,10.28111294,27.12643635,11.75690244,14.87143598,2.705139766,74.45006836,95.57309794,20.58198776,18.25830183,100,43.99834674,36.82066166,28.04355357,63.07623924,60.19217207,34.1222846,27.15782229,121.1562995,47.14431452,10.65516605,14.5937365,25.29348018,36.41329085,13.03397457,15.50239997,8.965733092,27.64174138,11.86928066,15.01358444,3.641329085,74.65279685,96.07348518,21.23241473,19.28959499,100,44.36044786,36.39319373,28.33252104,62.39968082,61.2005748,34.69393709,27.84451862,123.3076822,47.59333629,12.41800062,15.76211252,26.21214783,36.20438211,13.47669361,15.76211252,10.47177758,28.51336875,12.99117813,15.26510783,1.851166235,77.93607714,101.9192685,19.87311232,18.7416297,100,45.64044173,39.60886457,29.15003879,66.66711979,62.96648035,36.79588437,28.40954936,127.8092734,47.62403485,12.04562484,16.21691874,23.80725645,37.15152691,13.46741798,16.21691874,8.517543005,29.82660654,13.33206361,14.78352033,4.855746609,77.44058105,105.5668623,20.44653895,18.709535,100,47.32290154,40.14405998,29.06413486,67.12773572,65.02547644,36.31401824,28.90221641,129.8993067,47.31298371,13.17716577,15.53111756,21.77117327,35.85885589,13.59781907,15.50087192,7.053003187,28.80462846,12.59445844,15.97793306,5.893007683,78.01132393,107.7291432,21.24754137,20.22923176,100,45.64685447,37.94774414,29.55123503,65.95290156,60.85689246,35.37518593,28.11252959,123.8369529,47.14325112,11.7091525,15.91382709,26.4644468,36.63638124,13.37989072,16.82085786,9.250999847,30.61085759,13.11622171,15.4120386,2.643142814,73.93716641,102.683632,20.21615518,19.26504825,G
