,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,40.69653007938321,38.43081264628647,31.027860160578033,67.92161513063294,62.82349252289888,35.18361968572514,28.65100409994115,126.64910541400151,66.5295810430269,42.98032611402308,31.770333523359255,141.23753600670562,43.82760869688804,12.396319725104016,17.01782820097245,14.586709886547812,34.19926717343468,12.580368473468415,15.397082658022688,12.684340228929116,89.43887171793858,27.71901357615409,131.7721944270588,22.413803380776873,100,38.48238936242059,35.64660030532722,28.84525704937733,62.98925151743165,58.739518457430805,32.51065660627804,27.35106252501877,118.55869755373331,62.18710671348194,39.964459188981756,29.279652374778234,131.41259778373782,39.55834329238408,12.260536398467433,15.344815627969952,12.684249315897969,29.279652374778234,12.63787164940279,13.81437270292716,7.547017472640691,86.53577114813201,25.135968531581184,125.03342868580006,21.138872374151298,100,39.307700468032934,37.11930401183274,28.362039655593986,63.87666175047955,61.55166954081873,33.982926340157185,27.794741553795717,123.31218280092659,63.5208001417454,42.29572976238665,30.686123644196403,136.46474204707974,40.04118836076601,12.741719314417427,16.511445765285682,10.985964971523325,30.395253348383847,13.120737800751575,14.088916718847841,10.64611029174659,89.45267074094942,26.15963520204822,130.8660750760123,22.8601782506422,100,37.91361494820837,35.64660030532722,28.36284371390306,62.37566720296926,59.4055094047948,32.51065660627804,27.21115847442866,119.09978787603185,62.18710671348194,39.87620484676685,30.041832619023232,132.07002701684306,38.43658606585272,11.595973908369007,16.110188537646465,10.755301798941147,29.007652460916013,11.895919307478946,13.793103448275861,9.69280508863871,88.00258360001229,25.610383091292572,126.86563748782093,21.781870350271102,100,38.56673747557247,36.644038579914756,28.8514389637879,63.61277032692545,59.6547193503702,33.07070455311626,27.822228229128925,120.48765068321013,63.2583788768368,41.37878069993607,29.784041117067275,134.39714435888882,39.168585318890365,12.568801540725776,15.609154567387007,11.023568184372088,28.169476965613303,11.923812098198109,14.030711668875204,9.48283191253912,88.54951754322363,26.05156281404381,128.28374056437028,23.17572491592253,100,39.910922930438204,37.86282599388799,30.071028040542494,66.74704322269207,60.593666978590825,33.982926340157185,27.023601286211754,121.55077562807867,63.477383603445205,41.550436568525356,30.61616658673755,135.63617433028892,40.8215554489834,11.76682559359182,15.654351909830932,13.511800643105877,30.56609923257144,12.151044690247359,14.088916718847841,10.9019945813902,88.95818769821388,27.260605459092044,127.71495337740225,21.592226399708398,H
Read 2,100,62.4102548865946,58.24558194068244,44.442248528767834,101.68726493000234,83.57937278573006,45.1715228102948,35.95187729615883,164.46546232774378,97.6213215284581,48.26460446975364,38.73260708601639,184.52350188249952,83.1612991038135,22.641954962709008,25.421816232500586,39.64059822462888,59.34476862976683,18.39520067784255,20.522278098248254,32.426184736258634,92.17316546624701,30.127741624487825,150.67244741468096,32.56027015210001,100,62.612053361505446,58.12859656190059,44.727929447145605,101.7137458956095,84.00288451630222,45.46189160458779,37.3630607659172,166.55038484857164,98.24135839902974,49.7862359048485,40.189306308746865,188.0905084205073,82.55445033470777,22.78750057981315,24.378109450869356,40.77073696536473,60.31445365266881,17.492061979206742,20.760755328834072,36.18298093432699,93.8612852101679,32.020324517754005,153.8989883509274,31.06427768311874,100,61.3107339626618,57.90319117932972,43.798310961011346,100.83827813362167,83.67655560004056,44.517018560549445,35.728287307580345,163.6198584256012,95.04156305815941,48.7080680627313,38.300511868401664,181.90029336063643,79.57244655581948,22.313888631895413,24.01870358213383,37.949038737934586,56.17213107071481,17.12850962215672,20.329266946108895,32.088494266285736,91.9104865270587,29.69121140142518,150.70037517261235,31.174358072224912,100,60.239652791550796,55.7485493373119,43.7862748045102,98.54958511096957,80.94042227342005,43.600476477820905,34.99269269859562,159.29422418548126,93.08479247990023,47.74776259572826,36.35803095984131,177.0505766238497,77.94284316738842,21.854477408463346,23.52419264412782,36.78350192123275,55.89398058268682,17.174389973517975,19.91071625988565,29.655807337401335,89.65672058877813,28.39724465681913,146.30866194794086,32.17242453399868,100,58.4705379958786,54.74253470877594,41.769371196252735,95.57151709017548,79.80027162219291,42.650742742695044,34.073188257993706,156.22510164382967,90.63879951859803,46.56202240592244,35.40264946899486,172.4614500434298,77.01891493940421,21.280206397163813,22.906046456174742,37.256505161170054,55.53358555728287,17.288863430143554,20.51282169699267,29.730218027877864,88.78700916192551,27.017466172559885,142.34248716160607,31.32702839718955,100,56.63343653359653,52.02864712946207,38.82463920749308,89.98429296727741,77.82628456376156,41.92297240575174,32.56955548274475,152.06302741182694,88.38531752658695,45.97876029771718,34.83371323654499,169.12176717202007,73.82571896078403,20.163020218454253,22.619112421604616,33.646368317842125,53.52191528466793,16.513614875554637,19.046400140841524,26.889196466102916,90.76632844323223,26.396205617282067,141.09238734547012,30.218669245288662,H
Read 3,100,38.812943715063064,35.85174074373293,27.8022144617007,63.26581038129743,65.17841984681455,34.85911215048407,30.337457363622423,130.3568396936291,68.40332720217224,42.19222791140955,32.8372951348035,143.42225727060523,36.578539134070134,14.541190236287024,15.951092512107913,9.2726629230158,29.39744253742079,13.638272553916297,12.320107191800213,16.86024728362683,92.68877389923554,25.90729989872487,141.62471428113895,20.79768013410877,100,39.55015625675414,36.58254824231517,28.18521153046368,64.347251276828,67.36298554393008,36.58254824231517,30.913686629190888,134.85100995515975,70.6889241625867,43.91607166298498,32.508134706359456,147.10016110954265,40.189946113252454,14.817385412102725,16.22601889853966,11.65081188864532,33.74567057299549,12.982218677804186,12.55411514552439,18.752393532870574,91.35047142506747,25.78840524216149,142.42112297859907,19.861269491920215,100,39.739983955781994,36.43433933828536,27.308691901673384,63.34203845146765,65.99443594532985,35.90065173611241,30.337457363622423,132.2146870632738,68.40332720217224,43.12800462053705,32.8372951348035,144.35822292475447,36.578539134070134,14.541190236287024,15.951092512107913,9.2726629230158,29.39744253742079,12.740230899902066,13.246661318593997,16.86024728362683,91.13279392248253,25.30771091439921,141.62471428113895,20.79768013410877,100,39.10192370489673,35.021181723570955,26.897199276639345,61.39852063328995,65.1507959402199,34.890792711400636,29.484086919802728,129.51696203555818,65.6449936361218,41.91484545551694,31.004799937963416,138.5620215962891,33.731465295673935,13.254637941339132,15.475648611743287,7.724425465852136,28.117333111480207,12.381857540951705,11.869280664911516,16.41124840903045,86.9593681135312,22.97574777264263,136.62568065365164,18.43282360611433,100,38.40455967395308,36.424573169980576,28.641309867334915,64.51921395156079,64.57108870482668,34.15947795534213,29.632451492592217,128.35549083006524,66.84503003699115,41.211731489680545,31.160816772051977,139.21418009090132,36.77905076347993,13.099561814525485,15.580408386025988,11.017012423414728,30.755235707175867,11.572836816718683,11.929007145841995,18.66063865907698,85.00817811020397,24.154398504014797,135.38858951639384,18.525577979246652,100,39.78605802660532,36.63058941524486,28.781468179805657,64.81448047485198,63.916138339409116,34.84039859023971,28.437454207765953,127.17938593802971,66.16701487994142,41.747620255809125,30.91115407693536,138.80137411097414,35.50497334525024,12.966691779819193,15.422374901219348,10.246068193248291,31.227929088148286,11.455452491100813,12.807585241560362,17.584212859036043,80.11142009126124,24.468857247068097,134.81466448779855,18.648125594977362,H
Read 4,100,67.7324981633587,63.660496503687284,48.07993417358717,111.32865825232486,91.9799295638936,49.07642482409158,37.951830518861044,178.70029790735995,100.42801954546323,53.45001082864559,40.92354611783548,194.54133273329487,84.75271986388171,22.797935207266914,25.06892227508321,44.33038277517256,63.21872975699156,18.52296416467079,22.193908987262354,37.88463926429984,86.64548488776052,29.287377889018938,155.6359036947938,31.816905032539303,100,67.01399782188162,62.46191563311227,47.439788148576305,109.11735013128883,90.68745083860188,48.85094438678826,39.20659183237671,178.4767946464984,100.3857287196753,53.45001082864559,39.63744643749655,193.1657220242294,86.10471345840705,25.304949614163434,26.195427137028254,44.311221165124465,63.913461932695064,20.357747102584792,22.193908987262354,40.14836908836013,91.9799295638936,30.397246943022555,155.53219190177015,31.816905032539303,100,68.41566501533322,65.5396470780615,50.23921971514572,115.2336538499068,93.54739306884935,49.20735494671206,40.363904351244656,182.895668579478,103.39248543839251,53.7367084247975,40.80747705821964,197.69186025801588,88.64637949367464,24.631101235322443,25.808914613808323,46.207367121219804,65.42968114980066,20.958673489619358,22.849035778782238,40.25224741714746,87.9531818949276,31.294522446506374,158.68895147696247,33.54353951428955,100,67.20360060997743,62.912874593445835,45.94381727487529,108.11898284050406,92.64400099025407,48.40926467468042,39.489653338123716,180.22486502685717,99.84141176060076,52.52362568585601,41.21900359177627,193.3253511467615,84.10379879045074,22.58420915474567,25.078725616359673,45.20655121481376,62.748324508884835,19.514398460643875,21.043869180731686,40.18174813603036,92.98745470425222,28.819241795878376,155.3461835549912,30.980372069325142,100,66.45405335061625,64.17866415871305,47.72535754880896,111.3972925654013,90.52811149126683,49.33531403817985,37.951830518861044,177.41729258690617,100.42801954546323,52.19597131369944,40.73634721253169,193.24044849505623,83.45007477431055,22.422325731897896,24.89896152032165,44.33038277517256,63.55368351485265,18.52296416467079,20.89302690196977,39.723056572730805,88.82345477069589,29.287377889018938,154.33724846174863,30.758305020737513,100,65.30064151107248,61.64819374282946,46.42927225306454,107.42340577882085,88.75571559752451,48.03104689735392,37.14341780245163,173.63812321675138,98.2888002515739,51.08414386352242,39.86862144920354,189.12422975798043,81.64261737655745,22.312315924152934,24.534928650091004,41.70352735783627,61.56897135789373,18.12840612697946,21.72115607898776,36.12194453700586,89.7763487488152,28.663526854903363,152.43280861150322,31.13917248911659,H
Read 5,100,44.740694091043686,40.6835140506298,30.14407598245171,69.78476120255839,70.99987265218924,36.586330012035795,31.212253151266538,138.6271757795732,75.91459993831832,47.533609965344354,36.220152355479726,159.49701049868014,46.672828468559295,15.345931469815593,17.91736930860034,16.664616674580415,40.66985957330257,13.33169333966433,15.090452216775246,23.330463344412575,91.00772826695996,34.31454594456093,147.14016663399036,22.62954316355806,100,44.71895606258522,40.44735493847306,30.911385031368997,70.50900918684773,70.51677920276056,35.973705176257894,30.8048549556415,137.2415227383994,75.39806597035113,46.24876381110546,34.79696459456645,156.3228236583232,47.52249330185771,14.987774587330003,17.795456924526327,17.422084138064733,40.39313593965192,13.240982561157248,14.987774587330003,23.171719482025182,85.40177139902079,34.85988863256927,144.05464892105778,21.554757962916366,100,44.549372091466715,37.61160410930296,28.86480713530832,65.53523233622577,67.50547983018016,34.04042686033378,30.013134053160964,131.43896920769026,71.39943140514896,44.97924950780204,34.9153345611906,151.16375166669172,45.16387521771449,14.602571201709692,18.35798062213157,14.709031210459926,37.9557247647698,12.615315529681776,14.84979069715557,19.35101066905689,85.34212553379716,33.902641792135974,141.80842301615607,22.805384778172257,100,44.982484426811745,40.61411019759839,30.894097143399915,70.83880433764234,71.28125488541757,35.3678484015654,31.1835095254046,137.74341530820615,76.30279125736861,45.6760878716802,36.27687351621,158.11657364064664,50.20814979541012,16.209662541886566,19.073858217653914,17.63623712736382,42.20050387144193,14.412917779734496,15.172004941481777,22.825748891107356,87.91975633227314,33.726460660887035,146.1599472727956,22.278050271938792,100,46.00676771451183,41.21786656517266,30.565232810969494,71.12355280088941,70.1378859526244,36.27687351621,31.021047299574963,137.38834806284154,76.29543287061566,45.61458779279619,35.22469034353006,156.9583254109189,49.15720464021702,16.209662541886566,18.014199427784252,17.63623712736382,40.8896500616186,14.412917779734496,15.172004941481777,23.143297306179456,90.1706745766867,34.59749436752041,144.3199253510586,21.819709952287806,100,44.549372091466715,39.36819799208319,29.418062420919853,68.03500287672786,68.45415275696007,34.9153345611906,29.856769338713818,133.14907839157647,73.43192248852628,44.92139835909279,33.902641792135974,152.08644205594052,46.17738469218469,14.602571201709692,18.386289013074908,15.058463090498115,37.9557247647698,13.607000575345573,14.602571201709692,20.037616220691994,88.37196949488819,35.40347773117753,141.0619512658448,22.39112534431428,H
Read 6,100,65.14270176424313,61.676059609082124,47.19954593940766,107.82110488042342,89.21124074364464,46.617941572217426,36.036633012016004,171.6353130472177,101.1439288354533,49.943813210138586,39.027343259053026,189.88914297385122,85.23435218317398,22.5093724276688,25.251277832634138,47.54509368125801,63.58035738031721,18.72892995380197,21.2261206143089,40.20787161469501,86.08066501757114,33.24641517216718,149.00718047974556,34.98295848700686,100,62.42544679947769,59.53720934922535,46.14927232912035,104.78740136962529,85.53558311913822,45.18099809622046,35.952635413283595,166.54850688010217,97.1227388612359,49.775403666383404,37.947067155730934,184.5970893164814,84.08447041846689,22.906352147764004,24.401786138450632,45.63541612046256,61.05276659308078,18.21051353648173,20.674258062312013,36.21812283641205,84.80878570631532,34.01463087561467,146.29490347579264,34.35952822164601,100,63.28595757382125,61.513841228799016,45.787262123663446,106.2318553946589,87.93757872195077,44.73300146556615,36.71737572966474,169.18488888555896,97.23855859743352,49.2461514430586,37.10723306260021,183.48783878570407,85.14575043164542,22.59391969315178,23.67431884513396,46.785422298457135,61.89435549873309,18.46153846153846,19.692307692307693,38.45045994292507,85.02112511591652,30.39775762517777,143.40970397872758,33.79576668983626,100,63.33955304477642,58.83996996990475,44.45752925482714,102.62719050823387,86.88618348953693,45.18099809622046,35.039139710238715,166.88445091600906,97.15308497629019,48.56136943061795,37.947067155730934,183.46383183496744,83.9880080438411,22.906352147764004,24.55232295272149,45.63541612046256,59.89508988002434,18.21051353648173,20.638582008012627,36.42102707296346,83.8650772813915,32.32615504599818,144.97927510624658,34.01463087561467,100,67.79429727509344,62.12140643819348,45.989174431938636,107.26426551851347,91.28590477083108,47.46886241308265,36.81344308587197,175.33510487183247,102.07269910072733,51.03634955036367,38.456156713472794,191.39454573370097,88.24097222667336,21.944707313884255,24.534928650091004,51.33829540178089,62.92804277318373,18.961822381783815,19.1751229315981,42.62952797721532,85.99058056471009,30.425664392542252,146.08351044576045,34.462387974760965,100,69.76992526079448,63.145253194044066,47.78229121344524,109.80319283664043,93.79007969491336,47.710112484605524,38.87396401932487,180.25832542353277,106.33522263627532,52.50721974271462,39.4678298198291,198.25387028654808,90.91674755013278,24.417268623967278,26.547320052712895,51.78021245291683,65.17296711633715,20.50472479891482,21.00288789708585,42.271573085073804,91.1817011646745,32.04661490084983,154.26090360118232,37.5435800632058,H
Read 7,100,45.14024296910297,37.70349025381105,31.335750337470532,68.4711408945855,66.00207170554054,34.617329341557465,29.683201177366424,130.25280984717236,72.29314245505283,44.162558896977096,34.161406587927495,150.50788032857696,51.847487665071874,15.445554460591397,16.633892759034286,24.219313434455422,42.955683916889626,13.716659362139024,14.980767799374888,27.723154598390476,76.31877818359271,31.06972909301176,131.81769678778545,18.98175870290944,100,44.9149329306663,39.433203044554716,31.335750337470532,70.22226355285223,66.90878688933375,34.448181034248876,30.45007110318764,131.7920397497085,73.13029780389893,44.94230339812467,34.161406587927495,152.14733965486684,53.34384490455564,15.445554460591397,16.633892759034286,24.92001659542179,43.68662519308122,12.643703831723593,14.201184251764161,28.272181255108517,76.46365682140733,31.06972909301176,131.84801230494816,18.50611420247149,100,43.72844308886776,37.616629087180264,31.588954946650308,68.79951214693918,64.69627332656145,32.947352297176536,29.78674210163013,127.41536273536771,71.53721622252996,43.12554359705637,34.30341301679512,148.83293876033727,51.443683783407884,14.814150430181764,17.031221378518463,22.985846534895604,42.019930734992215,13.417853558745035,13.891823484141163,27.49627725540373,72.50933373074464,32.00528656136391,130.54240331060709,17.491377235547105,100,44.66131597952832,37.71876885938443,30.70780391829755,68.08211658037713,63.497617717317326,33.141041998323466,28.556869690325442,125.16722108138202,69.6644319892287,43.16451267628234,33.6099417772261,146.37409645583259,49.840183039103586,14.569408506206974,16.002718343087224,22.606101484266286,40.62435732599957,12.555308522248973,14.352970421273723,26.012280702424057,69.6644319892287,31.476532958698044,128.38573566387936,18.261494322435432,100,44.430049127551776,37.131157604061485,30.205796318946508,66.93914632938915,64.03660481798676,33.131317155188164,28.577009778100976,125.69404349144818,69.99104599573157,43.01307281322957,32.694965719762806,145.61613678187746,49.58209878922006,14.493964664786468,16.57840302767319,21.490162946756254,41.81129689210993,12.757973733583492,14.278647347422472,25.615081674860807,69.82992458958721,29.736004136823947,128.5078261268023,17.711705397682472,100,45.89678252076429,39.15991577847737,33.083080184158234,72.01138776948694,67.21179139398873,34.209441888317706,30.239040397052797,131.6432048528526,72.62347670869983,44.63083594738234,34.57966564580987,151.78959033379604,53.04278575276874,14.316131685757854,16.518613483566757,25.77938850217544,43.66944367796279,12.312247547766622,14.102764582054848,29.80479552874107,71.01509709343907,30.834745169324606,130.9689832837791,17.756975939871328,H
Read 8,100,47.099199310730484,45.560626482490456,33.48582364071736,77.95293089316964,65.73739217166877,35.550868837936015,27.811597156237962,128.97863053622157,70.41585279039354,39.26721807896758,29.31599746025791,138.94160098429197,54.29864253393663,14.640743869845181,17.358146306316804,24.17459080979649,42.004220360393,12.149870260024706,15.082956259426844,19.95920889017517,80.67462718364688,23.45279796820633,118.88244559327308,25.19852003246187,100,47.498749708087786,43.93811163393782,33.29898565489955,76.28051790439635,66.57453919578823,35.928434377987834,29.435736235924146,131.69196475094768,71.4212805711845,39.78869801760563,30.867406324164314,141.9440564830744,54.09252669526209,15.161722332808269,17.4576672805953,24.242456550749033,44.280047620790235,12.323351324420777,16.350045427721977,21.635087644667443,83.91637911565208,24.667795252315805,121.31521585509432,25.558315321043686,100,48.751726252255914,45.09716157968809,33.38264151387413,77.38473601288067,68.33071881238392,38.04623017981,31.228794912962005,137.381176313392,74.3295738556547,41.923970259605966,31.56037565514778,147.73118584326278,58.657702192492,16.55122820144656,18.958201901261212,25.85384493924101,46.46151161137265,13.116260950635057,17.91818566798251,22.205802821727655,89.37663228781142,22.98178415168026,125.68911592169276,26.74957047876194,100,48.41218720247408,45.59607525875532,33.84370186299315,78.45306554724826,67.95825001530625,37.78125123780924,29.766779757331292,135.39476099433935,72.79476673601496,40.59381328433811,30.30640277986123,143.63557399051808,57.21034472273187,16.435954574679727,17.702064829445323,25.313504494565322,46.137923120940016,13.513513513513512,16.66446937825509,22.051147022449502,88.21683787641217,23.243949870060185,122.7535857851842,25.142175930244953,100,47.74104156177695,45.49631280665912,34.79696459456645,79.00329640579172,69.37314571665819,37.00967136954609,30.212225875979925,136.344352639542,73.30531309541128,41.923970259605966,30.518956845207267,145.68841974422114,56.56550229710581,15.561675648820795,17.91818566798251,25.85384493924101,45.448117546514,14.044182837850663,15.73672812558663,22.95793174862484,88.45853423353081,23.893462180494772,124.5154078780697,25.318510671930962,100,47.498749708087786,45.667747429348516,33.20514145048385,77.83955901312467,66.67601888294199,36.21678919850016,29.435736235924146,132.1296052275504,71.45768100195149,40.91008897528114,30.749236984561627,143.0790285067867,56.09382967873534,15.161722332808269,17.4576672805953,25.497195308516066,44.80547197651973,12.323351324420777,16.31820499745028,21.68311231562397,84.28124810251533,23.787667087589192,121.31521585509432,24.667795252315805,H
Read 9,100,46.845730562241336,40.58858153685706,31.80770879914578,71.5347006035089,67.6824316228976,34.63732383593549,31.331756140405105,133.6347066993333,75.74123369420809,46.7304482240385,36.510945124798845,158.88342696629215,54.424157303370784,17.66556513123078,18.76541285676962,23.19144103515257,42.7520915094309,14.922752808988763,16.770517182709618,25.136624057718315,81.97062872140977,38.5037082153464,142.24839816681634,23.041440920657806,100,46.6376385014999,40.13093896569935,30.295208124493545,69.6648497394394,64.61964727499829,33.57056262880527,31.201498759387867,129.37643632589374,73.40855319418228,46.067675244787765,35.386480080118126,154.74972399773466,51.92511321989834,17.1215005934134,18.890252944677997,21.47257012782706,40.925688176980415,14.46316147694402,15.33755009130504,24.362465651312494,80.14455573306576,37.298468975298576,139.62031597353027,21.95590930842937,100,45.82508936412781,39.2075596271154,29.996266850781936,68.50817596020025,64.83315746961402,33.1215128742003,30.51101634091888,128.43544323729168,71.7213379775451,44.28895725193398,34.6033849302586,150.49730547435607,50.755570857469685,15.630860422675486,18.602894987519047,21.25945480728891,39.73362374795192,14.143094841930115,15.067196569280226,23.82332955620025,76.07651573813197,34.71322137275385,135.69916145277222,21.964024596412784,100,48.768382419777424,40.740340796100334,30.455969369996524,70.44083033532434,67.81191722805087,34.33592004341953,31.912845146001132,134.042988174129,75.94949085983049,47.11794768771627,35.1962207033705,158.19403900711663,54.82765054654844,15.974207927850523,18.60212175986073,25.69582850719353,45.1315784193872,14.482524344842707,16.62458508052802,28.06215714687974,81.59676091935843,36.349806081109335,138.45559282467235,21.614588145447655,100,49.607354033203016,40.17889446785659,32.372215867974724,71.60821653825613,67.81191722805087,35.33578229071868,31.912845146001132,135.04475086659573,76.75279175495979,47.190208363927084,37.051285861545026,160.8756860200017,54.82765054654844,17.511844585362084,19.457605094846766,23.43005920263881,44.027534426291396,15.221767912057,16.556123903968366,25.69582850719353,79.76194234619553,38.168660284478435,143.64404820065417,22.973161821169658,100,50.30753480842014,42.801549867086734,33.896088240448236,76.21098377427094,71.26800392112551,37.024451385233085,33.51997575887971,141.80589230438457,77.85675487153242,48.200058289766375,36.76673745426987,162.79859696855024,56.99772331700952,16.34107152455565,19.029338015339107,27.494116452698062,46.4674493008303,14.07458456546368,17.00638523637422,29.922977236908693,77.6937465694474,34.198633990205714,142.4943082925238,22.110988692138548,H
Read 10,100,46.86319037364802,44.3693129802514,34.50888837204447,77.99620352498847,66.76578077480691,36.64075820420577,29.258057082371927,132.50041436871123,74.00459866719117,40.51009533379927,30.868301944560464,145.32747482784598,57.48675110033235,16.489319815580544,17.440481306878294,28.546211411247118,41.406379490222264,13.473457289140395,15.26991826102578,22.31158240972644,78.26469383200204,21.928600764813986,123.17553572245626,27.37761727140604,100,47.49287654339975,45.682862187296074,37.2313310235758,82.00752412035244,72.28711199994325,38.4116779034315,30.655294191014193,141.17824071527542,80.99501257443644,42.74559329506894,31.46826500623151,155.14790504744076,62.706833881174454,17.664838782277563,19.20583895171575,33.12965535140058,48.14355880583694,14.245014245014245,16.14434947768281,28.235648143055087,85.30108859595676,22.653106252377135,128.43003732503644,27.736147894606326,100,49.84763652478911,47.73591842750548,37.60271587169127,84.58945927622996,73.79775201101607,38.94866776183954,30.9610826617475,143.52859033668102,81.72981159705614,43.171983253124495,31.8833112192493,156.69551507285163,64.32680850607026,17.291153248916117,20.504084333811573,33.910741472594836,48.62379380639392,15.731075644405069,17.291153248916117,27.26389872156511,83.5388896524714,22.879072399533015,130.61579503571983,29.359731181688023,100,48.00586166704704,44.76859714041247,36.07172397887795,79.85617863126173,69.40071589234006,37.50958896036755,30.08774704397253,136.7734425915467,76.86734240298004,40.73725673600581,30.705283832615297,148.27937950548463,60.97134243749954,16.956918299174045,18.83990213778971,30.579984033339827,45.93503328711013,14.605014133421298,15.702937372990947,26.25654979411028,82.96882162529326,21.54425233639498,123.94486537590869,26.850991785975676,100,48.865246909693155,45.41358475766652,36.77484600533234,81.44611415040949,69.41708809786768,38.405072307079934,29.946671830288366,137.61423036365534,77.57662263392106,41.46353694503881,29.648828714897665,148.65978483652307,62.54427269171627,17.850958756042655,19.65391038561363,30.905095732226915,46.17037613124839,15.07880800483288,16.574199114939727,26.133438270758287,79.96415229958455,20.18433244469996,124.23762761300218,26.725093047253164,100,46.90536628226095,43.74231341535248,35.24480900679899,78.02554060126711,68.85873487441329,36.6497121015288,29.398009882495177,134.70651233547204,76.00542697266172,39.80338821516236,30.00139014186762,145.77977619670813,59.57362393757852,17.523905991829967,18.408012684450487,29.878962738712726,44.65457356264614,14.270206047691243,15.44877506193474,26.359353549657463,82.50104607961329,19.814529241967644,122.90616236844905,25.559209852899453,H
