,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,49.00060022,40.10157371,36.67997944,68.56973208,31.54574132,34.09275984,19.95127861,22.74795757,27.78891551,44.61241522,1.784496609,22.74795757,23.80815428,43.51025779,22.35967842,50.48895653,47.5158874,29.26792052,30.72756003,107.1664132,43.12430912,17.52989778,27.7028371,166.6045256,100,50.41980679,41.90977317,37.3671491,71.76204536,29.45461728,31.23478919,19.19140225,22.34422876,28.17645285,43.50051177,2.860885335,22.08633125,23.06519496,45.34300191,24.27541704,53.75115542,46.92200824,28.40788551,31.15607897,106.1615918,46.13038991,18.89051057,33.36336953,168.903724,100,49.5263554,41.16712166,36.70499401,70.49040423,32.1886351,33.46368469,19.63114158,21.94828352,28.49260789,44.96303587,2.810189742,22.93362774,24.94587563,45.417396,22.65647402,49.01344728,47.32479674,28.10189742,30.60398558,105.7841423,46.92259571,19.1835334,30.91208716,164.6397094,100,49.72633563,40.39826017,37.6439972,69.53814881,29.78024914,31.54574132,18.92744479,21.4511041,28.60765691,42.9022082,2.523659306,21.48818469,26.0132847,42.30423877,22.35967842,45.44338954,47.5158874,28.2153688,30.33644235,105.9335867,44.75494726,18.19836606,26.0132847,160.3318316,100,47.65496066,40.72203087,36.05699226,69.01444375,29.13684869,31.1590851,18.51851852,21.56080148,28.15247963,43.64856674,3.703703704,21.56080148,23.97097264,43.75319789,23.42427896,50.61728395,46.48930959,27.6057775,29.68102538,103.6448981,44.51297871,18.80437804,33.24175807,162.9816675,100,49.77600796,40.76241751,37.33200597,71.01808399,31.8721963,33.85134522,18.66600299,21.15480338,28.21250385,44.60788534,3.733200597,20.06535029,23.14718173,44.86748725,22.43374363,49.91580667,47.10675269,27.82563436,30.73441771,105.3339012,47.62981386,19.47794405,33.96551534,163.0591671,I
Read 2,100,41.50379336,35.00615458,29.42354559,59.4581728,27.06953006,22.11563516,19.45324542,14.66620189,30.00922092,30.02408802,16.49905451,17.97477335,27.46233699,31.17619273,22.05501659,29.5899098,36.50388113,24.08606289,21.91292112,82.4736316,37.7538804,16.14360651,12.28153047,112.498635,100,42.45507671,34.99723706,29.98493387,59.51554401,26.38892758,24.47104486,17.88219547,15.73771182,28.01051082,31.0685721,14.02794825,18.44260858,26.77185827,32.23429729,20.59373713,29.72925473,35.29889095,22.40840866,23.18968192,80.88385247,37.59132738,13.18642574,12.35624228,111.8943229,100,42.23800184,34.97164461,30.08285532,59.85308204,25.79838197,23.01662696,18.18089231,15.58830104,27.47531541,30.03827709,14.94460142,18.92720642,25.36182961,32.15000256,21.92327695,32.59156834,35.42847791,23.79901382,22.86084428,82.07294271,38.79844187,15.2698435,14.17769376,115.9184827,100,44.33752264,36.54900452,32.14537841,62.01288956,26.67197196,23.75510058,18.96997492,15.92088618,29.25248884,34.75870155,11.62166584,18.27450226,27.55900506,33.71847291,22.45381847,32.65928027,37.95213938,23.40199108,24.35123382,85.7042201,38.95057561,14.64994346,15.2076448,118.2251345,100,45.93236577,38.87287605,34.08256552,65.97427404,28.96461111,24.60958357,19.65233452,15.17690934,32.08697128,36.00898964,10.73169551,15.97371417,28.96461111,35.92617851,22.28047008,32.63917767,38.33277015,24.1000132,26.07862162,88.49582826,42.05051384,16.06667546,17.74062756,122.7368792,100,45.87069113,38.17541112,32.89016761,63.51263977,29.33305416,25.45027408,19.30607177,15.32153078,31.09314834,35.63092154,10.94395056,16.64056382,29.77076415,34.31587342,21.88790111,30.39188468,38.62454905,24.64698182,24.64698182,87.90656329,40.73737676,15.78358995,14.11727203,119.604913,I
Read 3,100,45.72216744,38.88694423,37.41751925,67.36511417,28.66615747,29.87580196,19.77264739,20.64860926,27.29528125,41.51101054,3.435475677,18.38059753,23.45828728,35.30776595,20.64860926,34.54746181,45.73829803,29.20154325,26.96903111,101.7170612,42.30310887,18.97303456,21.52319342,148.8645564,100,45.72216744,38.94381038,36.43872222,66.35005604,29.40293559,30.43839205,18.97303456,20.10560592,27.9627461,43.08064582,3.840978574,16.20510636,24.594263,38.94381038,20.68430264,36.76119507,45.73829803,29.20154325,28.04177428,102.6698674,41.54653559,20.89718272,26.07908485,152.545372,100,46.50598741,38.86797036,36.43872222,67.36511417,28.66615747,30.43839205,19.921316,21.72785597,27.9627461,43.54050365,3.840978574,15.97588539,24.594263,40.24788419,21.89694689,39.03840321,44.54541679,29.20154325,28.17299527,101.7170612,43.25153362,21.89694689,27.29528125,153.6871477,100,47.4325864,40.10099361,36.43872222,67.95384784,27.69769039,30.43839205,18.97303456,21.72785597,27.9627461,41.51101054,2.715981996,17.39077015,24.594263,37.73162776,21.89694689,36.76119507,45.73829803,28.87128464,27.15981996,101.7170612,43.48964846,19.921316,24.44383797,151.8280092,100,44.7562272,38.46126286,35.88751585,65.66272447,27.49399749,29.19376535,19.10673284,20.83940333,26.17917644,39.81362416,3.29499898,17.62901439,23.5886029,33.86403041,19.83852093,31.79716697,43.86805774,29.12395154,25.73476472,98.47169366,42.40511352,19.10673284,21.48076528,141.9385591,100,45.27842714,38.96352447,36.30623878,65.93565459,27.81478779,30.57424106,19.32966348,22.14295136,24.52404484,41.38373569,2.357100766,19.00355391,22.76158859,37.87898334,21.24661918,37.87898334,44.17599249,28.33427291,27.20894845,99.40427995,42.19802897,19.32966348,24.77760288,149.4530145,I
Read 4,100,41.45683392,32.24675215,30.11232036,57.97245014,23.53792029,21.35114905,14.24708077,12.16861005,22.65549498,32.32405171,3.760585211,11.8920146,18.10418938,34.67088254,15.53209264,38.36143897,34.18764103,24.33722011,26.11787863,84.60702228,38.48052373,14.24708077,25.04474684,132.1125469,100,41.66801709,33.28573842,30.14375936,58.84142839,24.26094244,20.65080413,14.35443793,11.17949371,21.68796861,32.32035544,3.675794891,11.10369966,17.5564907,34.00110274,13.8148285,36.61984717,34.31015384,23.85729643,25.99179493,84.00216785,38.48629221,14.95940139,23.19321717,129.5196205,100,41.23331875,33.90895015,29.97156074,59.03712797,25.29349576,22.25213317,15.35407177,13.23922077,23.25358987,33.45360117,4.773468932,10.91734112,19.90291296,34.63770829,16.02438005,37.3054837,34.02505494,24.06845185,27.54903383,85.57494763,39.9925283,15.9421329,25.7059169,132.474927,100,40.74117525,33.50053001,30.90252708,60.33312059,24.76302783,20.32137663,15.35737792,11.47691043,22.8372046,32.53007481,3.401463467,12.3003819,18.72588042,34.90566038,16.14834223,38.22792375,34.17126467,24.25464176,26.8329484,85.1464092,37.57039198,14.02459316,26.22912976,133.1626414,100,40.14300159,32.67584631,31.38655842,60.06965906,23.93746016,21.71357,15.95830677,14.18890506,21.89114873,33.52065857,0.92755774,14.66597561,17.72096575,34.33216867,16.72178497,39.89576694,34.63158279,23.84743555,27.29605597,85.7025205,41.20069069,13.91336611,22.64457029,133.6616819,100,40.06910368,33.03679365,29.91831351,58.40135204,24.07949431,21.67979629,14.95915676,13.05893931,22.0790194,32.32405171,4.650692734,10.63654122,18.80292606,34.65888362,15.53209264,37.21671974,33.14991216,23.67886718,26.11787863,82.81829839,40.22451126,16.23904945,25.55440665,129.2350701,I
Read 5,100,45.75543832,33.05153551,33.05153551,55.76861524,31.76267028,31.62073615,20.18421246,28.90272936,28.34145788,41.37464594,1.133658315,27.67612655,23.37096489,45.57250027,22.67316631,64.45921767,43.13864095,27.30210765,31.92410802,102.3373901,31.27335727,19.30550546,35.16168783,166.6439163,100,44.296507,33.70556385,32.65082586,58.13303522,29.34467244,31.18239392,19.23381837,27.03943348,25.34552051,39.52525328,2.23588597,27.29246644,21.00424173,43.72857958,23.47680268,62.28457586,42.61401577,26.85391202,30.51390512,99.89807402,31.77791035,17.39111144,36.50045325,163.4989227,100,45.19072253,35.42934436,32.89736565,59.18581544,31.54497419,32.65926337,20.30622014,27.74982906,26.62549619,42.58246967,1.612926052,29.14446245,21.42825528,44.61133033,21.69970072,61.00401059,43.47426677,27.46714092,29.85002812,100.7788414,33.07481752,17.10766423,32.27867632,162.9374672,100,45.02840544,34.18989397,32.80010257,57.98293738,33.80957186,33.44426011,21.15200732,26.25289147,27.33867473,41.70370894,2.542720011,24.60007693,22.8844801,44.36299569,21.60564021,59.76203477,43.22624018,27.291335,31.03785323,101.364952,32.97702979,19.36477867,34.58473124,164.3785399,100,44.23594053,32.95330201,32.2346365,56.8765048,29.61257362,30.31415319,19.51391255,26.66708694,24.84827718,39.83512022,1.096010522,25.56313851,21.08218332,43.96354915,22.02953885,59.27583202,41.7060447,27.48780404,28.83153537,97.93821483,31.78430513,18.66438664,34.81451156,158.4673551,100,43.32301062,33.96506575,33.68231314,59.18376822,26.28649744,30.49710405,18.8111202,26.24097966,23.97956724,40.09866788,3.280122458,24.95672908,18.8111202,41.60572401,22.98687518,56.02942478,42.69762561,26.26374841,28.76218333,97.61082056,34.86818001,18.55517466,34.57552657,155.7127562,I
Read 6,100,44.73166969,35.83442272,32.29960782,63.07039377,25.03285153,22.63848301,18.13094311,18.19378885,22.71398678,37.16351951,4.405027378,17.26014361,19.61277751,37.77279814,16.58565673,44.43725287,37.63657041,24.66537688,29.16099159,91.43826265,43.48959922,15.18447693,26.70940171,138.8765609,100,45.53567743,37.80692992,32.35064658,65.28649547,26.67610673,25.7636317,17.30228107,17.19558562,23.54928182,38.89466076,1.107665042,17.86056214,20.4243342,39.33380794,18.56784959,43.32655564,39.0206357,25.57243328,28.99036847,93.57639238,45.21119103,15.74287816,26.63007373,141.4085296,100,45.0687221,36.10443451,32.29278794,62.70125244,25.22147366,23.18693135,17.52295005,17.35685199,24.40427136,36.78796015,6.458557589,13.00650804,20.90041748,38.05741556,16.00222685,41.41094524,37.92016136,23.90054178,29.2423632,91.05828195,42.46088896,17.91530353,27.77930657,136.5874229,100,46.37665356,36.82049211,33.22995126,65.01342752,25.95342161,24.7681433,18.16705745,17.51372209,24.39379214,37.85557707,2.47681433,16.12784645,21.16191092,39.33380794,19.34453832,42.22223871,39.0206357,25.57243328,28.04383895,92.60106251,45.61643837,15.74287816,28.19654865,139.0946821,100,46.76278646,39.32423166,33.39624738,67.35300104,27.09888825,26.03762084,19.93114722,19.12908037,26.22942911,39.30829479,1.119444755,18.22324034,19.06345726,40.85589968,19.8366116,47.06995643,39.43560943,24.85570728,29.44799382,93.72634362,46.10155666,15.83133955,29.29867307,144.8416169,100,46.49510586,39.00981248,33.8473085,67.11832642,27.76235425,26.83630422,19.10566411,18.61527442,25.32316324,37.57673363,0,15.89985682,21.21596133,40.36153658,20.74574313,45.74642959,39.2618979,25.63774876,29.21254067,94.07793063,47.80287229,17.34647346,29.14914991,142.7665402,I
Read 7,100,38.62852524,35.58255806,35.73349217,67.97394884,27.15392625,24.9862652,20.55451241,18.34055017,27.07949781,36.8640496,5.187490958,11.65743605,17.43799603,32.4995377,22.0697107,37.13678365,45.47568909,30.24801023,25.5454304,101.0828903,42.22311733,24.66105049,34.11539536,142.9339687,100,38.17780102,34.3906482,34.76629735,66.8149889,27.79435062,21.96947407,21.49763367,15.68803539,26.99578199,29.81185403,9.132658648,9.642435981,11.75149161,33.99074334,23.50298321,45.97662126,46.90404846,29.32632414,25.72497661,101.8984562,36.97705402,23.21028209,36.71730231,152.6037241,100,38.16808208,35.15842212,34.38395415,66.48552441,27.91013332,26.18603933,22.57617834,21.0401831,24.31312715,35.30755714,7.338824341,14.94373044,12.81414314,34.40305105,21.89681739,43.92840779,46.07392835,28.85886146,26.38593566,101.0937631,36.90829155,20.27714156,31.61745381,149.5778852,100,38.62852524,37.0642508,33.87793032,68.23079072,29.34488027,23.91315176,20.91144459,15.56247287,28.22300211,34.35121887,6.763660706,11.65743605,16.40428677,32.47883076,22.0697107,38.43647263,45.37201535,30.35901248,24.35912307,99.99889601,40.73088938,23.19916483,30.44752291,144.3623838,100,36.68500611,34.11736281,34.39377048,65.44883541,27.36133857,26.30269643,21.70023361,20.65705203,24.94786889,35.28161454,5.617977528,13.66912928,14.99063378,33.70786517,21.37786246,40.69836017,45.29358286,28.17963192,24.71910112,98.06871337,39.19722144,22.30273398,32.58426966,144.468343,100,38.137209,34.2019437,34.83219835,66.49636549,24.68050354,22.5760472,20.10007401,18.01259273,24.55425972,31.71248222,6.501228559,10.09631524,13.379418,32.33359349,21.21339903,40.15373644,43.71121816,27.96284135,24.52893299,96.11890763,40.41603068,23.65169298,35.48629828,140.0762518,I
Read 8,100,47.77321007,37.58031277,32.61879997,65.56342482,29.29578367,27.64396715,23.4127869,22.12181791,28.73868249,40.66070998,10.97755502,25.91533316,29.29578367,38.79258092,23.06497465,36.80985926,42.42938538,25.48647841,26.69743671,94.58799468,44.50857013,15.759486,18.02166171,133.7786106,100,47.80745423,37.38684286,32.43400204,63.34948574,27.513771,27.19506792,21.05140935,21.73066101,28.5758669,40.23220653,10.91536299,26.02101392,28.03689332,38.64807026,22.93430279,38.51626159,40.98360656,25.3420878,28.95470624,95.25712681,42.46363296,16.39521517,17.79752056,135.9593101,100,47.39167358,38.07995683,33.03529539,66.002112,28.02384828,26.81440107,23.06727345,22.40428188,29.10563436,39.76460341,13.99847054,27.26040922,28.02384828,38.07995683,23.45607511,38.82477176,41.76145206,25.89935311,27.0383248,94.66399767,44.48783531,16.69916576,15.96071209,136.3849633,100,49.46875883,39.51098706,35.14169229,68.89588424,28.48494239,27.49940528,23.42009721,23.07104494,31.92347538,41.25894201,14.24247119,27.49940528,29.07697378,39.51098706,24.33754545,40.28379185,44.60418191,26.8726409,29.32704314,100.7658611,47.40839252,17.32671402,17.74316978,143.050008,100,48.78114259,39.19641708,34.86190882,68.347364,28.84547507,27.2804665,23.23363618,22.78245467,31.66931401,40.93045556,14.40888949,27.01574413,29.95897786,37.93335276,24.04435434,38.01746229,42.98584949,27.83105718,29.17577753,99.96360546,47.6885183,18.40037884,15.63164018,140.6847616,100,47.04598468,38.36633663,34.2309819,68.10305194,28.24928765,27.92206478,22.75343603,23.54739801,31.55333857,42.53178286,11.4103273,25.24267086,28.78639443,39.68123649,23.64476878,39.13709975,43.33450842,27.25583607,28.4922387,99.07949287,47.75688461,18.85092353,17.72007557,140.4798379,I
Read 9,100,44.65057356,38.7603324,35.51418536,67.5317914,26.48979919,27.52156959,18.09807268,18.98740942,26.03509783,41.04059167,3.016345446,13.86370908,23.96523947,37.46223327,20.29038881,35.45008028,42.45713818,27.33498052,28.05363429,97.51943257,43.42385213,18.34771306,20.70650297,145.7865628,100,44.15109639,38.7603324,35.64204963,68.28542431,24.31855444,25.16886791,17.36037176,18.16080449,25.16886791,40.53871773,3.845101072,13.86370908,23.60663711,36.32160897,20.37429154,34.27569304,42.68421904,26.97901384,28.05363429,97.51943257,42.45713818,18.98740942,21.59374718,144.4149214,100,44.41745158,38.67365233,35.84329283,68.46179307,25.90937254,25.27360727,17.14842392,16.46723021,26.55261087,40.79680355,4.526408635,13.21944734,24.6703316,37.39024342,20.8873615,35.55633931,42.63143669,27.77277559,27.7944646,98.00115888,42.23379967,18.00551045,22.22906656,146.9966142,100,46.75993169,39.34312029,37.1919272,69.95961476,27.92048247,25.71111109,17.37363099,15.02526697,27.26503376,40.95850083,4.026749247,12.33567234,25.09739229,39.15244169,21.24893633,37.27567404,43.36941666,27.92048247,29.37892883,100.5447548,43.49864216,18.31719842,23.02381967,151.2372926,100,44.71914995,38.20805847,36.11892799,67.94125711,26.47842867,26.47842867,18.47005029,18.47005029,25.87171462,39.77683475,3.910576221,11.93058568,24.37332435,35.85743005,20.6358976,34.05708995,42.11819488,28.15781993,27.30949742,97.4208745,43.19372614,19.5528811,21.69197397,145.481845,100,42.58432739,38.40393891,34.37723713,66.85867106,25.71487348,27.15568563,17.51634064,18.96635354,24.87839256,38.65108872,3.708651795,11.36120245,23.11479639,37.15776974,19.65127872,35.10810155,40.58716243,26.99939261,27.05810829,94.40686201,40.52194117,19.4074905,22.65245376,141.1688004,I
Read 10,100,44.58042278,34.97453454,33.02738051,63.73257102,25.459369,24.18939835,18.28053969,17.43309904,26.21587317,39.06238547,1.588111805,18.82431737,21.45420907,38.19730792,16.99353841,42.98182866,39.70279513,26.99790069,28.63009272,95.14102001,43.33246801,15.1079439,21.57144606,149.822168,100,47.79474617,36.40461125,34.94060098,66.10045946,25.54357349,24.01063141,18.19298783,17.81628062,25.54357349,38.71597982,1.647115726,19.90217504,20.03802764,38.4523038,17.62490793,46.77634668,41.02938494,27.41346913,30.63812355,98.99836944,44.94242111,15.66925698,24.01063141,156.371931,100,46.02535197,37.45967127,33.92515244,65.92386397,27.21657455,25.4753307,18.0698678,16.17886895,27.11724365,39.30520227,1.161575096,18.03249471,21.41838647,38.34957375,16.42715254,42.6157192,39.91831868,28.73578087,30.55627004,99.11578107,42.85251887,14.8754193,21.35529831,153.1518153,100,44.00136092,34.87022425,34.20970972,63.84134304,26.01971019,22.8934238,18.07753536,15.1043537,25.92474743,37.23054884,2.483140453,15.46739398,20.41618691,37.75680178,17.90618045,42.86565034,39.2618979,27.47210855,28.31215721,94.95861555,40.96805496,15.70475916,25.32316324,148.4743579,100,45.10504403,34.35590153,32.97428006,62.38058309,25.75373602,24.10608068,17.89274631,16.33993048,24.87075951,37.19262325,1.554422469,17.06328281,19.44581888,37.37085074,16.63304677,42.42747651,37.77278584,27.19128792,28.02274958,92.90844343,41.47716479,15.54422469,22.6594066,146.3552936,100,43.55157783,34.51377988,33.86001715,63.18875512,26.60742677,23.67625767,17.16915734,14.66439224,26.4708608,36.84997717,1.554422469,15.30928586,20.9990912,37.37085074,17.72314299,42.75368287,38.86056173,26.12632298,29.32878449,94.19979715,41.47716479,16.33993048,24.4049278,147.7928012,I
