,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,42.64363071124389,38.88041675661432,33.44892360353121,71.5066935175684,46.38531121600366,27.63036872156567,26.470006918828545,100.44762186198795,27.18707201872871,7.1151819398928104,10.11257357730015,44.377293361239566,8.538218327871371,30.553887000782808,18.000144717245238,40.77440046157136,5.130830663707773,24.7501989862122,17.135627254906826,38.25030752414613,66.1979641915819,67.02637344890678,91.50135040297235,14.407145364536479,100,42.300681551326825,37.56177321162144,33.25402531912986,70.40717194813492,45.00851619455618,26.810252329127085,25.554095544429604,97.28505141246747,27.355840121308137,7.108094014138369,9.76371802382347,44.0342600420999,6.251829952580403,29.950911248150685,17.465869771527355,41.37789513848289,2.7615964896955574,24.467807237144434,16.013688212123338,37.6758082045982,62.98922521495532,63.674115351221886,90.35528452457936,14.51481033715925,100,43.18206684179486,38.88685749857746,33.49447392253288,71.83195392475433,47.58355320303171,27.756050172335957,26.455579355710903,101.7113706534828,28.302840392196504,8.335400031573153,12.129788739512787,48.5612540158266,6.472378689409529,31.007503588755622,16.731977516675276,41.55423994965019,1.4295093120116193,24.86277949307357,15.789446428599321,39.00491535747445,65.85059122572457,64.8972037573012,95.55283370541977,13.140604467805517,100,42.347361941502434,38.97621580360329,32.84702919464888,71.39945719813285,46.8843520633841,28.19481097011874,26.076420376617577,101.0907913083423,27.826464804952817,8.976392880786497,10.949009731549625,47.74621165262608,7.991928775077865,30.408131741034833,18.224401576972877,40.75100077536572,3.574099202482146,24.38218452864561,16.88083501777003,37.406745170724044,64.57770608605207,63.04551394194229,94.06688982936049,13.806887665725734,100,42.189387955036516,39.282069998902664,33.97918997685617,72.73431342004113,45.685590465241475,27.17241227268528,26.05525600458417,98.85269556839351,28.887243660621024,6.055512723044519,9.955201592832255,44.84263068016011,7.039390554370807,30.228424988927777,16.923842707814835,40.62161426202721,4.9776007964161275,24.486558240415818,16.20589407277223,35.68630827065191,62.65453052288527,64.92287600071823,91.25179108436822,13.540538087342403,100,43.37057738739863,39.05661738410424,33.64069345336222,72.14553504341063,47.79127835914647,27.87721871623549,26.706490229372395,102.34187391474346,29.441624365482227,8.185033247003602,13.197969543147206,50.77157258903548,8.733325144205711,32.104341727597756,19.07441038381313,42.699981410788,6.500633743586648,25.883347784734944,16.650984230311398,35.89374523789581,66.45676283879446,64.86348363436868,98.99908786227488,15.530008670840969,K
Read 2,100,41.73476219076915,39.146239164880235,29.883902585294805,68.99713122684966,41.85946793342459,26.246859614742707,24.233386149687767,92.02345081329096,22.369279522788705,35.41802591108212,7.456426507596236,20.505172895889647,14.25767409896389,35.282865562023865,8.440101722562606,29.429869333296573,13.181224367351058,23.057725560356012,4.752558032987963,16.304274102466124,62.39190221336401,118.20920248872544,23.72620386123191,19.925024071611478,100,43.16923820045673,39.69003597090223,31.2333967970081,70.86128140802711,43.17957442428508,26.60392600912371,26.452527161076993,95.98228063968837,24.581222165815188,35.91228683750252,5.746587180253395,17.031418400869104,15.580937649948645,37.61176993366912,8.554922190021177,30.598270648467917,12.281530467642888,23.371406474922967,6.877760877922076,18.609084179114035,64.3875643321256,118.91634560271751,26.85436070581369,20.196087223837456,100,43.44808284390592,40.089128842588444,30.7718781232532,70.83605182216424,42.77302229689167,26.246859614742707,24.233386149687767,92.9486632785609,22.369279522788705,36.36202666256158,6.5243731941467065,20.5263449953819,15.172728675645176,36.39784544648455,7.456426507596236,28.51534819792778,11.338917942582198,23.057725560356012,4.752558032987963,17.928403450155045,60.173408114713304,119.09876294128654,23.07655588244934,19.771836551026592,100,42.58983934680162,39.15733346556064,30.81419564696904,69.91021192133164,41.85946793342459,25.440104509192253,25.165439463137293,92.14137824052767,21.457478671304575,36.35007922453165,5.669458971291099,20.505172895889647,14.941951292647403,37.10696101667329,6.590612183675529,28.51534819792778,13.34497256340419,23.301332836238238,3.842954260059336,15.512458735290558,61.71994829394466,119.37925713597153,23.07655588244934,19.925024071611478,100,42.965534799575394,40.121620374743,30.884596002946953,70.8421834864754,43.51800738159662,25.234386001828472,26.097492776586826,94.59767189648619,23.301332836238238,36.35007922453165,5.592319880697176,18.64106626899059,15.371817040237344,38.020464263903705,7.514454048185804,30.187593887038208,12.152488405634541,23.96301637092449,4.752558032987963,17.5116918893242,63.08424367235611,118.82491776017078,25.078989741958637,19.925024071611478,100,40.9672702236745,38.43723977602929,29.291510692739475,67.7035681610247,41.816632688111405,25.682834121899727,23.787740164684358,91.03729988366514,21.957913998170177,34.76669716376944,7.319304666056726,20.128087831655996,13.995478994307739,35.52879750951071,9.194762690869982,30.687117715001687,13.84514725564644,22.633699683171056,6.469412453673812,16.79557159257623,62.13330959322835,116.37751960591287,24.617793315779892,19.750259052994423,K
Read 3,100,42.33748378568109,36.61156874725279,29.271691584677953,65.580094817467,45.73726604549989,26.07981978738862,25.9043035579743,97.70492482433632,25.51716890003989,4.553734061930784,9.28783153659888,38.63971481893702,11.839708561020036,26.521347501932667,15.266898555774326,30.04084244530171,11.265315916988142,20.788182532811156,15.66908063213593,25.888288531059914,63.07866874653112,67.3275394472722,76.87048395631763,10.182458913933468,100,40.53871296683533,35.70619747219438,29.49624626273971,64.98130674737405,45.572105167065004,26.195369360089305,24.296500024846324,96.02126800898559,24.98783843264768,3.776607341213535,8.44475073927821,36.31133710943767,11.153608764591125,25.066989211908002,14.07458456546368,28.289564860371563,11.87614746673165,19.542904041392337,14.599625660367392,23.29758292380702,61.99211446138562,66.08763109585398,72.99812830183696,9.832082087579902,100,41.86925636383451,36.04357044021818,30.46435878602719,66.20110702360832,47.06785229813442,27.055141986875352,25.093948816688755,99.17283486374404,26.725093047253164,3.314839822987946,5.814613698939743,35.368914336069395,13.163391618347294,26.534650528016567,15.710221100151749,29.218072229605045,11.37199308343567,20.985036702240187,15.8174593491636,26.133438270758287,64.55268798948958,71.98153583180428,73.14058326082119,10.278881941251216,100,40.84055455565057,35.78378358953495,28.540536837958697,64.11587361712341,44.703149472991704,25.318608960882845,24.182086001791216,94.1083601669155,25.066989211908002,2.5177382274756908,6.294345568689225,33.36596904751881,11.572013530354285,25.691418354391693,14.921714985081193,29.15851763247143,10.829201585006622,19.904468377245774,14.599625660367392,24.620467662345263,61.388426738709875,68.4898844994529,70.81628308064379,9.832082087579902,100,41.32059401350414,36.95826283394645,29.47728149651815,66.22025597267299,47.06785229813442,27.2264280499418,24.062245708012135,98.26955192806815,26.725093047253164,2.055776388250243,4.9509651623926665,32.64738605233925,13.38624600400941,26.326783236694588,16.574199114939727,29.434238473075517,12.26594103532806,20.985036702240187,15.301385471263433,24.840040610657887,65.43055382424596,73.60713027948182,70.47446132844276,11.070694657343289,100,41.21106529041395,36.10841865129217,29.763839981641777,65.57697744882415,45.31392528744971,26.600364492878562,24.516920980788978,96.3621732301458,26.110557538396904,1.2702897353571323,4.837119201593914,31.75724338392831,13.353156154961384,24.843827694133356,16.19308037125658,27.670747868048803,12.860703371307245,20.08504426030531,14.949534696032732,23.005925581362973,63.34276551608367,72.76221378273112,67.98720729422891,11.814377470552328,K
Read 4,100,41.914983105507865,38.80738286796024,28.45867747917256,67.22968616026412,41.34468465279991,25.256344655232056,22.89330169890738,89.31974211709289,19.305327074653228,30.288689067676287,8.72649735664258,19.966893620188348,9.881974925613394,31.747297361568236,8.72649735664258,31.004901758938374,10.792005916697944,20.952147298796643,5.757465717272332,21.01618865231852,60.82091368260233,113.01720779642574,24.094504612130343,16.5302879286067,100,42.39653389274204,38.30780090711835,27.780982534316728,66.06031594064147,40.89997005896377,25.348400756100965,23.05714615374303,89.00177881621524,19.527121162633932,31.60856681516358,9.082654840119808,21.062709430349454,9.429255913639164,33.05443083127251,7.89488870391127,32.50919453585381,10.831697940626867,21.192861293612886,6.05510322674654,22.040908440825923,62.08326601004682,116.09782137790216,23.05714615374303,17.470835414930267,100,42.91404948792023,37.03703703703703,28.49002849002849,65.52706552706552,40.313362349080954,25.340292619423238,22.871024841011007,88.28334090554301,19.57789945687398,32.28869895536562,8.113963670766886,20.97884333748767,10.228233251917386,32.96591634892646,7.232453091988517,30.40419865827563,11.435512420505503,21.021788814034807,5.114116625958693,20.323774510002558,62.47629327026979,114.81948843542293,22.83155798703002,17.329807778627405,100,42.691066708342,37.789324515824276,27.3972602739726,65.18658478979687,41.26656526753246,24.086062888959773,22.850045578550443,88.02256416734836,17.64907103662674,31.176192725555026,7.194873033409455,20.86983659364622,8.449949844118242,30.75828171204479,6.877760877922076,30.246217465436224,10.771614786009804,20.01853575854236,4.224974922059121,20.805588611757425,61.262136369857245,113.34041548220249,22.055016589378837,17.420017869235497,100,41.61170799752778,37.58691975192633,28.190189813944748,65.77710956587109,40.14284789192601,24.879162365859287,22.630322455914857,87.3542172275294,18.461645089633997,31.948881789137385,8.0285695783852,21.694035671143013,9.254705696106093,32.442541818515444,6.840922654839803,30.994968055761408,10.713920551579946,21.694035671143013,4.2023453815068414,22.17707897238479,60.934008031849196,113.2802978347565,22.59127096442644,17.147423032225767,100,43.50066818519447,38.51799966065182,28.8955160181048,67.41294339627107,41.794942907378534,24.54283554867532,23.18366303194512,89.29836275611713,20.780740416752888,31.767423950712356,9.132492280039601,20.307107344752588,9.480995188482964,33.4165478585094,8.61019629379973,32.47425451180785,10.975889729487273,21.02457611459526,5.613161238780613,21.632850456530836,60.616332273512384,113.91032624443622,25.194940947829036,17.750374388318995,K
Read 5,100,40.36082648135287,35.09210464559196,27.369564032917275,62.33356251301251,49.78193389504703,28.753462703857444,26.45825379761909,104.88730082280395,22.171160735403667,28.377818131051757,15.297963961202543,24.967830641383884,17.884963620050684,31.743466373044043,16.300561561460878,32.365164968827585,15.98401567007875,24.61745989059022,16.580286561723337,24.967830641383884,92.17664617917401,140.60483637528108,20.469527629717536,11.526237617257763,100,36.522986312410836,33.114668140479694,26.05616287589895,59.140955340372116,45.36441047529433,28.078421577411177,25.231050139969124,98.5724068726332,18.91720978641475,27.009644811679877,16.750670627827525,28.209171628338275,15.165344620028671,28.225472797932397,15.963281198056052,32.62488270035478,12.20786693013414,22.14348049226011,14.98225527701257,25.17629915289984,89.59112647357281,136.07633110276768,17.841046650429956,11.863914134714157,100,36.50044912033331,32.97903567002248,26.413639820327102,59.17585668363108,46.238082277389644,27.80616414767405,25.586572154271973,99.5102135504784,19.795147845651176,29.393482018521674,14.954598241058125,29.06651431678269,15.76353064483048,29.90919648211625,16.034039951956913,34.272261497620704,14.533257158391345,23.237587885433012,15.270798075875755,24.731861649571844,92.22779481920622,139.0583148446831,16.27071754530574,11.893171434740871,100,38.12689412454786,32.97903567002248,26.68363293372995,59.634372861472286,46.976297885361085,27.80616414767405,24.6156580545785,99.33237498000226,19.795147845651176,29.393482018521674,14.954598241058125,29.06651431678269,16.27071754530574,30.868419989924615,14.66419004790302,33.25320432436201,13.152433323955139,22.88532585926215,14.533257158391345,24.731861649571844,90.77069149626402,137.78790790039312,16.819484342638823,12.09240089632709,100,39.03111697659034,33.935976063563956,26.844325384193922,60.77732346219397,47.18943547227362,27.65106192928136,25.586572154271973,100.2946745951862,20.13027694004693,28.418109011142118,15.91438126512827,27.823344355768324,15.91438126512827,29.732928586852186,17.101237349238342,33.29628774254845,13.29696989806965,22.569941109815616,15.270798075875755,24.145251804142084,89.86595127016442,137.43022859161402,18.445558963841243,11.893171434740871,100,38.83748011221231,34.72094999528161,26.426221220245374,61.09073333894,46.74324426744732,28.477200716545614,24.62838307621043,99.79710373873147,21.751634022371498,27.393244825542258,15.835428595427729,25.291828793774318,17.884023648687,30.715278995811172,16.53696498054475,32.115902761126804,14.029382394801514,22.45796961209182,16.73604137556931,24.933863069992793,86.88681974071052,134.39623376786412,20.03040883460506,11.091200633260096,K
Read 6,100,41.986457241920135,38.38638741275721,29.34508067629543,67.69092094658046,40.86049802412752,25.70504960211771,25.24735633309688,91.53213570442476,25.161684703867813,26.08860380598178,6.5055762081784385,7.434944237918215,13.04430190299089,32.85812180234886,11.191073028617373,31.01918079605694,13.143248720939544,22.783737308794166,8.816759275562395,19.95437783790324,59.74759539199044,104.83749231113826,33.79118766300714,18.259184669506038,100,42.483945826881765,38.7386306639947,29.692784284083018,68.35727607818788,42.24389212942674,26.009623257361913,25.546506878326355,93.53353504503634,26.34742472469795,24.467955296704318,5.642279480910287,3.761519653940191,14.230530327648632,33.24745068584482,11.32367366822672,30.326340975356587,14.230530327648632,22.133914417791644,9.817854531606685,19.363607562510815,60.081372371500045,103.51015915604299,37.09438202617269,18.47553385780374,100,42.96755055547822,37.35109135867889,29.908827667747065,67.25960932544147,41.483197793362635,25.541262694504255,24.168902628686673,90.94891312028908,25.001359997563736,24.009603841536617,5.540677809585373,4.972910524641706,12.96118648778114,31.613709056466323,11.23420912420024,29.908827667747065,12.320310337174561,21.73534453031641,7.889928659449192,19.480121072794336,58.23571899686974,100.8883574383427,35.63354212129419,18.14284117128867,100,42.26162497717806,37.893351244152996,30.05199881497101,67.87130913094195,40.33568428803782,26.27123130876395,24.923078361846105,91.25097354760705,24.838507102166762,23.870847396803097,4.587155963302752,3.7826657115758358,12.0669233375834,33.34455384474541,9.355999107509698,30.62076929959383,11.347997134727507,21.593765680623523,7.838535546162873,20.141741651468028,58.34891235287284,99.76826950674419,36.98283370779151,18.024663031549085,100,42.26162497717806,37.893351244152996,29.71400869853513,67.59793401757302,41.780908391690645,25.374893001723546,24.923078361846105,91.67428610448297,26.747485756171102,24.838507102166762,8.307692787282035,6.422018348623854,13.792015026030194,32.31911000698814,11.047334475956236,29.586266966233207,13.35799979684499,21.41764684390597,8.458297667241181,18.89106447887523,58.32005532224888,103.42180309021617,33.84562705632425,18.024663031549085,100,42.20217467753953,38.70779888855798,29.495849423347867,68.1860349029226,41.35627019370136,26.055722897676514,24.44886002485269,91.5317073162742,27.154492020081516,23.37224848799029,6.605387960640332,2.8024287716020555,13.111320735747968,33.026939803201664,11.248570367858287,31.178550711403336,11.81607719820039,21.987113117122504,9.526425994568491,22.145295826491726,58.791663624697094,101.09912573757825,37.201882768313645,17.968597909081126,K
Read 7,100,41.021114131331686,37.291010143495036,29.713968349345425,66.83757989763659,44.141963209711314,25.544498984631208,24.64273894631009,94.29163818187925,18.23272064789711,2.8685392418073103,9.116360323948555,24.559118959870975,0.9071117561683598,31.054504297212787,11.220352754765038,42.35347434662101,4.535558780841799,23.126902728559436,8.934014696839716,35.574512973743786,71.52390688614462,73.04925408304877,71.73069021578088,16.353189747206045,100,42.78336529723597,38.19885670153218,30.437352451513103,68.46473525288476,47.05069281238492,27.090465967502787,25.242664388043348,99.35005690112365,21.452139714951116,0.9291953168556031,7.491412143001811,28.864940656028743,6.570403095953798,31.932429432149384,16.040398161709785,41.73111238224423,5.949753054667208,23.88953750637882,11.493511314674764,32.09425021217346,73.02316559891656,74.00969244281686,76.19401598215946,17.873428788023922,100,43.029593210616056,38.30780090711835,31.361109342573865,69.35670761617936,47.69715158288618,27.912646696243662,25.920510044386575,101.4162007208721,24.106612373411533,4.881780290658483,9.621709546310093,38.593861887499045,9.763560581316966,29.9253223706803,17.33917690404484,38.11590088538897,12.11020645349308,22.757040352330712,14.862780944241289,28.271561628019917,73.84371545533237,68.16362857377717,84.06023088272224,17.470835414930267,100,43.84820498389118,40.04756244248544,31.76355238263357,71.6459003619011,48.79024292702434,28.359886543899773,26.413631942791962,103.3455821004399,25.534150884492487,7.8656173154132185,11.868804937167255,45.258199042900294,10.907648670730682,30.63476774264894,19.60951340706515,40.0,13.269727325595554,22.838438850184634,16.354199623648984,29.49505650308483,72.17534336851386,64.257068488098,91.33812556993595,17.28784892357985,100,42.460472469049094,36.85670137577923,31.6873119154434,68.34149973134369,46.13742256806719,27.462336993384284,25.57767854639751,99.01686417371859,21.91292112374719,8.710008934617749,13.360543810799197,43.958016529548765,6.877760877922076,28.73293590126698,16.499054507862994,39.192193694268376,9.304542089557017,22.115635164326168,14.044467404174307,30.142760762482407,72.44938902234423,60.115024166019964,88.9455062517889,17.420017869235497,100,42.97237757409224,38.83760943050442,30.94631904423089,69.60958722640962,45.97269744202716,27.462336993384284,25.525283110262247,98.8002955429576,21.81085759209295,2.8341993386868207,9.49445027975521,34.12827939194793,5.975016835462219,30.46672743806726,16.171226044991677,41.32060033751353,8.912594361886256,23.371406474922967,11.685703237461484,29.574824454413847,72.44938902234423,69.3011806711131,81.36231126989178,17.64907103662674,K
Read 8,100,40.91724285201163,32.65144022037221,27.61952408849957,60.22426869073336,42.96481569819619,26.981901047019026,23.28824398781551,92.90348087966147,28.1467147506377,5.632090981997403,5.632090981997403,36.92161467466858,13.397437076020596,27.77316105875089,19.529952776123242,34.40514946892065,13.310533864386977,20.702968239844875,14.506484741376235,21.9896208989357,65.30288044074442,77.86685908225465,77.02773052663004,16.432000784826638,100,41.2486934030769,34.79168478733583,27.187091603179592,61.853167600455876,42.9645613124414,26.41076185211617,23.883674380701024,92.9823641986102,29.585720364782034,2.7505241890653043,3.5862447817845187,28.68995825427615,12.45352793187471,29.030737180618665,16.617355113979997,33.234710227959994,13.046881795250936,20.472475073392747,13.16234317684749,20.911220805725513,63.99329643182191,81.85755922192375,67.78242609243809,15.872216744276475,100,38.65286045807762,32.16559043375695,27.29067139817968,59.40480649071592,41.77371123109619,26.513157562969695,23.73298222600861,91.57139196377308,27.657735522904062,5.534247396225453,5.039716417325239,36.80150191191663,11.755808564162008,28.139707166983072,19.09310461052249,35.60471896982883,12.100259291270529,20.343305610959067,14.254470615791393,22.965134408965294,67.26041990784346,74.72108814710799,79.33258319224642,15.581466186101943,100,39.84245660022856,32.854931389365966,27.01555679876886,59.793364067166735,42.693479810642934,26.513157562969695,23.73298222600861,92.65809015664117,28.5351322717704,4.32152117545376,4.889243085127382,36.10475120865242,12.848806177457655,28.139707166983072,18.33466156922768,33.88469452707461,12.993341727202168,20.343305610959067,14.254470615791393,21.865359793731233,65.82344948888426,76.45551431700144,76.65067867872433,15.936982640091424,100,40.64908545827685,33.308491004099814,27.438515323501537,60.69750082772546,41.87961190605298,27.63262548207252,23.135620927776518,92.29462374352248,28.849307967876925,4.369101712687871,5.595180214464215,37.36029067883947,12.990273284968984,28.449529178783123,19.401960250938934,35.12714303083149,13.136400190818685,20.56728817885323,15.260616215110955,22.93674370570899,65.27970183718894,76.12274265911284,78.3617606481837,16.324311160668824,100,39.84245660022856,33.75215936001147,26.158592827003552,59.86203827458183,42.218408787622515,26.513157562969695,22.883668616894944,91.2895137528843,27.67123698112726,4.6544207494680245,5.534247396225453,36.80150191191663,12.584459618462434,28.139707166983072,19.09310461052249,34.74460024588035,12.96456352636128,20.343305610959067,14.069853583491536,21.865359793731233,64.3311808675139,74.07344463635549,78.47577848101066,16.146535602652904,K
Read 9,100,37.37371836533298,36.20929219978611,30.246217465436224,66.37380470571675,44.68298002979864,26.87097336481415,21.91292112374719,93.3805482713392,25.941483642410923,18.049100778972885,12.426024032088714,6.680271905399598,14.757202977622397,26.87097336481415,17.74992369206985,31.304754890469326,14.787412227206923,21.81085759209295,17.573051712553873,24.086062888959773,70.9996947682794,107.81967133219959,36.491654068640464,11.950033670924437,100,37.75254438029953,36.08329767807338,30.80477474008471,66.67344848256755,46.69592928623375,26.27520998066265,24.37233134611506,97.22757027339237,25.686684759580924,21.374281200591568,13.613915694773729,11.750631127968523,15.22082046673267,29.023514500734183,18.08653660767803,32.78665068526454,15.522252114552463,22.224482827522518,18.163228979700815,24.67463538308875,74.49810324969525,118.07276169782028,32.35990819016482,11.907313127505759,100,37.17353964452637,36.149941856176184,29.14501488304985,65.17023448374253,44.44365190898503,25.64808130794246,22.727657625348286,92.70434870176203,26.209971210263777,19.00371022003071,13.454069783195221,9.302288044175594,14.678161390540602,26.46143176156498,17.654852685637977,31.02344299796876,14.85753458075728,21.694035671143013,16.940195806540075,23.77205532921165,71.47076440445939,110.19844516152546,34.5513555926522,11.886027664605825,100,38.14071344353884,36.53444266224376,29.455009343344393,65.8634031696095,45.84052568337006,26.076980470552666,23.106410371503205,94.9857530867995,26.076980470552666,19.20583895171575,13.43032822766472,8.755502808445287,15.805619161532038,27.801103833436745,18.706282624494023,31.46826500623151,15.312930196198574,22.2311489282424,17.120376426704603,23.817542647643783,71.78004741005472,111.76260489971337,35.45708395554505,11.746739674124386,100,37.94253307137119,36.503881126805204,29.301960168674203,65.6232592794039,46.32083390507799,25.786195680597412,22.98634872101358,95.0619357463302,26.13002680385324,20.97647927366511,13.360543810799197,10.771614786009804,16.088225192183657,28.73293590126698,16.899899688236484,31.2333967970081,15.23336371903363,22.71292447835863,16.253803055347426,23.333186651352797,73.11160099743356,114.62848283494883,32.287213019622214,12.84975957367543,100,37.37371836533298,36.503881126805204,29.301960168674203,65.6232592794039,46.52271044778509,25.786195680597412,22.850045578550443,95.0619357463302,27.97750192718157,20.040815716198793,13.360543810799197,8.710008934617749,17.031418400869104,28.592812376800293,18.609084179114035,31.2333967970081,15.23336371903363,21.81085759209295,16.526080004285213,23.00575467526863,73.11160099743356,111.18188281473613,36.159960716116466,12.604311822509525,K
Read 10,100,44.964435774160314,39.070065498498714,31.39004298843131,70.44023338116031,44.39222451771404,28.78795681903468,24.96312647837305,97.87535286325338,17.301119428465487,37.51219288964031,4.6156837186495805,24.85621752253544,9.34604720625185,37.3841888250074,7.860226138779965,35.1519999296654,9.736795471211273,24.09457638544484,4.6156837186495805,20.89839687410113,70.88494099986697,129.42446283398135,23.535461349966724,20.32997791680484,100,42.16221643772441,38.4052430061453,31.87863255091848,70.25391167483744,43.56962644221077,27.461319771211134,24.667795252315805,95.4835070975873,18.072458079214023,38.07884692013151,5.0994390617032135,24.667795252315805,10.400855713600784,37.859686268782426,8.2225984174386,34.69118072757766,10.198878123406427,23.656121376324737,5.492263954242228,21.611035288543697,72.89166092893682,127.37169788780407,23.89673536738395,18.750409292045116,100,42.46100658641055,36.6545848615163,31.067487542168337,67.65345820591048,42.46100658641055,27.72353778149558,24.040128461281828,94.02034462089627,17.612608236427143,36.125199970949694,4.445021324917582,22.946817176454022,8.013376153760609,35.90575860886282,8.890042649835165,35.781731438226814,8.433834980855352,23.054196411377003,5.35251446887437,22.946817176454022,70.73731576844482,122.81860168686265,26.08966255522649,17.78008529967033,100,42.46100658641055,37.10993877863924,30.87610489416373,67.94488086954617,42.75084617355444,27.72353778149558,24.040128461281828,94.25646495299293,16.984402634564216,37.256067615527904,4.969684921975946,25.026693791897767,10.136208157425274,36.82935555839162,6.667531987376373,32.81497668068617,9.939369843951892,24.040128461281828,4.445021324917582,21.06114710308825,72.72060321574533,125.4449281614139,22.06898251781584,18.273309125186596,100,42.46100658641055,37.256067615527904,30.955991456907736,68.17712211367663,42.46100658641055,27.72353778149558,24.040128461281828,94.02034462089627,16.66141995252978,38.09515534586382,4.969684921975946,26.013820352454825,9.000482196737318,36.896354623338794,7.569598554680359,34.801990657015395,9.376782757237454,24.183530584626652,5.35251446887437,22.001733049576238,71.67381523633811,125.9479359685093,22.6652504740908,18.273309125186596,100,43.595793498138306,38.81662527189953,31.46085591859239,70.23917716994005,44.23805887754011,28.011579270689342,25.500665003066985,97.54626731236377,16.702878775036094,38.81662527189953,3.651560943350201,25.500665003066985,9.114847073121327,37.59512091000725,7.712956355948863,35.446627506582935,9.337193090229782,24.495415479942924,5.453883742287323,23.381398380828834,72.42478905724579,128.85963256494878,23.902012803739,18.619380505215954,K
