,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,45.69463863518345,33.83784863137726,33.734255586866,67.446274915669,47.29693436154187,30.149626863362673,26.305892875931814,103.5760590097924,31.622776601683793,34.52535300326414,23.345235059857504,29.546573405388315,28.178005607210743,31.0,21.02379604162864,25.317977802344327,23.706539182259394,22.02271554554524,17.0,16.1245154965971,173.5655495770978,139.61733416735902,17.029386365926403,18.439088914585774,100,44.78129899735467,35.39618080641169,31.898424192878114,66.54127708427207,47.629252510023036,28.181134324806404,26.4334428528032,102.13612857428032,30.44164093346534,33.9120426526926,23.422266192908044,29.529960820519765,26.27520998066265,29.904167437445256,20.668955095864355,25.04738511986463,22.8210812305154,21.525490734499325,16.365036580670004,15.432440837390644,167.95401222614083,137.03472968251248,14.471790891772146,17.750374388318995,100,45.2248820626552,35.37281737922093,32.744666473616476,67.81426335243972,47.58925865058336,29.578756856041075,26.93913512753062,103.90034176296459,32.27093927871779,34.68590116680798,23.870352321390047,29.886287082758397,26.777875137753718,31.409419392881624,21.06436824642783,26.561338900580566,22.3932349858007,21.783187786887588,16.678112430099088,16.678112430099088,171.16710281616312,140.46719379256697,14.715981555969782,17.384523836622535,100,44.58013525383751,35.51273116722204,32.56257418200709,67.6836958866437,47.09275467764749,29.414270110597727,25.664285732616396,102.0107190131275,29.00696340940196,34.493013716416954,22.775839082787805,31.17374694374723,26.26909662016831,31.234752377721207,20.947229808374523,27.473420176251164,21.92410249194559,21.66205201090197,16.585365853658534,17.58805500226336,169.750490515754,138.48504709493935,15.640214187201364,18.51089362049783,100,46.255158992196506,35.85116113616375,33.350919421792625,68.98258753486108,49.93488924923821,29.1086430711036,27.139990183864334,106.10042892786524,28.6291738070756,36.139568152304356,22.23394628119508,32.707336588244054,25.92901423964462,32.828028277257985,20.474555316668987,28.989519214702693,22.34483946926939,23.06336582428796,16.90364919956249,18.918462355016846,172.58183312826668,142.9661763904356,16.932869012554836,18.866129025564558,100,47.21983944939903,36.28614212272282,35.512742125533904,71.43027656829784,51.12872533575687,31.155964517270505,28.205733313953044,110.26681964736392,29.75339474814088,36.69583735571913,22.944717692647014,33.78688172836998,25.52255665026034,33.0680996176501,20.796333365193867,30.25169198781532,22.35538664129785,22.82806865182858,17.10545143871742,19.87742488547209,181.23048190548045,149.41160977107353,16.56631140010478,20.9243120092142,L
Read 2,100,38.70645426986302,34.49298072767616,27.00773790011117,61.23391564452408,42.364086531109784,26.854814594122644,23.916578972543764,93.0376440555952,31.68563122869835,31.584375814061378,23.138594896102216,29.948293968235966,29.948293968235966,26.939879154938723,19.975713209433753,19.722116261444853,22.251417487062103,17.87194268848121,15.425729930734812,10.907638238774878,145.2144089654355,126.66306930193123,14.476940543787961,11.83326975686691,100,39.271694289443,34.443554408330044,26.611364687015897,60.689263180239166,41.25491570823306,27.851317801133458,23.901406196401993,92.97796887422217,31.18996506938194,31.582489978633056,23.105438713121558,29.90537990542325,29.490540772703724,26.81633329693962,18.7685161486325,19.034064620912567,22.219532574728714,16.92782302891608,14.952689952711625,9.742108356119191,145.32065517465966,126.83821598243516,15.551032285154477,11.621632652461251,100,39.47303087637835,35.17611000452672,27.5426228555963,62.446645876313205,42.13233733012523,28.443667779733172,24.409748298920594,94.81501448631674,32.31316129108135,33.18507580818527,23.596851946239656,31.417057928009008,30.133551632157072,27.473420176251164,19.16769044330585,20.672800097967894,22.692104096805867,17.989355038620268,14.40470542461795,9.804756703532576,149.43399060815423,130.63338129796566,16.09016829509331,11.868804937167255,100,38.65099030214732,34.443554408330044,26.96903747323864,61.14617121056652,42.20619418107474,26.901275965473292,23.901406196401993,92.84045648497771,30.344631590119583,32.493984240915076,22.157840093128012,30.359664849198897,29.05408163115313,26.901275965473292,18.7685161486325,19.947089241326996,22.707039212848134,18.7685161486325,14.952689952711625,10.89200826422562,145.8190439670782,126.67983013613686,16.490902275154824,11.816313409297843,100,40.04832886720792,36.25483500424431,27.50237547684969,63.613551747937684,42.17215941921746,28.40210372550073,24.35460301997077,94.8166953897085,32.675128750605786,33.179515569267224,23.562370428539353,30.49678683389874,30.073743868354857,27.34665143228095,19.139681153812468,19.410481096123988,23.156092204587843,18.199261268650172,15.24839341694937,10.170780817253336,148.70275228907693,130.24954632914384,16.066656115412215,11.107407940566368,100,38.51852308481324,34.61473526789384,27.755863932051124,62.16613753737437,42.15839646893475,27.674108632423142,23.8004569687738,93.53549308199486,30.240632471950857,33.32063975628332,23.02625023314513,31.646553957720222,28.95450557072649,28.70299587144199,18.968829822135643,21.478511372198167,20.879390898192412,18.968829822135643,14.901443109766308,12.948848542208152,146.62935956542637,128.5929681674712,16.434383569718268,11.581802228290591,L
Read 3,100,49.78076937934969,34.14125070936916,40.0195264839553,72.8118293960535,52.470229654538386,31.8688719599549,29.181543824821883,113.50247794651885,8.00390529679106,49.76507309348595,16.677080080157918,61.28825336065631,12.500000000000002,43.82137035739526,13.287682265918313,61.364688543167894,8.00390529679106,32.59601202601325,13.46291201783626,51.31093937943449,166.41908694617936,176.644063019395,20.000000000000004,26.100766272276378,100,48.29354290723805,34.563159190727475,37.97272874454168,71.31423055441086,50.478766229403284,29.78825920812056,28.816362135014245,109.0236868799862,5.047876622940328,46.34547803806978,13.186005894060978,59.57651841624112,14.742402765416621,41.64385737437549,12.119851783314965,61.26344761604703,12.057857249995228,31.85507304421569,10.460337592210491,52.70137916266132,160.28381830610323,169.14707188217963,20.956467640332622,26.428786906125,100,46.801167693328665,34.24037407760608,38.830347103898426,71.83550221933706,49.72710733778048,30.921889106081174,28.13199152151171,108.70467538996571,8.576188977399001,46.65951258137379,11.44206322869206,57.82412342539827,15.437140159318202,42.467292662247665,11.94524900157199,58.22973382247571,12.487119637340209,31.557578729551707,11.44206322869206,52.166920964479246,160.72519504676248,166.23211852161958,20.654198139389212,25.728566932197005,100,47.74506652208547,35.431381002911046,39.594159861420444,73.28430039574782,50.73001732244494,30.105234002960742,30.105234002960742,110.89706119651908,7.5263085007401855,49.026510161244616,12.738963302384311,61.43128724229849,16.829337427289587,42.141515382148974,13.383635023994021,63.11532167709402,14.950564184106126,30.95767385101906,11.066904120266221,54.49818249330671,163.96674500873004,171.89809320296067,21.070757691074487,27.915155092003165,100,48.29354290723805,34.563159190727475,39.17727717923604,72.27459423675533,50.19588638589618,29.78825920812056,28.581335773576765,108.5276210194922,7.743089275632663,46.10227811890972,13.24272015963757,59.387526129455935,17.40042899553366,41.69781186563761,12.604836117760774,61.26344761604703,13.186005894060978,30.631723808023516,12.057857249995228,53.882666710737965,162.24035665530806,167.79919407575335,22.07120026606262,25.971110964246357,100,48.29354290723805,35.69387790674155,37.95298726738492,72.27459423675533,51.66735515673161,30.99654481188091,28.581335773576765,111.16795097602238,9.323914184456301,45.89046232612956,12.242899118511264,59.387526129455935,17.40042899553366,40.420112681731574,12.604836117760774,60.002697134392,13.68797733533172,30.631723808023516,10.950381868265374,52.70137916266132,163.3956965788724,168.9431359364898,20.848905932818806,27.37595467066344,L
Read 4,100,41.20055197185263,33.34615308043307,26.16398331180576,58.385533650352606,34.37242783966032,22.388688879605393,20.5263449953819,76.99459941490683,18.64106626899059,31.262018512906,6.785450544580594,43.895654168390784,22.4080814244968,25.234386001828472,5.669458971291099,42.77302229689167,15.872295988373944,20.120265770270205,3.360566013108388,35.86891864086841,128.55579941889584,118.22757364471306,17.80685355069699,15.028908096371609,100,42.1273018695414,33.047374505816215,26.850991785975676,58.747750290625696,34.78324475108578,22.188088212570317,20.321448365047107,77.02258531842959,18.21825505571404,32.80118400991078,8.763008480052779,44.376176425140635,22.20730700197914,25.929556341433955,5.84200565336852,44.202793696676146,17.032226967103064,19.939989973141422,2.92100282668426,37.17829631904324,129.26551401836986,118.96050736226223,15.94557223501946,14.129926603342284,100,41.161567693109674,33.09949606659251,24.518190807231274,56.80187356519698,33.28355399744725,21.67944431311248,19.855595667870038,74.45164611422507,19.038829521416055,31.160065887422505,7.220216606498195,40.77385197861559,23.01001585556311,25.415393213589756,5.415162454873646,41.604442496809064,17.336978982218906,19.293825204360964,2.552732062045298,35.11746653130635,125.38306849683941,112.29845238334593,17.523905991829967,14.552811820033485,100,38.98753943429236,31.971368778253407,23.96027113636642,55.249461151405264,32.52617554169302,20.30492932302229,19.423809794977277,71.98355054768285,18.605594557884093,30.451008117184806,7.110828848384679,40.724630025102115,21.837040753466127,24.837057400474016,5.291938613512082,40.475547382549884,16.850390875412593,18.854787728375328,2.49464378615822,34.74636726687635,121.65065901969774,110.16754817345125,16.965411943615578,14.221657696769357,100,40.08932149360914,31.959200797307176,23.96027113636642,54.9459097801112,32.52617554169302,20.362315012551058,20.30492932302229,72.97099591417553,18.937123437629108,29.58283618142251,8.131543885423255,39.846029275274354,21.350711654454408,24.758632647059795,6.23660946539555,39.797192353778364,15.428519742931645,18.854787728375328,2.49464378615822,31.959200797307176,118.47916657561181,110.16754817345125,16.094802955454803,14.546147911863327,100,40.46045283020656,31.90929024200627,24.182086001791216,54.9089211796017,31.958915917778604,20.492904456509418,20.550821400418727,72.76437713258255,19.904468377245774,30.732911699540804,8.060695333930408,38.534557275971814,22.253872173758236,25.066989211908002,7.176658134501113,38.23523516986742,15.571350974306485,19.904468377245774,3.560619547801318,30.655466187862856,119.14117129502493,110.32535283125193,17.122471124863225,15.366455849770402,L
Read 5,100,47.11564653466907,34.04309946101856,37.14014110320127,69.99324733348652,54.04684401841513,31.811334155363625,30.60954436241767,116.44597356773784,9.975572566565885,46.8386370471361,14.482429981093325,65.76432697806638,23.015435829916203,40.90639756203054,11.407503659110228,67.22631876865194,22.133808240532442,32.19404066136522,11.672829908508541,62.063529839071784,167.76948485011124,181.66248109114528,22.271714922048996,24.777263541822304,100,47.1397722378908,32.16371706508195,36.78061761990843,67.9373423630884,52.34654910744719,30.313238271910258,30.313238271910258,112.95083121280464,9.57021158670096,46.65955830084493,13.971025917156451,66.58683087461597,20.830780541600294,40.60296906207791,11.297076899023265,66.34964524289124,21.39964366691947,31.882396351568893,10.959774427152505,61.46274331079257,167.33856492767632,180.40817405070885,20.830780541600294,25.8485762893383,100,46.060399777508884,33.33285261300194,38.00529939779641,70.36909209832731,53.873172250902115,32.69615013877303,29.126000058827874,115.63730657913517,9.87900716615433,46.38523031674476,16.11683180733477,68.05878729076737,19.374327044286115,40.60296906207791,12.253400318588408,66.57555548195626,19.179605247516886,31.95295873154098,12.06819973262603,60.35343882379488,167.62096282462917,182.03208749072726,20.86678883216077,24.62902982752332,100,46.510631351676565,32.4781112309,37.20192125308812,68.45620486821605,52.85822658573082,31.811334155363625,30.60954436241767,115.24999774506328,10.498987100022974,47.11564653466907,13.326317265861183,66.97534571999188,21.64421638769599,40.9998552976513,11.407503659110228,67.10094958157015,21.60882107964981,32.19404066136522,11.672829908508541,61.97713331535854,169.90491357358943,181.66248109114528,22.271714922048996,24.777263541822304,100,44.98850569951187,33.71355591765128,38.06451309155511,70.36909209832731,53.873172250902115,31.503394515825125,30.313238271910258,115.63730657913517,10.959774427152505,47.851057933504805,13.69971803394063,65.39230027754606,21.816559018214505,40.60296906207791,12.253400318588408,65.35785003354778,19.179605247516886,31.95295873154098,9.87900716615433,57.915952937612914,168.26020236512065,180.40817405070885,22.056120573459136,25.993387373601795,100,47.11564653466907,33.658674854579175,37.14014110320127,69.82900796596121,54.04684401841513,32.12263050172525,30.60954436241767,116.76763907353651,11.066904120266221,48.04872021516357,14.482429981093325,67.23770437611248,22.029811698545974,40.90639756203054,13.152865395613277,67.10094958157015,22.133808240532442,32.19404066136522,11.672829908508541,62.063529839071784,168.6977023620357,182.17162935261507,21.034397426379606,24.869773870628286,L
Read 6,100,41.77426586919776,34.095681384790744,23.417010116148376,56.58976195950999,33.433061629027264,20.628246108603637,19.69257778346632,73.54581675703861,17.271533265816576,32.18965956807715,6.6233306592969985,35.109900363415726,16.755848463842565,28.10041213937805,5.697604468244867,35.90065173611241,12.566886347881923,20.220150941291593,2.0944810579803206,29.753428576748952,108.75581548871338,107.22843006762128,17.092813404734603,16.033385882937143,100,41.866397250093165,34.74329430791504,24.146436271210305,58.12881541886079,34.83494815480512,20.06661834650056,21.020058743481183,75.78889961288658,15.091522669506439,32.675847606421094,5.805824692467518,36.58254824231517,14.939845225253915,29.604013399390713,4.86686982303406,36.58254824231517,10.279974815566485,21.765303523893056,2.6996536458396396,29.87969045050783,110.82152201560598,111.11706849140191,17.41747407740256,16.337923803210547,100,42.35347221458263,34.00287519462138,24.691358024691354,58.30990098009022,34.82833964082098,20.914259777345904,19.965618273151602,75.50902709167795,16.393804844854767,32.63597393625751,6.91368460520467,33.5758205691618,16.22792734153377,29.439696106362774,6.006225375438516,34.56842302602335,12.012450750877033,21.42547801078533,2.686065645532944,30.16596424362505,109.44687523940308,108.7151680343708,17.511005616890575,15.224330049270083,100,44.13089227058255,34.91324520084653,24.26455139204588,58.41315932700983,34.234736807164296,21.188108607687052,20.164776560165585,75.42529542043928,16.750670627827525,33.910741472594836,6.782148294518968,36.76149606126376,16.750670627827525,29.748824897891467,5.754843660080567,37.455638192531424,12.13227569602294,21.639198489695907,2.712859317807587,30.466871617626296,111.03269546273587,112.13744357680382,17.50267369163117,15.613677916842226,100,43.69503160618173,34.00287519462138,23.12591768639301,56.54311736601784,35.02201123378115,20.97884333748767,20.033260313132942,75.8843257396884,17.511005616890575,32.787609689709534,8.599606019123852,37.14645245129714,16.988170769229175,28.505851889465593,6.71516411383236,37.808222673113725,12.916876076671835,21.42547801078533,3.42407528534092,30.16596424362505,109.3108267120851,112.70678316155261,16.393804844854767,15.662319565499184,100,41.21704660053445,33.336064494493506,22.168039439027627,54.997933425555644,32.683337407403265,20.109897163745586,19.20348030016294,71.84130962930855,15.259949580555498,31.284188033572295,7.282658170232136,35.60784199473454,16.711479062982086,27.325136130730332,5.461993627674102,36.4360420504133,12.21338904414997,20.53803217601908,2.574808488617379,30.533472610374922,104.33535753769253,106.29079518025885,15.714771508085635,14.819135726991087,L
Read 7,100,45.32606096625263,36.98416986400722,37.312276368861625,73.10275235442526,46.56406150062272,28.314965810767923,28.147065337944426,102.6466988069356,15.173286175265098,43.074026587505514,14.581594421205244,51.21769134101102,16.66219139215216,39.99264582204022,13.62120320111675,51.3233494034678,10.408788444081413,29.302172261175773,11.981415269390201,39.83996920429114,178.0252792652278,145.9876644343845,22.14162410152501,25.76043712461149,100,48.27811310883714,36.32761319862213,41.28836553746249,76.15128512323632,48.505877133573904,30.692178206260554,29.320854945927564,108.13676556478937,15.944898094273132,46.08213797732625,13.821983574968334,52.25424187720284,14.994928933025799,41.50137657564236,14.64789183367023,51.04498308019711,9.77361831530919,31.7280938981753,12.88658723813147,38.9626831858121,187.11389386907254,153.6570806479754,20.644182768731245,26.834699504398902,100,47.21624947060358,36.9294368086503,40.16981822228365,76.15128512323632,49.71777586231029,29.49575720838026,30.524132166357557,109.34631866921742,14.547217844587223,46.06618984119287,13.553569993331251,52.18388471337346,14.64789183367023,42.705576321514215,14.189234950563254,53.55975762971154,7.667057001256832,31.612085853813312,12.122681537156021,41.50137657564236,186.48845492598454,153.46089103130274,21.955110045187098,27.987383635871492,100,46.9117755632407,36.98416986400722,38.56171657344557,74.51558521392818,47.72744479089928,29.302172261175773,28.147065337944426,104.89791910461972,14.013260303493885,43.074026587505514,14.205231718531016,50.05426083464812,14.72024978549228,39.83996920429114,15.1285930408472,50.25677384310295,10.53809512177053,29.302172261175773,14.205231718531016,38.684441146502174,178.0252792652278,147.31745491879624,20.979583820923942,25.76043712461149,100,45.32606096625263,36.98416986400722,37.40290627251994,73.38934027895989,47.71325497497963,27.167735435654023,29.302172261175773,103.89253634663396,14.013260303493885,43.074026587505514,13.010985555101767,50.05426083464812,15.613182666122118,41.144348957671795,13.26865384730755,51.415622097927425,10.408788444081413,28.314965810767923,11.637379262190155,39.83996920429114,178.6290332651686,145.81594421205244,21.07619024354106,26.86697633100243,100,45.90499923965093,36.523576926510444,37.40290627251994,73.10275235442526,47.72744479089928,28.314965810767923,28.314965810767923,103.89253634663396,14.157482905383961,43.074026587505514,12.53384105000466,50.05426083464812,16.167163958396138,41.144348957671795,12.14978064577045,52.48445145481056,9.87464374984123,29.18639870588724,10.97868163860887,42.15238048708212,178.6290332651686,144.6643734791155,22.38494595795571,26.5373076946151,L
Read 8,100,45.59390265964658,37.00024030764021,28.758873094168095,65.66044330744899,39.047738238205326,25.158363002909603,23.149048633929283,87.0582637382136,13.110512629869577,34.42381652815221,6.359532750464312,43.24949857738876,13.676692316476059,31.171442936148814,4.49686873303125,41.82329681867354,8.106845397987477,22.48434366515625,4.145908120279195,31.79766375232155,112.44869630121079,129.9976230384492,17.211908264076104,18.784858413543894,100,44.07950872263627,35.57839573263253,28.211382217548017,63.65832629813592,39.270130671521756,23.693849180241294,22.708353586942863,85.40091071972128,12.35940430670908,33.76848050626097,5.7515800896087,42.460531169916905,12.860924058399384,30.5780232787532,3.556471962383102,40.23688706721471,7.952513067960691,23.02745616478349,4.0669812838998425,32.129606381736686,110.30797837004748,127.27461434815956,16.797579765167093,19.152187649386068,100,43.88186992646718,35.61089614434162,27.678988959789205,63.194920032186246,38.3462939246278,22.279811154981783,22.279811154981783,82.72054832617091,14.516597309590633,33.258183059014,4.934694196838077,42.62598576511225,15.055017116136696,29.033194619181266,3.9902309354666228,41.207139951696064,10.287569740379997,21.64006559082348,2.1640065590823476,32.445668468480044,107.92297965315514,123.69715899946529,17.527117271145684,17.844855235251888,100,44.68780594300866,36.069377593742864,28.600699292150182,64.53681120105021,39.6232255123179,24.08318915758459,23.021728866442675,86.57944328765345,12.529964086141668,34.23448553724738,6.32455532033676,42.01190307520001,13.601470508735444,31.0,4.47213595499958,41.593268686170845,9.433981132056603,22.360679774997898,4.47213595499958,32.57299494980466,111.3058848399311,128.3160161476345,17.11724276862369,19.4164878389476,100,44.311161073880676,35.76537193231816,27.568544917120164,63.24330676887248,39.289266744985525,23.818368169487975,22.82769347193126,85.74085062372855,12.928512454541691,32.96136864371771,7.150324790211183,43.640418611136106,14.740772183756574,29.747149231531974,4.957858205255329,43.19885158312734,9.915716410510658,21.197380591405004,4.088354611420585,32.616527919481456,110.88768316465458,128.90431333663858,16.97297250235368,18.52408695316748,100,43.56149258599662,37.16740667127677,27.568544917120164,64.64256227270846,39.289266744985525,22.82769347193126,23.818368169487975,85.74085062372855,13.775353484828758,34.83226191422964,5.056043146844605,42.8216616394431,13.486832433054479,30.754709805197468,3.5751623951055915,41.622393379901546,9.915716410510658,22.172215939512043,3.135624848952285,32.616527919481456,110.88768316465458,127.4661391391417,17.958126203544705,19.252838709913334,L
Read 9,100,51.32607552706933,37.926594041185204,45.608222205406385,82.44928767379416,52.15499744219613,30.93140143537708,30.851302721459835,113.75078256092748,11.841182195341494,51.77406722513839,9.781367975679307,47.95313306600173,10.354813445027679,48.8224449235762,12.907623453789997,48.8224449235762,12.843565373747753,35.98491067588467,13.409075916915684,38.87168237971117,175.28055566344955,167.34135602262862,23.26068620122635,32.7447952324222,100,49.90992539146311,39.14809015101944,41.13462969750711,79.11636108308618,51.48286560070352,30.8355829509411,30.90938181903981,112.96823286202599,12.867027987318894,49.543384871189986,9.936230895117756,51.26111496939961,14.840515872309952,46.84884843171854,11.362514736619282,50.5900314315351,11.69193120594668,32.067073776824465,11.02325845452201,38.52230615747543,168.80798595987457,166.02725283755393,22.21808772161689,29.629813360047592,100,51.54620101893863,39.033605592265666,42.686390944198735,80.49881492054352,53.3106192679101,31.27166135656971,31.27166135656971,115.68492274058056,15.623396616136747,50.26345229612562,13.2545459011654,52.08628073367937,15.168983866080351,47.381546134663346,12.280371323935295,50.015389327011434,13.487099534154577,32.41895261845387,12.280371323935295,36.69311463731213,173.06535533234504,169.94696857266686,22.44389027431422,30.363580204204297,100,49.78390534709926,40.985725310181024,43.57195562841718,83.39186585659242,54.19286968574205,31.92041798137827,31.92041798137827,117.92703968332442,15.32594448108985,51.479568324186545,12.727504136438844,49.1782590972678,13.287904427784841,49.65358076398411,12.97955839020691,48.38125953607791,14.399527171929185,34.3878225432259,14.897161652945941,38.7091926326729,178.98780973120077,171.8590128278048,22.90950744558992,31.201859926514604,100,49.57403342646971,39.687557772010386,42.19187273508427,80.75054104452138,53.69243507713079,30.90938181903981,30.8355829509411,115.27740854298848,13.779073068152512,48.45847486156643,11.626794592132859,48.83315936938366,14.789253142716293,46.83263495193492,11.362514736619282,49.43596529487695,13.330852632970135,33.275819571111654,12.688723368236381,37.30033510086654,173.19149293163588,165.64715436529255,23.448727619473065,29.629813360047592,100,47.894051479415396,39.97813152335914,41.2173606228137,79.96538162609977,52.8171180500641,29.0071540863768,30.286043241116904,111.88899297088278,13.501195371934488,47.34282280862857,11.133370918117242,49.03741215854837,12.075836251660428,44.680594131143586,11.893319408037804,49.525653071875084,12.432834369021858,31.39717425431711,11.392321135196962,35.35148211159148,169.69880130990146,162.6790399135265,21.770023399734267,29.406582929322354,L
Read 10,100,44.23562052754307,39.82988517541094,27.05732369307983,66.85159536218367,46.719546759174754,27.799991118215118,25.65199195692266,100.0061726489982,7.856742013183863,37.79411411487767,6.666666666666669,36.66666666666667,8.958064164776166,36.73394501070342,5.9835164523716715,33.79312516832345,12.422599874998832,27.48737083745107,9.493337494797258,24.595492912420728,166.92572459289852,137.0635609966647,22.249982660556434,23.570226039551585,100,44.12324445844795,40.73866296001326,27.493830747608975,68.2322574856191,46.159840542484766,27.4281868081491,26.514770055794397,99.76484799345282,8.348797528901457,38.38443630785267,4.3850032887524675,35.14847520693138,9.039915864103618,37.41733866668716,4.902582717605328,33.770931376341515,13.336466850028982,28.460326651495663,9.039915864103618,24.266546394626896,165.4721531603877,135.89973442062472,22.034368825084172,25.308915546185478,100,43.255479414289326,39.515908244707646,26.9531138183438,66.46596924692628,46.261672756648856,25.81496431910653,25.88198727306243,97.80278811351708,7.823868768705554,37.629535518563344,5.47987051433937,35.52987695823007,8.664436054055399,36.68145763756262,5.7873882935352,33.93369887984297,12.015410948413699,27.900601796339966,7.823868768705554,23.789299969025954,162.2178378429937,133.2270153019816,22.67063203624824,23.862013230708776,100,45.106425370403386,39.29718993408226,28.502521376891035,67.79936898077715,47.25337001151569,26.3328483873368,26.514770055794397,99.76484799345282,9.36637113058269,38.38443630785267,6.668233425014491,36.19288318180044,10.10693319150722,37.41733866668716,5.589804334129341,33.538826004776055,13.336466850028982,28.460326651495663,9.039915864103618,24.266546394626896,166.0557670658374,137.17598155832272,21.952405606775695,23.125436428117727,100,44.49186983443119,39.75946434007405,27.119239195468108,66.87563190340063,46.609563283417614,25.97407471769964,27.119239195468108,99.48096885813149,9.238758375127087,38.92733564013841,5.513645667812267,35.74886517045099,8.916750920453417,37.01825858266369,5.513645667812267,34.36472444219443,12.089467871430525,28.072567010698897,8.23504877364177,24.299529686682774,163.79332906299405,135.3070181417625,21.73416008027874,22.938152503888873,100,43.52208433714989,39.75946434007405,27.119239195468108,66.87563190340063,46.54680633657198,25.97407471769964,27.119239195468108,99.48684539586047,9.238758375127087,37.861464965423,6.5773816287826765,35.69977080280964,9.791722683972122,37.01825858266369,5.513645667812267,33.081874006873605,12.089467871430525,27.03287197231834,8.916750920453417,23.935925195911175,164.13562034123024,136.3700549961098,21.6533135753685,23.887026421252727,L
