,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,42.805898,35.06983693,27.46233699,62.10138282,23.33318665,35.91228684,33.86575027,46.6663733,26.31721923,48.69730361,26.88757576,49.31651634,21.91292112,40.08163143,17.23976154,34.95512518,10.77161479,31.19050358,14.17099669,34.38880439,60.93345488,17.97477335,20.71961474,15.14522394,100,43.59249859,35.71427976,29.32413056,64.57504019,24.12918261,36.57221052,33.65952604,46.20052801,28.42656668,49.59216459,26.80082409,48.10467577,23.80087912,41.91460633,18.30507754,36.55955359,11.26101588,33.68701443,15.5132918,38.63976453,63.36684164,18.30507754,20.45438871,14.55911675,100,43.59249859,35.32337839,29.26093193,64.0858283,24.6603918,36.15219209,33.65952604,45.38186036,27.70094295,49.3020126,27.38166148,49.02902562,22.46029927,40.81817094,17.55655916,35.61045896,11.26101588,31.76365984,13.87551001,35.02073258,63.77453692,19.26590763,21.10035809,16.46838827,100,41.93167883,33.79979938,28.79499415,62.10138282,23.69378593,34.24576091,33.05216001,43.59101368,27.91362627,47.5098383,27.20109598,46.98088525,24.289013,40.22611026,17.10984438,33.07915239,10.77161479,31.19050358,14.4207251,34.95512518,61.58906382,18.89466226,21.3768701,16.08822519,100,42.77125452,35.03127485,28.40016954,62.78948679,23.59172612,36.31020691,34.24099404,47.18345223,26.60882277,49.23688593,28.09330628,50.77861824,23.24104511,41.47157006,18.37365943,36.31020691,9.407639509,32.49088041,15.89771418,39.58037894,62.43976309,18.17393981,20.94919496,15.40215445,100,45.34576662,37.43556694,29.58542087,66.10492999,25.84694602,36.97777784,32.21886218,43.7202433,28.92231274,50.77970092,25.53386138,47.43651883,23.66833669,43.19767181,17.75125252,36.97777784,10.15594018,34.10223374,14.02938239,38.14916644,64.56242609,19.45525292,20.05401569,15.56420233,M
Read 2,100,60.67754973,60.30534568,47.67556186,106.6057972,31.98173915,34.46654648,32.90702161,43.68555833,47.67556186,57.27809991,14.71646745,27.51251168,36.69633647,48.87485508,13.89197976,29.86685906,17.07703,30.1882093,9.376371705,21.32115944,88.31094616,30.1882093,31.30408307,22.15953427,100,57.56552627,59.3264639,51.09125508,109.2229066,32.46658617,31.4041405,37.14570322,44.71670551,47.01007552,55.97170722,19.5518123,31.00545665,34.36203838,45.34460349,17.14807377,30.41622562,16.19842024,30.67540691,10.08904186,24.48311114,95.80753983,29.04678586,31.72661018,27.1134853,100,51.57753483,53.17748098,43.43291753,95.62031668,29.64828857,32.10259121,31.05809414,39.70107824,42.91670097,52.5026125,14.68820937,26.30219736,32.26878348,45.57630703,13.15109868,28.32581578,16.13439174,28.54527751,10.42896205,21.11281653,78.41926484,26.87222833,27.23471499,20.0738368,100,55.05548973,53.16071368,42.49921341,94.43826791,29.85803148,30.44933703,32.9792737,39.83558256,40.41326199,51.02142656,14.68820937,27.52774486,29.85803148,43.06186539,13.94085527,29.64828857,15.62918936,28.54527751,7.553550874,19.44214151,78.24855294,27.52774486,27.23471499,21.73697502,100,59.01550474,56.36449483,41.09589041,94.79808371,27.93983295,32.56127212,31.2976977,41.93213114,40.10214019,53.70491996,15.06849315,30.78384254,32.56127212,48.12100841,12.99566162,30.41589495,16.03383549,30.63106818,8.771403065,21.65943603,77.26075974,28.24044949,27.70376495,20.72978897,100,57.39289568,55.41767605,42.49537172,93.92528067,28.15109746,30.40134976,33.08703876,40.65445954,40.74966918,50.41973908,18.14922719,29.49557364,31.80306141,43.3530387,16.29273373,29.36389631,18.09576837,27.34811067,9.842800406,18.09576837,74.14183734,26.88364131,27.9784956,22.44503827,M
Read 3,100,32.72295409,31.45098415,22.38528647,53.68859053,26.1028999,24.61644741,18.8224665,17.2017161,31.33361248,30.49007187,16.58087302,16.09513501,26.26526659,27.9385263,12.53073105,14.3841087,12.53073105,21.09460281,9.159407514,25.30904429,52.29801231,14.61864767,17.89619684,12.25630221,100,32.21332594,30.69333091,23.9521781,54.58457062,26.49170017,25.91864927,18.95203701,18.20982283,33.0399246,32.27985302,16.75482233,16.73652104,26.61864871,29.05186771,13.03007671,15.73612404,12.84053822,21.93521604,9.524407,25.29631946,51.29647616,15.85254579,18.4273112,11.74352149,100,33.51528965,31.31391194,23.19803972,54.45065837,26.73494112,25.52891017,19.27822332,17.93600146,32.54310279,31.79446041,15.8972302,15.7280059,25.8644507,28.81175461,11.7707723,14.83296118,12.64745486,22.36273905,9.285621976,25.63351348,52.44243719,15.42257866,18.15021946,12.55306955,100,31.2261862,30.6327604,22.05425595,52.57968785,26.67966518,25.07262247,17.74519011,15.92229328,31.96144781,30.52960371,16.10140232,14.87949311,26.11472228,28.29679142,11.36019388,13.71612411,12.53631124,21.9630415,8.467388585,26.86178105,50.08229511,15.75935478,17.08651041,13.964775,100,32.17607662,30.52960371,24.06884063,54.53418972,25.62696806,25.07262247,17.74519011,16.93477717,31.96144781,32.22061101,15.6130931,16.34885879,26.11472228,29.23395799,11.97469577,15.3163802,12.8748864,21.97609532,9.367855859,26.3443307,50.05938464,14.93720306,17.82581384,12.89714205,100,32.91912008,30.89238183,23.8110175,54.70234892,25.8476067,24.88099676,18.95203701,17.88719903,32.41249753,32.5916516,16.13992651,16.90051918,26.99591271,30.22040095,11.95047172,15.73612404,12.84053822,23.50008772,9.427381648,26.49170017,51.5170559,15.85254579,17.66306141,12.84053822,M
Read 4,100,45.6146719,41.66363863,27.86225705,67.31437041,30.78785761,29.00474324,22.54100399,20.85180188,35.44124822,41.11017844,15.59551656,20.99114721,26.46709866,38.50510744,13.72026684,25.70069881,15.75492973,26.13456432,7.797758278,20.50945063,55.04019817,18.81493851,20.81181756,15.62219838,100,45.6449518,41.29183509,26.60599154,65.65629285,29.56691019,29.36238679,21.6619684,21.30667681,33.93240092,40.42657685,14.17299059,20.6167085,25.99498028,39.60330232,11.68734745,25.24225142,14.78345509,26.37852092,6.826616266,20.90696269,54.56877467,18.7169353,21.55040387,15.23843672,100,43.06954256,40.37985964,27.78054252,66.62303027,29.74555416,27.58960869,23.44665885,21.11046967,33.95828368,38.78765113,15.11683165,19.85996532,27.970173,37.36738995,12.65728997,21.94160891,14.68015204,23.41194875,7.704936194,19.2992466,55.07595449,18.83002346,21.22572332,14.54100054,100,44.50409318,41.35988525,28.47325237,67.23437287,29.79700634,27.61369989,22.85326064,20.4798488,33.05681053,38.58595061,15.02604394,20.63618579,27.8021915,36.92601277,13.47552562,22.69449427,16.52840527,24.7926079,7.658662375,19.18334041,57.55002122,17.61104581,21.09824721,14.34205809,100,45.1137667,40.08727102,27.43855838,65.97371077,30.05208787,28.69811867,21.6619684,20.14360439,34.35598404,39.53222852,14.48143996,19.7406916,28.74008523,38.80398139,12.67670816,22.85326064,15.31732475,24.7926079,7.391727547,21.15529531,53.879738,18.47931887,20.44057772,15.34353063,100,45.35630051,41.18153113,29.34701939,68.34958535,30.83737231,27.6719702,22.41570013,19.15956989,34.58245869,38.54604207,17.29122935,21.89084507,32.52814781,38.2866154,16.63017187,23.23439129,18.45298162,26.67872263,10.97383995,22.83780932,56.70773421,16.80405442,19.15956989,17.52974033,M
Read 5,100,40.90778343,35.69367537,29.62100346,65.13669059,24.51451689,31.03848537,28.03342257,36.20801997,29.9469452,35.45978637,27.95084972,37.5,32.8193234,32.09292167,21.60788948,24.51451689,15.85809856,28.03342257,18.26923077,46.08368064,72.27546336,14.67724762,25.2392399,22.79474921,100,41.25287964,37.31577893,29.8708849,66.87070552,24.00740503,31.30032462,27.7834748,37.30317863,30.16842662,35.75892352,27.32280191,37.82877767,32.59524157,32.23265808,23.04831635,25.50750788,16.25429518,28.18664182,17.48061318,43.93488125,74.22732167,16.13819158,24.83515655,21.52972298,100,40.02818903,35.30299952,29.43313051,64.53778536,24.51451689,29.49588779,27.55105535,34.32032365,30.03942183,35.26369389,27.95084972,36.53846154,33.15565317,32.09292167,21.60788948,23.3952405,15.85809856,28.99002583,18.29451691,46.60238775,69.82914483,14.19694525,25.2392399,24.09608478,100,33.93683599,33.29551948,30.9541666,63.98608847,27.21503284,28.18359446,27.70354679,29.44715927,31.95933382,35.37453211,28.03019002,35.23884103,34.60781036,31.70347443,22.91444775,22.85163964,17.34538483,27.47781685,18.62401878,44.72850297,59.52543381,13.63389612,26.33833995,22.83066521,100,37.85451314,34.85172825,30.20163214,64.84237296,26.60251358,29.20501385,28.04151147,32.2602863,31.402958,35.47001811,28.40208341,35.60018375,32.82879324,31.31445724,22.86210315,24.21790577,16.79739271,28.91852723,18.37546713,46.26724429,68.2279421,15.92088618,25.24652255,23.26322328,100,38.28082546,36.55111117,29.43313051,65.63864679,24.51451689,29.49588779,27.55105535,34.32032365,30.66388215,35.26369389,27.09423616,35.58991447,33.64010709,33.04392361,21.60788948,24.51451689,17.03850495,27.95084972,17.33438113,43.93715253,69.23744626,15.20325798,24.62740091,22.13627776,M
Read 6,100,48.02841355,41.43775129,30.75740352,71.68195413,36.44602536,35.29444985,26.84869939,25.77123168,31.89503395,44.76391853,26.57580886,40.90660221,24.01420678,43.57195563,24.31586251,47.36615519,14.0579878,33.18927023,19.26020867,54.37192151,51.54246336,21.33518469,19.26020867,14.84269287,100,46.70800305,43.41640571,32.53263475,74.83899676,34.46966967,33.35340675,26.13274834,25.01505506,30.57395619,41.93195225,25.62526803,38.55329377,23.9097378,42.42647151,23.64984163,45.17782932,12.4300808,31.47045097,17.79716726,52.88265354,63.38122453,20.23470553,20.23470553,14.17247266,100,46.40347647,42.19183121,32.17827407,73.60833987,35.13467033,34.03327697,27.37468628,26.30302133,30.15807138,44.18963877,26.03567708,41.44830459,20.75226556,43.80091788,22.58200783,48.88353063,13.94057343,33.87301174,17.63358557,57.20733041,57.76176969,20.56411783,17.63358557,14.54102717,100,43.87907709,40.08947774,33.40545949,72.22159143,33.64602565,32.49311665,24.93492405,23.85288884,28.8855908,42.59022861,24.51980713,40.12603905,22.52491552,42.65903355,20.7280731,45.21229039,12.64265743,32.89677333,17.3381219,56.69508312,63.45639383,22.32875868,16.95325745,17.12537615,100,47.58628566,40.70621032,31.5258512,71.07803617,35.53342447,33.83709424,25.96628031,24.25647423,30.50034457,43.13400095,26.33116396,40.5300345,22.7336146,43.17085188,24.09202166,48.18404332,14.09878927,32.88374479,19.08290788,57.42899136,53.87139814,22.34558026,19.08290788,15.39288224,100,44.95207361,41.70301612,32.53821468,73.2197455,31.99284285,32.49311665,25.54495412,26.00013387,27.21264841,42.59022861,22.97610313,40.12603905,20.83391927,42.53855188,20.62168366,46.58605973,14.17377078,32.89677333,16.15604755,57.12025389,63.36389175,19.71278832,17.12537615,15.50768767,M
Read 7,100,33.76316555,31.15847688,26.90173885,57.55210273,14.79076052,30.41913179,20.9878417,40.71726965,14.85060201,35.62086835,18.58215452,46.19373563,14.1784613,29.3104476,11.76244409,32.12087439,12.68160131,24.03460147,9.511200982,40.23521861,65.68883701,14.93001756,21.37860634,12.6114721,100,33.37170384,30.20274051,26.13374327,55.95780084,14.92427966,29.68978926,21.65872837,39.35103993,15.14044243,35.79748201,18.90603209,45.51228699,15.77116413,30.13419798,12.67672752,31.97022958,13.15698906,23.26325281,10.2549301,39.20061491,64.31358846,15.54477203,20.9092552,11.08547663,100,33.76316555,31.15847688,25.84811429,56.54679373,14.11577067,30.1555887,21.36477353,40.86945718,14.58951631,35.81124497,17.88497247,46.23851251,15.85200164,29.38096605,12.68160131,32.12087439,14.1784613,23.27219677,10.1137612,40.57908436,65.35947712,14.93001756,21.37860634,12.01114906,100,33.49530613,29.9746475,26.68831442,56.09818082,14.00378347,29.91634991,20.82133506,40.39423997,14.47377066,35.33827087,17.74308239,45.82725851,15.65205929,29.83844262,13.32233519,32.61508632,13.05762664,23.84392342,10.7881117,39.91601328,64.15072406,14.81157055,20.02350255,12.06147555,100,31.83911723,29.77932269,25.50434859,54.80364956,13.57807674,28.31014676,20.84172012,39.16627898,13.33413933,33.54597772,17.87432836,44.47720822,13.63837937,28.93137162,12.19853735,32.22340371,12.19853735,22.49542356,10.59010434,39.69351439,61.53294951,14.36130757,19.41479992,10.51233018,100,32.84613955,28.9792664,27.99445268,56.41212435,13.90432941,29.63477698,22.37649165,40.15606445,13.43588484,35.99978312,18.56284939,44.68479344,13.43588484,29.71698179,13.48119992,32.25595694,10.27172701,22.86182143,11.37073001,35.97436253,62.1820515,14.39991325,19.87961275,9.436193654,M
Read 8,100,29.59836679,28.43046267,23.52378787,51.74272107,32.02009226,20.19594461,22.41392588,10.60844035,31.0740585,27.50790655,18.69306039,16.08269836,30.71178378,26.68179201,18.01554906,15.00260021,18.80911598,19.18549923,13.77089512,17.02178926,38.57301627,14.21523133,18.45876031,16.63382992,100,28.02025138,25.87322122,23.15300948,48.75424784,32.34152652,19.73893211,22.36306062,9.73608876,34.12184322,30.01408666,17.75104981,14.75443693,31.89373047,28.12504387,17.73262629,15.3622251,18.61394637,20.35847075,13.95753275,19.43857581,33.29763952,15.61546565,17.65874003,16.49100748,100,24.74972164,23.57273567,20.21345408,43.72838707,32.83302151,20.21345408,22.36306062,9.73608876,34.12184322,29.68557528,18.07946295,14.75443693,30.39286243,27.10713877,17.73262629,15.3834877,18.45522673,19.55592921,13.95753275,17.45394012,25.10377538,15.34093302,18.43750687,16.99854143,100,27.71327221,26.38944422,22.61836965,48.88525139,32.47331548,19.8636423,22.11805947,9.629423893,32.63047703,27.89726276,18.65158543,14.74537298,33.32853416,27.05945512,18.60008533,13.59456218,19.07534657,19.45705727,13.18866254,16.48582817,33.49123005,14.70194027,17.70167423,16.86927078,100,31.39739519,30.88520119,23.59448575,54.2494484,32.27175856,19.6452742,21.28064544,9.22327095,32.27175856,27.66981285,18.7492401,14.77502507,32.57080083,27.77135379,18.0696926,14.25795348,19.53351635,19.24315891,13.81228187,16.30459358,39.71018732,13.81228187,17.50707341,16.62748817,100,26.70191191,25.43764852,21.46518876,46.77690226,33.95430418,19.85355275,22.68402639,8.71823654,33.95430418,28.28006176,19.12885064,14.32317657,33.47548861,27.7518647,18.33894839,13.94242598,20.69946603,19.95493326,13.35095596,16.60662407,30.91622542,15.83958658,18.15463268,16.48466435,M
Read 9,100,35.05617978,36.35730052,25.94313652,62.23055795,27.69064593,18.89779419,16.88835436,14.21248387,36.15673773,26.20652537,20.90733186,17.72861386,27.33825856,27.87966278,17.05498064,21.36604822,17.84218718,19.21578277,10.82390524,21.64781048,60.12401441,17.72861386,19.7752809,17.05498064,100,35.99071004,36.19881739,25.72652629,61.83362419,28.88980139,18.29433985,17.16452972,12.98435082,36.74800906,23.91056519,21.24922958,15.71775126,27.83034206,24.68345713,15.61118901,15.12236923,17.73843216,16.67119276,10.09077381,16.79588554,59.05120633,18.38535702,21.32764029,17.57298014,100,34.18228732,37.10739208,25.88965609,62.87917642,30.5654464,21.09963341,18.73124741,14.23858441,37.11854046,26.52120392,21.56512252,17.9414927,26.86222698,27.2900937,16.7240756,20.13639918,16.7240756,19.29701031,11.96483802,22.9590275,62.31736035,17.66259241,22.00197694,16.47482059,100,33.9844338,35.83542146,24.8834521,60.54107975,29.34788955,20.8797981,17.81470164,14.58308356,34.91048036,25.46826054,20.22309829,17.83764396,26.70674335,24.41892014,15.45447001,16.9922169,16.6272735,18.29044806,11.002555,21.34471144,59.45040582,18.31279437,21.28715257,17.18368454,100,35.83893226,36.75411612,27.43977362,64.00692004,28.80984069,20.72726169,18.9408111,18.2743415,37.08999623,27.35894937,24.84777183,21.89120631,27.79260811,29.2371286,18.49118372,24.84777183,18.07940961,20.1200549,11.33326549,22.05246967,64.56498028,19.40285,18.91741293,19.94317186,100,34.49301372,38.56436171,26.87907839,65.16155717,30.9710582,20.25050014,19.72213512,13.06603028,39.04062298,26.68191867,23.52708481,18.04445034,30.25237429,25.34569622,17.5248984,18.50195396,19.33914459,18.85530135,12.23114898,20.65920783,66.66355724,16.91159135,20.76542554,19.78895226,M
Read 10,100,37.18751114,33.76917223,25.64378879,58.7259821,29.21726811,21.11074425,19.94935932,12.58437771,28.29600079,28.64751738,14.75898416,15.34566101,30.08101862,27.62218983,15.34566101,13.4000224,17.31069466,17.03644849,10.76933081,12.77013502,42.66535341,16.11294407,18.47862285,18.66880236,100,37.68987955,32.41667295,26.486426,57.83791747,29.24426659,20.75609722,19.83824203,11.64683162,28.60012943,28.39584017,15.3362973,15.26018617,29.00439159,26.7488908,15.26018617,13.17158286,16.18587169,17.9591062,10.17981387,14.19279356,43.78503505,17.56579343,19.85290986,16.88993104,100,36.59702511,34.69730743,26.88761494,60.70045774,30.29812117,21.34660019,20.48316981,12.63001055,29.36999493,28.96757654,15.69070402,15.51710761,31.1890003,27.16601971,16.31142528,12.79573474,18.11252623,18.11252623,10.8896492,12.91280703,44.99961207,16.31142528,19.45835395,18.44187187,100,36.65793544,32.51358953,22.87392218,54.38700467,27.67593083,21.85398841,19.23603095,13.7767803,25.17149693,31.66232362,12.10094972,18.76172608,27.11053188,29.2779125,13.52927308,15.91985248,15.47131567,19.00035858,8.289201514,14.15982159,38.57440083,17.32592327,20.31817842,17.51987622,100,36.02882902,32.39425249,25.21239434,56.43716088,27.81998931,21.77258553,18.6316974,12.82438141,26.67119724,31.01207723,11.34074863,15.85983407,27.15751358,28.75545949,12.07000604,13.76605883,16.00271834,18.35474511,8.43417312,12.55530852,45.26252263,17.35063368,20.38210031,17.75588759,100,38.53671099,35.25393518,25.98038041,59.95006851,29.90133858,21.96930541,20.59662784,12.98433217,27.84610438,30.51584836,14.38530887,17.16336402,29.7380536,28.87619835,14.82290529,14.38530887,17.4447494,18.98193955,10.92214074,13.95579952,45.79039036,17.16336402,19.56613544,19.12568368,M
