,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,41.100333930505975,35.61174361334346,29.366196086046035,64.96581586058461,28.524984404726624,29.27969752971119,22.090765712591974,22.79151591253981,28.631487517227832,37.714837282129444,16.520164652353674,25.73918682349041,15.10878323932313,33.85925929486626,11.789584922159172,31.273518727357022,12.295080193124198,22.52284425362399,10.122759489444894,22.25092872116693,58.73239217209207,17.59090370323628,17.152887153431106,16.39687811855329,100,42.3621028230522,34.15188635685795,29.83194461703316,63.966027250947654,28.301067606547285,29.085583553774477,23.19816647652642,23.88748087573673,28.44866218041102,37.74862733182589,16.782174835625426,26.147410905925792,14.757193391850976,34.396267909488614,11.97656800441996,32.04841862962412,11.932777846813263,24.083909333755898,9.209045328967564,22.53424285843164,56.611383172508155,17.869895831958434,17.424932329813164,16.656932974623665,100,42.080506046451056,36.9019217965858,27.8347423849642,64.7261632934758,29.448175319618233,29.581425662223694,21.83710019389711,21.74686385667953,28.823880721365658,36.58079671927955,16.262984101989815,24.389437533463248,16.88585658495429,34.248717975548914,11.981205724932643,30.546200893900572,12.698312815930288,23.148473039025784,8.924144769459593,22.172215939512043,59.62636144124107,16.35341844568234,17.958126203544705,15.488844176314633,100,39.78902747618347,33.36195090381505,28.28243915341117,61.636400748962856,27.217303716494563,29.055677958348817,20.43276465686622,21.91591398556728,27.217303716494563,35.76702367309639,15.762825052240967,24.98798654493032,14.287427916692462,33.19541766298999,11.612730392690601,31.70095627577249,11.572892435167992,22.621051986429254,8.70291699965153,23.24533709264358,54.671648835474834,16.78447784389522,18.361338947181927,15.645190385487464,100,39.58795592974018,33.97418257075618,28.117233556009747,62.09053371711786,27.967981483267433,29.521126174199956,21.151231747961532,22.596922584357184,27.967981483267433,36.1108018648839,15.817551805243253,24.587807472238328,15.699508724177555,33.310668413869315,11.653048484515935,30.64952952468069,12.274975466638882,21.564933720703923,9.692232251056891,22.51445178884898,57.99323513693861,17.089444639472806,17.466265094295338,15.699508724177555,100,39.2662736452924,32.74211212660762,28.577276783101233,61.30542158573833,26.929157017051395,27.919464361724113,21.498160431028158,22.13155808034876,27.645064932655796,36.83709930518002,16.623766464199928,26.1936897012861,15.185815292955922,33.71713400853289,10.914037375535875,31.023523198107586,12.424757966963936,23.931375775344133,8.049796223384735,22.536892582224127,56.06034367575647,17.81363489935051,16.623766464199928,16.566343955951915,N
Read 2,100,44.58870889024906,41.49769226285224,31.277914211841995,71.81666996299484,23.182863980019597,29.50518719818642,16.710325142326578,23.069221805556786,27.427939232696165,37.04756385515583,8.767653259619005,18.713457697357857,18.483836023330433,37.28621220718164,6.33075275667233,28.50856025787302,17.53530651923801,22.825853676467087,4.726393689588474,20.134136902608773,61.5713026338103,16.8668655643064,19.215805448860657,21.399657586842963,100,47.313569292914146,42.62189398659282,32.88029681595092,74.42105505828907,26.22585894033783,31.079145021001832,15.223818456560249,19.32744370990691,27.75385785001917,38.54893503939482,6.010658759313507,15.773590798004292,19.007371917472483,38.81327369069735,5.2865953083164205,27.445129026741515,16.030785864388704,23.249880845985345,3.404149294598465,19.345070201221898,57.278557037491574,15.881261609702232,20.156135428886564,21.41862908037128,100,42.340321302896704,39.27399023089168,30.526128370673117,68.94250324567714,20.884064248563188,28.69774296129682,14.301627948953518,21.606124683447018,24.342441365818992,36.213813790207865,5.6465600630423625,16.30636472630779,15.705000179412536,35.68670463143516,3.878073373148219,25.58352982621677,13.982592396897497,21.841507547240706,1.5512293492592877,18.679274922504142,54.97570820342619,16.139495886670915,18.090287426806174,18.743575542689165,100,46.22475570324338,41.352790765384015,31.901616994267258,72.02210807430782,23.87972763881276,31.350084706371756,13.900043204584437,20.542118443745515,24.5856843636721,37.43597307568659,5.733475305102793,15.562290113850434,16.154544125903858,37.677123433532635,4.410815633659189,25.719253776898324,15.23554364627592,22.175422017660548,4.095339503644851,16.381358014579405,56.032865513922744,16.584860947920866,20.930350297617554,21.248458958264962,100,44.167679246176476,40.38713068253804,31.205512003117683,70.62057891651716,24.032920143991813,29.42326782876597,14.279006989144964,19.063059305485144,24.757958201031563,36.40888431411073,5.072223370227571,15.258880094987925,17.58899045589968,36.12512833284212,5.783224437347004,25.487606996664855,15.321977042700134,21.890037796064128,2.891612218673502,17.58899045589968,53.499334606329036,15.426565130861611,19.579045016815623,20.097785044737616,100,43.62192416004551,40.240430244373975,30.161477646985773,69.38270256874947,19.8019801980198,29.306930693069305,14.562199058099193,23.550207916544167,23.946481517356,36.34944603749312,5.600845791576614,16.652511716141493,16.329131190564993,36.43564356435643,5.071781574204236,27.66613734110571,14.279410991936588,22.30515301438213,2.504774384291786,19.174207424808245,56.85893023316629,17.443735085580382,19.562913323134207,20.19413668749618,N
Read 3,100,37.83221413033198,34.3758287059231,28.389919644005744,62.68056947235748,27.493505823793882,28.82767550199219,19.498276863792967,20.82920225626146,27.493505823793882,36.50857668706854,14.187080298874491,23.359669034764906,15.741338292909525,33.90418675671034,9.874497785785065,28.452868545334955,11.850907108807025,23.186703248143882,9.458053532582994,21.774074403142606,54.8893147774403,16.517780380755678,16.078691005391093,15.396595664522563,100,38.58386121991511,33.75726053359708,27.9745219381242,61.57329602668753,26.359991842928146,29.72081774296733,18.639328984156567,21.756975824657506,25.709439373967793,36.962781015940244,13.179995921464073,24.62226433107718,13.979496738117428,33.408104993354925,8.841410047069095,28.93601993711095,11.222362142397293,22.84743834507225,8.387698042870456,22.541261178840305,54.99391795687578,16.514487555143845,15.843429636533084,15.17131462823831,100,38.4905941697368,32.751794261451344,27.953321640708268,60.68830018730973,26.296273008053085,29.648974933250223,18.051773743908143,21.078066286267447,25.64729309061681,37.39714645057412,12.508017894267113,24.562746027562113,14.522591439023156,33.701318260304674,7.943476892262486,27.968778275365043,11.34860135341549,23.703140171033766,6.507995537374487,20.53804577386995,53.124003819864825,16.23675083355613,15.832452924810712,15.134641684733827,100,37.84518267334008,32.94998980366018,28.95102435602808,61.854775418621124,25.041992250781735,28.405872607881026,18.639328984156567,21.756975824657506,25.709439373967793,36.72704658944647,12.538326232128341,23.815344527829705,14.557781315762636,32.552188623621575,7.962724832541966,26.89817276730999,10.868503065881267,22.84743834507225,7.513753726280101,20.587811774813158,54.254537102806644,16.514487555143845,14.940558752918356,14.557781315762636,100,38.020463852483154,33.26434066723269,26.632381302231614,59.806190302745655,25.334032921542338,28.69042033577612,19.653718944836715,22.737475256019746,25.400526560637953,35.92176915347221,14.34521016788806,25.06629454303643,13.775369639085318,31.719930276738992,10.749104518982117,29.401801071874594,11.209987708452296,22.34461394176957,9.183579759390211,22.212116121678438,54.253119617015095,16.273344794443336,15.61208559096336,14.949784733308578,100,38.22645675521659,32.183487776209496,26.108154719689825,58.22480425776964,23.029375761865793,29.56650977026141,18.542555164101614,24.94645660499483,21.644015445816343,36.26480106732421,11.800409847355699,26.950568985256137,11.164096587050155,32.88364148149119,7.921383038492055,30.58116540417327,8.547695584362033,22.55799195363701,7.417022065640645,23.25224588166967,51.82801727933872,15.84276607698411,15.788416805049513,14.482198546090588,N
Read 4,100,62.16143525496153,58.73461309836831,42.33908061410862,99.87397346555153,30.557229075764212,38.391583755984726,25.900384408840182,33.34977231411993,36.16901989874881,53.92579995782335,11.63790009756739,28.478955245338245,20.89490704020052,53.256811688283236,10.177048407344797,42.937014268353835,17.94076041852044,35.36714396900253,6.311537490532694,30.347930523027788,88.79326127275422,24.864574101984612,29.36052347794246,31.55768745266347,100,63.7026985582663,57.77808454363941,42.23746607072394,98.22897969293963,24.74941220146021,35.97188925565804,25.390774073361204,36.078157993102955,31.62215651325488,51.336390329641226,9.66495443126674,29.930421043058583,18.848590782982075,53.340581765257525,9.424295391491038,44.54894196262838,15.847356112938616,34.6491770820443,4.461763736497944,30.134378571676574,89.62055715134218,21.646894795861773,32.174235861898275,32.67016157021181,100,61.55536126122565,58.590208226289825,40.945848385397994,98.0433577556379,25.769410160110382,36.9120576505835,24.748737341529164,35.37742924521227,32.59601202601325,50.327055347993486,10.606601717798211,28.858490951537988,17.89727632909544,52.5594901040716,10.077822185373188,45.00000000000001,16.81703005884214,33.75,5.5901699437494745,29.261749776799064,87.7674484077098,20.804146221366548,33.00094695611021,33.77314021526574,100,60.45357855731792,59.1745569764321,39.52146406387711,97.83099995485102,24.251196455369964,35.57379826689906,24.995568581269197,35.73026561819191,32.26090730761429,51.15717608724861,9.860181386070767,29.282700428590335,18.767919135612306,53.08369155820891,11.29184687539346,45.46633784968844,17.85397755804943,34.086605226612804,5.64592343769673,28.370414157611705,87.92064308284384,21.461936624163616,32.18671577826528,34.10997623054235,100,63.44278408783886,61.65156461739448,41.10552984680189,101.04958284528512,25.76655501159495,38.67129868539973,24.61346711484514,36.84707458406362,34.68928631238408,52.20510071980111,10.38683038945961,26.27683336043692,19.021931280898478,54.24762502300257,8.642365282787129,45.10987219791703,15.726044338744783,36.073177016232925,3.864983251739243,33.49652151507343,88.8479239864296,22.938023466587033,31.16049116837883,31.452088677489566,100,62.786317169633364,60.406392900809884,41.21390486572711,100.60519487589636,25.246149962130776,39.51647523983471,21.49632209786216,34.6617778786821,32.256834989095275,52.36674706561864,8.467816122821723,26.98505216666492,20.354096814689594,53.15199008186645,7.360454297961753,41.73258079983979,16.458476155522973,35.34460994698309,4.551314409825788,32.355479974694006,88.79326127275422,22.08136289388526,28.812704394126047,31.17669536790828,N
Read 5,100,41.1694646214555,35.36721239042622,27.424404807041803,61.94635403840276,16.54848879458335,28.83116754628054,24.566242505243654,36.8184498566539,16.54848879458335,37.04199112241327,20.316776605804364,41.50689667086718,4.589724990793194,36.163153901220134,19.399321107949056,54.7293074950233,6.036369123971931,23.63307894569656,12.096294832778542,34.70912246283861,60.292911041946674,13.769174972379584,19.574619740546062,23.146248623221865,100,41.38179102223357,36.294231669337584,27.5658427688832,63.02338236038599,17.19497011566877,28.469206490896415,24.76272691287753,35.93585966016575,16.633835570315746,38.11101866181605,20.421557857923794,42.39795179180489,4.796780675264891,36.34966087621315,18.593326768496418,54.81778081029246,6.825938566552902,24.704584717333834,12.915727239989689,36.40500568828214,60.603864242618066,13.672928613818694,18.32847322502021,21.411595318154124,100,40.25439365859871,33.91836143344391,29.821165341429662,62.99142902645771,17.16148426087943,28.469206490896415,25.25722533992676,36.468154054368775,16.633835570315746,37.23303059122815,20.421557857923794,41.720963335533014,4.61339592741617,36.34966087621315,18.593326768496418,54.08356916498163,6.114719566400114,23.754963615268604,11.401817503506187,33.37125521425863,60.304137677312774,14.588838878779937,18.32847322502021,23.52379585782454,100,41.0566092062256,35.43759367595383,30.052429028101848,64.74172288607284,16.70351271855393,29.160989671099234,24.796375622391025,37.19456343358653,16.70351271855393,38.02738075497312,21.161376983168022,43.25810151153976,5.385428645746745,36.501925259167585,18.67121199106057,54.12288805617629,6.896713738109229,24.584938905664853,11.525320601996615,34.306490874501776,63.50696943315452,15.308264464769062,17.400852488645643,22.64443068898478,100,40.311512372903486,33.91836143344391,28.22570203402108,61.50830890539371,16.2312738407529,27.969797367593134,23.694348656523793,35.46050732669234,16.633835570315746,38.11101866181605,19.777633387038758,42.06423852517876,5.521509206887007,36.055712776654424,18.593326768496418,54.459834876044724,6.114719566400114,25.42746244101663,12.915727239989689,37.929464543192985,58.714045454567795,15.187701474782546,18.32847322502021,21.073104269169217,100,40.10467747956934,34.36292925899253,28.413446591357026,61.872783520712304,16.006340779896195,29.388579331699162,25.127632695007495,38.41521787175087,16.006340779896195,38.31133260329316,20.96497998860606,43.86762802006681,4.772168807316652,35.17350643871325,18.497926012421736,53.62057799574397,6.083345467666603,23.63307894569656,12.166690935333206,33.9629591335604,59.91400447024921,13.602773996317776,16.956315592125733,22.699175969955974,N
Read 6,100,45.53211510660945,46.75993116528942,36.81704788420809,82.86115355333168,24.16310689718057,32.070120590968486,16.91130334105517,24.51781367381248,29.328057788267405,41.09711291263761,7.911669546918667,19.982738480855332,17.414351354913993,41.67083133208307,8.310824849366298,33.30816443357864,13.016792111096683,25.992096412210273,6.9688384921040605,23.22946164034687,67.84434600978888,16.91130334105517,21.840635821347018,23.06628226799763,100,48.08346504840807,49.25580897547543,37.59472230607646,86.40040451879176,24.88598388685854,31.693069894785506,20.103673042505203,26.616998725978416,31.693069894785506,41.7875444760942,11.22506557019952,21.914251245357367,18.276335165983657,42.64633060533786,9.872857760725486,34.90582336149612,14.215443535112623,27.278665510677722,6.895502965914478,24.379284534450388,72.98328814295492,16.960694707919803,23.48523683878981,24.20802803224435,100,47.70750761061135,49.24970329750475,36.51283651845099,84.86027112098543,24.38613720195156,31.54876722272095,18.193788852485476,25.21458060086741,30.593634750590507,41.23986979833074,10.52228397627789,21.606568820680224,19.26042348004268,41.789759007709286,10.737046603761636,34.25474261085769,15.774383611360475,26.730760690591467,6.757003547368334,21.99920970296368,70.48043804474635,16.688567683561228,23.43131645241593,25.032851525341844,100,47.21817397010914,48.74455142906253,36.13832608783982,83.98986334909839,24.663008966248498,33.18675018816795,17.213514429628535,25.597374298213396,29.795924296511306,42.46819420116993,9.457832198370687,22.60501039064391,19.062870230855392,43.4700323381505,8.525174736489953,33.903393342246794,13.787041144554614,27.513189872597415,5.694369046351384,23.64458049592672,72.06750221587707,16.517393837171735,21.799226105623667,24.112835467889138,100,48.06698291015309,48.486999481400254,36.81944322171598,84.79205852877494,24.569886352020085,32.73822675079774,18.330878757724868,26.27891413505641,30.824157294459326,42.58351010732505,11.082486696433802,23.011365259883693,18.044192265059433,42.10464416707847,9.74745440057849,34.462455529778524,14.44177380516549,26.932176540789673,7.220886902582745,23.111852049067693,70.52029861855415,17.019793649991275,21.795970647272966,23.705829435463123,100,49.19142414704673,50.22689603226454,37.83863185233567,87.4702947589454,24.829135669560166,32.121881997679544,19.367446769025193,26.556196270496475,31.62067193244564,41.98903310261892,12.161796897094476,23.075387181112184,18.588064277858223,43.72838299193253,9.850304729835111,35.9133558560191,12.402647939727382,27.194604590449263,7.297078138256685,26.28749260000995,74.1371008871478,17.707843572391724,23.431588413508123,23.27959812795899,N
Read 7,100,34.74310354051003,28.691308712806226,25.86199618104739,54.29962462514993,22.647548151882308,27.16074292255115,22.682471145875375,27.479439878079184,14.807221509869432,34.226662031443674,22.734755051922846,44.466188610675445,7.65331429452191,32.38483046832971,19.164287569873682,53.94864034090938,9.457425100297732,23.739615772466788,13.609482687525228,42.713892826184356,53.388196400987546,21.38935103233329,17.479433011021797,15.563038865245463,100,34.879529864613275,28.691308712806226,26.705215337728884,55.22467812398041,23.35303336015425,27.16074292255115,22.682471145875375,27.465033879774257,14.807221509869432,33.02617650048147,21.51848153460467,42.201214326090465,8.202441687982995,31.24030225281039,17.524658010313356,52.01393587986998,10.143909475970977,22.873594541249897,11.869807886233394,41.85278820761238,56.04982206405693,20.287818951941954,18.577057845036567,14.807221509869432,100,35.67351107626319,28.19853899267969,27.163662977943257,54.9785465086441,25.702253282649252,28.443748294929183,23.75393419171147,26.696261589293584,16.588552888069373,36.288720943166766,20.455136867697895,41.874974479165616,8.014837666116302,33.398767034258675,16.796567946818172,52.65581347598915,9.317059536010435,25.08695055965016,12.430507839491597,43.94848193448525,53.1399207364174,21.020244428730972,19.207610293569648,15.866380663306066,100,35.926576002315315,31.790349448416826,28.760630917775035,59.838100469924136,23.685524576112943,28.874309743970713,25.160975157389764,30.769230769230766,14.84273254919161,34.00596240372115,22.678668029215693,43.7863182023636,6.070772789592191,32.33949028996496,18.324395231960715,51.82921651864744,9.049773755656108,23.072486486845186,13.604793102599919,41.66828754107272,58.934805991547286,18.302034765752655,17.5714822071924,14.592321716377468,100,34.58923682863886,28.564243572359786,26.704718213784474,54.922997335438424,22.582017332120394,27.79867994061154,23.24960982888696,28.564243572359786,14.00477263139229,34.075082483031615,21.78631333259317,43.975878077259196,7.141060893089946,32.24140783560903,18.49478566680346,52.46091371111018,8.768374611702093,22.582017332120394,13.549210399272239,41.6391825457685,54.91585473870683,19.344844701365417,17.402021881655003,16.712101208249074,100,36.38280239674746,30.272321443049318,29.46193220646282,59.38944989272797,23.91056518966271,27.8902567558446,25.400034303778266,29.82793297517725,16.845504215773595,34.727896599211064,22.563656194460936,41.91510961795893,5.777960278034679,32.079389486715584,18.498498749604046,50.74253271331561,8.422752107886797,24.377241118447532,13.82490951070853,42.94777735626954,59.494756642298334,20.28467322416821,17.73843215690444,13.703636031427006,N
Read 8,100,48.44745869520639,44.89709024358344,34.29186308378088,78.13243601473857,29.10925674364448,29.95410254304896,20.76550995442722,21.804972883994015,33.6404731677852,39.06621800736929,14.811117332111147,22.338180541861707,20.190813163870377,39.971530999507046,12.273540307271023,35.14607078648328,17.838905793567083,25.246675395415654,7.822877690955316,23.964853551772695,65.98811618831476,16.945710456600988,23.44856583270827,24.257713953037065,100,49.50936135483499,45.9612289862533,32.99515249140547,78.10969886195517,28.330743751111136,29.9453856638532,19.99760221950558,21.79862746555847,32.288906736042755,39.99520443901116,12.647594151135218,22.3316799558082,20.18493747859619,41.891207453078245,10.127370752653556,35.25614869606411,15.909612442386972,27.160733339800178,5.900438966241362,26.028534028516326,65.33830291608851,17.35235601901088,23.441742115810598,23.957879591092183,100,49.32022918365051,45.42984351440398,32.679738562091494,76.71307166180283,26.929884133260092,29.232807239034116,20.000626726917353,22.3562155894137,31.484696951478657,39.87402636042203,12.895432396192557,23.068050749711645,18.957211575659382,40.55175530513069,11.889001227271224,35.67995231309224,16.368114538568246,25.951557093425606,6.728181468665898,22.785985373182807,64.4484990935802,15.910174314923921,24.10599039597165,25.229536233000168,100,48.69240717193939,44.58981999281688,32.53007481050314,75.54831017177895,24.346203585969693,31.246217286187157,19.356872196870935,25.90477399574713,28.521163127982966,40.87203589138578,10.204390402256573,23.754110022668247,15.47284855363842,40.02491214263477,8.697683450276307,35.898674698944234,12.30038189660877,26.431935332305468,3.773584905660377,25.401720788370298,63.151199891243614,14.916404057398013,21.55407482791672,23.584905660377355,100,51.531621465501225,47.64038899116941,32.859460961684576,78.38502480199531,26.671779044632366,32.69594306353246,19.743336623889437,26.061952186464133,29.61500493583415,43.120098060891515,9.871668311944719,25.666337611056264,16.190739848822037,42.73417733842716,8.434357102978804,37.564259803436215,13.244232838103393,26.671779044632366,4.070193115121086,26.580280390594783,66.1917260187175,17.268366914645508,24.039083241630642,24.679170779861792,100,51.85768271099745,48.48760579529249,32.9113621102365,79.49378255742984,27.146098836745292,33.2773940755133,19.943166122052855,26.064747857073943,29.34408091331304,44.173511377435155,9.263080937700076,26.142091492530266,17.050701043381032,43.771769136525606,7.6517362663155915,38.2322869294493,13.06138852607254,28.20389600646679,3.622577389193197,27.33139859084787,67.76476933152718,16.721909953876455,24.46658426984009,25.928841355498726,N
Read 9,100,41.04751807094501,36.322048872890605,29.024978378842572,65.0080253438096,13.392334573178527,30.132752789651686,25.616332480515776,43.01693684427698,11.296801059147962,34.905647932421765,24.533094648756443,53.15729141558812,8.561189021536713,34.357879097409224,21.438195525332336,60.6434835815979,8.7603130579038,24.585759671044155,15.813340482799148,44.61105822068646,71.59794419612307,13.959788632531255,16.45468023648375,17.071943830300153,100,39.83488386641085,34.474303251417055,30.185980407486003,64.23818705645206,11.791991327127882,29.347889553383293,24.94910775822325,43.14682261689993,10.111549143075834,34.37926708645783,23.11102892137223,51.77271151799479,7.7799812490210964,33.462964637786015,20.87979810186343,59.25057196042036,9.311413711664105,24.132520691193516,15.401452804491637,43.44908076137945,69.69197738738711,13.566066745048385,16.895669433182064,17.466951176474602,100,38.868922732484165,35.09811241524199,28.26795596033472,62.693433840686104,12.911553358868357,30.293508174912496,24.696713024411316,42.71033282677372,10.009256837510248,34.44115319905343,23.652363139879863,52.39346423777808,8.952551477170994,32.58777927162273,21.279971931969047,59.344005082100445,9.217215882709938,23.888386865042673,15.324299703333653,42.981571653206096,68.13356343935702,13.458635969895171,15.634958994246173,18.016662307518448,100,39.904951003846335,35.11943598261544,29.021421698248055,63.44575314493498,14.532526011803213,29.825332241889615,26.029048269313044,42.08916596270334,11.368857423578106,36.17402326131328,23.48700797643499,52.614969784418044,8.473846008541255,34.31646085035748,20.07383241529554,59.1243457208654,9.941777413963207,25.421538025623768,14.82032674319586,45.046142481039865,68.98894854704119,14.734576784817461,15.86643060811771,16.872757123792113,100,41.17207187631024,35.24008230815759,28.382298254106864,62.94702525846866,12.059692462920214,29.676537562641215,24.186290421705543,43.16478994532304,10.82390523936386,34.58046572884736,22.525778132389515,52.01846758195159,10.049743719100178,32.97786306129284,20.49753573211933,61.18305105704856,10.248767866059666,24.682301515048955,14.493946513795143,44.97976091037053,68.4622886268031,12.616331548420852,16.204724833546017,17.29023286442368,100,42.15934402537023,36.44248578835059,30.890099648453308,66.76885311659376,15.08000791687353,30.948937986815363,25.662611439339454,42.36381938867489,12.064006333498826,37.11030321095607,24.371830880649764,53.384079996782184,8.092781472807411,35.288507391511686,22.018877216242625,61.35172927448886,9.39328354963863,26.379240221152752,15.378650926654363,44.83608688046985,72.54095133927103,15.378650926654363,17.58616014743517,18.78656709927726,N
Read 10,100,53.468667922633365,56.337980389155206,42.246864875159076,98.41142921291566,35.62624285708951,34.89003160397458,24.598309219762157,23.671134617278742,44.976548873351916,44.010929096597614,17.44501580198729,17.44501580198729,27.55052218621087,47.30444080723492,14.410395523506834,36.150002906358836,21.944366426086066,29.43537597002944,9.740580531550066,23.93436422263623,84.24972700792705,18.92177632289397,28.72746929834612,27.841386201076816,100,53.468667922633365,54.92206516396519,42.246864875159076,96.9267876707243,36.39676346999049,34.19034610430998,24.598309219762157,21.944366426086066,44.976548873351916,45.274081658251625,17.44501580198729,18.779326796385067,27.55052218621087,47.13383717904345,14.410395523506834,36.22420757474146,21.944366426086066,29.43537597002944,9.460888161446984,24.561894234259864,82.70569687195929,19.016149857575456,26.926159750465757,27.841386201076816,100,50.81468390456667,50.48527516576526,40.827265197785565,91.18804672334211,33.56492362459183,32.212107246138,22.301532853843604,20.674674734472113,40.651747123653344,41.060122210771034,18.180013994524085,19.075691353109235,27.065310164608455,44.40669344209891,14.372563029108003,34.24449188757374,22.725017493155107,26.501696762421076,10.162936780913336,21.68744552386897,77.92038048922522,18.180013994524085,24.247301224847277,27.988911270861614,100,49.860687008935855,50.35473981159839,38.67626997512725,88.87839261965573,33.634321944502645,32.36120728472049,22.58585119376013,21.073800262230833,41.17524819689272,41.06578788397895,17.665611344752516,18.414130791735555,25.222023863270454,41.93347077075867,15.151049579682727,34.49320882001157,21.073800262230833,25.751832486071333,8.661278554465305,21.073800262230833,77.3525399502545,18.373346398824104,24.158602306854505,27.93178405436398,100,48.27811310883714,51.145649435638234,38.27773888676675,89.32203670645484,33.96514905108958,30.978136353935355,24.062835787706643,20.856649938277677,41.217117226330465,39.13204604574852,18.504470266061034,17.014994360065707,26.02850109538597,40.16981822228365,16.488629541441927,32.93266506778064,21.854474939168323,25.572824717819117,10.977555022593549,22.54949113557798,77.98192283222399,18.021661713321016,24.962129084706028,25.22566619794498,100,49.924258169412056,49.93897423698868,39.26326764626415,89.16559848919042,34.30954466743825,31.448955682077454,23.160350557089103,19.882676041770797,41.217117226330465,40.64263453567757,16.84136742568773,17.014994360065707,25.486478411478533,42.584963196145715,14.994928933025799,34.13778116214989,21.854474939168323,25.486478411478533,10.977555022593549,21.854474939168323,76.5554777735335,17.229567709482236,25.572824717819117,26.225369927001985,N
