,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,36.92144627,30.2205889,23.69798319,53.05752425,50.85455545,27.7187816,21.43395261,80.83304169,66.84459854,31.90361041,25.06252731,87.64092795,59.73593519,30.27296431,22.69054607,81.95702694,47.17820677,20.29504139,15.36372063,64.49865052,13.46809002,9.585555014,5.33997864,10.37905286,100,36.2231118,28.86305288,24.48223454,52.6989393,50.34820558,26.19802405,21.31181007,79.61481715,66.17903861,30.34483277,24.57718862,87.25015416,58.32154637,29.95858666,22.30855388,81.63704166,45.85289217,21.18391978,14.97929333,67.01840469,14.53204908,8.985848116,5.359734365,8.722790498,100,36.57810812,29.74148523,24.05102955,53.02552638,50.92210512,26.69659395,21.09414834,79.55155088,65.78487424,30.95488666,24.22583286,87.94270227,58.78890845,29.7801524,22.17568346,82.36131162,45.57979095,19.85772803,15.79027448,64.63190265,13.59742025,7.931492632,5.255321013,9.792712523,100,34.4095654,29.12896605,23.56850715,52.16039482,49.40754512,26.89303428,19.93505981,77.62229727,63.18196401,30.8929174,23.24999917,84.30798991,58.01425449,29.73694043,21.1685531,79.27604314,44.90943312,19.69044858,14.78045313,62.57722453,15.75709144,7.960922595,6.105748909,9.654036687,100,35.34682413,28.57351597,22.62931223,50.75832703,50.71333515,27.81789728,21.22387484,81.9447585,66.38624421,31.61997376,24.33064494,88.06301092,59.41865445,29.67088512,22.23926864,81.04844616,45.36777259,20.58692205,15.91790613,63.29406816,15.72553766,9.394914179,7.03267424,10.20996154,100,34.22045315,28.12939348,23.43897649,51.0642121,49.99151422,26.1738955,20.77009295,78.35245853,64.49685781,30.78308,23.3601898,84.0773896,57.63786756,29.99441683,21.24399635,78.37127968,44.65435809,19.76962548,13.84672864,61.88871703,15.67049171,10.05126656,6.251704499,8.841245291,O
Read 2,100,37.81205456,28.29787793,20.93097378,47.86877762,36.03977152,21.761297,15.78124259,47.82128403,42.60444842,27.10014378,20.82212763,54.55131853,42.51902588,28.0397391,21.50922714,56.5395176,33.36829059,22.31804731,16.4025651,57.21072815,20.20175431,4.861301853,5.799182506,5.799182506,100,37.79463355,29.37677218,18.5292439,46.2292246,35.86104796,20.21406721,15.24071942,47.95733963,42.36338116,25.59881921,20.10894915,54.44750738,41.68762148,26.33339406,20.38112846,56.35261485,33.71666223,21.88539605,14.98832575,59.96037254,18.9812431,3.319723115,5.82317956,4.603627659,100,37.9685285,29.60492791,17.97072859,45.80746359,36.14927973,21.00331071,15.58982528,47.44092692,41.93721352,26.52028438,18.80807237,54.10482621,41.93721352,26.09314779,20.8042227,56.92355621,33.65726986,22.56968685,14.85158343,60.24112406,15.58982528,2.580446241,4.913023271,3.289436434,100,38.68980179,29.07295193,19.29389624,46.34316669,36.40365061,21.5458389,15.99251988,48.67535283,43.67716196,27.20531933,19.29389624,56.4335552,44.34387549,26.60303304,21.11467323,57.46403906,34.52665746,22.50035616,15.34976085,59.89705194,15.68839926,1.323550363,7.127536833,3.374404563,100,37.29684423,29.38488881,18.14120059,45.5861804,35.82363297,20.69644967,15.73771182,47.89095598,42.33503384,26.77185827,20.11450513,55.63359112,43.00098556,26.17916818,21.67729286,56.78795362,34.75402885,21.55958724,16.90694396,58.13856733,16.98203068,2.762939768,6.704835043,3.683919691,100,37.74657891,29.62925628,16.78668399,44.55395507,36.15593476,21.54934938,17.05765312,47.62017827,41.97167617,27.11695107,19.51931914,53.73973327,42.63191209,26.54207789,21.31595604,55.54019841,33.68492832,22.23483503,15.97229336,57.58892269,14.43698713,2.041698299,5.554019841,3.292139587,O
Read 3,100,40.01676646,33.07183886,29.21549735,61.36916289,48.70111297,29.21549735,23.86490639,76.24416135,64.68877762,34.43688723,25.66447028,86.11634246,60.47647296,33.43527657,24.88748369,83.80478827,46.72216767,24.48974784,17.3821726,74.114127,15.97836775,5.496725608,8.863203725,7.87011337,100,41.78375359,33.7606626,28.19599129,60.91461026,49.71546488,29.82400081,26.10872277,79.05638144,65.06344875,34.45302439,26.58672535,87.86520151,60.74639115,33.40910152,25.86640919,85.46743471,47.6953019,24.6510448,17.74421032,75.79291498,14.02802997,4.523903733,9.047807467,9.047807467,100,41.78375359,33.7606626,28.66664908,61.59567231,49.810372,30.98893108,24.36196718,80.31093102,67.01816994,35.15414235,26.19901257,89.16355335,62.73525721,34.13167003,24.23238132,86.720006,47.6953019,25.86640919,16.8803313,75.79291498,15.16065994,5.611211989,8.03403292,8.416817983,100,42.6926926,34.66913215,27.81945912,61.01413143,50.72373023,31.51925651,25.44735042,80.43232374,68.89264835,35.94407351,26.24181603,90.56487734,62.83775292,34.18743373,24.27197174,86.86168755,48.51139642,25.90866926,16.90791008,76.07262009,14.05094871,5.620379483,8.047158775,9.062589608,100,40.85023989,34.61258275,27.77408234,60.91461026,50.6409939,30.98893108,24.36196718,80.3403292,67.01816994,35.15414235,25.40584282,90.37361659,61.99056124,33.40910152,24.7148251,87.97263811,47.6953019,25.86640919,16.8803313,75.79291498,14.63225068,6.273525721,9.047807467,9.555549694,100,41.85201912,32.89242762,29.41988164,61.01413143,49.79668909,31.03956022,25.13510117,80.47158775,67.12766299,35.21157654,26.63016225,90.56487734,61.83694659,35.21157654,24.27197174,86.86168755,47.77322561,25.90866926,16.90791008,75.91674405,14.05094871,6.767833112,8.047158775,8.430569225,O
Read 4,100,43.5044027,34.38061259,22.40566038,54.8190533,44.499911,27.95582451,21.25914667,55.62488875,51.77947736,32.38096749,21.68016074,61.72760532,49.14779713,29.57532124,21.68016074,61.07078951,41.27358491,23.61436839,15.8651227,64.60068832,12.02598942,4.251829334,6.012994709,5.896226415,100,44.18799642,33.35929295,20.45952358,51.52170922,43.01724529,26.34863034,21.8179032,52.07605319,49.60347582,30.41778585,21.43432666,58.01144183,48.0615621,27.90124048,21.2249144,60.04375177,40.44851737,23.83079881,14.15495265,66.20011443,9.717945399,5.64844103,5.052119244,9.037505648,100,44.17232362,33.5474711,19.75446367,51.22294523,43.38129516,26.91726207,22.28875697,52.04834291,50.10569728,30.09441387,22.99464379,56.84297914,49.55778547,29.42307856,22.28875697,58.63074805,40.39238315,23.19648153,15.04720694,65.61970676,8.789120722,5.1611494,4.758344634,9.304394401,100,44.19130232,34.85146479,20.37374779,52.38366817,44.53667476,27.52721301,21.27670999,54.40543171,51.82225516,31.77838314,23.51570736,60.47977328,50.21137115,28.05349776,21.69807189,60.422168,41.57657253,23.63387749,14.40641522,64.95497654,8.988284086,4.255341999,7.917153231,7.081317125,100,43.04816102,32.94216781,19.67951571,50.21919905,42.67811265,25.83606008,21.13678583,49.6500871,48.355348,29.9802364,22.90740267,55.37638344,47.81934777,28.83406807,22.64625845,58.40830442,40.23913543,23.02251597,14.9901182,64.91420655,8.369866509,3.635637687,4.145264745,8.047827087,100,41.44072538,29.97439944,18.79776276,46.61758242,38.81088743,24.55598482,20.63287308,47.53977778,45.67677211,29.56932137,20.63287308,55.30278195,46.18875652,28.14848587,20.63287308,58.36890958,38.24747368,22.07308505,14.73359089,64.45653675,4.527899874,3.106113688,4.911196964,6.589062157,O
Read 5,100,34.86903316,29.27063461,25.16003882,54.33515931,51.28682703,30.86771146,23.56981649,79.83691256,63.80456116,35.73470827,22.50382285,87.28206675,60.73732492,32.98715713,21.51197271,79.04693873,48.39630097,21.8142635,14.84817217,62.05283078,15.70549141,2.954896704,12.58001941,15.70549141,100,36.07337025,30.13320225,26.01287723,55.96735569,52.69950527,32.71005878,25.10780282,83.17587137,65.60550656,37.4113296,24.8298481,91.57553434,61.31293962,35.47520435,23.16698132,83.70956645,49.35596432,23.80720975,15.87956879,66.9407026,17.00514982,2.40489135,12.95073626,17.20800172,100,34.70245406,28.82198483,25.90202307,54.55994489,49.38835052,32.28547439,24.77439477,81.93522375,61.73061697,35.93097253,24.21274004,91.41556039,59.67351101,34.48833374,23.50305454,82.27676968,46.00489615,23.50305454,16.61916924,66.22947681,17.02802732,3.709033305,15.56706712,15.43051126,100,33.31783714,28.82198483,25.79968358,54.53084366,49.37763605,31.77336737,23.86053596,80.34409707,62.78446464,35.15689228,23.45798632,89.82743132,58.67202646,34.19559745,22.08714181,79.31676382,46.4170936,22.77126183,15.70243547,63.28809141,18.22862375,3.709033305,15.46476327,16.45921202,100,35.04076438,29.27063461,25.26825454,54.36528137,49.14598197,32.4534571,24.02841621,82.95448195,61.64696403,35.97821847,24.23195467,92.56187394,58.50396991,34.36457209,23.12572464,82.94790322,45.51404286,23.86890861,16.87786713,65.78379228,21.96384877,4.672101917,17.00670769,17.79083406,100,35.78302228,29.91159288,23.79836384,53.6126322,51.54107824,31.8221813,23.25639454,78.93697441,63.94418068,34.88078408,23.79836384,89.22414188,58.76587079,34.26609656,21.67178233,79.53374576,48.12954347,23.79836384,15.73480829,64.15984463,16.6214983,4.373405512,12.36985878,16.52532681,O
Read 6,100,40.91727788,33.74125173,26.12200705,57.86576932,53.88129798,32.567519,23.22437307,90.44927385,65.93596532,36.74559474,27.0412367,97.94309013,61.9008049,37.01551592,27.20805653,92.51678325,51.19412778,27.70248928,21.56763022,79.64891761,24.25367466,11.4946909,13.25017867,9.794309013,100,43.45474658,37.7674898,22.63147587,56.79604676,54.29062753,34.75601279,25.17832653,92.55285404,70.91589459,38.72761929,27.31389226,99.01011436,65.35609216,38.2505672,28.35545399,95.60367717,51.45768253,28.62680423,22.28725086,80.35782576,21.1755126,11.20847734,11.20847734,10.1211037,100,42.82954127,37.22410991,23.25371711,57.2556383,53.45686271,33.16996009,25.26594809,93.5382196,69.89559191,38.17042553,26.60521765,98.66668143,64.40120581,36.40813992,27.9474898,94.22817894,50.71733495,28.21493599,23.29405317,81.12228071,23.29405317,11.7872366,12.25578502,8.334834928,100,42.21066741,36.56174577,24.90086282,58.5068981,52.82270686,33.76097232,23.31218974,89.62886431,66.22660276,38.12449484,25.97621075,96.42171521,62.12018906,35.88205336,27.54365706,91.84970195,49.98448487,27.17705847,21.60702228,78.05723709,22.63748091,10.88758643,14.544672,9.831343537,100,42.98267219,38.60194953,24.32866613,58.74590034,53.70083661,34.37843784,25.6896888,95.04379096,70.14549365,37.02671072,28.04741207,99.0194501,63.27127101,36.53831203,27.81043512,93.67099211,49.52404594,27.12195121,23.37733773,79.48485158,20.94547059,11.82938018,11.74918007,10.01115221,100,41.47093985,37.09779767,26.17836829,59.82154002,53.45686271,35.09522739,23.6539826,93.5382196,68.52562209,37.42532278,26.35706229,98.93273229,63.04585952,36.89479862,27.9474898,93.33727797,50.69882159,28.21493599,21.92381474,79.48563997,19.95097257,9.191838767,13.49528337,8.666148699,O
Read 7,100,45.4523272,38.55371902,33.60041354,71.65115676,42.72492958,26.13562731,21.3917619,60.75295567,53.23683103,31.04267808,20.83809188,69.83332172,52.27125463,33.62525674,23.29769498,72.76137638,42.09485003,28.6068023,18.81651561,72.88750919,13.17916649,7.535476732,8.173372086,7.860897558,100,45.81468306,37.54333898,32.98583122,70.28862209,41.8549037,25.85709692,20.48110348,60.22806045,52.22446735,29.2682464,21.55172414,69.31002501,49.84686423,31.79497009,22.17654118,70.00221953,40.58775505,26.86310865,19.68074885,69.49528435,11.40973631,6.338742394,9.141864289,9.654884769,100,45.94866116,37.93117327,33.05785124,70.49417051,42.03502926,27.18062089,18.90154958,62.19745612,53.77822246,30.62071094,21.61474889,72.28312983,51.42720513,31.88794966,23.98978037,72.29431138,41.4151239,26.94166573,19.44953406,72.48413383,10.25080451,5.686123274,9.168598285,9.256338066,100,46.14674118,39.05406136,32.98583122,71.71468369,42.00821888,27.10136705,20.48110348,63.15881697,52.53131175,29.2682464,21.55172414,71.27633264,51.71419385,31.79497009,22.85466072,73.13491431,41.70102486,27.68804471,19.68074885,72.80453355,11.40973631,6.338742394,7.392180394,8.50431533,100,44.93735638,37.40763232,32.3302661,69.11063532,42.44229835,26.37801969,18.93999778,60.98084972,51.52536522,29.94676593,21.13902014,70.88879788,50.72389469,31.11165383,22.41700619,71.05219909,39.32203009,27.15783346,18.48553687,67.94865005,9.947774186,6.696300432,10.02518994,10.02518994,100,45.9320524,38.66737521,34.70437018,72.71020886,42.49428086,25.83515584,20.11886355,58.62084448,53.26053819,30.8750955,20.72559832,71.47269293,51.17231166,32.15937276,22.88495349,70.98561065,41.07081056,26.83883421,19.10805752,70.23689508,10.36279916,7.818460836,10.03888133,9.357467724,O
Read 8,100,40.48403097,31.38201569,26.58143095,57.08742832,41.98558149,25.8027258,19.79628179,54.24793012,49.25094934,32.49948586,23.18572446,63.7428892,47.33535679,30.39149864,21.35402053,65.45683458,38.86841808,24.04931665,15.26748418,65.95570835,14.68379609,0,5.397870797,10.24173974,100,36.19487997,29.47750904,26.59266967,54.68485878,39.12342309,24.52677007,18.06046867,52.38760901,46.85119572,31.13171932,22.94997484,61.06021934,46.43562407,30.41495303,22.08922786,64.41617887,37.23260999,23.83573607,13.53300949,62.5312396,14.62494004,1.156203029,3.65623501,12.29060679,100,39.79931898,31.56477588,24.29653998,54.4024144,41.6682223,25.84153447,19.68032632,55.59234241,47.50908307,31.43758352,22.19966799,61.77153826,46.41415839,30.40089319,21.24670786,64.81023873,39.3097223,24.13106786,14.61817941,65.4255396,10.96363456,1.634362143,4.16682223,11.440535,100,47.83731425,35.80248707,24.90050285,59.50502917,48.49539915,29.26784953,22.13938549,64.49292455,56.81999333,33.8260893,25.63482732,74.32799868,51.76488012,32.71063526,21.99926139,73.20659552,42.27804029,26.58239036,16.91304465,72.50624092,11.26011581,1.758534646,5.126965463,5.275603938,100,40.48403097,32.07080327,27.76101388,58.94563885,43.13233165,25.8027258,18.85395214,55.15345641,50.40582503,34.3518394,22.45150904,63.36465781,48.87979899,30.77259815,22.45150904,64.14160654,38.86841808,23.71379928,14.58424378,63.60561075,14.92977294,3.816871044,4.976590978,11.12799572,100,45.19061215,34.54819962,22.34969763,56.00374693,44.73025435,26.26650978,21.65991885,60.92471505,49.51777025,31.34421253,22.44211579,68.35351357,47.83101861,29.57753627,19.9348793,68.49467749,39.48722263,25.11166255,15.97729415,68.91643437,8.306199709,2.626650978,5.253301956,2.626650978,O
Read 9,100,38.22376632,31.19050358,26.75446813,57.5899883,47.32160524,27.02002767,21.12487461,69.89109774,59.66795531,30.84521061,21.74938958,76.82603132,56.691859,30.75828171,19.83939537,75.4013035,46.14709397,21.9739317,13.52651966,68.1256736,17.0314184,4.723665564,3.40628368,5.74658718,100,37.32114809,31.21284811,26.12268658,57.19773452,48.32833465,26.22022028,19.71917565,70.24972886,58.41210294,30.82884414,21.23579823,76.71663468,57.04878183,29.53198154,19.37090674,73.86883939,45.56439087,21.455038,11.9915137,66.51695001,18.16964819,6.456968914,3.325847501,6.522523579,100,37.51841306,30.86668579,26.22799633,56.77013303,47.36495842,26.3588101,20.01764943,70.84594008,58.72084644,30.41769189,21.34804235,76.24185753,56.13802251,28.96976883,19.49535983,74.25928114,45.80522639,21.18631242,11.61903198,67.71827904,17.04819762,6.556999084,3.343426628,7.418397626,100,37.51841306,30.61493698,27.53939615,57.93953766,46.44836716,27.08286696,19.82340349,68.60137885,58.56688678,30.99179334,21.32789318,76.56261666,56.49683313,29.51378053,20.42165759,75.80072447,44.94295555,22.40920989,12.91579032,66.92637454,17.90913197,5.640543889,2.622799633,6.220515516,100,36.5363445,31.04389783,25.9488727,56.73998567,46.39154818,26.79464563,20.51438511,69.20375107,59.28621806,30.09398067,21.12085217,76.01956876,56.73998567,29.37212953,20.18348624,73.72631414,44.46466355,21.33890523,12.30863107,66.15690414,16.53922603,5.504587156,4.587155963,7.396566742,100,36.83949593,30.49235245,26.61116756,56.66937148,48.37262799,27.44424331,20.08791423,71.56336314,60.72352724,31.57357192,21.63289689,78.15119682,58.1155651,29.96658282,19.73313287,75.90440905,46.41642186,21.85623633,10.95837605,68.62186818,16.05713916,7.51738395,2.101172691,7.575885875,O
Read 10,100,38.10369575,29.32546807,23.15489259,50.49678095,39.14478238,26.13529971,20.6325555,51.86902676,45.14907188,31.69768637,22.9221742,59.25119396,45.77412469,30.73588502,23.27037906,62.16560431,37.40787381,23.15489259,16.1088839,60.31838409,9.319664492,0,3.733614244,12.97500682,100,37.93478246,29.30447506,22.89031269,50.2623577,37.75223386,25.8349775,19.36937549,52.58742575,45.78062538,31.75860165,22.20686518,60.85967894,44.12563827,30.44293414,22.20686518,61.8556701,36.47795054,22.89031269,15.32584407,60.27181848,7.85131248,1.030927835,4.610449438,12.02258123,100,35.92657155,27.34198567,22.72195892,48.17912648,35.56549131,24.57755639,17.74641723,49.79168784,42.88374727,30.48470684,21.53197856,57.04976668,42.69068497,29.62580985,22.49359173,59.01588699,35.92657155,21.72295328,15.87287811,57.63500015,8.74131213,1.437062862,4.189722209,11.85032394,100,39.20385573,30.89708076,23.82343892,52.46568188,40.10554065,27.22551106,21.57304148,56.55746618,47.75396299,32.82105647,23.5840013,64.06689273,46.25675122,31.98024935,23.94225981,65.02533356,38.42891284,23.65608706,16.57399231,63.10288896,9.647757445,0,3.369143043,11.91171946,100,37.00579763,28.1244062,22.37550589,48.29504708,38.59972559,26.16705045,20.85499146,52.70955961,45.44336057,32.03941358,21.85536217,59.8899707,45.44336057,29.62313523,23.16929414,60.7436388,37.03539044,23.24011232,14.87614654,58.92178332,9.47810879,2.340452143,4.315580517,12.64710694,100,36.44489105,29.01065143,23.51528002,49.96097811,39.5867709,25.97347573,20.31045106,54.72546779,46.48656243,31.54905879,23.27893955,61.13972806,47.13626003,31.21426455,22.28375234,63.10688059,37.18092235,23.35009287,14.87236894,61.25719163,8.985175881,1.051635293,4.336003392,12.30907552,O
