,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,36.13757206748048,27.10910981713141,23.320138034694285,50.42585913365707,40.35525862302553,26.905023277282837,24.563306955669788,91.11242352738223,54.25209543865149,26.69937677222021,16.489827742538658,95.21821576436169,50.65850562432629,19.99469145253425,13.716245177882554,57.507106150873284,38.33807076724886,13.057476392394186,11.501421230174657,34.674236461477385,45.24054797071157,83.1016927518405,59.88598095695835,10.74150371722389,100,36.13757206748048,26.030392542972955,22.77810588184556,48.79639767083654,40.181883052749136,28.028774495108127,23.81902098491179,91.11242352738223,53.52247330917434,26.795541548371684,17.48485045381152,95.83367480672389,50.65850562432629,19.99469145253425,13.743008608556705,56.66387610685208,38.33807076724886,13.057476392394186,11.501421230174657,34.674236461477385,46.9308725012293,81.8542501303363,61.80044685029939,9.997345726267126,100,35.69222050846994,25.36924797508393,22.987411633716444,48.35035941592544,39.98157277635693,26.55234118484536,23.93942481726862,89.58481449006644,52.44332801896639,25.410487635968842,16.222314177414656,92.62283600578554,49.038451301960706,19.80661641094444,13.39395065743287,54.735865499738324,37.36432412899641,13.21028348303275,11.209297238698923,33.10487552203017,44.78266616511788,79.2000289157261,61.764256256249396,9.341081032249102,100,35.9940834297569,26.168367889323797,22.7278310781777,48.89589736285248,39.16130552346217,26.995562572317674,24.28681068384767,89.8299276846227,52.163058831274014,26.11496300123283,16.414807172185228,92.93507194561013,49.37183291066643,19.80661641094444,13.471898652015291,53.74491448266487,36.99822846601141,12.42047685463991,11.209297238698923,33.10487552203017,45.30953918608489,81.5364551675552,62.09676389359862,8.601913393756373,100,36.52816555627948,26.298223536155366,23.158386100979584,49.439985542185006,40.57482148212785,27.092666285688413,24.647179673984457,91.70535260770721,52.21921007347064,26.502458212799358,17.29360526909542,93.99717857836585,50.88039066873833,19.775994216874004,13.566220111921314,57.712518484794415,37.54721015005007,12.914656784575051,11.375621387992826,34.4309657524961,47.963831181044426,84.55538479868405,60.46225703241331,10.624015674191678,100,35.604395419071096,25.633161023588134,21.959223562952765,47.59067784756353,38.737327752918894,26.703296564303322,23.28760793984359,88.07374076636638,51.59831827698501,26.767164860663875,17.84052326026686,94.5369296278018,49.929942039646996,19.713818912192668,13.223140495867767,56.92889289022983,38.070389442251305,13.06726305854702,10.743801652892563,34.24520554562092,45.1151869882849,80.65370511574116,60.012748230188706,11.481358668966779,P
Read 2,100,37.17668031050995,24.93408075106496,21.449107285536734,46.33880778672718,34.397076567372075,20.537897310513447,18.581907090464547,72.90492738205529,50.487665522309264,32.788370883599434,21.648844617289637,101.81018345237536,51.67665452762017,20.792461247402738,10.93431773838528,62.59932716207436,38.94827922100709,14.104846065384798,13.121181286062336,36.514728024634664,45.92413450121818,95.87345473371126,67.11213091167829,23.51259712502945,100,37.52184466411517,25.458782608378176,21.862650045814146,47.291031187036566,35.78394467749175,21.236948452791935,19.310496040984365,75.96125590475594,51.14534467184616,34.46011260406102,23.18382889136221,105.51266628034662,52.43809498292198,22.20031713253874,9.497452075020352,66.87961768331611,39.3603310163135,14.719708314825214,13.431425532482274,36.960015229964895,46.81672553110263,100.33101276125753,61.62601854839135,30.002602094704038,100,37.11066809044138,24.108003857280618,19.786195302491024,43.831506952221844,36.029974334174355,21.215043394406944,18.34744222800429,75.0065052367601,51.14534467184616,32.63051941309283,22.26305955759922,103.03795820377651,51.930229576996176,20.861434573562136,9.497452075020352,65.9202937732405,38.872988178874394,14.46480231436837,13.116172139571304,38.872988178874394,50.01466723197663,97.28169542333028,60.690912160306894,28.031710421887432,100,37.62221410674329,25.039101524813173,21.44071971792092,46.444319171843595,36.526623701768315,20.529866067064226,19.576678457816783,76.04042030552374,51.17314430854395,33.70992208342295,22.88532585926215,104.4582683129497,52.64605344739959,21.148995652345235,10.52921068947992,66.73593964561937,39.902887148222796,15.76353064483048,13.616568850507496,37.609510336633775,48.81215263591721,98.62265925700802,62.75786038011159,29.732928586852186,100,36.53722719352804,25.206433100458543,21.226469979333505,46.43290307979205,35.04979679600263,20.659207828841687,17.848309184278094,72.83924528256722,49.10413631633171,31.183433655899922,19.877692401892205,96.85485552825746,49.22942500338433,19.52031148844729,10.103498700064735,62.091109731230446,38.632758502765476,14.071294559099437,13.06603027878435,37.81546786256355,44.1000347975353,91.68803898546653,58.763451269665374,25.946185151856156,100,36.54408349437127,24.556675414341157,21.903954831917343,46.4416163286342,35.05637397686134,20.66308458017005,17.82698442484519,72.738027559821,48.47285176614558,29.67046031308294,18.120855616276945,93.42190983594769,48.14483621943142,20.66308458017005,11.605664174191201,59.140305908498505,38.296737909473734,15.388646525480135,13.068482151608293,37.82256402842255,43.38385446311462,86.09547567614534,61.89687559568641,21.271878492690252,P
Read 3,100,37.889317374918406,27.12370699321422,24.843285966617536,51.88687490515957,34.963516960514866,24.013042036629376,20.80068454417302,78.41950570580794,48.191406710447865,26.76951934326877,14.296994151325602,84.79346704007645,48.65949474967892,23.544776210548623,16.15158323042436,61.23122765993711,38.29646045408702,18.05801902373726,13.495715642933702,43.26026160932812,32.30316646084872,72.52328026009799,56.47423597248752,10.88607474871462,100,36.991982213753595,27.65760587595749,23.95614539346557,51.452456953223006,35.001743565070576,22.638223770134957,20.045040371304026,75.99578136361966,47.1948810896566,24.379625598606875,13.089504900629434,79.8960017201878,46.35204755491916,22.987163748270063,15.769064237069948,57.893426939065876,37.38948289696802,16.42835199313296,13.176095733932568,41.18148398915269,29.922229477474236,70.35996116965407,51.54814145621483,9.927517850231936,100,37.05286577657498,27.217915423828874,24.24535863975609,51.26960947405308,33.671084199053226,23.414399463493876,20.496481053248164,76.74647997815653,46.93646099959738,28.540949490133325,16.95046180972096,89.12017539492797,48.53073603459417,24.95559086800546,15.615126142641303,64.18349571600334,37.49039017656442,17.110052730831512,13.247529413441056,42.34407393984478,31.735888447954018,72.66664831895773,58.9886075825857,15.414923937729911,100,36.61087686831282,27.65760587595749,23.95614539346557,51.452456953223006,34.235269048911626,22.854862426480953,19.874117911211712,76.06558003601761,46.37657461240148,28.079260768997997,16.74826648817705,87.69907771699089,47.53101981351738,24.657905543763682,15.206137741900722,62.69651206754789,37.04318221363979,16.905953712623074,13.95839751143352,42.02879716551039,29.616632741305963,71.12619283729846,58.2849559292279,14.491351307873956,100,37.05286577657498,27.991505418168124,23.414399463493876,51.26960947405308,34.468817792752816,22.587249943560625,20.496481053248164,76.51848200949036,46.37891211470133,28.69020196704214,16.95046180972096,89.12017539492797,48.47470052687723,23.678232010124084,15.615126142641303,65.05473678284015,37.178398148976015,17.624250969333804,14.126911827530314,42.34407393984478,31.72365174480085,72.80543731312954,57.92590211330559,15.886285140394738,100,36.341707492388245,26.86257962505838,22.639119621933045,49.413887054228454,34.54797247060227,23.78186189336912,21.362633143345384,78.25492468940712,49.11301457148153,29.133408412772734,17.352837576743063,93.61470201191382,47.80095081340686,23.86372740877282,15.247020404197198,61.147761634590985,37.1484558290286,16.429142587650833,13.365788686116902,41.57782121865331,35.34048582183811,70.65889418830596,65.91806450113157,12.270309123343761,P
Read 4,100,45.044807978939495,30.692027501176028,29.958058717795087,60.64268869445174,42.77188327759077,25.42025576464521,24.234569701805494,91.08038186056255,64.49824633096651,38.51446058714967,14.822428851831013,114.394289201036,60.55975443256215,23.725572047002196,13.397651153384002,64.72050145663644,48.30591820430527,17.031360579451043,17.974835230677055,42.09507027022241,48.246428134685196,116.3545701036631,74.02490215209347,25.278637638980214,100,45.10967509711389,32.423511547116995,30.287842227586616,62.64434482725638,41.65739819443125,25.4568623972116,22.127791809175296,87.6035041401656,64.5911275209307,37.27883011402632,10.866896841638566,107.03997657975643,60.110307386862814,22.062614077583383,13.994844341402379,62.41403395629829,47.791450262186196,16.32241750718282,17.05588671973106,40.9601540042626,44.53132200955111,114.96685334930987,66.27481709580739,24.15050017700481,100,43.91235438508747,31.39434218013799,29.900729577801698,61.26658760849514,40.1160383476819,26.556157530408463,23.222686088921897,88.51424045965021,63.15215300774589,35.880875493362026,13.372012782560637,107.27655063504918,59.94481084148626,23.680169684515402,14.451675605303876,63.40082899508944,47.17876551445047,17.780252059943194,18.256593137751164,43.32201955812662,45.27566853426073,110.81841296398518,67.96350984415918,24.069623008609145,100,43.91235438508747,33.08053267776422,29.900729577801698,62.947960133671884,41.517892495418685,25.371610376266506,23.00608068612767,88.51424045965021,64.37481947517229,34.76723323465765,10.830504889531655,103.63439312251867,59.381373459186264,21.9887289927643,13.947977263115181,60.997488338715456,48.21347774368227,16.267755661685737,17.940437746681013,40.82298329356778,44.38219187963036,115.07392021680413,61.743377582300226,24.069623008609145,100,43.35748642108129,32.66253350481656,29.52290977798772,62.15256196004142,40.993280485852104,25.0510196452485,22.715380327906644,87.39579174340287,62.35417469269762,37.80777183179528,14.36646795063349,109.64730790213567,58.15338805973137,23.440521069059056,13.822271977703858,63.769485120453474,46.19179786397719,18.446503722027998,18.0259063798698,41.60112176147505,44.9679564588091,113.66895371594842,69.28266482698456,25.9264270194853,100,43.683779498460204,31.398619607452176,28.131826698222444,59.529336315471,40.34062744383448,24.843182250356715,22.353729298862696,85.99651365485184,61.60305999162614,38.63049422102188,16.920650527090107,113.98802596819397,58.7299419802128,22.202176844326324,13.250150204522233,65.08881796602184,45.26285204915852,15.806473572034221,17.738916353833527,39.93687455535057,44.25202269531615,112.43125273629589,74.3844416307043,26.75389757866668,P
Read 5,100,39.926877863213214,31.195250678516636,27.536603703324502,58.721300533162534,39.62991449357108,25.632257050476394,23.286485362855483,88.042027872071,52.07016422839872,30.16856735962642,20.838865829856278,101.25374876778166,52.016121490196134,24.21025076477159,18.062565089018246,65.07365994984289,39.416428035770146,17.557218240609725,14.151107407855681,42.59882398816972,36.45065820415694,75.84349232382162,75.85090869232553,10.06240239765076,100,41.59667278559097,30.18720719295229,27.84133378957719,58.027489887950495,40.652880561596945,25.632257050476394,23.286485362855483,89.02683312576706,52.66097406578875,29.336692163638805,20.838865829856278,101.1258925460588,50.03172004696969,24.738871000616463,17.003839140731223,63.72854851845483,39.416428035770146,17.1356538199019,14.151107407855681,41.59667278559097,37.85865145858029,74.34534963459932,75.48664976095921,10.446391389261885,100,39.55731462735385,30.65869106609557,26.71949466898008,57.361895099333275,40.23821341732259,26.143930374198792,21.990016793212742,87.88591226251636,51.75520311604882,29.649666743099946,20.24026669336766,99.51218006699106,50.14495349027704,24.313361387867403,17.751888216331075,63.95439028532457,39.69442878069377,17.812996445986716,13.710983464991038,43.19472397602556,38.44279978022677,74.53898109340041,74.5462699000568,10.266713021782657,100,38.70202133811378,29.995800448450268,27.461319771211134,57.42249162777867,38.106153375358296,25.578656203945854,22.39112534431428,85.60377182149227,51.48160923660974,27.837519763296644,19.80263930540296,96.96982620299613,49.430375588180056,24.667795252315805,16.350045427721977,62.246586515725156,38.83617086111121,17.427850576884307,13.607000575345573,41.30230847795326,36.61667123103772,74.31196830982914,70.66726038274352,11.402692389086129,100,39.46722872551998,29.346771438972386,27.764306079266362,57.086453023990146,39.52107217310127,24.918634715600273,22.638171169416534,86.54825558978469,51.78337607543709,29.32865055336748,20.021125839294285,98.83899332911331,51.31931176790804,24.918634715600273,16.53043879344339,61.9542952600528,39.682164167650775,17.620135585311466,13.757129371134601,41.41283899365478,38.02658056214843,74.4994508896203,74.1059336309794,9.22280048463514,100,38.799106353785376,29.813362736650266,27.575206302555387,57.38744999378879,38.852038310667616,24.49679873004475,22.25494009133315,85.08312039632355,50.613229529933825,25.34211860111505,15.339833705445066,88.16726655474723,49.71191012768061,23.57770572653423,15.205271160669033,59.94469109770915,39.01040325371284,16.992452726041776,12.538587812319292,39.429600281351696,34.000019931573085,74.76569250719017,62.52882113853476,7.7199930115194215,P
Read 6,100,41.84475329188404,27.660896098829,25.636669116305878,53.23126237290476,39.74736814604621,22.52087796899408,21.27502580684053,82.43543662949553,59.18789428025974,36.35819090715926,23.83177567821013,118.71576170092067,56.79287305122494,22.271714922048996,13.547355301332336,61.40897852544426,44.890076549546485,16.060362028792827,15.470427605177955,40.33579126119117,44.45983246698693,94.54336426187582,93.335493397774,18.127862579175616,100,42.33090826001829,28.521711525313357,27.18609268537573,55.6792873051225,40.83991274140813,22.52087796899408,20.167895630595584,82.43543662949553,59.31346986897895,32.90264299041015,18.963681921967037,110.29559478320162,56.79287305122494,22.548392796566354,13.034186982983993,58.077526995123826,44.34812416868569,16.060362028792827,15.470427605177955,40.473901660102996,42.40408188120217,90.864775674055,87.34374855736115,16.060362028792827,100,41.84475329188404,29.39950731056589,26.281567307808345,55.6792873051225,40.83991274140813,22.52087796899408,21.420249511883455,83.52635453273574,60.03043194629645,34.377169355084916,21.62192409682361,115.22249705788717,57.77782526090355,20.07545253599103,13.547355301332336,60.22635760797309,43.92668802520272,16.70378619153675,13.953189405502972,41.337886844700634,44.053542193435376,94.0238370949296,89.14947688029147,15.146403684560626,100,41.0953033702664,28.377091347906354,25.514429667472314,53.85910792251308,38.38979655041017,20.79500979640145,20.568970368043725,78.94853202274494,57.74430426410224,30.443519654764803,15.591573083087518,102.34361120898478,55.13513513513513,20.397797042284544,12.653729633210405,55.23044226786941,42.644503617980575,15.591573083087518,14.504224718917555,39.15842221897261,41.75828738557398,91.43926682720216,76.09152153413093,15.018858366972761,100,41.10419076286378,28.38322826212519,25.5199474939575,53.87075565346518,38.595519674685875,22.05458267124907,20.57341867478422,80.04652042959233,56.66337589348574,32.40338249085575,20.113619417969588,108.35832608330239,54.19534639334631,20.113619417969588,13.154763257565353,57.40142491343856,42.11579172610391,15.368371976159057,13.548836598336578,40.139946352228776,42.77690407623806,88.90486501338437,85.48544712825421,14.707472435916355,100,41.71310832601385,29.648317976750352,25.898000046539995,55.5320132947657,38.966928354141785,22.19219622095543,20.878193339669096,81.23232974134422,58.612401453192774,28.614956239230327,10.352223342539892,94.24299595559702,55.964007461867666,21.306362162786787,12.79699746482015,54.910549778105135,44.234926743654945,16.460002194666963,14.925348961632222,39.64093463884219,42.38605929074502,93.17001008285905,65.84915258938878,14.72227352682842,P
Read 7,100,40.03893769993453,31.265157613111533,28.775137512061644,59.99614254455493,37.91457271777736,23.97928126005137,23.14963339938113,84.98278930255852,51.91943565430652,30.274732897572346,22.62200869676031,104.12642225362667,49.00229344255599,26.11430704962128,17.191656345181126,57.16934234964865,40.83524453546332,17.686243970477904,14.307414545979984,41.422429846279826,38.66542922749586,76.73370003216438,92.92087516325778,3.866542922749587,100,40.751265449889694,30.813346896950673,28.815496141550064,59.62235443679399,38.58910615512701,25.480501047650623,23.56148564169712,87.56921712959706,53.5263035810488,30.813346896950673,23.611992635651532,107.16383068005742,48.87276397563438,26.578903431316128,17.497510960359527,57.18483692394559,40.56080370238386,18.000897732449946,14.561955974815906,41.14402275697612,40.5167238447295,77.6168814562804,95.60757694067475,3.9353321059419213,100,41.14402275697612,30.813346896950673,27.8270001833267,58.62496835623569,38.44993441128254,24.405893664044854,23.56148564169712,86.30857115681822,52.843127862519985,29.388587683554377,23.611992635651532,105.05879721312499,49.8740871372882,25.550534622832622,17.497510960359527,57.7651980894968,41.013521563099616,18.000897732449946,14.561955974815906,40.751265449889694,40.5167238447295,78.09885972494354,93.19089371812512,3.9353321059419213,100,40.58001613696112,32.17609477345382,29.13669304148347,61.29872674980164,38.87852323983785,24.677938169073943,23.824117807000228,87.27062453799455,51.8823938794533,28.694404591104732,19.89598982156489,99.7977772310191,48.40903255592388,24.80102091849049,16.700966725992227,54.51534724744937,41.01292169972861,18.20154784512818,13.959949940043616,40.1727728135996,38.768718839532724,75.15232440672429,88.29737308892888,3.9791979643129785,100,41.480179319174475,32.39057824044718,28.324738993405088,60.68881361514348,39.13768459906351,25.06502426992218,25.06502426992218,89.13555908692015,53.10706989319906,28.10601186684483,20.96207339641507,101.17310320737217,48.73172358507124,24.966342688861495,16.812294134453456,54.878742518513356,40.74463019862738,18.623546955049672,15.111066002372452,40.440561544720126,41.241442491435585,78.90359251000869,86.09258422868291,4.96848789578889,100,41.879961837508645,30.948535223162136,29.330916081422256,60.249958284440616,39.13768459906351,24.84243947894445,23.98292761351283,87.85236406385607,53.627456443271505,30.34440680757174,24.03433802109092,107.23189434075017,48.73172358507124,25.3830900095453,16.812294134453456,55.91480738656424,39.74790316631112,17.56625741677802,14.053005933422416,38.645766316911654,39.13768459906351,78.52726162458522,94.16562648779953,4.005723003515153,P
Read 8,100,43.32655563936186,29.80421809276409,26.630073726564703,56.414849704239444,41.35612472883135,24.59415519625002,24.191769680816964,89.76871771978206,56.39309730331348,32.35064658066068,22.80821918694506,110.46147633093483,54.48991526915747,19.968715526495284,15.859349870709297,53.58168640871876,45.57607578963443,16.907773064326257,16.61497563136907,40.62277541181268,55.51601278751292,94.07330796449511,102.75048652088445,15.065873403561632,100,41.138040475554796,29.333095055213587,26.209125215679293,55.52308548238022,40.335768014826115,24.205388979804336,24.37662681238188,88.57810123524202,56.27781314353127,33.37016867985167,24.498206752691846,113.33951892181484,56.11920931531124,21.166998625256294,13.484483676935552,57.870748675403895,46.31559094352557,16.64050749206775,17.23687812148904,41.05128176989585,55.168781985740736,93.02166785126715,100.72592102296115,18.045290916000052,100,43.33121821272139,30.3756992777403,27.049969197290395,57.35564185909184,40.4239047306894,23.355794085471377,23.861389345396653,87.49176093312107,54.855851461305335,31.055764019560577,22.969295358493,107.51928066534059,54.757845891583834,20.613965108831216,14.657934955750836,52.62359697931738,44.95365587554023,15.756806622807776,16.388069485414622,39.87389400392147,52.77082781922134,90.00019808420836,100.94601480865538,14.57627451559744,100,41.81723852071374,30.21810703799701,26.266394144370828,56.44309561057355,39.392016557019446,24.25827959267401,23.861389345396653,87.19794576307186,55.644407640104205,31.90884271060906,22.49673361954988,108.99674775941642,54.757845891583834,21.21325012449208,14.657934955750836,53.71243768505127,45.938590716986,15.756806622807776,17.274542009004588,41.14098193764391,53.80125533593416,91.27760766614412,99.87016175703216,15.907592896931101,100,42.15837732235276,29.51875032471605,26.266394144370828,55.70872406416241,40.4239047306894,24.25827959267401,23.861389345396653,88.25245504972968,56.400784438502384,33.4430850322604,23.63520993421167,112.80156887700477,56.2418340488747,21.85075931388616,14.86012292006495,58.069189406394905,46.416794026544316,17.274542009004588,16.388069485414622,42.03077474417425,55.289329963421814,94.30064733766018,100.94601480865538,16.13112975006381,100,41.501553773173356,29.346030102789033,26.269322871384503,55.538471419851035,38.62127262217781,22.507377650500185,23.17276357330669,83.94712125136331,54.017706361200446,29.727163344555752,21.352373259944944,103.5448097507128,53.17756641333334,20.0190581051599,13.833851257724453,49.96885661248431,45.07723243766154,16.19558357822148,16.57347411332977,38.723156691553655,50.95048150044761,88.85268591636854,94.26266033927331,15.191322083051833,P
Read 9,100,39.58420367186558,30.374044559212923,27.175159048802524,57.54618691914983,38.07191014877957,24.771846490006784,24.012790639639487,86.70146271502374,52.38770449803269,29.472431149751912,22.65245376007534,103.64848602065925,48.866379429005164,24.449422596183325,16.58559503867219,51.42974696564494,40.574126565143025,18.226748762260186,13.990403732498915,37.44142094877865,41.95860533711405,73.92299365904526,92.56211499993124,5.142974696564494,100,40.45529770835155,30.006753501134845,27.360861737295515,57.34763158021528,36.581648206483074,24.577556391520826,23.722421562704504,84.64044069894847,51.734263027569774,27.642456068967473,19.172809942194093,96.40110741291674,48.2754741193769,23.216461048259045,15.377244132122302,50.27666650483886,39.99322965990128,17.364096627004432,14.153427778868123,38.2512554104638,39.46039597387989,77.2880677565549,79.71490156469947,7.185314309384692,100,40.45529770835155,30.006753501134845,25.966735777219057,55.96248272742349,37.611534444307985,23.569583385312878,23.917492726226644,84.83540885983864,51.75421838531387,26.12531273688129,15.003376750567423,90.48362206882936,49.66710460258078,23.216461048259045,14.549152589448585,49.82278496954075,40.96259398586805,17.033893521227732,14.153427778868123,36.722509906701866,40.26341379160441,76.93992153718501,71.05109686581989,7.11309826237171,100,38.91015291668744,29.5296461204668,26.076809620810597,55.569775957799216,37.013511046643494,24.186773244895647,22.360679774997898,83.38465086573187,52.32590180780452,27.313000567495326,19.4164878389476,97.8008179924892,48.373546489791295,23.769728648009426,15.033296378372906,51.66236541235796,39.44616584663204,18.027756377319946,13.601470508735444,37.36308338453881,40.607881008493905,73.824115301167,82.71033792700887,6.0,100,39.378760162622655,30.780095791408872,26.7378702836209,57.50864343760904,37.45927643623469,23.47416962806032,22.832737926684505,83.48590617808054,52.284551576113714,23.62638909002885,14.942640481968828,88.18144281263827,48.956124369791816,23.1224767914095,14.490255098953908,49.83735351581877,41.308231215380125,17.93345324022806,13.765277308709084,37.55485338585057,38.109847958228386,76.36066337268548,69.50755929032599,7.156226912119701,100,38.62733016715418,29.538546598412015,26.846549768566014,56.36694745801712,37.611534444307985,24.724164334105147,22.7219589218554,84.83540885983864,53.17132588944672,27.754293839544076,18.901610850257367,98.57245656155087,48.79669628510505,22.835286103286485,16.385037594347217,49.29146564631604,40.08349339155781,17.033893521227732,13.557223924526303,37.70749987862915,41.451230676498604,73.17740834219626,84.31040956281491,5.472172347459104,P
Read 10,100,40.63073019776694,28.814258004887233,25.08802660775252,53.90155922456563,38.51363701121784,22.155206059106593,23.63302777695384,83.90172929011959,52.94658420331559,30.126317449991987,22.251954144039683,104.43264391054505,51.74624409916025,20.727536532283143,13.826991464531387,52.89584477220374,42.843873165290475,16.18872354836077,15.785621527337359,40.63073019776694,52.44722117889935,86.91365270072549,97.05490532443285,13.826991464531387,100,40.18794183366743,28.321646035888485,24.394324859677212,52.68747914161373,38.690065957443096,23.280249635604267,23.280249635604267,84.66460609645799,53.33159177455782,31.73295294977235,21.438063802159295,105.70874105860126,52.55358444195299,21.66439567588216,13.890332185451676,53.13815785601185,43.04013869566765,16.26288323978481,14.906633069522492,40.72380471755949,53.09734513274337,85.25149857755032,97.38270618613312,12.877997789539805,100,39.22418263513622,28.252085711732228,24.598553880520686,52.849928356654175,38.1837094361466,21.722953283641854,23.171942385918868,82.58424051734116,52.052630728038594,29.468549944111366,20.948611043682863,101.42243588683395,49.884921079701556,20.3231378924906,14.795467715233245,49.884921079701556,42.00798010079136,16.541835785082515,15.003376750567423,39.74719482899693,51.933471554438114,81.9251879717361,97.97881524228144,11.3609794609277,100,39.11460080368171,28.00451002106738,24.382994433743363,52.386799451836595,37.43131381156738,23.707901482554032,23.254223168040284,84.0919881738187,50.813852762407095,29.210314262691384,21.626622233666286,100.99179069541742,50.29205371804967,20.959560885057225,13.438420693116774,51.45866146029332,41.639860210705855,16.39687811855329,14.421656993630492,40.40324560864541,53.72536403341898,84.62117638842959,96.11740884838675,11.484442235083984,100,39.0759752012653,28.359642332325414,23.88020739472939,52.18719828236297,36.459645633813054,22.37087590020521,22.89220898485909,81.5262460727594,50.79325126372115,28.080916724851352,22.172215939512043,100.19290494055828,48.980025920588865,21.22055980072652,14.19714532798845,51.79953549473069,40.47264577483104,15.425234691228601,14.19714532798845,39.774261021579726,51.53311436861192,82.17491067962581,96.5090112221475,10.679553410281613,100,39.734959252936875,28.44866218041102,25.41643783561695,53.85325843421987,38.963333192796014,23.085059188946033,23.62303567096121,85.4256889992502,50.97684930760729,29.67359050445104,20.155239541176925,99.88396290749434,51.08968682214235,21.291979992514904,13.651554347821891,52.27479698943949,41.76472246384642,15.211366773067132,14.650384798195391,40.02375363881704,54.57744951640065,83.1021815378981,96.44968582235126,11.666585747458694,P
