,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,41.51468779379085,37.624909242351954,27.77220144410378,57.28663523912662,25.127075885237193,25.876503244160318,12.281947081393344,11.828999556573326,21.063365472541246,28.52392019436892,5.957619424097801,12.420106062766777,22.045049676348867,28.916060806345005,9.41982340630484,16.708318255251722,20.11863129855572,18.83964681260968,9.12538088002913,13.550247411481102,36.38915324776146,17.50629552248603,17.661565041665522,17.36929613485512,100,41.42849783549549,37.13485499521105,27.00807627330949,56.11406126042252,24.387928208975683,26.725518692555287,11.547506015235534,12.717318689062827,20.714248917747746,28.99994848484685,5.450279438169783,12.295048708499804,20.099637433950246,29.249268768280793,7.707859100182921,17.235296908999373,19.019661863372807,19.123500643386123,8.97413147317782,13.788237527199495,36.30793463032878,17.216135928190685,17.368831919427976,16.749697861625208,100,40.82659904582747,36.07995338182405,27.767317989332245,54.985129397753106,23.280059769084176,25.961237095662103,10.930796268340682,12.717318689062827,20.714248917747746,28.99994848484685,5.450279438169783,12.295048708499804,20.311992200194997,29.26055103244899,8.750674044742452,17.94826294635564,19.019661863372807,19.123500643386123,8.97413147317782,13.788237527199495,34.547110213632266,17.216135928190685,18.33037727117075,16.350838314509353,100,41.11449373966123,36.05979644411853,26.80337064762887,55.02516987041709,24.203081792942488,25.764465906580323,11.986831758844144,12.620928755441485,19.832888044265193,28.78014561776286,5.099625318768553,12.201859337543588,20.158039025963557,29.027576197387518,8.301588567156106,17.0093719639808,18.4222861777066,18.823766376276012,8.103431399065386,13.68373064705462,34.896121606809224,17.368697974954053,18.19144359406302,16.226908399853336,100,41.58040162644289,36.80877298404736,27.77220144410378,56.59738452892911,24.08687993574562,26.398786035476633,11.115023171739681,12.583894755227872,21.063365472541246,29.48871166155775,4.817375987149124,12.420106062766777,21.448702884578932,28.927860872458027,8.625501081386773,16.708318255251722,20.11863129855572,19.445806834004987,9.12538088002913,13.449124748925732,36.91986611286241,17.50629552248603,18.473793601287092,17.03199614019192,100,41.11449373966123,35.80648816509356,27.55685774977433,54.56837386127603,23.810390356770522,25.764465906580323,10.847947143262145,11.905195178385261,20.206360403389244,28.94907768265803,5.099625318768553,12.201859337543588,19.947293786248963,29.027576197387518,7.941346397190862,17.0093719639808,18.875503806998267,18.823766376276012,8.906112737612695,13.125964034913489,34.285263063166106,17.085647557181982,17.406090263604987,16.62274482187414,S
Read 2,100,48.19668334973796,47.78401213422268,37.21735488303652,79.43904127213037,33.24969627792631,26.98327037236913,12.6332432927357,6.9110893010608185,32.46974410467636,34.080201627300475,5.812374319627096,7.555315704263356,31.96350328108116,31.319197255362997,13.130626077276244,14.031300593631949,26.65750466320231,20.620586265021906,12.067285361574688,12.30626470695238,56.55940639643347,24.61252941390476,23.299550075469945,25.197231581065846,100,47.38230953308891,47.06847746273302,35.22157651712407,76.73861451634767,31.52055523154091,26.93830706660193,10.787542058871542,6.109547249418798,32.53179944731774,33.789848064956196,4.685808838012971,6.626734409405657,31.866945359902658,31.50313574679989,11.573094108536527,13.128629595705855,25.515078922644427,21.370576335258946,11.714522095032427,13.41811449587772,52.60850884590608,22.883832426489477,23.638965156493036,24.30304590264711,100,47.702670876820044,47.540987522511,36.22837826968489,78.48391979677817,31.41242858002136,26.166337135766884,11.722169802208324,6.969007659374018,34.088941583295224,34.365810630925004,5.861084901104162,6.620333620263627,32.23137330204799,30.493961092994994,13.240667240527253,13.15089896995491,25.87040558120312,19.711330296337437,12.409397312789922,11.569597097012027,53.87187057363771,24.818794625579844,24.33683040378526,26.481334481054507,100,47.49677157691424,46.88901225827059,33.213713477243765,75.48359881874151,29.57699367782527,26.257746035080352,11.742821014073048,8.467868656967282,31.596699835083125,34.19561095704171,4.697128405629219,7.352168889822497,31.94392674245468,32.62729664322879,11.742821014073048,13.65402793824178,24.587123013800287,21.241201991552025,10.965556673574783,11.882899379250878,51.37937111074471,23.24959943407064,22.673073358809894,25.555141393963737,100,49.959976643021065,49.89729944277861,40.55620711656268,83.37262708687103,33.65766157192062,25.512987807096398,12.050044321178127,4.033957569326459,34.73746855283066,31.644966712309134,9.020203343363784,7.505262846833039,35.131614383771726,30.290862319715565,14.544640859252631,12.756493903548199,26.898221705462763,20.629994310344347,14.715760167784634,13.472359117019801,61.53501901991498,24.15197263920665,23.73372503423185,27.992830618028204,100,51.95977091404726,50.41233191164643,41.63030909936774,85.22941623099832,36.12793738948109,27.97490174580244,13.619618234488744,5.818012566907145,37.56111796967413,33.09625937474492,10.727885102737826,7.359268466763742,35.5993915307851,30.343041215744236,15.171520607872118,13.26710990341096,28.33557286917831,21.233753305672167,14.155835537114775,13.26710990341096,62.726702219890875,25.41346249457942,24.546221910319975,27.950691527727052,S
Read 3,100,39.79048187952844,37.403490863847246,27.708401208175832,57.38308132775632,26.254024918745486,25.165710386993506,10.514598976751637,9.346310201557012,24.08489010675465,30.308031933654092,2.978563631114407,8.624788524502726,25.87436557350818,27.460999815935008,10.449492474740618,12.419080031700046,23.785510200558395,16.54273803758843,10.218353471171401,7.793458184268157,30.577043409040478,16.272379680786624,17.367861248763848,18.472267472117224,100,39.97921218043881,36.430471729946035,27.04702819328832,55.61144955912158,24.565028968192593,25.62736647378551,9.710180290938068,10.848821907163705,22.463330823617643,30.600219274268646,2.9074681682638412,10.483025562454642,25.036972334908516,29.430348505595774,8.418923077905452,12.927360327297315,21.4262241038407,16.934118216272882,9.810116168531923,8.572006945193653,29.999314954823443,17.37009856345296,16.953307024940443,17.313854167876695,100,40.83987167230531,36.79854168618912,27.6452395183598,56.17347592856786,25.507728911695732,25.829402766694905,9.786731614753167,10.344540036864315,22.944724014130532,30.594164864627288,2.5701216353774217,9.266705340532654,25.455883880633657,28.734833435734213,7.710364906132264,11.40740315963768,22.361535260399226,17.08696037193485,10.05308588820951,8.04575336200558,30.082502476140686,16.75514314701585,17.067620286085827,17.507037734507488,100,39.38106748512146,35.56338532569945,27.41714377872752,55.21834792603819,25.308208735545872,24.565028968192593,10.263625563549597,9.710180290938068,21.712623204316202,29.352914641079426,2.5500182728557212,9.194221636151426,24.25870326020696,26.805532035472403,9.194221636151426,12.122648478649229,21.712623204316202,16.953307024940443,9.194221636151426,8.572006945193653,28.407249340873374,15.573911713432762,16.953307024940443,18.03135212885888,100,39.38106748512146,36.60852983732333,28.165872424115765,56.590875121434564,25.010986886978184,25.308208735545872,9.710180290938068,10.263625563549597,22.1866244531854,29.352914641079426,3.421208521183199,10.200073091422885,24.84141891903776,27.606229769572924,9.194221636151426,12.095798725909201,22.463330823617643,16.934118216272882,9.01567606442944,8.0638658172728,30.269049881660287,16.328083808819116,16.934118216272882,18.03135212885888,100,40.84983180684859,35.91695314913344,27.996382989549733,55.768060763002985,25.2143117133092,25.09608818865642,9.78911842841419,10.410737724466058,22.366988850008298,29.82511393845076,2.299347308955524,9.515242590618344,24.252392309854965,27.93730636117321,8.487364042688034,12.221198584158124,22.366988850008298,17.07178278188765,9.268965328828045,6.898041926866571,28.948042947345513,15.700518588592772,17.884724819120397,18.177936570195833,S
Read 4,100,60.520839428432986,57.007643788302026,48.53095487932844,96.4573783360453,34.504056762764705,26.752463345187746,13.694001192170186,6.558237145855195,38.599000444811544,34.12804782596455,14.48761938245968,11.206720547373465,38.24076531246918,33.02643838408754,19.718384546659117,15.848696187820794,29.034553542994043,22.45178747196182,17.252028381382353,14.955081651352806,72.14060860440715,27.575808029418468,29.123299201435625,32.89595016785009,100,60.13435159681652,54.93871734225986,47.439788148576305,94.01636281439559,32.99619158392328,21.494099442813297,13.606550904353645,4.1213054348603935,39.63744643749655,28.701571152802344,15.69346354593027,6.516356053694775,39.293140705542385,27.860756322731593,22.193908987262354,13.03271210738955,30.508796847959406,18.660003992279883,19.592462372439606,15.908452516269652,68.33169153613102,27.492536308782732,29.14203020330757,31.278509057734915,100,61.843034419296764,58.79027529677338,49.172862425530475,98.58290067515503,38.12213551354481,28.273720827943958,15.28180438411926,5.361211633829245,42.086365013021265,36.18817852834741,14.985042068756131,10.207442843940369,41.89384695908802,33.74796491626906,21.486690178101323,15.630483567471655,30.9432954848283,24.45823293244158,18.230090482154463,14.497592583289062,75.8781924927927,29.60825899259419,29.759554096199594,34.87364115067066,100,61.88688766069325,59.42743003694209,46.816458878452224,98.80122148086008,37.21391152659213,27.703764953639297,18.017734846528636,8.663774411420217,43.01457114550023,32.87671232876712,20.593556682702616,12.252427273971453,41.459577946360426,32.242746016273486,23.28767123287672,18.42962198229275,27.737611960707653,23.647502057030234,16.495335039441503,18.42962198229275,78.94262758478854,27.939832951193342,27.53390581129011,35.64277214043202,100,67.97058846735489,59.039416162059396,52.07646934803162,102.5543895993666,39.97197399667487,27.303596964757055,19.922879840480057,7.237784973162221,45.77577145946657,34.0667139815472,18.507316977154435,8.276723768410648,39.845759680960114,32.024170823785596,19.922879840480057,14.194464158977999,27.41406375561102,21.480122002017822,14.475569946324441,14.051802606971846,82.04596744708829,31.73978676365919,31.356596216287468,35.74074751458956,100,68.44880182611043,63.81656086433062,55.44389273342975,108.50095237368278,42.45014483725466,28.007256933126595,17.532898338369684,3.2557774861674287,48.59731877774793,32.065689495552185,22.033701150875885,8.23653792878914,46.95549067151165,29.697259834553204,24.752475247524757,13.73614026216745,33.61501566865229,22.272944875914906,20.59134482197285,15.47778947689961,85.21185141758609,32.32906713915918,30.61123477231893,36.42980781361912,S
Read 5,100,46.83257444785805,44.039381781217976,31.39033997078746,67.3518409270756,31.781832919986577,28.522532800912717,14.610665687239814,10.763241451291046,28.86277385207876,31.328078078142564,6.453912435245157,8.067390544056446,30.012427696442455,27.47654210791168,12.755664446661664,11.23657478813018,22.415154254864227,17.711551279247033,10.518590367704377,9.814404183733743,46.16070353484064,21.435589535716986,19.42884924806207,23.269912212631073,100,45.00377122649086,41.80250994018664,31.84213352149856,65.18018198088838,31.16667772921038,29.04621836148394,13.656920581487697,11.019084584690205,26.898221705462763,30.53780278352245,6.328993342461827,9.020203343363784,29.431520335569267,29.175217745368762,11.409755009158168,12.050044321178127,23.065034826681927,18.452027861345538,10.314997155172174,9.62444088950842,45.43284964029303,22.03816916938041,19.05279298045022,22.819510018316336,100,44.380339509597256,42.24882450828753,30.907330028146273,65.01757605229608,30.30400595528162,27.737712193498282,14.20864137897004,10.92739132563642,27.01829726369893,31.557667043887484,6.276327803719496,10.047026670517495,29.186611423423738,29.977268581174517,11.31481085896546,12.650343116599778,23.167217372485414,18.06148962176823,10.047026670517495,10.467082139195165,44.04622931605284,21.42816810809716,18.894248713998007,21.798383118149893,100,45.78361286399298,42.46481642600391,31.309679803647313,65.6388730040761,30.645518761681224,29.621368576097375,13.247078744545977,11.326325787664464,26.789429399088927,31.502356574865455,5.500550055005499,9.071739550313884,28.939376101135096,29.723335723006144,11.218964826386761,12.543183994489963,21.919536683356736,16.828447239580143,10.142513154337609,9.463504144161302,45.35869775156942,21.66965412936436,18.830850130499105,22.67934887578471,100,46.17475212844739,42.524726277014985,31.57716514092468,65.49860043557281,30.907330028146273,28.804515667917833,14.20864137897004,11.423089028056143,28.438934024134685,32.65048034963311,6.276327803719496,9.985576389659382,29.375795617161273,29.956729168978146,12.404682000997392,13.723862062413161,23.167217372485414,18.06148962176823,11.31481085896546,10.229162828462096,44.890554364016225,20.398065362088357,20.09405334103499,21.798383118149893,100,43.47463620371489,39.5711537646037,30.142447512725496,61.70096023566833,28.517076928269983,27.229316102907102,13.563067649720079,11.406830771307996,24.792840310780825,29.081826345575056,5.991161035259882,9.590537108808958,26.814210762914986,27.719238145101464,12.075571119457086,13.396643338989112,20.807967278530505,15.42069453353213,8.733542947717984,8.06584739023926,43.66771473858993,20.861804282559,18.128831570243264,22.441876827385187,S
Read 6,100,51.27272725262725,48.18953043044293,42.52245194578853,81.60901183389024,27.90596024106708,26.04263142834788,11.776995497925045,10.089421218273166,29.285403239136315,34.30774128763802,5.751855063274434,11.33657712478386,27.44619303011041,31.605021378729614,13.536379018612523,18.909255064004753,22.84089873808978,21.55101316925302,12.45951609383786,15.342888334726954,55.50328076770466,25.723077836415975,25.44955256103436,27.44619303011041,100,52.810702969135086,49.359795434369424,40.99107897329651,82.49295514981797,29.032547533981887,23.383240048317425,14.277109565305057,8.543727132121253,31.59937100771332,28.384899947066838,12.962517330345339,11.133473747805585,31.881416986753024,27.01763744448149,19.95071001056214,15.962293755117292,25.978105411546366,20.088302744541362,17.642643326338355,15.962293755117292,58.466934430612135,25.631181396363758,28.554219130610115,28.263336647793214,100,51.27487786869354,45.57912702560841,39.947048736161854,77.72585810347272,25.937454790625104,16.889246930241313,13.225558811032805,4.921286030761263,29.573248541890653,23.314872105604667,13.967746872511658,8.444623465120657,30.3590124772124,22.069710695325888,22.069710695325888,14.347891053071551,26.45111762206561,15.475773186551836,19.7192901055562,13.967746872511658,48.73205321331634,24.606430153806322,28.436725837214397,24.606430153806322,100,54.12615585319399,48.61930235284965,39.97813152335914,80.18391644020785,30.78746234508384,21.089541355600748,14.69088885472339,4.97899483832588,34.00586364045097,29.207551316140137,12.136065235021,9.73585043871338,31.972472635850085,27.800662802128578,19.35903821021785,16.81969360848221,27.879232896063748,19.658037188865723,17.07781140409486,13.662249123275888,53.18854134898017,26.068147741725518,29.604276469342505,29.604276469342505,100,55.713946130553076,49.75138867915353,42.807148185761505,83.53162270434527,30.472717643583007,23.221307261988077,15.375160816473565,8.338351687382685,33.46901682495031,31.470450966245288,12.430080795525175,11.792210044133176,31.69061226595889,28.589185829707898,18.64512119328776,17.313099163684427,25.954770687161105,20.042903041139965,17.402113113735243,15.918270323015163,54.52259092470183,25.352489812767114,28.83135737661455,28.83135737661455,100,54.12615585319399,49.51092863180776,41.587188401696814,82.12456532263883,29.38177770944678,23.725253839377494,13.76857173166451,8.708009359893707,32.51518419958039,31.972472635850085,9.660669001328344,9.95798967665176,29.207551316140137,27.800662802128578,16.906170752324602,16.424913064527768,25.21508636374967,19.47170087742676,15.698587127158556,14.541232434237772,52.96875304784763,26.068147741725518,28.19132358393612,28.009693285214837,S
Read 7,100,40.80529594121037,37.923817668422664,29.312980371297755,59.07988433162987,26.07091862832779,24.297154863354557,13.301516521808043,10.91427589114703,23.67638865825647,27.71566288247234,5.294201450156651,8.628492706872144,25.69869951847633,25.286394171467098,10.463584358913383,10.954328414337505,18.17172469719008,14.528942158409006,8.423022929340197,8.829182154475061,40.057902777786985,19.675990680045523,16.872022814524986,20.20311946179027,100,41.273318555624904,37.31317308251277,28.916824088091325,58.65621872614952,24.717647572393965,25.20975253788981,11.589365135625066,11.799461366882623,22.351292371454242,28.098053748886926,5.119325112662788,10.318329638906226,23.960547140042948,25.355521676238737,10.117954649320316,11.903118948385437,17.7799843478629,15.804750404138444,7.239819004524887,9.788826992209929,38.48016583795349,18.656586541256384,17.218368860127104,18.03154646621835,100,41.273318555624904,37.542929434735825,28.617897377089406,58.51642772969126,26.38439771423213,25.484394281137963,12.862145161585426,11.339334014607847,23.196390258780628,27.878591494568987,5.119325112662788,9.228994594738072,24.84982844840902,25.355521676238737,10.318329638906226,11.19395192475383,18.656586541256384,15.62233167568513,8.144796380090497,9.049773755656108,39.165764721054124,19.026059766179763,17.218368860127104,18.656586541256384,100,41.60960792984584,38.27613837372504,30.23857681935078,60.02659918428226,28.65827894621822,26.14208659548593,13.194086895239415,9.998449326280179,25.35555195645686,28.40151975636531,5.944229704263693,8.354994430003714,26.583403385214176,26.937649700235625,10.584621473256016,11.742583216369773,19.384156162106482,15.112161711938086,9.329628315188351,9.28332714444857,41.03608634478341,19.517077647260155,17.662734487969225,20.039949076237377,100,41.83502020389582,37.542929434735825,28.617897377089406,58.51642772969126,26.38439771423213,24.618046169656917,12.309023084828459,10.117954649320316,24.36726157074436,28.574938287505784,5.794682567812533,9.094910064362796,24.84982844840902,25.355521676238737,10.318329638906226,11.19395192475383,18.03154646621835,15.62233167568513,9.094910064362796,10.238650225325577,39.29102868071025,19.49380925659549,17.194570135746606,18.302034765752655,100,40.19177695662657,37.19954898258885,28.35614831571359,57.981216500456284,26.143077003431227,23.279689716189328,12.932393384017178,9.657756110355997,22.68491865257087,25.504775203242275,6.340627521400176,8.267166837601225,23.74139579424987,22.435430421802018,10.223954672696717,9.361824344431986,17.410767430907104,13.056151164419866,8.070301291248207,8.020329904949032,38.38044217903998,19.66616947584407,17.037302725968438,18.28916611762118,S
Read 8,100,51.225293139172955,52.12653606042221,41.98932915722989,85.68059801458033,30.54147489877431,26.63143702991163,13.501787877171099,10.635072623477779,31.90521787043334,32.80992652746082,9.300101220785038,10.38182027915561,32.4838570546285,32.29899642403968,16.14949821201984,16.516116118671533,26.30465855575356,23.185778339187653,15.040263940945088,15.040263940945088,60.7881514650151,25.193597494337933,28.066732173483533,26.63143702991163,100,50.346833743566805,50.09759046148604,41.047071666690854,83.07180479233195,28.52438752289542,26.898221705462763,12.050044321178127,11.188185276348179,29.853801888848366,32.924455067268205,7.911241678077284,11.188185276348179,30.290862319715565,32.46502154519335,13.472359117019801,16.29024365468901,24.435365482033514,22.487974090671045,14.587608872684381,15.543123729525403,58.350435490737524,25.24169651527966,26.1190815169585,26.874943274701977,100,51.90910139577805,53.66110670025612,45.63396111397504,90.63149325373338,31.675003386194444,32.17516594989353,11.361007961467417,12.477395116382475,31.379560523094803,39.826223328254855,6.726210514298421,15.040263940945088,31.485394079954272,36.931158365629535,12.896919930209885,18.778198865036,24.847916978357382,25.403986094757457,11.763800931117277,16.025428526300384,66.54610728737319,27.151003105178958,26.63143702991163,26.92955941845369,100,51.37393824612541,50.94705436144623,43.30770875452993,86.2939097680588,30.264487892236318,26.235053499750066,13.117526749875033,9.896830726003941,32.09002687754568,33.856279267285224,8.375644143212744,10.354348826507133,33.6798922418418,33.383842909679956,15.00046572757167,15.648263355655134,26.560967281673253,21.97995073003083,15.00046572757167,14.73337376307604,64.51944267284838,27.34667354810104,26.8583008051743,26.560967281673253,100,51.37393824612541,52.482718490368356,41.87822071606372,86.2939097680588,30.264487892236318,26.560967281673253,12.86279324378618,9.896830726003941,31.820793110766978,33.856279267285224,8.13514474443796,10.354348826507133,32.39790115123958,33.364012885411874,13.85365229957696,15.648263355655134,25.126932429638234,23.124426187576827,13.85365229957696,15.00046572757167,63.5375116037003,27.34667354810104,26.8583008051743,27.63555487681618,100,54.26818218934364,53.141941258813226,44.25558361835059,87.6035041401656,35.314866121594044,25.849825067248307,15.179539950406237,9.13929329876864,36.96849106144093,29.41953839465081,13.416944542780449,6.000240009600384,36.32004308273504,28.80115204608184,19.23823297957686,12.528868965451279,28.52481537022612,20.54151298286774,18.16002154136752,12.980503811822834,62.97679953631069,26.564194913210912,29.025288905430994,28.826142204402526,S
Read 9,100,36.42937424871604,30.21831247061027,24.4166714162107,46.76710109038549,20.01704040311767,22.376880422041612,10.30378302625988,11.296269415476099,16.861361322006065,25.259226305156375,5.441003862158968,13.649334267730795,16.663433292406374,24.30142366463521,7.727837269694911,17.176273887506333,14.8665085708972,17.176273887506333,6.586800355285337,16.1974480942411,22.87320224845627,12.477137384134442,14.571749699486416,14.03649546644888,100,36.54863326572958,30.260782531181416,25.46246375108079,47.04181683315539,21.263848288766617,21.68144661976077,11.51529624166112,10.959136562711764,17.58475553538749,24.604967590532457,5.9434262796155926,12.553915492758131,18.79476414888605,23.63615118596594,9.583486914854406,16.566314083482663,15.828168487713887,15.879586604156298,8.242049308882383,17.19410805704475,22.287086557804606,13.063063137979617,14.483511024245118,13.289905180479135,100,37.0030443656951,31.238379172758904,25.34724121418429,48.16413209301921,20.53842046166169,22.94831393445848,10.88534107402032,12.01229706621687,17.126884936438238,25.769638468163574,6.2002929936992235,13.788098693759071,17.203584312234682,24.684109363853334,7.849531078658903,16.548264515226965,14.694090516194908,17.44675657499464,5.850695027792851,15.981651339292624,23.402780111171403,12.673620607092145,13.958914413404456,13.76898836067509,100,38.145091606491434,33.08975739121408,26.05231745195639,49.64593594720356,20.9840109738195,22.26792802174731,11.234272019173156,11.40768889434378,18.902680443564954,25.857813813109743,5.400765841018558,12.819984098729545,17.755047320445918,23.97814648529377,9.049615019169092,17.290887328662667,16.442853804748463,17.53250435997547,8.27243934780352,17.078721166853473,23.07208178662277,12.352024043192513,15.275672599139556,13.991568073898595,100,36.13503387430206,30.930264875027426,23.806911199837263,46.659364871302564,20.567164743384282,22.740383001354658,10.371210342194704,11.370191500677329,17.407908006486704,26.245200044433567,5.9299663823064295,13.682077945088771,17.15354586779313,25.168991802099814,7.118865911557361,16.398323387014784,14.824915955766075,17.977851287214154,6.144113149228772,16.78788656684705,21.58540345146503,12.55878699595353,14.543181659827905,13.259807935125684,100,36.90395537086766,30.47478218343678,24.329067545735846,46.7978958104573,19.87338817072589,22.668393664856083,10.856191647969894,12.367378946685287,17.668894283467758,26.4142543112031,5.511886158980899,13.770208866208618,16.880515002809005,24.618008759781357,7.828511128603871,17.40003659285128,15.060180970315418,16.708976450192075,6.67260943569001,15.93885470474433,22.095009803103057,12.639682417726696,14.761582148347063,14.420539078795162,S
Read 10,100,46.298681475915565,41.81197392492285,34.353552948092165,69.7031738848918,26.678722625178978,22.34147575345168,12.158629421421976,8.15116368358622,26.818443396632023,30.197833820798127,6.444060705245125,10.065944606932709,25.582190554302745,28.309896230764725,10.935933655335825,14.147612044345234,21.662014624997198,19.332182115735375,10.935933655335825,12.26066166688573,46.298681475915565,24.128683668775587,25.02420526336641,22.946647793701214,100,50.57797940563196,45.16563131792138,38.3296975968462,75.3750618691085,28.51262274888511,23.574314621832066,12.743868266607794,7.811508330877385,30.792071663735495,32.10549661036894,8.773747832707507,11.047141024117215,29.13147248982251,30.176168011621815,13.599136563916481,15.653032091273626,23.293896483230903,20.712681258048587,11.667081270024509,13.702292048959357,51.87000800048124,26.445778633768395,24.53054723606659,25.48773653321559,100,48.88344087798044,45.420575429094434,37.63410153124892,75.24992002840864,28.987158223199994,23.30337144065978,12.487697356963219,6.772404761867134,30.438173703803663,31.73650325788888,8.830135482514018,10.708112142035196,29.829348725979187,29.829348725979187,14.366439996168948,15.473129414235714,24.864965014361015,20.474627264085765,12.45091466334642,13.612365102530307,54.052106348137,26.01872944585025,24.248613928114477,24.248613928114477,100,48.086647594436485,43.42667201875802,36.53622161025798,71.61734950507126,27.31825781289505,24.13165884331654,11.70782477695502,8.571117026159408,29.38793127545674,32.30676415688785,7.805216517970015,11.70782477695502,26.77167179125594,29.403170027466285,12.304779933743491,16.174167052186522,22.49856000758109,19.14221336124627,11.514931434544664,13.38583589562797,48.30970243322232,24.89909406145936,23.96401117117305,24.89909406145936,100,49.30497170930348,44.207858843495046,39.68581501976526,75.28327086562133,26.928382665556427,23.975077645254768,11.44021540398386,8.515502292775452,29.197244115591538,30.326340975356587,9.450701167125153,11.63185713452415,29.39345421870939,29.28796596275613,14.105698702275719,15.566057322970513,23.509497837126194,20.103026449531637,13.198861056627983,13.97975244246615,54.02889758218252,24.737533266815692,23.80851777538492,24.522107975183932,100,48.339214552984984,44.72136750680915,36.87125621476508,72.95885549308746,28.496387219746488,24.558143341641877,11.815184713776848,7.876789809184565,29.657416556041696,32.82613483129158,6.953968754685756,10.550540660222811,27.017166154801707,29.626635627606884,12.417613907727576,16.012087701060477,23.26066608441288,20.26287461610128,12.563708508898564,13.575957974545702,49.30170178838071,25.290289989251555,24.18375948260992,25.12741701779713,S
