,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,39.77936778401521,33.64440111744791,25.77666843057929,59.41350852456578,19.048435020501838,22.27544358663999,23.62667582107729,27.338513157101392,4.40257110152329,31.42831433930571,25.214090099984777,58.65176537247826,13.20771330456987,31.747391700836396,22.083184298643047,67.01170235252425,10.039406754416992,22.91029643613223,16.7297701857885,49.34023325216836,57.334932098616555,30.565386911525554,16.613509081723347,19.962638106462332,100,42.692274237401385,36.66379086114778,28.304023100012262,64.96046006476108,23.60315994412038,23.454477142026473,25.93364747753118,26.33522461484845,3.855892289925802,34.48814909676568,25.67947295940518,60.441143297695774,11.261193845312162,34.65259013120528,24.38680409689572,70.1954325438893,7.5397528741219,25.267476079877106,18.703824932198632,50.57819988025796,59.97631626231727,33.16963967262358,17.64515315076518,21.20225203171165,100,42.42643944428746,37.360132420523755,27.20684232026849,64.55596649372585,22.478413796371417,24.1635687732342,25.772164728368114,27.632098043342946,3.3508840850037074,34.273399469490286,26.613050303487647,62.18437530974015,13.011152416356877,33.573219085852124,23.252780675086992,69.80166442611672,7.66376510337855,26.038895401713567,17.65799256505576,51.12368973782552,61.60525434638122,33.573219085852124,14.985609197580944,21.070230573893372,100,43.60167650272037,37.10799012572202,29.47924562687636,66.58696578120798,22.0764861139434,23.738639288186373,27.514324380025805,29.357430041213103,3.9026082589850075,35.12347433086507,28.47441354754628,63.67072431175443,13.251301467108377,34.19288569463027,24.77283923956914,72.15946446775548,8.72649735664258,26.519499718167342,18.00880036956029,53.00520586843351,65.055713307864,34.82890580780709,16.090866067203027,20.844974487028146,100,39.46055160864161,35.81247437370473,25.973059665235194,61.78544635866264,19.272434434551396,22.83475388503572,22.71278179774069,26.8001941318331,3.7796353560082716,32.513652723197616,24.6402079036781,59.341478782649055,15.144766146993321,32.974174651798215,22.289525172733725,70.40116917641105,10.83788424106587,24.05345211581292,16.92650334075724,51.70108909949901,55.81275762201188,31.59759082577853,16.571113797539667,21.417933684046872,100,42.04177350107154,36.79044331613831,27.516315472631803,64.30196204730689,19.595610617490088,22.541003988734996,25.71689842768161,28.643524370676673,4.563292872136533,33.8668893224048,27.22722257949493,64.08137147592208,14.631029973424658,33.05789956425086,23.799223894141278,71.47346231592792,10.080643439981074,27.44053368325802,17.36451363552108,54.78992797226845,62.12115022448348,34.35526188686449,15.107187512318013,19.36041200656788,T
Read 2,100,45.277434903055955,35.56419763707303,27.85252114652247,63.001745186111,30.90066958401543,18.30108835790667,23.946344809434795,14.84643221675791,14.52396385125594,32.370350825855816,25.326796073037357,46.66341638927403,13.023725385189012,32.04957973308071,24.984526339122684,54.4623943243173,15.88312403138507,22.44295559515231,20.030651521687762,40.7643734554863,50.52594744386,37.87386402887362,16.205111994593096,17.605702849596618,100,46.23339686442961,36.95131784952827,28.02167009153746,64.34145376160855,32.37011666572662,19.233383413015137,24.105152065316535,14.01083504576873,16.339301031698025,34.25578333811368,25.494758199058815,46.702783485895765,12.17859593723641,32.79852394186333,24.285447412665796,54.8235777725731,15.988457657970944,23.42599701846526,19.25605093227004,41.23620409983956,49.934864205580645,38.12503574062871,16.312580979425533,17.722460266215467,100,46.14516422330636,37.709947609190976,28.934382786336535,66.44097478184635,33.31392506278269,19.432300126023595,23.42908947357716,13.46993171556449,16.314779270633395,34.77480025334633,27.042231868724315,49.178994147097725,12.875631348367312,34.03867149897927,24.95201535508637,61.37534339853927,15.174077064147692,25.245578575750297,20.038976024780325,49.178994147097725,51.591862018102155,40.998098585976635,17.301109767101675,17.167508464489746,100,47.17745400381204,38.31558906940077,28.453689167974883,66.32827229652892,34.71704476639351,21.540912872939703,25.130000931840062,14.750094562767767,16.241115931364646,35.55272945838587,26.32733097527225,50.00075473406949,13.090329733247975,35.71482481004964,24.60741013340748,59.68173597231377,15.698587127158556,24.705020235506613,20.487257670546605,44.68327133726727,52.45316485331106,39.7340202733842,18.329613120358523,18.949379823222102,100,43.79869750594244,36.09839931552345,26.823106172207257,62.6198541484191,29.594769076690923,18.23172760520985,24.404471773791986,16.664592694878856,13.459252891995781,33.07181331114498,26.486501722858943,51.176226791149595,14.110128972521487,33.98923333490522,24.404471773791986,62.00964995839683,14.933901295436781,24.316780251369764,19.056690819086985,48.386956288786834,49.41788280504218,38.713979647572415,17.538977593834606,16.664592694878856,100,45.67418712801251,35.94282801129453,27.535131029244212,63.124839113538414,31.61949450312707,20.02945604797663,24.50339517767554,16.169185687358908,14.462159335100472,34.40499607290817,27.600535233096533,51.65769277909398,12.379799478166824,34.56185857045442,24.68666919863274,62.75960072032184,13.824743428181767,25.7939189274708,19.574181663585556,48.75781267173478,50.644266437882976,39.76527077738686,18.015254425569953,17.117125310786125,T
Read 3,100,59.725101084413346,43.554960266929164,27.636646355494772,70.99282910612783,21.228501097272034,28.925479539508604,8.241889866691787,15.659061733294426,12.742302660074227,50.479267733627445,10.377471680137148,29.716556521084303,8.634578365940753,46.78280820024778,4.07037927682891,34.967377287182714,2.878192788646917,29.63280842636463,3.861500836658515,24.49002135466656,42.78741186406143,31.868756347380483,22.219946584672506,21.30640411539046,100,66.20730417017796,49.93838331667576,28.553363058294053,78.45988386852382,24.776376481992134,42.12439425414281,8.310249307479225,22.54684293088602,18.63382832004669,56.08990784298224,10.083254694294347,30.659201691383178,13.066455861574243,52.1555966309217,3.0970470602490168,37.62625403658207,3.0970470602490168,33.26983974920863,3.0970470602490168,27.735435449447078,57.79126328261791,24.188710798577535,23.90952424048763,24.776376481992134,100,63.63122171945701,44.7154646517022,31.77630805181594,75.95050340495354,22.66857966894994,28.63186754993861,8.94309293034044,18.38235294117647,13.339905446912617,54.58218061543773,12.726244343891404,29.52575370167011,11.660366588285237,51.393613816137574,2.828054298642534,37.008632150176474,5.656108597285068,32.52262443438914,1.414027149321267,25.452488687782807,47.00444043720209,37.116529265856016,26.073372333973097,25.29488662330079,100,64.94112110914027,47.35878044979323,30.050259697108306,77.19290263478054,21.727326376850975,37.68484819548288,6.259112603218446,21.317769365609255,12.903491192852186,53.11033159135136,9.797060881735478,31.915337301585385,9.896525978818019,50.868528608498934,3.129556301609223,38.021211216812105,1.3995801259622112,32.22075418676371,1.9793051957636039,29.391182645206438,54.34986099075605,24.482653162401537,24.160498952599117,25.730967544926852,100,69.69097133445119,55.164747356472496,28.514997661048234,83.5858842741365,25.099660416359075,44.90449232465836,10.748722706748145,28.207549349686698,17.218224995852065,57.902470252849795,8.98089846493167,33.17910092166578,12.175123654562707,55.59772739926985,2.088016480692596,41.76032961385192,2.088016480692596,34.08650931821998,2.088016480692596,31.005462867267095,65.97933846598062,23.623209803632072,25.487489298142727,27.104030342072676,100,65.11168572600089,46.86682635924829,29.738103259811478,76.39103730270182,23.21752716653769,39.19936758472274,5.7106726116588105,21.679329421743116,12.769452156915357,53.01290639613474,12.465373961218837,29.348504294206503,8.759771911823767,50.795348534327566,4.379885955911884,37.80427718547419,1.3850415512465373,31.976167259321873,4.1551246537396125,29.217483531480596,55.4016620498615,23.21752716653769,25.538904313830713,26.022568182902962,T
Read 4,100,64.71433816608156,58.49125948615572,33.501255227796285,91.0709773068631,34.59387265749436,35.15435338012022,20.706444598074984,21.09858981252772,22.29021138829782,51.14114558893072,4.491858506457047,32.15681316850388,15.27397025124699,49.333818386274665,5.614823133071309,39.70279512557819,12.555126207185793,32.15681316850388,2.5110252414371583,24.807099420970825,67.61142380006903,26.974535989813173,26.046970252090286,29.47648455565792,100,59.62826913822616,54.29632708477188,28.83209983517008,82.41107214032053,28.982463826660776,31.704172471063373,18.5598809702542,21.49017838850026,17.690568902821994,46.150200398579486,4.298035677700052,30.870620024936606,11.885493850715498,43.3579367102792,5.2121338475972046,36.72243292777762,10.732440468036065,28.452713570220325,2.3309371182109766,22.113211128527492,61.644363356499596,26.060669237986026,24.17890858906119,28.16482036090127,100,59.061846757150605,52.74977707566257,30.06756794746729,81.7326481245774,28.70715286413597,32.32313028910382,17.58325902522086,21.286038335661644,18.26722355493457,45.395865641673936,4.257207667132329,29.3680178695465,13.222765590981616,44.983006527190426,4.617590041300547,36.27086849819369,11.543975103251366,28.182434824896603,3.0975735673722244,22.9257649057042,61.05878964160049,24.780588538977796,24.104527681835318,28.087703683501175,100,58.553995889344215,51.437586350296286,30.314449575106657,80.87453051531858,29.276997944672107,32.04519570580106,16.789046439611756,19.76989243098369,18.225502932505737,45.00552346602642,2.2889425504143612,27.940104542852247,14.220947885607334,43.586178433910874,3.690808962497685,33.84230782028158,11.671362730055664,27.808532515520778,2.0472924557273005,20.878368363569592,60.818715436638136,23.566105913033756,23.743297174210667,28.460310726702513,100,58.305980549897185,51.35004432383075,29.985795336569105,80.51054133883119,29.35587871446424,31.927591062958268,16.362268163734758,18.884605717213727,17.782496746360575,45.453489012343006,5.025630716654941,27.800415490882163,12.871895140080108,43.78936759632519,4.495060764900574,35.308409026535934,9.899344458534632,27.305413020818428,3.1784879487067843,22.317422164212,58.608421900143746,24.143958487213418,23.657859676228412,26.53609163221246,100,60.08000459011022,54.16539730866839,28.80507537167118,82.43914779072404,31.48555812920429,33.097789173236215,19.372084188438112,21.08774914738241,21.470035542687263,47.497414084529815,4.165798791918351,29.327489773648665,14.801781299262545,45.37184109725467,5.207248489897939,36.510202339008764,12.712513659376905,29.327489773648665,3.1243490939387635,22.263651662603575,63.53696747623265,23.97597257492468,25.531453180860794,27.495060992385103,T
Read 5,100,43.06012056570624,38.30656537683814,28.919356176289522,67.22522597492967,16.93200986447802,14.058148390563407,16.93200986447802,14.058148390563407,4.604899613188432,35.250799795551,22.408408658309888,61.75374696717705,13.024622972675402,32.87266218009716,19.340578375391416,64.9992631740427,2.059373712930365,22.783785000650177,12.008109053605912,36.34079877868643,39.90086392049083,48.34925307941311,12.113599592895474,33.20640334743037,100,41.77830756918652,34.41379623074519,25.449846977548532,59.845759172682534,15.149620076132141,5.715820443142124,11.178777114191577,1.8075011296882062,5.269726068545235,33.76690771309427,23.773965545351842,62.47002136027278,12.057536433914446,32.09269029293214,19.903041613687524,63.67434235448183,0.9037505648441031,21.271761944762442,13.556258472661547,34.532260595648985,25.465888483697015,60.733113841523526,12.652507907817444,32.58519001774957,100,41.00855999151716,37.542830435031036,27.404896007026714,64.9469344309011,16.619110125673345,15.123209678854195,17.181040757786644,16.03750233726532,7.172189083087402,35.45033154554093,21.51656724926221,63.66706640008147,16.03750233726532,31.590216003139766,18.702780928412633,65.67397500326217,6.476389902393486,22.680453311950828,11.598972342678852,40.38629823971592,39.784146917530286,45.72581541107161,13.344008540165467,28.86750420707758,100,41.75753872283944,36.418546811156524,27.17544597757747,63.58954105203568,14.889904613821471,19.50124213901239,20.294296782369628,25.139406107807616,4.441286196482502,35.39680022236858,22.36574580212147,61.62354617499539,10.39678442948981,32.576160634024255,18.67453903146975,61.05112907244478,0.0,20.7365740449969,14.212115828744006,34.82376227378337,50.06651508631001,36.62378420339013,14.239846812827679,28.823913198770576,100,40.632633130422604,36.820799601948735,27.67795234571632,64.49025905276454,14.5371727655096,15.76777771705449,15.890486009096472,17.384824084015886,5.644005497957558,34.02425573489428,22.31641939386895,61.38558077207634,10.902879574132202,32.50610650433808,18.51035698545615,61.587756966287955,0.0,19.886318506264395,12.340237990304098,32.036636131134856,42.720567002389195,43.91333171293486,14.103129131776113,31.59708828371075,100,40.205244569820145,35.92157291977887,24.81876290250548,60.720280140716234,13.596515866232604,10.774756286990858,13.596515866232604,10.774756286990858,10.39044283566478,32.12923156293647,20.922736367007378,63.2025963539873,17.133768032652227,29.689012815602492,18.058302519563163,64.46526722501098,7.928062995350319,21.081177525378383,12.038868346375441,40.861998006764885,33.844128737044336,49.188579056067034,13.758706681571931,27.69153355938536,T
Read 6,100,39.45999243298972,32.536448479825275,24.911255006914054,57.31818125565551,22.099783065742354,20.94467081704734,22.099783065742354,20.94467081704734,7.183962822798428,32.215692985715116,21.420071400238,46.44912707117635,1.5866719555731852,30.188492805141525,18.401290765161765,49.98646252129588,2.380007933359778,20.687671258080602,14.628392633546827,35.62953046074672,46.867292305408746,28.659090627827755,14.302067732899602,17.471412570841125,100,40.05211071704484,33.48629290227962,26.49572794292151,59.82781445813871,21.461680245235552,21.770285802244004,20.723736649131197,21.04316719662695,8.010422143408968,32.23935663343964,19.926669854933845,44.19230440181449,0.7970667941973538,30.288538179499444,18.40171589449258,48.627607341526044,2.254445340942285,21.579764659143766,14.890436547321382,35.016551309562885,48.148376567954585,26.543640690812556,14.369325982241307,15.941335883947074,100,43.65488940843774,35.27929441411172,25.547091685418817,60.62444544566529,24.417373966818367,21.791048754427294,23.293447499138257,20.66085489500016,8.441726687207803,34.10993784837792,20.999580008399832,46.47316654724252,1.878259535909105,31.919361612767748,18.555835392166756,52.13988929975135,2.51994960100798,22.92707948585667,14.884540232397606,38.30912810076902,48.143569528457284,29.255060507800085,15.442903243049338,16.135550367323432,100,40.369548301098575,33.286416125979834,25.4854613555841,58.526925987565775,22.152981193013847,22.152981193013847,22.506979342361902,22.506979342361902,6.543509251114803,32.828095797673384,19.49583986602437,45.71099047261983,0.8116224332440549,30.841652463274087,17.3505059057154,47.94758700671027,2.566575489139177,22.048661159331427,13.869010218841863,33.46405020386057,48.221575448463426,26.499192788433582,13.385620081544227,16.88876880665921,100,39.25100730281546,31.800201659815404,25.012821680907617,56.70480641102687,19.774371804827364,21.184364048317164,21.184364048317164,22.612859283507717,6.204917397037151,31.371672095178283,18.63090382294937,43.607206381356065,0.0,29.47335763592647,17.221440557802307,46.59501526681327,3.468654273636531,21.841507547240706,13.001671150422872,31.979412282770962,47.47116651857397,24.15638176126182,13.743927050856547,16.598878894774444,100,41.3927440954468,33.31608757693985,26.174037004459212,59.27066968674546,21.565344136979828,23.241329540258672,21.853602820933787,23.592958126367396,9.499797021929734,32.717546255574014,20.436130690713696,44.097322318662854,5.1969192739492325,30.07386951326825,18.148429327974917,43.857661183690595,5.908700502621962,21.350452784621226,14.631731496891444,29.931156423319173,50.9709227111682,25.3558953848118,14.010775506559588,15.611869216517608,T
Read 7,100,37.70065494354749,34.03291228683171,24.17027467999966,58.12440604072418,27.426767477525825,25.435948350446218,10.517685206260007,8.364254428079159,18.590806186469695,32.63369601919145,1.546551190844417,14.445980275494437,13.236346093893976,30.24684072936582,2.4453121405570517,19.393653269385172,13.236346093893976,18.703041482288622,3.94294735044292,9.781248562228207,39.50522664535973,18.052300541182724,17.852453418829562,16.60293114257956,100,39.06217959344118,35.83121897150484,24.141422007631807,59.969233885767316,27.915969673600067,27.915969673600067,10.592220628249704,10.592220628249704,20.692049303927146,34.564817414799705,1.7413503445991667,13.60038096454558,14.039215308246979,31.96694299785654,1.7413503445991667,19.53108979672059,11.784709874948646,19.608563681978307,3.210891383550861,11.338851941874493,44.450504455510746,17.150311927065836,17.978967962954904,16.054456917754305,100,39.2363953543712,35.06925936075409,24.43783466750213,59.45610517761096,26.93688574248825,27.033761967939324,10.832828051487725,10.58875304073918,20.522731734506493,33.09191058855551,2.2865853658536586,13.311165546168427,14.661115900664132,32.093754986931856,1.704320104801669,18.356089296939476,12.051363034178275,19.875617089032467,3.233720035914089,11.097728489756886,44.99534189983366,16.76829268292683,18.324413536846503,16.41818538760519,100,39.102062727406526,36.352178390173705,24.7568985363163,61.108345499939205,28.03057370923578,27.328482906081486,13.76778055580332,13.168408881786576,21.830489040354315,33.777187856235,4.508932798364754,16.530744143544652,12.588014689220309,31.78905782724167,3.188296957638154,22.438320644211114,10.517685206260007,19.34734921620291,3.94294735044292,13.504677696081796,46.45449519293408,14.712571597927965,17.852453418829562,16.959257809666955,100,41.378681698041,36.20564808110065,24.94166867809156,61.147316759192215,29.583677384906643,28.536725160460534,10.824381725861864,9.68830523677874,20.9188188913026,34.93168130355203,2.900918235951395,13.269307669539499,15.371287452363665,33.02659224679989,1.799073117306131,19.326433581888026,14.682023968858843,21.057610955511144,3.3173269173848747,10.4594094456513,43.44677769732078,17.718815307382123,18.080461062228846,16.915114684712076,100,41.05446741826917,36.53487050418122,25.220791697668375,61.72469857513424,29.852685411788972,28.79621312165008,11.53906828249728,10.397213992746366,22.337933737432177,36.035302461917915,1.8154323110333603,13.389967120622426,16.318706862256867,34.13785181720978,1.8154323110333603,19.50217122588993,13.897249954228865,20.442767414166067,3.3474917801556066,10.269635983334839,45.4728650318761,17.06892590860489,18.743844086409347,18.154323110333607,T
Read 8,100,56.34608216209507,51.68441897890694,27.49990651330035,78.13795707959255,32.58746609996275,30.50522187500167,18.21550265327999,15.681387070418518,22.997089265195314,44.99458813299536,6.156009849040442,26.864790618159944,18.076273840132334,44.13476977667633,7.894214248914954,32.171328150790316,16.235483172390683,26.676042679175243,6.680838661356811,17.818195685920525,56.166444886113084,25.596633350429205,24.29696667867069,28.815854763893878,100,58.07568076460214,53.50969895242085,28.72804596218873,81.02685162758232,32.445020702328506,30.186077275210653,18.353675323483525,15.681387070418518,24.624039396161766,45.71870682602973,7.167339337346658,27.667823128716773,18.581680032409455,44.13476977667633,8.46062627997879,33.087558736018984,16.92125255995758,28.50734067543189,6.617511747203797,19.617838236608193,57.16219694373657,26.723354645427243,24.29696667867069,28.270022576396002,100,59.64464007116942,54.04534150380295,29.015619320601594,81.8379462587603,34.193839550832735,32.37417591356563,18.397843397237196,16.187087956782815,24.169811493938827,46.75872928215568,5.862040337692798,27.133712426183052,18.652898134672455,45.56770248691021,7.973236877414614,33.4187716698859,15.78402666227306,28.86720085716459,5.637929864026527,19.81421663400867,57.73440171432918,25.852860656189364,23.6306400667012,29.10430710558455,100,57.2946362440597,51.521221795423315,27.95548538446878,78.47135294643277,32.58746609996275,30.50522187500167,18.21550265327999,15.681387070418518,23.930264862632463,44.29666288390261,6.617511747203797,26.754849476210424,18.468029547121322,43.287056676409115,8.46062627997879,32.171328150790316,16.235483172390683,27.545803468484227,5.80394174574356,18.029625313745523,55.12980929017377,25.596633350429205,24.29696667867069,28.090718298639928,100,56.42473123827553,50.6826024141345,27.72320225969809,77.71203913856544,32.85975411242268,30.740806781192862,17.9389365036414,15.363759602349752,21.557813722325466,43.83888960012619,4.518752824220516,24.66758981284443,17.383989210728735,42.71595950509345,6.517038003549913,30.78063509430891,15.337155669658511,26.271020070038205,5.497300072569562,16.66433702176753,56.03982285739719,23.928065603025264,23.928065603025264,28.378343367569062,100,57.44753760215735,52.07453039989174,26.598631032046804,77.69243264681604,33.17153355113191,30.668253469522146,18.109144458789533,15.101674443250477,22.53277809548119,44.03801983814313,5.770053207131428,25.804462409873093,18.360196877564192,43.121256447756494,8.411225670370301,32.04847745689316,16.14068608060773,27.50627393792781,5.549459474772575,17.71415732045215,55.65933415808647,25.233677011110903,24.155099525360328,28.50196031714863,T
Read 9,100,52.94109751065203,44.26944945760379,30.618210782785823,74.72645130495316,31.635932689064767,36.90050531557484,11.724050258015298,17.828653403197155,19.275725634961947,46.029497024897026,4.634337777201638,22.249648242055844,13.471502590673577,41.9657134327805,1.0362694300518136,28.189576183907654,6.951506665802456,24.631843158558993,0.0,17.888783939515097,56.540820168720174,21.786317141584085,20.72538860103627,22.17713425806497,100,51.76807903798642,42.85400311507666,30.302356203660135,72.79280800807882,29.917659799103646,35.73950696206875,8.82742459419459,16.062058329911267,21.15498012117835,45.25618690856839,4.230996024235671,20.239182065998996,15.151178101830068,43.25754521982143,1.0261672652642382,27.26594203301472,8.767576957739898,25.96020654832944,2.0523345305284764,17.92124083794046,52.334530528476144,21.573931289511176,21.549512570549,23.40021395790945,100,51.64134032588033,41.42382296293405,31.615189866414863,72.77249739370953,28.882419936486077,36.86933025149314,7.495948597638231,17.206803905662003,19.96816290259724,44.40750387379173,4.648789974012037,19.995201727309087,15.348048919161537,44.224630740504466,1.0395010395010396,27.989422074503658,7.567681797588896,26.29752731948756,1.4700764681633005,18.1541051939428,53.12653779285089,20.815992094075657,22.892635702229974,22.892635702229974,100,51.64134032588033,41.42382296293405,30.696097838323073,71.80838269925381,28.882419936486077,34.927853672373054,6.973184961018055,13.94636992203611,19.96816290259724,43.856596901723464,4.285972583802142,19.995201727309087,15.348048919161537,43.43572227812095,2.079002079002079,26.29752731948756,8.380725310081651,25.987525987525988,2.079002079002079,18.420005349968136,49.384505281578804,22.96332851806083,20.815992094075657,21.928298450861732,100,52.45832876521491,42.66778896357758,30.608490794458536,72.9590910869538,30.37212825493516,36.67279091769611,9.933643394815839,16.978535849844263,20.90074048781637,44.98264581087465,4.2118563756975895,20.767698139745207,14.62824469774645,43.414821792330855,2.1059281878487948,26.98958748652479,8.019135627949783,26.324102348109932,2.3544992918814254,17.99305832434986,54.15348371327279,22.13730234982483,21.085589548805718,22.77909619120137,100,48.27007354458868,40.52159917870962,29.1547594742265,69.57010852370435,27.80287754891569,35.608987629529715,10.295630140987,17.804493814764857,19.209372712298546,42.5440947723653,6.0,18.35755975068582,13.892443989449804,38.897300677553446,3.605551275463989,23.08679276123039,7.810249675906654,23.53720459187964,2.8284271247461903,15.132745950421555,52.32590180780452,19.4164878389476,21.02379604162864,19.72308292331602,T
Read 10,100,65.09882994183154,57.50498767750265,35.3047974568509,91.28241512794301,37.11157915935195,33.40042124341676,19.985197002612846,16.596802750535094,23.294722733574943,50.95245474965946,8.543727132121253,31.881416986753024,15.78878540907606,49.51302220333057,8.298401375267547,39.91867469004801,16.345955025447857,32.94371282154254,7.4223158318703915,25.33391989780883,62.47544492057817,33.60596423724059,26.476972591664076,31.248743001277667,100,65.4158719550368,58.67464335020709,33.836726115629865,91.47607630871707,33.185009438232754,35.68353064719471,18.72850965957168,20.74063089889547,21.97995073003083,51.361054499654195,7.717675946271709,31.402080220791948,16.27028948887592,49.80409761139751,6.99811611861277,39.13334411342602,14.415513214613055,32.29560250257294,6.195541655700072,23.465345207513966,66.76768581935991,28.968426856912497,25.95608415250455,31.296526711310268,100,68.46145742759633,61.13620526913527,37.21819477514433,96.07625290818571,37.95290059134775,34.49137254366061,22.725809697908705,19.317517777448863,24.25098746643764,54.542490618325516,7.431597471347855,35.953424482741994,17.36428882535357,51.67571406855614,8.810143617505165,42.83090566391718,15.645996914924494,34.29607537597605,4.886988393402566,24.918849180661134,69.65030086127904,33.79185506643697,27.127187918356164,33.79185506643697,100,69.3896389463113,61.6711659018822,35.93142651494515,95.54373893672322,37.62469194595451,35.07579361784004,23.674356312914153,20.65942151126474,26.14395296474787,56.207809962984356,7.394626571358146,35.93142651494515,19.25129326080023,52.12789248843136,8.887235088646756,41.92100407122245,16.762965872239885,33.36698637091664,5.081471069284767,25.407355346423834,69.02751769751266,32.8855411982409,27.364559170784467,33.29863467120112,100,66.86040198602504,59.67068249636075,35.89454469989577,93.8293914871137,35.09233067617883,35.47564430812195,21.243877597858077,22.00106063069535,24.5979335736646,53.266947346497346,8.437021610625791,34.78673126622897,16.874043221251583,51.52803455838011,10.194492000140233,43.02053782918493,16.008122974583866,33.49401944306932,7.159050232669132,26.680204957639777,68.01097721035676,31.387534752334815,28.084005001646144,32.23781430880872,100,66.3144413070859,58.03644892420937,36.30263112468157,92.79193270491199,34.135396690783324,34.80577791681122,20.937048536040386,20.97046762919449,22.609435709518102,52.52625093768555,7.198535538814459,34.50267393399585,15.92144857641859,49.929048780423635,7.938702878697477,41.437021065116205,14.82835986525641,32.04020442764706,4.733727810650887,25.546784786891006,68.73080992062297,29.96210390809979,26.462342928991593,31.974570618003064,T
