,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,38.44176959926867,33.66699882510114,28.840803395993152,61.76290846938602,41.42522269975735,25.286746727543804,22.054389032649233,88.7117759983123,47.416792348974674,27.442560895779803,21.55308743135212,96.3713260353057,14.561827785869442,27.502240330299855,16.760292254972715,32.070803241354874,11.920286723461977,23.14264884597873,17.242469945081698,34.800453689687906,98.59143136117761,12.761689091200944,135.43282712197262,15.542152375659704,100,38.22198817224581,34.429303870434914,27.206345796886485,61.145285529533226,41.18838410843856,25.142175930244953,21.85425783953081,88.06359307134302,46.68505524508444,27.620229221593394,23.452212417210973,97.56923102085084,13.868673663332988,27.345002989534105,17.793391651375977,32.558128406165956,11.621974935030092,22.391537659602925,16.435954574679727,32.02270644646437,97.44733176929701,13.985056181989302,137.67012998871772,13.312108601731493,100,37.4855261715776,32.82952836803877,28.12338510374905,60.226549037585606,40.58727543560889,24.65773600254424,21.43316958061845,86.50506039594832,46.00066947773872,27.088042115580432,23.00033473886936,95.94416947440689,13.866317166617844,26.818118947835465,17.450548240007837,32.23853257384421,11.888983372097666,21.96009708281987,16.4700728121149,32.63902659513124,95.56971471308363,12.975759059392246,135.01749928549947,11.623768224071137,100,37.262886338742035,34.86592480509027,27.206345796886485,61.40979412782507,41.384676169219084,25.034500163809344,21.928298450861732,88.20458808979801,46.904424834421945,28.27748546514645,22.43974339389075,97.56923102085084,14.883389878665646,28.54372186641576,18.82616452835222,33.85966210998405,10.395010395010393,22.026632121015684,16.435954574679727,33.73176868937204,98.31393984324842,13.985056181989302,138.41376936282003,13.55343535385166,100,36.95497800059508,34.194127497702965,27.393269125383632,60.80190662146373,40.39476553401764,24.65773600254424,20.49113186078273,85.49595625540832,46.00066947773872,27.088042115580432,22.007373988095527,94.9587605031707,14.843735119340439,27.993740886422632,17.450548240007837,32.575278435458166,11.888983372097666,21.602222551143935,16.119266286922105,31.4056923249044,96.41962496605665,12.975759059392246,133.7724303170877,14.162956457793664,100,37.88541987167304,33.285406702649624,28.12338510374905,60.562123520355364,40.39476553401764,25.669646879425365,21.43316958061845,87.37772387487458,46.23729420103401,27.732634333235687,22.007373988095527,95.94416947440689,13.409059473917733,27.993740886422632,18.378791290977617,33.62712305529747,10.194719135487816,22.26560267901066,16.119266286922105,33.39451392427199,97.8321283933807,12.975759059392246,136.26644636743734,13.0556106380525,U
Read 2,100,36.277206942797086,37.88434883146943,29.73177972927307,67.04018361109085,41.2962913197143,27.074103462639275,21.92545345824198,90.14239644218458,49.65086189787184,29.981281555693293,23.116231821294004,102.61227598629537,19.040236370881804,28.36406113366097,19.040236370881804,28.36406113366097,14.815695383016253,22.769901651975015,16.22366015158432,28.50378641832787,106.14731477531872,16.97168264493363,139.47221279436823,16.22366015158432,100,35.859987471567486,38.82062460937135,29.686359995401627,68.01807927020717,42.316890022672915,27.74321427125434,22.46732026143791,92.37018034118466,51.07230290053099,30.46657248810519,23.687527583217328,105.14824114036846,18.49547618083623,28.758431046423052,17.629367342353014,28.098072900730404,13.890390633921003,24.679423965675195,16.842751738634238,31.46021609630181,109.34920368856685,18.067612349830608,141.92689732721163,17.57010879706419,100,36.45523229484487,38.65850589007268,30.045067601402106,67.99897925595577,41.498947130897676,27.206965863207063,23.034551827741616,91.58134393313438,50.085126690235306,30.640077197352745,23.229671516761552,103.91038354924153,18.275701142608572,29.16418583587589,17.288609415755708,28.202559519937356,13.621903363781117,23.805436803214253,15.547495940170283,29.455064937111153,108.06019036149355,18.46678909823313,141.1301112806426,16.303275509363754,100,37.39239800219224,39.46732197343623,29.87768430681282,68.78359472686141,41.65575231464282,26.211822390190093,23.056313336447353,90.80593924926923,50.085126690235306,29.16418583587589,24.223107906755786,103.31504235800742,20.055066994993282,29.455064937111153,18.054838635272862,27.55496543254403,14.787003565581777,22.881641780262125,16.303275509363754,30.65644039061386,106.76690436397274,19.13367368507041,140.39618554932446,16.425858254238083,100,37.1737637320288,39.420463777816146,30.637254901960787,69.33923691490179,43.483800768063254,27.74321427125434,23.488562091503272,94.50764135015748,52.07332019600476,29.739010985623036,23.687527583217328,105.35137846657516,19.510797768119694,29.739010985623036,18.49547618083623,28.758431046423052,15.555092127990012,24.274641184650154,16.624612536866533,30.637254901960787,111.61009879341708,16.624612536866533,143.4144995432725,15.952307344580586,100,36.22170721194485,39.657859148177295,31.2606778288684,70.13931713109795,42.47678583146532,27.74321427125434,23.510752518834437,93.60950178129892,52.28319336670836,30.722240515709405,22.835661534924327,105.78606341975949,20.52670674248548,29.474815542609914,18.49547618083623,27.497777814208053,15.853936577062935,24.679423965675195,16.467029714662072,28.613001891588848,110.52554544738308,16.624612536866533,142.9519707806155,16.624612536866533,U
Read 3,100,32.02908930701633,32.24662628328472,26.14695145256613,58.05584392446986,35.68093736482014,24.15737812529591,19.80508944087706,79.59106806034623,40.57384778377101,24.699631206807872,20.624200532163176,85.78536501672814,12.13188266597834,25.010516834714334,17.242644970611458,30.619487514068364,7.90901986556823,19.562073005046543,14.380247588779454,30.329706664945846,89.25389056654718,9.119109387264862,123.74520319297905,11.66807112356133,100,32.83462161620423,32.371900598976076,24.936847994764747,57.14232644207218,36.52684027801967,23.3045855832652,19.80508944087706,79.59106806034623,40.57384778377101,24.699631206807872,20.624200532163176,85.78536501672814,12.00995110234194,25.963362701246556,16.389270974129534,30.462865067452515,6.916237237967357,19.562073005046543,14.659009599927131,29.9266767478981,89.75133670515957,9.781036502523271,123.99769315800043,11.66807112356133,100,31.464949776832075,32.09073447608254,25.05657971906035,56.82119612687535,35.8834802899777,22.894113782582377,20.295962546422206,79.02494323995171,39.85920643986336,24.264587980596612,19.45625548730018,83.46569677977922,10.252422939993627,24.569997871419602,17.043442117104906,31.9020617406838,6.582040852778236,19.217519384782367,14.12696326836357,30.150925029493198,88.85655241143502,8.342739707240574,122.37211288929579,12.15422644687001,100,31.768206345812846,32.519436004676784,25.05657971906035,57.31278656975999,35.8834802899777,22.894113782582377,19.54730069904467,78.30266195386224,39.04006344817283,25.05657971906035,19.45625548730018,83.46569677977922,10.95567166694758,25.506060931099874,17.043442117104906,31.734654279053988,6.582040852778236,19.835837343569562,13.614945576776933,30.150925029493198,89.34676069913075,9.534559665417799,122.37211288929579,11.707773461528571,100,32.02908930701633,32.66609378855584,25.50582267704985,57.83995138041545,36.52684027801967,23.3045855832652,19.80508944087706,79.59106806034623,41.61253439353145,24.699631206807872,19.80508944087706,86.02950590061697,12.04054975346847,25.113290157509557,17.242644970611458,30.619487514068364,7.90901986556823,20.390948484180683,14.380247588779454,31.084620283080444,90.44967409402831,8.578536501672813,123.17894245812333,12.192391184311482,100,32.11314639449822,32.06560655141627,27.28471502500141,59.10541245655416,36.32599885255095,23.838155570229137,20.10631342047395,80.1640163785407,42.364830866846816,25.46267202989214,19.915727949329916,87.58479915139667,12.504647216835243,25.567303350750127,16.61685379077768,30.50523877130651,9.446859237023551,20.997057257941147,15.476021962156636,31.307333325650514,90.86747618639654,9.446859237023551,125.14707885710138,12.983466154863322,U
Read 4,100,36.60936340352713,37.01498565133888,29.627875765596343,65.96246508127746,39.00304414003045,24.253327214577553,21.014766014435427,84.15052327318365,47.990860942273365,26.49997769631682,21.46216547313257,95.78351958251048,19.04964268883256,28.37982094782401,16.17199391171994,25.87798803031858,17.017260102738128,21.057785027757472,13.352044185329337,23.629646781533907,91.64075021911945,16.36667668767623,129.6728898328434,13.24998884815841,100,36.46442353819687,38.64591509313902,29.57739088622644,67.82413878702205,41.48968137104696,23.789715035674455,21.370903003925513,86.46936209585819,48.95486950268584,26.69930420610889,21.89328320752737,97.45182017759433,19.432299266861513,29.8940743343025,15.556739002310918,26.69930420610889,17.35909152838265,21.807088844487367,14.5883516529577,25.471916057072658,93.68282104723666,15.915787934843987,131.43136693517332,13.894052463150272,100,35.611021723856304,37.6987643706095,29.096323176104075,66.21391782215998,38.342841111007196,23.54751391006111,19.72788095925277,81.48516192197499,47.178521483697516,25.73050872944469,21.691599185903303,94.35704296739503,16.859399960085987,28.13356206208047,15.898251192368841,27.5047997191672,15.0795057482438,21.01580945875267,13.092677452539043,24.689757378554354,91.40986165369794,18.703824932198632,129.10382055427175,14.63805839567804,100,35.82881589134319,37.0317437978066,28.678492010026666,65.24251344885101,39.49584467786104,24.75149875416994,20.72141093860109,84.77078936977213,48.38148337291096,26.49628874732541,22.893347874663977,97.67814327639678,17.9760756252755,28.570241721281473,16.02313357727362,27.800690069051857,16.831524106133156,20.63578490728388,14.14499094690714,24.625992337791494,90.9622810583888,18.818216033120063,130.98951829004596,14.877106041439495,100,35.61948466608271,37.80903464644115,30.506719951767565,67.67423793004448,39.867026441264116,25.214121418510313,21.108708468844284,86.0781606944387,49.07093160613517,27.279305033562178,21.624679713751515,97.87001455664767,19.16994153167833,28.834676423830775,16.29445030192658,26.073939439730555,17.621754347599193,20.64665889824405,14.409370630090013,23.083666402362308,96.70850766321817,15.155169463090095,131.92833984803372,13.350319445206674,100,36.6128542817699,37.83110118410338,28.94500279256029,66.24640664385403,39.01132316322556,23.529719147160154,21.456127101515236,83.88029159513997,47.57964957684091,25.57029087769071,22.61250011263278,95.57591176343821,17.75555127745613,27.958380960021042,16.754420425018534,27.958380960021042,16.257300822059385,21.233568139025767,13.940520446096652,25.70504960211771,89.61536945671132,17.85257687016593,128.71327815158244,13.816049021671473,U
Read 5,100,36.62326020684983,33.864726608014635,27.269893746127337,60.814425535415644,38.265891483143925,23.435093876108517,20.663542992860936,82.31259452504435,42.13535355148497,25.65020944122578,21.175704808917086,88.84153303480444,15.170945537573632,25.087087466064542,15.249214047771662,25.197569040055146,11.885669544878693,19.45686384662945,14.392422647130077,24.462414641863667,88.2724466702188,12.661621740358036,123.39736057421793,11.408684610125343,100,36.57620251542339,34.074180367063846,26.891358910003586,60.72262299906758,37.82887745788668,23.580040225826295,19.902835524537934,81.22001642218927,42.61335361780105,26.651252684328625,20.440577717804555,89.63786303334528,16.134815346002153,23.37469489136841,16.23410745453105,23.580040225826295,11.338392471023234,19.577204793690893,14.172990588779042,25.36925725723361,87.50602267383134,13.944378976428869,122.46644894301578,12.676708160389882,100,35.779217154607046,34.272399219013536,26.20123148303384,60.34936144121141,37.395263896330256,24.462414641863667,20.56729867370191,82.31259452504435,42.35140961783417,25.65020944122578,21.417933684046872,89.34039646178103,15.170945537573632,24.2014747567147,16.13431650447647,25.197569040055146,11.885669544878693,18.60188242122147,14.392422647130077,23.721206157139147,88.33536040082345,11.338906068024816,123.98765913733138,10.389223866094078,100,36.65434996444867,35.11067639257341,26.655255757068968,61.52835188713398,38.309923997107525,24.00829869118537,21.168957752565852,83.4271781109898,43.38729332483239,25.974718391453333,21.070359369563192,90.39006644052753,15.542015484098203,23.886560789088986,15.542015484098203,23.886560789088986,12.176384105253568,19.93276413967469,14.430399106362959,24.57408417967739,90.43152449331075,12.278565343683224,124.13498684617545,12.90694133771192,100,36.351368842945504,34.272399219013536,26.018854105140726,60.05934535655474,37.395263896330256,24.315980514843975,19.78049292754968,81.43533100776082,42.13535355148497,25.65020944122578,21.417933684046872,89.086859688196,15.378776393436144,24.2014747567147,16.13431650447647,25.007873225154917,10.83788424106587,18.60188242122147,14.392422647130077,23.98737107855013,88.87725899705464,12.598784520027573,123.14949365994751,10.157464811573613,100,36.62326020684983,33.48765457320714,26.7260579064588,60.05934535655474,38.265891483143925,23.435093876108517,20.663542992860936,82.31259452504435,42.35140961783417,25.354564758588342,20.314929623147226,87.98426815234843,15.249214047771662,25.007873225154917,15.249214047771662,25.007873225154917,11.717546938054259,19.45686384662945,15.223169256690477,24.75268416828473,90.13635711627187,12.84828962303426,122.84945515145263,11.98541117779395,U
Read 6,100,41.8230563002681,39.80849585688062,32.82622598394416,71.01268903439488,42.49139465127926,25.82647630840171,22.54562578190739,90.71650823616773,50.07020924366221,29.911690468592717,23.97928126005137,103.89423137615329,22.748743630666414,28.494005910104935,19.33271461374793,27.403608234167592,22.0817804632429,20.62775770688616,15.165829087110941,26.48598184499404,93.30375006608563,19.09329095417143,136.0916639519263,14.586027355212272,100,41.22185815452913,40.66247555580033,33.8395742386262,72.9616102121227,41.70683787538074,25.56471117735509,22.19638516013107,89.29369732794879,50.39212531893127,28.752712205338643,23.634583844200296,102.61329584054329,22.595453256983355,28.084410222146552,17.999562800894626,26.67673494160018,22.296821805019544,21.764359245295424,16.168543008961375,29.914325542933955,91.1265700339947,18.184811895238617,132.88017995838413,12.90197190120886,100,42.05305154194522,41.05980755803272,34.72340346798494,74.1510944444865,42.5478103449404,25.96850243431593,22.6439508302782,90.98565067814961,51.40822704791985,29.3324789923128,24.111149207459455,104.68237998138667,23.941776268249427,28.650701435381546,18.36250416856416,25.721070610042194,22.203213588499036,20.345009989339236,16.3173883442113,27.55430739525693,94.47756221593853,17.94621196581113,134.9707589244671,14.466689524475674,100,41.650221944852206,40.532555810249086,33.006745449674284,72.07580317907441,41.664177456031176,25.96850243431593,23.7467279982157,91.21538055879492,51.60011263319128,29.3324789923128,24.111149207459455,104.90982401514161,22.873844549920666,28.650701435381546,18.36250416856416,26.631634753565812,22.203213588499036,21.2670723779556,15.249229699947113,27.55430739525693,95.32903215570559,17.685162245909776,136.02193222983476,14.017683847315077,100,40.82699062641998,40.24824598807689,32.35435549099243,71.32007359829761,40.66247555580033,25.56471117735509,21.165822211712072,87.31371494794791,49.350459908799294,28.752712205338643,22.595453256983355,100.54564202905804,21.37590996317164,28.084410222146552,17.999562800894626,27.009686796703605,22.296821805019544,20.331237777900164,14.835291034370785,26.105251105017377,92.44113900892603,18.818828680652,133.10279164030456,14.376356102669321,100,41.072296415277314,40.95651804143059,34.039004906980395,73.68049711351802,42.09997621782884,26.352988935384225,21.791239921551533,90.00599881483275,52.139839241688364,29.639290714176163,24.363346889298207,106.00715928485761,24.363346889298207,28.950381903653128,18.55457220083504,26.599598203821525,23.570829867927582,21.927012200368384,15.408733518992099,29.33735458234094,94.61012571842409,19.642358223272982,136.14294048862422,15.136679003540863,U
Read 7,100,32.39201699504019,32.82265355248551,26.497085320614733,58.93905889667151,35.351521102613496,23.234316265617213,19.6110257120425,78.13021556683506,39.39074919798227,24.12383021329741,18.715439057072153,82.1836906161676,15.425056700735718,22.08090443384561,14.241755428896926,21.271143930034086,10.635571965017043,18.20838025798296,14.378043275127808,27.720110981231613,87.6586876933369,7.120877714448463,112.64291565920597,13.040825879026144,100,33.64063424898108,32.83280361842837,26.708028451524257,59.12074120357762,35.83258029756401,23.550486012472525,18.991229575287754,78.31308049643343,41.07455594254059,23.635414113597285,19.81731747643568,84.45820171939663,16.507689269996217,19.695613249776184,13.458635969895171,17.220576599526716,11.464859870067768,19.32590254693187,14.573697937421402,30.55693494337692,89.44042509586416,8.0074054700082,109.73724863143474,18.693476291693017,100,32.466573691381456,32.466573691381456,27.09849126241849,59.21385094968358,35.43288968872079,23.287794684783826,19.656164404368376,78.31004786187204,40.316209407704314,24.549264560662262,19.596267370023597,84.34250275815438,15.68700880547924,21.264894032337665,14.19194364543325,20.836760438986932,11.91007794535562,19.110333874754694,14.411137213261071,28.245495987152648,88.53133841625908,8.718889697057458,112.98892025238656,15.049575070821529,100,32.52390018565035,32.09718330280457,25.56114452391079,57.337088584488704,35.883073691580606,23.022836404631374,19.3337318697484,78.12817751259166,40.68489164771384,23.105861688156985,19.373309663205543,83.07458410701408,14.434117366069177,21.8799229826711,14.980958138126807,22.822343445484503,12.622269474755782,17.721386951966206,14.434117366069177,26.109633975453,88.4338741751733,6.311134737377891,114.46023262224273,8.619690006823125,100,33.475802633507236,32.6719301931265,26.7260579064588,59.127103807733164,36.52561247216036,23.435093876108517,20.663542992860936,80.55836610158255,41.41341398367736,24.704542759665124,19.7202170344576,85.70878197456175,14.692581293960485,23.179709276182965,15.249214047771662,24.2014747567147,12.117122947648504,19.7202170344576,13.829999729407595,27.973841368565846,88.63135218250626,7.182412247927439,118.14677701630579,9.172053577716706,100,33.71004384677722,32.466573691381456,25.85531491945863,57.99695238724929,35.43288968872079,24.163144589157543,19.656164404368376,79.18087739021918,41.44723764419131,23.836600598152017,19.596267370023597,84.86125341007678,15.460560549374096,22.149426351269128,15.075589913178474,22.413223975163177,12.582038246770445,19.334569465157184,14.411137213261071,27.99466767146228,88.6375017461968,7.615372934704874,115.08498583569406,12.29855169037695,U
Read 8,100,34.38005786221978,35.89551999045736,27.946374177856907,63.41914347652512,39.13234691600102,23.508941576039526,19.7814744862528,82.33398378177303,46.517586908197444,25.56408779440889,20.265003454016853,92.1682525812295,18.862840204796555,28.133404766668153,14.399730119358125,24.185596007969572,16.51376655964272,20.892308182184514,14.399730119358125,24.16891053098664,92.33879296431437,14.62213293460856,124.40086885035727,14.030808723446787,100,33.37174598247135,35.719058281530366,27.243029413886614,62.75827558649252,38.80638781925708,23.393372056314625,20.57716201862949,82.71530426356293,46.28890731578138,24.592092406502687,19.986306556129694,90.64621829658721,17.87629603146228,27.418415534819392,15.221117595572403,25.23345408203987,15.609804430258293,20.421272182330824,14.412330619053538,24.721695899069232,91.5407750184191,13.904495160979662,123.5664616287841,14.659652723325642,100,35.50460609635772,36.01326230558752,29.56117410154675,65.13664767356153,37.72913016557835,23.27479293606474,19.58445135219674,80.52810260682452,46.21711502067152,24.191143634922973,19.197005909224455,89.51783322177064,17.807900751001142,26.75252815738785,14.339275675052995,24.289017845705043,15.196093811147229,21.138042372618425,12.732610994465407,23.92818861195857,90.55427908957088,13.220158957152961,121.21696193073353,13.891062118108765,100,33.53661134032961,35.89551999045736,27.975229502196065,63.59700200057101,38.10869206071397,23.508941576039526,20.678818706945727,82.23102642709655,46.68206758353107,24.43451092919329,19.39013127182512,90.41839886632636,17.964609718853865,26.41775113599703,15.375229290059906,24.533369772294378,17.042725196272595,20.522158733128293,13.592693748694474,22.239142015880624,90.73906407922235,12.702897353571323,122.43642656167242,14.483531390098895,100,34.69542426269284,37.618596229896575,29.21666391321404,66.49332802774363,38.99810176249424,22.616865736125344,19.7814744862528,81.33822993027412,46.517586908197444,24.43451092919329,19.39013127182512,90.21740432580417,17.98705146366729,26.15686657425858,14.483531390098895,23.023453908158263,15.057086692032886,20.522158733128293,12.860703371307245,22.90047387762861,90.76129042715624,13.973187088928453,121.56679404198418,14.030808723446787,100,34.843257549393975,37.63318453999889,30.26084686134668,67.3891871582039,39.659573802079144,22.921580904896082,21.01665249087883,83.55739531491044,47.14431452425691,25.908510643163787,19.460681225700455,92.32133730561837,19.138640001482607,26.509275882678264,14.678666815290942,22.483548539332673,15.259949580555498,20.798652087020237,13.925406045314846,23.895138367604353,93.13015032032138,14.819135726991087,123.43649081293265,14.16144668739558,U
Read 9,100,37.77099330981003,34.622850341738086,29.932992830580904,64.26694900564533,39.61878197651689,26.508690844486743,22.221536879429912,88.24281350699422,45.63372401421182,28.084410222146552,22.81686200710591,96.41056337377765,15.889754125750882,27.804558583587166,16.94452969229616,29.234365682146354,11.817291922100148,23.39704430945847,15.389726010528525,31.372628854573158,96.82682583742766,9.97144184764465,135.76211876259023,15.022376496725398,100,37.6541545828078,35.715546778520206,28.588236394121783,63.97819471876158,39.82504210367895,26.752397603090042,22.412901731543762,88.95637776852732,45.87129865049491,28.230621027595465,23.204770152827834,97.19744869668006,14.912525337460899,28.130476614691304,17.13186941839896,30.939693537103775,9.139742102680225,22.185096704017326,15.794803173946566,33.34542037075056,98.81574180693941,10.62473438164046,137.48669031922742,15.794803173946566,100,37.77099330981003,35.53057037093671,29.157835797767092,64.26694900564533,39.61878197651689,26.508690844486743,22.221536879429912,88.24281350699422,46.91330942008699,26.73947921080968,22.81686200710591,96.41056337377765,14.797590106754045,27.804558583587166,18.09242444627808,31.301327333180108,8.521570392451695,23.39704430945847,15.712999415831845,34.08628156980678,99.15827614730487,9.74478856071545,136.77462522826005,15.022376496725398,100,37.11457534315493,36.44633685565304,29.157835797767092,65.12174950110713,40.51108317669761,25.56471117735509,22.296821805019544,88.36300521520712,46.91330942008699,26.73947921080968,22.81686200710591,96.41056337377765,14.797590106754045,27.984784472833166,18.09242444627808,31.53246779447479,8.255205238248234,23.084589015792787,15.712999415831845,35.00791705248747,98.30395961176555,11.235752893705373,136.47616439335354,16.510410476496467,100,36.76678391486331,35.53057037093671,29.157835797767092,64.26694900564533,40.66247555580033,25.45522582981143,23.277365548615624,89.29369732794879,46.66259392166604,27.74422312315123,21.55805734528183,95.87604245173719,13.740619384843042,28.849686214895222,17.206236757319214,32.560874750553566,10.02730470405363,23.39704430945847,16.712174506756046,32.64653886794314,100.01646542381239,11.235752893705373,136.92157186572965,15.712999415831845,100,36.569653345092696,35.883196311766206,29.001501732829524,64.55038449541107,40.444457657004506,26.471148679592456,23.15256049783982,89.9770961344811,46.41240549756962,26.947026110126775,21.44247062065931,94.60564361115763,14.755749419279015,27.65548031531939,17.995419226896225,31.36340178758683,9.917978481977084,23.97341095666816,16.62256970231486,34.82021690849284,100.94704696516234,9.043655663417393,134.7351305506339,15.76955424726661,U
Read 10,100,34.63829721086813,35.66345790993309,26.876456841479634,62.33842569880372,39.98320730203534,23.546808744357808,20.83414377053636,84.24070747402887,47.371049152225886,27.523812354290595,21.79474131908108,96.6463299536382,18.189820128725593,28.06889125659878,16.389837354094876,27.951937034353854,17.82598697157666,21.8884825745662,15.62233167568513,27.58325910249443,91.15148484883623,17.963288001157657,128.75509755299606,11.799461366882623,100,34.34147685250729,36.402145449988716,28.185360185334726,64.19601032024688,39.0820323650483,23.546808744357808,19.93005931723551,82.4324612347575,46.4721523130055,26.800168135675747,21.738302532967083,94.85009115645354,17.407587386127915,28.402452174615775,16.31471165368321,29.184643432754935,16.83355225134686,23.072486486845186,14.592321716377468,30.71595067597673,90.48416187767532,17.963288001157657,128.75509755299606,14.078144059822664,100,36.018867654532656,35.15367231632006,27.307253393310997,61.97274213018861,39.66352476430784,23.89715619261148,21.12417340191036,84.62138995600633,47.16360057482648,29.000098096706363,23.89715619261148,99.90778258132723,18.460462198972984,28.486521710637078,17.54681592077774,29.174100246635913,18.114514073581947,22.19516159734492,14.951157784808697,28.60472355326495,90.90723357655855,20.943707294253088,133.4019688376176,12.322196790042927,100,37.56090709918126,36.658671025772705,27.775117325926637,64.17724573412873,41.36159923702554,24.975394713926438,22.049352424521285,88.24420015716854,49.303850881079406,29.129214300824724,24.975394713926438,103.35408599382401,19.53460210168675,28.812583002569337,18.222677512154434,30.059103201753114,19.15525332822526,22.27699137939471,15.591246620151043,31.270621046479278,93.02631978996708,20.497016146952106,138.29310221589003,12.487697356963219,100,36.00268481817239,34.14636568992358,26.841910403554238,60.7227673708135,39.0503945015346,24.082954148940555,21.288411699370606,84.35510840477193,46.73049078624339,28.150511524889946,24.136254739735836,98.963838612541,17.066909398913158,27.51956450817939,17.68324062804776,30.656229473674927,17.971573342232134,21.52851416070531,14.924579319323488,28.82712236652617,90.71186774158916,19.808343723651145,133.5215805395284,13.252333453606399,100,36.1053847920095,36.1053847920095,27.420888319495578,62.92644120425588,39.798175850823476,23.658025099489578,21.716563405756695,85.02856512272402,47.503738560566624,28.859651996563255,23.658025099489578,99.92380120078377,18.315713460001508,28.377717114406796,18.021859423208,30.89961202558098,18.866144703329873,22.36254993138326,16.146818949744073,31.413688907361024,92.90498822560234,20.187656408860196,135.02150616042175,13.60457041963584,U
