,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,19.257244849240696,32.60181462135734,26.942280255002718,59.49721729797917,43.34778490754484,28.250646096968484,24.19137151948197,95.72208820462811,48.1723992263619,30.29358056647525,24.835769407244328,103.29644201766122,13.26718000067507,28.607844757104324,16.750397151628768,40.76322636600174,9.888772117078387,22.111966667791783,15.992271391661559,40.04647486770233,151.44306999298772,77.4234654170748,150.9729611938775,12.628117761111046,100,19.61969012209465,32.44244897178726,28.193083208524904,60.61702884560395,44.16364407387045,29.065802250417114,25.50299494505931,98.63819856651752,49.74275141835316,30.863743388836227,24.646683186323852,105.24060938973524,12.651604721460062,29.146279937210643,16.765632200238823,41.53044092957497,10.074891093921869,23.32840643711953,15.047615415681188,40.54102587948912,155.52828777019917,79.60978611133147,153.8144598891409,12.865794626279964,100,18.858114261143214,33.159749698681196,27.403360209966596,60.515430085188775,44.92017309976717,29.017085750526682,25.460249981760427,99.31092206109734,48.79787115716066,31.025944592570532,25.460249981760427,105.26770564697459,12.475419569275715,28.242432239912,17.037057088768496,41.470216208691454,9.980335655420573,22.490382469975234,15.606744894984237,41.00790154964524,155.462950405111,80.34790075325124,153.61745560398728,12.844230573889412,100,19.68889651756441,32.68594028928517,26.880932504136215,59.5243243150676,44.315328104822115,28.68098525121481,25.640961131568258,98.57041098287597,48.70763999626426,30.968575143205026,26.075711710770182,105.72772437891786,13.324598001603908,28.190209727185213,16.706582689979992,41.39353446700065,9.96188121773775,22.083184298643047,16.18805697882384,40.93207466468067,156.21126324757617,80.48882544352514,154.13023537591621,13.324598001603908,100,19.535049221020827,33.31090841054869,26.89795578320039,60.14565758701967,43.57859392903842,28.481919133082563,24.643258240120716,96.68774491227157,48.566295479713084,30.24374265576756,24.990682638603882,103.77874962750673,12.245333469331502,27.72155267743029,16.72283999985104,40.70537457283976,9.796266775465202,22.075588854415034,16.542534569696766,41.35407026152758,153.78744600172155,80.85629945400468,151.59010650282792,13.245353312649021,100,19.361572235689582,31.79073469683231,27.626731549993618,59.3993346130141,43.89572034162811,28.204169148674914,24.383284856400937,96.39652195128629,49.589820982860346,30.24374265576756,24.794910491430173,104.62417502463046,10.533834150659311,27.95049336144943,16.72283999985104,40.843281375255884,8.658758334054896,22.462761747463585,15.318907275914912,41.163267205835005,152.2218580723901,80.15784439195163,152.51463290162386,13.442007703056563,V
Read 2,100,29.037302778186824,32.20216941812724,27.122818329011096,59.05295098920759,38.59644711718676,23.921720190627237,20.342113746758322,82.82457866516519,46.042777773493675,26.19413204776692,21.44247062065931,93.61302341457618,9.28962238619618,26.12653417495217,13.870834737149403,31.02753027030566,7.934382785581667,21.02607232968881,11.220911744429213,32.13620382597611,113.6030729714985,54.10200853179273,130.05471340674654,16.33009910760942,100,29.66932471403382,32.03703387007062,26.550811225656528,58.33294198547541,39.22322702763681,24.4749078004724,21.52081762737465,85.16183731337539,46.79048100229401,25.697942527133176,21.52081762737465,93.92769642520511,8.716272672808179,27.02801418947333,13.07440900921227,32.99189583866458,10.004017017709081,22.05724427446827,11.996298160357437,35.136418446315325,113.54983124432839,53.30757651115445,130.38881038278072,19.67669133883989,100,29.798239329637834,33.249329120011666,26.06734004700691,59.10410892989958,38.682321294339545,25.033874112908112,20.296025211794618,83.93051774809086,45.11095092964878,26.06734004700691,21.128939014876515,92.21734062053368,10.908785768230258,26.06734004700691,13.660166649408161,29.56098842629611,9.785939237803642,21.17886962175709,12.014618665164347,33.249329120011666,112.47258360540319,53.15787854229036,126.98729844855899,17.27889593184023,100,30.857719019014976,32.03895427596708,26.135535080197883,57.81480296398443,40.13732893901997,25.785098641638392,21.059445576748494,86.91758520369491,46.807766846201524,27.04784426122606,21.923688832414754,95.68602944491943,10.48462740861323,27.533980497765597,13.319162856576714,31.693991681674003,10.154030291415411,21.975497543097887,12.220869697534347,33.3377269814134,116.47882635222041,54.305498056639706,131.09471438628537,19.855035700463873,100,30.951261314263153,36.363818393767296,28.535652969613853,64.7846760352122,40.66564078186536,25.20418724559662,21.432674563487506,87.26488616117096,47.63732407874386,28.480564785092064,22.435071158479687,98.50026216457425,11.5537481704965,27.810996591006145,13.756468494692092,30.72208386948997,8.772259580515433,22.868387949603793,12.687479896567439,33.26242690141508,113.8291698913573,56.32343316640037,134.22779859765785,17.477255581139588,100,31.225122753550593,35.102515342860606,26.29364490838576,61.25792886742158,40.09194841404108,24.904889656072974,21.898901221106577,86.81931345142078,46.75484451457857,27.01726311881904,22.01946234331564,95.69252856774578,11.339715437819878,27.749271409886614,13.16119842617982,29.685246418291893,10.4727731594993,21.950651355233887,12.20705239834597,31.418319478497896,114.85527235497773,55.777243850492134,130.80778616043364,16.886839310269263,V
Read 3,100,26.514534266868257,31.047818141606257,24.988589122554423,55.9640223653631,38.42720525071064,23.5724948385697,20.1456827020568,82.12611716649518,43.16075647679176,25.964647431093702,19.65199217048183,88.76573568837708,14.01703794076032,22.777686653735522,16.529558932556803,26.82532952299591,7.224215998505633,15.394830515897588,12.6590616058639,20.820138309961486,111.60942682817652,38.42720525071064,123.57670586877494,7.224215998505633,100,25.979162517226207,30.70377800257102,24.711691157073968,55.34388635620022,38.00139429752569,23.529215731404843,20.676736248161696,82.17159576322854,42.73170299562104,24.07163822860762,20.206749028136844,87.0091830925576,13.861715474620937,23.29840585567285,16.43797244137654,27.220717660209683,6.620692557394444,16.923928452414998,12.826768971132775,23.03923866302752,112.07059800560161,38.22982218843553,123.40041371495936,7.748934521503292,100,25.75958477643706,31.39491220447483,25.82020991271572,57.03826941955544,38.7827594629948,24.01301138899008,21.101880686637145,83.86116594104108,44.3991106290809,24.630148679157667,19.912500295791492,88.92490500194921,14.53916671478864,21.36695308201866,15.046498687576472,23.272343170521413,7.291059278207108,15.53727378757493,12.504063504026806,20.758251875692668,112.6421119162664,37.76972379995114,120.45509064237103,9.909026560807963,100,25.90088784647746,30.090145386511814,24.13550579699213,54.08462800737683,38.11463653752784,23.241052157743084,19.862422948365946,81.18118139590166,42.602953272442015,23.999110888456528,19.375673986378946,85.97644846065091,12.788122185759308,22.52376349986596,15.52823798071831,26.312401677883813,5.6243123372068276,16.37022566472272,12.788122185759308,23.53452752121109,110.64864138367636,38.35658710539681,121.36058920364472,7.953978786300218,100,26.354932181809943,30.036904605837282,25.167534932131314,55.05518841252458,38.5510567887406,23.869548700084863,20.210612581058786,82.60429305782182,43.349785956960105,25.204338561247386,20.49902493578382,89.05182916870281,13.012298842266214,23.700673581764544,16.675735740583622,28.31057795042702,5.722906917129565,16.41428584059516,13.728676359227245,24.38182913178339,113.69161758213104,39.28936089804198,125.02971976031152,8.356375923853982,100,26.27026267707289,29.94040616602852,25.086680134120236,54.87831466821229,37.91246012663515,24.328748936310966,20.342822419287216,82.5585983479265,42.37836477978361,25.184389092600217,20.433168485198713,87.98413319303057,12.970494716538827,22.844976864305366,15.749687542894359,26.687645143279116,6.317393628191937,16.36155227849953,12.6590616058639,22.844976864305366,113.68608469320569,39.90088405100773,123.24834816506356,7.835762419683436,V
Read 4,100,30.381199795894535,31.972306355695117,27.439773622801415,59.10708129169913,42.090691341172516,26.769812053323093,22.764021877548842,91.59924751507907,49.31082126091194,29.553540645849566,23.82868499044172,102.62708384778524,8.470588235294118,27.935665091116856,14.881306636086489,35.24074395642175,8.096306133687179,21.66750952135781,13.109071319702698,34.63222492795124,124.69078709970216,62.04630484272756,143.35881858139,17.981151223099108,100,29.775873796824968,30.11683002917537,28.099891544558282,57.59059599220723,42.52165140343551,25.512990842061306,22.310463282811224,90.2704067363804,49.226691501250194,28.728736283363965,24.265190366139482,102.06030060639225,8.301817175537312,26.606780005268806,14.319873347717023,33.25847500658601,8.504330280687103,21.23579823488855,11.409756366435735,30.03195387159802,127.22767013793315,61.144962343608704,140.1659813576636,18.309596200792555,100,29.800613721508444,31.99358096595912,26.915398332926976,58.54076389397226,41.65625617680383,27.167538717803104,22.329000410723456,91.07825691323406,49.068250612696865,29.772000547631272,23.373317764350375,102.14509960061835,9.231905465288035,26.915398332926976,15.475493550812601,34.058099604314464,8.51139628627482,21.253442454249146,12.858556385878986,31.99358096595912,122.75657441914817,61.02142861765414,142.11738123000006,16.97265169022363,100,29.212692111437057,30.74260226509146,27.523812354290595,57.75570999315422,41.71739573435696,25.740203897426053,21.8884825745662,89.28141890354314,48.295616521724284,28.185360185334726,23.806237896770874,100.12992930985506,8.194918677047438,27.62776022167194,15.46426017252042,35.39838410064787,7.678987668994182,19.577653984419857,12.309023084828459,30.137241276645636,122.80046139127138,59.81756694899816,141.21417294451922,18.324395231960715,100,29.800613721508444,31.361314164444295,27.261490140755903,58.16833087896368,42.55698143137411,26.258239758729488,22.329000410723456,91.07825691323406,49.26759255585795,29.671637149165797,23.373317764350375,102.14509960061835,9.277950167209093,28.18378419954532,16.643054262666123,36.11079618834554,7.443000136907818,21.253442454249146,13.441857254949259,30.854458949535456,124.01373621069855,61.02142861765414,144.05618639558134,18.693183836148993,100,29.77116635585391,31.21837299089022,28.31493539214383,59.07727222456367,44.2014788440545,27.272917160471554,23.191843172783248,94.5977254659269,50.23755641932971,30.922457563710996,24.276515296139927,105.31809544727955,6.712052929331671,28.988812844627436,16.38508724770837,39.36019896782778,8.192543623854185,20.7434151431431,13.35543990524894,35.992567607869326,129.64191221521196,64.15800923701256,149.0317606464873,19.415530473982727,V
Read 5,100,26.984615066143007,30.334579885193122,23.449257646928537,53.70288534743609,37.444629139769056,23.329311808439254,20.529016975917884,81.29198690080538,42.819571616127114,25.31578293230383,19.802504862194162,87.9307281165602,13.789379547234882,22.16449877239352,15.791551519936833,24.52779244691522,9.50777305865953,16.27755872727067,13.235732028614457,20.84544616256468,111.66313165204066,49.26483218257085,120.49791995284421,7.816419215642847,100,26.717606499310904,29.22503833134109,24.01406447018642,53.113399317306396,37.444629139769056,24.052974673079852,20.23846129960726,81.69743573468826,42.819571616127114,26.068020559367035,19.802504862194162,88.65799508957409,12.078214402509555,22.952138734699776,15.791551519936833,26.85724650879581,8.827745667192222,15.512738021625346,13.235732028614457,21.186589601261332,112.78529071089834,49.99965321433103,123.26011553361641,6.7922031322879,100,27.102311642561553,29.977887662864074,24.673035981132504,54.5342783408539,38.32845669657278,23.431065349237358,20.062031150949274,81.74277608282434,43.73137408076839,26.181719300902735,20.633801477014572,90.52956823365794,12.130894957001072,22.26117184396225,16.653449643140362,26.974387552252097,8.759207785239697,16.34855521656487,13.293461232545765,21.659794264468932,112.15577091859913,51.546391752577314,125.05120416852408,7.481349034144808,100,26.472517541761032,30.27248197618574,24.22060416619503,54.3517895381112,38.82654055347267,24.259849027200477,21.16003863277284,84.17807793313968,43.91595342506089,26.292225880734534,19.925134989562487,90.11641309171172,13.13404674880198,22.298319662339736,15.927371187385525,25.682114353105202,8.003404970232452,17.024415327253287,13.13404674880198,22.66504654098544,113.2216536753411,51.91687827667953,123.53984120031232,8.465513906772838,100,26.26346525254367,29.818957951410347,23.050671227751465,52.79005300568753,37.19887291624265,23.644126376479072,19.89445144050962,80.72027320707855,42.02727839391768,25.624920861873917,20.180068301769637,87.79149749877503,11.822063188239536,22.562002256672827,16.31775538779,28.03848473795163,5.488255054226541,16.754915511427274,13.753527745008808,25.05435018871309,111.42374301923908,50.87822606821603,123.2989968476286,8.250656483029069,100,25.911248169919187,30.55935113245406,23.17572491592253,53.535286721311955,36.96595432653948,24.463878441772884,19.979742174723356,81.36931694294874,42.27218602527476,25.734779046253298,19.502682988848395,87.47255186933492,12.592949116379696,22.6184708528286,16.36916361368774,27.55892046093022,6.284400770362888,16.826746546825866,13.066532554556247,23.668604646798624,113.56415526855324,50.08753239197862,122.765633873287,7.186487222147391,V
Read 6,100,28.87151338007417,31.88325282651941,27.530593421361253,59.010724678448504,40.25884080719581,26.027359887567524,21.22572332210266,87.48801757153866,47.20444522789215,27.970172998955405,21.66184894844317,96.76133884041752,7.270500269004013,25.410772483732295,13.13032715173689,31.459578938610168,7.270500269004013,20.76087011131994,12.265732265069389,35.91362206103324,122.86268462658666,55.77291404478754,134.37949518824254,18.148265666424486,100,27.47641539161066,31.287910671971133,26.027329504164147,57.11222230181435,38.65545073954257,25.54136228258728,20.659500052971243,84.78042380175214,45.444007350328384,27.49066295045852,21.31255677662353,94.2218170209286,5.382975690529397,24.936288147974107,11.639775608819384,31.661139504421797,8.01361516649329,20.37321138623245,10.946298121108832,35.936177883622925,118.82487767528382,55.808371771424994,131.87028514534703,17.431606728842663,100,28.910620541054946,33.848049149343176,27.64173354707236,61.3519514230198,40.313372377731106,26.06261457406865,21.84104501074196,88.05680110559939,47.26838478707749,28.008059272658166,22.737363756572464,97.94290672173558,6.385287892239006,26.327216429678977,13.81348974244027,34.385827640707554,9.075199224418359,21.540293375251153,11.169691960315136,36.53590089243979,117.25655893222158,56.07431712573605,137.36533769049248,17.533400613100596,100,28.037158562868026,31.294425593576772,27.300372869479816,58.38960867013621,40.313372377731106,25.187512517575136,21.971329349099584,87.38751137735174,46.485597530192344,28.008059272658166,22.737363756572464,97.13196178092727,6.321112515802781,25.87420766099766,13.148112496443053,33.154343057045004,8.177158333156418,21.540293375251153,11.739208957919452,38.50280947323071,122.22448485236505,57.82124108210989,136.46302897097948,18.172847929833946,100,28.576483564215415,32.54057897775184,27.82552500291021,60.10060825518457,41.345747713237365,26.563957090955935,21.48664064413944,89.29172819611526,47.26344068648971,28.546824517755773,23.17474148553,98.91051429292708,6.442705936493327,25.12166417663356,13.177930108859966,32.108170349769736,7.363092498849515,21.18888989088143,12.819501405599743,37.94851012993705,123.58224737512259,58.93349505230417,138.10706291322737,17.77561704171925,100,28.537085838713278,33.15200146483719,28.059443975135565,60.86335709979156,40.14766483059108,26.527333988348918,22.363097537861098,88.9457078118376,46.28558202946386,29.469153569634923,23.27020018597824,98.96212734789736,5.590774384465274,26.335567613776472,13.159762006687824,33.707942685463685,7.352941176470587,21.924375812273095,12.501351570528898,38.05191460383171,125.22282259413777,59.74264705882352,138.86282975927836,17.679580939036157,V
Read 7,100,26.31489373531623,31.962008885681517,25.761942843593683,57.56973849720526,38.2864221965617,23.840655872961776,20.947438338450805,83.05418256872213,42.745415249284775,24.9645001766686,20.146601077413994,87.82480514861484,13.092148961531752,24.012585907096135,17.388424277552375,29.27493504953828,5.854987009907655,17.701050199910533,14.149215443102642,25.934354166375467,113.03916383093731,40.44605362861576,125.5672914228583,7.122899119849819,100,26.754151563142354,30.804132214520617,26.353946282751593,57.037310919249904,38.2864221965617,23.840655872961776,20.947438338450805,83.05418256872213,43.4454239375504,25.060438768604055,20.146601077413994,88.64458067457859,14.672555391793784,24.012585907096135,16.560404073859402,26.818141493254366,7.452181833236732,17.874499581785958,13.092148961531752,23.840655872961776,112.47062769898257,40.44605362861576,123.97373330586302,7.811526978601146,100,26.31489373531623,31.962008885681517,25.18325134676749,57.037310919249904,38.598532817112414,23.840655872961776,20.947438338450805,83.34672208105735,43.56362155490903,24.9645001766686,20.849016000685886,89.35331720307335,13.092148961531752,24.012585907096135,16.560404073859402,28.455477813098582,5.854987009907655,17.874499581785958,13.092148961531752,25.142380476424567,113.07554982882095,41.53328211968023,125.34595989180268,7.811526978601146,100,26.110407365183384,31.62492147878238,25.884108462735508,57.307787352061645,38.781570784714354,24.255207549273294,20.798668885191343,83.74196028060977,43.77020445246556,25.08288424572601,20.947884046612593,89.77703925636577,13.154233195375951,24.126455906821956,16.638935108153078,28.590416435007615,5.882751923348981,17.784990288212935,13.154233195375951,25.02763553492732,113.61176499855827,41.730236951695346,125.94036253022468,7.670170097581436,100,26.476285892415284,30.61147974967334,25.194508358740052,55.686877470092135,37.74835863893972,24.076554777420856,19.719484430943268,81.51092093067695,42.48849177211079,24.50845566510901,19.702850531373294,86.69208849355297,13.574422717823476,22.688356508416714,16.195643371932952,26.364597289010778,5.726024626986376,17.311165540879383,13.355269659462824,24.9460228370708,111.729399425156,39.87714714469231,121.69654728723229,9.443601740781117,100,26.476285892415284,30.782375591138084,24.628563164216615,55.16037368508026,38.19734849808326,24.360853439940602,19.719484430943268,82.2676512629122,42.48849177211079,25.311360609098365,19.702850531373294,87.4939560917035,13.837563762762215,24.306957680465842,17.02469515072365,28.7558197498821,5.726024626986376,17.980082039982605,13.574422717823476,25.735279912658036,112.32352990136661,40.618466933304575,124.58019022516598,8.608102528734838,V
Read 8,100,27.58104660218244,31.464951375867663,24.654170223225695,55.983599890123266,35.87926339452133,23.005688020177697,19.79319155877031,78.59402002280102,41.84205177518755,24.783025649100107,20.72344284637944,87.21892751414453,8.773475102945206,22.866819419271717,11.748280871837595,25.75980987929135,7.880986394456808,19.819993455352197,11.310874095635718,30.928940294049,103.46340333923901,47.02135606633896,119.5455022286293,14.752973939028477,100,25.909426892030233,30.42221890721738,24.070886046417854,54.231516138073566,35.64428091902371,23.422080563529327,19.414364406649952,78.42247000334757,42.59937397926335,25.264277673653886,20.246782974491776,88.06018981822523,7.7444599873233075,22.265901668724332,12.075380606853873,26.215558262847406,5.245210156416791,18.1092732226596,10.620741089886769,27.001371891107926,104.5784944652599,46.42529553688554,120.94731278673669,16.04725736427857,100,26.361130862751665,30.970995514993497,24.490536965415775,55.280120987864116,36.11618449511063,23.830420232221798,19.003288018134597,78.9139524441175,42.59305980233196,25.704734137247396,20.502758803329996,88.76511298375543,6.834252934443334,23.686573322981452,11.716358261328319,28.738766437222296,5.062795420754241,18.867924528301884,10.98884511589512,30.056313587531893,106.40171199140894,46.67666745982257,123.10218269149603,16.327024643610518,100,27.35566933400456,30.986719937994845,23.4572929320405,54.332883546413434,35.64428091902371,23.422080563529327,19.414364406649952,78.42247000334757,41.863218038787814,25.264277673653886,20.888847771424558,87.98204882832275,6.717146456596259,23.280698503783423,11.347124501727137,27.883608232642242,5.649264228072034,19.75154210473162,9.896642729861535,30.122306215038876,104.73884868908036,46.59683636092103,121.70922172598006,16.669538650132953,100,27.782264448675264,29.85025275901605,24.446256952821987,54.12091323086277,37.098304210471994,23.04815208795895,19.717119675007382,79.78425369819935,43.26368544631982,25.658258800552062,20.46568887630876,89.35407565576459,8.321049432866703,23.268713592708302,12.424606375222725,27.659424063109565,6.073721371326314,19.441747627789574,11.91154761250708,31.54199399647178,106.60668749498949,47.323485835586595,122.87960830663872,16.17516238781369,100,27.754106442811842,30.430247686289757,25.156807240855844,55.30062522815357,37.65502088051996,23.495981170076575,20.10022629337593,81.19294356156428,42.58018977230354,26.92350532671546,21.626799539710806,91.09023886449727,7.831993723358857,24.103148493165214,11.922413559834133,28.196850857362442,5.430510568977401,19.199754243145684,10.445795644524571,28.322078050204706,108.52872315145994,47.689654239336534,126.03465125204478,15.832522946078107,V
Read 9,100,29.893706205374134,30.353131464430426,25.789239662072028,55.848175964811304,39.38032872473904,23.477774624178004,20.31775839714693,83.16589713286393,44.89784103642271,26.91462152142562,20.530718329240006,92.32294081455274,14.476496750644468,22.391602155649924,16.007114273010224,24.59638361216421,11.388393485874339,18.00663115279376,15.758154865868693,29.170688246966165,108.80201397393728,49.321208088437686,124.17540160544276,11.560693641618496,100,30.64111584847302,30.74686634695255,25.51085894695306,56.03214679788844,39.89116264387808,24.604090232857697,20.58131638374176,85.06428984435117,46.25865084755524,27.263752725739227,20.894358174476537,94.41433269784807,13.631876362869614,22.806934332352334,16.21475542743897,25.795551866095582,9.743855352123203,19.088028196033772,15.10049059926152,29.231566056369612,110.19864587822666,49.96099314966958,126.84616819444689,12.0857651247624,100,29.822440063502118,31.51581962802613,26.12377263309612,57.29241911956706,39.48222142295492,24.604090232857697,19.756519412180264,83.8101313367301,46.37253464096479,27.39736298665985,20.894358174476537,94.65468232900407,13.779892388774305,22.682061637715833,16.21475542743897,25.795551866095582,10.847306169527336,19.404251174252785,15.10049059926152,30.812776103931313,109.5894519466394,49.55327462201628,127.0283611240158,11.394568634063164,100,29.707163933091614,29.809691119434074,25.327510917030565,54.84827412439329,38.278789521067466,23.05743018767526,19.95399067038578,81.25556925493804,44.95908358509607,25.567303350750127,19.391793284868573,89.91816717019213,14.640222370515467,21.990704475133924,14.87282652045974,24.029373785497995,10.516676488028205,18.812802819683853,15.476021962156636,31.79087287895423,106.85403031763535,48.06668264040877,120.07066180384777,14.640222370515467,100,29.286881382248495,30.19470659213732,25.654635527246995,55.55668247737999,39.17478737700731,24.531890700392868,20.211712064394664,83.90591437635794,45.53976530868278,25.897525067771497,20.65218954339836,92.07935464182064,15.271299099108344,22.27473162069033,15.923566878980894,23.60520888911241,10.652507589165161,17.912647497626143,14.82931229143685,29.01843500859294,109.47072451896932,47.88523921700057,123.20375342217754,11.189942180355203,100,28.913441672046893,29.809691119434074,25.327510917030565,54.84827412439329,39.841029617317176,23.05743018767526,19.95399067038578,82.83602236771615,44.95908358509607,25.70120344028325,20.388851580661576,91.03520586524635,14.403862447572612,21.990704475133924,14.8471615720524,23.51600352460482,11.116089136557077,19.626379960038626,15.252619385653254,31.270766445359225,108.07485327182786,46.485531466100475,121.63277106413052,14.403862447572612,V
Read 10,100,30.968575143205026,34.86658426208212,27.844304483299986,62.460677471051156,39.26935479612179,25.059874034969987,20.929584087355313,85.2053915886445,47.678035997819435,27.310138979080435,22.03045875353844,96.92058047594973,11.480500845650523,26.779794533319627,13.324598001603908,28.74848589823811,9.524217510250919,22.223174190585475,12.607045049992388,30.565386911525554,118.53304393501553,57.097799900936785,133.00428884508014,16.937029199323185,100,30.57024954139455,34.772094144304965,26.404257508865637,61.04306396257787,39.28335214952368,25.369518105499424,20.50351819892127,85.11271549068582,46.70744887667,26.75418341977197,21.581982236171488,94.94755735921342,11.34559340806168,26.234635255318814,12.198857606944665,27.003322423011348,9.169452094138402,20.575969019022793,12.198857606944665,29.378739525448808,116.20332351625228,55.688820466036304,129.46028655053595,17.761804780448546,100,29.44161021946475,34.10503142736952,27.218778276539673,60.97249353907674,39.19882092179618,25.591442154103124,21.293366976851406,86.01306204409964,46.55127313819921,27.55691271059067,22.395613412390578,96.43671145398326,10.364601978647181,24.647652028363492,14.011723701239204,28.49534404759313,9.14972096121075,21.258545421291906,13.166688363555135,31.1889670029152,119.59548346441251,56.073325787234744,131.7934256000156,16.976315134546414,100,29.610888191612997,33.402576794807594,26.454137914554508,59.61890925791253,39.39912321839232,25.256232150884916,20.411961054537937,84.99767790309743,46.443339744061696,28.3383426363246,21.622461677997716,96.31652996348615,11.196569180253583,24.962545047228225,12.995058780954535,26.882740820091936,9.791115715750433,20.484088350152966,12.503408998334939,29.759937228275575,117.09731054389194,57.58026488360743,129.71487405870116,15.361566182909677,100,28.612102149414117,32.26315168530093,26.515616802804892,58.54252392195543,39.19882092179618,25.31492713006153,20.459398044421956,84.92956710996047,45.74860480605375,27.543467033912894,21.535541406777078,94.77842806655724,8.777792242370088,24.25374901636318,13.025259038062968,28.142163408971967,6.9394540784115595,19.342576221590836,11.483615135243877,30.649843027655116,119.24496748885693,56.63860862923775,130.93335768501578,15.80096380675316,100,30.872843852747188,34.826126490781135,27.97116904255226,62.705439322743764,40.77463528242708,26.33260125320573,21.073690206714694,88.07569514776222,48.48056717944627,28.650729698272006,22.40128212587842,99.48299359492057,11.639358939923001,26.830197983296078,13.548881681817134,29.2323891437273,10.20839309785243,22.11315074801409,12.819250661004881,31.079872786659113,119.4526283832602,58.05888740934184,135.22231030915242,16.436171323024283,V
