,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,24.332294492200738,31.897574681457748,25.83518930957684,57.49381844191556,37.9011980154702,24.315980514843975,21.912470158127118,84.11045168407783,42.54772004012313,25.65020944122578,22.002831243168764,90.19357118626543,38.400466926062016,26.079788273148235,24.944320712694882,89.30485577555642,16.642798834983882,15.170945537573632,17.020020645472425,16.903043172392227,123.41986924592781,31.897574681457748,56.18831904221463,116.87028025733716,100,24.857340666658384,31.373252061670854,26.621087136818748,57.84941843048603,38.13561740082942,24.05236261204507,21.661968400133695,83.79102721801215,41.96737149773979,27.49706283646104,22.481061677992926,91.90394849749944,37.81825584390281,26.241092090900768,25.098601649336683,89.03075149396851,15.473894318422436,14.370042615526533,16.159695569487226,15.473894318422436,122.1182242088663,31.116089920598395,57.375234872015994,115.91392288769617,100,24.48919935201011,32.67776542843507,26.467098658391897,58.90007410883473,38.03717438016739,24.910731156258432,22.448432739342604,85.366513910542,43.050018855784444,26.842093948804855,22.541003988734996,92.399638273782,38.5051074376727,26.857605128341994,24.658676802238382,89.90497658866298,16.828592602524207,14.602537190836909,16.52894978212543,15.595516556206132,125.73507419399122,33.22127356612449,59.32982737298533,115.05291236155463,100,23.808059847495873,32.825817879342225,24.877111054439034,57.61613434922278,38.36603370219614,24.61420157625788,22.616892783811803,85.51371334569174,42.53756484830284,26.52257402805076,23.11480858143439,92.14646188133445,37.14912061330324,26.537900567340902,25.266346336228516,88.83477576715485,16.628270280986357,14.456866752530797,16.332194315334867,15.116831647795303,124.02872213511908,32.111991730119676,58.6235835986834,114.61663548249633,100,24.63071563485917,31.562809991883853,26.152042564703763,57.51724670971945,38.36603370219614,24.197687555232644,22.18121359229659,84.71590868453393,42.775872398345825,25.665523439007497,23.11480858143439,91.5443645902532,37.14912061330324,26.537900567340902,24.36514759871277,87.93768738780844,15.979840514626522,15.330507710343586,16.456206683104572,17.763292996295615,124.02872213511908,33.54869733562679,57.74302676014834,115.43322769446947,100,22.99134057891958,31.562809991883853,26.781932374276302,58.19894598345227,38.36603370219614,24.61420157625788,22.616892783811803,85.51371334569174,43.069542560229245,25.665523439007497,23.11480858143439,91.84147935052046,37.97186990968942,25.823466612456226,25.266346336228516,88.83477576715485,16.846912879673017,16.332194315334867,16.456206683104572,18.569086736382005,124.62070120439216,32.825817879342225,58.6235835986834,117.23676264492026,W
Read 2,100,23.96294266881572,36.45949418148475,31.578892857198642,67.99567394659715,43.00424014188345,28.536529290393414,25.00620009471946,96.30374114587202,49.78716407975236,32.40921771329506,26.358849308410587,108.53920708012627,43.47682839908333,30.290759251534812,31.007503588755622,104.58401891980084,19.626491295812798,20.81396975838876,21.41880127404942,28.62590166482623,140.557916068078,55.60405353067852,68.64622196037459,142.61460085924693,100,24.356867545730392,37.05884885825836,31.315628591653486,68.35322050130439,44.65491382328311,28.062262989309893,27.664465258062787,100.17334628612845,51.62784147293172,31.91662296724353,27.75969605693269,111.26671218067096,43.541806432584174,30.357108194172724,30.90847417341276,104.74773308071863,16.72538846820066,22.974087922529428,22.439463338992656,32.262033223276646,145.765111278892,56.98314856205506,70.28719357438435,147.62169983077618,100,24.293084199997715,36.342458257726605,29.365074068777293,65.70685384090824,42.92605197451996,26.97580302962501,25.64099750271046,95.3738662510023,48.55604366728634,31.666606502481773,26.830770779666413,107.0363962559315,41.85603970452758,30.08700486267223,29.711820160970515,101.61326338844114,16.905918783825868,20.337047192073086,20.361015435148943,26.6849502935433,139.37128844667427,55.21155499999481,68.78216433177343,139.4657430763761,100,23.495083431377,36.46852228537978,31.120551968498678,67.509955860957,43.6187930320424,26.685653157257203,25.480594910173327,95.60200983038006,49.712333811633115,31.776451024541924,26.77751454134053,108.25028678622913,42.00122913858691,30.595340020680144,29.814883957366355,102.32633894263871,17.94922723119409,20.836269615092807,19.747134633470047,26.01467740021148,140.85897327603465,54.96699553562755,68.06780905329148,140.21947229635225,100,25.710845928786615,37.148988729417866,30.337418959393396,67.40803200448742,42.69704505161153,27.979374060442233,24.517972005655068,95.00423374828816,49.712333811633115,31.776451024541924,26.77751454134053,108.25028678622913,42.62797456413591,29.699353942064814,30.739469612033346,102.89112680472209,19.063809773707973,19.945105844894066,20.214150698088346,24.617923386271997,139.21062279023496,55.86212357201964,67.80032260252557,139.68607630457097,100,24.858714477343916,35.87825564152514,29.088209614228347,64.9408182735831,42.00596573427849,26.8268652343947,25.068174984755146,93.7356876876331,48.83962475182602,31.2164793166578,26.344103132032558,106.39100881009621,41.65368440579919,29.702703220998078,29.33231075758838,100.6701208981303,16.604315879413416,19.622281393816408,20.1009439626446,25.16280791841642,137.3525089932943,54.957958935421026,65.09435152291151,138.36624529412728,W
Read 3,100,21.524534400220116,29.39568047579298,24.289106948325404,53.41633112734968,35.88780693388414,22.71434527978966,20.372923350163056,78.95261969228345,40.08106213320802,24.979085958434656,21.371150965807946,86.41913359798437,34.80980162471132,23.002183734926426,22.410582673708344,80.05603760753145,12.412480277112339,14.0883358685231,15.829365661926659,19.25212884116994,115.42255279245212,31.011316684741843,34.133818797826315,109.57403061193517,100,20.82745841333902,28.443695982344643,23.946084354902062,52.18559213191988,34.46589803197161,22.22263010571158,19.490535944308153,76.1500623663333,38.081771916366876,24.170133686942755,19.98470399223523,82.22129644308781,32.96615911822696,21.506528652007788,20.974824343776525,75.28563649310556,12.01049983108133,13.632082532378337,14.490039704919887,17.695907480444895,110.6733717254403,29.015485750973113,33.36857783820311,103.17901001433226,100,22.1892988726719,29.33967087176446,24.8801149447041,53.99315949391823,35.619440120861,22.275614892989744,20.8517257909348,78.69873531632092,40.08106213320802,24.979085958434656,20.480291278695788,85.53910473192623,34.06145871899297,23.798828108090632,23.144760619159992,80.87711171218452,11.707803258675971,16.357439492317308,15.707666372155813,22.01565160654351,115.36078249033956,31.240315601227678,30.931652831107623,114.16158829150267,100,22.086267782682338,29.203438614621096,24.176325865060036,53.198945850880285,35.200335896991604,21.91342680913695,20.75490542501286,77.84637928367273,39.332736038108294,24.720680765401564,20.557673468427705,84.57861397819698,34.64817002813432,22.954616011788673,22.306524101446872,79.72180001762949,12.354845676769026,14.080905936426003,14.814085526416408,18.203256242966493,114.40094328074763,28.82902007017681,32.2360373358329,107.88090483714953,100,21.519718430727107,28.85886781669184,23.89106987160485,52.571252534941266,34.785007825956455,22.590039940671264,19.812775686431817,77.16540459001125,39.282699374105746,23.71277581369221,21.02093181305435,83.98904189439695,34.23935695132748,22.62523607721641,22.870092451722623,79.50838507656006,11.306755059184285,15.364182891281127,15.364182891281127,20.510018704047667,112.98541776783114,30.5031195795658,30.572602857706272,111.03661436951519,100,21.6157534606689,28.494172352257593,25.173239496796043,53.34535218123972,35.8773863054773,21.75150888480285,19.90119322369661,77.50976699252722,39.60017149088993,24.679388094861366,21.11474093154117,85.38228101841969,34.39215531068304,22.726204648487922,23.592823903134246,80.5571568715533,9.510571365864365,16.88989155112327,17.07896339151182,26.1431975787631,113.0052124641137,29.85178983554491,32.71736012143961,116.90906703230901,W
Read 4,100,26.03717880600127,33.945650743116985,29.91869366344179,63.72791196704774,42.51497258527695,26.228439451282377,24.30419215249183,92.866187820458,48.76703741631521,30.5647655707939,24.803835712598072,104.017748937688,42.311422347325355,28.03706610076786,29.857883247599286,100.1724701609677,18.3368770845294,17.52600220290776,18.3368770845294,20.401272220240894,139.3791752791477,51.20323737653303,55.02714848298117,132.5894224427341,100,24.314972411858225,35.2034606279224,30.346919928154776,65.4633872626952,40.82835491058275,25.43995232158504,23.842792077026022,89.93408981704896,46.99277855195403,29.00600845276503,24.314972411858225,100.22266180333718,42.0003957222213,26.61600948425644,28.3965705614682,96.86793815364196,16.332412977249582,18.061542986839957,18.79711142078161,23.0975199387047,137.14508686907794,48.1419159309221,53.075707934771195,132.68185451995566,100,25.760194377820806,34.25748056588161,30.32945233128567,64.15716358507017,41.4288957194199,25.558414291124205,23.683323332990177,90.49385139216018,46.6784747845838,29.740474860347653,25.081281932187647,101.40735040419598,40.80981446630524,27.945395181590943,29.986088976440268,98.68172840938682,19.150513820797315,17.07828733009776,18.601936269856747,19.88010641805174,136.38608194878182,49.049247682096,51.38622084882242,131.50602778736348,100,25.542879049373724,34.614711537121,29.706125828614216,64.06571984832675,40.516560408555996,25.73050872944469,24.760501814034836,90.82917100112806,47.92341896687162,29.94072868901547,24.314972411858225,102.09016432256333,42.0003957222213,28.13356206208047,29.036144573571537,99.12144918908523,18.15812946689198,18.061542986839957,17.866803679549985,20.764615459809704,137.47629413746745,48.53092956262647,51.034372578854395,132.25601443683672,100,25.083855168539827,35.6642743546289,29.819201570499224,65.17842427037527,42.37359262893636,25.846024719687303,24.42747768585737,92.55736914362036,48.68837235275613,30.46312502020218,25.67079541302859,104.66842264262546,42.670805839212576,28.34476748727088,29.75859337456689,100.70362529015566,19.5872001216991,18.349841250192842,19.02611343895562,21.096060153134932,137.41292800591816,50.57095822202855,51.8489829915145,134.3670843109829,100,26.03717880600127,35.15555560454867,29.91869366344179,64.83065066127476,42.203896322552254,25.932260264509907,25.23966119137031,93.23242897282098,48.85082164087305,30.5647655707939,25.756446303348515,105.01764998223385,42.813177450687554,27.513574241490584,30.77218759117059,101.03962403993216,17.395889028498246,18.08738413823668,19.089594275024584,21.316186630121926,137.6570219728099,48.60838430498366,52.021977691676845,135.5045690045621,W
Read 5,100,25.164655681584723,32.419778770139494,28.19757853089268,60.375851468019924,39.4980562062321,24.730912375559146,22.70773093553133,86.87016462212867,43.57566678672267,28.247589055312904,22.394793637821703,94.21246731157846,39.818364054270624,26.208664440986123,25.295188302270436,91.18762149427506,13.51090142320702,16.490445242021536,17.701316898724087,22.70773093553133,126.89559181779056,32.593457399187976,47.62028405716783,124.62099794941201,100,25.15202744406494,32.42457419254837,28.401435434456015,60.58607226465088,38.764800212304515,25.13400377464601,22.62921615385513,86.51326970933991,42.76671257657312,27.999697581593185,22.888071744423662,93.65169831543757,38.0926295196926,26.724426594855675,25.774916928181423,90.44674696506947,14.152769180615485,17.136329017517134,16.295927997547306,21.07382294476262,125.88619452419138,31.988380838559486,48.59025192374274,123.25603846123994,100,24.69749004393154,31.817926441485916,28.560548362528557,59.91667546671577,38.764800212304515,25.13400377464601,22.28617652459944,86.1300360105373,42.50097921848765,27.723190743642494,23.183160056903887,93.37547475429726,38.12830235053463,25.722117452601477,25.722117452601477,89.50997161875978,12.376237623762377,17.162753596077632,17.37270334243589,24.402143217776647,127.23253263901927,31.988380838559486,48.702039460886,124.94673218208953,100,24.44871041198374,33.228070957905175,29.10523685888058,62.08742468955052,39.32808657706609,25.756836648671385,22.838438850184634,87.88072604791058,44.49465073557611,27.473420176251164,24.390243902439025,96.35350341562058,39.07314028195275,26.359524070451304,27.38667092218185,92.68806147522825,12.340595746998552,18.562241551649215,18.76622835285009,26.539454651191107,129.70107030518494,34.14634146341463,47.89439105808225,132.06815971395983,100,25.006805137005028,32.237361790679415,27.644262880284398,59.57072968314079,38.54098073166556,24.609559867486983,22.15750101414032,85.26052456138983,43.42667201875802,26.654288386803067,22.755921022567545,92.83634517928425,37.90815786938151,25.573603570480444,25.573603570480444,88.99316061367274,12.304779933743491,16.090866067203027,16.20183887233667,21.852146484837093,125.83397734293854,31.04821479764643,48.35604268601912,122.54438504466296,100,25.13400377464601,32.42457419254837,27.80480172602862,59.91667546671577,39.25271920808893,25.13400377464601,22.28617652459944,86.63366336633663,43.17799112889782,27.723190743642494,23.183160056903887,94.02355388519717,39.13709975455915,26.673506713865006,25.722117452601477,91.43836972723985,12.042184539864355,17.162753596077632,18.31243722550585,24.989346436417915,127.9110162305288,31.988380838559486,48.636861288822544,127.7975947795113,W
Read 6,100,26.71776758875124,32.7831246627144,27.465980386500288,60.0546152605168,40.318898197557104,25.107217974908565,22.73100710410478,88.05486893813402,45.68875882781368,27.653463657758245,23.1811697574893,96.43949559907246,41.48498617736035,25.993901100415925,27.996288281218938,95.44941162686213,18.184805683283823,16.91660659861829,16.96353208848114,18.05318895445487,124.82168330955778,45.19897238101489,39.36116272226126,126.80561125221844,100,26.823093301647642,31.972142658743767,27.476563212862803,59.09697132029527,37.64389438254318,24.46802995973364,22.1523134659518,84.14290933131797,43.58306092270208,27.817900067046875,22.607718883061413,93.98430642446753,40.42884742073801,25.33213960746069,26.42611230471032,92.15919469804687,17.72185077276144,17.31241536638394,16.508819184985665,17.89144172558346,120.7875469150912,43.936734311479825,39.40756093647952,123.53152360772077,100,26.24728915820229,32.76021837893892,27.365944391488608,59.70385573259857,38.486593270737266,25.28248995426438,22.648216725560918,86.27843346496068,45.44427667203931,27.552744815263072,24.0015209844653,96.97522671237182,41.333890465068286,26.00565189358523,28.049486370874913,95.3669297041125,18.118573380448733,16.85499330284292,16.901747881709554,17.987436023200306,122.24551190564858,46.09942522991604,42.01557640716165,126.52164793426407,100,27.568409432991526,33.30021627687619,28.416866005624584,61.48520453018292,39.20756384151035,26.353338965721335,23.26689616684605,88.76162776643787,47.19784546753049,28.973412839062668,23.529411764705884,99.65029658617759,42.10819954436867,26.492816594216194,28.416866005624584,97.01425001453319,18.457989189476145,16.90637257218951,18.099547511312217,18.21231836877657,125.09000465567611,48.24471650773518,40.16713306999484,129.5667205062884,100,26.75486775290324,31.727370223411985,27.578286436162976,59.027428770583356,38.34336896705265,24.99604684833604,22.391619153314526,85.55825665173056,45.006597489263854,28.104689970138764,22.835060600737748,95.83226649888871,40.141910704466675,26.71158673062629,27.731694016945273,94.58050947808539,17.91329532265162,16.40746679454541,17.587374314509738,18.084718322478484,120.86050654504533,47.17389426311535,41.344114863656486,126.83956417132028,100,26.03451705470818,33.02786996914497,27.86393215409621,60.593642600948776,38.46837598544906,23.969460760834334,22.653908066230397,84.99641194717901,45.0758853200411,28.210081229327905,22.926446085571744,96.18910274924394,40.27278132708234,26.7986718226197,28.538434647460825,95.60618218887272,17.97169623259418,17.556488540991516,16.834058661153225,19.061862413238114,123.0311722668574,46.89922771053401,41.478904911233826,128.20134320551986,W
Read 7,100,25.056261140679602,30.300834369936773,27.60434279919554,57.404023673332304,38.31300529578501,23.808059847495873,22.272682902386993,84.33587458373658,42.499311634766634,26.52257402805076,22.813798612451112,91.8326241724301,36.973577419063936,27.05383713590044,27.113890122414837,91.09910725890362,11.723329425556859,18.12584655265739,19.129951695911647,27.663200739792526,122.43169085383451,32.825817879342225,45.098745603931775,130.30853543647538,100,24.81113463697345,30.81799771066303,26.179569864081195,56.74365936679766,36.62346454712586,23.246242462699808,21.27858760868992,81.1268551414103,41.243421426892205,25.640961131568258,21.74709700665399,88.5606477814927,37.02350275887759,26.41542660913974,25.550089158311014,88.93629512523704,12.264143943985314,17.632283520736806,18.678527283258276,25.89670013181781,118.35630958560574,32.75702251957079,45.82059287226446,125.34267605370607,100,24.610175357749874,29.761377531286875,26.99690107020048,56.42376725822138,37.63090484720638,23.384196248793774,21.876154181095604,82.83441215757794,41.48817866653807,25.793126268487224,22.407636210227665,89.6742990758042,36.358504431840196,26.58694600496658,26.58694600496658,89.47723652736778,11.88344363595991,18.684697174250655,19.666610550198865,29.135313026392428,119.6273217527173,33.669756968553074,45.181402107553055,129.466529577396,100,25.8392078309936,30.846120256988137,27.48624881256772,58.059044468644146,38.31300529578501,23.808059847495873,22.272682902386993,84.33587458373658,43.3612238440664,26.52257402805076,21.960132855777655,91.8326241724301,38.7771665614573,27.05383713590044,26.214161518168694,92.00072680931987,12.560544933884138,18.12584655265739,18.12584655265739,25.665523439007497,121.80904839310287,32.825817879342225,45.12578592550024,128.59034066053792,100,25.35811625344493,31.943050104955738,27.817378213248464,59.42802079437695,38.3750954488065,24.094877762971773,22.22468862258998,84.60694485590427,44.505559332797695,26.842093948804855,22.81646436068267,94.1499222364428,39.254929574895634,27.379757232819202,26.52996596467762,93.09564830062946,14.744450507806436,18.34421031508787,18.45737739906606,24.927444161262507,121.97230289680189,33.78069822637902,44.72027014693803,129.07586668645934,100,25.36925725723361,30.660866576706834,28.003763628206002,58.326634940829834,37.283317216001116,24.05236261204507,22.138919030527912,83.39694047768383,42.84839871895704,25.24225141686756,22.676784942046467,90.75141955591874,37.65857213624957,26.891358910003586,26.13370336520841,90.55198999587508,12.026181306022535,18.016987488563807,19.01506224058482,27.80219150102335,121.70300061281647,34.600679572640345,43.931698654868576,129.45457849181187,W
Read 8,100,26.33759069970946,32.68050248662789,28.23832984579448,60.57638415462807,40.4065863542267,26.457191142908382,23.49571065980241,90.15198005572636,46.07059677323545,30.525517485018888,23.762932858195082,100.27031832249334,42.176091387927656,27.803744264990875,27.689960560572228,97.65893647395414,18.44096100194472,15.460937027352744,18.14509751594909,17.43523577802813,124.76579087024103,49.27769691736289,43.58550253807109,129.19848438708138,100,27.842141105058538,33.25742610887131,28.26337745016749,61.22337964581882,40.088533063856694,27.0848580985593,25.24210984102512,92.29073388495313,48.12588690623075,30.2036452445485,24.326681581325822,102.55237292041316,43.17667148502581,28.346873577274184,27.500506803560434,99.01137281945333,18.702366613195277,15.373250657114143,17.52820260313072,16.182126375394496,127.85887377744888,50.87593758658679,43.87171287381032,129.34742856964442,100,27.842141105058538,33.86305253722508,29.006191327518323,62.56743040620776,40.62728714783895,27.0848580985593,24.05311983831401,91.63282763895702,47.99803615827898,30.28179193465714,24.326681581325822,102.55237292041316,43.17667148502581,28.346873577274184,28.61242385913886,100.10335577041324,19.102462522497326,16.980310351553698,17.52820260313072,18.34512616831619,129.09503596539923,50.00443702721941,45.57332676813987,132.3207396477304,100,27.564136327852182,34.76761143285463,28.314782269088067,62.92108371692257,40.79785669942624,27.198571132950825,25.10244118762437,92.94013387160524,48.19955105330006,30.330452190996024,24.4872802264879,102.98292867471677,42.390731001937915,29.43724552173664,28.5828571925492,100.39552256729769,18.95771122724819,18.24013053336204,18.653557092894744,20.596585734943357,128.26196173333017,49.785388728693455,44.80684985582411,135.84205832622564,100,27.03877830378911,32.62022098635456,28.572806992005166,60.951642856804206,40.37398507491235,26.680180590334484,23.693739827321103,90.58328716521882,46.221352406909894,29.752369633194267,23.963214257632035,99.90157885570575,41.5827858367827,28.876187015958884,27.089619047468535,97.53203423504236,17.477528580494834,16.055027884532336,18.42293272835106,19.393215909698867,129.25183724039718,50.57131992124924,41.35050884957935,130.38242371605506,100,27.8714964676807,32.745127738345026,28.751534108344817,61.36574273102761,39.97664390230561,26.277498872151906,23.33613220800487,89.48998189326606,46.37580814369156,29.303319624580823,23.658025099489578,99.33432779832283,42.02748685962732,28.44036115778009,28.549657485938223,98.98884725852206,16.474152623877917,16.715446794330106,16.284007642328145,19.62895202969985,125.97302163911083,48.95210167089565,42.364893072135864,131.33669040409026,W
Read 9,100,23.710890226507168,30.468443310381886,25.868178110148726,56.22007186144889,37.83608399038127,23.840655872961776,20.947438338450805,82.57400085415912,41.97662285546601,26.509581176752707,21.734544586249378,90.1972103412849,39.23278211636047,25.8814268578087,23.199347066526293,88.24147249093593,14.100675967480667,16.560404073859402,18.38503213643663,20.963797136991246,120.06292953548066,29.484961190303647,51.36395601315169,119.33836697323156,100,23.182122209711125,30.215748879904904,25.78472404024894,55.790073087413454,37.206473178548826,22.874672815214513,21.554286004937897,81.59632361497562,41.42551570251088,26.28972014055201,22.110218455963636,89.82151620307722,38.207883475552116,24.974390418370092,24.689269795324204,87.7981041525614,14.87171150950471,17.32223937405895,18.36153701346518,21.554286004937897,119.10114420079489,30.393751885895465,51.7912531818738,119.07849601533685,100,22.679296615509482,30.15476281992844,25.22544741019856,55.1270516204941,35.9714221999327,22.679296615509482,20.591268666414358,79.22189477553027,40.167095115681235,24.942440064685133,21.853262385500393,86.95410750472243,36.37285161526919,24.577536215903528,22.507914084386087,83.30388258523385,14.65961406723543,16.066838046272498,16.246584524547465,18.319013899407743,117.59838912682376,29.242086637534214,50.7696828705815,111.67608269969348,100,23.699788807073716,31.466865033564993,25.697158940587585,57.03588902438895,38.3601734680855,23.699788807073716,21.237593419532434,83.24503396443313,42.55806533121752,26.679396544779554,21.794417370294106,91.01399093146064,38.231355059555746,26.36050783765544,23.520694637545162,87.98635890520579,14.369747119395305,15.20380311977404,16.977626272797753,18.582894242090877,122.30645969948533,31.91164843644763,51.38060358663317,116.68905305574211,100,23.281885962698066,30.753647292894442,25.583331157566178,56.17102415226596,38.190253769480535,23.59480854741848,21.93799372905422,83.65228544622569,41.56227917812405,27.567776853273116,22.503822846362326,91.63038912605596,38.77112747093423,26.389725706388543,24.251764527449907,89.25549068012553,15.067075952628457,15.90162773960756,18.85585319294355,20.09329758490816,121.76469268201168,30.93481909456205,52.71323704545417,119.51525282072713,100,22.526186035047687,30.958060831543847,25.897432524713537,56.595590810054475,37.68629990530593,22.974661075767617,21.648502677784226,82.24710996417977,41.81044735880107,25.60688609692375,22.206865184059804,89.62410133923312,39.07746883458023,26.04149015067537,23.97433707834826,88.9995886071354,14.868252682325725,17.397957203900194,18.607033686892333,21.648502677784226,120.18620194274222,30.021071708373263,52.80927206130183,120.42366844334171,W
Read 10,100,27.042787770126946,35.64835343501524,31.75298368553597,67.36269972745878,44.58397694405417,27.460716531226222,26.026200205857254,97.79880728506562,52.02936327829507,31.92243454968412,26.369417669533117,110.27857932345712,44.46280631609976,31.14302562866067,30.96931046475627,106.56323276554419,21.259704192431403,16.677484081602778,19.98060614353954,20.130051802091575,138.2390373554068,53.919072603723336,53.28161638277209,139.67553855565694,100,27.170712948797505,36.635480319794745,31.15468043675752,67.68135716291319,44.3468523008721,27.170712948797505,26.149316444454808,97.46999530621201,52.27548677895147,31.978969975244514,26.494157489091954,110.6745664072884,44.673136422985586,31.290346872008556,31.115809953203406,107.06732726597522,20.551751036600002,18.798688108509413,20.075123862370354,23.388659653981623,139.0236142523575,54.17413532341091,52.44883362402735,143.72759414144284,100,27.545396872222998,35.09501044755785,30.640660566027588,65.56820664329224,43.89193289102584,27.034464167261948,25.62221477633872,96.28074883416022,50.32927683487659,31.426926241485937,25.960104729529586,107.63165606438821,43.77264310498427,30.659615507875163,30.48859679579811,104.90913062926758,22.222192657204168,17.842993809687236,19.67046199298767,21.39639241271878,137.73963863286224,52.143523218487985,53.51812692597353,137.726984361115,100,27.012965584007045,35.1941957902652,31.334357774600917,66.31707843170001,44.8736839420042,26.623022604782733,25.62221477633872,96.89427640075124,50.155826772154114,31.334357774600917,25.960104729529586,107.37225020967078,43.77264310498427,30.066456140953655,30.48859679579811,104.22574864061927,19.87613335624208,18.41975583770083,19.67046199298767,22.222192657204168,136.22126264459737,52.56520573563269,54.762900920041126,139.99047637326743,100,27.170712948797505,36.56935124003225,31.271001988012962,67.71711065572009,45.79682793509053,28.19803216276412,26.149316444454808,99.91639784078801,52.124786536775055,31.978969975244514,27.70006229266044,111.76814527734885,45.75717127191511,31.502356574865455,31.115809953203406,108.33710014618418,22.437929652773523,17.219445371285506,20.075123862370354,20.285026308675217,140.71950894605834,54.17413532341091,54.8071230234594,140.6851031976355,100,27.81346079054754,36.135006872585365,33.29633740288568,69.13390234138707,44.740609036062985,28.448403147561145,26.381496834638654,99.37591737667424,52.739642044469356,32.35822361179412,27.769136522079474,112.76053724429536,45.06979024250156,31.782066733132854,31.568174591182892,108.40502061775608,20.465137530061902,17.93062643884962,19.383184457905635,21.97446156850536,141.96896074580138,54.65514873360768,55.504993340954435,141.9342495079364,W
