,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,42.6908788060597,38.41704220267057,29.10189594300342,63.694267515923556,30.187009898577877,21.911494145024882,16.773388308303467,68.80348723779306,31.142084433259583,21.75757306337532,9.034340477504054,8.080559775830789,29.478900453682165,22.876271494225872,14.731304633388444,16.859040209784666,21.911494145024882,14.957704578612198,10.955747072512441,19.986357721088815,58.93336581579577,70.25359462590855,19.30202410935052,18.06868095500811,100,41.8618507854852,37.44237760811915,30.519179818515305,64.59990092640669,31.37248523974938,20.948121828938703,17.88171248495312,70.15100961918839,31.142084433259583,24.80938540161129,9.034340477504054,8.429520104892333,28.21397363819298,25.64674635630064,13.753717636078589,17.336409615829623,20.60146598885707,16.22042661170686,10.823479683671984,18.01545939328783,59.605708283177066,75.91629181086356,18.92524048586768,18.30626329472749,100,40.696909688541744,36.62269179619366,28.410847876217744,61.084662211197816,28.57927798370547,21.075224983985947,15.206745068752644,64.85401198583757,28.97349354371008,21.66728352123905,9.388020197217086,7.531301025967818,28.364738814925687,21.987113117122504,14.012143858010274,15.547236783833013,20.122054393776754,14.012143858010274,10.650868053238092,18.891871477026328,57.470671332170106,69.8111700757903,16.84050105307795,17.224744432121227,100,39.840927685258606,36.34888351320928,30.277455218492296,63.08017370662254,29.536101020281627,20.5356099171641,16.421876428493217,66.45452510111484,28.107470895536835,24.897740350651446,9.701330885831021,10.846417666468206,26.49997769631682,26.788675495298182,12.512315865644888,17.695086793891054,19.14441761558039,16.61363127527871,9.56038396225351,17.873187051042557,58.52583110834104,76.21044616579044,18.95439387858759,17.149692139764028,100,39.772997130256655,35.714279763845646,30.62118618980094,62.53607850683086,30.57581024065943,20.08910238389561,17.740127876261088,68.36959016524867,29.308343682370243,22.460299268671832,8.870063938130544,6.937755003779082,28.942868879144356,24.12918261301607,13.60605697876751,14.96666267664426,21.513065013467283,15.0591455094271,11.585140060412058,18.254440986155736,60.55077536101428,74.87041161571568,18.58111209912254,16.127626144160295,100,40.224156299409685,35.61544702672463,31.24981620598133,64.07754130042846,30.424644186692845,20.201399439576974,17.88171248495312,68.45369601792444,31.142084433259583,24.80938540161129,9.847991789437422,9.799118079372857,28.569093066365998,24.576063114129255,12.776486830382458,15.951808521410785,19.720344730522395,15.33804590151742,10.955747072512441,18.92524048586768,60.975401023435744,77.20809643740208,19.02644570205546,17.364081476403083,X
Read 2,100,44.94982327513692,40.045495881152085,29.290102226652024,65.06505378445934,35.88178521411472,20.322908434006997,19.32623096830043,74.73086030652779,32.820236770348046,24.83911030823078,16.935757028339168,9.31038867701854,27.097211245342667,25.37225364597971,18.100055935284406,17.851855369585525,20.603237654843245,16.2833974278604,13.965583015527809,17.197184387182812,76.78373325468807,85.36846085905356,19.750316907006777,20.322908434006997,100,44.702513445754285,41.28627062845326,29.665045617837208,67.16414295413512,35.94837321711683,21.333932180552438,18.105227370982597,74.41294195275496,33.759928988037075,24.70244778800809,16.879964494018537,7.939667428548704,25.849684332408128,24.52316378603364,17.965416573096793,17.575203056926266,22.90150241901094,16.193807659842758,14.640023366725016,15.639331099465666,75.9307885142453,84.65338794058283,21.801580775822593,20.242259574803445,100,42.425864803107004,38.93178197937601,29.137378120275358,64.51414531855777,37.24155470807416,21.481650209371626,18.100055935284406,76.18372093411918,32.820236770348046,22.609218013436593,18.064807496895114,8.598592193591406,28.24883369808469,23.924150502898375,18.20539177667054,16.784541884744844,22.833632625219245,15.967184852355144,13.965583015527809,18.20539177667054,73.3882804561364,85.12171988244673,19.19385796545106,19.22703665566942,100,46.1309152951246,40.65134177872366,30.280446564178582,66.94822632210995,35.58550073641266,21.80664480279707,18.373890592414206,75.06069606891893,34.55544626173372,26.361031518624642,16.08672647291484,8.343965489146724,25.24093472268795,27.554877433057435,17.191977077363894,20.50262902005538,21.133626263135557,17.4573595549889,13.753581661891117,14.677648681794496,77.33629986401071,86.23451830820255,23.628112467722985,24.096041308456893,100,47.368746139809595,42.187709377274146,31.68862426229554,68.32023195810282,36.540366473484816,21.183947275509002,18.866917196518063,75.76988867986289,35.48267254720803,27.0683770742615,16.64368085645634,8.32184042822817,27.0683770742615,27.17052225636153,17.692475436475117,17.925792881873388,21.70070485416709,16.850442583589917,12.945745557255503,13.72473083404802,82.72595867148392,87.47042097710741,23.830124433701997,23.56712297811085,100,47.097149069735806,41.94581869631388,31.95998194183867,68.79974067909713,36.33085583023643,21.094964167236075,18.867909544344837,75.33544864413702,35.27922637884703,25.743037678446058,16.548251373427277,7.117672045750316,25.769618003212308,25.55620134313311,17.552071144395043,18.315557971563923,21.576280031109025,17.276881652508074,14.041656915516032,15.256733922777087,81.35615865091832,85.89961222669298,22.719971728232622,23.402761525860054,X
Read 3,100,36.30812050996357,26.465204186817875,17.511844585362084,39.398647485804986,33.30605501045012,19.004811754125964,13.758604508216061,53.42875542293336,31.626839271469283,22.774542861647063,9.250039864892665,37.57887727408491,32.20806739178864,20.183455455522456,9.250039864892665,38.80804580747957,28.06215714687974,13.282577029649973,3.8915210189693528,34.947938788762976,47.66914697111848,63.831621771992026,13.758604508216061,6.1530349911812365,100,36.667496149805345,24.707933453036354,15.810518689110308,34.890566513852605,32.040929579210825,17.522760839854065,14.524443255958404,51.393851110347555,32.3438973063161,23.799405014874633,8.751066843167873,38.63431594513732,32.47764245566137,19.54951126221845,8.49978750531237,37.90752761747175,27.318586791310157,12.080467831323327,0.0,35.506329917901276,49.8887567898995,66.62987708377736,12.549785856551978,10.199745006374842,100,37.115323766987764,24.609620477054914,16.262591188874488,34.720786749762745,31.913438579361262,18.275510620490095,14.785175411931068,51.42682881302891,31.335515616867156,23.704707077548253,9.157343232637967,37.9460461073738,32.348413773353876,20.318320352184216,9.872929046470201,37.288715789951304,27.988952344762172,12.499850203380797,1.6931933626820181,33.4914331948061,49.610854466588584,66.06167008093261,13.251334103029567,9.3125634947511,100,36.571335980685156,25.45439713858012,18.183797181043865,38.01582117265743,32.9931199189805,19.447485859285365,14.268550432934097,52.12039120017575,33.717105793652166,24.997845013360912,8.874778157906213,37.18585399555727,33.717105793652166,19.825877079562105,10.800762077529235,36.65251551671287,30.1821246444472,13.62933221346599,4.641983283453585,33.172797870690204,47.08732103697151,64.47120748664823,13.899246182740365,4.309973278165676,100,37.029449974460064,25.722444744672433,17.695732298788243,36.909871244635184,33.15572174391067,18.349835473332142,14.667817588527946,52.61319457758611,31.80602113931142,24.907498933127737,8.583690987124461,38.281722096099145,33.575291357266856,20.60085836909871,10.010217845227983,37.70966976221252,29.184549356223172,13.074288593757782,4.2918454935622306,34.173440750891636,49.52573986867521,66.11671214301018,13.840785833988923,3.838743309012514,100,36.2150010243838,24.789830524233373,16.7897918065816,35.29851585229792,31.645528584571462,17.30652126266647,14.345204407853474,50.75962544604088,31.07245722518762,22.66621893888516,7.9197289557224675,36.880259631445256,31.242098834668226,19.326501734757116,8.3948959032908,37.43972988747105,27.753988003385732,11.41829290525138,1.1872175641144183,34.61304252533294,48.501869797361614,63.933622446809174,12.814252453386286,8.436765968032985,X
Read 4,100,50.68390406714827,39.46002313234923,31.7864849084854,66.85210656553116,43.59295838505624,17.48949264390412,11.76470588235294,61.55988447977003,28.2842712474619,32.81488395525024,13.15334104411641,35.78095606057776,29.128043301505755,30.588235294117645,15.474054632901066,38.591104627898176,30.132349352625166,19.96536793938487,10.846522890932809,35.313720046596785,52.41569272928343,85.97899477926335,19.0064640251806,23.203626968607082,100,48.914130529363334,35.69348631408783,29.65312772112345,61.606457391993324,38.82282334980942,16.38314827784715,11.020498126515317,56.731486340020936,26.540874099167496,29.978996051874464,11.020498126515317,36.14992168141223,26.904464658879657,30.56077721812221,15.428697377121445,44.7519076575864,28.843403853432665,22.612171620766137,12.899162343750964,41.71808073781728,48.339678641087296,76.00149724296526,18.767232054139743,18.73484681507604,100,51.952740987330436,40.64766504866334,32.53844952422374,66.45364919116314,39.24131562629572,17.88497262141187,10.410881970725933,59.12803343584176,30.0902559859793,36.3018013424855,15.637468968424285,38.42440783414211,29.4464209585323,32.720739183163275,16.01332292157291,39.02175844671681,32.558754330895134,22.32293382265762,11.554237320212566,36.53770655799196,53.654917864235614,89.43964285480212,18.715590476086117,17.549249853384396,100,48.984308621944926,36.835491156116625,30.022007523971848,61.74418157245057,36.57000667869085,17.239266473693093,9.993803264691994,55.31382446150168,28.137178642494124,33.99828231044998,13.651160883846133,37.490978372062756,27.590773645293016,30.74360065596318,17.13295960297983,40.58001613696112,30.44501539373959,22.07261891623441,11.0913537370278,35.931620342345674,49.96901632345998,81.31745732165831,18.26834274058807,19.64959034848787,100,47.89798063059451,36.63383323472485,30.481191725676286,62.594101041053236,37.72810837254506,17.214568384189228,9.918448313863786,55.77068956967157,29.61214203778797,31.80707447578094,13.631603346763258,34.323146357499304,28.927495588288927,30.699555382817103,16.677039839565303,40.641588967568374,30.4013978931755,21.05463210771743,12.565301136203855,38.96334478656312,47.59273282276655,79.10998393142214,17.424937514703434,18.767232054139743,100,46.61975809660863,35.04844657656455,29.2376497913782,60.026742769651186,37.18827026823847,15.380013422304833,10.875311785651867,55.30540997372856,26.879650142569467,32.283159593499185,12.098625568119196,36.72884481869309,27.311826564492943,30.798072656114506,15.303685341122124,42.09209033389617,29.851994857988796,22.30876325948307,11.952560347567648,37.79731456892757,48.26123389455202,78.70618567673706,18.010298644187035,17.748316704747026,X
Read 5,100,41.27610171471936,35.93505989282514,32.25217320259322,64.02546564408524,26.674393165807853,21.197129895198934,16.67956993051471,63.86182816446537,27.82633130807601,28.28702714741365,10.229162828462096,12.650343116599778,27.01829726369893,26.651308442170894,11.095084877399314,15.769078446190942,16.89952980331501,18.365633370960666,9.479644674711563,20.367868357578853,62.782888497925704,76.49173927945495,19.971152779318764,17.786774150539667,100,43.60572516069743,35.76288383461025,29.13126314848668,59.511617020800195,27.201917405170096,18.889099305657947,15.751567873399946,61.21216122790666,28.21230515053701,24.4606402555087,11.946515350996835,9.940101614108485,26.194467728415756,23.264462815564247,14.668901927912826,16.366826646912518,18.29866847922567,15.470267246682104,11.284922060214802,20.23596805933358,57.16878820496119,68.93874329252297,17.05660163044814,16.797170517478413,100,41.52149075177432,35.20603715016875,28.810570872136083,58.74890170878485,25.17446372379732,19.093154392416807,15.921728848096706,59.648921162163624,26.562033899564614,26.477441220080493,8.733542947717984,9.590537108808958,24.4511679318263,23.396231766971535,12.753224506240517,15.274523513933444,15.1639706241012,15.1639706241012,10.047482504241835,18.52664232634601,60.079875465718445,70.12474203451323,18.282860094929113,16.945562380851516,100,42.36390595212879,37.30971182759699,28.810570872136083,60.628137180096225,27.495774170190998,19.093154392416807,17.077436450537068,62.809044707404105,28.14092407453172,23.682143375341983,11.841071687670992,9.0489342780317,26.477441220080493,22.46685388222456,14.827367083245075,15.744618457232056,19.093154392416807,15.637389388088753,11.057304076372114,18.0978685560634,59.3945134200803,70.22863651811228,17.24086061861863,19.093154392416807,100,42.95181070180195,35.49550483415839,29.320940134001034,58.80691858201544,26.695141484249866,19.250140285445752,15.101052454597921,60.13936077022414,27.76294714361987,25.38145077203356,11.938430205551468,10.889523787704828,24.65220796714404,22.525385061109443,13.881473571809934,16.01708489054992,17.25092837309505,15.76596162331383,10.516666099088205,19.631368190977298,60.479667948772224,70.25641921877623,18.277888701146495,17.118226953423815,100,40.06009013520281,35.181107802203904,26.667054493128393,55.98567795442639,24.07774718111429,19.02854281422134,14.163380694773114,56.307232035535705,24.73528099194486,21.61946233843055,11.19713559088528,9.233394549116564,24.775797449880788,20.254129610572548,16.05530249562484,14.443870908218289,18.054838635272862,14.443870908218289,11.418882574853662,18.054838635272862,54.90023064062393,64.57165876741061,17.49048492395892,16.05530249562484,X
Read 6,100,39.464483646483785,35.60741761736046,27.104318648124142,60.12624756032747,32.23744118635247,17.959027629187627,17.016382697461715,67.08978244550947,28.982801843250407,17.121358293393737,11.852353538774127,5.926176769387063,24.609620477054914,21.232536749042417,14.41702198266712,14.41702198266712,22.41483625952205,13.781595492803678,11.135240804237982,15.262238721063278,60.48872562782339,69.71455088398298,21.029025310488013,18.701931962728175,100,38.5788927969858,35.067293074361366,26.81630790010868,59.99379830045168,31.655088265383302,18.208758313816674,16.399118604757767,66.18354172086259,28.442989743829852,20.67226537131724,12.047784418556393,5.496243980629053,24.049657898921712,22.531166950054395,12.875536480686694,12.875536480686694,21.884203920999074,13.572007125186175,11.191763785755619,12.904117062981037,63.135366689899705,74.52008340064599,20.020435690455965,18.04617685976707,100,40.9787581208679,36.25504843515746,27.067181222493893,60.493357674416856,31.986855125040034,18.427341027869964,17.261429527196608,67.4617526183024,29.509943571457097,18.285667990342578,11.239035264550726,6.8959572450650795,25.05722240108376,21.61871597963012,13.818825568383241,14.137763526296634,21.97663784843024,13.464786959583922,11.239035264550726,13.791914490130159,60.96441586100138,69.84284768193999,21.549866390828377,19.84460724630866,100,39.77356305902103,36.37350659252222,26.755180221432884,61.132322143539845,32.57369261811705,18.62114065624686,16.770517182709618,67.83595184817996,29.17972285567883,19.4905225695001,12.289325842696629,6.685194088714807,25.516927411777793,22.207006040508283,14.072348614713306,13.655503147914363,21.519751882252915,14.289695045733588,11.445228941718133,14.948548425146068,62.082881706765875,73.88732623426601,20.93901060722711,18.454877143283568,100,39.93833674467763,37.35499356618262,27.87375636992842,62.10282927742101,32.70863872239661,17.978032661411316,15.890486009096472,66.38402955932212,28.32994037900079,20.444977531499696,11.492644169594799,7.10644138236981,24.743356276100837,23.420591019103437,14.13064745868788,15.594364048439077,21.608903785158684,15.010477184597974,11.492644169594799,15.087917821616298,63.58638623841845,73.38795344732887,22.036139268400177,18.594114684644328,100,39.709433086219356,36.16510717634789,26.886315677703074,60.069768736232064,32.95730096011731,18.50230078451787,15.60304342852687,66.88481594724477,28.679317164239038,18.36005144157558,12.147887179866883,6.300943300398579,25.114450629300517,21.37630090917166,14.814992875734543,14.0893375420631,21.91273827448877,12.866599227383164,11.383889941116415,13.875038551048466,64.8721817602337,71.27127185750452,21.637528128786567,19.21724364823829,X
Read 7,100,28.552049546781422,37.55175876234178,26.227285979050215,63.43534188043185,44.61139722814992,21.14511396014395,14.748417413014224,66.60206725480347,27.574912545459096,29.57551417311601,13.113642989525108,28.762888334316035,23.537515649312958,28.026305155705032,12.9710991583819,27.1673791045225,18.191247844305057,24.103355187042034,16.418613927811798,25.23380703490628,62.87604024558568,79.06488366205515,15.24430032861733,11.60971324603962,100,27.725713550513564,35.38928023170961,27.063605536358804,61.99658022363538,41.2706381248597,21.070230573893372,15.5790470392567,65.59126389811854,26.302921371905025,27.958380960021042,12.223927916325191,27.333533772960482,21.933873087743393,26.28649744187909,12.64077184826714,27.09550137009898,18.04506304734907,21.37546468401487,15.129015423884484,22.783737308794166,62.12879149947311,75.84463108960283,16.54692733714206,10.838200548039593,100,29.15839432228937,36.042466189606756,26.654288386803067,62.27651358105434,43.79644221962811,20.75883786035145,15.173894502490674,64.50945276436813,27.644262880284398,29.035232655329796,11.07875050707016,27.838033449792224,23.107535477015997,27.59560764242925,12.734144862350885,27.120773841730998,17.375825604056615,22.716516800757216,16.118680895339708,24.77283923956914,60.96068977985657,75.15762434871866,16.118680895339708,10.708668716502377,100,28.115217305374394,34.75300312979788,25.700698805017293,60.04849557213099,41.43309103884701,20.016165190710332,14.857005198594237,62.708344934934324,25.570732364920875,27.135290220532088,12.176384105253568,26.655255757068968,21.53951578206799,26.608341219518575,11.687732476832798,26.150495175494026,17.220007542313777,21.92281126122901,14.857005198594237,24.00829869118537,60.792926835377884,75.09355637756398,15.701971829958246,10.989864542112162,100,27.939274080807838,34.53552106776668,26.113150823304856,60.439713700512,41.17380541562186,19.890905314222117,15.44475454918048,60.974918606826066,26.919684526856205,28.12998806325199,12.826170527599263,27.939274080807838,21.95486747126828,25.539865482185238,12.335815806943083,25.19942679022275,17.11224584084274,21.766733176129147,15.391404633119116,23.85805629959351,60.22156829687656,72.28318100914663,14.875040329091897,11.543553474839337,100,28.433194313714417,34.93484410634294,25.57029087769071,60.30159181229864,43.11306135592268,21.029197953503274,16.04337964835694,65.41325038947129,26.80707268002966,27.632098043342946,13.306525151743823,27.143274844814556,21.933873087743393,26.17124133890097,12.64077184826714,26.629272828800005,17.535280914603348,22.324186151420655,15.771898465127451,24.32388908606394,62.12879149947311,75.07200009945869,15.98945216922421,11.191073028617373,X
Read 8,100,43.807184297212274,47.31456109664693,39.900789361043,86.97876725811825,45.594610908627445,25.076667227938575,21.928909350833163,70.18305187569227,29.294719812169554,37.72792219747189,7.092752578573531,24.327940639824835,28.371010314294125,33.089576715084405,9.500364524883413,24.23653916211078,19.9503946805215,21.928909350833163,10.463842923053917,14.596764383894902,87.0807752297552,83.51608755028278,22.36318733834112,19.500327869944527,100,43.02053782918493,47.27744363717683,39.71678075908182,86.65112829192365,45.90236024739611,21.109421325562735,21.60931902669709,65.10188696195556,26.16837155406432,39.39285054103132,5.965875193890943,22.951180123698055,26.680204957639777,35.09233067617883,7.546301539597612,24.5979335736646,19.85839037954091,23.044037603899255,8.004061487291933,14.367730078501724,89.57558467544902,79.09229647620354,24.159953145587142,20.283975659229206,100,42.79586083636782,48.67916119741217,39.50935780912341,87.68935106119348,46.669681308813054,20.99917627650342,21.49646323593452,66.35216550444478,26.909873112770644,37.982195845697326,4.747774480712166,22.07842758188519,27.092491894393653,33.42463582273881,7.962259860533376,23.649684089224063,21.132930343934547,21.39793041818391,7.962259860533376,10.943079474531615,87.35130916545565,77.76066162212082,22.923688920864052,21.65968853518654,100,41.18850251765971,45.32994271131047,39.669172733962334,84.76574632422327,47.917795999900726,22.23337321423417,21.80161612930215,68.16408596464846,25.88092219014717,38.71764564900744,6.166428242342224,22.200459246203675,27.176448245548716,33.27322890844747,7.0515804750819955,21.4294898375491,21.395339234434797,22.23337321423417,8.720646451720858,10.884024670455922,87.49109806596165,80.16356715044891,23.759684005790906,20.700499175987048,100,43.468191303057914,47.377490823416736,40.93632738802028,87.83365529286962,47.70089041951976,22.86309846817827,22.626519021568082,67.6526862527154,29.263295030888898,39.696988452776495,7.2299465528150035,23.394869515329457,29.263295030888898,34.91662204669243,9.684128550411225,23.163721875101555,21.04223527399521,20.784940625220347,10.666243356531464,11.159330440173589,87.74609305866896,81.2316892952719,23.525934235598605,21.224107586638176,100,43.041542691587004,46.50162894723643,42.46252398941347,88.57929437065614,48.617171898575364,23.302273366088425,22.88736291706664,70.08934474339463,28.651040183886348,40.439782636168324,6.443851274602279,23.844259148380136,29.47530339868722,35.58733183452223,10.188623465561163,24.828614563867685,22.500308119252942,22.070326294165266,8.477447153417627,10.188623465561163,91.2174014033544,84.02704516557203,23.97784147732879,22.070326294165266,X
Read 9,100,38.54072800944359,33.433061629027264,28.595611694405672,61.06409146873969,31.4172158697048,19.10460664515843,16.35842000428342,66.86612325805453,28.48802234122434,24.42563658749588,11.279125682645464,10.597329054875198,24.640214383600426,26.658391664963858,14.328454983868825,21.194658109750396,20.79768013410877,17.993043005150383,14.26709086898447,20.734304628305225,54.14142381647969,76.53315180148182,19.310161229007406,16.964003630830682,100,38.83945324520347,32.657804414675205,28.455425458616965,59.354604937806556,30.705283832615297,17.25618113086034,14.339714295455408,62.13571054440103,28.872158891719536,24.17560008923407,12.93183077775725,10.53182546738535,22.341375618784085,25.414403273965647,13.978150702403063,20.342430764405357,21.56404494721735,18.334965122186592,12.865682871960207,20.839671481024347,52.65912733692676,73.75749040338863,20.342430764405357,15.811234776116471,100,39.38515556693264,36.03481465281256,27.54859717094931,61.94142232058989,31.598216173535036,19.10460664515843,16.169610810820597,66.86612325805453,29.277818673825003,24.42563658749588,14.050206069689025,10.923476760669356,23.585009951319172,25.77148087710305,16.033385882937143,21.35959957098423,22.65527655010833,17.271533265816576,15.504819555308028,21.13247315975736,54.14142381647969,78.61979980420868,19.310161229007406,15.248052263113252,100,40.034917690212566,34.0167538277466,28.953722745845962,61.63543896864738,32.17946966470699,18.0972018258436,17.0083769138733,67.2759154911682,29.26706770082502,22.388688879605393,12.116693074843884,7.908734620410634,22.543362144557413,25.64417278813982,15.954182839615706,21.997248058916856,21.028081224118708,18.0972018258436,13.855968633906707,20.945293181325596,52.56813739287381,75.28891052942265,21.75900369079831,16.089734832353496,100,40.6140915183709,34.36607761986809,29.900507376781196,62.52710142725204,32.49402473040768,19.492745960749154,14.678682579670975,66.57145012890292,29.855622927093314,26.542490256464067,13.2375189107413,12.860694505233969,23.005909721248937,28.112838024429855,14.183055975794248,22.31547602346057,22.255299349356694,18.910741301059,12.860694505233969,20.650841213919776,53.16071405775566,79.90207805719741,20.823293821430823,16.75495948058751,100,38.39944035990075,33.291478917266346,31.347834154285184,63.99483997581555,32.130308094542,20.344940420495707,17.235023385545226,69.68480585773109,30.192556085617987,21.733657895534627,10.900385884917853,8.431860007221482,25.160463404681654,26.84589067153941,14.93412212614384,21.643849007659433,20.934770981541913,18.957241401656514,15.03162559136269,22.17724766036142,55.66007560329053,78.26854854001125,24.433866383380924,16.065154047271,X
Read 10,100,45.10069764856418,41.183876071627736,31.221648005520144,70.52360906505372,33.501255227796285,21.804029016224142,18.28053969241966,73.5691829496202,33.707649679514056,21.60065588059668,14.598540145985403,5.022050482874317,28.07411566535654,25.235491357938496,16.844469399213924,15.27397025124699,23.821677075346912,15.960326112916222,13.475575519371139,13.661454307239122,75.47291454035509,81.38201429306429,27.184095310298044,21.36585916950078,100,44.01333836279058,39.28427030999435,31.780821917808215,69.93120496895918,33.75982860438216,23.65702262457304,18.91800164562418,76.31206732516682,36.18098415171326,10.39652929370426,14.414187877222908,13.7314674916621,31.780821917808215,17.15339818356003,18.758622212190343,10.103610364156589,26.324191012524516,13.1962680315532,14.621001714111049,14.621001714111049,70.52120786058593,70.29092695155977,28.682196883950464,21.530830360973695,100,44.01333836279058,40.7252694269853,30.468906902921297,69.04979288558187,33.75982860438216,21.530830360973695,18.91800164562418,74.17324387514614,34.043231927691096,18.91800164562418,15.381554901499394,6.575342465753423,28.514217712345616,23.606201894288233,17.56845977192482,15.498230820527068,24.332715957451523,15.575529209371936,14.288662805923613,14.414187877222908,73.62067476632737,78.91171957214111,26.3925360631064,21.945188377535107,100,44.74982334681926,41.731396240453776,30.21588780926156,70.38937201219458,33.501255227796285,21.804029016224142,19.385375072018043,74.66659274510629,34.83001104833425,19.385375072018043,13.661454307239122,7.10225190380321,29.197080291970806,24.628537001079515,16.99353840586362,15.960326112916222,23.821677075346912,15.960326112916222,13.890305308088694,16.99353840586362,73.85146792793884,78.8717784959141,26.997900685393166,21.60065588059668,100,44.804459159436945,41.58636975482987,32.474969504288566,71.61171687062637,35.471666163052724,23.301814297236533,18.59798994184817,77.32558555474792,36.576740759927155,21.066021837753652,16.035266591589394,6.854792642522562,30.846566891351532,26.102272726598564,18.421701698385807,16.983969778725584,25.54630386724311,15.370300522190917,15.242390110963477,18.31511429439209,74.32174553771547,81.74817237517794,26.6711242543785,20.596088629406996,100,46.05753584408992,41.74374936514059,32.47661068464747,72.2112912450971,36.44552427080437,22.530828789436352,20.027808711666264,78.99536742795655,36.768852160278435,16.697499746056234,16.095950513323622,9.245708426947877,32.13056359202271,21.083459072075957,19.62986556034827,13.373742878085555,26.59957225858533,14.596240896052588,14.184996418409384,17.354066456905453,72.17485769522735,77.9816513761468,26.870125031788945,20.92693531065901,X
