,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,51.10580455968733,41.36975955899578,33.067625578521415,71.8308889537008,14.27503390288861,26.568642661791895,12.048824591933702,24.26289214267587,10.450531030741395,36.9482067941884,7.019922135370133,28.503379192679677,8.401742515038107,37.217577603224704,18.928124024070087,48.02920264670472,37.1638596378641,26.113579916871927,27.040679778095743,90.13559926031917,89.89886713975973,10.63998206265769,22.73250502434185,146.12981323638357,100,49.50166391933485,41.032973620805414,30.988669941871077,70.29640673692555,13.589430740088359,25.98096023749314,10.404632047503538,22.683389281392365,10.156867170748221,35.03932896120082,6.864645672382596,27.551192000301775,8.215901014874753,36.96724828836294,18.509445284794857,47.62656098862248,37.2589414721119,24.750831959667426,27.178861480176717,88.86855714980263,86.9269491554078,9.306185815636294,23.265464539090736,143.78158951479955,100,51.04890884633981,39.522945514089244,31.97237166309287,69.53779212161044,14.72933214008732,26.007375583419197,12.630298110595287,23.83079881352122,9.037505648441028,34.800998194191955,6.871625090711951,29.846011779536617,5.760302206950728,34.89255583253615,18.52826419662983,47.9419231222841,37.29682336018792,24.775996610326825,26.46944083565291,88.23146945217637,87.01532946973208,11.126138501803098,20.208476976952458,143.04279616959596,100,53.31468775700585,42.1210105575148,33.45158677931568,73.23335577050588,14.646671154101176,26.596101654676765,12.569596085854263,24.34836072255801,10.902221452127879,37.70878825756279,7.323335577050588,29.392139695963643,8.76488067575309,37.78558831320783,19.74623099790119,49.12642851698329,40.45340143609785,26.40466193048556,29.144518268505188,95.89360824338972,90.51262282307971,11.099860892478794,24.22900529436324,152.4458020338627,100,51.05277801587395,41.917590414336736,31.041992201605396,70.96478393595754,13.83444777495965,27.692903272917484,10.439687731308988,24.31983296025938,11.58620661876976,36.90986994139295,5.878509930358294,28.145159363001387,8.15202652970426,37.17896125570002,17.29305971869956,47.042208353938584,37.410608115259286,25.284427253241077,27.76480188792321,90.04207604227179,88.80097953263413,10.439687731308988,22.708918150325346,146.03281027223838,100,50.10628774193545,40.408537039814966,32.091577707206746,70.25597748092191,10.395010395010393,25.51480946451203,10.458980293529008,25.64518746959403,8.085008085008084,36.17569822907328,7.02559774809219,30.75427802193196,7.02559774809219,37.83400174210948,17.32501732501732,48.74323826751948,38.80872630263672,26.13469276734756,27.959617548880114,92.72436745865693,88.40098460684892,9.524383519560313,23.243949870060177,147.0892950574575,Y
Read 2,100,52.35225405764527,38.930168822523946,26.176127028822634,64.26611170242852,14.91700463001246,29.21359628185079,10.739131575180998,26.816224655145806,11.472169833192899,38.597650613350936,5.9394519669106405,30.75219285368453,11.648223645894,39.41508285541906,11.0504752248167,44.94765610151366,35.97774073728713,26.562036694214044,33.59861409867433,95.95478311761897,79.83920553613882,10.483401281304602,18.417458708027834,146.9431607752881,100,53.87974845830376,41.49109989443734,27.258861055609206,67.76553965775557,18.94771876736209,31.747337041005334,11.183338740044745,25.50193600391635,14.145928905495632,38.891847505777285,5.424716102619577,29.313551609884943,14.145928905495632,39.90025279815266,11.507560626522485,43.7354594306646,38.53076218890972,27.66073326295822,33.30793357046574,99.26637584941662,82.51989981414339,12.130033964095098,16.498629923259877,150.2998827715097,100,52.215521741643386,38.31310744905688,26.250546027870783,63.70115267258117,16.206009582157236,29.73410447070764,11.28790756740213,25.08551881413911,12.333698775817526,37.78344703712861,5.0993568472059065,28.597345961196016,12.748392118014767,38.583635839654804,11.904568425211574,42.43510619367935,35.78644202160825,25.11142023437314,33.53578373968699,94.2553731262603,77.57058769302145,11.402508551881414,18.02894903174675,143.66255785871695,100,52.86653728758108,39.991186899336924,26.42656904448289,65.66586157645192,16.915818142765886,31.03643135064342,10.973035535935358,24.994049035943828,11.901928112354202,39.56384227230341,4.907290675574459,30.344081847136312,12.81876888153893,40.676047347381726,12.425977753999705,44.29372546043418,37.80618941744488,26.983537369089827,34.040346693823125,98.38367321081918,79.88490452058956,9.595641214352,18.591406036435743,149.0784793995483,100,51.271598318776626,39.234697843090714,25.926673646864224,64.42370025284318,15.882146787407104,30.449333980395377,11.676786548341898,26.856609061186365,10.765465270075769,38.81543703548497,2.611008848084762,31.440709990276186,12.576283996110474,39.90660320092262,12.576283996110474,44.06343359204393,37.25608625302153,26.473106139081356,32.71584709510019,96.23967520939541,78.33026544254284,10.573779937105815,16.595831858421178,146.20250727623497,100,52.1575146819758,40.768782760629,26.176127028822634,65.8923034303131,17.780241726818577,30.307773631351633,11.648223645894,24.48898781785514,11.531153100304794,38.87785502219834,2.3296447291788,31.25546386720731,13.281018347107022,39.15605431327108,12.161102514747293,41.36349657440816,36.55761170990149,26.40834956029035,32.63581997931718,95.33058807506173,78.67510677119759,9.391098134302327,17.31632935040012,144.19823416587008,Y
Read 3,100,45.650675972942665,38.32594415784625,30.967750749543807,67.3236646648987,10.874186552349286,26.22576463288026,8.588908708712967,24.315420331067077,7.932270707076251,35.79385538472988,8.959822171693183,24.757555096353947,10.415581710238516,38.19835604810384,16.794620869281424,44.73853055913869,33.58924173856285,23.75118060825201,28.044812035905128,85.23612149803047,80.40937013068964,10.874186552349286,24.293102363692533,137.77732116214693,100,47.68203643730082,38.57424851722038,32.42333465176503,68.41460108762989,16.883489910135506,23.515980294228765,12.49834480589389,19.33878299655615,11.5006189153967,35.63976352008252,8.805351042429603,24.396496868757854,11.350929858766312,34.91250982225695,17.217848901865565,41.245505426220966,36.81994586132764,25.019486415077377,26.695141484249866,88.26691108567034,81.32165622919284,11.79429900393728,24.208828721312624,137.26599180120064,100,49.12456229211464,39.68028338145529,33.74667029742126,71.39705495968293,16.75637647054765,24.227409841083865,13.29267983893792,21.017572249221995,11.84854743043895,37.806029213288404,8.86937046017442,27.170712948797505,10.142513154337609,36.42012179812287,17.73874092034884,44.943230397833865,38.14067287867923,26.494157489091954,26.857108065420682,91.31575784135151,84.04869282690454,13.607609325470824,24.227409841083865,143.67285119748738,100,49.031218779968356,38.94015709429437,31.426926241485937,68.55698443961559,18.82531981952461,23.714562897488413,15.433675825456888,20.509105950674194,13.157869586863969,36.1550282014626,9.93806667812104,24.22356910018781,10.779346771585642,35.1941957902652,18.856155744891563,44.444385314408336,36.47499044020402,25.960104729529586,26.948366928964102,89.2540327454326,78.77777898283266,14.054548679966906,24.815919873280887,141.25880513390368,100,47.68637677293204,38.44598606258554,32.547186525576585,68.33418435269864,16.16079173658124,22.30641489827972,13.793103448275863,20.15915119363395,10.610079575596815,34.755096772751614,9.607835690331475,26.6099441994365,11.476555783970259,36.07427055702917,19.12759297328376,45.139623100652834,35.90222666459126,25.552455339612298,27.17506307663808,88.49722296737089,79.2850575799232,13.12394363591828,24.426237524077106,142.03643425225454,100,46.987166143618026,37.788510230062215,33.691430430091394,68.86581125588027,13.349631457640811,23.439164713402935,11.911719462496215,22.399100832760105,9.040359444106722,35.94103514475388,9.822655505319503,28.687219300737816,10.493136375235567,36.22416364798635,17.732065818339265,45.8995508811805,36.660239791360006,25.658628976757495,27.287978851194747,89.52035600937566,80.36659776537866,13.47657217203656,23.463366232202464,141.83251901095198,Y
Read 4,100,59.70216199183742,42.399962492947864,27.228857102291624,68.20454383040138,21.469076094057648,33.32380079727891,12.082455343310198,23.088827327510177,15.475212568640591,42.43863095743056,9.323911231148204,20.690950847084412,13.371294196862896,45.26279981319747,13.793967231389608,49.73485614484528,40.09343197361303,27.498604704897396,36.088634230546546,103.67648850071046,77.12125623629404,17.087172213276553,27.01719148274717,158.41850508264577,100,59.57245761434717,43.46926863053023,26.22144987691143,68.41538052050696,22.645425107564666,33.2514040415532,12.056205919561156,21.762794077861223,17.382070937681082,43.750141261658,10.538289138958877,18.2975349051455,15.807433708438316,45.164465296031416,14.958082952996326,48.579112610219084,40.59394293742771,27.438863327263757,35.507844062491515,103.52226530902819,77.70346383928569,16.164997623863925,28.230954676516966,158.71875205590064,100,61.299565907123004,43.34533873671837,29.562613244894077,70.90664297469043,23.794872331326975,32.624842882244884,14.867328531739961,23.50731044115262,16.1289827576646,41.90939804404275,4.701462088230524,22.772524705402237,13.297742896317077,44.35350463344621,16.951362628765157,51.00432185580373,40.82012216064292,27.997014674121637,34.449979954682235,103.24294806007336,79.82906697099473,18.301824028710648,24.911948330346586,160.47075689556428,100,59.886620776349105,44.95850291285706,30.26269492840648,73.8622510177027,23.69940503767467,33.435870001337435,14.404613634170133,24.11094874591407,14.404613634170133,40.323160175689004,4.822189749182813,23.69940503767467,14.404613634170133,44.8589269259019,17.386652400695468,53.497392002139904,40.67649144241153,28.715942963198998,35.33461231409097,104.71354356594028,80.8346301257808,18.77179195883135,24.073826400962954,164.22152726707432,100,59.98246079703787,44.12637520076557,27.907970104317798,70.2743965047213,24.133337241861685,32.92185929111171,15.861178752421331,24.940929377789445,16.447839440984072,42.08773836146337,6.563402467839327,24.20463233734021,14.676214081778612,44.65043673325006,15.364531255867188,51.73027171236027,41.696981292382745,28.819241795878376,34.68061121980285,105.18658770052835,80.59900988715542,18.424348710446573,23.628248884221577,162.02965738208948,100,58.63549164016869,43.647764279981914,28.142836134301696,70.47109055688942,22.73841286625093,32.08007185936096,13.820517918990129,23.13326880189907,16.078485931145472,41.24254761962838,6.416014371872193,23.13326880189907,15.504999324515042,42.48157412356435,16.681637366867704,50.307444588509334,41.89613170105097,27.069194289399448,33.90182166976237,102.82451239607663,78.78907446687413,18.010610609031435,23.097651738739895,159.10163304978917,Y
Read 5,100,52.619858356041,40.799462794102155,34.205009778557454,71.88860347550289,15.004101923752883,28.462509051627382,8.599158995640774,22.387192919591048,12.161047276637786,42.61189626610604,13.626645061831367,22.93109065504207,13.626645061831367,44.774385839182095,18.487636331054937,49.99359056531213,36.279891547455215,24.624243958849565,31.660271850348586,92.43818165527468,81.76991890176676,13.38329253802147,32.12399458054523,150.3528243789169,100,50.33129953058867,39.48311976168539,33.599498210339405,69.8891868680932,12.49855050989353,28.177161562404205,8.02608543189944,24.932592264452406,8.512949152917981,40.78720477154364,11.699929514331073,26.890380838092753,11.699929514331073,42.65922922327819,18.302290738395882,50.20314833718903,36.604581476791765,26.161837726000385,32.02900879219279,94.71120891901161,83.45778196678873,12.753649265381839,29.598740582971068,153.4011496067165,100,52.12951005136468,41.76313747347278,36.07961566903034,73.44476003265977,21.0338057612798,23.516509753874175,16.957996347508477,21.513726196804907,14.758294415581476,42.249242735981326,11.667456183145262,26.892157746006134,15.268327564205093,42.006893264035,20.625343465747317,51.98241284939022,38.365356561055926,28.60906887485169,29.746293375923237,96.5653823288377,83.65858985037288,15.869456118701326,29.31412086387194,155.4992232735257,100,53.02726169470084,40.07311275478016,34.2269473168967,70.44397238453557,21.03799315912869,25.6862293413299,14.958829899551825,22.142991921026255,14.51219663799995,41.76198203206698,12.101053273546182,25.557797389906717,14.958829899551825,42.46522667328591,20.281411365882366,50.30444215271313,38.779416259186696,26.318989903390445,30.27302134737288,95.18012549558311,81.0038655918263,15.392508978963571,29.91765979910365,153.73791424423746,100,51.5179610743537,40.27458902104759,35.39907236752864,71.19608751571006,18.59250367649343,24.494005414464354,15.089209630939314,23.770902300613347,12.8915817970865,40.48038795438334,10.393525523138518,29.76252773137861,12.161893943607842,41.51409614053014,22.1795159650448,53.15335343067758,38.974388185718645,27.34717472682277,28.623956827606698,94.63685523905092,83.71591128041365,14.698664755693413,26.54539162301663,155.23520147985423,100,52.6191353150923,40.27458902104759,35.39907236752864,71.19608751571006,19.678145574930703,24.494005414464354,13.8846585203932,21.261341372271033,12.8915817970865,41.57410209255407,12.23002833634799,28.536732784811978,12.696735595972804,39.797212944264864,22.1795159650448,52.206927243306914,38.974388185718645,27.34717472682277,29.397329511386825,95.43254105103388,82.23374208491458,14.698664755693413,28.97022696176902,154.3817382248746,Y
Read 6,100,58.102012376546114,40.96854186426853,24.34812341337528,64.58600668724173,22.65009768992471,31.694153833041582,13.55272321754901,21.502502166058296,21.23574818695915,45.01969611705121,14.102379387891578,15.308351726207588,17.14298954612022,42.051866499199555,6.752954417557681,36.29603938457422,36.29603938457422,24.086589261713776,34.76296052105909,94.96915299821717,70.87028246001648,20.2901028444794,24.243848315743403,137.95892709207948,100,56.8918205825008,40.1152186978208,23.840982645783487,63.24076145207658,22.719338911272096,31.034004497087775,13.452232329439829,21.05463210771743,18.73484681507604,44.09576597695075,12.321291478398665,17.10841381558301,17.804159600400606,41.17597904401456,6.6122988759091905,34.58751339315674,35.16212504638266,22.93217108957991,33.07985677717354,91.11759580601448,70.91756906853061,19.52837243406364,22.1783246611176,131.88272055263465,100,57.61122673496606,39.79197964312978,23.281120306510307,62.751877169537586,22.34682345361063,30.123262474243862,11.036309458117206,17.692549985521907,21.42863683803951,45.26232569122587,16.294915638708094,14.347202295552366,17.27455671835176,41.544046407060385,5.943234529449845,34.63713679831192,34.63713679831192,23.618733648639992,33.127317116882544,91.24832406398582,68.00552037525172,19.556390185045085,24.20451627796194,131.99813668925242,100,56.57656160678202,39.11278037009017,24.80102091849049,63.331494251864356,22.725152060450284,31.21539702843164,12.486158811372656,19.98760652938399,20.528722257740068,44.14523783246882,13.82845611537542,16.406653512105184,16.294915638708094,40.1727728135996,6.713124964461118,35.591028576530405,35.591028576530405,22.07261891623441,34.08772809067543,91.60801664031402,70.25198306076392,19.556390185045085,23.202511909975325,132.16412574885246,100,56.404464505585366,39.25635285165576,25.759422662257816,64.76093775151145,23.238077284701504,30.65811467600976,13.589430740088359,20.345058545671986,20.99207226920017,45.15573642645876,15.349814364897238,16.431802029749505,18.197173565734225,42.16576389181674,6.077378182072569,35.41892523750189,36.96724828836294,22.570815934996048,35.41892523750189,94.86457819057671,71.02638066836504,21.08288194590837,22.229675661428967,135.80993301679788,100,57.46699946495436,40.328559722843096,24.414070254806383,64.16823823870669,23.238077284701504,31.779997382527302,12.767981603639273,20.345058545671986,20.99207226920017,45.141631869992096,15.14096362148599,15.718754403773973,18.232134546217704,42.48172943170908,6.864645672382596,35.41892523750189,36.00734935908772,22.570815934996048,34.85711592705225,93.30787319081091,71.83762763949689,20.345058545671986,24.309512728290276,135.05290670292368,Y
Read 7,100,43.4344799968109,34.09269707938511,30.327858844351127,61.56891755055534,12.726680092936792,22.00515234419991,13.983453208568838,27.619665503263704,11.144673012638728,33.029967712202165,10.993037742762914,31.308185215527775,13.741297178453642,33.546781648223806,20.091344997674337,45.886697641510416,31.800210622407075,22.625666975501037,23.355714151670867,77.54335197438432,74.60341909674726,9.564223624872252,20.91006267957736,127.76040381990978,100,44.296992094942276,34.61473526789384,29.802886219532617,61.94706201446092,11.463818144318639,22.08189928549734,12.376237623762377,25.722117452601477,9.939362632245384,32.53619095703553,11.424219345011425,30.65735374734314,13.328255902513328,34.087040727281334,20.19535742155029,46.8331069164084,33.04751515177034,22.70917829755629,24.916702833782182,80.449769376706,74.25742574257426,9.376292652128813,23.513116974920923,132.6281398877989,100,43.52624929516124,35.300210035759044,30.969027796532927,63.55580075383734,11.979652455440316,22.470368848389736,12.550428311504902,26.342615229801165,9.766423301132416,31.97007949604315,10.28999064546305,29.729183502470917,12.196823957348268,34.25600266342481,19.843969537508354,46.444121935664775,32.472506936781635,23.104001936816594,24.554545834250117,79.91424933273544,77.13948785065783,8.624456929179502,23.00911857109232,131.3538217112562,100,46.525776411598905,37.260613565693795,33.43691618472245,67.94073349698873,16.2857443658187,26.43420326896758,13.737471476351322,29.44627762269114,13.12998687001313,35.82294283601292,12.775588971491281,27.56760744158404,15.284058125867645,37.5741344060969,22.15100717044875,49.252339522216374,35.060205954367795,25.491222026308375,27.17629339879549,87.55007749831061,83.17021260898971,10.544699029300626,27.58610298706729,143.86016616313387,100,45.16994514758507,36.12813137739714,31.261512839733264,64.54041409026178,12.620133967575965,24.3470268983292,11.849874396402004,29.268640776004922,10.722610442857258,35.00195394101533,11.729973763318682,29.572946726973726,13.625540090882632,35.54962318920601,19.26942359118455,47.756038738952896,32.44495673637201,23.976485846477953,25.407731925642953,81.56859154489858,78.65710862617087,9.707795359673819,24.32766544246514,134.18547242454335,100,45.49670268432448,35.35922862884256,30.596184680483834,63.166822379457145,15.320204747360663,22.980307121040994,12.923012359843652,25.81107402794513,12.676165381592718,33.699093303502515,11.440944967973678,29.819201570499224,15.20190023752969,35.34646125936014,20.199802019448267,46.73966318764407,32.98157711678819,23.46620244223937,25.565081324605625,81.75991417830275,75.729889504947,10.233092270089317,22.980307121040994,133.25055778627944,Y
Read 8,100,69.78681834211923,53.20505098184317,27.867942423180832,78.95583823698117,29.014942695488184,37.830856841448714,16.024025848233368,25.04377847328024,30.500211869474313,55.299923262863544,7.253735673872046,21.42002475008473,34.93861766659596,45.87665254850399,12.479798733559594,26.671661556434408,43.8596154296561,21.566906640531712,34.48386573046486,99.03408191426675,92.34777578900074,18.3506610194016,20.206569385150328,135.4721314948934,100,64.79213900204608,50.75317138359327,26.870312536600608,76.15176580236704,26.29393855521727,34.62495434042846,16.664260419031685,25.06334109642241,29.061721561029614,51.5023361913324,4.989691773407126,19.81431090959916,33.32852083806337,42.45187282086346,13.838915029061722,26.439210039500136,41.83840702416545,22.697508257482323,31.618211067799237,95.64883031069732,88.15725606771649,19.27537818597304,17.990589537780238,130.24029316004115,100,63.294308020654995,49.579885956177506,27.037988373664998,74.84445334955473,24.3341895362985,33.90546492898324,16.222793024199,25.828002128623496,25.68608895498175,50.311731961412455,6.045877997836392,20.591518469281894,31.35707315058321,41.47049249743941,12.463896792338632,24.85436840726002,41.64640205691324,22.172799062940012,32.134282341502534,95.29692333960853,86.11928245847228,18.829780015119802,17.57469244288225,128.15264919458232,100,69.91813317253559,55.88881688781546,28.34665534553227,82.41888011575715,30.516587007773225,36.605949861214,19.81103322157879,26.08540501161794,33.526363913441024,56.713788680062166,5.494592007717143,20.445607840595457,36.858843713647744,44.81999746983463,17.375425557743647,28.01703186658067,46.94581469292705,24.99423874863872,34.81761554037142,106.12913957013197,96.05568125156614,21.225827914026397,19.81103322157879,144.4597906266878,100,71.71948557135933,56.420785510960854,27.070843568138756,81.87874117583252,30.409001064315042,38.2839541189423,18.30864311812726,26.553518620302544,31.9294511175308,59.37547267680292,8.865671118816028,21.177418697254254,36.52246358359226,49.08016539932789,13.07940591005417,29.04815747991912,45.12945744155643,23.750189070721166,37.55234616155837,105.61383601527908,96.7608488775875,19.232340946743985,19.76585069180478,145.14525518969828,100,66.8020364275988,54.812987260956525,28.859226871206303,82.28662625247568,29.76365100252793,37.276861486279586,19.379317494657105,26.918505166876987,31.248210525607373,56.79242917521641,3.3235255313611622,24.01232821254981,37.18785970034722,46.553090854238484,14.021969577967605,27.32576740613888,44.935245118403614,23.217151236345586,33.95856022234205,101.46283095051139,94.68257020590362,20.21621657065316,18.38483483479932,137.71592609867423,Y
Read 9,100,46.00496133197827,36.82791401297938,28.951693923710312,63.43567904388179,11.436266616009615,26.392680544474715,9.194707434879268,25.727211748421553,9.0361661107911,32.80139643246301,7.603087308737808,25.245226801967863,9.913213014017852,36.06460971709695,17.001020061203675,43.27753166051634,32.812409156101296,21.672133260764983,26.186538253569132,80.39613237776692,81.32549499711989,7.650459027541653,22.682189840405194,130.12168050426692,100,44.140695140446745,35.01640879228496,28.547663552898353,61.382443366718206,8.19672131147541,25.449466715180368,6.401843996644799,24.92935463236975,6.401843996644799,32.75613311916079,7.55700365351876,24.92935463236975,8.072834263767296,34.77574333704332,15.246782981752684,42.314457374230514,30.493565963505368,21.26413405093909,25.920308689904747,77.52295912229917,77.97662946901822,8.19672131147541,22.67101096055628,125.47143028296689,100,43.01128113915859,34.465875244660204,28.324780037846452,60.4508325769295,5.750705767619937,26.03742777095335,6.193699663194461,27.277992568718965,3.6370656758291964,31.67589800610027,6.35186213069832,27.627338567766802,5.920713963305561,35.08401855908099,15.127744988401329,44.85550498743551,30.255489976802657,20.734464515260186,25.537277924703286,76.23969840766405,77.8918183306164,8.173288566298707,21.39386213071878,125.99427561873746,100,45.1717189808357,35.95803226531678,27.895459422533023,61.815195597314165,8.262661661473722,26.721994146702485,6.729202694515108,26.20869454654467,6.518862929560684,32.923934435048864,6.518862929560684,25.99517820281686,9.028172795586322,36.00643453822385,16.693097404223355,43.67406878207539,31.551720509866964,20.529795302977792,26.20869454654467,78.02125862984255,80.04422887080202,8.346548702111678,21.95634160414975,128.17048891836004,100,44.11136727601209,34.81947895230879,27.879421919450763,60.36415832190243,8.778490190128787,25.1086833494977,7.7323604046826455,24.137407930492863,7.7323604046826455,31.745606152335878,5.467604476729456,25.35878912071733,8.664231651100048,35.161226848354374,16.802940849366944,43.25977507446605,31.313673017032432,20.42540400381721,24.949430051371696,76.4639702200384,77.64939515079992,7.3807035114006165,21.332223210208493,125.5619360120741,100,45.83353363053797,36.97303515064884,28.45578864568334,62.72085522115693,9.655957190880233,26.294333835128768,8.719198967638045,25.90965199996334,7.807879791067826,33.12602848172077,6.449672345751955,26.954319889633386,9.160445313678837,35.93022262126766,18.12409769565777,44.91677034612507,32.01398741774357,20.830579058687068,27.271751673618937,79.86340116613007,81.21696359257103,7.668855977419899,21.44137686512901,131.2013561151758,Y
Read 10,100,54.611538586234815,38.3576744928025,25.637200812494513,63.09502491642093,25.0422891521884,27.476380415543165,13.404958945457611,16.325575167272685,22.532708685134192,40.27480962199045,16.472655392049198,16.472655392049198,18.89375195924144,39.792819969236625,10.418222029985873,39.67140757344266,36.8994017492015,24.848909507983223,37.273364261974834,98.7687987340101,75.84580122922034,15.413649074915657,25.353385417560283,143.5632843827015,100,56.06862055777712,39.023320169365604,24.943963139519493,62.27735371585392,24.429093751979888,29.726605976688955,13.430031483918693,18.145475302531235,22.681844128164048,41.43067528608808,14.08983218711156,18.045130891029515,18.045130891029515,40.39511442553817,10.143629065125852,42.039769335554624,36.09026178205903,26.451348399540777,37.34308009346933,99.6908904396461,76.61432658621932,14.303003630762461,24.304898266447932,146.3968938060617,100,56.24188193903944,40.58001613696112,24.20451627796194,63.408376215531284,25.166657655868846,28.694404591104732,13.33522345612468,14.72427332979399,22.644613760824626,40.27874978676671,16.406653512105184,15.685542879982227,18.987584741292633,40.474827990050215,9.429426934463669,39.143908731857856,35.539658289602954,24.97231762274531,37.458476434117955,97.70095142988119,76.52548647327984,14.38958703278369,25.764523849307476,142.0257685853759,100,55.776397208214654,39.88242702253682,23.339425058418335,62.27735371585392,25.089128069075535,28.606007261524923,12.877874255385219,13.609106476898427,24.12995070905634,41.2403230586232,17.910463853118834,14.802094891708338,18.73625961703862,40.350139335223346,9.40037819927113,40.57451626050341,36.968418123911185,24.89538672897956,38.12899868228289,99.77585255807797,73.59221700160917,15.442478652897126,27.59365431617219,144.5328432250817,100,54.49782688945251,38.48120518592753,25.583819243679454,62.39842562405153,22.565764692574245,29.670107113821114,13.94840773847436,19.998123387281815,21.917808219178077,42.55668567440569,14.034244903962405,18.854411544203018,18.63013698630137,41.194402474986305,8.767123287671232,40.29540013337038,36.49496066925306,25.583819243679454,37.195753969264956,99.23709740424566,77.37483006292098,14.288662805923613,21.945188377535107,146.19769555306038,100,55.67226819958962,38.56149761932668,25.637200812494513,62.932346944407655,24.109925763343014,28.636953240512405,14.774460846775433,19.17883724640125,22.639499371939714,42.432855449948725,15.608028117232479,17.363703383309794,18.89375195924144,40.765893242412886,10.124691914444197,41.2218853044662,37.56343372828261,24.848909507983223,36.50509584580422,98.7687987340101,75.12686745656522,15.413649074915657,24.259523428919966,144.41341058654316,Y
