,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,34.76067752,24.81472678,22.51330645,43.80039008,41.13291918,24.8439722,21.72542345,87.57590889,16.07816831,33.82904037,9.937588878,49.54158783,30.41559283,28.1335684,4.34508469,58.30788336,33.50551645,23.27453352,1.205109665,55.60507108,104.7544652,126.7658517,26.07050814,13.47353566,100,36.46278495,25.10346731,21.65168509,43.03633761,42.98273202,26.35791176,22.0735108,91.24754741,15.0824759,32.61330632,14.92883037,48.3511034,29.04878382,27.72214205,7.229050204,59.21127665,33.49679168,22.79292873,2.772214205,57.20442348,107.1237519,127.171833,29.57317243,14.45810041,100,32.28827645,25.12433454,25.12433454,48.74836945,54.42366803,36.56127709,32.46471643,122.8978128,33.96949678,14.4397562,13.52036505,60.86511105,20.90470995,37.52510277,24.19777094,64.42156009,23.47886427,27.97523299,20.35084431,51.15006236,169.2241264,60.95889402,141.8833318,18.28063854,100,33.93282585,40.04869828,34.84028073,74.54848206,48.85821122,33.93282585,32.4761991,114.9157814,35.32944709,46.93633724,19.10731995,83.69798792,41.98856854,45.14019551,19.74976133,85.46878928,36.02910803,36.75790858,19.74976133,76.63314596,132.8147588,162.6018372,19.02548951,21.4900637,100,152.9100686,165.9886779,119.5059258,283.7395889,174.5254395,110.7225518,97.6193456,382.3991326,284.6290569,50.27652086,21.3305213,306.1918548,285.825448,0,58.84715893,231.1079927,227.6366299,31.79766375,35.55086884,229.2962142,224.5059182,283.1599365,93.92429207,71.10173768,100,33.57793392,78.85348293,64.18099804,143.0065791,79.41773688,80.74203791,58.35031472,217.8149818,102.491558,76.33584804,44.82595344,223.3564305,100.2895491,56.79919813,34.07296701,179.8011901,71.97012773,50.89056536,27.55165804,128.3619961,53.8740912,45.44427166,64.18099804,22.41297672,Z
Read 2,100,37.48132025,26.06471118,28.83635842,49.60637001,43.25009557,26.53227691,22.7591864,92.27767947,15.53429716,36.14525102,16.11703447,47.88794425,24.79543764,32.44793535,7.54123795,61.9885941,30.26668886,25.8871969,3.719315646,58.7944741,108.6764543,128.6498564,32.32929534,16.54061997,100,38.81426745,27.71476845,28.18654307,51.92899837,42.73543966,26.34264287,22.85851048,91.66809618,18.51611902,28.70802385,23.25172715,40.19123339,12.83861856,31.76098826,19.42835531,61.31700571,18.24710541,25.83722146,15.51296184,58.39807634,106.8385992,121.4250997,36.31309699,14.35401192,100,25.92802586,37.99754009,33.45233237,71.40625104,50.31743329,30.77942551,27.92533847,106.8265647,29.12189951,42.76159571,15.55681551,64.78415435,29.64983191,38.29577723,17.78989915,62.31030928,24.44987775,30.77942551,18.9169372,55.32973986,126.0810179,148.7784236,12.37210595,16.07987903,100,517.6989348,461.6350427,341.881694,781.4463024,509.7282863,319.364254,227.0575304,1049.059123,659.9392427,137.1060794,159.0982782,549.2720911,602.7482138,191.4825218,185.5589428,524.8399471,492.8347031,164.2782344,177.8772825,464.6490141,134.3636808,543.6523559,177.3533424,189.5285674,100,200.8754298,120.5788604,61.1026904,165.2859703,163.5391739,146.273884,121.3208911,430.6047599,310.0043935,124.677364,55.23993084,487.2399889,322.9917788,43.20612673,34.93679985,331.439585,272.3383625,53.59060461,37.89427993,294.1387108,102.0334713,279.3016662,180.1473503,85.1568029,100,23.75118747,45.58541267,35.98848369,81.57389635,59.98080614,63.11394644,48.22397131,170.9526634,83.80157964,26.50038632,21.59309021,79.89839638,98.63150092,52.61927111,39.56915188,123.2047224,76.51256583,45.26862347,37.24610052,106.0015453,114.4612326,78.33410613,77.37291505,18.27200841,Z
Read 3,100,30.60869513,31.62610074,28.65288861,59.55571264,33.55254271,21.9513313,20.40579675,75.41810721,1.465050826,35.76644878,2.316448749,37.19325199,8.287578991,31.04387043,4.143789495,40.30887073,10.81560811,23.84929956,6.301421869,38.53947009,89.79936987,106.7226931,18.67580688,17.24160051,100,29.75540752,19.66742827,20.61940291,37.7571209,33.51368281,17.04053239,18.07042448,68.24246211,3.77426073,31.83692311,4.316032268,33.51368281,7.022091419,26.83137364,3.140374751,35.11045709,11.32278219,19.21653905,4.316032268,32.04276743,107.9211155,100.5192485,20.13543815,20.13543815,100,31.52720614,20.41219348,17.63490369,35.47624286,30.0768945,20.32784521,19.0854206,69.32342924,33.99225289,18.21010539,9.98269498,39.81227471,37.63822505,15.28633099,8.341829641,41.88385774,31.56805332,12.36598764,4.145088474,41.38866171,76.09370934,88.50030844,17.48814743,12.60679443,100,21.52532058,79.20616031,67.38491209,144.2357107,63.56350995,58.55520262,41.40478085,158.3245495,60.88280061,43.58545225,9.132420091,92.93356178,68.40853898,44.32334788,27.22761616,83.75535155,55.96583352,31.34133985,26.00914382,59.10650788,138.63376,38.14296525,43.05064117,34.03452021,100,61.1785179,45.16664169,26.60171291,71.66588598,91.82047585,62.07561149,49.82276064,202.9879127,139.8172466,41.59841527,32.66504583,123.4366776,143.6015188,29.74161919,38.27608887,99.11704166,106.6144749,20.0893575,34.95431166,67.33045409,179.8384498,201.5118162,38.92063333,39.13312245,100,76.07408589,59.43553442,31.72005396,88.89549847,101.1824103,70.46070461,54.87386648,224.8506072,159.1549795,51.13268906,33.52118395,159.4085764,159.3394536,30.89906301,42.33197656,121.3474969,126.4743836,17.35264021,38.3255708,87.94027501,213.1294606,238.7593858,38.8016831,35.33443038,Z
Read 4,100,27.2104507,30.00828184,28.29207944,57.6659749,36.71243206,22.34052325,23.29490133,82.0699822,7.671767182,37.11105864,3.068706873,42.63183835,18.57138198,30.57177564,6.326301285,45.7355732,18.44417923,22.57638282,6.861837171,39.83413204,105.5976324,114.5433635,21.96859795,17.95914653,100,26.11126747,30.26432453,28.41716619,57.72375336,34.46735108,21.08116266,22.35388918,77.77833502,9.427782549,34.90485084,4.656049927,42.8002182,20.84850015,28.92752523,5.606626556,47.57380389,19.80874294,21.66439568,7.579500145,41.06836632,98.99445418,108.8609963,23.11671349,17.23367554,100,33.82392638,22.14977813,16.09509084,38.2126564,40.93784933,27.22509469,21.81306266,89.13453134,58.75596762,26.21603863,16.45244216,59.57801928,62.59838048,18.96050274,16.25849697,54.6440319,49.44294203,13.40710006,13.98608793,44.54946843,92.98382103,112.0114868,18.9046543,17.69115736,100,18.82616453,30.90658783,60.61280556,87.44174987,61.42738754,45.92665704,6.57438183,105.8659215,67.33527959,53.00436085,13.94636992,112.9569872,91.85331407,53.28900465,20.79002079,131.7011307,80.33130597,35.34303534,19.16745209,105.1284564,82.79545843,18.5951599,55.94022473,25.03450016,100,51.53475051,39.20279337,35.26048311,73.98635658,59.38132432,39.77129634,31.64725212,129.0879389,95.93688533,41.26296843,18.39712867,155.1505777,102.5319771,31.64725212,13.52928803,146.0108558,80.68497806,27.87585951,11.30414891,118.6026009,49.93506353,77.45276337,33.08770454,33.5026136,100,105.5688388,101.1985619,63.94926558,163.4118977,144.2452015,97.99986419,75.34357938,317.5649745,219.1343581,41.54716003,38.05425421,195.5559213,214.5396121,27.44131296,55.40783048,142.5079742,164.7885424,17.01837985,50.59928096,101.5414152,243.0949127,278.1034475,60.31329185,55.82443658,Z
Read 5,100,32.12952953,23.62209991,21.77850003,45.37657214,31.6923727,22.85369496,18.80888846,72.49329586,27.91008834,31.6923727,8.045397323,51.45064721,34.49150162,27.48703112,8.517069246,54.85212333,34.39429663,20.75521097,7.690798531,48.19139965,73.49472694,111.340056,26.93333781,14.93992777,100,32.59872619,23.40452143,22.00522927,45.40718435,31.22552625,22.07978136,18.63564352,71.18976794,29.3257813,31.47016198,8.942855082,53.06172014,34.17380724,27.21373247,8.43862021,54.07406888,34.79332246,20.13333061,6.36671816,48.69040548,69.84593101,112.0732052,23.52125294,13.96447987,100,26.09892962,36.7607311,30.81555203,67.56756757,44.98193778,28.92018184,27.02702703,99.39554351,32.65688101,41.03304446,16.49534543,62.29421931,34.45283455,37.54714592,19.11099409,59.36725037,27.02702703,30.00486934,19.11099409,52.7027027,108.924284,136.6736742,12.08685393,14.55449948,100,80.11922913,55.10954512,53.55334274,108.2687038,73.97379794,65.22723643,56.26347894,192.7036,136.1378656,61.65549852,28.13173947,223.4401728,132.4611868,36.22467692,2.600780234,168.1681473,106.7270977,31.31754117,8.224389233,141.9034888,102.985643,148.7682668,83.26559477,44.44215212,100,32.02739958,56.52980842,51.64263009,108.1004573,49.69608431,56.87768745,22.64679143,81.89539178,38.20637783,75.89469711,25.89759679,85.93853113,39.92323147,77.13219223,18.84326947,115.3054818,62.36967222,68.34564641,17.98630404,141.4570597,61.66993933,11.23595506,35.19652833,42.13483146,100,48.12963765,45.37705755,36.70809779,79.83768299,85.95611687,73.82749401,64.1728502,222.845464,127.220099,88.72960507,71.74742768,286.6994089,132.1812276,58.88227996,31.37065272,205.6006975,102.1354455,51.17877991,27.23735409,167.4960564,224.4701183,54.61349746,184.5277152,27.23735409,Z
Read 6,100,25.04916105,29.61695672,28.56043785,57.81165452,37.36013131,24.05826822,23.54719028,84.87043114,14.75433384,37.93833793,7.591042133,46.39583569,23.62862172,31.44153896,8.618052626,49.40337208,20.64986714,23.32865014,10.43288951,42.11337347,103.3732845,114.7338858,22.63211497,16.20212862,100,23.35030811,30.69875828,28.18428184,58.03255854,34.56957988,22.99534248,22.34745597,79.84974249,19.92929681,36.68059472,7.816913334,49.97043066,31.90013869,29.76591917,10.22653781,54.55709282,29.26829268,23.19884505,11.67515405,50.01743954,98.93640507,109.747733,21.5170008,15.63382667,100,32.20556462,20.19908175,16.92686897,36.36717215,35.90731149,25.73774816,22.68453067,84.09094053,52.55513418,24.90033904,13.95825373,55.88430847,56.01745189,19.15056613,12.2061388,56.89039827,42.39158521,15.13985186,4.413987395,53.79443112,95.47714438,110.5209186,19.29960002,12.53045703,100,42.59673207,49.82041613,72.25589241,121.7537358,152.5783113,105.9681297,64.62763489,323.1381744,111.3249818,77.73394385,40.7482739,227.2160566,82.12425834,47.17316612,9.251419022,128.5248206,52.66000025,22.28036743,21.09648123,62.6096233,97.64521077,59.23798537,52.66000025,26.49203243,100,119.6358091,100.2478068,62.01123734,162.0318869,141.2943875,89.56840056,64.34475903,295.1978624,218.1614626,39.96408781,36.08703169,186.5942048,208.2502738,31.7398708,50.55101683,134.6608672,163.6539436,18.87544622,44.88695575,101.6473887,128.3549486,233.8181575,56.51775498,59.68940191,100,150.2822653,157.1108315,99.01738511,256.0771618,221.4096041,134.0206186,109.2248459,464.3182691,310.8636347,55.75594756,66.01159008,249.1349685,291.681533,37.52633964,85.7902937,175.1060593,218.8142812,31.35444603,81.50200155,113.0500629,292.4093733,430.0649873,67.79869298,101.6653759,Z
Read 7,100,33.07086701,24.18599302,21.7839945,44.25649866,27.7544564,22.05386845,18.48717668,66.97125369,30.09494324,32.12319589,6.174231606,52.60293395,36.92098644,26.46960876,6.685338105,55.83946646,37.60884996,19.59184532,5.732630131,51.33825539,75.4358365,104.106836,28.20081146,16.41575449,100,32.67531051,24.10033487,21.70684337,44.09975795,28.37825282,22.99167348,18.4217017,68.54792643,26.30152961,30.05357349,5.109260773,54.67147773,35.87414251,24.23535181,3.427396321,56.85989781,34.82177689,19.522458,2.284930881,52.31693427,74.61095335,100.8027499,30.16195312,17.88241271,100,27.81947995,37.34933947,31.82434181,69.11805364,38.40874755,28.76507056,25.37677599,89.94912074,28.36367781,41.58586938,13.82361073,69.17332598,31.06470148,36.52155049,15.76134124,64.38004436,24.14189825,29.90504237,17.09886215,56.28773313,101.9579149,133.1235963,14.43227331,15.76134124,100,36.81633033,29.75549955,38.11085309,65.02295577,33.97044509,3.526364891,9.592749614,24.63412609,38.11085309,44.18522544,17.0582776,98.9897797,56.53192976,33.45403475,8.492611271,96.54772348,48.98982674,28.07836905,6.308153288,80.32065339,55.21886579,103.6655318,19.50688673,25.67232392,100,103.8527157,86.58394078,83.28078606,168.9769803,109.6916225,97.50563786,84.48849017,291.288855,178.6610106,72.47358765,14.23431218,262.9423736,195.4902235,48.19011297,19.7394394,223.3262633,165.2934972,48.19011297,19.7394394,201.4970415,164.5374337,187.1815174,99.01252431,50.24840924,100,20.00399966,74.95085592,58.97723177,133.9038695,150.3630278,61.40633912,19.6155355,215.7708905,163.3162675,102.6775389,55.75782818,224.6813819,161.2774013,102.9768909,57.92398219,234.7644457,128.6874811,88.16086722,60.01199898,196.5081175,204.792203,166.5357809,22.87544878,24.81190789,Z
Read 8,100,32.08292201,35.29207711,28.80705215,63.98762173,43.3293432,26.49421342,25.94249265,95.59794644,13.2901402,37.46847594,6.169792695,49.68119975,26.17621352,31.53240952,8.637709773,57.05640682,23.44521224,24.67917078,9.948491792,50.81752291,109.8292421,134.2295085,24.43113262,18.21917949,100,28.69007682,32.6113605,27.52384852,59.74348181,42.81025432,27.55030105,24.85366359,95.01632639,16.10339658,33.9894456,7.242003621,50.07234403,27.8657728,29.81071584,8.449004225,57.38015365,26.58143095,23.18572446,9.731149968,52.40384634,114.6714098,131.7788202,24.76558181,17.40761026,100,33.07692926,22.06285255,15.4529145,37.48602954,40.11924403,26.97884563,20.38604692,84.70689114,54.64480874,27.46385003,15.15282934,58.52994871,60.78154764,21.1326293,15.34107046,58.31378902,50.00433682,15.92849968,12.21660158,50.54098967,87.70988531,107.5957588,20.80412283,16.73684705,100,38.51210186,5.907486755,7.472445358,2.641908392,44.56140647,9.525536173,15.40484075,25.95263215,33.83293532,29.94810301,33.62600411,30.41064935,9.525536173,42.14651288,26.41908392,78.03698328,21.29974641,26.74728388,15.96115028,63.84460112,104.2131566,68.91786567,66.04770981,25.40906129,100,26.35833297,31.12327366,58.31229864,86.88413706,50.97721097,25.84647196,7.753941587,72.09266312,77.75450482,54.52319232,20.83809188,131.9183268,103.9015314,49.91782868,27.83750223,143.558481,88.21942707,40.86686043,27.83750223,124.8414027,137.8613115,77.53941587,49.37961534,23.11778731,100,72.20216606,56.06446712,39.15712235,94.32674587,82.92896237,55.74179124,46.37997381,184.9477712,129.1382102,31.56948131,24.76513865,113.0302262,123.1684009,21.65648551,33.17158495,80.13574969,96.14976787,15.01607095,30.18192908,57.37632655,130.7174636,175.9509355,36.35005897,34.82951681,Z
Read 9,100,32.20389517,21.22591514,21.74520473,42.96189256,36.90859456,23.3703413,21.15069016,81.06872587,32.02190407,29.15603675,8.500372386,46.61547904,39.46848721,25.85287332,12.02134191,51.26200086,35.723582,18.81072837,9.219948366,44.71912579,87.38303042,116.6469229,26.28089637,13.75287503,100,32.20389517,21.22591514,21.22591514,42.45183029,36.70651235,24.15292138,20.40922572,80.93754661,32.59744006,29.15603675,8.310749148,48.58002956,38.15432538,24.76118369,11.52493546,51.00223431,35.78302228,19.00741049,8.310749148,46.09974183,86.39859094,117.8071664,25.45941457,12.75055858,100,30.00743476,32.090094,28.76976096,60.56455366,40.76597468,26.21173316,26.21173316,91.89732231,8.990550301,33.27718329,10.25080451,40.68658614,16.0827853,33.78342087,13.09043883,56.28974856,17.9811006,26.73082777,13.27438844,50.61927333,112.1478808,124.8359843,22.24139311,20.10348163,100,33.20208612,26.05712231,29.13274839,53.71813379,33.60178169,22.65048953,20.53040843,74.11356368,24.89677721,35.90664273,11.79948038,62.9844179,40.07352059,32.59335374,12.42922248,74.11356368,36.56456924,26.38444024,12.50571073,65.50775432,102.4288449,120.7903306,21.48370278,22.77644317,100,74.47391031,58.58365772,67.38929896,125.8965566,80.80268974,68.43075691,59.90313342,207.2592525,137.3231054,57.55804396,15.43480014,208.4055275,140.8557653,27.2851296,19.67558677,143.058409,117.8325942,19.29350017,19.67558677,118.0850478,133.8084566,141.1725328,112.697825,28.09176028,100,17.3971111,43.49277775,31.4557414,74.94438874,76.67188701,45.0700644,26.64743309,140.9430318,89.78428982,66.72770415,35.62080352,131.6551378,83.74694793,66.37788416,38.14568951,130.3667656,59.92638045,53.94615145,36.50843414,92.81246833,166.6578146,141.3553879,16.18384543,31.4557414,Z
Read 10,100,29.22461164,35.12361193,29.53337271,64.5856441,41.89993586,25.55618152,26.41545159,93.51219103,10.89136971,38.47961601,5.906674542,34.98427146,12.55776233,35.4597307,8.353299246,41.26225445,11.14469124,24.35384303,9.524226519,35.06396239,114.8874771,121.7921343,21.78273941,18.49081612,100,26.64268817,34.32792124,28.82984321,63.07685574,41.88509176,25.5471276,26.53779529,93.50143702,10.69365274,35.85788014,7.183233975,34.97187741,15.12310873,32.81162964,8.350339882,41.88509176,12.15827839,25.27271441,9.520852324,37.06271806,115.7840194,119.9894737,22.56137597,18.67192761,100,34.20513409,23.68630486,18.68775767,41.31679653,42.20737959,28.40581774,22.06027701,92.16172245,58.25790151,27.61817623,17.96541657,55.8830772,59.9747153,19.64165246,16.07660124,54.84695595,47.17258374,16.99163031,8.982708287,52.78535492,96.09949904,116.7158117,17.13938639,16.69219487,100,31.56327892,36.82246888,45.90828157,81.81169964,29.98556477,31.56327892,17.48443857,63.97545152,28.88592113,40.54154813,27.61278168,61.07051845,39.05037034,49.34425121,28.44680448,92.28541673,38.91197521,40.2298567,28.19281007,87.31928263,24.72673015,23.45783591,47.10693096,28.19281007,100,95.58937533,93.45700206,155.5218521,245.6282633,189.2360062,133.4329557,107.8110364,426.9382506,168.9797388,153.1273909,117.359189,439.3473208,125.1175207,93.45700206,83.59048383,298.3651594,87.13234273,59.67303188,57.37704918,194.8338414,535.240253,255.2854345,226.1166266,179.7681328,100,123.4218242,114.6188801,65.64913788,179.9115172,155.4020383,101.1904761,86.97389493,342.5792839,223.5264304,41.69874258,46.42095057,174.5448176,223.792217,31.08040766,57.82575173,141.7484681,170.4089137,13.89958086,49.36872966,109.1054102,223.5929067,312.4255912,52.43435046,60.21780783,Z
